id,severity,file,location,finding,fix
11,minor,"analysis/src/reverse_dcf/market_implied_model.py; model/ABNB_market_implied.xlsx","builder lines 63-67 and 267-270; Inputs rows 13-16","A-low/A-high rows are SUPERSEDED in A_joint_solve.csv but loaded into Inputs as 'Slope band ... rotated about sample means' with no tag; unused because band columns F-G are pasted delta-method values and do not respond to Inputs","Drop the four rows or label SUPERSEDED and unused"
12,minor,"analysis/src/reverse_dcf/market_implied_model.py; data/processed/reverse_dcf/market/market_implied_by_price.csv","docstring lines 14-15; variables g27d/n27d; columns g27_direct, nights27_direct","Docstring describes the second mapping as the 'direct' FY26-base solve audit A retired; code implements the chained mapping; columns named 'direct'","Rename to g27_chained / nights27_chained; fix docstring"
13,minor,model/ABNB_market_implied.xlsx,"Inputs rows 18-20; Comparison A1","ADR +3 / FX -0.6 / take flat carry anchor-like source text with no JUDGEMENT tag; Comparison title omits the tag the note's section 7 caption has (audit D finding 5)","Add 'JUDGEMENT (task-set, not in the brief)' to the three Inputs rows and the Comparison title"
14,minor,"research/notes/2026-09-13_market-implied-model.md; docs/reverse_dcf/SYNTHESIS.md","section 3 paragraph below the table; SYNTHESIS section 2 row A","'$4.80 a share (2.8%)' per point of nights; A_joint_solve_checks.csv: $4.82 per point of revenue growth, $4.93 (2.9%) per point of nights (audit A claim iii)","'$4.80 per point of revenue growth, about $4.90 per point of nights'"
15,minor,research/notes/2026-09-13_market-implied-model.md,"section 1 item 1, last sentence","'In realised units the price sits on the Street'; A_nearest_case_by_price.csv realised-units nearest case at $170.19 is Management Literal (gap 0.31pp); A says 'on or just below the Street (Literal to Street)'","'on or just below the Street'"
16,minor,research/notes/2026-09-13_market-implied-model.md,"section 5, last paragraph","'a negative day in 8 of 8 post-2022 cases on excess returns (6 of 8 on raw)': audit C do-not-use phrasing; raw count and Fisher test are present but one of the eight is -0.04%","'0 of 8 positive on excess (one at -0.04%), 2 of 8 on raw; Fisher p 0.007 between buckets'"
17,minor,docs/reverse_dcf/RUN_STATE.md,"rows B options, audits A-D, synthesis","Stale: FY27 '9.5-11.5% (direct / proportional)', options quartiles '$124/$167/$217', 'team base case implies -6 to -9% on 5 Nov', 'downside ~18% richer', 'base rate rms 8.5%'; all superseded","Update to the final numbers or mark pre-audit"
18,minor,"data/processed/reverse_dcf/B/B_bbg_print_implied_vs_realised.csv; B_bbg_term_structure_4sep.csv; B_bbg_chain_4sep_term_structure.csv","column skew_90_110_print_close_volpts; 4 Sep IV and realised-vol levels; straddle_mid","Licensing, Krish's call: 23 Bloomberg 30D skew levels at print closes; four 4 Sep constant-maturity IV levels and two realised vols; per-expiry straddle mids summed from 4 Sep Bloomberg quotes. None reconstructs an ATM IV level; iv_crush_volpts confirmed gone; raw yfinance chain fine to commit","Drop the skew column (unused in the note) or accept; leave the 4 Sep summaries"
19,minor,research/notes/2026-09-13_market-implied-model.md,"section 6 table, mean row","$16.6bn / +16.4% / +13.7% are the feed-as-is mean ($181.81); the header's corrected mean $182.1 gives $16,597m / +16.6% / +13.9%","Use one tape consistently"
20,minor,analysis/src/reverse_dcf/market_implied_model.py,"line 289 source text for event_sd","'B central reading (8.3 to 11.0 across specs)': B's stated range is 8.5-10.5 with 8.3-11.0 the identified-spec span","'9.5, range 8.5-10.5 (identified specs 8.3-11.0)'"
