market,country,snapshot_start,url,local_path,compact_path,source_partial_scope,team_historical_count,team_current_count,team_current_sha256,checked_at_utc,status,acquisition,rows,snapshot_complete,sha256,compact_sha256,bytes,city_scrape,previous_scrape,unknown_source_rows,error,expected_rows
buenos-aires,Argentina,2025-09-27,https://data.insideairbnb.com/argentina/ciudad-aut%C3%B3noma-de-buenos-aires/buenos-aires/2025-09-27/data/listings.csv.gz,data/raw/listing_churn_archive/buenos-aires_2025-09-27_listings.csv.gz,data/raw/listing_churn_archive/buenos-aires_2025-09-27_compact.csv.gz,,,,,2026-09-07T18:55:20.079627+00:00,ok,downloaded,26945,2025-09-28,85a413ccbb5901105013d77c42bc9c9839e555f22b1d6ea8d5760af70d80eacb,2a70906a6a33eed2391040d14c36b3f1afc1961bea9ea1011a58a7792392180d,15504879,26945,0,0,,26945
buenos-aires,Argentina,2026-06-29,https://data.insideairbnb.com/argentina/ciudad-aut%C3%B3noma-de-buenos-aires/buenos-aires/2026-06-29/data/listings.csv.gz,data/raw/listing_churn_archive/buenos-aires_2026-06-29_listings.csv.gz,data/raw/listing_churn_archive/buenos-aires_2026-06-29_compact.csv.gz,,,,,2026-09-07T18:55:21.381996+00:00,ok,downloaded,29685,2026-07-02,7c1e7d739a577279d8559960d5341e296bf329117e8f5e43f30c52a0927d6c5d,a7d45e240f458a1dfdc4726e4da8ea133504befb75935d52fd5ecb268bdca3fe,16603969,27682,2003,0,,29685
cape-town,South Africa,2025-09-28,https://data.insideairbnb.com/south-africa/wc/cape-town/2025-09-28/data/listings.csv.gz,data/raw/listing_churn_archive/cape-town_2025-09-28_listings.csv.gz,data/raw/listing_churn_archive/cape-town_2025-09-28_compact.csv.gz,,,,,2026-09-07T18:55:31.089732+00:00,ok,downloaded,26877,2025-09-29,05b36f48642875c2ed5572922fdbd729f997ccad0f578c8f72d645eb59a27d0f,e108ce7ddfa92ad569bee2d76a4e5ebe0bc0246cc23d8ef0d70afd9d6ecad34f,14971027,22671,4206,0,,26877
cape-town,South Africa,2026-06-29,https://data.insideairbnb.com/south-africa/wc/cape-town/2026-06-29/data/listings.csv.gz,data/raw/listing_churn_archive/cape-town_2026-06-29_listings.csv.gz,data/raw/listing_churn_archive/cape-town_2026-06-29_compact.csv.gz,,,27381,2dbbbc7a4ac85a9810f3480bfb49dafa5037d6b6f7364f57855c00a8d73f37fa,2026-09-07T18:55:31.107294+00:00,ok,downloaded,27381,2026-07-03,2dbbbc7a4ac85a9810f3480bfb49dafa5037d6b6f7364f57855c00a8d73f37fa,9a96ef5b6ccc659a9017cf6fd9119b7654935bdea5aeb2607fd07181a5bb5ef7,16122289,24388,2993,0,,27381
chicago,United States,2025-09-22,https://data.insideairbnb.com/united-states/il/chicago/2025-09-22/data/listings.csv.gz,data/raw/listing_churn_execution/chicago_2025-09-22_listings.csv.gz,data/raw/listing_churn_archive/chicago_2025-09-22_compact.csv.gz,False,8660,,,2026-09-07T18:55:41.062202+00:00,ok,reused,8660,2025-09-24,22a2718d68eba3d2e6644fb4e8e09cb465454bb1cac81b4e9be6b40b90acc345,7513097c0a47f00bd5573db448874b0f3a1c7bd373dd6afb3947db16d08aad10,5023259,7878,782,0,,8660
chicago,United States,2026-06-24,https://data.insideairbnb.com/united-states/il/chicago/2026-06-24/data/listings.csv.gz,data/raw/listing_churn_execution/chicago_2026-06-24_listings.csv.gz,data/raw/listing_churn_archive/chicago_2026-06-24_compact.csv.gz,False,8660,8660,8f0e61e8eef19a0af6a9337cf72442375e390b32784fa4f32b4f9c14c9cc9f69,2026-09-07T18:55:42.637759+00:00,ok,reused,8660,2026-07-03,8f0e61e8eef19a0af6a9337cf72442375e390b32784fa4f32b4f9c14c9cc9f69,11b0670e3107ef3aead430ca763d2dedf652cfcd8c4122a42f1cade1e6a45fb5,5059667,7790,870,0,,8660
lisbon,Portugal,2025-09-21,https://data.insideairbnb.com/portugal/lisbon/lisbon/2025-09-21/data/listings.csv.gz,data/raw/listing_churn_archive/lisbon_2025-09-21_listings.csv.gz,data/raw/listing_churn_archive/lisbon_2025-09-21_compact.csv.gz,,,,,2026-09-07T18:57:16.149040+00:00,ok,downloaded,25449,2025-10-08,15b9411c25c15e501c36e6f818b52244b3d1a22aca0ed94580cef93208e0dd34,d9882f4e62294b258c079f0cb42fb48e8b4e4011cf1ab5b1de737a6036258f75,14248985,21919,3530,0,,25449
lisbon,Portugal,2026-06-23,https://data.insideairbnb.com/portugal/lisbon/lisbon/2026-06-23/data/listings.csv.gz,data/raw/listing_churn_archive/lisbon_2026-06-23_listings.csv.gz,data/raw/listing_churn_archive/lisbon_2026-06-23_compact.csv.gz,,,24876,1845748e8fd26473eb72874bb11110a6ad5d45d24c74c2cea480eb72ddde1bce,2026-09-07T18:57:21.221580+00:00,ok,downloaded,24876,2026-07-03,1845748e8fd26473eb72874bb11110a6ad5d45d24c74c2cea480eb72ddde1bce,1af9225c047e81871f9d17bc6e574041a993bd4369878e6cedccb1a283e838cf,14273494,22696,2180,0,,24876
london,United Kingdom,2025-09-14,https://data.insideairbnb.com/united-kingdom/england/london/2025-09-14/data/listings.csv.gz,data/raw/listing_churn_panel/london_2025-09-14_listings.csv.gz,data/raw/listing_churn_archive/london_2025-09-14_compact.csv.gz,False,96871,,,2026-09-07T18:57:23.590609+00:00,ok,reused,96871,2025-09-18,6de13f7e0febbe7fef99cac582b6961551dd0644393f947fe4c1ed41cd830231,05c7831c74df3d15c1cfc43d72d30e0431b65f360d48097586e46d0ca37aa0ea,50398406,62101,34770,0,,96871
london,United Kingdom,2026-06-19,https://data.insideairbnb.com/united-kingdom/england/london/2026-06-19/data/listings.csv.gz,data/raw/listing_churn_panel/london_2026-06-19_listings.csv.gz,data/raw/listing_churn_archive/london_2026-06-19_compact.csv.gz,False,92638,92638,f32fbf1bdd3a4fcdb58ffe901b4ac20d8614f77cd36f1e3bbd18523e6e2acabd,2026-09-07T18:57:30.504990+00:00,ok,reused,92638,2026-07-01,f32fbf1bdd3a4fcdb58ffe901b4ac20d8614f77cd36f1e3bbd18523e6e2acabd,9932940f78b6fda7b98f270b18023c3b1b25ec96d368426626be57fd908d9756,50356306,61587,31051,0,,92638
los-angeles,United States,2025-09-01,https://data.insideairbnb.com/united-states/ca/los-angeles/2025-09-01/data/listings.csv.gz,data/raw/listing_churn_panel/los-angeles_2025-09-01_listings.csv.gz,data/raw/listing_churn_archive/los-angeles_2025-09-01_compact.csv.gz,False,45886,,,2026-09-07T18:57:48.141627+00:00,ok,reused,45886,2025-09-03,ee8673930b70c6563f7ad42f90fa02595ee495bd0e9c2a6186ad310442cab024,cd28fa2348f08ce4ac1d9fec46910540ad09206deeced2659e52c119af059d8b,26396776,36916,8970,0,,45886
los-angeles,United States,2026-06-15,https://data.insideairbnb.com/united-states/ca/los-angeles/2026-06-15/data/listings.csv.gz,data/raw/listing_churn_panel/los-angeles_2026-06-15_listings.csv.gz,data/raw/listing_churn_archive/los-angeles_2026-06-15_compact.csv.gz,False,43751,43751,ebc99e8a5ff2f60cbd91323571c2bdf1f8c2c74fe3ac9669d7c9a24d2294dec5,2026-09-07T18:57:55.881188+00:00,ok,reused,43751,2026-06-23,ebc99e8a5ff2f60cbd91323571c2bdf1f8c2c74fe3ac9669d7c9a24d2294dec5,d24d96193764bc97dc8b38aa16795e168b54b77aa61ff75ed74909e1837374d1,26839900,37691,6060,0,,43751
madrid,Spain,2025-09-14,https://data.insideairbnb.com/spain/comunidad-de-madrid/madrid/2025-09-14/data/listings.csv.gz,data/raw/listing_churn_archive/madrid_2025-09-14_listings.csv.gz,data/raw/listing_churn_archive/madrid_2025-09-14_compact.csv.gz,,,,,2026-09-07T18:58:07.782107+00:00,ok,downloaded,25000,2025-09-15,218e019511c2067d913602bb71877b8b6dab8e155c8c43e44ebb5da4a2e97f19,3023c173a3aa08131597a5c8d66ae5457c4f9254284b8cd36377f4911f5df32a,12322661,18979,6021,0,,25000
madrid,Spain,2026-06-20,https://data.insideairbnb.com/spain/comunidad-de-madrid/madrid/2026-06-20/data/listings.csv.gz,data/raw/listing_churn_archive/madrid_2026-06-20_listings.csv.gz,data/raw/listing_churn_archive/madrid_2026-06-20_compact.csv.gz,,,22708,18e0f5c631759b6588503b513f21af6045fd883467a39b2d9903bc97d36bd9a9,2026-09-07T18:58:07.890584+00:00,ok,downloaded,22708,2026-07-02,18e0f5c631759b6588503b513f21af6045fd883467a39b2d9903bc97d36bd9a9,29ea9bb985e5f98bd7d487af7851ad32d30991d13ccfde34ad16706ac1ee5004,10368398,18548,4160,0,,22708
mexico-city,Mexico,2025-09-27,https://data.insideairbnb.com/mexico/df/mexico-city/2025-09-27/data/listings.csv.gz,data/raw/listing_churn_panel/mexico-city_2025-09-27_listings.csv.gz,data/raw/listing_churn_archive/mexico-city_2025-09-27_compact.csv.gz,False,27051,,,2026-09-07T18:58:40.179636+00:00,ok,reused,27051,2025-09-28,af74baa1264a4bb54ad674fc0becc45180afbc4a0ab6e56028ff62941565f78f,605af52853862f2bb81969d236806cc910d4277754fdb54d52446de8f9c7d26a,14513553,23567,3484,0,,27051
mexico-city,Mexico,2026-06-15,https://data.insideairbnb.com/mexico/df/mexico-city/2026-06-15/data/listings.csv.gz,data/raw/listing_churn_panel/mexico-city_2026-06-15_listings.csv.gz,data/raw/listing_churn_archive/mexico-city_2026-06-15_compact.csv.gz,False,31430,31430,bbe24eee4a96cb41a157e8b3eed9420225ec9fb94137233d9c2f4ce6d64eebfe,2026-09-07T18:58:44.211944+00:00,ok,reused,31430,2026-07-06,bbe24eee4a96cb41a157e8b3eed9420225ec9fb94137233d9c2f4ce6d64eebfe,a4d212a1ea8bbeccbe82b043b94332ae5c6f1eaa15e9d8756c3a4236a13a43c0,18411663,29519,1911,0,,31430
milan,Italy,2025-09-22,https://data.insideairbnb.com/italy/lombardy/milan/2025-09-22/data/listings.csv.gz,data/raw/listing_churn_archive/milan_2025-09-22_listings.csv.gz,data/raw/listing_churn_archive/milan_2025-09-22_compact.csv.gz,,,,,2026-09-07T18:58:52.065090+00:00,ok,downloaded,22933,2025-09-24,f21bbddc473946b759d8ae5db2bb3c795bd722272cc7f85932f4e3787c047af5,3e47b0dde2138c4ea5912b6fa6ff80d48c58a8531554a288ccdf220bad9ac772,13337304,20568,2365,0,,22933
milan,Italy,2026-06-25,https://data.insideairbnb.com/italy/lombardy/milan/2026-06-25/data/listings.csv.gz,data/raw/listing_churn_archive/milan_2026-06-25_listings.csv.gz,data/raw/listing_churn_archive/milan_2026-06-25_compact.csv.gz,,,25750,85eedfb44856307715435dde86cb1f926685f1fb8f981db077e04b32e0448376,2026-09-07T18:58:52.423012+00:00,ok,downloaded,25750,2026-07-03,85eedfb44856307715435dde86cb1f926685f1fb8f981db077e04b32e0448376,fe14bdc1c231492114b2c94975a0480bafeb83fda0888a8f2e6f423d64a25b03,15393988,22803,2947,0,,25750
nashville,United States,2025-09-23,https://data.insideairbnb.com/united-states/tn/nashville/2025-09-23/data/listings.csv.gz,data/raw/listing_churn_panel/nashville_2025-09-23_listings.csv.gz,data/raw/listing_churn_archive/nashville_2025-09-23_compact.csv.gz,False,9443,,,2026-09-07T18:59:14.237715+00:00,ok,reused,9443,2025-09-24,ee4b83816a465be3df5b645ca510c38aba3ad9bab17e275c3377488a54c07e32,7d637c4385aa26e59efdfb4773a2ac7e700a5fc65bc94e9f5c27e6aa60503a9b,5675145,6643,2800,0,,9443
nashville,United States,2026-06-26,https://data.insideairbnb.com/united-states/tn/nashville/2026-06-26/data/listings.csv.gz,data/raw/listing_churn_panel/nashville_2026-06-26_listings.csv.gz,data/raw/listing_churn_archive/nashville_2026-06-26_compact.csv.gz,False,10242,10242,3371fda770bae5e262218535c2db2393bf2b757e488cc6b0b4de07d797a169e4,2026-09-07T18:59:15.558622+00:00,ok,reused,10242,2026-07-03,3371fda770bae5e262218535c2db2393bf2b757e488cc6b0b4de07d797a169e4,f1c9eac778646af76f706c5e43e5c190c9dc8f2f31c85eb485e8ad81bab86969,6073378,9497,745,0,,10242
new-orleans,United States,2025-09-11,https://data.insideairbnb.com/united-states/la/new-orleans/2025-09-11/data/listings.csv.gz,data/raw/listing_churn_panel/new-orleans_2025-09-11_listings.csv.gz,data/raw/listing_churn_archive/new-orleans_2025-09-11_compact.csv.gz,False,7444,,,2026-09-07T18:59:18.984389+00:00,ok,reused,7444,2025-09-11,c3fb728312a94f5de58127cc1490d1018a805d547e7d6239a74b363f1e25cf4f,0743fbf13a221c4a0700b928bc24e9dae9ecb426d9f0d824f706688dd85cc447,4011814,6254,1190,0,,7444
new-orleans,United States,2026-06-16,https://data.insideairbnb.com/united-states/la/new-orleans/2026-06-16/data/listings.csv.gz,data/raw/listing_churn_panel/new-orleans_2026-06-16_listings.csv.gz,data/raw/listing_churn_archive/new-orleans_2026-06-16_compact.csv.gz,False,7189,7189,b608bedbebd1ba444c4296570de19e7e7cf50fbc90130d57e279177af5422b56,2026-09-07T18:59:20.789397+00:00,ok,reused,7189,2026-06-25,b608bedbebd1ba444c4296570de19e7e7cf50fbc90130d57e279177af5422b56,69c8d39398384b1b4f1ce7493b87715a08f132758ee350a48d3e343fd5b66be8,3818803,6333,856,0,,7189
new-york-city,United States,2025-09-01,https://data.insideairbnb.com/united-states/ny/new-york-city/2025-09-01/data/listings.csv.gz,data/raw/listing_churn_archive/new-york-city_2025-09-01_listings.csv.gz,data/raw/listing_churn_archive/new-york-city_2025-09-01_compact.csv.gz,,,,,2026-09-07T18:59:20.974775+00:00,ok,downloaded,36178,2025-09-03,6e776ec9ab81e15e4acbb3bf52d4191b31bc43bab8dd4e2f426f072597d75db6,faf1ee37982c191fadd1c8ae1779f85faee228fc347aaab864660e4b9c2de987,17809878,21356,14822,0,,36178
new-york-city,United States,2026-06-14,https://data.insideairbnb.com/united-states/ny/new-york-city/2026-06-14/data/listings.csv.gz,data/raw/listing_churn_panel/new-york-city_2026-06-14_listings.csv.gz,data/raw/listing_churn_archive/new-york-city_2026-06-14_compact.csv.gz,False,30259,,,2026-09-07T18:59:22.249492+00:00,ok,reused,30259,2026-06-23,10eb56b21ec71a838b30ef47b836f3d375269baeed5ff9e5c35ff3c6a98d3ca7,11ba6d61feea70ae24228fbc2338c8c69c165b21da177da4aebcbe9da29ea629,15694632,21461,8798,0,,30259
paris,France,2025-09-12,https://data.insideairbnb.com/france/ile-de-france/paris/2025-09-12/data/listings.csv.gz,data/raw/listing_churn_panel/paris_2025-09-12_listings.csv.gz,data/raw/listing_churn_archive/paris_2025-09-12_compact.csv.gz,False,81853,,,2026-09-07T19:00:00.633782+00:00,ok,reused,81853,2025-09-15,b98d554eb4d06bf2d598c14b74bd2d5cd92efb5e721eadd85a5640ac1a78d533,165b79f972d9f0aad65fbe6c2a7e05f341538b8ae98062691ee808a8cb1d31c4,42604503,0,81853,0,,81853
paris,France,2026-06-16,https://data.insideairbnb.com/france/ile-de-france/paris/2026-06-16/data/listings.csv.gz,data/raw/listing_churn_panel/paris_2026-06-16_listings.csv.gz,data/raw/listing_churn_archive/paris_2026-06-16_compact.csv.gz,False,77679,,,2026-09-07T19:00:01.481376+00:00,ok,reused,77679,2026-06-29,4482b7f73788a3623c3b9da34f6046a0b6b0ef5cc1be93bc9e38afe29cd75a90,15613b1ae4d1f86217940b79203cb8c70681a5d2d5260cdb6caf57004439fe30,41085418,48140,29539,0,,77679
rio-de-janeiro,Brazil,2025-09-26,https://data.insideairbnb.com/brazil/rj/rio-de-janeiro/2025-09-26/data/listings.csv.gz,data/raw/listing_churn_archive/rio-de-janeiro_2025-09-26_listings.csv.gz,data/raw/listing_churn_archive/rio-de-janeiro_2025-09-26_compact.csv.gz,,,,,2026-09-07T19:00:58.382407+00:00,ok,downloaded,43068,2025-09-28,c02f97d432f9affcb9ccaf7cdceeb869ff27fbb24f4e48758b12508bfb43eea8,00bad8afb386ce01d017f3514fe69fcecc310c336d91352232bc4c9e46951ed7,22554003,38674,4394,0,,43068
rio-de-janeiro,Brazil,2026-06-24,https://data.insideairbnb.com/brazil/rj/rio-de-janeiro/2026-06-24/data/listings.csv.gz,data/raw/listing_churn_archive/rio-de-janeiro_2026-06-24_listings.csv.gz,data/raw/listing_churn_archive/rio-de-janeiro_2026-06-24_compact.csv.gz,,,,,2026-09-07T19:00:59.072542+00:00,ok,downloaded,48713,2026-07-01,f4f5fb9389d3abdf89b73fcd26f0ad180c5b11447ca6f7580350deb165a916c2,55aa9b89a42521421acd18d5282d96a1c0222c5c5d976f51d555087d88c53635,23740232,43947,4766,0,,48713
rome,Italy,2025-09-14,https://data.insideairbnb.com/italy/lazio/rome/2025-09-14/data/listings.csv.gz,data/raw/listing_churn_panel/rome_2025-09-14_listings.csv.gz,data/raw/listing_churn_archive/rome_2025-09-14_compact.csv.gz,False,37652,,,2026-09-07T19:01:14.574335+00:00,ok,reused,37652,2025-09-15,9757b333ba13f7185a386dc02ec72c492437129561f40c53880f0cda0298f8ea,d18b78b8dad12c81cab2a6d10a0eefef94be980653d63799da6a8e6c3ca0f6cd,21497755,33668,3984,0,,37652
rome,Italy,2026-06-20,https://data.insideairbnb.com/italy/lazio/rome/2026-06-20/data/listings.csv.gz,data/raw/listing_churn_panel/rome_2026-06-20_listings.csv.gz,data/raw/listing_churn_archive/rome_2026-06-20_compact.csv.gz,False,37084,37084,f44dafb940763f53e8ce47072e963f1b28e3f9b69f4cea14f3077a6c9d84b63e,2026-09-07T19:01:15.066323+00:00,ok,reused,37084,2026-07-07,f44dafb940763f53e8ce47072e963f1b28e3f9b69f4cea14f3077a6c9d84b63e,a967d1bfa67d813ea174b2c83ac1dc5b0718addc28ed31be6034ca996976372e,21816003,33612,3472,0,,37084
san-diego,United States,2025-09-25,https://data.insideairbnb.com/united-states/ca/san-diego/2025-09-25/data/listings.csv.gz,data/raw/listing_churn_execution/san-diego_2025-09-25_listings.csv.gz,data/raw/listing_churn_archive/san-diego_2025-09-25_compact.csv.gz,False,13162,,,2026-09-07T19:01:27.011018+00:00,ok,reused,13162,2025-09-25,a95bcdd468102c1771fddfe88bc2c724187c8360b881b31005e51f74b33861f4,c59ac9db5150ea248559304d6fbc6f2800701f5136acadcb730beb555bdc82d6,8378143,11414,1748,0,,13162
san-diego,United States,2026-06-27,https://data.insideairbnb.com/united-states/ca/san-diego/2026-06-27/data/listings.csv.gz,data/raw/listing_churn_execution/san-diego_2026-06-27_listings.csv.gz,data/raw/listing_churn_archive/san-diego_2026-06-27_compact.csv.gz,False,13225,13225,de360747802aa61a094e20e74f3e4f4e15c94f365a33c3acfb8ab106c89bb414,2026-09-07T19:01:27.918292+00:00,ok,reused,13225,2026-07-02,de360747802aa61a094e20e74f3e4f4e15c94f365a33c3acfb8ab106c89bb414,b1288b9f378dfa30b05f4221cf061970cc1dc3636bc14f5309fa89e2322cb6f8,8996188,11905,1320,0,,13225
san-francisco,United States,2025-09-01,https://data.insideairbnb.com/united-states/ca/san-francisco/2025-09-01/data/listings.csv.gz,data/raw/listing_churn_archive/san-francisco_2025-09-01_listings.csv.gz,data/raw/listing_churn_archive/san-francisco_2025-09-01_compact.csv.gz,,,,,2026-09-07T19:01:30.404147+00:00,ok,downloaded,7780,2025-09-01,41c4cc24e643c2b08fc9b42ccd42e0a42fb6afb3204c925274681944a59a663d,3d5a9b93315dec2d436ed67dfd62df22f7f575a4cb06afb1586d42cb2bab884d,4222281,5851,1929,0,,7780
san-francisco,United States,2026-06-14,https://data.insideairbnb.com/united-states/ca/san-francisco/2026-06-14/data/listings.csv.gz,data/raw/listing_churn_archive/san-francisco_2026-06-14_listings.csv.gz,data/raw/listing_churn_archive/san-francisco_2026-06-14_compact.csv.gz,,,7332,62568e919cbf19ec5a16b4f9a39f92af5825bf333ece898ed78188d794208793,2026-09-07T19:01:31.595116+00:00,ok,downloaded,7332,2026-06-22,62568e919cbf19ec5a16b4f9a39f92af5825bf333ece898ed78188d794208793,6def5f3c33a5871e1cd24c5ffde4818d2da2893998f786ce792ec39ddb93c64a,4016666,5712,1620,0,,7332
singapore,Singapore,2025-09-28,https://data.insideairbnb.com/singapore/sg/singapore/2025-09-28/data/listings.csv.gz,data/raw/listing_churn_archive/singapore_2025-09-28_listings.csv.gz,data/raw/listing_churn_archive/singapore_2025-09-28_compact.csv.gz,,,,,2026-09-07T19:02:05.633594+00:00,ok,downloaded,3693,2025-09-28,43b5424edbc322083063e7460a5412e0bd61590359c481286311fba5b17d9f01,33657791872050442c11c158571615688e339d5eaf338bb0fabc62b907d1157d,1369223,2843,850,0,,3693
singapore,Singapore,2026-06-29,https://data.insideairbnb.com/singapore/sg/singapore/2026-06-29/data/listings.csv.gz,data/raw/listing_churn_archive/singapore_2026-06-29_listings.csv.gz,data/raw/listing_churn_archive/singapore_2026-06-29_compact.csv.gz,,,3097,e6d6975bd21f24895f204e3ed8af538329132f35b3958d99b3491c8ba65561db,2026-09-07T19:02:07.472638+00:00,ok,downloaded,3097,2026-07-02,e6d6975bd21f24895f204e3ed8af538329132f35b3958d99b3491c8ba65561db,ca8aa7eed5306c3efc97f6ee0dfe8b74b7a809eb1e7b1f0c21f68ee3273fca0c,1255634,1299,1798,0,,3097
sydney,Australia,2025-09-12,https://data.insideairbnb.com/australia/nsw/sydney/2025-09-12/data/listings.csv.gz,data/raw/listing_churn_panel/sydney_2025-09-12_listings.csv.gz,data/raw/listing_churn_archive/sydney_2025-09-12_compact.csv.gz,False,17730,,,2026-09-07T19:02:25.844371+00:00,ok,reused,17730,2025-09-12,6d886ebee5f16c3ca96494f5bd36da0bfec8a8d628d227a96abe960e7a48d2d4,216b6bc927c8841fd382c269953a3d33e76c6a58acc9c0cd054bed4da9d778e2,10561421,0,17730,0,,17730
