market,endpoint_date,property_type,listings
san-francisco,2026-06-22,Shared room in boutique hotel,1
singapore,2026-07-02,Room in hostel,28
singapore,2026-07-02,Room in boutique hotel,93
singapore,2026-07-02,Room in serviced apartment,13
singapore,2026-07-02,Room in hotel,476
singapore,2026-07-02,Shared room in boutique hotel,7
singapore,2026-07-02,Shared room in hotel,6
sydney,2026-06-29,Room in boutique hotel,116
sydney,2026-06-29,Room in hostel,1
sydney,2026-06-29,Room in hotel,193
sydney,2026-06-29,Room in aparthotel,6
sydney,2026-06-29,Room in serviced apartment,11
sydney,2026-06-29,Shared room in hotel,1
tokyo,2026-07-03,Room in hotel,1145
tokyo,2026-07-03,Room in boutique hotel,237
tokyo,2026-07-03,Shared room in hotel,58
tokyo,2026-07-03,Room in hostel,69
tokyo,2026-07-03,Room in aparthotel,24
tokyo,2026-07-03,Room in rental unit,2
tokyo,2026-07-03,Room in serviced apartment,8
