market,scope,baseline_date,endpoint_date,interval_days,pair_eligible,exclusion,baseline_listings,baseline_unique_host_ids,baseline_boutique_tagged,baseline_min_nights_le2,baseline_number_of_reviews_ltm,baseline_number_of_reviews_ltm_observed_sum,baseline_number_of_reviews_ltm_missing,baseline_number_of_reviews_ltm_positive,baseline_number_of_reviews_l30d,baseline_number_of_reviews_l30d_observed_sum,baseline_number_of_reviews_l30d_missing,baseline_number_of_reviews_l30d_positive,endpoint_listings,endpoint_unique_host_ids,endpoint_boutique_tagged,endpoint_min_nights_le2,endpoint_number_of_reviews_ltm,endpoint_number_of_reviews_ltm_observed_sum,endpoint_number_of_reviews_ltm_missing,endpoint_number_of_reviews_ltm_positive,endpoint_number_of_reviews_l30d,endpoint_number_of_reviews_l30d_observed_sum,endpoint_number_of_reviews_l30d_missing,endpoint_number_of_reviews_l30d_positive,retained_hotel_ids,new_to_panel_hotel_ids,recategorized_into_hotel,absent_baseline_hotel_ids,recategorized_out_of_hotel,retained_baseline_listings,retained_baseline_unique_host_ids,retained_baseline_boutique_tagged,retained_baseline_min_nights_le2,retained_baseline_number_of_reviews_ltm,retained_baseline_number_of_reviews_ltm_observed_sum,retained_baseline_number_of_reviews_ltm_missing,retained_baseline_number_of_reviews_ltm_positive,retained_baseline_number_of_reviews_l30d,retained_baseline_number_of_reviews_l30d_observed_sum,retained_baseline_number_of_reviews_l30d_missing,retained_baseline_number_of_reviews_l30d_positive,retained_listings,retained_unique_host_ids,retained_boutique_tagged,retained_min_nights_le2,retained_number_of_reviews_ltm,retained_number_of_reviews_ltm_observed_sum,retained_number_of_reviews_ltm_missing,retained_number_of_reviews_ltm_positive,retained_number_of_reviews_l30d,retained_number_of_reviews_l30d_observed_sum,retained_number_of_reviews_l30d_missing,retained_number_of_reviews_l30d_positive,new_to_panel_listings,new_to_panel_unique_host_ids,new_to_panel_boutique_tagged,new_to_panel_min_nights_le2,new_to_panel_number_of_reviews_ltm,new_to_panel_number_of_reviews_ltm_observed_sum,new_to_panel_number_of_reviews_ltm_missing,new_to_panel_number_of_reviews_ltm_positive,new_to_panel_number_of_reviews_l30d,new_to_panel_number_of_reviews_l30d_observed_sum,new_to_panel_number_of_reviews_l30d_missing,new_to_panel_number_of_reviews_l30d_positive,new_ids_first_review_after_baseline,new_ids_first_review_before_baseline,retained_missing_lifetime_review_delta_ids,retained_lifetime_review_delta_nonnegative,retained_negative_review_delta_ids,listings_growth,number_of_reviews_ltm_growth,number_of_reviews_l30d_growth,ltm_reviews_per_listing_baseline,ltm_reviews_per_listing_endpoint,l30d_reviews_per_listing_baseline,l30d_reviews_per_listing_endpoint
buenos-aires,strict,2025-09-28,2026-07-02,277,True,,170,50,39,161,703,703,0,85,79,79,0,31,401,83,43,383,2011,2011,0,177,117,117,0,57,121,276,4,45,4,121,39,33,117,560,560,0,60,66,66,0,26,121,39,33,115,1021,1021,0,77,36,36,0,16,276,58,6,264,774,774,0,96,73,73,0,37,78,27,0,835,0,1.3588235294117648,1.860597439544808,0.481012658227848,4.135294117647059,5.014962593516209,0.4647058823529412,0.29177057356608477
buenos-aires,broad,2025-09-28,2026-07-02,277,True,,194,58,39,181,807,807,0,98,89,89,0,36,439,91,43,418,2122,2122,0,194,122,122,0,62,145,290,4,45,4,145,47,33,137,664,664,0,73,76,76,0,31,145,47,33,136,1129,1129,0,92,41,41,0,21,290,61,6,278,777,777,0,98,73,73,0,37,79,29,0,904,0,1.2628865979381443,1.6294919454770755,0.3707865168539326,4.15979381443299,4.83371298405467,0.4587628865979381,0.27790432801822323
buenos-aires,boutique,2025-09-28,2026-07-02,277,True,,39,15,39,35,116,116,0,13,11,11,0,5,43,16,43,41,430,430,0,22,16,16,0,7,33,6,4,2,4,33,12,33,32,114,114,0,12,9,9,0,4,33,12,33,31,198,198,0,15,5,5,0,2,6,6,6,6,16,16,0,3,3,3,0,1,2,3,0,159,0,0.10256410256410264,2.706896551724138,0.4545454545454546,2.9743589743589745,10.0,0.28205128205128205,0.37209302325581395
cape-town,strict,2025-09-29,2026-07-03,277,True,,433,102,164,414,1164,1164,0,106,75,75,0,24,312,92,126,304,1345,1345,0,114,60,60,0,20,180,123,9,243,10,180,67,106,176,963,963,0,71,70,70,0,22,180,67,106,174,1082,1082,0,71,41,41,0,16,123,30,11,121,211,211,0,35,19,19,0,4,35,1,0,859,1,-0.27944572748267893,0.15549828178694147,-0.19999999999999996,2.6882217090069283,4.310897435897436,0.17321016166281755,0.19230769230769232
cape-town,broad,2025-09-29,2026-07-03,277,True,,522,138,164,499,1284,1284,0,138,78,78,0,27,384,119,126,375,1429,1429,0,138,61,61,0,21,246,129,9,264,12,246,93,106,239,1069,1069,0,100,72,72,0,24,246,93,106,239,1165,1165,0,94,42,42,0,17,129,32,11,127,212,212,0,36,19,19,0,4,35,6,0,928,1,-0.26436781609195403,0.1129283489096573,-0.21794871794871795,2.4597701149425286,3.7213541666666665,0.14942528735632185,0.15885416666666666
cape-town,boutique,2025-09-29,2026-07-03,277,True,,164,62,164,152,751,751,0,51,64,64,0,18,126,49,126,123,774,774,0,42,27,27,0,12,106,11,9,49,9,106,43,106,104,594,594,0,34,59,59,0,16,106,43,106,103,721,721,0,33,27,27,0,12,11,6,11,11,1,1,0,1,0,0,0,0,1,1,0,575,0,-0.23170731707317072,0.030625832223701632,-0.578125,4.579268292682927,6.142857142857143,0.3902439024390244,0.21428571428571427
chicago,strict,2025-09-24,2026-07-03,282,True,,335,53,24,249,5042,5042,0,169,577,577,0,83,374,58,13,289,4811,4811,0,180,350,350,0,85,233,140,1,98,4,233,37,10,171,2585,2585,0,115,264,264,0,52,233,37,12,186,3839,3839,0,121,236,236,0,47,140,25,1,103,972,972,0,59,114,114,0,38,52,10,0,2983,0,0.11641791044776117,-0.04581515271717573,-0.3934142114384749,15.050746268656717,12.863636363636363,1.7223880597014924,0.9358288770053476
chicago,broad,2025-09-24,2026-07-03,282,True,,351,54,24,255,5248,5248,0,178,593,593,0,89,388,59,13,303,5004,5004,0,190,358,358,0,88,247,140,1,100,4,247,38,10,177,2791,2791,0,124,280,280,0,58,247,38,12,200,4032,4032,0,131,244,244,0,50,140,25,1,103,972,972,0,59,114,114,0,38,52,10,0,3119,0,0.10541310541310533,-0.046493902439024404,-0.39629005059021927,14.951566951566951,12.896907216494846,1.6894586894586894,0.9226804123711341
chicago,boutique,2025-09-24,2026-07-03,282,True,,24,6,24,16,345,345,0,14,40,40,0,9,13,5,13,13,231,231,0,9,17,17,0,6,10,1,2,14,0,10,2,10,10,122,122,0,9,9,9,0,7,10,2,10,10,127,127,0,8,6,6,0,5,1,1,1,1,104,104,0,1,11,11,0,1,0,1,0,103,0,-0.45833333333333337,-0.33043478260869563,-0.575,14.375,17.76923076923077,1.6666666666666667,1.3076923076923077
lisbon,strict,2025-10-08,2026-07-03,268,True,,515,132,216,508,2531,2531,0,192,201,201,0,75,469,114,161,462,2242,2242,0,167,93,93,0,43,375,82,12,133,7,375,95,144,368,2073,2073,0,165,159,159,0,63,375,95,144,369,2218,2218,0,158,91,91,0,41,82,20,13,81,19,19,0,7,1,1,0,1,7,3,0,1627,0,-0.08932038834951461,-0.11418411694982222,-0.5373134328358209,4.914563106796116,4.780383795309168,0.39029126213592236,0.19829424307036247
lisbon,broad,2025-10-08,2026-07-03,268,True,,617,150,216,606,2777,2777,0,237,220,220,0,85,545,127,161,533,2443,2443,0,206,103,103,0,51,449,90,6,160,8,449,108,144,440,2284,2284,0,204,172,172,0,70,449,108,144,438,2419,2419,0,197,101,101,0,49,90,21,13,89,19,19,0,7,1,1,0,1,7,4,0,1767,1,-0.11669367909238249,-0.1202736766294562,-0.5318181818181817,4.5008103727714746,4.482568807339449,0.3565640194489465,0.1889908256880734
lisbon,boutique,2025-10-08,2026-07-03,268,True,,216,64,216,214,1183,1183,0,83,81,81,0,35,161,50,161,159,1271,1271,0,71,64,64,0,23,144,13,4,69,3,144,44,144,142,1044,1044,0,73,70,70,0,30,144,44,144,142,1269,1269,0,69,63,63,0,22,13,4,13,13,1,1,0,1,1,1,0,1,1,2,0,960,0,-0.25462962962962965,0.07438715131022833,-0.2098765432098766,5.476851851851852,7.894409937888199,0.375,0.39751552795031053
london,strict,2025-09-18,2026-07-01,286,True,,1374,297,217,1301,7783,7783,0,584,826,826,0,246,1477,306,180,1447,10418,10418,0,710,927,927,0,344,1017,392,68,349,8,1017,238,152,981,5705,5705,0,427,556,556,0,177,1017,238,159,990,7988,7988,0,454,564,564,0,197,392,99,15,389,1790,1790,0,224,335,335,0,137,211,21,0,6343,3,0.07496360989810769,0.3385583965052037,0.12227602905569013,5.66448326055313,7.053486797562627,0.6011644832605532,0.6276235612728503
london,broad,2025-09-18,2026-07-01,286,True,,1457,316,217,1361,8148,8148,0,613,842,842,0,252,1547,321,180,1507,10637,10637,0,736,939,939,0,350,1079,393,75,370,8,1079,253,152,1021,5954,5954,0,452,572,572,0,183,1079,253,159,1043,8205,8205,0,478,576,576,0,203,393,99,15,389,1790,1790,0,224,335,335,0,137,211,22,0,6499,3,0.061770761839396116,0.30547373588610705,0.11520190023752974,5.592312971859986,6.875888817065288,0.5778997940974605,0.6069812540400775
london,boutique,2025-09-18,2026-07-01,286,True,,217,59,217,201,944,944,0,88,38,38,0,25,180,55,180,168,946,946,0,66,59,59,0,27,152,15,13,64,1,152,43,152,141,496,496,0,57,26,26,0,15,152,43,152,141,403,403,0,47,26,26,0,16,15,9,15,14,39,39,0,6,4,4,0,2,1,6,0,315,2,-0.17050691244239635,0.0021186440677967155,0.5526315789473684,4.350230414746544,5.2555555555555555,0.17511520737327188,0.3277777777777778
los-angeles,strict,2025-09-03,2026-06-23,293,True,,1252,247,219,1079,10253,10253,0,560,1001,1001,0,267,1441,260,134,1298,10657,10657,0,625,787,787,0,269,809,632,0,441,2,809,165,136,698,7453,7453,0,386,744,744,0,199,809,165,119,727,8787,8787,0,404,480,480,0,150,632,129,15,571,1870,1870,0,221,307,307,0,119,199,35,0,6749,3,0.15095846645367406,0.03940310153125903,-0.21378621378621376,8.189297124600639,7.395558639833449,0.799520766773163,0.546148507980569
los-angeles,broad,2025-09-03,2026-06-23,293,True,,1279,250,219,1101,10375,10375,0,569,1013,1013,0,274,1456,262,134,1309,10987,10987,0,635,808,808,0,278,820,633,3,457,2,820,167,136,705,7573,7573,0,393,755,755,0,205,820,167,119,734,8997,8997,0,410,494,494,0,156,633,130,15,572,1884,1884,0,222,307,307,0,119,199,36,0,6914,3,0.13838936669272872,0.05898795180722893,-0.20236920039486672,8.111806098514464,7.546016483516484,0.7920250195465207,0.554945054945055
los-angeles,boutique,2025-09-03,2026-06-23,293,True,,219,57,219,167,2115,2115,0,88,120,120,0,32,134,41,134,95,1389,1389,0,52,65,65,0,16,118,15,1,83,18,118,35,118,81,1229,1229,0,44,80,80,0,21,118,35,118,82,1154,1154,0,44,47,47,0,13,15,6,15,12,79,79,0,7,2,2,0,2,2,8,0,892,0,-0.3881278538812786,-0.3432624113475178,-0.45833333333333337,9.657534246575343,10.365671641791044,0.547945205479452,0.48507462686567165
madrid,strict,2025-09-15,2026-07-02,290,True,,420,107,42,417,5608,5608,0,231,665,665,0,123,495,143,37,492,7354,7354,0,322,680,680,0,178,254,238,3,160,6,254,72,27,251,4285,4285,0,152,458,458,0,79,254,71,27,252,5975,5975,0,167,395,395,0,88,238,85,10,237,1377,1377,0,153,285,285,0,90,143,11,0,4562,0,0.1785714285714286,0.31134094151212555,0.022556390977443552,13.352380952380953,14.856565656565657,1.5833333333333333,1.3737373737373737
madrid,broad,2025-09-15,2026-07-02,290,True,,465,118,42,460,5765,5765,0,253,687,687,0,131,528,149,37,524,7654,7654,0,341,695,695,0,184,286,239,3,168,11,286,78,27,282,4431,4431,0,170,479,479,0,86,286,77,27,283,6275,6275,0,186,410,410,0,94,239,85,10,238,1377,1377,0,153,285,285,0,90,143,11,0,4799,0,0.13548387096774195,0.3276669557675629,0.011644832605531397,12.397849462365592,14.496212121212121,1.4774193548387098,1.316287878787879
madrid,boutique,2025-09-15,2026-07-02,290,True,,42,13,42,41,523,523,0,14,23,23,0,6,37,12,37,36,522,522,0,24,45,45,0,14,27,10,0,14,1,27,8,27,26,512,512,0,13,21,21,0,5,27,8,27,26,446,446,0,15,35,35,0,7,10,5,10,10,76,76,0,9,10,10,0,7,9,0,0,330,0,-0.11904761904761907,-0.0019120458891013214,0.9565217391304348,12.452380952380953,14.108108108108109,0.5476190476190477,1.2162162162162162
mexico-city,strict,2025-09-28,2026-07-06,281,True,,847,177,190,835,11323,11323,0,517,883,883,0,271,1061,190,170,1045,12029,12029,0,634,774,774,0,300,682,372,7,138,27,682,142,148,671,10022,10022,0,451,747,747,0,233,682,144,148,668,10372,10372,0,447,506,506,0,189,372,80,19,370,1557,1557,0,181,268,268,0,111,175,14,0,7557,1,0.2526564344746163,0.06235096705820009,-0.1234428086070215,13.36835891381346,11.33741753063148,1.0425029515938606,0.7295004712535345
mexico-city,broad,2025-09-28,2026-07-06,281,True,,887,199,190,872,11488,11488,0,534,890,890,0,275,1099,206,170,1082,12200,12200,0,650,785,785,0,306,720,372,7,140,27,720,162,148,706,10187,10187,0,468,754,754,0,237,720,161,148,705,10543,10543,0,463,517,517,0,195,372,80,19,370,1557,1557,0,181,268,268,0,111,175,14,0,7697,1,0.23900789177001136,0.06197771587743728,-0.1179775280898876,12.95152198421646,11.101000909918108,1.003382187147689,0.7142857142857143
mexico-city,boutique,2025-09-28,2026-07-06,281,True,,190,60,190,187,1913,1913,0,99,162,162,0,44,170,57,170,163,1887,1887,0,91,112,112,0,36,146,19,5,28,16,146,47,146,143,1431,1431,0,82,118,118,0,36,146,47,146,139,1243,1243,0,70,73,73,0,25,19,11,19,19,263,263,0,16,28,28,0,10,15,2,0,794,1,-0.10526315789473684,-0.013591217982226844,-0.308641975308642,10.06842105263158,11.1,0.8526315789473684,0.6588235294117647
milan,strict,2025-09-24,2026-07-03,282,True,,203,53,47,163,1029,1029,0,80,119,119,0,41,239,56,38,229,1402,1402,0,85,71,71,0,30,158,71,10,45,0,158,42,30,132,946,946,0,67,111,111,0,37,158,42,31,148,1293,1293,0,68,40,40,0,22,71,19,7,71,108,108,0,16,31,31,0,8,12,6,0,826,0,0.17733990147783252,0.3624878522837707,-0.40336134453781514,5.068965517241379,5.866108786610878,0.5862068965517241,0.29707112970711297
milan,broad,2025-09-24,2026-07-03,282,True,,211,57,47,170,1032,1032,0,83,119,119,0,41,247,60,38,236,1404,1404,0,87,71,71,0,30,166,71,10,45,0,166,46,30,139,949,949,0,70,111,111,0,37,166,46,31,155,1295,1295,0,70,40,40,0,22,71,19,7,71,108,108,0,16,31,31,0,8,12,6,0,827,0,0.17061611374407581,0.36046511627906974,-0.40336134453781514,4.890995260663507,5.684210526315789,0.5639810426540285,0.2874493927125506
milan,boutique,2025-09-24,2026-07-03,282,True,,47,16,47,33,116,116,0,13,7,7,0,3,38,14,38,34,62,62,0,7,4,4,0,3,30,7,1,17,0,30,11,30,22,62,62,0,7,1,1,0,1,30,11,30,26,49,49,0,6,3,3,0,2,7,2,7,7,0,0,0,0,0,0,0,0,0,0,0,32,0,-0.19148936170212771,-0.4655172413793104,-0.4285714285714286,2.4680851063829787,1.631578947368421,0.14893617021276595,0.10526315789473684
nashville,strict,2025-09-24,2026-07-03,282,True,,379,53,79,302,4594,4594,0,214,465,465,0,72,421,68,65,392,3976,3976,0,174,331,331,0,56,252,167,2,103,24,252,42,56,231,1914,1914,0,150,252,252,0,39,252,42,61,231,3057,3057,0,127,173,173,0,32,167,39,4,159,906,906,0,45,158,158,0,24,35,13,0,2208,1,0.1108179419525066,-0.13452329124945583,-0.2881720430107527,12.121372031662268,9.44418052256532,1.2269129287598945,0.7862232779097387
nashville,broad,2025-09-24,2026-07-03,282,True,,380,54,79,303,4631,4631,0,215,468,468,0,73,422,69,65,393,4005,4005,0,175,332,332,0,57,253,167,2,103,24,253,43,56,232,1951,1951,0,151,255,255,0,40,253,43,61,232,3086,3086,0,128,174,174,0,33,167,39,4,159,906,906,0,45,158,158,0,24,35,13,0,2228,1,0.11052631578947358,-0.13517598790757934,-0.29059829059829057,12.186842105263159,9.490521327014218,1.231578947368421,0.7867298578199052
nashville,boutique,2025-09-24,2026-07-03,282,True,,79,8,79,79,759,759,0,57,29,29,0,13,65,8,65,65,161,161,0,27,7,7,0,5,56,4,5,5,18,56,5,56,56,173,173,0,37,7,7,0,2,56,5,56,56,146,146,0,24,5,5,0,4,4,3,4,4,13,13,0,2,2,2,0,1,1,1,0,102,1,-0.17721518987341767,-0.7878787878787878,-0.7586206896551724,9.60759493670886,2.476923076923077,0.3670886075949367,0.1076923076923077
new-orleans,strict,2025-09-11,2026-06-25,287,True,,500,98,81,374,3863,3863,0,245,452,452,0,119,793,126,75,741,9005,9005,0,488,926,926,0,272,411,246,136,64,25,411,76,68,305,2732,2732,0,194,311,311,0,84,411,76,67,366,5066,5066,0,231,357,357,0,90,246,53,1,239,1818,1818,0,142,359,359,0,105,134,12,0,4075,0,0.5860000000000001,1.3310898265596687,1.0486725663716814,7.726,11.35561160151324,0.904,1.1677175283732661
new-orleans,broad,2025-09-11,2026-06-25,287,True,,514,103,81,385,4069,4069,0,259,467,467,0,127,808,131,75,754,9219,9219,0,502,942,942,0,282,422,248,138,67,25,422,79,68,313,2911,2911,0,205,323,323,0,90,422,79,67,375,5224,5224,0,242,367,367,0,97,248,55,1,241,1830,1830,0,143,361,361,0,106,135,12,0,4198,0,0.5719844357976653,1.2656672401081348,1.0171306209850108,7.916342412451362,11.409653465346535,0.9085603112840467,1.1658415841584158
