region,bucket,share
ile-de-france,b0_1Q,0.23475414246626425
ile-de-france,b1_2Q,0.23705063507105573
ile-de-france,b2_4Q_capped,0.52819522246268
islas-baleares,b0_1Q,0.31756241477512015
islas-baleares,b1_2Q,0.20401726465412642
islas-baleares,b2_4Q_capped,0.47842032057075345
kantō,b0_1Q,0.23077107468298513
kantō,b1_2Q,0.17734106721596626
kantō,b2_4Q_capped,0.5918878581010486
közép-magyarország,b0_1Q,0.23384906520747833
közép-magyarország,b1_2Q,0.20000227998176015
közép-magyarország,b2_4Q_capped,0.5661486548107615
la,b0_1Q,0.18864173238433435
la,b1_2Q,0.20434223404200808
la,b2_4Q_capped,0.6070160335736576
lazio,b0_1Q,0.2619222099719333
lazio,b1_2Q,0.1891446198602635
lazio,b2_4Q_capped,0.5489331701678032
leinster,b0_1Q,0.24761548834720926
leinster,b1_2Q,0.22596089698831937
leinster,b2_4Q_capped,0.5264236146644714
lisbon,b0_1Q,0.3126891278658066
lisbon,b1_2Q,0.1936168420285664
lisbon,b2_4Q_capped,0.493694030105627
lombardia,b0_1Q,0.27866723523026826
lombardia,b1_2Q,0.15906697420788754
lombardia,b2_4Q_capped,0.5622657905618442
lombardy,b0_1Q,0.2132364131620682
lombardy,b1_2Q,0.18953442031433557
lombardy,b2_4Q_capped,0.5972291665235963
ma,b0_1Q,0.2672654510408384
ma,b1_2Q,0.20197061482181686
ma,b2_4Q_capped,0.5307639341373448
marmara,b0_1Q,0.20218246536587622
marmara,b1_2Q,0.17222093979590883
marmara,b2_4Q_capped,0.625596594838215
mb,b0_1Q,0.31320145004485617
mb,b1_2Q,0.16995459455500833
mb,b2_4Q_capped,0.5168439554001355
mn,b0_1Q,0.31882124814607254
mn,b1_2Q,0.17618858292771955
mn,b2_4Q_capped,0.504990168926208
mt,b0_1Q,0.35539731163130944
mt,b1_2Q,0.1806533467446964
mt,b2_4Q_capped,0.46394934162399415
nairobi,b0_1Q,0.22390426337878394
nairobi,b1_2Q,0.12448440723796893
nairobi,b2_4Q_capped,0.6516113293832472
nb,b0_1Q,0.29893261712737795
nb,b1_2Q,0.20027986414660676
nb,b2_4Q_capped,0.5007875187260153
nc,b0_1Q,0.2817721145331103
nc,b1_2Q,0.19517120928859588
nc,b2_4Q_capped,0.5230566761782938
nj,b0_1Q,0.24172765451617395
nj,b1_2Q,0.18662968491627124
nj,b2_4Q_capped,0.5716426605675548
norte,b0_1Q,0.36496998856438434
norte,b1_2Q,0.16679630041463986
norte,b2_4Q_capped,0.46823371102097583
north-holland,b0_1Q,0.24315779497575124
north-holland,b1_2Q,0.2427311388346892
north-holland,b2_4Q_capped,0.5141110661895596
northern-taiwan,b0_1Q,0.18587456175259262
northern-taiwan,b1_2Q,0.1899703849204136
northern-taiwan,b2_4Q_capped,0.6241550533269937
nouvelle-aquitaine,b0_1Q,0.23262654536528374
nouvelle-aquitaine,b1_2Q,0.2338557969870015
nouvelle-aquitaine,b2_4Q_capped,0.5335176576477147
nsw,b0_1Q,0.2050737079120357
nsw,b1_2Q,0.2246209694601729
nsw,b2_4Q_capped,0.5703053226277914
nv,b0_1Q,0.19094659060947367
nv,b1_2Q,0.20902810569638622
nv,b2_4Q_capped,0.6000253036941401
ny,b0_1Q,0.2763174688255987
ny,b1_2Q,0.21729216352684716
ny,b2_4Q_capped,0.5063903676475542
oh,b0_1Q,0.28431292070267605
oh,b1_2Q,0.1872652032410403
oh,b2_4Q_capped,0.5284218760562837
on,b0_1Q,0.26184700395410243
on,b1_2Q,0.2064191862119277
on,b2_4Q_capped,0.5317338098339699
or,b0_1Q,0.3098846151240235
or,b1_2Q,0.18527978969192305
or,b2_4Q_capped,0.5048355951840534
oslo,b0_1Q,0.24530073014086246
oslo,b1_2Q,0.2393803825722238
oslo,b2_4Q_capped,0.5153188872869138
prague,b0_1Q,0.22691396470425607
prague,b1_2Q,0.20578624418265318
prague,b2_4Q_capped,0.5672997911130908
puglia,b0_1Q,0.26173918232042453
puglia,b1_2Q,0.18980427550403078
puglia,b2_4Q_capped,0.5484565421755447
pv,b0_1Q,0.29334266431271505
pv,b1_2Q,0.17649423794350869
pv,b2_4Q_capped,0.5301630977437762
pyrénées-atlantiques,b0_1Q,0.2779044283696973
pyrénées-atlantiques,b1_2Q,0.22608903413136436
pyrénées-atlantiques,b2_4Q_capped,0.4960065374989383
qc,b0_1Q,0.2873698567667081
qc,b1_2Q,0.2026689335597143
qc,b2_4Q_capped,0.5099612096735776
qld,b0_1Q,0.2578744929490775
qld,b1_2Q,0.22268101008955185
qld,b2_4Q_capped,0.5194444969613706
ri,b0_1Q,0.27934839779476756
ri,b1_2Q,0.21764921819274963
ri,b2_4Q_capped,0.5030023840124829
riga,b0_1Q,0.2510606295929962
riga,b1_2Q,0.19284248730922973
riga,b2_4Q_capped,0.556096883097774
rj,b0_1Q,0.16918446173357338
rj,b1_2Q,0.2030582715612665
rj,b2_4Q_capped,0.6277572667051602
rm,b0_1Q,0.31624380874173813
rm,b1_2Q,0.18720901971055942
rm,b2_4Q_capped,0.4965471715477025
sa,b0_1Q,0.24439742648646315
sa,b1_2Q,0.20227557321127856
sa,b2_4Q_capped,0.5533270003022583
scotland,b0_1Q,0.26752130378290934
scotland,b1_2Q,0.21522342082392792
scotland,b2_4Q_capped,0.5172552753931627
sg,b0_1Q,0.24899698537347872
sg,b1_2Q,0.19685883360005954
sg,b2_4Q_capped,0.5541441810264617
sicilia,b0_1Q,0.3056669424819129
sicilia,b1_2Q,0.16847936452588966
sicilia,b2_4Q_capped,0.5258536929921974
south-aegean,b0_1Q,0.24526369527676375
south-aegean,b1_2Q,0.21514017234090418
south-aegean,b2_4Q_capped,0.5395961323823321
south-holland,b0_1Q,0.26034027297314294
south-holland,b1_2Q,0.23429303729794326
south-holland,b2_4Q_capped,0.5053666897289137
sp,b0_1Q,0.19322235582688746
sp,b1_2Q,0.19599872594348727
sp,b2_4Q_capped,0.6107789182296253
stockholms-län,b0_1Q,0.2741871068507022
stockholms-län,b1_2Q,0.2313059022545053
stockholms-län,b2_4Q_capped,0.4945069908947925
tas,b0_1Q,0.22799931589665268
tas,b1_2Q,0.20513654225531372
tas,b2_4Q_capped,0.5668641418480336
tn,b0_1Q,0.30648542929115147
tn,b1_2Q,0.19797052374190158
tn,b2_4Q_capped,0.495544046966947
toscana,b0_1Q,0.2664185132793034
toscana,b1_2Q,0.2026198322973593
toscana,b2_4Q_capped,0.5309616544233373
trentino-alto-adige-südtirol,b0_1Q,0.24669624548158456
trentino-alto-adige-südtirol,b1_2Q,0.19814573057209656
trentino-alto-adige-südtirol,b2_4Q_capped,0.5551580239463189
tx,b0_1Q,0.23879924718634116
tx,b1_2Q,0.2053987764998436
tx,b2_4Q_capped,0.5558019763138152
vc,b0_1Q,0.27913466732714753
vc,b1_2Q,0.18868615925949542
vc,b2_4Q_capped,0.5321791734133571
vd,b0_1Q,0.2594423731561031
vd,b1_2Q,0.22562500921027426
vd,b2_4Q_capped,0.5149326176336226
veneto,b0_1Q,0.27899951323516436
veneto,b1_2Q,0.1942006666685644
veneto,b2_4Q_capped,0.5267998200962712
vic,b0_1Q,0.19909914523255864
vic,b1_2Q,0.21758046936126527
vic,b2_4Q_capped,0.5833203854061761
vienna,b0_1Q,0.24537922427709333
vienna,b1_2Q,0.22443443323976908
vienna,b2_4Q_capped,0.5301863424831376
vlg,b0_1Q,0.26290087785080946
vlg,b1_2Q,0.20502007146323173
vlg,b2_4Q_capped,0.5320790506859588
wa,b0_1Q,0.23977153899434628
wa,b1_2Q,0.20248129104760842
wa,b2_4Q_capped,0.5577471699580453
wc,b0_1Q,0.22955793497182572
wc,b1_2Q,0.22794548833896733
wc,b2_4Q_capped,0.5424965766892069
zürich,b0_1Q,0.2407366485519108
zürich,b1_2Q,0.2329683100897008
zürich,b2_4Q_capped,0.5262950413583884
