quarter,ledger,input_quarter,field,available_date,origin_date,strictly_before
2024Q1,panel_inputs.csv,2021Q2,available_date,2021-08-12,2023-12-14,True
2024Q1,panel_inputs.csv,2021Q3,available_date,2021-11-04,2023-12-14,True
2024Q1,panel_inputs.csv,2021Q4,available_date,2022-02-15,2023-12-14,True
2024Q1,panel_inputs.csv,2022Q1,available_date,2022-05-03,2023-12-14,True
2024Q1,panel_inputs.csv,2022Q2,available_date,2022-08-02,2023-12-14,True
2024Q1,panel_inputs.csv,2022Q3,available_date,2022-11-01,2023-12-14,True
2024Q1,panel_inputs.csv,2022Q4,available_date,2023-02-14,2023-12-14,True
2024Q1,panel_inputs.csv,2023Q1,available_date,2023-05-09,2023-12-14,True
2024Q1,panel_inputs.csv,2023Q2,available_date,2023-08-03,2023-12-14,True
2024Q1,panel_inputs.csv,2023Q3,available_date,2023-11-01,2023-12-14,True
2024Q2,panel_inputs.csv,2020Q3,available_date,2021-11-04,2024-03-14,True
2024Q2,panel_inputs.csv,2020Q4,available_date,2021-02-25,2024-03-14,True
2024Q2,panel_inputs.csv,2021Q1,available_date,2021-05-13,2024-03-14,True
2024Q2,panel_inputs.csv,2021Q2,available_date,2021-08-12,2024-03-14,True
2024Q2,panel_inputs.csv,2021Q3,available_date,2021-11-04,2024-03-14,True
2024Q2,panel_inputs.csv,2021Q4,available_date,2022-02-15,2024-03-14,True
2024Q2,panel_inputs.csv,2022Q1,available_date,2022-05-03,2024-03-14,True
2024Q2,panel_inputs.csv,2022Q2,available_date,2022-08-02,2024-03-14,True
2024Q2,panel_inputs.csv,2022Q3,available_date,2022-11-01,2024-03-14,True
2024Q2,panel_inputs.csv,2022Q4,available_date,2023-02-14,2024-03-14,True
2024Q2,panel_inputs.csv,2023Q1,available_date,2023-05-09,2024-03-14,True
2024Q2,panel_inputs.csv,2023Q2,available_date,2023-08-03,2024-03-14,True
2024Q2,panel_inputs.csv,2023Q3,available_date,2023-11-01,2024-03-14,True
2024Q2,panel_inputs.csv,2023Q4,available_date,2024-02-13,2024-03-14,True
2024Q3,panel_inputs.csv,2020Q3,available_date,2021-11-04,2024-06-13,True
2024Q3,panel_inputs.csv,2020Q4,available_date,2021-02-25,2024-06-13,True
2024Q3,panel_inputs.csv,2021Q1,available_date,2021-05-13,2024-06-13,True
2024Q3,panel_inputs.csv,2021Q2,available_date,2021-08-12,2024-06-13,True
2024Q3,panel_inputs.csv,2021Q3,available_date,2021-11-04,2024-06-13,True
2024Q3,panel_inputs.csv,2021Q4,available_date,2022-02-15,2024-06-13,True
2024Q3,panel_inputs.csv,2022Q1,available_date,2022-05-03,2024-06-13,True
2024Q3,panel_inputs.csv,2022Q2,available_date,2022-08-02,2024-06-13,True
2024Q3,panel_inputs.csv,2022Q3,available_date,2022-11-01,2024-06-13,True
2024Q3,panel_inputs.csv,2022Q4,available_date,2023-02-14,2024-06-13,True
2024Q3,panel_inputs.csv,2023Q1,available_date,2023-05-09,2024-06-13,True
2024Q3,panel_inputs.csv,2023Q2,available_date,2023-08-03,2024-06-13,True
2024Q3,panel_inputs.csv,2023Q3,available_date,2023-11-01,2024-06-13,True
2024Q3,panel_inputs.csv,2023Q4,available_date,2024-02-13,2024-06-13,True
2024Q3,panel_inputs.csv,2024Q1,available_date,2024-05-08,2024-06-13,True
2024Q4,panel_inputs.csv,2020Q3,available_date,2021-11-04,2024-09-13,True
2024Q4,panel_inputs.csv,2020Q4,available_date,2021-02-25,2024-09-13,True
2024Q4,panel_inputs.csv,2021Q1,available_date,2021-05-13,2024-09-13,True
2024Q4,panel_inputs.csv,2021Q2,available_date,2021-08-12,2024-09-13,True
2024Q4,panel_inputs.csv,2021Q3,available_date,2021-11-04,2024-09-13,True
2024Q4,panel_inputs.csv,2021Q4,available_date,2022-02-15,2024-09-13,True
2024Q4,panel_inputs.csv,2022Q1,available_date,2022-05-03,2024-09-13,True
2024Q4,panel_inputs.csv,2022Q2,available_date,2022-08-02,2024-09-13,True
2024Q4,panel_inputs.csv,2022Q3,available_date,2022-11-01,2024-09-13,True
2024Q4,panel_inputs.csv,2022Q4,available_date,2023-02-14,2024-09-13,True
2024Q4,panel_inputs.csv,2023Q1,available_date,2023-05-09,2024-09-13,True
2024Q4,panel_inputs.csv,2023Q2,available_date,2023-08-03,2024-09-13,True
2024Q4,panel_inputs.csv,2023Q3,available_date,2023-11-01,2024-09-13,True
2024Q4,panel_inputs.csv,2023Q4,available_date,2024-02-13,2024-09-13,True
2024Q4,panel_inputs.csv,2024Q1,available_date,2024-05-08,2024-09-13,True
2024Q4,panel_inputs.csv,2024Q2,available_date,2024-08-06,2024-09-13,True
2025Q1,panel_inputs.csv,2020Q3,available_date,2021-11-04,2024-12-13,True
2025Q1,panel_inputs.csv,2020Q4,available_date,2021-02-25,2024-12-13,True
2025Q1,panel_inputs.csv,2021Q1,available_date,2021-05-13,2024-12-13,True
2025Q1,panel_inputs.csv,2021Q2,available_date,2021-08-12,2024-12-13,True
2025Q1,panel_inputs.csv,2021Q3,available_date,2021-11-04,2024-12-13,True
2025Q1,panel_inputs.csv,2021Q4,available_date,2022-02-15,2024-12-13,True
2025Q1,panel_inputs.csv,2022Q1,available_date,2022-05-03,2024-12-13,True
2025Q1,panel_inputs.csv,2022Q2,available_date,2022-08-02,2024-12-13,True
2025Q1,panel_inputs.csv,2022Q3,available_date,2022-11-01,2024-12-13,True
2025Q1,panel_inputs.csv,2022Q4,available_date,2023-02-14,2024-12-13,True
2025Q1,panel_inputs.csv,2023Q1,available_date,2023-05-09,2024-12-13,True
2025Q1,panel_inputs.csv,2023Q2,available_date,2023-08-03,2024-12-13,True
2025Q1,panel_inputs.csv,2023Q3,available_date,2023-11-01,2024-12-13,True
2025Q1,panel_inputs.csv,2023Q4,available_date,2024-02-13,2024-12-13,True
2025Q1,panel_inputs.csv,2024Q1,available_date,2024-05-08,2024-12-13,True
2025Q1,panel_inputs.csv,2024Q2,available_date,2024-08-06,2024-12-13,True
2025Q1,panel_inputs.csv,2024Q3,available_date,2024-11-07,2024-12-13,True
2025Q2,panel_inputs.csv,2020Q3,available_date,2021-11-04,2025-03-14,True
2025Q2,panel_inputs.csv,2020Q4,available_date,2021-02-25,2025-03-14,True
2025Q2,panel_inputs.csv,2021Q1,available_date,2021-05-13,2025-03-14,True
2025Q2,panel_inputs.csv,2021Q2,available_date,2021-08-12,2025-03-14,True
2025Q2,panel_inputs.csv,2021Q3,available_date,2021-11-04,2025-03-14,True
2025Q2,panel_inputs.csv,2021Q4,available_date,2022-02-15,2025-03-14,True
2025Q2,panel_inputs.csv,2022Q1,available_date,2022-05-03,2025-03-14,True
2025Q2,panel_inputs.csv,2022Q2,available_date,2022-08-02,2025-03-14,True
2025Q2,panel_inputs.csv,2022Q3,available_date,2022-11-01,2025-03-14,True
2025Q2,panel_inputs.csv,2022Q4,available_date,2023-02-14,2025-03-14,True
2025Q2,panel_inputs.csv,2023Q1,available_date,2023-05-09,2025-03-14,True
2025Q2,panel_inputs.csv,2023Q2,available_date,2023-08-03,2025-03-14,True
2025Q2,panel_inputs.csv,2023Q3,available_date,2023-11-01,2025-03-14,True
2025Q2,panel_inputs.csv,2023Q4,available_date,2024-02-13,2025-03-14,True
2025Q2,panel_inputs.csv,2024Q1,available_date,2024-05-08,2025-03-14,True
2025Q2,panel_inputs.csv,2024Q2,available_date,2024-08-06,2025-03-14,True
2025Q2,panel_inputs.csv,2024Q3,available_date,2024-11-07,2025-03-14,True
2025Q2,panel_inputs.csv,2024Q4,available_date,2025-02-13,2025-03-14,True
2025Q3,panel_inputs.csv,2020Q3,available_date,2021-11-04,2025-06-13,True
2025Q3,panel_inputs.csv,2020Q4,available_date,2021-02-25,2025-06-13,True
2025Q3,panel_inputs.csv,2021Q1,available_date,2021-05-13,2025-06-13,True
2025Q3,panel_inputs.csv,2021Q2,available_date,2021-08-12,2025-06-13,True
2025Q3,panel_inputs.csv,2021Q3,available_date,2021-11-04,2025-06-13,True
2025Q3,panel_inputs.csv,2021Q4,available_date,2022-02-15,2025-06-13,True
2025Q3,panel_inputs.csv,2022Q1,available_date,2022-05-03,2025-06-13,True
2025Q3,panel_inputs.csv,2022Q2,available_date,2022-08-02,2025-06-13,True
2025Q3,panel_inputs.csv,2022Q3,available_date,2022-11-01,2025-06-13,True
2025Q3,panel_inputs.csv,2022Q4,available_date,2023-02-14,2025-06-13,True
2025Q3,panel_inputs.csv,2023Q1,available_date,2023-05-09,2025-06-13,True
2025Q3,panel_inputs.csv,2023Q2,available_date,2023-08-03,2025-06-13,True
2025Q3,panel_inputs.csv,2023Q3,available_date,2023-11-01,2025-06-13,True
2025Q3,panel_inputs.csv,2023Q4,available_date,2024-02-13,2025-06-13,True
2025Q3,panel_inputs.csv,2024Q1,available_date,2024-05-08,2025-06-13,True
2025Q3,panel_inputs.csv,2024Q2,available_date,2024-08-06,2025-06-13,True
2025Q3,panel_inputs.csv,2024Q3,available_date,2024-11-07,2025-06-13,True
2025Q3,panel_inputs.csv,2024Q4,available_date,2025-02-13,2025-06-13,True
2025Q3,panel_inputs.csv,2025Q1,available_date,2025-05-01,2025-06-13,True
2025Q4,panel_inputs.csv,2020Q3,available_date,2021-11-04,2025-09-12,True
2025Q4,panel_inputs.csv,2020Q4,available_date,2021-02-25,2025-09-12,True
2025Q4,panel_inputs.csv,2021Q1,available_date,2021-05-13,2025-09-12,True
2025Q4,panel_inputs.csv,2021Q2,available_date,2021-08-12,2025-09-12,True
2025Q4,panel_inputs.csv,2021Q3,available_date,2021-11-04,2025-09-12,True
2025Q4,panel_inputs.csv,2021Q4,available_date,2022-02-15,2025-09-12,True
2025Q4,panel_inputs.csv,2022Q1,available_date,2022-05-03,2025-09-12,True
2025Q4,panel_inputs.csv,2022Q2,available_date,2022-08-02,2025-09-12,True
2025Q4,panel_inputs.csv,2022Q3,available_date,2022-11-01,2025-09-12,True
2025Q4,panel_inputs.csv,2022Q4,available_date,2023-02-14,2025-09-12,True
2025Q4,panel_inputs.csv,2023Q1,available_date,2023-05-09,2025-09-12,True
2025Q4,panel_inputs.csv,2023Q2,available_date,2023-08-03,2025-09-12,True
2025Q4,panel_inputs.csv,2023Q3,available_date,2023-11-01,2025-09-12,True
2025Q4,panel_inputs.csv,2023Q4,available_date,2024-02-13,2025-09-12,True
2025Q4,panel_inputs.csv,2024Q1,available_date,2024-05-08,2025-09-12,True
2025Q4,panel_inputs.csv,2024Q2,available_date,2024-08-06,2025-09-12,True
2025Q4,panel_inputs.csv,2024Q3,available_date,2024-11-07,2025-09-12,True
2025Q4,panel_inputs.csv,2024Q4,available_date,2025-02-13,2025-09-12,True
2025Q4,panel_inputs.csv,2025Q1,available_date,2025-05-01,2025-09-12,True
2025Q4,panel_inputs.csv,2025Q2,available_date,2025-08-06,2025-09-12,True
2026Q1,panel_inputs.csv,2020Q3,available_date,2021-11-04,2025-12-12,True
2026Q1,panel_inputs.csv,2020Q4,available_date,2021-02-25,2025-12-12,True
2026Q1,panel_inputs.csv,2021Q1,available_date,2021-05-13,2025-12-12,True
2026Q1,panel_inputs.csv,2021Q2,available_date,2021-08-12,2025-12-12,True
2026Q1,panel_inputs.csv,2021Q3,available_date,2021-11-04,2025-12-12,True
2026Q1,panel_inputs.csv,2021Q4,available_date,2022-02-15,2025-12-12,True
2026Q1,panel_inputs.csv,2022Q1,available_date,2022-05-03,2025-12-12,True
2026Q1,panel_inputs.csv,2022Q2,available_date,2022-08-02,2025-12-12,True
2026Q1,panel_inputs.csv,2022Q3,available_date,2022-11-01,2025-12-12,True
2026Q1,panel_inputs.csv,2022Q4,available_date,2023-02-14,2025-12-12,True
2026Q1,panel_inputs.csv,2023Q1,available_date,2023-05-09,2025-12-12,True
2026Q1,panel_inputs.csv,2023Q2,available_date,2023-08-03,2025-12-12,True
2026Q1,panel_inputs.csv,2023Q3,available_date,2023-11-01,2025-12-12,True
2026Q1,panel_inputs.csv,2023Q4,available_date,2024-02-13,2025-12-12,True
2026Q1,panel_inputs.csv,2024Q1,available_date,2024-05-08,2025-12-12,True
2026Q1,panel_inputs.csv,2024Q2,available_date,2024-08-06,2025-12-12,True
2026Q1,panel_inputs.csv,2024Q3,available_date,2024-11-07,2025-12-12,True
2026Q1,panel_inputs.csv,2024Q4,available_date,2025-02-13,2025-12-12,True
2026Q1,panel_inputs.csv,2025Q1,available_date,2025-05-01,2025-12-12,True
2026Q1,panel_inputs.csv,2025Q2,available_date,2025-08-06,2025-12-12,True
2026Q1,panel_inputs.csv,2025Q3,available_date,2025-11-06,2025-12-12,True
2026Q2,panel_inputs.csv,2020Q3,available_date,2021-11-04,2026-03-13,True
2026Q2,panel_inputs.csv,2020Q4,available_date,2021-02-25,2026-03-13,True
2026Q2,panel_inputs.csv,2021Q1,available_date,2021-05-13,2026-03-13,True
2026Q2,panel_inputs.csv,2021Q2,available_date,2021-08-12,2026-03-13,True
2026Q2,panel_inputs.csv,2021Q3,available_date,2021-11-04,2026-03-13,True
2026Q2,panel_inputs.csv,2021Q4,available_date,2022-02-15,2026-03-13,True
2026Q2,panel_inputs.csv,2022Q1,available_date,2022-05-03,2026-03-13,True
2026Q2,panel_inputs.csv,2022Q2,available_date,2022-08-02,2026-03-13,True
2026Q2,panel_inputs.csv,2022Q3,available_date,2022-11-01,2026-03-13,True
2026Q2,panel_inputs.csv,2022Q4,available_date,2023-02-14,2026-03-13,True
2026Q2,panel_inputs.csv,2023Q1,available_date,2023-05-09,2026-03-13,True
2026Q2,panel_inputs.csv,2023Q2,available_date,2023-08-03,2026-03-13,True
2026Q2,panel_inputs.csv,2023Q3,available_date,2023-11-01,2026-03-13,True
2026Q2,panel_inputs.csv,2023Q4,available_date,2024-02-13,2026-03-13,True
2026Q2,panel_inputs.csv,2024Q1,available_date,2024-05-08,2026-03-13,True
2026Q2,panel_inputs.csv,2024Q2,available_date,2024-08-06,2026-03-13,True
2026Q2,panel_inputs.csv,2024Q3,available_date,2024-11-07,2026-03-13,True
2026Q2,panel_inputs.csv,2024Q4,available_date,2025-02-13,2026-03-13,True
2026Q2,panel_inputs.csv,2025Q1,available_date,2025-05-01,2026-03-13,True
2026Q2,panel_inputs.csv,2025Q2,available_date,2025-08-06,2026-03-13,True
2026Q2,panel_inputs.csv,2025Q3,available_date,2025-11-06,2026-03-13,True
2026Q2,panel_inputs.csv,2025Q4,available_date,2026-02-12,2026-03-13,True
2026Q3,panel_inputs.csv,2020Q3,available_date,2021-11-04,2026-06-12,True
2026Q3,panel_inputs.csv,2020Q4,available_date,2021-02-25,2026-06-12,True
2026Q3,panel_inputs.csv,2021Q1,available_date,2021-05-13,2026-06-12,True
2026Q3,panel_inputs.csv,2021Q2,available_date,2021-08-12,2026-06-12,True
2026Q3,panel_inputs.csv,2021Q3,available_date,2021-11-04,2026-06-12,True
2026Q3,panel_inputs.csv,2021Q4,available_date,2022-02-15,2026-06-12,True
2026Q3,panel_inputs.csv,2022Q1,available_date,2022-05-03,2026-06-12,True
2026Q3,panel_inputs.csv,2022Q2,available_date,2022-08-02,2026-06-12,True
2026Q3,panel_inputs.csv,2022Q3,available_date,2022-11-01,2026-06-12,True
2026Q3,panel_inputs.csv,2022Q4,available_date,2023-02-14,2026-06-12,True
2026Q3,panel_inputs.csv,2023Q1,available_date,2023-05-09,2026-06-12,True
2026Q3,panel_inputs.csv,2023Q2,available_date,2023-08-03,2026-06-12,True
2026Q3,panel_inputs.csv,2023Q3,available_date,2023-11-01,2026-06-12,True
2026Q3,panel_inputs.csv,2023Q4,available_date,2024-02-13,2026-06-12,True
2026Q3,panel_inputs.csv,2024Q1,available_date,2024-05-08,2026-06-12,True
2026Q3,panel_inputs.csv,2024Q2,available_date,2024-08-06,2026-06-12,True
2026Q3,panel_inputs.csv,2024Q3,available_date,2024-11-07,2026-06-12,True
2026Q3,panel_inputs.csv,2024Q4,available_date,2025-02-13,2026-06-12,True
2026Q3,panel_inputs.csv,2025Q1,available_date,2025-05-01,2026-06-12,True
2026Q3,panel_inputs.csv,2025Q2,available_date,2025-08-06,2026-06-12,True
2026Q3,panel_inputs.csv,2025Q3,available_date,2025-11-06,2026-06-12,True
2026Q3,panel_inputs.csv,2025Q4,available_date,2026-02-12,2026-06-12,True
2026Q3,panel_inputs.csv,2026Q1,available_date,2026-05-07,2026-06-12,True
2026Q4,panel_inputs.csv,2020Q3,available_date,2021-11-04,2026-09-11,True
2026Q4,panel_inputs.csv,2020Q4,available_date,2021-02-25,2026-09-11,True
2026Q4,panel_inputs.csv,2021Q1,available_date,2021-05-13,2026-09-11,True
2026Q4,panel_inputs.csv,2021Q2,available_date,2021-08-12,2026-09-11,True
2026Q4,panel_inputs.csv,2021Q3,available_date,2021-11-04,2026-09-11,True
2026Q4,panel_inputs.csv,2021Q4,available_date,2022-02-15,2026-09-11,True
2026Q4,panel_inputs.csv,2022Q1,available_date,2022-05-03,2026-09-11,True
2026Q4,panel_inputs.csv,2022Q2,available_date,2022-08-02,2026-09-11,True
2026Q4,panel_inputs.csv,2022Q3,available_date,2022-11-01,2026-09-11,True
2026Q4,panel_inputs.csv,2022Q4,available_date,2023-02-14,2026-09-11,True
2026Q4,panel_inputs.csv,2023Q1,available_date,2023-05-09,2026-09-11,True
2026Q4,panel_inputs.csv,2023Q2,available_date,2023-08-03,2026-09-11,True
2026Q4,panel_inputs.csv,2023Q3,available_date,2023-11-01,2026-09-11,True
2026Q4,panel_inputs.csv,2023Q4,available_date,2024-02-13,2026-09-11,True
2026Q4,panel_inputs.csv,2024Q1,available_date,2024-05-08,2026-09-11,True
2026Q4,panel_inputs.csv,2024Q2,available_date,2024-08-06,2026-09-11,True
2026Q4,panel_inputs.csv,2024Q3,available_date,2024-11-07,2026-09-11,True
2026Q4,panel_inputs.csv,2024Q4,available_date,2025-02-13,2026-09-11,True
2026Q4,panel_inputs.csv,2025Q1,available_date,2025-05-01,2026-09-11,True
2026Q4,panel_inputs.csv,2025Q2,available_date,2025-08-06,2026-09-11,True
2026Q4,panel_inputs.csv,2025Q3,available_date,2025-11-06,2026-09-11,True
2026Q4,panel_inputs.csv,2025Q4,available_date,2026-02-12,2026-09-11,True
2026Q4,panel_inputs.csv,2026Q1,available_date,2026-05-07,2026-09-11,True
2026Q4,panel_inputs.csv,2026Q2,available_date,2026-08-06,2026-09-11,True
2023Q1,guide_inputs.csv,2022Q1,available_date,2022-02-15,2022-12-14,True
2023Q1,guide_inputs.csv,2022Q4,available_date,2022-11-01,2022-12-14,True
2023Q1,guide_inputs.csv,2021Q4,available_date,2021-11-04,2022-12-14,True
2023Q2,guide_inputs.csv,2022Q2,available_date,2022-05-03,2023-03-14,True
2023Q2,guide_inputs.csv,2023Q1,available_date,2023-02-14,2023-03-14,True
2023Q2,guide_inputs.csv,2022Q1,available_date,2022-02-15,2023-03-14,True
2023Q3,guide_inputs.csv,2022Q3,available_date,2022-08-02,2023-06-13,True
2023Q3,guide_inputs.csv,2023Q2,available_date,2023-05-09,2023-06-13,True
2023Q3,guide_inputs.csv,2022Q2,available_date,2022-05-03,2023-06-13,True
2023Q4,guide_inputs.csv,2022Q4,available_date,2022-11-01,2023-09-13,True
2023Q4,guide_inputs.csv,2023Q3,available_date,2023-08-03,2023-09-13,True
2023Q4,guide_inputs.csv,2022Q3,available_date,2022-08-02,2023-09-13,True
2024Q1,guide_inputs.csv,2023Q1,available_date,2023-02-14,2023-12-14,True
2024Q1,guide_inputs.csv,2023Q4,available_date,2023-11-01,2023-12-14,True
2024Q1,guide_inputs.csv,2022Q4,available_date,2022-11-01,2023-12-14,True
2024Q2,guide_inputs.csv,2023Q2,available_date,2023-05-09,2024-03-14,True
2024Q2,guide_inputs.csv,2024Q1,available_date,2024-02-13,2024-03-14,True
2024Q2,guide_inputs.csv,2023Q1,available_date,2023-02-14,2024-03-14,True
2024Q3,guide_inputs.csv,2023Q3,available_date,2023-08-03,2024-06-13,True
2024Q3,guide_inputs.csv,2024Q2,available_date,2024-05-08,2024-06-13,True
2024Q3,guide_inputs.csv,2023Q2,available_date,2023-05-09,2024-06-13,True
2024Q4,guide_inputs.csv,2023Q4,available_date,2023-11-01,2024-09-13,True
2024Q4,guide_inputs.csv,2024Q3,available_date,2024-08-06,2024-09-13,True
2024Q4,guide_inputs.csv,2023Q3,available_date,2023-08-03,2024-09-13,True
2025Q1,guide_inputs.csv,2024Q1,available_date,2024-02-13,2024-12-13,True
2025Q1,guide_inputs.csv,2024Q4,available_date,2024-11-07,2024-12-13,True
2025Q1,guide_inputs.csv,2023Q4,available_date,2023-11-01,2024-12-13,True
2025Q2,guide_inputs.csv,2024Q2,available_date,2024-05-08,2025-03-14,True
2025Q2,guide_inputs.csv,2025Q1,available_date,2025-02-13,2025-03-14,True
2025Q2,guide_inputs.csv,2024Q1,available_date,2024-02-13,2025-03-14,True
2025Q3,guide_inputs.csv,2024Q3,available_date,2024-08-06,2025-06-13,True
2025Q3,guide_inputs.csv,2025Q2,available_date,2025-05-01,2025-06-13,True
2025Q3,guide_inputs.csv,2024Q2,available_date,2024-05-08,2025-06-13,True
2025Q4,guide_inputs.csv,2024Q4,available_date,2024-11-07,2025-09-12,True
2025Q4,guide_inputs.csv,2025Q3,available_date,2025-08-06,2025-09-12,True
2025Q4,guide_inputs.csv,2024Q3,available_date,2024-08-06,2025-09-12,True
2026Q1,guide_inputs.csv,2025Q1,available_date,2025-02-13,2025-12-12,True
2026Q1,guide_inputs.csv,2025Q4,available_date,2025-11-06,2025-12-12,True
