event_index,prediction_id,issuing_fiscal_period,guided_fiscal_period,guidance_available_at_utc,target_metric,target_type,target_low,target_high,target_midpoint,target_unit,currency,target_source_id,target_citation,target_confidence,notes
11,ABNB-2023Q2-GUIDE,2023Q2,2023Q3,2023-08-03T20:01:02Z,revenue_guidance,numeric_range,3300,3400,3350,USD_millions,USD,SEC_EX99_1,https://www.sec.gov/Archives/edgar/data/1559720/000119312523202832/d446942dex991.htm,high,Numeric shareholder-letter range.
12,ABNB-2023Q3-GUIDE,2023Q3,2023Q4,2023-11-01T20:01:04Z,revenue_guidance,numeric_range,2130,2170,2150,USD_millions,USD,SEC_EX99_1,https://www.sec.gov/Archives/edgar/data/1559720/000119312523268164/d481318dex991.htm,high,Spoken range and SEC exhibit agree.
13,ABNB-2023Q4-GUIDE,2023Q4,2024Q1,2024-02-13T21:09:06Z,revenue_guidance,numeric_range,2030,2070,2050,USD_millions,USD,SEC_EX99_1,https://www.sec.gov/Archives/edgar/data/1559720/000119312524033706/d646462dex991.htm,high,SEC range controls; transcript turn contains a material growth-rate discrepancy ('70%' versus official 17%) and must not be used for that percentage.
14,ABNB-2024Q1-GUIDE,2024Q1,2024Q2,2024-05-08T20:01:08Z,revenue_guidance,numeric_range,2680,2740,2710,USD_millions,USD,SEC_EX99_1,https://www.sec.gov/Archives/edgar/data/1559720/000119312524134183/d813800dex991.htm,high,Dollar range appears in SEC shareholder letter; transcript contextual only.
15,ABNB-2024Q2-GUIDE,2024Q2,2024Q3,2024-08-06T20:00:57Z,revenue_guidance,numeric_range,3670,3730,3700,USD_millions,USD,SEC_EX99_1,https://www.sec.gov/Archives/edgar/data/1559720/000119312524194849/d831385dex991.htm,high,Dollar range appears in SEC shareholder letter; transcript contextual only.
16,ABNB-2024Q3-GUIDE,2024Q3,2024Q4,2024-11-07T21:00:59Z,revenue_guidance,numeric_range,2390,2440,2415,USD_millions,USD,SEC_EX99_1,https://www.sec.gov/Archives/edgar/data/1559720/000119312524253103/d886752dex991.htm,high,Dollar range appears in SEC shareholder letter; transcript contextual only.
17,ABNB-2024Q4-GUIDE,2024Q4,2025Q1,2025-02-13T21:02:39Z,revenue_guidance,numeric_range,2230,2270,2250,USD_millions,USD,SEC_EX99_1,https://www.sec.gov/Archives/edgar/data/1559720/000119312525026054/d915198dex991.htm,high,Spoken range and SEC exhibit agree.
18,ABNB-2025Q1-GUIDE,2025Q1,2025Q2,2025-05-01T20:01:26Z,revenue_guidance,numeric_range,2990,3050,3020,USD_millions,USD,SEC_8K,https://www.sec.gov/Archives/edgar/data/1559720/000119312525109934/d40594d8k.htm,high,Spoken range retained with SEC filing acceptance cutoff.
19,ABNB-2025Q2-GUIDE,2025Q2,2025Q3,2025-08-06T20:01:48Z,revenue_guidance,numeric_range,4020,4100,4060,USD_millions,USD,SEC_8K,https://www.sec.gov/Archives/edgar/data/1559720/000119312525174438/d17531d8k.htm,high,Spoken range retained with SEC filing acceptance cutoff.
20,ABNB-2025Q3-GUIDE,2025Q3,2025Q4,2025-11-06T21:00:50Z,revenue_guidance,numeric_range,2660,2720,2690,USD_millions,USD,SEC_EX99_1,https://www.sec.gov/Archives/edgar/data/1559720/000119312525269432/d40503dex991.htm,high,Spoken range and SEC exhibit agree.
21,ABNB-2025Q4-GUIDE,2025Q4,2026Q1,2026-02-12T21:01:56Z,revenue_guidance,numeric_range,2590,2630,2610,USD_millions,USD,SEC_EX99_1,https://www.sec.gov/Archives/edgar/data/1559720/000119312526048670/d58192dex991.htm,high,Spoken range and SEC exhibit agree.
22,ABNB-2026Q1-GUIDE,2026Q1,2026Q2,2026-05-07T20:00:27Z,revenue_guidance,numeric_range,3540,3600,3570,USD_millions,USD,SEC_EX99_1,https://www.sec.gov/Archives/edgar/data/1559720/000119312526211816/d23351dex991.htm,high,Spoken range and SEC exhibit agree.
23,ABNB-2026Q2-GUIDE,2026Q2,2026Q3,2026-08-06T20:02:53Z,revenue_guidance,numeric_range,4690,4770,4730,USD_millions,USD,SEC_EX99_1,https://www.sec.gov/Archives/edgar/data/1559720/000119312526337928/d70413dex991.htm,high,Spoken range and SEC exhibit agree.
