priority_rank,source_id,provider,dataset_name,family,operating_bridge,abnb_kpi,guidance_target,proposed_transformation,expected_sign,cadence,coverage_start,coverage_end,valid_observations,directness_score,timeliness_score,frequency_score,geography_score,pit_score,weighted_score,forecast_approval,historical_eligibility,first_available_at_utc,earliest_prospective_use,caveat,source_url
11,SFO_AIR_PASSENGERS,City and County of San Francisco,Air Traffic Passenger Statistics,Aviation / physical travel,Passenger/flight activity → trip formation and destination demand → ABNB nights → revenue,Nights & Experiences Booked,Revenue-guidance midpoint YoY residual vs same guided quarter prior year,YoY passenger/flight growth; positive-growth airport breadth; international mix; route breadth,positive,monthly/quarterly,2020-01,2026-06,441,3,5,5,2,1,3.35,discovery_only_not_approved,False,2026-09-03T20:50:50Z,"First ABNB guidance cutoff strictly after collection, only after manifest approval",Current dataset was loaded in August 2026 and is seasonal; original historical vintages were not retrieved,https://data.sfgov.org/Transportation/Air-Traffic-Passenger-Statistics/rkru-6vcg
12,STATCAN_TRAVELLERS,Statistics Canada,International travellers entering or returning to Canada seasonally adjusted,Traveller flows,International overnight travellers → Canadian destination nights → ABNB revenue,Nights & Experiences Booked,Revenue-guidance midpoint YoY residual vs same guided quarter prior year,YoY overnight non-resident visitors by entry province; positive-growth province breadth,positive,monthly,2018-01,2026-06,13056,3,5,5,2,1,3.35,discovery_only_not_approved,False,2026-09-03T20:50:17Z,"First ABNB guidance cutoff strictly after collection, only after manifest approval",Current table may contain revisions; collection is restricted to aggregate published rows,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2410005401
13,EUROSTAT_AVIA_PAEXAC,Eurostat,International extra-EU air passenger transport between main airports and partner world region and countries,Aviation / physical travel,Passenger/flight activity → trip formation and destination demand → ABNB nights → revenue,Nights & Experiences Booked,Revenue-guidance midpoint YoY residual vs same guided quarter prior year,YoY passenger/flight growth; positive-growth airport breadth; international mix; route breadth,positive,monthly/quarterly,2026-04,2026-Q2,1071,3,4,4,4,1,3.25,discovery_only_not_approved,False,2026-09-03T21:17:38Z,"First ABNB guidance cutoff strictly after collection, only after manifest approval",Latest provider snapshot; revisions and cross-source dependence require prospective point-in-time testing,https://ec.europa.eu/eurostat/databrowser/view/avia_paexac/default/table
14,EUROSTAT_AVIA_PAEXCC,Eurostat,International extra-EU air passenger transport between reporting and partner world regions and countries by type of schedule (from 2008 and onwards),Aviation / physical travel,Passenger/flight activity → trip formation and destination demand → ABNB nights → revenue,Nights & Experiences Booked,Revenue-guidance midpoint YoY residual vs same guided quarter prior year,YoY passenger/flight growth; positive-growth airport breadth; international mix; route breadth,positive,monthly/quarterly,2026-04,2026-Q2,68688,3,4,4,4,1,3.25,discovery_only_not_approved,False,2026-09-03T21:15:56Z,"First ABNB guidance cutoff strictly after collection, only after manifest approval",Latest provider snapshot; revisions and cross-source dependence require prospective point-in-time testing,https://ec.europa.eu/eurostat/databrowser/view/avia_paexcc/default/table
15,EUROSTAT_AVIA_PAOA,Eurostat,"Air passenger transport by type of schedule, transport coverage and main airports",Aviation / physical travel,Passenger/flight activity → trip formation and destination demand → ABNB nights → revenue,Nights & Experiences Booked,Revenue-guidance midpoint YoY residual vs same guided quarter prior year,YoY passenger/flight growth; positive-growth airport breadth; international mix; route breadth,positive,monthly/quarterly,2026-04,2026-Q2,37872,3,4,4,4,1,3.25,discovery_only_not_approved,False,2026-09-03T21:15:19Z,"First ABNB guidance cutoff strictly after collection, only after manifest approval",Latest provider snapshot; revisions and cross-source dependence require prospective point-in-time testing,https://ec.europa.eu/eurostat/databrowser/view/avia_paoa/default/table
16,EUROSTAT_AVIA_PAOAC,Eurostat,Air passenger transport between main airports and partner reporting countries,Aviation / physical travel,Passenger/flight activity → trip formation and destination demand → ABNB nights → revenue,Nights & Experiences Booked,Revenue-guidance midpoint YoY residual vs same guided quarter prior year,YoY passenger/flight growth; positive-growth airport breadth; international mix; route breadth,positive,monthly/quarterly,2026-04,2026-Q2,45549,3,4,4,4,1,3.25,discovery_only_not_approved,False,2026-09-03T21:15:46Z,"First ABNB guidance cutoff strictly after collection, only after manifest approval",Latest provider snapshot; revisions and cross-source dependence require prospective point-in-time testing,https://ec.europa.eu/eurostat/databrowser/view/avia_paoac/default/table
17,EUROSTAT_AVIA_PAOC,Eurostat,"Air passenger transport by type of schedule, transport coverage and country",Aviation / physical travel,Passenger/flight activity → trip formation and destination demand → ABNB nights → revenue,Nights & Experiences Booked,Revenue-guidance midpoint YoY residual vs same guided quarter prior year,YoY passenger/flight growth; positive-growth airport breadth; international mix; route breadth,positive,monthly/quarterly,2026-04,2026-Q2,6768,3,4,4,4,1,3.25,discovery_only_not_approved,False,2026-09-03T21:15:13Z,"First ABNB guidance cutoff strictly after collection, only after manifest approval",Latest provider snapshot; revisions and cross-source dependence require prospective point-in-time testing,https://ec.europa.eu/eurostat/databrowser/view/avia_paoc/default/table
18,EUROSTAT_AVIA_PAOCC,Eurostat,Air passenger transport between reporting and partner countries by type of schedule,Aviation / physical travel,Passenger/flight activity → trip formation and destination demand → ABNB nights → revenue,Nights & Experiences Booked,Revenue-guidance midpoint YoY residual vs same guided quarter prior year,YoY passenger/flight growth; positive-growth airport breadth; international mix; route breadth,positive,monthly/quarterly,2026-04,2026-Q2,47124,3,4,4,4,1,3.25,discovery_only_not_approved,False,2026-09-03T21:15:40Z,"First ABNB guidance cutoff strictly after collection, only after manifest approval",Latest provider snapshot; revisions and cross-source dependence require prospective point-in-time testing,https://ec.europa.eu/eurostat/databrowser/view/avia_paocc/default/table
19,EUROSTAT_AVIA_PAODIS,Eurostat,"Air passenger transport by aircraft model, distance bands and transport coverage",Aviation / physical travel,Passenger/flight activity → trip formation and destination demand → ABNB nights → revenue,Nights & Experiences Booked,Revenue-guidance midpoint YoY residual vs same guided quarter prior year,YoY passenger/flight growth; positive-growth airport breadth; international mix; route breadth,positive,monthly/quarterly,2024,2024,54096,3,4,4,4,1,3.25,discovery_only_not_approved,False,2026-09-03T21:15:51Z,"First ABNB guidance cutoff strictly after collection, only after manifest approval",Latest provider snapshot; revisions and cross-source dependence require prospective point-in-time testing,https://ec.europa.eu/eurostat/databrowser/view/avia_paodis/default/table
20,EUROSTAT_PLATFORM_NIGHTS_NUTS3,Eurostat,Guest nights spent at short-stay accommodation offered via collaborative economy platforms by NUTS3 region,Collaborative-platform activity,Platform guest nights → ABNB Nights & Experiences Booked → GBV → revenue,Nights & Experiences Booked,Revenue-guidance midpoint YoY residual vs same guided quarter prior year,YoY guest-night growth; positive-growth geography breadth; international mix; platform share versus total lodging,positive,annual,2024,2025,2478,5,2,2,4,1,3.05,discovery_only_not_approved,False,2026-09-03T20:56:13Z,"First ABNB guidance cutoff strictly after collection, only after manifest approval",Annual and lagged; combines multiple platforms and latest versions may revise history,https://ec.europa.eu/eurostat/databrowser/view/tour_ce_oan3/default/table
21,EUROSTAT_TOUR_CE_OAM,Eurostat,Guest nights spent at short-stay accommodation offered via collaborative economy platforms by mode of accommodation - experimental statistics,Collaborative-platform activity,Platform guest nights → ABNB Nights & Experiences Booked → GBV → revenue,Nights & Experiences Booked,Revenue-guidance midpoint YoY residual vs same guided quarter prior year,YoY guest-night growth; positive-growth geography breadth; international mix; platform share versus total lodging,positive,annual,2025,2025,96,5,2,2,4,1,3.05,discovery_only_not_approved,False,2026-09-03T21:12:28Z,"First ABNB guidance cutoff strictly after collection, only after manifest approval",Latest provider snapshot; revisions and cross-source dependence require prospective point-in-time testing,https://ec.europa.eu/eurostat/databrowser/view/tour_ce_oam/default/table
22,EUROSTAT_TOUR_CE_OAR,Eurostat,Guest nights spent at short-stay accommodation offered via collaborative economy platforms by country of residence of the guest - experimental statistics,Collaborative-platform activity,Platform guest nights → ABNB Nights & Experiences Booked → GBV → revenue,Nights & Experiences Booked,Revenue-guidance midpoint YoY residual vs same guided quarter prior year,YoY guest-night growth; positive-growth geography breadth; international mix; platform share versus total lodging,positive,annual,2025,2025,1822,5,2,2,4,1,3.05,discovery_only_not_approved,False,2026-09-03T21:12:18Z,"First ABNB guidance cutoff strictly after collection, only after manifest approval",Latest provider snapshot; revisions and cross-source dependence require prospective point-in-time testing,https://ec.europa.eu/eurostat/databrowser/view/tour_ce_oar/default/table
23,EUROSTAT_TOUR_CE_OARC,Eurostat,Short-stay accommodation offered via collaborative economy platforms by residence of the guest and cities - experimental statistics,Collaborative-platform activity,Platform guest nights → ABNB Nights & Experiences Booked → GBV → revenue,Nights & Experiences Booked,Revenue-guidance midpoint YoY residual vs same guided quarter prior year,YoY guest-night growth; positive-growth geography breadth; international mix; platform share versus total lodging,positive,annual,2025,2025,2430,5,2,2,4,1,3.05,discovery_only_not_approved,False,2026-09-03T21:12:14Z,"First ABNB guidance cutoff strictly after collection, only after manifest approval",Latest provider snapshot; revisions and cross-source dependence require prospective point-in-time testing,https://ec.europa.eu/eurostat/databrowser/view/tour_ce_oarc/default/table
24,EUROSTAT_TOUR_CE_OASC,Eurostat,Guest nights spent at short-stay accommodation offered via collaborative economy platforms by size class of accommodation - experimental statistics,Collaborative-platform activity,Platform guest nights → ABNB Nights & Experiences Booked → GBV → revenue,Nights & Experiences Booked,Revenue-guidance midpoint YoY residual vs same guided quarter prior year,YoY guest-night growth; positive-growth geography breadth; international mix; platform share versus total lodging,positive,annual,2025,2025,96,5,2,2,4,1,3.05,discovery_only_not_approved,False,2026-09-03T21:12:32Z,"First ABNB guidance cutoff strictly after collection, only after manifest approval",Latest provider snapshot; revisions and cross-source dependence require prospective point-in-time testing,https://ec.europa.eu/eurostat/databrowser/view/tour_ce_oasc/default/table
25,EUROSTAT_TOUR_CE_OAW,Eurostat,"Guest nights spent at short-stay accommodation offered via collaborative economy platforms by NUTS 1 and NUTS 2 region, by world region of residence of the guest - experimental statistics",Collaborative-platform activity,Platform guest nights → ABNB Nights & Experiences Booked → GBV → revenue,Nights & Experiences Booked,Revenue-guidance midpoint YoY residual vs same guided quarter prior year,YoY guest-night growth; positive-growth geography breadth; international mix; platform share versus total lodging,positive,annual,2025,2025,3483,5,2,2,4,1,3.05,discovery_only_not_approved,False,2026-09-03T21:12:23Z,"First ABNB guidance cutoff strictly after collection, only after manifest approval",Latest provider snapshot; revisions and cross-source dependence require prospective point-in-time testing,https://ec.europa.eu/eurostat/databrowser/view/tour_ce_oaw/default/table
26,EUROSTAT_TOUR_OCC_ARN2,Eurostat,Arrivals at tourist accommodation establishments by NUTS 2 region,Tourism demand / occupancy,Destination lodging demand → ABNB trip volume → nights → revenue,Nights & Experiences Booked,Revenue-guidance midpoint YoY residual vs same guided quarter prior year,YoY nights/arrivals growth; regional breadth; short-stay growth minus all-accommodation growth,positive,annual,2025,2025,5280,4,3,2,4,1,2.95,discovery_only_not_approved,False,2026-09-03T21:13:50Z,"First ABNB guidance cutoff strictly after collection, only after manifest approval",Latest provider snapshot; revisions and cross-source dependence require prospective point-in-time testing,https://ec.europa.eu/eurostat/databrowser/view/tour_occ_arn2/default/table
27,EUROSTAT_TOUR_OCC_ARNAT,Eurostat,Arrivals at tourist accommodation establishments,Tourism demand / occupancy,Destination lodging demand → ABNB trip volume → nights → revenue,Nights & Experiences Booked,Revenue-guidance midpoint YoY residual vs same guided quarter prior year,YoY nights/arrivals growth; regional breadth; short-stay growth minus all-accommodation growth,positive,annual,2025,2025,390,4,3,2,4,1,2.95,discovery_only_not_approved,False,2026-09-03T21:13:44Z,"First ABNB guidance cutoff strictly after collection, only after manifest approval",Latest provider snapshot; revisions and cross-source dependence require prospective point-in-time testing,https://ec.europa.eu/eurostat/databrowser/view/tour_occ_arnat/default/table
28,EUROSTAT_TOUR_OCC_ARNRAW,Eurostat,Arrivals at tourist accommodation establishments by country of origin of the tourist,Tourism demand / occupancy,Destination lodging demand → ABNB trip volume → nights → revenue,Nights & Experiences Booked,Revenue-guidance midpoint YoY residual vs same guided quarter prior year,YoY nights/arrivals growth; regional breadth; short-stay growth minus all-accommodation growth,positive,annual,2025,2025,7965,4,3,2,4,1,2.95,discovery_only_not_approved,False,2026-09-03T21:13:57Z,"First ABNB guidance cutoff strictly after collection, only after manifest approval",Latest provider snapshot; revisions and cross-source dependence require prospective point-in-time testing,https://ec.europa.eu/eurostat/databrowser/view/tour_occ_arnraw/default/table
29,EUROSTAT_TOUR_OCC_NIN2DC,Eurostat,Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area and NUTS 2 region,Tourism demand / occupancy,Destination lodging demand → ABNB trip volume → nights → revenue,Nights & Experiences Booked,Revenue-guidance midpoint YoY residual vs same guided quarter prior year,YoY nights/arrivals growth; regional breadth; short-stay growth minus all-accommodation growth,positive,annual,2025,2025,8173,4,3,2,4,1,2.95,discovery_only_not_approved,False,2026-09-03T21:13:40Z,"First ABNB guidance cutoff strictly after collection, only after manifest approval",Latest provider snapshot; revisions and cross-source dependence require prospective point-in-time testing,https://ec.europa.eu/eurostat/databrowser/view/tour_occ_nin2dc/default/table
30,EUROSTAT_TOUR_OCC_NIN3,Eurostat,Nights spent at tourist accommodation establishments by NUTS 3 region (from 2020 onwards),Tourism demand / occupancy,Destination lodging demand → ABNB trip volume → nights → revenue,Nights & Experiences Booked,Revenue-guidance midpoint YoY residual vs same guided quarter prior year,YoY nights/arrivals growth; regional breadth; short-stay growth minus all-accommodation growth,positive,annual,2025,2025,4599,4,3,2,4,1,2.95,discovery_only_not_approved,False,2026-09-03T21:13:20Z,"First ABNB guidance cutoff strictly after collection, only after manifest approval",Latest provider snapshot; revisions and cross-source dependence require prospective point-in-time testing,https://ec.europa.eu/eurostat/databrowser/view/tour_occ_nin3/default/table
31,EUROSTAT_TOUR_OCC_NINAT,Eurostat,Nights spent at tourist accommodation establishments,Tourism demand / occupancy,Destination lodging demand → ABNB trip volume → nights → revenue,Nights & Experiences Booked,Revenue-guidance midpoint YoY residual vs same guided quarter prior year,YoY nights/arrivals growth; regional breadth; short-stay growth minus all-accommodation growth,positive,annual,2025,2025,455,4,3,2,4,1,2.95,discovery_only_not_approved,False,2026-09-03T21:12:49Z,"First ABNB guidance cutoff strictly after collection, only after manifest approval",Latest provider snapshot; revisions and cross-source dependence require prospective point-in-time testing,https://ec.europa.eu/eurostat/databrowser/view/tour_occ_ninat/default/table
32,EUROSTAT_TOUR_OCC_NINATDC,Eurostat,Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area,Tourism demand / occupancy,Destination lodging demand → ABNB trip volume → nights → revenue,Nights & Experiences Booked,Revenue-guidance midpoint YoY residual vs same guided quarter prior year,YoY nights/arrivals growth; regional breadth; short-stay growth minus all-accommodation growth,positive,annual,2025,2025,2589,4,3,2,4,1,2.95,discovery_only_not_approved,False,2026-09-03T21:13:34Z,"First ABNB guidance cutoff strictly after collection, only after manifest approval",Latest provider snapshot; revisions and cross-source dependence require prospective point-in-time testing,https://ec.europa.eu/eurostat/databrowser/view/tour_occ_ninatdc/default/table
33,EUROSTAT_TOUR_OCC_NINATS,Eurostat,Nights spent at hotels and similar accommodation (NACE Rev.2 activity I55.1) by size class,Tourism demand / occupancy,Destination lodging demand → ABNB trip volume → nights → revenue,Nights & Experiences Booked,Revenue-guidance midpoint YoY residual vs same guided quarter prior year,YoY nights/arrivals growth; regional breadth; short-stay growth minus all-accommodation growth,positive,annual,2025,2025,318,4,3,2,4,1,2.95,discovery_only_not_approved,False,2026-09-03T21:12:59Z,"First ABNB guidance cutoff strictly after collection, only after manifest approval",Latest provider snapshot; revisions and cross-source dependence require prospective point-in-time testing,https://ec.europa.eu/eurostat/databrowser/view/tour_occ_ninats/default/table
34,EUROSTAT_TOUR_OCC_NINC,Eurostat,Nights spent at tourist accommodation establishments for selected cities (from 2020 onwards),Tourism demand / occupancy,Destination lodging demand → ABNB trip volume → nights → revenue,Nights & Experiences Booked,Revenue-guidance midpoint YoY residual vs same guided quarter prior year,YoY nights/arrivals growth; regional breadth; short-stay growth minus all-accommodation growth,positive,annual,2025,2025,2568,4,3,2,4,1,2.95,discovery_only_not_approved,False,2026-09-03T21:13:26Z,"First ABNB guidance cutoff strictly after collection, only after manifest approval",Latest provider snapshot; revisions and cross-source dependence require prospective point-in-time testing,https://ec.europa.eu/eurostat/databrowser/view/tour_occ_ninc/default/table
35,EUROSTAT_TOUR_OCC_NINRAW,Eurostat,Nights spent at tourist accommodation establishments  by country of origin of the tourist,Tourism demand / occupancy,Destination lodging demand → ABNB trip volume → nights → revenue,Nights & Experiences Booked,Revenue-guidance midpoint YoY residual vs same guided quarter prior year,YoY nights/arrivals growth; regional breadth; short-stay growth minus all-accommodation growth,positive,annual,2025,2025,7965,4,3,2,4,1,2.95,discovery_only_not_approved,False,2026-09-03T21:12:55Z,"First ABNB guidance cutoff strictly after collection, only after manifest approval",Latest provider snapshot; revisions and cross-source dependence require prospective point-in-time testing,https://ec.europa.eu/eurostat/databrowser/view/tour_occ_ninraw/default/table
36,EUROSTAT_AVIA_PAR_EL,Eurostat,Air passenger transport routes between partner airports and main airports in Greece,Aviation / physical travel,Passenger/flight activity → trip formation and destination demand → ABNB nights → revenue,Nights & Experiences Booked,Revenue-guidance midpoint YoY residual vs same guided quarter prior year,YoY passenger/flight growth; positive-growth airport breadth; international mix; route breadth,positive,monthly/quarterly,2024-10,2024-Q4,18152,3,1,4,4,1,2.65,discovery_only_not_approved,False,2026-09-03T21:16:45Z,"First ABNB guidance cutoff strictly after collection, only after manifest approval",Latest provider snapshot; revisions and cross-source dependence require prospective point-in-time testing,https://ec.europa.eu/eurostat/databrowser/view/avia_par_el/default/table
37,EUROSTAT_AVIA_PAR_ES,Eurostat,Air passenger transport routes between partner airports and main airports in Spain,Aviation / physical travel,Passenger/flight activity → trip formation and destination demand → ABNB nights → revenue,Nights & Experiences Booked,Revenue-guidance midpoint YoY residual vs same guided quarter prior year,YoY passenger/flight growth; positive-growth airport breadth; international mix; route breadth,positive,monthly/quarterly,2024-10,2024-Q4,52231,3,1,4,4,1,2.65,discovery_only_not_approved,False,2026-09-03T21:16:18Z,"First ABNB guidance cutoff strictly after collection, only after manifest approval",Latest provider snapshot; revisions and cross-source dependence require prospective point-in-time testing,https://ec.europa.eu/eurostat/databrowser/view/avia_par_es/default/table
38,EUROSTAT_AVIA_PAR_FR,Eurostat,Air passenger transport routes between partner airports and main airports in France,Aviation / physical travel,Passenger/flight activity → trip formation and destination demand → ABNB nights → revenue,Nights & Experiences Booked,Revenue-guidance midpoint YoY residual vs same guided quarter prior year,YoY passenger/flight growth; positive-growth airport breadth; international mix; route breadth,positive,monthly/quarterly,2024-10,2024-Q4,39308,3,1,4,4,1,2.65,discovery_only_not_approved,False,2026-09-03T21:16:23Z,"First ABNB guidance cutoff strictly after collection, only after manifest approval",Latest provider snapshot; revisions and cross-source dependence require prospective point-in-time testing,https://ec.europa.eu/eurostat/databrowser/view/avia_par_fr/default/table
39,EUROSTAT_AVIA_PAR_IE,Eurostat,Air passenger transport routes between partner airports and main airports in Ireland,Aviation / physical travel,Passenger/flight activity → trip formation and destination demand → ABNB nights → revenue,Nights & Experiences Booked,Revenue-guidance midpoint YoY residual vs same guided quarter prior year,YoY passenger/flight growth; positive-growth airport breadth; international mix; route breadth,positive,monthly/quarterly,2024-10,2024-Q4,8242,3,1,4,4,1,2.65,discovery_only_not_approved,False,2026-09-03T21:16:13Z,"First ABNB guidance cutoff strictly after collection, only after manifest approval",Latest provider snapshot; revisions and cross-source dependence require prospective point-in-time testing,https://ec.europa.eu/eurostat/databrowser/view/avia_par_ie/default/table
40,EUROSTAT_AVIA_PAR_IT,Eurostat,Air passenger transport routes between partner airports and main airports in Italy,Aviation / physical travel,Passenger/flight activity → trip formation and destination demand → ABNB nights → revenue,Nights & Experiences Booked,Revenue-guidance midpoint YoY residual vs same guided quarter prior year,YoY passenger/flight growth; positive-growth airport breadth; international mix; route breadth,positive,monthly/quarterly,2024-10,2024-Q4,48028,3,1,4,4,1,2.65,discovery_only_not_approved,False,2026-09-03T21:16:29Z,"First ABNB guidance cutoff strictly after collection, only after manifest approval",Latest provider snapshot; revisions and cross-source dependence require prospective point-in-time testing,https://ec.europa.eu/eurostat/databrowser/view/avia_par_it/default/table
41,EUROSTAT_AVIA_PAR_NL,Eurostat,Air passenger transport routes between partner airports and main airports in the Netherlands,Aviation / physical travel,Passenger/flight activity → trip formation and destination demand → ABNB nights → revenue,Nights & Experiences Booked,Revenue-guidance midpoint YoY residual vs same guided quarter prior year,YoY passenger/flight growth; positive-growth airport breadth; international mix; route breadth,positive,monthly/quarterly,2024-10,2024-Q4,12662,3,1,4,4,1,2.65,discovery_only_not_approved,False,2026-09-03T21:16:38Z,"First ABNB guidance cutoff strictly after collection, only after manifest approval",Latest provider snapshot; revisions and cross-source dependence require prospective point-in-time testing,https://ec.europa.eu/eurostat/databrowser/view/avia_par_nl/default/table
