winner_DA,n_listings
48061798,131
46111190,131
59153684,130
59170311,129
35201452,129
59170472,129
24661279,129
24661417,128
48060637,128
35460272,128
24663365,128
35260096,127
24661883,127
24661442,126
24661870,126
24661286,126
24661271,125
59170401,125
35204880,125
24661431,124
35202666,124
59153585,124
35490229,124
48112394,124
59390227,124
24220045,124
24661927,123
35061677,123
59153945,123
59170703,123
24661371,123
24661521,123
35061791,123
35430899,122
24230873,121
48060643,121
35200892,121
11020124,121
35410147,120
48060606,120
35210862,120
24220047,119
35202430,119
24661432,118
35204024,117
11020214,116
59350281,116
24661849,114
24661083,114
24661264,114
24661441,114
24230872,114
24661376,114
35204749,113
24663367,113
24663342,112
35200757,112
24663337,112
24231032,112
24661833,111
24661965,111
59390217,111
35200890,111
35431150,111
24661255,110
59310165,110
59230091,110
35203177,109
59153470,109
24661103,109
35410146,109
48060640,108
35490210,108
59153682,108
24661848,108
24661907,108
59150488,107
24663344,107
24661842,107
24662136,107
35061222,107
24661902,107
24661627,107
35460071,107
24230874,106
24661423,106
24661270,106
35203162,105
59153408,105
59350249,105
11030160,105
48150114,104
24661885,104
24770111,104
24661844,104
24661444,104
24661810,104
59350289,104
24661942,104
24661084,104
24661867,103
35204564,103
24661438,103
59350255,103
24661847,103
35460074,103
35204824,103
35061792,102
24661816,102
35204579,102
59150709,102
59153467,102
35204898,102
24661626,102
11020220,102
24663333,101
35200814,101
24661926,101
59010137,101
24661055,101
24661865,101
24810297,101
24661908,101
24663361,100
35204655,100
35202821,99
59350355,99
35204594,99
35460072,99
24663343,99
24661855,99
24661837,99
24450079,99
35204903,99
35203190,99
24661900,98
35204607,98
59210273,98
24662153,98
12180025,98
59350213,98
24230869,98
24661093,97
24660695,97
35212009,97
59310221,97
35470297,97
35204246,96
59310175,96
35204873,96
24661457,96
24580687,96
35204694,96
59010128,96
35260093,96
24661435,95
59260288,95
24662026,95
59390216,95
35060252,95
35260684,95
35204020,95
24940314,95
59153410,94
35204888,94
24661428,94
35200952,94
24661827,94
24210048,94
48060604,93
24661950,93
35440217,93
24661948,93
24663366,93
35204598,93
24661086,93
24780178,93
35201041,93
35440166,93
10010486,93
59230154,93
24661368,93
24230169,92
24661881,92
59150777,92
24661370,92
35201029,92
24661913,92
46110669,92
35204623,92
35120242,92
59151406,91
24663348,91
35410148,91
24661824,91
48060635,91
24780104,91
59010134,91
24661945,91
24661461,90
35200887,90
35061708,90
24661421,90
24230171,90
35061709,90
59153588,89
24661856,89
35200894,89
35201439,88
59153471,88
35440223,88
59050081,88
13070344,88
35190821,88
35130077,88
35410150,88
35204470,87
24661828,87
35440225,87
24661863,87
48150151,87
24661851,87
24661887,87
35410246,87
24661369,87
24460255,87
24661440,86
24661415,86
24810298,86
24661936,86
24661869,86
35204652,86
24661879,86
35490230,86
24663453,86
59151008,86
24661895,85
24663371,85
24662031,85
11020221,85
59390200,85
24661382,85
24663363,85
35440220,85
35440218,85
35202140,85
24661839,84
24661955,84
35200897,84
24661897,84
35490179,84
35200895,84
59153583,84
24230911,84
35300066,84
59170159,83
35204748,83
12090343,83
35130056,83
24450077,83
59390215,82
24661429,82
59310201,82
35204101,82
11020122,82
35204825,82
59170645,82
24661628,82
24661956,82
12090855,82
59210212,82
35130071,82
35410249,82
35260102,82
24661463,81
24661456,81
24661647,81
24661892,81
35440165,81
35204885,81
35061717,81
24661966,81
24810310,81
59350190,81
59151058,80
24661894,80
24661947,80
24662135,80
24230177,80
24160046,80
12090572,80
24360079,80
35260001,80
59150630,80
35202819,79
35202817,79
24663369,79
59153956,79
35201027,79
24770109,79
59153832,79
24150048,79
24661798,78
24661864,78
35260121,78
24662116,78
35204901,78
35430913,78
24661843,78
59150790,78
24661453,78
48150121,78
59153400,78
59350258,78
59050077,78
35300296,78
35200906,77
59153987,77
24661821,77
35440212,77
59090730,77
35201436,77
24780136,77
35260106,77
24661829,76
24780164,76
35190374,76
59153679,76
59170640,76
35204657,76
24661886,76
24661105,76
48150088,76
35420230,76
24230162,76
24661820,76
24780163,76
24661852,75
59290176,75
35203997,75
10010299,75
59153466,75
35191304,75
35202671,75
59153949,75
11020215,75
35191308,75
24661830,74
59170631,74
35201033,74
35490178,74
24770106,74
24661125,74
10010294,74
35150228,74
59153371,74
59370263,74
35430943,74
35130058,74
59210311,74
12090366,74
35260836,73
35204661,73
48112392,73
24661436,73
59150779,73
24661807,73
35440262,73
59070288,73
24230168,73
35061484,73
35460087,73
12090853,72
24661048,72
59153529,72
24661911,72
24661809,72
24661377,72
24661819,72
35400204,72
59310213,72
24663336,72
24661447,72
12060153,72
24662134,72
35260004,72
35400205,72
59290129,72
59070303,72
35130064,72
59150793,71
35061225,71
24810291,71
48060661,71
24661513,71
24661884,71
59170671,71
24770102,71
24661464,71
24662141,71
12150044,71
24760088,71
24661854,71
24661860,71
35440222,71
59150795,71
24661806,71
35200352,71
35204600,70
12090358,70
35061762,70
35130063,70
35430969,70
24663311,70
24661520,70
24760048,70
59310193,70
35460080,70
35430634,70
35204620,70
35260682,70
12060110,70
11020155,70
35440224,70
35061789,70
59170642,70
24662027,69
48060645,69
24661468,69
59170646,69
24661518,69
24450121,69
24662137,69
24661850,69
24661381,69
24770108,69
35204135,69
24661898,69
24230175,69
24661379,69
35202441,69
24230173,69
59390142,69
35200886,68
10010290,68
24661439,68
59153136,68
24661834,68
59390140,68
59270051,68
24230191,68
35150319,68
59270048,68
35204382,68
35060972,68
11020156,68
24661757,68
59153151,68
35130061,68
35190636,68
35100254,68
35201450,67
24770107,67
24450144,67
59153676,67
59153645,67
13070235,67
24160042,67
59153481,66
35204608,66
35201031,66
35200909,66
24662138,66
35204229,66
24662024,66
24661119,66
24661378,66
24661836,66
35204633,66
24230176,66
35204380,66
24620175,66
35430897,66
24780132,66
35201437,66
35440214,66
24661424,66
24620193,66
48112247,66
24220037,66
35204591,65
35201362,65
35200955,65
59153370,65
35200876,65
35204832,65
24230159,65
59153373,65
35061711,65
48060595,65
59290117,65
35202442,65
35440270,65
35130055,65
24663275,65
24662029,65
35191289,65
24661790,65
35130057,65
35130059,65
59310170,65
24661846,64
35211922,64
24661805,64
59310171,64
24661832,64
24660611,64
24661814,64
59390226,64
24661516,64
35201054,64
59350285,64
24810299,64
59230095,64
12090357,64
24661862,64
59390214,64
24150034,64
10090122,64
59150553,64
59150784,63
35201063,63
24661771,63
48062200,63
24662128,63
24661788,63
35440256,63
24820077,63
24810296,63
35200888,63
59150610,63
35410149,63
59150632,63
24661454,63
24661392,63
35201433,63
35430932,63
24620188,63
24090035,63
35480178,63
24661420,62
35204612,62
24661808,62
59150782,62
24661817,62
59153132,62
35204823,62
59151286,62
59390194,62
35204833,62
59150437,62
35200801,62
12090965,62
59310202,62
24230217,62
59153662,62
35100246,62
24210045,61
59290121,61
24661416,61
24661873,61
59153135,61
35203954,61
35204667,61
24661781,61
48111970,61
24663451,61
24663332,61
35204581,61
59310182,61
24661058,61
35440167,61
48060647,61
35203163,61
11030156,60
35204609,60
35200221,60
35260005,60
24450133,60
35201401,60
35204574,60
35430917,60
24662152,60
47062470,60
24780141,60
24661419,60
35440263,60
35150318,60
24780103,60
35204187,60
35204618,60
35190630,60
59390199,60
24661426,59
35201663,59
35201448,59
59153474,59
59153997,59
59152995,59
24662154,59
24661910,59
35490217,59
35204565,59
24661880,59
35100248,59
35200273,59
35204704,59
59150607,59
10050092,59
59240277,59
24780130,59
59390190,59
35200309,59
59370316,59
35490209,59
59151302,58
59090727,58
35061786,58
48150107,58
59030151,58
24661372,58
59150828,58
59153680,58
24661773,58
24661517,58
24663439,58
24770067,58
59170310,58
24661763,58
35061605,58
35204691,58
48112289,58
35200865,58
59153171,58
59370205,58
35600323,58
59153994,58
11020219,58
59153155,58
59150874,58
24770083,58
59150791,57
35260792,57
35201414,57
24770113,57
24661912,57
24661252,57
24780146,57
24661625,57
59150595,57
24661904,57
35061514,57
24661336,57
24780177,57
59154033,57
48060608,57
35410152,57
48150132,57
35200898,57
35060333,57
59210358,57
24770089,57
59151329,57
35370840,57
24661748,56
35201440,56
59150680,56
35061784,56
35200878,56
35204469,56
24663289,56
59153241,56
35191309,56
11020250,56
59152201,56
24661380,56
24661796,56
35200815,56
35204245,56
59290151,56
59290112,56
35100332,56
35061710,56
24661812,56
24780113,56
12090480,56
59153469,56
35061800,56
35150237,56
35260073,56
35370839,56
24830089,56
11010075,56
24661804,56
35440219,56
24780139,56
35460088,56
59170689,56
59390130,56
35204188,56
35150316,56
35440247,56
35061779,55
24520058,55
59230092,55
12180026,55
24661972,55
11020154,55
59150873,55
59153663,55
35203984,55
35130074,55
35061787,55
35204014,55
59153970,55
59210209,55
35204310,55
59150711,55
59310183,55
35201442,55
24661903,55
24661054,55
35204015,55
24661811,55
59153172,55
35400206,55
35260385,55
35430620,55
35410244,54
24660436,54
24661826,54
24661877,54
35202439,54
59170444,54
24780106,54
35061788,54
24661825,54
59153097,54
24661905,54
35201010,54
59153665,54
24661514,54
59153986,54
59390198,54
59150947,54
59170163,54
35060315,54
35200910,54
48150135,54
24230884,54
24663450,54
35060334,54
59530259,54
35260683,54
11020123,54
59150659,54
35260757,54
35204586,54
35130054,54
24230170,54
48110197,54
35200889,53
61060158,53
24800081,53
35190282,53
35202847,53
35201024,53
35201025,53
24770084,53
59153578,53
12090936,53
59154002,53
59153591,53
59150684,53
24780173,53
59150792,53
59150611,53
24340080,53
24661797,52
24663244,52
35200905,52
59150113,52
24661906,52
35200869,52
24620187,52
24661391,52
35200879,52
35201357,52
24660699,52
35200771,52
48060315,52
59153616,52
59151030,52
24661621,52
35061841,52
24780171,52
59150616,52
35204324,52
24661433,52
24230165,52
24661967,52
59350207,52
11020213,52
24510044,52
59150876,52
35060407,52
59310215,52
59350210,52
35470233,52
24580740,52
47130104,52
35420229,51
35204186,51
59153482,51
24661868,51
35260754,51
59260432,51
59152577,51
24780116,51
24662163,51
35204097,51
35204390,51
59153160,51
24661506,51
35204583,51
59090450,51
59150865,51
59310200,51
35200822,51
35380244,51
35200934,51
35200864,51
35203986,51
35260100,51
35130066,51
35060405,51
12090296,51
35201068,51
35060267,51
59150609,51
35150313,51
59150608,50
35100194,50
35202906,50
59153681,50
24660697,50
24661212,50
35201032,50
59150357,50
35060197,50
35201422,50
24580405,50
59150788,50
35202823,50
59153695,50
48060625,50
24663341,50
48060901,50
24460254,50
35061718,50
24661339,50
35260098,50
24661799,50
24661359,50
24661752,50
59350022,50
59153372,50
24663331,50
48062304,50
24661430,50
35191200,50
59150519,50
35510089,50
35200756,49
35430914,49
24661053,49
48061869,49
24770110,49
47110654,49
24661823,49
59150601,49
24662133,49
24661373,49
59153565,49
24661443,49
35060251,49
59350327,49
35190433,49
59310232,49
35200942,49
59150604,49
35201406,49
24661394,49
24661874,49
35201026,49
35440264,49
24660657,49
35060314,49
24150043,49
12090902,49
12150035,49
24230172,49
24230161,48
35060305,48
35204580,48
24230154,48
35300924,48
59290175,48
48150111,48
35204321,48
24661462,48
24661845,48
24661418,48
59050078,48
24663215,48
24661901,48
59153140,48
59290097,48
35200877,48
35204220,48
59153350,48
59190304,48
59170381,48
24780105,48
59290149,48
59170639,48
35200830,48
35440245,48
24230153,48
35201469,48
24662130,48
35380356,48
35200885,48
59350371,48
24663345,48
35204464,48
59070186,48
24662127,48
59151293,48
35440253,48
59350208,48
24661896,48
12150072,48
24660445,47
35202433,47
59310169,47
24661909,47
24661822,47
59150345,47
59150672,47
24661301,47
12120157,47
59153186,47
35160203,47
35201048,47
59150879,47
24663362,47
24661259,47
35061604,47
24230866,47
59310211,47
24661519,47
59153266,47
12060118,47
35420159,47
24661791,47
59350373,47
35204389,47
59310179,47
35200867,47
12090340,47
35204161,47
24230216,47
24230174,47
24661831,47
48112333,47
24661390,47
11010046,47
59170427,47
24661639,46
59153157,46
35200913,46
35410203,46
24661738,46
48112288,46
59153183,46
35201072,46
24661515,46
59153589,46
24662155,46
35211034,46
24661503,46
59151949,46
35204595,46
59153190,46
35204096,46
24620111,46
59150614,46
35212167,46
24661857,46
48060865,46
59150597,46
24661917,46
24460156,46
48112393,46
24661787,46
48062267,46
35600298,46
11020230,46
35204589,46
35200899,46
59350206,46
59153251,46
59150786,46
12090668,46
59190202,46
24661789,46
35201421,46
35204707,46
24661052,46
35204091,46
48060598,46
24450140,46
35490226,46
35260619,46
59150586,45
59170637,45
24660473,45
35204617,45
24620182,45
35204535,45
59310212,45
59150627,45
35201016,45
59150875,45
35200741,45
59350204,45
24661374,45
59290153,45
24770104,45
11020159,45
24662049,45
24661645,45
24230166,45
59153158,45
24661786,45
59153168,45
59150878,45
59150370,45
48060634,45
59070225,45
24790096,45
24661802,45
24663330,45
59150489,45
35202849,45
24663436,45
24661129,45
59350266,45
48080332,45
35120232,45
35160106,45
48060430,44
35160105,44
59150606,44
59150598,44
59153193,44
24661783,44
59153381,44
24661794,44
24770105,44
35201000,44
24662129,44
11020158,44
48060115,44
24661765,44
24460256,44
24200014,44
59170644,44
24230183,44
35160200,44
12090854,44
35201420,44
48112380,44
59150521,44
35204195,44
59310203,44
24460072,44
59153991,44
35201432,44
59150729,44
59070297,44
11020194,44
35061781,44
24810250,44
59153948,44
35200884,44
35460086,44
35191040,44
24663306,44
24662028,43
24661813,43
35061714,43
59153980,43
35201047,43
24620179,43
59150746,43
35431247,43
24770094,43
59150625,43
24661507,43
59290158,43
24661784,43
24661841,43
24661329,43
10010295,43
35190366,43
35260003,43
35204326,43
59153851,43
24660451,43
35202440,43
35203844,43
24780175,43
24780131,43
24661800,43
35260090,43
59151389,43
59151182,43
35201061,43
24230151,43
35430930,43
48150103,43
24660656,43
35191106,43
62040061,43
24950044,43
59150882,42
11020153,42
24370133,42
35201326,42
35204156,42
11030085,42
35204313,42
59170293,42
24661050,42
59170615,42
35060408,42
24661746,42
35061602,42
35200915,42
35061801,42
59150846,42
59350326,42
35150230,42
35204593,42
35260002,42
59170670,42
35200902,42
24661793,42
59310168,42
35201667,42
59153200,42
24661467,42
35260088,42
35204905,42
35204003,42
59350191,42
10010482,42
35340204,42
59310241,42
59170664,42
24820097,42
24230876,42
35340203,42
24661366,42
35204656,42
12180031,42
24661117,41
59153703,41
24661792,41
35060339,41
59210263,41
24230733,41
59150618,41
59150708,41
59390206,41
35202807,41
59050082,41
35130053,41
59153581,41
24661801,41
10010743,41
59150228,41
35200115,41
24660442,41
59150617,41
10010309,41
59153673,41
24830090,41
35420267,41
35201463,41
59150975,41
35460082,41
48112236,41
24230138,41
59150742,41
59170501,41
48060628,41
59010138,41
12090824,41
35204884,41
59153402,41
35061703,41
24661332,41
24460257,41
35201057,41
59030228,41
24450107,41
59153812,41
59290150,41
59070282,41
35280277,41
59530257,41
59210215,41
59151322,41
24230843,41
24230158,41
35160107,41
35430900,41
48060600,41
35490223,41
59310236,41
35191288,41
59153617,41
35204049,40
24450108,40
59150628,40
35201023,40
59153675,40
24661629,40
24800051,40
59150658,40
35060383,40
35420219,40
24820072,40
59310210,40
35204830,40
24661708,40
35200920,40
12090337,40
35490191,40
59350298,40
35202848,40
59153163,40
24780140,40
35201058,40
24662066,40
24230160,40
24661970,40
35202673,40
59070226,40
35200914,40
35201052,40
24661767,40
35061593,40
10010298,40
12090677,40
35061622,40
35200794,40
24661916,40
12090934,40
24770116,40
59150939,40
35070317,40
35440185,40
59170614,40
59151479,40
48030169,40
59153258,40
35203833,40
35150296,40
48062089,40
24231045,40
35260134,40
24930121,40
35204590,39
35204754,39
48060861,39
24661778,39
59153252,39
59150704,39
12180027,39
24663198,39
24620183,39
24661893,39
35130072,39
24660694,39
35061705,39
59150845,39
35100321,39
59350349,39
12060156,39
35204596,39
48062343,39
11010041,39
35204613,39
24661969,39
35061716,39
59150535,39
24662016,39
24661509,39
24661502,39
12060152,39
59150881,39
12090330,39
24770092,39
35204381,39
59153476,39
59290180,39
24230140,39
35061518,39
35260082,39
59153394,39
24662046,39
59150602,39
10090118,39
24810430,39
35400207,39
24930114,39
59350220,39
35204582,39
59150629,39
59151918,39
12150036,39
59153686,39
35200896,39
10010334,39
59350278,39
35204474,39
35470235,39
10070523,39
35061722,39
35260104,39
35120245,39
59370126,38
59150233,38
35204585,38
59152832,38
24230875,38
48060597,38
24663257,38
35240687,38
35430970,38
24661240,38
24820095,38
35061803,38
59150710,38
24661654,38
35200806,38
59150613,38
35204882,38
35201332,38
35260686,38
59153587,38
59154034,38
35201365,38
35130070,38
24661357,38
59150540,38
59010218,38
35201046,38
35260091,38
24230150,38
10010300,38
24661446,38
35100255,38
12090328,38
35202109,38
12090856,38
35460084,38
24661731,38
59150687,38
12180023,38
35201064,38
35061654,38
24661402,38
24662167,38
59153666,38
59151931,38
59150068,38
35060313,38
35300728,38
59290146,38
59370258,38
24450078,38
35202702,38
59150457,38
24661500,37
35440250,37
24770098,37
59390218,37
35410187,37
35200921,37
24661328,37
24661147,37
24661343,37
24800087,37
24663444,37
35440254,37
24662160,37
59350307,37
59153153,37
35201350,37
35201055,37
35204465,37
59151321,37
35120253,37
35204891,37
59150977,37
35200916,37
59153398,37
59390131,37
35201444,37
24510043,37
35202431,37
35200863,37
59150343,37
12090204,37
11020254,37
47110670,37
59350260,37
35061778,37
35204013,37
59153159,37
59151292,37
24661782,37
35202669,37
35061760,37
24230277,37
35150232,37
35280278,37
35100249,37
59030235,37
59150691,37
59153678,37
35490184,37
46130069,37
35100291,37
48062349,37
35440179,37
24810436,37
35061578,37
24770101,37
35191290,37
35200931,36
59153981,36
24650169,36
59150832,36
35200958,36
24661749,36
48060638,36
35201428,36
35204605,36
35420225,36
24660450,36
59150685,36
24661389,36
35200654,36
35200989,36
35204563,36
59350350,36
35200883,36
48062331,36
35200968,36
59151291,36
59150344,36
35202806,36
24661973,36
59150504,36
47110664,36
24661641,36
59410413,36
10010296,36
24750233,36
59150346,36
12040047,36
59350333,36
24450135,36
35204614,36
35061715,36
35201028,36
59153996,36
59170312,36
59350257,36
59240264,36
35061712,36
24662161,36
59150624,36
24820096,36
24661108,36
35201019,36
59150141,36
13080137,36
35490187,36
12070194,36
11010040,36
59350323,36
12090282,36
59153123,36
59150705,36
24660700,36
35440164,36
59010130,36
35260099,36
59170252,36
24661139,36
48060173,36
59150631,36
35204603,36
24230259,36
35210888,36
35201434,36
24770093,36
59030230,36
59154012,36
24780129,36
35431254,36
35260097,36
59150995,35
24150042,35
35200861,35
24810423,35
35060399,35
59260347,35
35100193,35
59151435,35
24661353,35
12060148,35
24820082,35
35203991,35
35190747,35
59152649,35
24661060,35
48060119,35
12050074,35
24661761,35
35203503,35
24450141,35
24662045,35
35061782,35
12090916,35
24661114,35
24820060,35
24710034,35
11020227,35
24230282,35
48060602,35
12140073,35
35260817,35
24661051,35
35070296,35
48150105,35
24661651,35
24661643,35
35204662,35
24661742,35
24660470,35
35150274,35
35260752,35
24790098,35
12150034,35
59153955,35
35410176,35
46010091,35
11010068,35
24620195,35
24620181,35
35301016,35
35140133,35
35200772,35
59150972,35
11020211,35
35202141,35
24850054,35
35431231,35
47110609,35
24450150,35
24210044,35
24620178,35
24661504,34
59210274,34
12090298,34
59153480,34
12090901,34
24230285,34
59150347,34
35201466,34
59010220,34
35060264,34
59150587,34
35204575,34
24230144,34
12150040,34
48060894,34
24661469,34
35201417,34
46110667,34
59151708,34
35201017,34
24661744,34
35204850,34
35204846,34
24510108,34
24820081,34
24780145,34
59150541,34
35490206,34
24230180,34
59153145,34
35201438,34
35430870,34
35100198,34
59150754,34
24220038,34
59151080,34
24661891,34
48060624,34
59170634,34
59350351,34
59150673,34
48061840,34
35203051,34
35130048,34
35191299,34
59150537,34
12150039,34
24661510,34
35150229,34
24820056,34
35201059,34
48061467,34
35200860,34
59150359,34
59153670,34
24620184,34
48061782,34
24660693,34
24660692,34
48112308,34
48060097,34
35430915,34
24460258,34
61060152,34
59151133,34
59150964,34
59350261,34
35061639,34
35202295,34
35200811,34
59151050,34
35203200,34
59153253,34
35200326,34
35480234,33
24661477,33
24663191,33
60010264,33
24660468,33
24450146,33
24661736,33
35200922,33
24661128,33
59070206,33
24660443,33
59350057,33
35100245,33
24661648,33
59350193,33
24660456,33
24450152,33
35390549,33
35061772,33
35204466,33
59153259,33
59153141,33
35201409,33
59150603,33
24770081,33
24661360,33
12180021,33
11020162,33
24661465,33
24661818,33
35380358,33
59150588,33
11020157,33
35060679,33
12090839,33
11020174,33
11020251,33
59350200,33
59070222,33
24662030,33
59290162,33
24750127,33
59310187,33
59170336,33
24661323,33
24661522,33
59050113,33
24662065,33
24661407,33
59070176,33
24230141,33
35060701,33
59350290,33
35201397,33
35201044,33
59350282,33
24150059,33
24661126,33
35430552,33
59290139,33
59190197,33
24661263,33
59170272,33
35490153,33
35204007,33
24661501,33
35410156,33
59150973,33
59152629,33
59350194,33
24770082,33
59151743,33
24661918,32
59150823,32
24230182,32
24661650,32
24663278,32
59150725,32
24663252,32
59150880,32
59260350,32
24660691,32
12090350,32
24230212,32
35060254,32
12100077,32
12060119,32
59170722,32
59150626,32
59170292,32
59190207,32
59030164,32
24661363,32
59150381,32
48061999,32
24470117,32
24661991,32
24770068,32
35200674,32
48062152,32
35260006,32
59153706,32
35260016,32
24661361,32
35204036,32
24780174,32
24230179,32
59153134,32
59070181,32
59350267,32
35204611,32
59070227,32
24660464,32
35200832,32
24661250,32
24661337,32
24661990,32
35202845,32
35061252,32
24910050,32
12060113,32
59150363,32
35200719,32
11020228,32
48020387,32
24661840,32
59150735,32
24661246,32
59150974,32
24770070,32
24662096,32
35200903,32
24780138,32
35201361,32
24661766,32
12180028,32
59290116,32
12090291,32
59153270,32
59150615,32
59150713,32
35060337,32
59153451,32
59530261,32
59070214,32
35130060,32
59150688,32
59350280,32
35150231,32
12060114,32
12150045,32
35090147,32
59310216,32
24620197,32
59350302,32
35200990,32
12090293,32
35130065,32
24780117,32
24661205,32
35202024,32
59030239,31
59151438,31
24770097,31
35203195,31
59153230,31
59153235,31
35203834,31
24661466,31
24820028,31
59150750,31
35200881,31
59170309,31
35204136,31
24661179,31
59150863,31
59150356,31
47110194,31
24770114,31
59153138,31
59150689,31
59150646,31
35200941,31
24661449,31
59170636,31
35260685,31
24661745,31
59170415,31
59154024,31
59153672,31
24660439,31
59150621,31
59390229,31
59350300,31
59470060,31
24230189,31
24663364,31
24300069,31
24220048,31
59470061,31
35260074,31
48112294,31
59150697,31
59150358,31
59151316,31
59310196,31
59153401,31
24661362,31
24661815,31
59290111,31
59150622,31
35201426,31
24661299,31
24663199,31
48061813,31
24780176,31
35204659,31
35200214,31
35260133,31
48060855,31
24810289,31
59240265,31
59151756,31
59153154,31
59153575,31
59151427,31
24661505,31
24662095,31
59150743,31
35061763,31
24662111,31
35200994,31
35204275,31
48060583,31
35203194,31
60010243,31
35201451,31
59090804,31
35204624,31
24450076,31
35201076,31
35211460,31
12060115,31
35202840,31
48061669,31
59153602,31
35130073,31
35204114,31
59350336,31
35060367,31
35200323,31
24660472,31
59150730,31
59390223,31
24661018,31
59190152,31
59350303,31
11020210,31
59151141,31
59350301,31
35430902,31
59151158,31
35061771,31
35070324,31
11020224,31
35190084,31
24460158,30
59153166,30
59350056,30
59153472,30
35200911,30
59150727,30
35200933,30
24760071,30
24661338,30
24230181,30
12070164,30
48060609,30
59151197,30
35060406,30
24660433,30
59350202,30
24662070,30
35430873,30
59153576,30
59260349,30
46150080,30
24940329,30
59150748,30
35390727,30
35201053,30
35201331,30
24661215,30
48111566,30
35070294,30
24820076,30
24661445,30
35201018,30
35061308,30
59151394,30
24663434,30
24662064,30
24661753,30
11020117,30
24460078,30
59153327,30
24661971,30
24230215,30
35431246,30
24810295,30
35202879,30
48060603,30
24250220,30
59150133,30
24661450,30
24230883,30
24661919,30
24662097,30
59150064,30
59152296,30
24661750,30
24661785,30
24663214,30
24300068,30
24200015,30
24231031,30
24663250,30
59170300,30
35130049,30
59170144,30
11030157,30
24660474,30
59210403,30
24780142,30
59151129,30
59151016,30
35200812,30
24662032,30
46111192,30
35202804,30
24661458,30
35060396,30
35204468,30
59150740,30
35061863,30
35460085,30
59390204,30
24230139,30
35191292,30
35212176,30
24230076,30
35300298,30
48112379,30
59350354,30
35100292,30
48061931,30
35460076,30
59150552,30
24661658,30
59153306,30
59010219,30
24230178,30
59150594,30
35160198,30
24810300,30
48160243,30
10090124,30
35431328,30
35202928,29
48060662,29
59170146,29
35200932,29
35061794,29
24660645,29
24661127,29
35203228,29
35201034,29
24230143,29
48060644,29
35201073,29
35211413,29
59153644,29
35060343,29
59153473,29
24661023,29
35061767,29
59170303,29
12060172,29
35201056,29
24662092,29
35200301,29
24230840,29
35201411,29
35202843,29
59150619,29
35200821,29
59350209,29
59150525,29
24663255,29
35200893,29
35204621,29
35212140,29
59010221,29
59150592,29
24661355,29
59350195,29
12090347,29
35204584,29
59290171,29
35061780,29
