company,call_date,sentence_idx,sentence
3M Company,2017-04-25,21,"Canada was up 3%, while Brazil declined 3%"
3M Company,2017-04-25,22,Please turn to slide 8 for the first quarter P&L highlights
3M Company,2017-04-25,23,"Company-wide, first quarter sales were $7.7 billion, and net income increased 3.7% to $1.3 billion"
3M Company,2017-04-25,24,"GAAP operating margins were 23.1%, down 100 basis points versus last year's Q1. Earlier, you heard Inge mention the additional $136 million of strategic investments we made in Q1 to strengthen 3M for the future, in terms of both growth and productivity"
3M Company,2017-04-25,25,"Excluding the impact of these investments, margins were up 80 basis points year over year, driven by strong organic growth and solid operational performance"
3M Company,2017-04-25,26,Let's take a closer look at the various components of our margin performance in the first quarter
3M Company,2017-04-25,27,"Organic growth, along with improved productivity, contributed 120 basis points to margins"
3M Company,2017-04-25,28,"Lower raw material costs, net of selling price changes, added another 50 basis points"
3M Company,2017-04-25,29,"Raw material prices remained favorable to start the year, as our global businesses again delivered savings in excess of market price changes"
3M Company,2017-04-25,30,"We expect raw material benefits to moderate as the year progresses, but still remain positive for the full year"
3M Company,2017-04-25,31,"Turning to headwinds, foreign currency, net of hedge gains, brought margins down 40 basis points in the quarter"
3M Company,2017-04-25,32,"As previously discussed, strategic investments impacted margins by 180 basis points, and higher pension and OPEB expense decreased margins by 30 basis points year on year"
3M Company,2017-04-25,33,"Finally, lower year-on-year gains from divestitures reduced margins by an additional 20 basis points"
3M Company,2017-04-25,34,Let's now turn to slide 9 for a closer look at earnings per share
3M Company,2017-04-25,35,"First quarter GAAP earnings increased 5.4%, to $2.16 per share"
3M Company,2017-04-25,36,The combination of organic growth and productivity contributed $0.22 per share to Q1 earnings
3M Company,2017-04-25,37,Business transformation is having a positive impact on our productivity efforts
3M Company,2017-04-25,38,The year-on-year impact from divestitures reduced earnings by $0.03 per share
3M Company,2017-04-25,39,"Foreign currency, net of hedging, reduced pre-tax earnings by $0.04 a share, while strategic investments were a $0.16 impact"
3M Company,2017-04-25,40,"The first quarter tax rate was 23.7%, versus 26.8% in the comparable quarter, which increased earnings by $0.09 per share"
3M Company,2017-04-25,41,"The lower year-on-year tax rate was driven by favorable geographic profit mix, increased tax benefits from employee equity-based compensation, and ongoing strategic tax initiatives"
3M Company,2017-04-25,42,"In light of the first quarter performance, we now expect our 2017 full-year tax rate to be in the range of 26% to 27.5%"
3M Company,2017-04-25,43,"Finally, average diluted shares outstanding declined nearly 2% year on year, which added $0.03 to Q1 earnings per share"
3M Company,2017-04-25,44,Please turn to slide 10 for a look at cash flow
3M Company,2017-04-25,45,"We continue to generate solid operating cash flow as a company, which allows us to consistently invest in the business and also return cash back to shareholders"
3M Company,2017-04-25,46,"First quarter free cash flow was $701 million, down $245 million year on year, largely due to the timing of pension contributions"
3M Company,2017-04-25,47,"Full-year 2017 pension contributions are expected to remain in the range of $300 million to $500 million, similar to 2016. Free cash flow conversion was 53%, and for the full year, we continue to anticipate free cash flow conversion to be in the range of 95% to 105%"
3M Company,2017-04-25,48,Recall that Q1 is typically our lowest conversion rate of the year
3M Company,2017-04-25,49,"First quarter capital expenditures were $287 million, in line with our expectations heading into the quarter"
3M Company,2017-04-25,50,"For the full year, we continue to anticipate CapEx investments in the range of $1.3 billion to $1.5 billion"
3M Company,2017-04-25,51,"As you heard earlier, we increased our first quarter per share dividend by 6%, resulting in $702 million in cash dividends paid to shareholders during the quarter"
3M Company,2017-04-25,52,We also returned $690 million to shareholders through gross share repurchases
3M Company,2017-04-25,53,We continue to expect full-year repurchases in the range of $2.5 billion to $4.5 billion
3M Company,2017-04-25,54,"Let's now review our performance by business group, staring with Industrial on slide 11. Industrial continued its strong growth momentum from Q4, delivering first quarter sales of $2.7 billion, up 5.7% organically"
3M Company,2017-04-25,55,"Industrial's growth was broad-based, across all businesses and geographic areas"
3M Company,2017-04-25,56,"Our automotive OEM business continued to lead sales growth within Industrial, increasing double digits organically"
3M Company,2017-04-25,57,Growth in this business outpaced the rate of global car and light truck builds by more than 400 basis points
3M Company,2017-04-25,58,"Advanced materials also had a strong start to the year, up high single digits"
3M Company,2017-04-25,59,"Our Heartland businesses within Industrial, abrasives, industrial adhesives and tapes, and automotive aftermarket, each increased mid-single digits organically"
3M Company,2017-04-25,60,"On a geographic basis, organic growth was led by Asia-Pacific, up high single digits, while the U.S"
3M Company,2017-04-25,61,and EMEA increased mid-single digits
3M Company,2017-04-25,62,"Industrial delivered first quarter operating income of $625 million, with operating margins of 23.1%"
3M Company,2017-04-25,63,"Operating margins were down 80 basis points year on year, or up 40 basis points adjusting for a Q1 2016 divestiture gain"
3M Company,2017-04-25,64,"As you can see, Industrial is off to a strong start to 2017. For the full year, we now expect organic growth in the range of 2% to 5% versus our prior estimate of 1% to 3%"
3M Company,2017-04-25,65,Please turn to slide 12. First quarter sales in Safety & Graphics were up 4.8% organically to $1.5 billion
3M Company,2017-04-25,66,"Personal safety, another Heartland business, delivered strong organic growth in the high single digits, with particular strength in Asia-Pacific and the U.S"
3M Company,2017-04-25,67,"The roofing granules business continued to perform well in the first quarter, posting double-digit organic growth, as demand remained strong in the replacement shingle market"
3M Company,2017-04-25,68,"Geographically, Safety & Graphics grew organically in all areas, led by mid-single-digit increases in EMEA, Asia-Pacific, and the U.S"
3M Company,2017-04-25,69,"Operating income for the business group was $399 million, and operating margins increased 180 basis points to 26.1%"
3M Company,2017-04-25,70,"Adjusting for acquisition and divestiture activity in this year and last, operating margins were up 80 basis points"
3M Company,2017-04-25,71,"As with Industrial, Safety & Graphics is off to a strong start, and growth is better than we anticipated entering the year"
3M Company,2017-04-25,72,We now expect organic growth for this business to be between 2% and 5% versus a prior estimate of 1% to 3%
3M Company,2017-04-25,73,Please turn to slide 13. Our Health Care business generated first quarter sales of $1.4 billion
3M Company,2017-04-25,74,"Organic growth was 3.1% year on year, in line with our full-year expectations of 3% to 5%"
3M Company,2017-04-25,75,Growth was led by a double-digit increase in both drug delivery systems and food safety
3M Company,2017-04-25,76,"Our medical consumables businesses, which represent the largest segment within Health Care, posted good growth in Q1. Oral care delivered mid-single-digit organic growth in the first quarter, a marked improvement from the second half of 2016. Our health information systems business was down low single digits organically"
3M Company,2017-04-25,77,We expect the business to improve throughout the year
3M Company,2017-04-25,78,"Geographically, organic growth in Health Care was positive in all areas, led by high single-digit growth in Latin America/Canada and Asia-Pacific"
3M Company,2017-04-25,79,"We saw notable strength in China/Hong Kong, which was up double digits in the quarter"
3M Company,2017-04-25,80,"Health Care's operating income was $434 million, and margins remained strong at 30.5%"
3M Company,2017-04-25,81,"Importantly, we generated these returns while investing an additional $21 million to enhance growth in core platforms across the business"
3M Company,2017-04-25,82,Please turn to slide 14. Electronics & Energy led our company with organic growth of 11.5% in the first quarter
3M Company,2017-04-25,83,Sales were $1.2 billion
3M Company,2017-04-25,84,"The Electronics side of the business grew 18% organically, as our team successfully drove increased penetration on a number of OEM platforms"
3M Company,2017-04-25,85,"Demand strengthened across most market segments in consumer electronics, which also boosted our growth rate, and we benefited from favorable year-on-year comps"
3M Company,2017-04-25,86,"Our Energy-related businesses were up 1% organically, with low single-digit growth in electrical markets, while telecom was flat"
3M Company,2017-04-25,87,"On a geographic basis, organic growth was up double digits in Asia-Pacific, where our Electronics business is concentrated"
3M Company,2017-04-25,88,"First quarter operating income for Electronics & Energy was $225 million, with margins of 18.6%, up 70 basis points"
3M Company,2017-04-25,89,"Adjusting for first quarter portfolio actions, margins were nearly 24%, up 600 basis points year on year"
3M Company,2017-04-25,90,"As you can see, Q1 organic growth was very robust for Electronics & Energy"
3M Company,2017-04-25,91,"As a result, we are updating our full-year growth expectations for this business to a range of up 1% to 6% versus a prior range of down 3% to up 1%"
3M Company,2017-04-25,92,"The first half of the year is expected to be stronger than the second half, largely driven by year-on-year comps"
3M Company,2017-04-25,93,"Please turn to slide 15. First quarter sales in Consumer were $1 billion, and organic growth declined 1.2% year on year"
3M Company,2017-04-25,94,"Three of our four businesses within Consumer grew organically, again led by home improvement followed by consumer health care and home care"
3M Company,2017-04-25,95,"Within the home improvement business, our Command damage-free mounting products posted strong double-digit growth, as accelerated investments continue to pay off"
3M Company,2017-04-25,96,Filtrete filters also delivered strong growth in the quarter
3M Company,2017-04-25,97,"More than offsetting this growth was a year-on-year decline in our stationery and office supplies business, which was impacted by continued channel inventory reductions, primarily in the U.S"
3M Company,2017-04-25,98,office retail and wholesale
3M Company,2017-04-25,99,"Geographically, organic growth in Consumer was led by Asia-Pacific and Latin America/Canada, which was more than offset by a decline in the U.S"
3M Company,2017-04-25,100,"Operating income was $222 million, with operating margins of 21.3%"
3M Company,2017-04-25,101,"Looking at the full year, we expect organic growth for Consumer to be in the range of 1% to 3% versus a prior estimate of 2% to 4%"
3M Company,2017-04-25,102,We also expect to see growth improve as the year progresses
3M Company,2017-04-25,103,"Please turn to slide 16. Before I turn it back to Inge, let me address a few items that we anticipate will happen over the remainder of 2017. The net impact of these items is factored into our EPS guidance today"
3M Company,2017-04-25,104,"First, as you may recall, in December we announced the divestiture of our Identity Management business within Safety & Graphics"
3M Company,2017-04-25,105,"The sale of this business, which has annual sales of approximately $205 million, is expected to close during the second quarter"
3M Company,2017-04-25,106,"Upon completion, we expect to record a gain on sale of approximately $0.55 per share, partially offset by the profit that will go with the business in 2017 after the divestiture is closed"
3M Company,2017-04-25,107,"In addition, recall at our Investor Meeting in March 2016, we introduced a plan to better optimize our portfolio and supply chain footprint"
3M Company,2017-04-25,108,"We expect to make significant progress on that plan in 2017, with associated costs in the range of $0.40 to $0.45 per share over the remainder of the year"
3M Company,2017-04-25,109,"We anticipate $0.20 to $0.30 per share will incur in Q2. In total, the net impact of these items is expected to add between $0.05 and $0.10 to 2017 earnings per share"
3M Company,2017-04-25,110,"Again, this impacted is reflected in our full-year updated guidance, which Inge will now cover on slide 17. Inge?"
3M Company,2017-04-25,111,"Good morning, Andy"
3M Company,2017-04-25,112,"Andy, thanks for the question"
3M Company,2017-04-25,113,You covered quite a few things there
3M Company,2017-04-25,114,"Just from an overall theme standpoint, Andy, we're always looking for opportunities to enhance the value of the enterprise, and that's really part of our business model"
3M Company,2017-04-25,115,"What you see in the first quarter for incremental investments, some of that was investments we were taking to accelerate growth"
3M Company,2017-04-25,116,And that was really lined up with what we had shared last December of the incremental $100 million over the course of 2017 to deliver accelerated growth throughout the year
3M Company,2017-04-25,117,"The other context I'd share with you in thinking about this step up in strategic investments, if you think back to last March at our investor meeting when we laid out our five-year plan, we shared plans for optimizing our portfolio and supply chain footprint with at that time what we described a total of between $500 million and $600 million of investments, and ultimately that we expected that by 2020 to be creating $125 million to $175 million of annualized benefit, operating income benefit"
3M Company,2017-04-25,118,What you're seeing in this step up of accelerated strategic investments both for the quarter and for the year is us taking more action related to what we laid out last year for the optimized actions on our supply chain footprint
3M Company,2017-04-25,119,"Yeah, Joe, as the quarter went on, it was consistent strength across the quarter, all three months of the quarter"
3M Company,2017-04-25,120,"And I'd further add, we're seeing April, the start of April, tracking very much in line with what we've been seeing for the first quarter, so really no intra-quarter trend changes to note"
3M Company,2017-04-25,121,"Yes, Julian, we're not fundamentally seeing any change in our pricing power"
3M Company,2017-04-25,122,That remains strong
3M Company,2017-04-25,123,We do continue to look for targeted places where we can use price to help drive organic volume growth
3M Company,2017-04-25,124,"If I look out over total 2017, we're expecting U.S"
3M Company,2017-04-25,125,price growth to be approximately flat
3M Company,2017-04-25,126,"If I expand it to the total globe, if I pull out the FX impact, we expect pricing to be up slightly"
3M Company,2017-04-25,127,Our normal range is 30 to 50 basis points of core price growth
3M Company,2017-04-25,128,I think it will be somewhere between there and flat for total 2017.
3M Company,2017-04-25,129,"Yes, of the $136 million in strategic investments in the first quarter, Julian, a little less than half of that is investments that we see having a fairly short-term return in 2017 and into early 2018. And those are primarily growth-oriented investments, and those growth-oriented investments were factored into the guidance we set out for the year"
3M Company,2017-04-25,130,"The remainder of the strategic investments, those relate to our portfolio, supply chain footprint"
3M Company,2017-04-25,131,And that's really laid out aligned closely with the plan that we put forward a year ago in March
3M Company,2017-04-25,132,"No, Julian"
3M Company,2017-04-25,133,"Yes, so in December when we laid out our guidance, EPS guidance for the year, strategic investments we had incrementally in a $0.05 to $0.10 range"
3M Company,2017-04-25,134,That was aligned primarily – or almost exclusively with our growth investments
3M Company,2017-04-25,135,"Now what you're seeing, we're seeing the growth investments play out exactly as we guided, still in that $0.05 to $0.10 range for the total year"
3M Company,2017-04-25,136,"What we're layering on top of that is additional footprint actions and portfolio actions that we're taking throughout 2017. So on top of the growth investments, there's roughly an incremental $0.10 of supply chain and portfolio actions that we took in the first quarter of 2017. And then in terms of the guidance for the balance of this year, for Q2, Q3, and Q4, there's an extra $0.40 to $0.45 on top of that that was not part of our initial guidance"
3M Company,2017-04-25,137,"So all in, the growth investments, the incremental $0.10 that we took in the first quarter plus what we're expecting Q2 through Q4, it's now in the range of $0.55 to $0.65 for the total year"
3M Company,2017-04-25,138,"Nigel, we're always, as I said earlier, we're always looking for opportunities"
3M Company,2017-04-25,139,"The level that we were investing in Q1 in strategic investments around growth, no pull forward there"
3M Company,2017-04-25,140,That's coming exactly as we had planned
3M Company,2017-04-25,141,"The increased strategic investments around portfolio actions and the supply chain footprint, that's aligned with our longer-term vision"
3M Company,2017-04-25,142,The exact timing of when we were going to do that we did not have clarity on until we started pulling the trigger on some of those actions in the first quarter and some that we expect to have happen over the next three quarters
3M Company,2017-04-25,143,So I'm not sure I'd characterize it as a pull forward as much as it would be now is the time that it looked like the right time for us to pull the trigger on actions that we had laid out last March
3M Company,2017-04-25,144,"No, the $0.40 to $0.45 does not include anything for Scott Safety"
3M Company,2017-04-25,145,"At the time that closes, we will update guidance to take into account any impact that will have on our 2017 earnings"
3M Company,2017-04-25,146,"Yes, first of all, you heard Inge talked about some of the channel impacts in our office retail and wholesale channel"
3M Company,2017-04-25,147,"In addition, in our Industrial channel, we are seeing increased confidence in the channel, which we're seeing good sell-out of our product"
3M Company,2017-04-25,148,"We're seeing even stronger sell-in to the industrial channel, primarily in the U.S"
3M Company,2017-04-25,149,So that is one place where we're attributing it to higher confidence amongst that channel and seeing what appears to be some restocking of depleted channel levels that we've seen in the past
3M Company,2017-04-25,150,"Jeff, to your first question on the tax rate for what we're now seeing for total 2017, there are a few dynamics going on"
3M Company,2017-04-25,151,"First of all, we are seeing a favorable geographic profit mix for us that is helping us in our tax rate"
3M Company,2017-04-25,152,"It's been a headwind for us the last couple years, and that's switching over to a tailwind for us this year"
3M Company,2017-04-25,153,"We're also seeing some of the benefits, as you'd expect, from some of our tax planning"
3M Company,2017-04-25,154,But one of the more significant items just in the first quarter is the benefit we're getting from the accounting standard change that came into effect last year for the excess tax benefits from stock-based compensation
3M Company,2017-04-25,155,"From a year-on-year basis, that's about a $0.04 benefit versus what we had a year ago"
3M Company,2017-04-25,156,"And, Jeff, I'd say that's the wildcard"
3M Company,2017-04-25,157,"Other things are going very much as we had planned, to get to the 27% tax rate by 2020. But with the added variability from what happens with this excess tax benefit from stock-based compensation, there will be some quarters that's a benefit, and some quarters we won't see any benefit at all"
3M Company,2017-04-25,158,"All in, we're well on track for hitting the 27% in 2020, possibly even lower than that"
3M Company,2017-04-25,159,"But when we have better clarity on that, we'll give a revised number of, can that go even lower than the 27%"
3M Company,2017-04-25,160,"To the second point on the strategic investments, the $136 million, of the growth-related investments, you're correct"
3M Company,2017-04-25,161,Health Care had the majority of that
3M Company,2017-04-25,162,"There were small amounts, single digits of millions of dollars, low to mid-single digits in millions of dollars, in the other four business groups"
3M Company,2017-04-25,163,"And then, from a portfolio and supply chain footprint optimization, the vast majority of that is impacting the Electronics & Energy business, with a little of that hitting the consumer and office business, the Consumer business group"
3M Company,2017-04-25,164,"Rob, as far as the automation portion of our CapEx spending, a year ago at our investor meeting, we laid out that we expected that to be a noticeable part of our CapEx investments"
3M Company,2017-04-25,165,"What we're seeing is, that's playing out exactly as we laid out a year ago, that we're seeing continued opportunities for automation investments within our CapEx plans"
3M Company,2017-04-25,166,"And I wouldn't call it an uptick, but I'd say it's playing out exactly as we laid out"
3M Company,2017-04-25,167,"Scott, the increase in the strategic investments from what we originally guided is really around supply chain and portfolio optimization and much less around growth"
3M Company,2017-04-25,168,"If we see growth even higher than what we're currently expecting, could our growth investments tick up some? I think the short answer is yes"
3M Company,2017-04-25,169,"It could tick up some, but I don't think on a material basis"
3M Company,2017-04-25,170,I think we're now talking single digits of pennies at that point
3M Company,2017-04-25,171,"Good morning, Steve"
3M Company,2017-04-25,172,"Steve, thanks for the question"
3M Company,2017-04-25,173,"Part of what we talked about a little over a year ago at our outlook meeting, for the five-year outlook meeting, is the number of manufacturing sites we have around the world and looking at the productivity in those sites and the opportunity we have through rationalizing the number of those sites, increasing capital into some of our more productive sites, the opportunity to reduce the total footprint of our manufacturing and supply chain sites over the course of the next four years"
3M Company,2017-04-25,174,"So that's what we mean when we talk about it when we laid out a $500 million to $600 million investment that we expect to take, the resulting productivity from that, that by the time we get to 2020 we think that will add another $125 million to $175 million of added operating income through that productivity we can get through rationalizing our supply chain footprint"
3M Company,2017-04-25,175,"If I look at this globally, Steve, we had positive though very small price in all businesses except for Health Care, where we were flat"
3M Company,2017-04-25,176,"Laurence, to the first question on business, and I'll go further in geography, we expect that this action that we're taking in the second quarter and in the third and fourth quarter will impact all businesses and all geographies, that it will be broad"
3M Company,2017-04-25,177,"As far as the specific details of each business, we're still working through those details"
3M Company,2017-04-25,178,"We're not ready to be sharing that yet, Laurence"
3M Company,2017-04-25,179,"And then as far as 2017 to 2018, some of these actions will have a tail into 2018, where there will be residual cost impacts hitting us in 2018, though I expect it will not – I very much expect it will be a decline from the level that we're projecting now for 2017."
Amazon.com Inc.,2017-02-02,1,"Hello, and welcome to our Q4 2016 financial results conference call"
Amazon.com Inc.,2017-02-02,2,"Joining us today to answer your questions is Brian Olsavsky, our CFO"
Amazon.com Inc.,2017-02-02,3,"As you listen to today's conference call, we encourage you to have our press release in front of you, which includes our financial results as well as metrics and commentary on the quarter"
Amazon.com Inc.,2017-02-02,4,"Please note, unless otherwise stated, all comparisons in this call will be against our results for the comparable period of 2015. Our comments and responses to your questions reflect management's views as of today, February 2, 2017 only and will include forward-looking statements"
Amazon.com Inc.,2017-02-02,5,Actual results may differ materially
Amazon.com Inc.,2017-02-02,6,"Additional information about factors that could potentially impact our financial results is included in today's press release and our filings with the SEC, including our most recent Annual Report on Form 10-K and subsequent filings"
Amazon.com Inc.,2017-02-02,7,"During this call, we may discuss certain non-GAAP financial measures"
Amazon.com Inc.,2017-02-02,8,"In our press release, slides accompanying this webcast and our filings with the SEC, each of which is posted on our IR website, you will find additional disclosures regarding these non-GAAP measures including reconciliations of these measures with comparable GAAP measures"
Amazon.com Inc.,2017-02-02,9,Our guidance incorporates the order trends that we've seen to-date and what we believe today to be appropriate assumptions
Amazon.com Inc.,2017-02-02,10,"Our results are inherently unpredictable and may be materially affected by many factors, including fluctuations in foreign exchange rates, changes in global economic conditions and customer spending, world events, the rate of growth of the Internet, online commerce and cloud services, and the various factors detailed in our filings with the SEC"
Amazon.com Inc.,2017-02-02,11,"Our guidance also assumes among other things that we don't conclude additional business acquisitions, investments, restructurings or legal settlements"
Amazon.com Inc.,2017-02-02,12,It is not possible to accurately predict demand for our goods and services and therefore our actual results could differ materially from our guidance
Amazon.com Inc.,2017-02-02,13,"And just briefly before we move to questions, I'd like to address our Form 10-K that we'll be filing with the SEC"
Amazon.com Inc.,2017-02-02,14,We received a comment letter from the SEC's Division of Corporate Finance regarding our 2015 Form 10-K and have subsequently been engaged with the SEC staff regarding our disclosures
Amazon.com Inc.,2017-02-02,15,"We will be revising the disclosures of net, product and service sales in our Form 10-K"
Amazon.com Inc.,2017-02-02,16,"As a result, we expect to file our 2016 Form 10-K later than we typically have, but before the SEC's due date of March 1. These changes relate to our entity-wide disclosures and do not impact the financial results that we report for the company or our segments"
Amazon.com Inc.,2017-02-02,17,"With that, we will move to Q&A"
Amazon.com Inc.,2017-02-02,18,"Operator, please remind our listeners how to initiate a question"
Amazon.com Inc.,2017-02-02,19,Question-and-Answer Session
Amazon.com Inc.,2017-02-02,20,"Yes, hi, Ben"
Amazon.com Inc.,2017-02-02,21,"We're very pleased with our FBA offering, and that's really helpful to sellers around the world"
Amazon.com Inc.,2017-02-02,22,"Certainly, our international sellers have access to more and more customers through that offering and that doesn't exclude sellers in China as well"
Amazon.com Inc.,2017-02-02,23,"The offering in China that we have for consumers is also a great, trusted customer engagement"
Amazon.com Inc.,2017-02-02,24,"And we have a very strong and trusted venue for Chinese customers to access international brands there as we continue to focus on great offerings through the AmazonGlobal Store, which offers great brands from outside of China to customers"
Amazon.com Inc.,2017-02-02,25,And so there's a mix of things going on in China and we're happy with what we're seeing in both of those
Amazon.com Inc.,2017-02-02,26,"Yes, and this is Darin"
Amazon.com Inc.,2017-02-02,27,"On China, like I said, we're very pleased with our offering in China"
Amazon.com Inc.,2017-02-02,28,"Our strategy there has been one of bringing a trusted and authentic product to customers in China, both domestically and from international offers"
Amazon.com Inc.,2017-02-02,29,So we'll continue to focus on the Global Store there
Amazon.com Inc.,2017-02-02,30,"As you may know, we've launched the Prime program that's focused around the availability of international goods in China and that we're pleased with what we're seeing there"
Amazon.com Inc.,2017-02-02,31,"Hi, Mark"
Amazon.com Inc.,2017-02-02,32,"On the unit growth, we're very happy with the 24% unit growth that we saw in Q4 like you mentioned"
Amazon.com Inc.,2017-02-02,33,Our unit growth has been strong and that's primarily attributable to our Prime program and the customers and members that enjoy that program
Amazon.com Inc.,2017-02-02,34,"As Brian mentioned, that 28% is only part of the story"
Amazon.com Inc.,2017-02-02,35,"Our Amazon Fulfilled units, the amount going through our fulfillment centers and which essentially includes our first-party retail and our FBA sales and it grew nearly 40% over 2016. So we're very pleased with those results and happy with the fundamentals of the business from that perspective"
Amazon.com Inc.,2017-02-02,36,Customers continue to respond very well to the low prices
Amazon.com Inc.,2017-02-02,37,"The vast selection which is helped by the FBA sellers and the strong convenience that we can offer through FREE Two-Day Shipping and the multitude of other faster shipping options such as Same-Day, Next-Day and in some cases with Prime Now, the 1-Hour Delivery to 2-Hour Delivery"
Amazon.com Inc.,2017-02-02,38,So Prime membership and selection continues to drive growth and you'll see that in our unit growth numbers
Amazon.com Inc.,2017-02-02,39,"Hi, Mark"
Amazon.com Inc.,2017-02-02,40,This is Darin
Amazon.com Inc.,2017-02-02,41,"On the customer count, no absolute number to give this quarter"
Amazon.com Inc.,2017-02-02,42,"As you know, back in Q1 we gave an active customer count that exceeded 300 million and I can say it's still growing and we're pleased with the number there"
Amazon.com Inc.,2017-02-02,43,What we do like is the engagement with Prime
Amazon.com Inc.,2017-02-02,44,"We continue to add Prime members and similar to the flywheel that Brian was just mentioning, that the FBA selection helps us with engaging customers and in particular the Prime program"
Amazon.com Inc.,2017-02-02,45,So we're very pleased with our customer engagement this year
Amazon.com Inc.,2017-02-02,46,"On the customer split, we serve – in AWS, we serve millions of active customers along the spectrum of large enterprise companies as well as small startups and the public company – or public environment as well"
Amazon.com Inc.,2017-02-02,47,"The multitude of launches that we had in reinvent was great for all sizes of customers, really, both large and small; both companies starting – just getting their start with AWS, but also companies that have been engaged with AWS for many years"
Amazon.com Inc.,2017-02-02,48,"And so we're really happy about the engagement of reinvent and the participation in that conference as well as the engagement of the new services that we've launched in Q4 and all of 2016, really"
Amazon.com Inc.,2017-02-02,49,"And on other revenue, I just want to call out, there's a number of things going into that particular line"
Amazon.com Inc.,2017-02-02,50,"These things include revenue from our co-branded credit card arrangements and certain advertising, particularly display advertising"
Amazon.com Inc.,2017-02-02,51,"We have other types of advertising that's spread out throughout the P&L, whether that's a kind of shared marketing investment from our vendors which goes into contra COGS and lowers the cost of sales, or it's related to other seller advertising which is generally within the EGM and media categories"
Amazon.com Inc.,2017-02-02,52,"And so I'd say other revenue incorporates a number of things, not just advertising"
Amazon.com Inc.,2017-02-02,53,"And on India demonetization, nothing particular to call out today on that"
Amazon.com Inc.,2017-02-02,54,Thank you for joining us on the call today and for your questions
Amazon.com Inc.,2017-02-02,55,A replay will be available on our Investor Relations website at least through the end of the quarter
Amazon.com Inc.,2017-02-02,56,We appreciate your interest in Amazon
Amazon.com Inc.,2017-02-02,57,com and look forward to talking to you again next quarter
"Twitter, Inc.",2017-02-09,1,Good morning everyone and thanks for joining us
"Twitter, Inc.",2017-02-09,2,I want to start our call today by looking back
"Twitter, Inc.",2017-02-09,3,2016 was a transformative year for us
"Twitter, Inc.",2017-02-09,4,"Transformations are difficult, and this one was especially challenging"
"Twitter, Inc.",2017-02-09,5,We started 2016 by resetting and focusing on why people use Twitter
"Twitter, Inc.",2017-02-09,6,"It's the fastest way to see what's happening, and what everyone is talking about"
"Twitter, Inc.",2017-02-09,7,"We reset and refocused on our strengths, and we achieved one of the hardest things to do for a consumer services scale"
"Twitter, Inc.",2017-02-09,8,We reversed and reaccelerated our usage
"Twitter, Inc.",2017-02-09,9,"We're thrilled to report that daily active usage accelerated for the third quarter in a row, and we see that strong growth continuing"
"Twitter, Inc.",2017-02-09,10,We did this by making the experience a little better every single day
"Twitter, Inc.",2017-02-09,11,"It may have felt like we weren't changing much this past year, but those hundreds of little changes added up to more predictable and sustained growth we will now use as a foundation to be more inventive and to take bigger risks"
"Twitter, Inc.",2017-02-09,12,And that's exactly what we are now going to do
"Twitter, Inc.",2017-02-09,13,We said on our last call that revenue growth will lag usage
"Twitter, Inc.",2017-02-09,14,"As you see in our numbers and our outlook, this has proven to be the case"
"Twitter, Inc.",2017-02-09,15,"Our advertisers need the same approach we apply to our consumer service, reset and focus on our strengths"
"Twitter, Inc.",2017-02-09,16,"This means clearly differentiating and complementing Twitter's real-time nature, and proving to advertisers that Twitter is easy and works for them and their customers"
"Twitter, Inc.",2017-02-09,17,2016 challenge was reaccelerating our consumer usage
