quarter,region,premium_logpts,premium_se,premium_basis,premium_source,n_new,n_old,n_markets,variant
4Q24,EMEA,-7.142919136456325,0.5921458204031318,listed_nightly,measured,25064,45664,2,l30d_weighted_premium
1Q25,EMEA,-8.439268035209539,0.6380612191864403,listed_nightly,measured,22540,44492,2,l30d_weighted_premium
2Q25,EMEA,-9.883297649284335,0.5590038114506989,listed_nightly,measured,21206,47960,2,l30d_weighted_premium
3Q25,EMEA,-9.195307509009924,0.5688555323710469,listed_nightly,measured,27208,60131,3,l30d_weighted_premium
4Q25,EMEA,-9.195307509009924,0.5688555323710469,listed_nightly,carried_from_3Q25,27208,60131,3,l30d_weighted_premium
1Q26,EMEA,-3.773258077612174,0.5430887544447651,quote_per_night,measured,28091,77607,4,l30d_weighted_premium
2Q26,EMEA,-2.2699484500514853,0.2728161513930319,quote_per_night,measured,86758,257494,4,l30d_weighted_premium
3Q26,EMEA,-3.1358792688514563,0.329574330912096,quote_per_night,measured,62814,190227,4,l30d_weighted_premium
1Q23,LatAm,-0.9032591083406326,6.080258230059696,listed_nightly,carried_back_from_4Q24,506,1786,1,l30d_weighted_premium
2Q23,LatAm,-0.9032591083406326,6.080258230059696,listed_nightly,carried_back_from_4Q24,506,1786,1,l30d_weighted_premium
3Q23,LatAm,-0.9032591083406326,6.080258230059696,listed_nightly,carried_back_from_4Q24,506,1786,1,l30d_weighted_premium
4Q23,LatAm,-0.9032591083406326,6.080258230059696,listed_nightly,carried_back_from_4Q24,506,1786,1,l30d_weighted_premium
1Q24,LatAm,-0.9032591083406326,6.080258230059696,listed_nightly,carried_back_from_4Q24,506,1786,1,l30d_weighted_premium
2Q24,LatAm,-0.9032591083406326,6.080258230059696,listed_nightly,carried_back_from_4Q24,506,1786,1,l30d_weighted_premium
3Q24,LatAm,-0.9032591083406326,6.080258230059696,listed_nightly,carried_back_from_4Q24,506,1786,1,l30d_weighted_premium
4Q24,LatAm,-0.9032591083406326,6.080258230059696,listed_nightly,measured,506,1786,1,l30d_weighted_premium
1Q25,LatAm,-6.202925199056915,5.39835673867326,listed_nightly,measured,485,1934,1,l30d_weighted_premium
2Q25,LatAm,-2.1026543192208766,1.0044055062364832,listed_nightly,measured,16612,36740,3,l30d_weighted_premium
3Q25,LatAm,-5.060501093322429,0.4453833286088067,listed_nightly,measured,47742,113916,5,l30d_weighted_premium
4Q25,LatAm,-3.702334693998528,0.7377790824483279,listed_nightly,carried_from_4Q25,10739,25721,2,l30d_weighted_premium
1Q26,LatAm,-3.251947798525787,0.5209312608809321,quote_per_night,measured,27128,63887,5,l30d_weighted_premium
2Q26,LatAm,-2.148332969407984,0.3610546947711148,quote_per_night,measured,59736,133652,7,l30d_weighted_premium
3Q26,LatAm,-3.083511005162345,0.2828641558632497,quote_per_night,measured,97038,205184,7,l30d_weighted_premium
1Q23,APAC,-0.5174802553704103,0.7923502119254879,listed_nightly,carried_back_from_4Q24,17473,33888,6,l30d_weighted_premium
2Q23,APAC,-0.5174802553704103,0.7923502119254879,listed_nightly,carried_back_from_4Q24,17473,33888,6,l30d_weighted_premium
3Q23,APAC,-0.5174802553704103,0.7923502119254879,listed_nightly,carried_back_from_4Q24,17473,33888,6,l30d_weighted_premium
4Q23,APAC,-0.5174802553704103,0.7923502119254879,listed_nightly,carried_back_from_4Q24,17473,33888,6,l30d_weighted_premium
1Q24,APAC,-0.5174802553704103,0.7923502119254879,listed_nightly,carried_back_from_4Q24,17473,33888,6,l30d_weighted_premium
2Q24,APAC,-0.5174802553704103,0.7923502119254879,listed_nightly,carried_back_from_4Q24,17473,33888,6,l30d_weighted_premium
3Q24,APAC,-0.5174802553704103,0.7923502119254879,listed_nightly,carried_back_from_4Q24,17473,33888,6,l30d_weighted_premium
4Q24,APAC,-0.5174802553704103,0.7923502119254879,listed_nightly,measured,17473,33888,6,l30d_weighted_premium
1Q25,APAC,-0.2065405101159846,0.5803353189017072,listed_nightly,measured,22454,49764,10,l30d_weighted_premium
2Q25,APAC,-0.1613248535188329,0.5846600090561533,listed_nightly,measured,24394,58215,12,l30d_weighted_premium
3Q25,APAC,-1.1576246211217849,0.4782658403123399,listed_nightly,measured,32031,77616,14,l30d_weighted_premium
4Q25,APAC,4.230088556277531,1.1440220242823325,listed_nightly,carried_from_4Q25,2646,6144,2,l30d_weighted_premium
1Q26,APAC,0.7577547056107714,0.4640648206106562,quote_per_night,measured,29018,68316,12,l30d_weighted_premium
2Q26,APAC,0.2268561480013803,0.3997974770681072,quote_per_night,measured,45663,110646,15,l30d_weighted_premium
3Q26,APAC,1.0791920104519803,0.3274503481767891,quote_per_night,measured,72680,191586,15,l30d_weighted_premium
1Q23,NAM,-9.81565301462718,0.92172026345492,listed_nightly,carried_back_from_2Q24,4052,9688,2,entire_home_premium
2Q23,NAM,-9.81565301462718,0.92172026345492,listed_nightly,carried_back_from_2Q24,4052,9688,2,entire_home_premium
3Q23,NAM,-9.81565301462718,0.92172026345492,listed_nightly,carried_back_from_2Q24,4052,9688,2,entire_home_premium
4Q23,NAM,-9.81565301462718,0.92172026345492,listed_nightly,carried_back_from_2Q24,4052,9688,2,entire_home_premium
1Q24,NAM,-9.81565301462718,0.92172026345492,listed_nightly,carried_back_from_2Q24,4052,9688,2,entire_home_premium
2Q24,NAM,-9.81565301462718,0.92172026345492,listed_nightly,measured,4052,9688,2,entire_home_premium
3Q24,NAM,-11.46494465292629,0.9415453304533528,listed_nightly,measured,3857,9887,2,entire_home_premium
4Q24,NAM,-16.490687599990125,0.959342758775438,listed_nightly,measured,3904,9848,2,entire_home_premium
1Q25,NAM,-6.638057574237736,0.4830881610510153,listed_nightly,measured,12426,34143,5,entire_home_premium
2Q25,NAM,-5.640731375340162,0.4524097079841393,listed_nightly,measured,13603,38655,6,entire_home_premium
3Q25,NAM,-6.598941437514048,0.4603348881045876,listed_nightly,measured,13271,39200,6,entire_home_premium
4Q25,NAM,0.1762928331130429,1.7203815344280873,listed_nightly,carried_from_4Q25,1071,7233,1,entire_home_premium
1Q26,NAM,3.9338753684347423,0.5902398899410661,quote_per_night,measured,8791,31427,4,entire_home_premium
2Q26,NAM,2.9194426188420173,0.2756644126972832,quote_per_night,measured,39523,141066,7,entire_home_premium
3Q26,NAM,3.758043092689374,0.3388754217696059,quote_per_night,measured,26714,96363,7,entire_home_premium
1Q23,EMEA,8.31096014026726,0.8825869618227314,listed_nightly,measured,3741,11155,1,entire_home_premium
2Q23,EMEA,13.330702122962611,0.900966505397366,listed_nightly,measured,4424,11826,1,entire_home_premium
3Q23,EMEA,7.765970799173042,0.8371136294188264,listed_nightly,measured,4819,12403,1,entire_home_premium
4Q23,EMEA,6.77456438500079,0.4051875677538229,listed_nightly,measured,21578,41403,2,entire_home_premium
1Q24,EMEA,-5.326942798944009,0.403508927608687,listed_nightly,measured,20832,33197,2,entire_home_premium
2Q24,EMEA,-5.733524673578407,0.3742781453728895,listed_nightly,measured,24740,37785,2,entire_home_premium
3Q24,EMEA,-7.855294651256411,0.3748329752780464,listed_nightly,measured,24249,36663,2,entire_home_premium
4Q24,EMEA,-6.772056630656947,0.366720312810524,listed_nightly,measured,22587,38263,2,entire_home_premium
1Q25,EMEA,-8.097128782386104,0.3896992675526793,listed_nightly,measured,20290,37602,2,entire_home_premium
2Q25,EMEA,-8.316504238337053,0.4165568382906105,listed_nightly,measured,18976,40868,2,entire_home_premium
3Q25,EMEA,-9.95863240250823,0.3849543445031758,listed_nightly,measured,20607,43505,3,entire_home_premium
4Q25,EMEA,-9.95863240250823,0.3849543445031758,listed_nightly,carried_from_3Q25,20607,43505,3,entire_home_premium
1Q26,EMEA,-7.697921225520214,0.3331164055267348,quote_per_night,measured,22586,60802,4,entire_home_premium
2Q26,EMEA,-5.504827622161082,0.1988272163016904,quote_per_night,measured,69520,201479,4,entire_home_premium
3Q26,EMEA,-6.013147688493778,0.2373018426256712,quote_per_night,measured,48791,147765,4,entire_home_premium
1Q23,LatAm,4.4691751159851005,3.2756722793764763,listed_nightly,carried_back_from_4Q24,421,1353,1,entire_home_premium
2Q23,LatAm,4.4691751159851005,3.2756722793764763,listed_nightly,carried_back_from_4Q24,421,1353,1,entire_home_premium
3Q23,LatAm,4.4691751159851005,3.2756722793764763,listed_nightly,carried_back_from_4Q24,421,1353,1,entire_home_premium
4Q23,LatAm,4.4691751159851005,3.2756722793764763,listed_nightly,carried_back_from_4Q24,421,1353,1,entire_home_premium
1Q24,LatAm,4.4691751159851005,3.2756722793764763,listed_nightly,carried_back_from_4Q24,421,1353,1,entire_home_premium
2Q24,LatAm,4.4691751159851005,3.2756722793764763,listed_nightly,carried_back_from_4Q24,421,1353,1,entire_home_premium
3Q24,LatAm,4.4691751159851005,3.2756722793764763,listed_nightly,carried_back_from_4Q24,421,1353,1,entire_home_premium
4Q24,LatAm,4.4691751159851005,3.2756722793764763,listed_nightly,measured,421,1353,1,entire_home_premium
1Q25,LatAm,-0.8163792616055049,3.0604236395111126,listed_nightly,measured,400,1484,1,entire_home_premium
2Q25,LatAm,-4.917676976298436,0.5751610437915775,listed_nightly,measured,13133,28401,3,entire_home_premium
3Q25,LatAm,-5.922790219007418,0.2738980606802149,listed_nightly,measured,41848,97642,5,entire_home_premium
4Q25,LatAm,-5.006780783692443,0.5212779270438789,listed_nightly,carried_from_4Q25,9805,23106,2,entire_home_premium
1Q26,LatAm,-4.088470367990956,0.3713074757936459,quote_per_night,measured,23397,53187,5,entire_home_premium
2Q26,LatAm,-2.2251560033253166,0.2515406507808193,quote_per_night,measured,49652,106609,7,entire_home_premium
3Q26,LatAm,-2.093106098701929,0.1915819288745078,quote_per_night,measured,83729,169301,7,entire_home_premium
1Q23,APAC,0.997671486472258,0.5028605483248149,listed_nightly,carried_back_from_4Q24,14713,27132,6,entire_home_premium
2Q23,APAC,0.997671486472258,0.5028605483248149,listed_nightly,carried_back_from_4Q24,14713,27132,6,entire_home_premium
3Q23,APAC,0.997671486472258,0.5028605483248149,listed_nightly,carried_back_from_4Q24,14713,27132,6,entire_home_premium
4Q23,APAC,0.997671486472258,0.5028605483248149,listed_nightly,carried_back_from_4Q24,14713,27132,6,entire_home_premium
1Q24,APAC,0.997671486472258,0.5028605483248149,listed_nightly,carried_back_from_4Q24,14713,27132,6,entire_home_premium
2Q24,APAC,0.997671486472258,0.5028605483248149,listed_nightly,carried_back_from_4Q24,14713,27132,6,entire_home_premium
3Q24,APAC,0.997671486472258,0.5028605483248149,listed_nightly,carried_back_from_4Q24,14713,27132,6,entire_home_premium
4Q24,APAC,0.997671486472258,0.5028605483248149,listed_nightly,measured,14713,27132,6,entire_home_premium
1Q25,APAC,-1.4576210650527397,0.3824582899631152,listed_nightly,measured,19103,41462,10,entire_home_premium
2Q25,APAC,-1.2624646241149342,0.3646284259708532,listed_nightly,measured,20842,48404,12,entire_home_premium
3Q25,APAC,-2.511328261209712,0.3086241528881747,listed_nightly,measured,27188,65005,14,entire_home_premium
4Q25,APAC,1.4978430886419782,0.9135867700566548,listed_nightly,carried_from_4Q25,2194,5394,2,entire_home_premium
1Q26,APAC,-0.4104245719771122,0.2978481882088056,quote_per_night,measured,24301,57741,12,entire_home_premium
2Q26,APAC,-0.6452225664169374,0.2627887073812555,quote_per_night,measured,37057,90294,15,entire_home_premium
3Q26,APAC,0.7701595414914958,0.2045681058261798,quote_per_night,measured,59298,156125,15,entire_home_premium
1Q23,NAM,-9.543842696691344,0.8744705994433734,listed_nightly,carried_back_from_2Q24,4525,10758,2,full_scope_premium
2Q23,NAM,-9.543842696691344,0.8744705994433734,listed_nightly,carried_back_from_2Q24,4525,10758,2,full_scope_premium
3Q23,NAM,-9.543842696691344,0.8744705994433734,listed_nightly,carried_back_from_2Q24,4525,10758,2,full_scope_premium
4Q23,NAM,-9.543842696691344,0.8744705994433734,listed_nightly,carried_back_from_2Q24,4525,10758,2,full_scope_premium
1Q24,NAM,-9.543842696691344,0.8744705994433734,listed_nightly,carried_back_from_2Q24,4525,10758,2,full_scope_premium
2Q24,NAM,-9.543842696691344,0.8744705994433734,listed_nightly,measured,4525,10758,2,full_scope_premium
3Q24,NAM,-10.75889095427982,0.8914539715076605,listed_nightly,measured,4303,11002,2,full_scope_premium
4Q24,NAM,-15.438617073203323,0.9150507104155872,listed_nightly,measured,4347,11037,2,full_scope_premium
1Q25,NAM,-6.503449320541903,0.4486390930281297,listed_nightly,measured,14976,41449,5,full_scope_premium
2Q25,NAM,-6.029117512054063,0.4269672993312822,listed_nightly,measured,16132,46330,6,full_scope_premium
3Q25,NAM,-5.153140575863467,0.465230925480728,listed_nightly,measured,13451,40270,5,full_scope_premium
4Q25,NAM,1.885135084816549,1.4274351918041148,listed_nightly,carried_from_4Q25,1849,12818,1,full_scope_premium
1Q26,NAM,4.096204793811076,0.457558984817981,quote_per_night,carried_back_from_2Q26,17292,63844,7,full_scope_premium
2Q26,NAM,4.096204793811076,0.457558984817981,quote_per_night,measured,17292,63844,7,full_scope_premium
3Q26,NAM,3.833974454634654,0.3184587890194854,quote_per_night,measured,34416,124411,7,full_scope_premium
1Q23,EMEA,8.405560095673627,0.7811479220957169,listed_nightly,measured,5095,15636,1,full_scope_premium
2Q23,EMEA,12.873986659369432,0.8085025042946316,listed_nightly,measured,5779,16584,1,full_scope_premium
3Q23,EMEA,6.368986286517902,0.7520209920104114,listed_nightly,measured,6270,17356,1,full_scope_premium
4Q23,EMEA,5.8682891152800725,0.3774120548550588,listed_nightly,measured,24594,50364,2,full_scope_premium
1Q24,EMEA,-6.023944980966722,0.3812937773895588,listed_nightly,measured,23483,39929,2,full_scope_premium
2Q24,EMEA,-6.591010455654689,0.3555274964462452,listed_nightly,measured,27526,44930,2,full_scope_premium
3Q24,EMEA,-8.553604808133983,0.3566638702761345,listed_nightly,measured,26937,43995,2,full_scope_premium
4Q24,EMEA,-7.246663666548413,0.346725718422909,listed_nightly,measured,25064,45664,2,full_scope_premium
1Q25,EMEA,-8.713217129603452,0.3699459810811222,listed_nightly,measured,22540,44492,2,full_scope_premium
2Q25,EMEA,-8.754421418826668,0.3976039179375472,listed_nightly,measured,21206,47960,2,full_scope_premium
3Q25,EMEA,-8.791313097962279,0.3408434564784522,listed_nightly,measured,27208,60131,3,full_scope_premium
4Q25,EMEA,-8.791313097962279,0.3408434564784522,listed_nightly,carried_from_3Q25,27208,60131,3,full_scope_premium
1Q26,EMEA,-3.0158598046452907,0.3135258221163544,quote_per_night,carried_back_from_2Q26,31480,95303,4,full_scope_premium
2Q26,EMEA,-3.0158598046452907,0.3135258221163544,quote_per_night,measured,31480,95303,4,full_scope_premium
3Q26,EMEA,-4.692389449629222,0.2107751564865644,quote_per_night,measured,62814,190227,4,full_scope_premium
1Q23,LatAm,7.295998107194217,3.073675551957948,listed_nightly,carried_back_from_4Q24,506,1786,1,full_scope_premium
2Q23,LatAm,7.295998107194217,3.073675551957948,listed_nightly,carried_back_from_4Q24,506,1786,1,full_scope_premium
3Q23,LatAm,7.295998107194217,3.073675551957948,listed_nightly,carried_back_from_4Q24,506,1786,1,full_scope_premium
4Q23,LatAm,7.295998107194217,3.073675551957948,listed_nightly,carried_back_from_4Q24,506,1786,1,full_scope_premium
1Q24,LatAm,7.295998107194217,3.073675551957948,listed_nightly,carried_back_from_4Q24,506,1786,1,full_scope_premium
2Q24,LatAm,7.295998107194217,3.073675551957948,listed_nightly,carried_back_from_4Q24,506,1786,1,full_scope_premium
3Q24,LatAm,7.295998107194217,3.073675551957948,listed_nightly,carried_back_from_4Q24,506,1786,1,full_scope_premium
4Q24,LatAm,7.295998107194217,3.073675551957948,listed_nightly,measured,506,1786,1,full_scope_premium
1Q25,LatAm,0.1568280878122895,2.8723007011020494,listed_nightly,measured,485,1934,1,full_scope_premium
2Q25,LatAm,-4.063588407754171,0.5178674493269,listed_nightly,measured,16612,36740,3,full_scope_premium
3Q25,LatAm,-5.458084614186797,0.262342748396338,listed_nightly,measured,47742,113916,5,full_scope_premium
4Q25,LatAm,-5.128341004589943,0.5045562603582964,listed_nightly,carried_from_4Q25,10739,25721,2,full_scope_premium
1Q26,LatAm,-2.348044831216851,0.2630907982990408,quote_per_night,carried_back_from_2Q26,48295,102127,7,full_scope_premium
2Q26,LatAm,-2.348044831216851,0.2630907982990408,quote_per_night,measured,48295,102127,7,full_scope_premium
3Q26,LatAm,-1.9962299831022,0.1832372893014678,quote_per_night,measured,97038,205184,7,full_scope_premium
1Q23,APAC,0.8991906839858711,0.4696181827631936,listed_nightly,carried_back_from_4Q24,17473,33888,6,full_scope_premium
2Q23,APAC,0.8991906839858711,0.4696181827631936,listed_nightly,carried_back_from_4Q24,17473,33888,6,full_scope_premium
3Q23,APAC,0.8991906839858711,0.4696181827631936,listed_nightly,carried_back_from_4Q24,17473,33888,6,full_scope_premium
4Q23,APAC,0.8991906839858711,0.4696181827631936,listed_nightly,carried_back_from_4Q24,17473,33888,6,full_scope_premium
1Q24,APAC,0.8991906839858711,0.4696181827631936,listed_nightly,carried_back_from_4Q24,17473,33888,6,full_scope_premium
2Q24,APAC,0.8991906839858711,0.4696181827631936,listed_nightly,carried_back_from_4Q24,17473,33888,6,full_scope_premium
3Q24,APAC,0.8991906839858711,0.4696181827631936,listed_nightly,carried_back_from_4Q24,17473,33888,6,full_scope_premium
4Q24,APAC,0.8991906839858711,0.4696181827631936,listed_nightly,measured,17473,33888,6,full_scope_premium
1Q25,APAC,-1.805490958548976,0.3619411092195972,listed_nightly,measured,22454,49764,10,full_scope_premium
2Q25,APAC,-1.8337466118903607,0.3434039588485398,listed_nightly,measured,24394,58215,12,full_scope_premium
3Q25,APAC,-3.1341499881622186,0.2928710413614193,listed_nightly,measured,32031,77616,14,full_scope_premium
4Q25,APAC,-0.2922910664541317,0.8612652353615993,listed_nightly,carried_from_4Q25,2646,6144,2,full_scope_premium
1Q26,APAC,-0.0022669957484221,0.275577476483602,quote_per_night,carried_back_from_2Q26,36970,94629,15,full_scope_premium
2Q26,APAC,-0.0022669957484221,0.275577476483602,quote_per_night,measured,36970,94629,15,full_scope_premium
3Q26,APAC,0.2850150731129953,0.1950705232202611,quote_per_night,measured,72680,191586,15,full_scope_premium
1Q23,NAM,-9.543842696691344,0.8744705994433734,listed_nightly,carried_back_from_2Q24,4525,10758,2,wedge_corrected_share
2Q23,NAM,-9.543842696691344,0.8744705994433734,listed_nightly,carried_back_from_2Q24,4525,10758,2,wedge_corrected_share
3Q23,NAM,-9.543842696691344,0.8744705994433734,listed_nightly,carried_back_from_2Q24,4525,10758,2,wedge_corrected_share
4Q23,NAM,-9.543842696691344,0.8744705994433734,listed_nightly,carried_back_from_2Q24,4525,10758,2,wedge_corrected_share
1Q24,NAM,-9.543842696691344,0.8744705994433734,listed_nightly,carried_back_from_2Q24,4525,10758,2,wedge_corrected_share
2Q24,NAM,-9.543842696691344,0.8744705994433734,listed_nightly,measured,4525,10758,2,wedge_corrected_share
3Q24,NAM,-10.75889095427982,0.8914539715076605,listed_nightly,measured,4303,11002,2,wedge_corrected_share
