market,region,core13,dump_date,quarter,source_format,n_listings,price_basis,price_nonnull_share,quote_col_present,quote_checkin_median,quote_stay_nights_median,first_review_nonnull_share,host_since_nonnull_share,reviews_l30d_present,n_reviewed,n_new_first_review_lt12m,share_listings_new_by_first_review,share_listings_new_by_host_since,share_l30d_reviews_from_new,share_ltm_reviews_from_new,n_priced_new,n_priced_old,n_priced_entire_new,n_priced_entire_old,seconds,partial_scope_regime,n_ratio_to_full_scope,scope_flag,usable_for_premium
austin,NA,True,2026-04-23,2Q26,parquet,8290,quote_per_night,0.9818,True,2026-04-27,2.0,0.8744,0.0,True,7249,1769,0.244,0.0,0.2788,0.166,1740,5397,1588,4828,0.1,True,0.742,partial,True
austin,NA,True,2026-05-25,2Q26,parquet,8568,quote_per_night,0.9797,True,2026-05-28,2.0,0.8626,0.0,True,7391,1843,0.2494,0.0,0.298,0.1767,1818,5438,1627,4839,0.1,True,0.767,partial,True
austin,NA,True,2026-06-22,2Q26,parquet,11295,quote_per_night,0.9138,True,2026-06-28,2.0,0.8354,0.0,True,9436,2174,0.2304,0.0,0.2869,0.1749,2025,6654,1782,5755,0.1,False,1.011,full,True
austin,NA,True,2026-07-18,3Q26,parquet,11172,quote_per_night,0.9065,True,2026-07-22,2.0,0.8353,0.0,True,9332,2109,0.226,0.0,0.2913,0.1722,1943,6588,1704,5741,0.1,False,1.0,full,True
austin,NA,True,2026-08-25,3Q26,parquet,11079,quote_per_night,0.8995,True,2026-08-30,2.0,0.8328,0.0,True,9227,2082,0.2256,0.0,0.2898,0.1707,1920,6469,1664,5659,0.2,False,0.996,full,True
bangkok,APAC,False,2024-12-25,4Q24,csv.gz,25609,listed_nightly,0.7997,False,,,0.6558,0.9999,True,16795,5642,0.3359,0.1106,0.3984,0.2382,5195,9206,4054,6696,0.7,False,0.919,full,True
bangkok,APAC,False,2025-03-19,1Q25,csv.gz,27548,listed_nightly,0.8043,False,,,0.6564,0.9999,True,18082,5961,0.3297,0.125,0.3848,0.2376,5470,10010,4136,7255,0.8,False,0.988,full,True
bangkok,APAC,False,2025-06-24,2Q25,csv.gz,28196,listed_nightly,0.8039,False,,,0.652,0.966,True,18385,5737,0.312,0.1043,0.4007,0.2303,5360,10456,4047,7617,0.8,False,0.989,full,True
bangkok,APAC,False,2025-09-26,3Q25,csv.gz,28806,listed_nightly,0.8079,False,,,0.6497,0.9997,True,18716,5507,0.2942,0.0877,0.4017,0.2208,5145,10970,3832,8084,0.9,False,1.0,full,True
bangkok,APAC,False,2025-12-28,4Q25,csv.gz,29888,none,0.0,False,,,0.65,0.0,True,19428,5341,0.2749,0.0,0.3778,0.2144,0,0,0,0,0.8,True,1.038,partial,False
bangkok,APAC,False,2026-03-30,1Q26,csv.gz,16444,quote_per_night,0.9865,True,2026-04-03,1.0,0.7194,0.0,True,11829,3599,0.3043,0.0,0.3848,0.2295,3570,8143,2499,5552,0.5,True,0.549,partial,True
bangkok,APAC,False,2026-06-29,2Q26,csv.gz,31069,quote_per_night,0.933,True,2026-07-02,2.0,0.67,0.0,True,20816,5614,0.2697,0.0,0.4002,0.2296,5414,14122,3876,9968,1.1,False,1.0,full,True
bangkok,APAC,False,2026-07-23,3Q26,csv.gz,31241,quote_per_night,0.9291,True,2026-07-25,2.0,0.6678,0.0,True,20862,5554,0.2662,0.0,0.3944,0.2267,5341,14150,3852,9947,1.2,False,1.006,full,True
bangkok,APAC,False,2026-08-30,3Q26,csv.gz,31215,quote_per_night,0.9179,True,2026-09-03,2.0,0.6718,0.0,True,20970,5523,0.2634,0.0,0.3754,0.2234,5251,14109,3769,9918,1.1,False,1.002,full,True
barcelona,EMEA,True,2025-09-14,3Q25,parquet,19410,listed_nightly,0.787,False,,,0.743,0.9997,True,14421,3150,0.2184,0.0501,0.2699,0.1275,2833,8957,1606,6895,0.2,False,1.213,full,True
barcelona,EMEA,True,2025-12-14,4Q25,parquet,18177,none,0.0,False,,,0.7204,0.9997,True,13095,2567,0.196,0.0428,0.239,0.1172,0,0,0,0,0.1,True,1.136,partial,False
barcelona,EMEA,True,2026-01-18,1Q26,parquet,17099,none,0.0,False,,,0.7436,0.0,True,12714,2491,0.1959,0.0,0.2386,0.1146,0,0,0,0,0.1,True,1.069,partial,False
barcelona,EMEA,True,2026-02-18,1Q26,parquet,12786,none,0.0,False,,,0.7561,0.0,True,9668,1697,0.1755,0.0,0.1773,0.0918,0,0,0,0,0.1,True,0.799,partial,False
barcelona,EMEA,True,2026-03-21,1Q26,parquet,16107,quote_per_night,0.7903,True,2026-03-31,3.0,0.7447,0.0,True,11995,2162,0.1802,0.0,0.2249,0.1003,1983,8041,1274,6753,0.1,True,1.007,partial,True
barcelona,EMEA,True,2026-04-20,2Q26,parquet,7277,quote_per_night,0.9761,True,2026-04-28,2.0,0.9152,0.0,True,6660,1182,0.1775,0.0,0.1934,0.0839,1154,5351,739,4873,0.0,True,0.455,partial,True
barcelona,EMEA,True,2026-05-24,2Q26,parquet,14399,quote_per_night,0.8551,True,2026-06-07,3.0,0.782,0.0,True,11260,1899,0.1687,0.0,0.1696,0.0885,1798,7970,1201,6772,0.1,True,0.9,partial,True
barcelona,EMEA,True,2026-06-24,2Q26,parquet,15293,quote_per_night,0.8733,True,2026-07-05,3.0,0.768,0.0,True,11745,2182,0.1858,0.0,0.1996,0.0883,2081,8317,1294,6995,0.1,False,0.956,full,True
barcelona,EMEA,True,2026-07-16,3Q26,parquet,15777,quote_per_night,0.8374,True,2026-07-27,3.0,0.7548,0.0,True,11908,2241,0.1882,0.0,0.1984,0.0903,2060,8115,1229,6799,0.1,False,0.986,full,True
barcelona,EMEA,True,2026-08-23,3Q26,parquet,16227,quote_per_night,0.7883,True,2026-09-01,3.0,0.7632,0.0,True,12385,2455,0.1982,0.0,0.227,0.1065,2137,7961,1177,6635,0.1,False,1.014,full,True
barossa-valley,APAC,False,2024-12-27,4Q24,csv.gz,354,listed_nightly,0.9181,False,,,0.8785,1.0,True,311,51,0.164,0.0226,0.1614,0.0924,47,240,42,218,0.0,False,1.003,full,False
barossa-valley,APAC,False,2025-06-25,2Q25,csv.gz,351,listed_nightly,0.9117,False,,,0.9088,0.9373,True,319,60,0.1881,0.0243,0.1759,0.092,58,237,52,215,0.0,False,0.992,full,False
barossa-valley,APAC,False,2025-09-27,3Q25,csv.gz,353,listed_nightly,0.9008,False,,,0.8867,1.0,True,313,57,0.1821,0.0312,0.2314,0.1047,55,230,50,207,0.0,False,0.989,full,False
barossa-valley,APAC,False,2025-12-28,4Q25,csv.gz,362,none,0.0,False,,,0.9116,0.0,True,330,57,0.1727,0.0,0.2,0.1223,0,0,0,0,0.0,True,1.014,partial,False
barossa-valley,APAC,False,2026-03-30,1Q26,csv.gz,323,quote_per_night,0.9814,True,2026-03-31,2.0,0.9071,0.0,True,293,46,0.157,0.0,0.1671,0.1058,46,242,42,219,0.0,True,0.897,partial,False
barossa-valley,APAC,False,2026-06-29,2Q26,csv.gz,360,quote_per_night,0.9028,True,2026-06-30,2.0,0.9306,0.0,True,335,52,0.1552,0.0,0.1963,0.0978,49,254,42,228,0.0,False,1.0,full,False
barossa-valley,APAC,False,2026-07-24,3Q26,csv.gz,360,quote_per_night,0.8889,True,2026-07-26,2.0,0.9222,0.0,True,332,51,0.1536,0.0,0.1981,0.0969,47,248,44,225,0.0,False,1.0,full,False
barossa-valley,APAC,False,2026-08-30,3Q26,csv.gz,361,quote_per_night,0.8809,True,2026-09-01,2.0,0.9307,0.0,True,336,56,0.1667,0.0,0.1824,0.0962,53,244,50,220,0.1,False,1.003,full,False
barwon-south-west-vic,APAC,False,2024-12-28,4Q24,csv.gz,7612,listed_nightly,0.8576,False,,,0.8617,1.0,True,6559,1184,0.1805,0.0197,0.2161,0.1239,1091,4572,1014,4199,0.2,False,1.046,full,True
barwon-south-west-vic,APAC,False,2025-06-25,2Q25,csv.gz,7264,listed_nightly,0.8582,False,,,0.9075,0.9676,True,6592,1142,0.1732,0.0181,0.1965,0.1181,1064,4640,990,4273,0.3,False,1.0,full,True
barwon-south-west-vic,APAC,False,2025-09-28,3Q25,csv.gz,7280,listed_nightly,0.8666,False,,,0.8942,0.9997,True,6510,1087,0.167,0.0188,0.2221,0.1152,1028,4629,965,4255,0.3,False,1.014,full,True
barwon-south-west-vic,APAC,False,2025-12-29,4Q25,csv.gz,7429,none,0.0,False,,,0.8885,0.0,True,6601,987,0.1495,0.0,0.1805,0.097,0,0,0,0,0.3,True,1.035,partial,False
barwon-south-west-vic,APAC,False,2026-03-30,1Q26,csv.gz,5844,quote_per_night,0.9735,True,2026-04-07,2.0,0.924,0.0,True,5400,868,0.1607,0.0,0.172,0.1033,850,4423,793,4084,0.2,True,0.824,partial,True
barwon-south-west-vic,APAC,False,2026-06-29,2Q26,csv.gz,7095,quote_per_night,0.842,True,2026-07-02,2.0,0.9121,0.0,True,6471,947,0.1463,0.0,0.182,0.1043,855,4633,792,4251,0.3,False,1.0,full,True
barwon-south-west-vic,APAC,False,2026-07-24,3Q26,csv.gz,7083,quote_per_night,0.8412,True,2026-07-26,2.0,0.9068,0.0,True,6423,940,0.1463,0.0,0.1776,0.1053,858,4592,795,4212,0.3,False,0.998,full,True
barwon-south-west-vic,APAC,False,2026-08-31,3Q26,csv.gz,7076,quote_per_night,0.8454,True,2026-09-01,2.0,0.9015,0.0,True,6379,923,0.1447,0.0,0.178,0.1023,851,4566,788,4180,0.5,False,0.998,full,True
belize,LatAm,False,2024-12-29,4Q24,csv.gz,3357,listed_nightly,0.838,False,,,0.7936,1.0,True,2664,554,0.208,0.0444,0.2266,0.1239,518,1821,427,1375,0.3,False,0.961,full,True
belize,LatAm,False,2025-03-23,1Q25,csv.gz,3433,listed_nightly,0.8389,False,,,0.811,1.0,True,2784,534,0.1918,0.0446,0.2271,0.1278,497,1972,406,1504,0.4,False,0.983,full,True
belize,LatAm,False,2025-06-25,2Q25,csv.gz,3552,listed_nightly,0.8674,False,,,0.795,0.9533,True,2824,513,0.1817,0.0419,0.2379,0.1397,490,2063,397,1596,0.3,False,0.996,full,True
belize,LatAm,False,2025-09-28,3Q25,csv.gz,3581,listed_nightly,0.8674,False,,,0.7908,1.0,True,2832,485,0.1713,0.0399,0.22,0.1264,457,2097,355,1619,0.3,False,1.0,full,True
belize,LatAm,False,2025-12-29,4Q25,csv.gz,3630,none,0.0,False,,,0.795,0.0,True,2886,460,0.1594,0.0,0.1982,0.0978,0,0,0,0,0.1,True,1.014,partial,False
belize,LatAm,False,2026-03-30,1Q26,csv.gz,3074,quote_per_night,0.9291,True,2026-04-04,2.0,0.8484,0.0,True,2608,426,0.1633,0.0,0.1861,0.1169,399,2028,296,1555,0.2,True,0.855,partial,True
belize,LatAm,False,2026-06-29,2Q26,csv.gz,3608,quote_per_night,0.9665,True,2026-06-30,2.0,0.7691,0.0,True,2775,467,0.1683,0.0,0.2163,0.1316,464,2227,321,1622,0.3,False,1.0,full,True
belize,LatAm,False,2026-07-24,3Q26,csv.gz,3651,quote_per_night,0.9688,True,2026-07-25,2.0,0.7707,0.0,True,2814,504,0.1791,0.0,0.2416,0.1304,500,2239,358,1624,0.3,False,1.012,full,True
belize,LatAm,False,2026-08-31,3Q26,csv.gz,3650,quote_per_night,0.9397,True,2026-08-31,2.0,0.7795,0.0,True,2845,528,0.1856,0.0,0.2724,0.1305,505,2178,380,1569,0.2,False,1.006,full,True
bogota,LatAm,False,2026-06-21,2Q26,csv.gz,19187,quote_per_night,0.9898,True,2026-06-23,2.0,0.7777,0.0,True,14922,4387,0.294,0.0,0.4593,0.2816,4378,10481,3449,8168,0.8,False,0.99,full,True
bogota,LatAm,False,2026-07-23,3Q26,csv.gz,19376,quote_per_night,0.9709,True,2026-07-25,2.0,0.7835,0.0,True,15181,4428,0.2917,0.0,0.4525,0.2785,4359,10510,3455,8205,1.0,False,1.0,full,True
bogota,LatAm,False,2026-08-18,3Q26,csv.gz,19486,quote_per_night,0.97,True,2026-08-20,2.0,0.7879,0.0,True,15353,4426,0.2883,0.0,0.4184,0.2632,4380,10653,3446,8306,0.8,False,1.006,full,True
brisbane,APAC,False,2025-08-04,3Q25,csv.gz,5774,listed_nightly,0.8923,False,,,0.8893,0.9995,True,5135,1915,0.3729,0.0546,0.4268,0.2457,1764,2832,1331,2235,0.3,False,0.924,full,True
brisbane,APAC,False,2025-10-07,4Q25,csv.gz,6072,listed_nightly,0.8801,False,,,0.8808,0.9988,True,5348,1990,0.3721,0.0541,0.427,0.2571,1829,2881,1409,2269,0.3,False,0.972,full,True
brisbane,APAC,False,2025-11-11,4Q25,csv.gz,6147,none,0.0,False,,,0.8814,0.9997,True,5418,1970,0.3636,0.0552,0.4285,0.2558,0,0,0,0,0.4,False,0.984,full,False
brisbane,APAC,False,2026-01-16,1Q26,csv.gz,5663,none,0.0,False,,,0.8926,0.0,True,5055,2005,0.3966,0.0,0.4386,0.2667,0,0,0,0,0.3,True,0.907,partial,False
brisbane,APAC,False,2026-03-19,1Q26,csv.gz,5720,quote_per_night,0.9582,True,2026-03-25,2.0,0.8962,0.0,True,5126,1933,0.3771,0.0,0.4234,0.2673,1868,3054,1476,2400,0.2,True,0.916,partial,True
brisbane,APAC,False,2026-06-15,2Q26,csv.gz,6347,quote_per_night,0.8826,True,2026-06-21,2.0,0.8965,0.0,True,5690,1881,0.3306,0.0,0.3987,0.234,1767,3281,1389,2580,0.2,False,1.016,full,True
brisbane,APAC,False,2026-07-14,3Q26,csv.gz,6358,quote_per_night,0.8778,True,2026-07-21,2.0,0.8953,0.0,True,5692,1841,0.3234,0.0,0.3969,0.2319,1719,3305,1338,2596,0.5,False,1.018,full,True
brisbane,APAC,False,2026-08-13,3Q26,csv.gz,6412,quote_per_night,0.8794,True,2026-08-19,2.0,0.8944,0.0,True,5735,1831,0.3193,0.0,0.3885,0.2319,1703,3368,1329,2639,0.3,False,1.026,full,True
buenos-aires,LatAm,False,2025-07-27,3Q25,csv.gz,27429,listed_nightly,1.0,False,,,0.8733,0.9999,True,23955,5682,0.2372,0.0359,0.3062,0.1825,5682,18273,5299,16877,0.7,False,1.004,full,True
buenos-aires,LatAm,False,2025-08-29,3Q25,csv.gz,27234,listed_nightly,1.0,False,,,0.8735,0.9993,True,23788,5546,0.2331,0.0344,0.3031,0.1778,5546,18242,5159,16843,1.1,False,0.996,full,True
buenos-aires,LatAm,False,2025-09-27,3Q25,csv.gz,26945,listed_nightly,1.0,False,,,0.8741,0.9997,True,23552,5312,0.2255,0.0339,0.2985,0.1732,5312,18240,4924,16858,1.1,False,0.986,full,True
buenos-aires,LatAm,False,2025-10-29,4Q25,csv.gz,26726,listed_nightly,1.0,False,,,0.8817,0.9996,True,23563,5308,0.2253,0.033,0.2908,0.1716,5308,18255,4901,16906,1.0,False,0.978,full,True
buenos-aires,LatAm,False,2025-11-27,4Q25,csv.gz,26711,none,0.0,False,,,0.8914,0.9997,True,23809,5470,0.2297,0.0312,0.2988,0.1713,0,0,0,0,0.8,False,0.977,full,False
buenos-aires,LatAm,False,2026-01-25,1Q26,csv.gz,27348,none,0.0,False,,,0.8792,0.0,True,24045,5323,0.2214,0.0,0.2843,0.1715,0,0,0,0,0.9,True,1.001,partial,False
buenos-aires,LatAm,False,2026-03-30,1Q26,csv.gz,28019,quote_per_night,0.9524,True,2026-04-13,2.0,0.8964,0.0,True,25116,5869,0.2337,0.0,0.3073,0.1695,5677,18425,5172,17030,1.1,True,1.025,partial,True
buenos-aires,LatAm,False,2026-06-29,2Q26,csv.gz,29685,quote_per_night,0.9396,True,2026-07-05,2.0,0.8744,0.0,True,25957,6136,0.2364,0.0,0.3247,0.1785,5884,18643,5332,17154,1.3,False,1.086,full,True
buenos-aires,LatAm,False,2026-07-24,3Q26,csv.gz,29609,quote_per_night,0.9352,True,2026-07-31,2.0,0.8784,0.0,True,26008,6150,0.2365,0.0,0.3243,0.1772,5877,18579,5340,17099,1.2,False,1.083,full,True
buenos-aires,LatAm,False,2026-08-30,3Q26,csv.gz,29675,quote_per_night,0.9324,True,2026-09-07,2.0,0.8824,0.0,True,26186,6342,0.2422,0.0,0.3344,0.1847,6066,18489,5503,17024,1.3,False,1.086,full,True
chicago,NA,True,2025-03-11,1Q25,parquet,8748,listed_nightly,0.8823,False,,,0.7853,1.0,True,6870,1833,0.2668,0.0482,0.3226,0.1609,1638,4492,1278,3490,0.1,False,1.01,full,True
chicago,NA,True,2025-06-17,2Q25,parquet,8604,listed_nightly,0.8927,False,,,0.7929,0.9994,True,6822,1776,0.2603,0.0477,0.3154,0.1523,1637,4476,1297,3484,0.1,False,0.994,full,True
chicago,NA,True,2025-09-22,3Q25,parquet,8660,listed_nightly,0.9036,False,,,0.8055,0.9286,True,6976,1795,0.2573,0.046,0.3013,0.1815,1680,4667,1352,3704,0.1,False,0.998,full,True
chicago,NA,True,2025-12-25,4Q25,parquet,8884,none,0.0,False,,,0.7991,0.0,True,7099,1775,0.25,0.0,0.3195,0.1911,0,0,0,0,0.1,True,1.024,partial,False
chicago,NA,True,2026-01-20,1Q26,parquet,8817,none,0.0,False,,,0.8024,0.0,True,7075,1773,0.2506,0.0,0.3261,0.1965,0,0,0,0,0.1,True,1.016,partial,False
chicago,NA,True,2026-02-25,1Q26,parquet,7821,none,0.0,False,,,0.8068,0.0,True,6310,1609,0.255,0.0,0.3311,0.1972,0,0,0,0,0.1,True,0.901,partial,False
chicago,NA,True,2026-03-27,1Q26,parquet,5153,none,0.0,False,,,0.941,0.0,True,4849,1376,0.2838,0.0,0.3195,0.1934,0,0,0,0,0.0,True,0.594,partial,False
chicago,NA,True,2026-04-24,2Q26,parquet,5116,quote_per_night,0.9883,True,2026-04-27,2.0,0.9486,0.0,True,4853,1357,0.2796,0.0,0.3004,0.1881,1344,3458,1148,2819,0.0,True,0.591,partial,True
chicago,NA,True,2026-05-26,2Q26,parquet,8408,quote_per_night,0.8739,True,2026-06-03,2.0,0.8374,0.0,True,7041,1613,0.2291,0.0,0.2626,0.1385,1506,4912,1194,3871,0.1,True,0.971,partial,True
chicago,NA,True,2026-06-24,2Q26,parquet,8660,quote_per_night,0.8777,True,2026-07-05,2.0,0.8241,0.0,True,7137,1599,0.224,0.0,0.2466,0.1378,1504,5011,1168,3924,0.1,False,1.0,full,True
chicago,NA,True,2026-07-20,3Q26,parquet,8698,quote_per_night,0.8553,True,2026-08-03,2.0,0.8234,0.0,True,7162,1591,0.2221,0.0,0.2444,0.141,1448,4965,1136,3922,0.1,False,1.004,full,True
chicago,NA,True,2026-08-27,3Q26,parquet,8778,quote_per_night,0.8655,True,2026-09-01,2.0,0.8316,0.0,True,7300,1621,0.2221,0.0,0.2308,0.1464,1514,5087,1156,3982,0.1,False,1.011,full,True
hong-kong,APAC,False,2025-03-16,1Q25,csv.gz,6812,listed_nightly,0.8263,False,,,0.5327,0.9999,True,3629,996,0.2745,0.032,0.3401,0.2047,809,2108,458,966,0.2,False,1.0,full,True
hong-kong,APAC,False,2025-06-21,2Q25,csv.gz,6974,listed_nightly,0.8374,False,,,0.5251,0.9736,True,3662,930,0.254,0.0299,0.3512,0.2014,806,2218,470,1017,0.3,False,1.025,full,True
hong-kong,APAC,False,2025-09-23,3Q25,csv.gz,6801,listed_nightly,0.8036,False,,,0.5271,0.9997,True,3585,831,0.2318,0.0294,0.3305,0.1908,684,2086,387,976,0.2,False,1.005,full,True
hong-kong,APAC,False,2025-12-27,4Q25,csv.gz,6630,none,0.0,False,,,0.5504,0.0,True,3649,846,0.2318,0.0,0.3306,0.2079,0,0,0,0,0.2,True,0.98,partial,False
hong-kong,APAC,False,2026-03-29,1Q26,csv.gz,2115,none,0.0,False,,,0.8383,0.0,True,1773,538,0.3034,0.0,0.3541,0.205,0,0,0,0,0.1,True,0.313,partial,False
hong-kong,APAC,False,2026-06-27,2Q26,csv.gz,6734,quote_per_night,0.8978,True,2026-06-30,6.0,0.5578,0.0,True,3756,793,0.2111,0.0,0.3047,0.1837,738,2573,408,1104,0.2,False,1.0,full,True
hong-kong,APAC,False,2026-07-21,3Q26,csv.gz,6681,quote_per_night,0.8795,True,2026-07-23,6.0,0.564,0.0,True,3768,791,0.2099,0.0,0.3273,0.1747,725,2537,395,1087,0.4,False,0.992,full,True
hong-kong,APAC,False,2026-08-28,3Q26,csv.gz,6607,quote_per_night,0.8297,True,2026-08-30,7.0,0.5624,0.0,True,3716,750,0.2018,0.0,0.2991,0.1652,657,2335,356,928,0.4,False,0.985,full,True
london,EMEA,True,2025-09-14,3Q25,parquet,96871,listed_nightly,0.6396,False,,,0.751,0.9996,True,72749,19234,0.2644,0.0556,0.4297,0.277,16604,31451,12404,20758,0.4,False,1.045,full,True
london,EMEA,True,2025-12-13,4Q25,parquet,95688,none,0.0,False,,,0.7535,0.6958,True,72100,18579,0.2577,0.0631,0.4423,0.2695,0,0,0,0,0.5,True,1.032,partial,False
london,EMEA,True,2026-01-17,1Q26,parquet,61139,none,0.0,False,,,0.7919,0.0,True,48413,16178,0.3342,0.0,0.4409,0.2682,0,0,0,0,0.2,True,0.659,partial,False
london,EMEA,True,2026-02-18,1Q26,parquet,60374,none,0.0,False,,,0.7794,0.0,True,47055,15267,0.3245,0.0,0.4499,0.2599,0,0,0,0,0.2,True,0.651,partial,False
london,EMEA,True,2026-03-21,1Q26,parquet,53639,quote_per_night,0.9619,True,2026-04-02,2.0,0.79,0.0,True,42377,13886,0.3277,0.0,0.4429,0.2577,13434,27713,10256,18187,0.2,True,0.579,partial,True
london,EMEA,True,2026-04-19,2Q26,parquet,54538,quote_per_night,0.9659,True,2026-04-26,2.0,0.7868,0.0,True,42911,13708,0.3195,0.0,0.4186,0.2431,13264,28580,10154,18846,0.2,True,0.588,partial,True
london,EMEA,True,2026-05-24,2Q26,parquet,57073,quote_per_night,0.9715,True,2026-05-31,2.0,0.7777,0.0,True,44388,14218,0.3203,0.0,0.4051,0.2397,13893,29630,10398,19325,0.3,True,0.616,partial,True
london,EMEA,True,2026-06-19,2Q26,parquet,92638,quote_per_night,0.6719,True,2026-07-05,2.0,0.7633,0.0,True,70711,17284,0.2444,0.0,0.3988,0.2493,15303,33367,11457,21789,0.3,False,0.999,full,True
london,EMEA,True,2026-07-16,3Q26,parquet,91965,quote_per_night,0.6741,True,2026-07-26,2.0,0.7742,0.0,True,71203,17401,0.2444,0.0,0.3901,0.2473,15649,33802,11610,22240,0.4,False,0.992,full,True
london,EMEA,True,2026-08-18,3Q26,parquet,92783,quote_per_night,0.6698,True,2026-08-25,2.0,0.7737,0.0,True,71788,17339,0.2415,0.0,0.3997,0.249,15509,33923,11436,22189,0.4,False,1.001,full,True
los-angeles,NA,True,2025-03-01,1Q25,parquet,45031,listed_nightly,0.7965,False,,,0.7191,0.9984,True,32383,7977,0.2463,0.059,0.3903,0.2134,7306,19068,5614,14664,0.3,False,0.991,full,True
los-angeles,NA,True,2025-06-17,2Q25,parquet,45421,listed_nightly,0.8015,False,,,0.7232,0.9998,True,32849,8023,0.2442,0.0598,0.3529,0.1972,7404,19430,5752,15002,0.1,False,1.009,full,True
los-angeles,NA,True,2025-09-01,3Q25,parquet,45886,listed_nightly,0.8024,False,,,0.7276,0.9995,True,33385,8100,0.2426,0.0575,0.3496,0.207,7526,19854,5912,15409,0.2,False,1.033,full,True
los-angeles,NA,True,2025-12-04,4Q25,parquet,45585,none,0.0,False,,,0.7321,0.9999,True,33375,7820,0.2343,0.0484,0.3511,0.2048,0,0,0,0,0.1,True,1.026,partial,False
los-angeles,NA,True,2026-01-15,1Q26,parquet,45893,none,0.0,False,,,0.7308,0.0,True,33537,7832,0.2335,0.0,0.3617,0.2056,0,0,0,0,0.2,True,1.033,partial,False
los-angeles,NA,True,2026-02-13,1Q26,parquet,45906,none,0.0,False,,,0.7278,0.0,True,33410,7781,0.2329,0.0,0.3575,0.2034,0,0,0,0,0.2,True,1.033,partial,False
los-angeles,NA,True,2026-03-16,1Q26,parquet,46088,quote_per_night,0.8067,True,2026-03-22,7.0,0.7284,0.0,True,33569,7801,0.2324,0.0,0.3404,0.1969,7393,20794,5685,16026,0.2,True,1.038,partial,True
los-angeles,NA,True,2026-04-14,2Q26,parquet,45295,quote_per_night,0.8049,True,2026-04-19,5.0,0.7384,0.0,True,33446,7743,0.2315,0.0,0.3319,0.1977,7316,20776,5619,15998,0.2,True,1.034,partial,True
los-angeles,NA,True,2026-05-23,2Q26,parquet,41946,quote_per_night,0.8641,True,2026-05-28,4.0,0.7654,0.0,True,32104,7524,0.2344,0.0,0.3275,0.1941,7175,20856,5493,16046,0.4,True,0.958,partial,True
los-angeles,NA,True,2026-06-15,2Q26,parquet,43751,quote_per_night,0.8728,True,2026-06-23,5.0,0.7427,0.0,True,32494,7596,0.2338,0.0,0.3225,0.1907,7279,21235,5604,16361,0.2,False,0.999,full,True
los-angeles,NA,True,2026-07-12,3Q26,parquet,43805,quote_per_night,0.8509,True,2026-07-19,6.0,0.748,0.0,True,32767,7667,0.234,0.0,0.3185,0.1881,7240,20947,5605,16150,0.2,False,1.0,full,True
