booking_quarter,target_quarter,scenario,lag,weight,delta_gbv_musd,dR_dGBV_div_lambda,delta_revenue_div_lambda_musd,lambda_decimal,dR_dGBV,delta_revenue_musd,evidence_status,lambda_basis,treatment,source_value_first_known_date,analysis_information_date,lambda_information_date,information_date_basis
2023Q2,,normalized_single_GBV_precision_difference,2,0.3333333333333333,,0.3333333333333333,,,,,finer_value_unavailable,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement,,2026-09-14,,Audit analysis assembled on analysis_information_date; source and inherited coefficient dates remain separate
2023Q3,,normalized_single_GBV_precision_difference,1,0.6666666666666666,,0.6666666666666666,,,,,finer_value_unavailable,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement,,2026-09-14,,Audit analysis assembled on analysis_information_date; source and inherited coefficient dates remain separate
2023Q3,,normalized_single_GBV_precision_difference,2,0.3333333333333333,,0.3333333333333333,,,,,finer_value_unavailable,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement,,2026-09-14,,Audit analysis assembled on analysis_information_date; source and inherited coefficient dates remain separate
2023Q4,,normalized_single_GBV_precision_difference,1,0.6666666666666666,,0.6666666666666666,,,,,finer_value_unavailable,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement,,2026-09-14,,Audit analysis assembled on analysis_information_date; source and inherited coefficient dates remain separate
2023Q4,,normalized_single_GBV_precision_difference,2,0.3333333333333333,,0.3333333333333333,,,,,finer_value_unavailable,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement,,2026-09-14,,Audit analysis assembled on analysis_information_date; source and inherited coefficient dates remain separate
2024Q1,,normalized_single_GBV_precision_difference,1,0.6666666666666666,25.0,0.6666666666666666,16.666666666666664,,,,later_precision,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement,2025-05-01,2026-09-14,,Audit analysis assembled on analysis_information_date; source and inherited coefficient dates remain separate
2024Q1,,normalized_single_GBV_precision_difference,2,0.3333333333333333,25.0,0.3333333333333333,8.333333333333332,,,,later_precision,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement,2025-05-01,2026-09-14,,Audit analysis assembled on analysis_information_date; source and inherited coefficient dates remain separate
2024Q2,,normalized_single_GBV_precision_difference,1,0.6666666666666666,13.0,0.6666666666666666,8.666666666666666,,,,later_precision,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement,2025-08-06,2026-09-14,,Audit analysis assembled on analysis_information_date; source and inherited coefficient dates remain separate
2024Q2,,normalized_single_GBV_precision_difference,2,0.3333333333333333,13.0,0.3333333333333333,4.333333333333333,,,,later_precision,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement,2025-08-06,2026-09-14,,Audit analysis assembled on analysis_information_date; source and inherited coefficient dates remain separate
2024Q3,,normalized_single_GBV_precision_difference,1,0.6666666666666666,-15.0,0.6666666666666666,-10.0,,,,later_precision,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement,2025-11-06,2026-09-14,,Audit analysis assembled on analysis_information_date; source and inherited coefficient dates remain separate
2024Q3,,normalized_single_GBV_precision_difference,2,0.3333333333333333,-15.0,0.3333333333333333,-5.0,,,,later_precision,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement,2025-11-06,2026-09-14,,Audit analysis assembled on analysis_information_date; source and inherited coefficient dates remain separate
2024Q4,,normalized_single_GBV_precision_difference,1,0.6666666666666666,-39.0,0.6666666666666666,-26.0,,,,later_precision,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement,2025-11-06,2026-09-14,,Audit analysis assembled on analysis_information_date; source and inherited coefficient dates remain separate
2024Q4,,normalized_single_GBV_precision_difference,2,0.3333333333333333,-39.0,0.3333333333333333,-13.0,,,,later_precision,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement,2025-11-06,2026-09-14,,Audit analysis assembled on analysis_information_date; source and inherited coefficient dates remain separate
2025Q1,,normalized_single_GBV_precision_difference,1,0.6666666666666666,15.0,0.6666666666666666,10.0,,,,rounding,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement,2025-05-01,2026-09-14,,Audit analysis assembled on analysis_information_date; source and inherited coefficient dates remain separate
2025Q1,,normalized_single_GBV_precision_difference,2,0.3333333333333333,15.0,0.3333333333333333,5.0,,,,rounding,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement,2025-05-01,2026-09-14,,Audit analysis assembled on analysis_information_date; source and inherited coefficient dates remain separate
2025Q2,,normalized_single_GBV_precision_difference,1,0.6666666666666666,-53.0,0.6666666666666666,-35.33333333333333,,,,unresolved,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement,2025-08-06,2026-09-14,,Audit analysis assembled on analysis_information_date; source and inherited coefficient dates remain separate
2025Q2,,normalized_single_GBV_precision_difference,2,0.3333333333333333,-53.0,0.3333333333333333,-17.666666666666664,,,,unresolved,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement,2025-08-06,2026-09-14,,Audit analysis assembled on analysis_information_date; source and inherited coefficient dates remain separate
2025Q3,,normalized_single_GBV_precision_difference,1,0.6666666666666666,-8.0,0.6666666666666666,-5.333333333333333,,,,rounding,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement,2025-11-06,2026-09-14,,Audit analysis assembled on analysis_information_date; source and inherited coefficient dates remain separate
2025Q3,,normalized_single_GBV_precision_difference,2,0.3333333333333333,-8.0,0.3333333333333333,-2.6666666666666665,,,,rounding,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement,2025-11-06,2026-09-14,,Audit analysis assembled on analysis_information_date; source and inherited coefficient dates remain separate
2025Q4,,normalized_single_GBV_precision_difference,1,0.6666666666666666,18.0,0.6666666666666666,12.0,,,,rounding,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement,2026-02-12,2026-09-14,,Audit analysis assembled on analysis_information_date; source and inherited coefficient dates remain separate
2025Q4,,normalized_single_GBV_precision_difference,2,0.3333333333333333,18.0,0.3333333333333333,6.0,,,,rounding,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement,2026-02-12,2026-09-14,,Audit analysis assembled on analysis_information_date; source and inherited coefficient dates remain separate
2026Q1,,normalized_single_GBV_precision_difference,1,0.6666666666666666,-13.0,0.6666666666666666,-8.666666666666666,,,,rounding,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement,2026-05-07,2026-09-14,,Audit analysis assembled on analysis_information_date; source and inherited coefficient dates remain separate
2026Q1,,normalized_single_GBV_precision_difference,2,0.3333333333333333,-13.0,0.3333333333333333,-4.333333333333333,,,,rounding,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement,2026-05-07,2026-09-14,,Audit analysis assembled on analysis_information_date; source and inherited coefficient dates remain separate
2026Q2,,normalized_single_GBV_precision_difference,1,0.6666666666666666,47.0,0.6666666666666666,31.333333333333332,,,,rounding,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement,2026-08-06,2026-09-14,,Audit analysis assembled on analysis_information_date; source and inherited coefficient dates remain separate
2026Q2,,normalized_single_GBV_precision_difference,2,0.3333333333333333,47.0,0.3333333333333333,15.666666666666666,,,,rounding,No compatible seasonal coefficient attached; normalized derivative only,descriptive_sensitivity_no_refit_or_forecast_replacement,2026-08-06,2026-09-14,,Audit analysis assembled on analysis_information_date; source and inherited coefficient dates remain separate
2026Q2,2026Q3,inherited_current_Q3_lambda_held_fixed,1,0.6666666666666666,47.0,0.6666666666666666,31.333333333333332,0.172548908953,0.11503260596866667,5.406532480527334,single_current_origin_arithmetic_illustration_not_validation,"cohort_fx_v2/results_v2/kernel_inputs.csv; inherited ewm, n=5; information_date=2026-09-13",descriptive_sensitivity_no_refit_or_forecast_replacement,2026-08-06,2026-09-14,2026-09-13,Audit analysis assembled on analysis_information_date; source and inherited coefficient dates remain separate
2026Q1,2026Q3,inherited_current_Q3_lambda_held_fixed,2,0.3333333333333333,-13.0,0.3333333333333333,-4.333333333333333,0.172548908953,0.057516302984333335,-0.7477119387963334,single_current_origin_arithmetic_illustration_not_validation,"cohort_fx_v2/results_v2/kernel_inputs.csv; inherited ewm, n=5; information_date=2026-09-13",descriptive_sensitivity_no_refit_or_forecast_replacement,2026-05-07,2026-09-14,2026-09-13,Audit analysis assembled on analysis_information_date; source and inherited coefficient dates remain separate
2026Q1|2026Q2,2026Q3,combined_current_Q3_held_fixed,,,,,27.0,0.172548908953,,4.658820541731,n1_arithmetic_illustration_not_historical_validation,Same inherited current Q3 ewm lambda; all other inputs held fixed,descriptive_sensitivity_no_refit_or_forecast_replacement,2026-08-06,2026-09-14,2026-09-13,Audit analysis assembled on analysis_information_date; source and inherited coefficient dates remain separate
