variant,region_weights,country_weights,quarter,region,relative_z
no_saving,equal,judgement,3Q26,latam,0.155
no_saving,equal,judgement,3Q26,na,-0.299
core4,base,judgement,1Q26,apac,0.187
core4,base,judgement,1Q26,emea,0.02
core4,base,judgement,1Q26,latam,0.594
core4,base,judgement,1Q26,na,-0.449
core4,base,judgement,2Q26,apac,0.163
core4,base,judgement,2Q26,emea,-0.06
core4,base,judgement,2Q26,latam,0.293
core4,base,judgement,2Q26,na,-0.157
core4,base,judgement,3Q26,apac,0.164
core4,base,judgement,3Q26,emea,0.135
core4,base,judgement,3Q26,latam,0.182
core4,base,judgement,3Q26,na,-0.36
core4,tilt_na_down,judgement,1Q26,apac,0.168
core4,tilt_na_down,judgement,1Q26,emea,0.001
core4,tilt_na_down,judgement,1Q26,latam,0.575
core4,tilt_na_down,judgement,1Q26,na,-0.468
core4,tilt_na_down,judgement,2Q26,apac,0.156
core4,tilt_na_down,judgement,2Q26,emea,-0.067
core4,tilt_na_down,judgement,2Q26,latam,0.286
core4,tilt_na_down,judgement,2Q26,na,-0.164
core4,tilt_na_down,judgement,3Q26,apac,0.148
core4,tilt_na_down,judgement,3Q26,emea,0.119
core4,tilt_na_down,judgement,3Q26,latam,0.167
core4,tilt_na_down,judgement,3Q26,na,-0.376
core4,equal,judgement,1Q26,apac,0.099
core4,equal,judgement,1Q26,emea,-0.068
core4,equal,judgement,1Q26,latam,0.506
core4,equal,judgement,1Q26,na,-0.537
core4,equal,judgement,2Q26,apac,0.104
core4,equal,judgement,2Q26,emea,-0.12
core4,equal,judgement,2Q26,latam,0.233
core4,equal,judgement,2Q26,na,-0.217
core4,equal,judgement,3Q26,apac,0.134
core4,equal,judgement,3Q26,emea,0.105
core4,equal,judgement,3Q26,latam,0.152
core4,equal,judgement,3Q26,na,-0.391
base,base,equal,1Q26,apac,-0.029
base,base,equal,1Q26,emea,-0.095
base,base,equal,1Q26,latam,0.661
base,base,equal,1Q26,na,-0.236
base,base,equal,2Q26,apac,-0.21
base,base,equal,2Q26,emea,0.102
base,base,equal,2Q26,latam,0.193
base,base,equal,2Q26,na,-0.156
base,base,equal,3Q26,apac,-0.323
base,base,equal,3Q26,emea,0.167
base,base,equal,3Q26,latam,0.102
base,base,equal,3Q26,na,-0.142
