country,indicator,n,first,last,region
USA,hearn_yoy,103,2018-01-31,2026-07-31,na
USA,real_hh_cons_pc_yoy,99,2018-01-31,2026-03-31,na
USA,real_hh_income_pc_yoy,99,2018-01-31,2026-03-31,na
USA,real_wage_yoy,102,2018-01-31,2026-07-31,na
USA,retail_vol_yoy,101,2018-01-31,2026-06-30,na
USA,saving_rate,99,2018-01-31,2026-03-31,na
USA,unemp_rate,103,2018-01-31,2026-08-31,na
ZAF,cpi_yoy,85,2018-01-31,2025-01-31,emea
ZAF,equity_yoy,104,2018-01-31,2026-08-31,emea
ZAF,retail_vol_yoy,102,2018-01-31,2026-06-30,emea
