quarter,region,metric,value,halfwidth_pp,basis,source,quote
4Q24,emea,nights_yoy_pct_destination,11.0,1.0,"qualitative bucket low-double digit mapped to midpoint 11.0, researcher mapping, half-width 1.0pp",4Q24 shareholder letter (4Q24_d915198dex991.htm),in emea we saw low double digits nights and experiences booked growth in q4 2024 compared to q4 2023
4Q24,latam,nights_yoy_pct_destination,21.0,1.0,"qualitative bucket low-20s mapped to midpoint 21.0, researcher mapping, half-width 1.0pp",4Q24 shareholder letter (4Q24_d915198dex991.htm),in latin america we saw low 20s nights and experiences booked growth in q4 2024 compared to q4 2023
4Q24,apac,nights_yoy_pct_destination,21.0,1.0,"qualitative bucket low-20s mapped to midpoint 21.0, researcher mapping, half-width 1.0pp",4Q24 shareholder letter (4Q24_d915198dex991.htm),in asia pacific we saw low 20s nights and experiences booked growth in q4 2024 compared to q4 2023
1Q25,na,nights_yoy_pct_destination,2.0,1.0,"qualitative bucket low-single digit mapped to midpoint 2.0, researcher mapping, half-width 1.0pp",1Q25 shareholder letter (1Q25_d40594dex991.htm),in north america we saw low single digits nights and experiences booked growth in q1 2025 compared to q1 2024
1Q25,emea,nights_yoy_pct_destination,5.0,1.0,"qualitative bucket mid-single digit mapped to midpoint 5.0, researcher mapping, half-width 1.0pp",1Q25 shareholder letter (1Q25_d40594dex991.htm),in emea we saw mid single digits nights and experiences booked growth in q1 2025 compared to q1 2024
1Q25,latam,nights_yoy_pct_destination,21.0,1.0,"qualitative bucket low-20s mapped to midpoint 21.0, researcher mapping, half-width 1.0pp",1Q25 shareholder letter (1Q25_d40594dex991.htm),in latin america we saw low 20s nights and experiences booked growth in q1 2025 compared to q1 2024
1Q25,apac,nights_yoy_pct_destination,15.0,1.0,"qualitative bucket mid-teens mapped to midpoint 15.0, researcher mapping, half-width 1.0pp",1Q25 shareholder letter (1Q25_d40594dex991.htm),in asia pacific we saw mid teens nights and experiences booked growth in q1 2025 compared to q1 2024
2Q25,na,nights_yoy_pct_destination,2.0,1.0,"qualitative bucket low-single digit mapped to midpoint 2.0, researcher mapping, half-width 1.0pp",2Q25 shareholder letter (2Q25_d17531dex991.htm),in north america we saw low single digit growth in nights and seats booked during q2 2025 compared to q2 2024
2Q25,emea,nights_yoy_pct_destination,5.0,1.0,"qualitative bucket mid-single digit mapped to midpoint 5.0, researcher mapping, half-width 1.0pp",2Q25 shareholder letter (2Q25_d17531dex991.htm),in emea we saw mid single digit growth in nights and seats booked during q2 2025 compared to q2 2024
2Q25,latam,nights_yoy_pct_destination,18.0,1.0,"qualitative bucket high-teens mapped to midpoint 18.0, researcher mapping, half-width 1.0pp",2Q25 shareholder letter (2Q25_d17531dex991.htm),in latin america we saw high teens growth in nights and seats booked during q2 2025 compared to q2 2024
2Q25,apac,nights_yoy_pct_destination,15.0,1.0,"qualitative bucket mid-teens mapped to midpoint 15.0, researcher mapping, half-width 1.0pp",2Q25 shareholder letter (2Q25_d17531dex991.htm),in asia pacific we saw mid teens growth in nights and seats booked during q2 2025 compared to q2 2024
3Q25,na,nights_yoy_pct_destination,5.0,1.0,"qualitative bucket mid-single digit mapped to midpoint 5.0, researcher mapping, half-width 1.0pp",3Q25 shareholder letter (3Q25_d40503dex991.htm),in north america we saw mid single digit growth of nights and seats booked during q3 2025 compared to q3 2024 representing a sequential acceleration
3Q25,emea,nights_yoy_pct_destination,5.0,1.0,"qualitative bucket mid-single digit mapped to midpoint 5.0, researcher mapping, half-width 1.0pp",3Q25 shareholder letter (3Q25_d40503dex991.htm),in emea we saw mid single digit growth in nights and seats booked during q3 2025 compared to q3 2024
3Q25,latam,nights_yoy_pct_destination,21.0,1.0,"qualitative bucket low-20s mapped to midpoint 21.0, researcher mapping, half-width 1.0pp",3Q25 shareholder letter (3Q25_d40503dex991.htm),in latin america we saw low 20s growth in nights and seats booked during q3 2025 compared to q3 2024
3Q25,apac,nights_yoy_pct_destination,15.0,1.0,"qualitative bucket mid-teens mapped to midpoint 15.0, researcher mapping, half-width 1.0pp",3Q25 shareholder letter (3Q25_d40503dex991.htm),in asia pacific we saw mid teens growth in nights and seats booked during q3 2025 compared to q3 2024
4Q25,na,nights_yoy_pct_destination,5.0,1.0,"qualitative bucket mid-single digit mapped to midpoint 5.0, researcher mapping, half-width 1.0pp",4Q25 shareholder letter (4Q25_d58192dex991.htm),in north america we saw mid single digit growth of nights and seats booked during q4 2025 compared to q4 2024
4Q25,emea,nights_yoy_pct_destination,8.0,1.0,"qualitative bucket high-single digit mapped to midpoint 8.0, researcher mapping, half-width 1.0pp",4Q25 shareholder letter (4Q25_d58192dex991.htm),in emea we saw high single digit growth in nights and seats booked during q4 2025 compared to q4 2024 representing an acceleration compared to q3 2025
4Q25,latam,nights_yoy_pct_destination,18.0,1.0,"qualitative bucket high-teens mapped to midpoint 18.0, researcher mapping, half-width 1.0pp",4Q25 shareholder letter (4Q25_d58192dex991.htm),in latin america we saw high teens growth in nights and seats booked during q4 2025 compared to q4 2024
4Q25,apac,nights_yoy_pct_destination,15.0,1.0,"qualitative bucket mid-teens mapped to midpoint 15.0, researcher mapping, half-width 1.0pp",4Q25 shareholder letter (4Q25_d58192dex991.htm),in asia pacific we saw mid teens growth in nights and seats booked during q4 2025 compared to q4 2024
1Q26,na,nights_yoy_pct_destination,8.0,1.0,"qualitative bucket high-single digit mapped to midpoint 8.0, researcher mapping, half-width 1.0pp",1Q26 shareholder letter (1Q26_d23351dex991.htm),in north america we saw high single digit growth of nights and seats booked during q1 2026 compared to q1 2025
1Q26,emea,nights_yoy_pct_destination,5.0,1.0,"qualitative bucket mid-single digit mapped to midpoint 5.0, researcher mapping, half-width 1.0pp",1Q26 shareholder letter (1Q26_d23351dex991.htm),in emea we saw mid single digit growth in nights and seats booked during q1 2026 compared to q1 2025
1Q26,latam,nights_yoy_pct_destination,18.0,1.0,"qualitative bucket high-teens mapped to midpoint 18.0, researcher mapping, half-width 1.0pp",1Q26 shareholder letter (1Q26_d23351dex991.htm),in latin america we saw high teens growth in nights and seats booked during q1 2026 compared to q1 2025
1Q26,apac,nights_yoy_pct_destination,18.0,1.0,"qualitative bucket high-teens mapped to midpoint 18.0, researcher mapping, half-width 1.0pp",1Q26 shareholder letter (1Q26_d23351dex991.htm),in asia pacific we saw high teens growth in nights and seats booked during q1 2026 compared to q1 2025
2Q26,na,nights_yoy_pct_destination,8.0,1.0,"qualitative bucket high-single digit mapped to midpoint 8.0, researcher mapping, half-width 1.0pp",2Q26 shareholder letter (2Q26_d70413dex991.htm),in north america we saw high single digit growth of nights and seats booked during q2 2026 compared to q2 2025
2Q26,emea,nights_yoy_pct_destination,8.0,1.0,"qualitative bucket high-single digit mapped to midpoint 8.0, researcher mapping, half-width 1.0pp",2Q26 shareholder letter (2Q26_d70413dex991.htm),in emea we saw high single digit growth in nights and seats booked during q2 2026 compared to q2 2025 accelerating from q1 2026
2Q26,latam,nights_yoy_pct_destination,20.0,0.5,disclosed numeric y/y,2Q26 shareholder letter (2Q26_d70413dex991.htm),in latin america we saw approximately 20% growth in nights and seats booked during q2 2026 compared to q2 2025
2Q26,apac,nights_yoy_pct_destination,18.0,1.0,"qualitative bucket high-teens mapped to midpoint 18.0, researcher mapping, half-width 1.0pp",2Q26 shareholder letter (2Q26_d70413dex991.htm),in asia pacific we saw high teens growth in nights and seats booked during q2 2026 compared to q2 2025
1Q25,ex_na,nights_yoy_ex_na,11.0,0.5,disclosed numeric,1Q25 shareholder letter,excluding north america nights and experiences booked grew 11% year over year in q1 2025
2Q25,ex_na,nights_yoy_ex_na_floor,10.0,2.0,"floor only: double digits, read as at least 10",2Q25 shareholder letter,nights and seats booked grew double digits year over year in q2 2025 when excluding north america which contributes approximately 30% of total nights and seats booked
3Q25,ex_na,nights_yoy_ex_na_floor,10.0,2.0,"floor only: double digits, read as at least 10",3Q25 shareholder letter,nights and seats booked grew double digits year over year in q3 2025 when excluding north america which contributed approximately 30% of total nights and seats booked
FY2020,apac,nights_share_pct_annual_10k,14.29,0.5,10-K nights share by listing location,10-K FY2021 Geographic Mix via data/processed/adr/01_regional_annual.csv,nights 27.6m in 2020
FY2020,apac,adr_usd_annual_10k,85.73,0.0,GBV divided by nights from the 10-K Geographic Mix table,10-K FY2021 Geographic Mix via data/processed/adr/01_regional_annual.csv,gbv 2366.1musd over nights 27.6m
FY2020,emea,nights_share_pct_annual_10k,35.04,0.5,10-K nights share by listing location,10-K FY2021 Geographic Mix via data/processed/adr/01_regional_annual.csv,nights 67.7m in 2020
FY2020,emea,adr_usd_annual_10k,98.38,0.0,GBV divided by nights from the 10-K Geographic Mix table,10-K FY2021 Geographic Mix via data/processed/adr/01_regional_annual.csv,gbv 6660.1musd over nights 67.7m
FY2020,latam,nights_share_pct_annual_10k,11.59,0.5,10-K nights share by listing location,10-K FY2021 Geographic Mix via data/processed/adr/01_regional_annual.csv,nights 22.4m in 2020
FY2020,latam,adr_usd_annual_10k,75.93,0.0,GBV divided by nights from the 10-K Geographic Mix table,10-K FY2021 Geographic Mix via data/processed/adr/01_regional_annual.csv,gbv 1700.8musd over nights 22.4m
FY2020,na,nights_share_pct_annual_10k,39.08,0.5,10-K nights share by listing location,10-K FY2021 Geographic Mix via data/processed/adr/01_regional_annual.csv,nights 75.5m in 2020
FY2020,na,adr_usd_annual_10k,174.44,0.0,GBV divided by nights from the 10-K Geographic Mix table,10-K FY2021 Geographic Mix via data/processed/adr/01_regional_annual.csv,gbv 13169.9musd over nights 75.5m
FY2021,apac,nights_yoy_pct_annual_10k,7.61,1.0,"10-K nights rounded to whole millions from FY2022, so roughly +/-1pp at these levels",10-K FY2021 Geographic Mix via data/processed/adr/01_regional_annual.csv,nights 29.7m in 2021
FY2021,apac,nights_share_pct_annual_10k,9.88,0.5,10-K nights share by listing location,10-K FY2021 Geographic Mix via data/processed/adr/01_regional_annual.csv,nights 29.7m in 2021
FY2021,apac,adr_usd_annual_10k,109.72,0.0,GBV divided by nights from the 10-K Geographic Mix table,10-K FY2021 Geographic Mix via data/processed/adr/01_regional_annual.csv,gbv 3258.6musd over nights 29.7m
FY2021,emea,nights_yoy_pct_annual_10k,74.45,1.0,"10-K nights rounded to whole millions from FY2022, so roughly +/-1pp at these levels",10-K FY2021 Geographic Mix via data/processed/adr/01_regional_annual.csv,nights 118.1m in 2021
FY2021,emea,nights_share_pct_annual_10k,39.29,0.5,10-K nights share by listing location,10-K FY2021 Geographic Mix via data/processed/adr/01_regional_annual.csv,nights 118.1m in 2021
FY2021,emea,adr_usd_annual_10k,123.68,0.0,GBV divided by nights from the 10-K Geographic Mix table,10-K FY2021 Geographic Mix via data/processed/adr/01_regional_annual.csv,gbv 14606.9musd over nights 118.1m
FY2021,latam,nights_yoy_pct_annual_10k,73.21,1.0,"10-K nights rounded to whole millions from FY2022, so roughly +/-1pp at these levels",10-K FY2021 Geographic Mix via data/processed/adr/01_regional_annual.csv,nights 38.8m in 2021
FY2021,latam,nights_share_pct_annual_10k,12.91,0.5,10-K nights share by listing location,10-K FY2021 Geographic Mix via data/processed/adr/01_regional_annual.csv,nights 38.8m in 2021
FY2021,latam,adr_usd_annual_10k,95.52,0.0,GBV divided by nights from the 10-K Geographic Mix table,10-K FY2021 Geographic Mix via data/processed/adr/01_regional_annual.csv,gbv 3706.0musd over nights 38.8m
FY2021,na,nights_yoy_pct_annual_10k,50.99,1.0,"10-K nights rounded to whole millions from FY2022, so roughly +/-1pp at these levels",10-K FY2021 Geographic Mix via data/processed/adr/01_regional_annual.csv,nights 114.0m in 2021
FY2021,na,nights_share_pct_annual_10k,37.92,0.5,10-K nights share by listing location,10-K FY2021 Geographic Mix via data/processed/adr/01_regional_annual.csv,nights 114.0m in 2021
FY2021,na,adr_usd_annual_10k,221.98,0.0,GBV divided by nights from the 10-K Geographic Mix table,10-K FY2021 Geographic Mix via data/processed/adr/01_regional_annual.csv,gbv 25305.5musd over nights 114.0m
FY2022,apac,nights_yoy_pct_annual_10k,34.68,1.0,"10-K nights rounded to whole millions from FY2022, so roughly +/-1pp at these levels",10-K FY2022 Geographic Mix via data/processed/adr/01_regional_annual.csv,nights 40.0m in 2022
FY2022,apac,nights_share_pct_annual_10k,10.15,0.5,10-K nights share by listing location,10-K FY2022 Geographic Mix via data/processed/adr/01_regional_annual.csv,nights 40.0m in 2022
FY2022,apac,adr_usd_annual_10k,116.05,0.0,GBV divided by nights from the 10-K Geographic Mix table,10-K FY2022 Geographic Mix via data/processed/adr/01_regional_annual.csv,gbv 4642.0musd over nights 40.0m
FY2022,emea,nights_yoy_pct_annual_10k,42.25,1.0,"10-K nights rounded to whole millions from FY2022, so roughly +/-1pp at these levels",10-K FY2022 Geographic Mix via data/processed/adr/01_regional_annual.csv,nights 168.0m in 2022
FY2022,emea,nights_share_pct_annual_10k,42.64,0.5,10-K nights share by listing location,10-K FY2022 Geographic Mix via data/processed/adr/01_regional_annual.csv,nights 168.0m in 2022
FY2022,emea,adr_usd_annual_10k,127.89,0.0,GBV divided by nights from the 10-K Geographic Mix table,10-K FY2022 Geographic Mix via data/processed/adr/01_regional_annual.csv,gbv 21486.0musd over nights 168.0m
FY2022,latam,nights_yoy_pct_annual_10k,36.6,1.0,"10-K nights rounded to whole millions from FY2022, so roughly +/-1pp at these levels",10-K FY2022 Geographic Mix via data/processed/adr/01_regional_annual.csv,nights 53.0m in 2022
FY2022,latam,nights_share_pct_annual_10k,13.45,0.5,10-K nights share by listing location,10-K FY2022 Geographic Mix via data/processed/adr/01_regional_annual.csv,nights 53.0m in 2022
FY2022,latam,adr_usd_annual_10k,91.28,0.0,GBV divided by nights from the 10-K Geographic Mix table,10-K FY2022 Geographic Mix via data/processed/adr/01_regional_annual.csv,gbv 4838.0musd over nights 53.0m
FY2022,na,nights_yoy_pct_annual_10k,16.67,1.0,"10-K nights rounded to whole millions from FY2022, so roughly +/-1pp at these levels",10-K FY2022 Geographic Mix via data/processed/adr/01_regional_annual.csv,nights 133.0m in 2022
FY2022,na,nights_share_pct_annual_10k,33.76,0.5,10-K nights share by listing location,10-K FY2022 Geographic Mix via data/processed/adr/01_regional_annual.csv,nights 133.0m in 2022
FY2022,na,adr_usd_annual_10k,242.45,0.0,GBV divided by nights from the 10-K Geographic Mix table,10-K FY2022 Geographic Mix via data/processed/adr/01_regional_annual.csv,gbv 32246.0musd over nights 133.0m
FY2023,apac,nights_yoy_pct_annual_10k,27.5,1.0,"10-K nights rounded to whole millions from FY2022, so roughly +/-1pp at these levels",10-K FY2023 Geographic Mix via data/processed/adr/01_regional_annual.csv,nights 51.0m in 2023
FY2023,apac,nights_share_pct_annual_10k,11.38,0.5,10-K nights share by listing location,10-K FY2023 Geographic Mix via data/processed/adr/01_regional_annual.csv,nights 51.0m in 2023
FY2023,apac,adr_usd_annual_10k,117.96,0.0,GBV divided by nights from the 10-K Geographic Mix table,10-K FY2023 Geographic Mix via data/processed/adr/01_regional_annual.csv,gbv 6016.0musd over nights 51.0m
FY2023,emea,nights_yoy_pct_annual_10k,11.31,1.0,"10-K nights rounded to whole millions from FY2022, so roughly +/-1pp at these levels",10-K FY2023 Geographic Mix via data/processed/adr/01_regional_annual.csv,nights 187.0m in 2023
FY2023,emea,nights_share_pct_annual_10k,41.74,0.5,10-K nights share by listing location,10-K FY2023 Geographic Mix via data/processed/adr/01_regional_annual.csv,nights 187.0m in 2023
FY2023,emea,adr_usd_annual_10k,140.33,0.0,GBV divided by nights from the 10-K Geographic Mix table,10-K FY2023 Geographic Mix via data/processed/adr/01_regional_annual.csv,gbv 26241.0musd over nights 187.0m
FY2023,latam,nights_yoy_pct_annual_10k,20.75,1.0,"10-K nights rounded to whole millions from FY2022, so roughly +/-1pp at these levels",10-K FY2023 Geographic Mix via data/processed/adr/01_regional_annual.csv,nights 64.0m in 2023
FY2023,latam,nights_share_pct_annual_10k,14.29,0.5,10-K nights share by listing location,10-K FY2023 Geographic Mix via data/processed/adr/01_regional_annual.csv,nights 64.0m in 2023
FY2023,latam,adr_usd_annual_10k,94.59,0.0,GBV divided by nights from the 10-K Geographic Mix table,10-K FY2023 Geographic Mix via data/processed/adr/01_regional_annual.csv,gbv 6054.0musd over nights 64.0m
FY2023,na,nights_yoy_pct_annual_10k,9.77,1.0,"10-K nights rounded to whole millions from FY2022, so roughly +/-1pp at these levels",10-K FY2023 Geographic Mix via data/processed/adr/01_regional_annual.csv,nights 146.0m in 2023
FY2023,na,nights_share_pct_annual_10k,32.59,0.5,10-K nights share by listing location,10-K FY2023 Geographic Mix via data/processed/adr/01_regional_annual.csv,nights 146.0m in 2023
FY2023,na,adr_usd_annual_10k,239.32,0.0,GBV divided by nights from the 10-K Geographic Mix table,10-K FY2023 Geographic Mix via data/processed/adr/01_regional_annual.csv,gbv 34941.0musd over nights 146.0m
FY2024,apac,nights_yoy_pct_annual_10k,19.61,1.0,"10-K nights rounded to whole millions from FY2022, so roughly +/-1pp at these levels",10-K FY2024 Geographic Mix via data/processed/adr/01_regional_annual.csv,nights 61.0m in 2024
FY2024,apac,nights_share_pct_annual_10k,12.4,0.5,10-K nights share by listing location,10-K FY2024 Geographic Mix via data/processed/adr/01_regional_annual.csv,nights 61.0m in 2024
FY2024,apac,adr_usd_annual_10k,116.82,0.0,GBV divided by nights from the 10-K Geographic Mix table,10-K FY2024 Geographic Mix via data/processed/adr/01_regional_annual.csv,gbv 7126.0musd over nights 61.0m
FY2024,emea,nights_yoy_pct_annual_10k,7.49,1.0,"10-K nights rounded to whole millions from FY2022, so roughly +/-1pp at these levels",10-K FY2024 Geographic Mix via data/processed/adr/01_regional_annual.csv,nights 201.0m in 2024
FY2024,emea,nights_share_pct_annual_10k,40.85,0.5,10-K nights share by listing location,10-K FY2024 Geographic Mix via data/processed/adr/01_regional_annual.csv,nights 201.0m in 2024
FY2024,emea,adr_usd_annual_10k,148.01,0.0,GBV divided by nights from the 10-K Geographic Mix table,10-K FY2024 Geographic Mix via data/processed/adr/01_regional_annual.csv,gbv 29750.0musd over nights 201.0m
FY2024,latam,nights_yoy_pct_annual_10k,18.75,1.0,"10-K nights rounded to whole millions from FY2022, so roughly +/-1pp at these levels",10-K FY2024 Geographic Mix via data/processed/adr/01_regional_annual.csv,nights 76.0m in 2024
FY2024,latam,nights_share_pct_annual_10k,15.45,0.5,10-K nights share by listing location,10-K FY2024 Geographic Mix via data/processed/adr/01_regional_annual.csv,nights 76.0m in 2024
FY2024,latam,adr_usd_annual_10k,93.32,0.0,GBV divided by nights from the 10-K Geographic Mix table,10-K FY2024 Geographic Mix via data/processed/adr/01_regional_annual.csv,gbv 7092.0musd over nights 76.0m
FY2024,na,nights_yoy_pct_annual_10k,5.48,1.0,"10-K nights rounded to whole millions from FY2022, so roughly +/-1pp at these levels",10-K FY2024 Geographic Mix via data/processed/adr/01_regional_annual.csv,nights 154.0m in 2024
FY2024,na,nights_share_pct_annual_10k,31.3,0.5,10-K nights share by listing location,10-K FY2024 Geographic Mix via data/processed/adr/01_regional_annual.csv,nights 154.0m in 2024
FY2024,na,adr_usd_annual_10k,245.56,0.0,GBV divided by nights from the 10-K Geographic Mix table,10-K FY2024 Geographic Mix via data/processed/adr/01_regional_annual.csv,gbv 37816.0musd over nights 154.0m
FY2025,apac,nights_yoy_pct_annual_10k,14.75,1.0,"10-K nights rounded to whole millions from FY2022, so roughly +/-1pp at these levels",10-K FY2025 Geographic Mix via data/processed/adr/01_regional_annual.csv,nights 70.0m in 2025
FY2025,apac,nights_share_pct_annual_10k,13.13,0.5,10-K nights share by listing location,10-K FY2025 Geographic Mix via data/processed/adr/01_regional_annual.csv,nights 70.0m in 2025
FY2025,apac,adr_usd_annual_10k,118.2,0.0,GBV divided by nights from the 10-K Geographic Mix table,10-K FY2025 Geographic Mix via data/processed/adr/01_regional_annual.csv,gbv 8274.0musd over nights 70.0m
FY2025,emea,nights_yoy_pct_annual_10k,6.97,1.0,"10-K nights rounded to whole millions from FY2022, so roughly +/-1pp at these levels",10-K FY2025 Geographic Mix via data/processed/adr/01_regional_annual.csv,nights 215.0m in 2025
FY2025,emea,nights_share_pct_annual_10k,40.34,0.5,10-K nights share by listing location,10-K FY2025 Geographic Mix via data/processed/adr/01_regional_annual.csv,nights 215.0m in 2025
FY2025,emea,adr_usd_annual_10k,158.89,0.0,GBV divided by nights from the 10-K Geographic Mix table,10-K FY2025 Geographic Mix via data/processed/adr/01_regional_annual.csv,gbv 34162.0musd over nights 215.0m
FY2025,latam,nights_yoy_pct_annual_10k,18.42,1.0,"10-K nights rounded to whole millions from FY2022, so roughly +/-1pp at these levels",10-K FY2025 Geographic Mix via data/processed/adr/01_regional_annual.csv,nights 90.0m in 2025
FY2025,latam,nights_share_pct_annual_10k,16.89,0.5,10-K nights share by listing location,10-K FY2025 Geographic Mix via data/processed/adr/01_regional_annual.csv,nights 90.0m in 2025
FY2025,latam,adr_usd_annual_10k,94.91,0.0,GBV divided by nights from the 10-K Geographic Mix table,10-K FY2025 Geographic Mix via data/processed/adr/01_regional_annual.csv,gbv 8542.0musd over nights 90.0m
FY2025,na,nights_yoy_pct_annual_10k,2.6,1.0,"10-K nights rounded to whole millions from FY2022, so roughly +/-1pp at these levels",10-K FY2025 Geographic Mix via data/processed/adr/01_regional_annual.csv,nights 158.0m in 2025
FY2025,na,nights_share_pct_annual_10k,29.64,0.5,10-K nights share by listing location,10-K FY2025 Geographic Mix via data/processed/adr/01_regional_annual.csv,nights 158.0m in 2025
FY2025,na,adr_usd_annual_10k,255.03,0.0,GBV divided by nights from the 10-K Geographic Mix table,10-K FY2025 Geographic Mix via data/processed/adr/01_regional_annual.csv,gbv 40295.0musd over nights 158.0m
