quarter,subgeo_pp,part_NAM,part_EMEA,part_LatAm,part_APAC,shares_fy,variant,horizon
1Q25,-0.37391666273194185,-0.03437300584894067,-0.07310048688658335,-0.23143227914643247,-0.03501089084998537,2024,panel_shares/panel_growth/median,history
2Q25,-0.5482326485224494,-0.1355717425343249,-0.18512087498878493,-0.2204188120592636,-0.007121218940075922,2024,panel_shares/panel_growth/median,history
3Q25,-0.2592433374372242,-0.28765498719737503,0.06259224513446487,-0.02115722896812465,-0.013023366406189374,2024,panel_shares/panel_growth/median,history
4Q25,0.010769556707426001,0.09379143328126543,-0.0228637263902515,-0.058743159351642184,-0.0014149908319457517,2024,panel_shares/panel_growth/median,history
1Q26,-0.25830428028229646,-0.010425657112275334,-0.10632110137754865,-0.044147216599159975,-0.09741030519331254,2025,panel_shares/panel_growth/median,history
2Q26,-0.1000069066450053,-0.22959234785103685,0.16145539625173488,0.041467155165311013,-0.07333711021101434,2025,panel_shares/panel_growth/median,history
3Q26,0.051052242483569085,,0.051052242483569085,,,2025,panel_shares/panel_growth/median,history
3Q26,-0.13721926261774675,-0.10351408045581907,0.02899448685999652,-0.019628798891923493,-0.0430708701300007,2025,panel_shares/panel_growth/median,forward
4Q26,-0.14680777611579665,-0.10888131729454137,0.02099980867340054,-0.01518357412561642,-0.0437426933690394,2025,panel_shares/panel_growth/median,forward
1Q27,-0.15495363691987396,-0.11314968067344792,0.012649834836598003,-0.010991400033907492,-0.04346239104911656,2025,panel_shares/panel_growth/median,forward
2Q27,-0.164673836490323,-0.11641586538931324,0.004392981719578546,-0.007795566434460207,-0.04485538638612808,2025,panel_shares/panel_growth/median,forward
3Q27,-0.17289361019099617,-0.11970854285006806,-0.004259571974137237,-0.0045295999868060054,-0.04439589537998486,2025,panel_shares/panel_growth/median,forward
4Q27,-0.18139202814203523,-0.12302274357424058,-0.012917984559086876,-0.0017328960495450053,-0.04371840395916277,2025,panel_shares/panel_growth/median,forward
1Q16,-0.3544950735120076,-0.3060110000234489,-0.05652550354629123,0.26529720066110746,-0.25725577060337496,2025,eurostat_shares/panel_growth/median,history
2Q16,0.4401922695247845,-0.06634786237677216,0.25144166140742513,0.47382020178307305,-0.21872173128894146,2025,eurostat_shares/panel_growth/median,history
3Q16,-0.13550174903792506,-0.12461039225896965,0.06975829573298198,0.14122525218449292,-0.2218749046964303,2025,eurostat_shares/panel_growth/median,history
4Q16,-0.029157072934213046,-0.12976597595599307,-0.03294895550766571,0.320722800421304,-0.18716494189185828,2025,eurostat_shares/panel_growth/median,history
1Q17,-0.003692243409136209,-0.09298933210480141,-0.12106806569286367,0.38933864983820926,-0.1789734954496804,2025,eurostat_shares/panel_growth/median,history
2Q17,-0.14740870758477853,-0.26303921665775387,-0.11406717285525485,0.3812198144997899,-0.15152213257155972,2025,eurostat_shares/panel_growth/median,history
3Q17,-0.16247401077400841,-0.18823549655048746,-0.2291304030865326,0.574709409967983,-0.31981752110497136,2025,eurostat_shares/panel_growth/median,history
4Q17,-0.7271010673331988,-0.23316426924057057,-0.5178901624204261,0.23871656456722784,-0.21476320023942994,2025,eurostat_shares/panel_growth/median,history
1Q18,-0.35268338632966545,-0.16535314222936104,-0.3163660993980696,0.33597943028287136,-0.2069435749851062,2025,eurostat_shares/panel_growth/median,history
2Q18,0.06705939411404285,-0.08845408240218709,0.022619367257751495,0.2807261697823987,-0.14783206052392028,2025,eurostat_shares/panel_growth/median,history
3Q18,0.378827098741722,-0.05094007384458289,0.10404360469039127,0.3849992487305685,-0.059275680834654884,2025,eurostat_shares/panel_growth/median,history
4Q18,0.04994304184414655,-0.12692946249702972,0.21272665058888288,0.13487601969740384,-0.17073016594511045,2025,eurostat_shares/panel_growth/median,history
1Q19,-0.09463193047525667,-0.13239178138019686,0.052510423255714436,0.11626721084919146,-0.1310177831999657,2025,eurostat_shares/panel_growth/median,history
2Q19,-0.5896053233470117,-0.14499355382333998,-0.2109402150346587,-0.08206611880008166,-0.1516054356889314,2025,eurostat_shares/panel_growth/median,history
3Q19,-0.5248222058484759,-0.09020799019806641,-0.21826807321834998,-0.08942881756927554,-0.12691732486278395,2025,eurostat_shares/panel_growth/median,history
4Q19,-0.5323030362953114,-0.06901636074385757,-0.25257781797619794,-0.16134204861785764,-0.04936680895739816,2025,eurostat_shares/panel_growth/median,history
1Q20,-0.4716379190223797,-0.1791461862122234,-0.2503939826493675,-0.08857497608489992,0.046477225924111076,2025,eurostat_shares/panel_growth/median,history
2Q20,-0.03850615386834699,0.6392059063095199,-0.7713126587295601,-0.34456832871303694,0.43816892726473017,2025,eurostat_shares/panel_growth/median,history
3Q20,-0.02386976208640218,0.5358925743677141,-0.3786512702958766,-0.39983922377739245,0.21872815761915276,2025,eurostat_shares/panel_growth/median,history
4Q20,0.0003819632565611464,0.7483405804446753,-0.8996238572739204,-0.41358023658808557,0.5652454766738917,2020,eurostat_shares/panel_growth/median,history
1Q21,0.5491734274145448,0.7958704411775162,-0.6727491492678433,-0.4072640929763421,0.8333162284812141,2020,eurostat_shares/panel_growth/median,history
2Q21,1.801613941068268,0.5762772430487296,0.7248604090963767,0.20437639224787946,0.29609989667528236,2020,eurostat_shares/panel_growth/median,history
3Q21,0.8167378251274422,0.2171646001886413,0.19014815050955894,0.1835479418578885,0.2258771325713535,2020,eurostat_shares/panel_growth/median,history
4Q21,1.5240366694311114,-0.3805852267854487,1.1222694387178849,0.3413973205669334,0.44095513693174193,2020,eurostat_shares/panel_growth/median,history
1Q22,1.274203374552496,-0.34096120237292377,1.1585059785959189,0.3584908223002479,0.09816777602925308,2021,eurostat_shares/panel_growth/median,history
2Q22,-1.3681842242655944,-1.1513080584401025,-0.16570687884517016,-0.03885004562292026,-0.012319241357401542,2021,eurostat_shares/panel_growth/median,history
3Q22,-0.8387986514141729,-0.7689063996407898,0.0719658425783585,-0.06435548167218759,-0.07750261267955391,2021,eurostat_shares/panel_growth/median,history
4Q22,-0.8544968985612785,-0.2952248533987799,-0.06633507666734777,0.10803673906057869,-0.6009737075557295,2021,eurostat_shares/panel_growth/median,history
1Q23,-0.9673926110536615,-0.29376924689889444,0.07800254353083844,-0.03115436788981397,-0.7204715397957915,2022,eurostat_shares/panel_growth/median,history
2Q23,-1.087853035158202,-0.3830600272547411,-0.06699303378504563,-0.09654681396556712,-0.5412531601528483,2022,eurostat_shares/panel_growth/median,history
3Q23,-0.7073404619301462,-0.4168902600248923,-0.005109954203198678,0.10012600633351341,-0.3854662540355686,2022,eurostat_shares/panel_growth/median,history
4Q23,-0.633302828213838,-0.262732169184874,-0.006965666325590906,-0.09202793502931207,-0.27157705767406093,2022,eurostat_shares/panel_growth/median,history
1Q24,-0.3554061715710148,-0.1783606388416549,-0.06627371787081011,0.15682933388725706,-0.2676011487458068,2023,eurostat_shares/panel_growth/median,history
2Q24,-0.2810074504073139,-0.18727654197909002,-0.04147830984283321,0.03970991926360901,-0.09196251784899964,2023,eurostat_shares/panel_growth/median,history
3Q24,-0.17640033466903637,-0.1929092943977645,0.037547591348459586,-0.0930137968025327,0.07197516518280121,2023,eurostat_shares/panel_growth/median,history
4Q24,-0.38499418437072686,-0.26138953974650625,-0.10830671780661245,0.04117576238976997,-0.05647368920737815,2023,eurostat_shares/panel_growth/median,history
1Q25,-0.25617935317814233,-0.03437300584894067,0.04463682266721616,-0.23143227914643247,-0.03501089084998537,2024,eurostat_shares/panel_growth/median,history
2Q25,-0.4861197648079488,-0.1355717425343249,-0.12300799127428433,-0.2204188120592636,-0.007121218940075922,2024,eurostat_shares/panel_growth/median,history
3Q25,-0.24490252844568353,-0.28765498719737503,0.07693305412600555,-0.02115722896812465,-0.013023366406189374,2024,eurostat_shares/panel_growth/median,history
4Q25,-0.02513554053089758,0.09379143328126543,-0.05876882362857508,-0.058743159351642184,-0.0014149908319457517,2024,eurostat_shares/panel_growth/median,history
1Q26,-0.28809001790351907,-0.010425657112275334,-0.1361068389987712,-0.044147216599159975,-0.09741030519331254,2025,eurostat_shares/panel_growth/median,history
2Q26,-0.14164606995931395,-0.22959234785103685,0.11981623293742621,0.041467155165311013,-0.07333711021101434,2025,eurostat_shares/panel_growth/median,history
3Q26,0.051052242483569085,,0.051052242483569085,,,2025,eurostat_shares/panel_growth/median,history
3Q26,-0.1527146632059406,-0.10351408045581907,0.013499086271802675,-0.019628798891923493,-0.0430708701300007,2025,eurostat_shares/panel_growth/median,forward
4Q26,-0.1598217910267381,-0.10888131729454137,0.007985793762459092,-0.01518357412561642,-0.0437426933690394,2025,eurostat_shares/panel_growth/median,forward
1Q27,-0.1655520975689827,-0.11314968067344792,0.0020513741874892614,-0.010991400033907492,-0.04346239104911656,2025,eurostat_shares/panel_growth/median,forward
2Q27,-0.1732680975128313,-0.11641586538931324,-0.004201279302929778,-0.007795566434460207,-0.04485538638612808,2025,eurostat_shares/panel_growth/median,forward
3Q27,-0.17950723396519216,-0.11970854285006806,-0.010873195748333255,-0.0045295999868060054,-0.04439589537998486,2025,eurostat_shares/panel_growth/median,forward
4Q27,-0.18628846674928592,-0.12302274357424058,-0.017814423166337568,-0.0017328960495450053,-0.04371840395916277,2025,eurostat_shares/panel_growth/median,forward
1Q16,-0.3544950735120076,-0.3060110000234489,-0.05652550354629123,0.26529720066110746,-0.25725577060337496,2025,eurostat_shares/eurostat_growth/median,history
2Q16,0.4401922695247845,-0.06634786237677216,0.25144166140742513,0.47382020178307305,-0.21872173128894146,2025,eurostat_shares/eurostat_growth/median,history
3Q16,-0.13550174903792506,-0.12461039225896965,0.06975829573298198,0.14122525218449292,-0.2218749046964303,2025,eurostat_shares/eurostat_growth/median,history
4Q16,-0.029157072934213046,-0.12976597595599307,-0.03294895550766571,0.320722800421304,-0.18716494189185828,2025,eurostat_shares/eurostat_growth/median,history
1Q17,-0.003692243409136209,-0.09298933210480141,-0.12106806569286367,0.38933864983820926,-0.1789734954496804,2025,eurostat_shares/eurostat_growth/median,history
2Q17,-0.14740870758477853,-0.26303921665775387,-0.11406717285525485,0.3812198144997899,-0.15152213257155972,2025,eurostat_shares/eurostat_growth/median,history
3Q17,-0.16247401077400841,-0.18823549655048746,-0.2291304030865326,0.574709409967983,-0.31981752110497136,2025,eurostat_shares/eurostat_growth/median,history
4Q17,-0.7271010673331988,-0.23316426924057057,-0.5178901624204261,0.23871656456722784,-0.21476320023942994,2025,eurostat_shares/eurostat_growth/median,history
1Q18,-0.35268338632966545,-0.16535314222936104,-0.3163660993980696,0.33597943028287136,-0.2069435749851062,2025,eurostat_shares/eurostat_growth/median,history
2Q18,0.06705939411404285,-0.08845408240218709,0.022619367257751495,0.2807261697823987,-0.14783206052392028,2025,eurostat_shares/eurostat_growth/median,history
3Q18,0.378827098741722,-0.05094007384458289,0.10404360469039127,0.3849992487305685,-0.059275680834654884,2025,eurostat_shares/eurostat_growth/median,history
4Q18,0.04994304184414655,-0.12692946249702972,0.21272665058888288,0.13487601969740384,-0.17073016594511045,2025,eurostat_shares/eurostat_growth/median,history
1Q19,-0.08126012912659726,-0.13239178138019686,0.06588222460437385,0.11626721084919146,-0.1310177831999657,2025,eurostat_shares/eurostat_growth/median,history
2Q19,-0.5525987879090938,-0.14499355382333998,-0.17393367959674075,-0.08206611880008166,-0.1516054356889314,2025,eurostat_shares/eurostat_growth/median,history
3Q19,-0.46363431467546845,-0.09020799019806641,-0.15708018204534255,-0.08942881756927554,-0.12691732486278395,2025,eurostat_shares/eurostat_growth/median,history
4Q19,-0.6207026470892606,-0.06901636074385757,-0.3409774287701472,-0.16134204861785764,-0.04936680895739816,2025,eurostat_shares/eurostat_growth/median,history
1Q20,-0.5217023762821985,-0.1791461862122234,-0.3004584399091863,-0.08857497608489992,0.046477225924111076,2025,eurostat_shares/eurostat_growth/median,history
2Q20,0.4936608969914654,0.6392059063095199,-0.23914560786974767,-0.34456832871303694,0.43816892726473017,2025,eurostat_shares/eurostat_growth/median,history
3Q20,0.17177548554961386,0.5358925743677141,-0.18300602265986055,-0.39983922377739245,0.21872815761915276,2025,eurostat_shares/eurostat_growth/median,history
4Q20,0.5834310809967742,0.7483405804446753,-0.3165747395337073,-0.41358023658808557,0.5652454766738917,2020,eurostat_shares/eurostat_growth/median,history
1Q21,1.2694871033503536,0.7958704411775162,0.04756452666796545,-0.4072640929763421,0.8333162284812141,2020,eurostat_shares/eurostat_growth/median,history
2Q21,1.9381149857786744,0.5762772430487296,0.8613614538067829,0.20437639224787946,0.29609989667528236,2020,eurostat_shares/eurostat_growth/median,history
3Q21,0.7824276947952324,0.2171646001886413,0.15583802017734913,0.1835479418578885,0.2258771325713535,2020,eurostat_shares/eurostat_growth/median,history
4Q21,1.290590514241421,-0.3805852267854487,0.8888232835281942,0.3413973205669334,0.44095513693174193,2020,eurostat_shares/eurostat_growth/median,history
1Q22,0.6715362447464782,-0.34096120237292377,0.555838848789901,0.3584908223002479,0.09816777602925308,2021,eurostat_shares/eurostat_growth/median,history
2Q22,-1.4870373620034998,-1.1513080584401025,-0.28456001658307556,-0.03885004562292026,-0.012319241357401542,2021,eurostat_shares/eurostat_growth/median,history
3Q22,-0.8982718883575188,-0.7689063996407898,0.012492605635012543,-0.06435548167218759,-0.07750261267955391,2021,eurostat_shares/eurostat_growth/median,history
4Q22,-0.9991493508883122,-0.2952248533987799,-0.21098752899438156,0.10803673906057869,-0.6009737075557295,2021,eurostat_shares/eurostat_growth/median,history
1Q23,-1.0678720154736325,-0.29376924689889444,-0.022476860889132647,-0.03115436788981397,-0.7204715397957915,2022,eurostat_shares/eurostat_growth/median,history
2Q23,-1.1631588702517253,-0.3830600272547411,-0.14229886887856882,-0.09654681396556712,-0.5412531601528483,2022,eurostat_shares/eurostat_growth/median,history
3Q23,-0.8011959695957689,-0.4168902600248923,-0.09896546186882127,0.10012600633351341,-0.3854662540355686,2022,eurostat_shares/eurostat_growth/median,history
4Q23,-0.6732274892751953,-0.262732169184874,-0.04689032738694826,-0.09202793502931207,-0.27157705767406093,2022,eurostat_shares/eurostat_growth/median,history
1Q24,-0.3097604562854455,-0.1783606388416549,-0.020628002585240876,0.15682933388725706,-0.2676011487458068,2023,eurostat_shares/eurostat_growth/median,history
2Q24,-0.32763242828672856,-0.18727654197909002,-0.08810328772224792,0.03970991926360901,-0.09196251784899964,2023,eurostat_shares/eurostat_growth/median,history
3Q24,-0.1748962870147342,-0.1929092943977645,0.039051639002761776,-0.0930137968025327,0.07197516518280121,2023,eurostat_shares/eurostat_growth/median,history
4Q24,-0.44349280889942166,-0.26138953974650625,-0.16680534233530717,0.04117576238976997,-0.05647368920737815,2023,eurostat_shares/eurostat_growth/median,history
1Q25,-0.3493549226091501,-0.03437300584894067,-0.048538746763791565,-0.23143227914643247,-0.03501089084998537,2024,eurostat_shares/eurostat_growth/median,history
2Q25,-0.4992351563662072,-0.1355717425343249,-0.13612338283254272,-0.2204188120592636,-0.007121218940075922,2024,eurostat_shares/eurostat_growth/median,history
3Q25,-0.3271420206311807,-0.28765498719737503,-0.005306438059491622,-0.02115722896812465,-0.013023366406189374,2024,eurostat_shares/eurostat_growth/median,history
4Q25,-0.0933461070668705,0.09379143328126543,-0.126979390164548,-0.058743159351642184,-0.0014149908319457517,2024,eurostat_shares/eurostat_growth/median,history
1Q26,-0.27323473919503216,-0.010425657112275334,-0.12125156029028436,-0.044147216599159975,-0.09741030519331254,2025,eurostat_shares/eurostat_growth/median,history
2Q26,-0.1000069066450053,-0.22959234785103685,0.16145539625173488,0.041467155165311013,-0.07333711021101434,2025,eurostat_shares/eurostat_growth/median,history
3Q26,0.051052242483569085,,0.051052242483569085,,,2025,eurostat_shares/eurostat_growth/median,history
3Q26,-0.2544111343629338,-0.10351408045581907,-0.08819738488519054,-0.019628798891923493,-0.0430708701300007,2025,eurostat_shares/eurostat_growth/median,forward
4Q26,-0.26076444682928424,-0.10888131729454137,-0.09295686204008706,-0.01518357412561642,-0.0437426933690394,2025,eurostat_shares/eurostat_growth/median,forward
1Q27,-0.2648539430498298,-0.11314968067344792,-0.09725047129335783,-0.010991400033907492,-0.04346239104911656,2025,eurostat_shares/eurostat_growth/median,forward
2Q27,-0.27297424772514434,-0.11641586538931324,-0.10390742951524283,-0.007795566434460207,-0.04485538638612808,2025,eurostat_shares/eurostat_growth/median,forward
3Q27,-0.27799953160371954,-0.11970854285006806,-0.10936549338686065,-0.0045295999868060054,-0.04439589537998486,2025,eurostat_shares/eurostat_growth/median,forward
4Q27,-0.28383450683836164,-0.12302274357424058,-0.11536046325541326,-0.0017328960495450053,-0.04371840395916277,2025,eurostat_shares/eurostat_growth/median,forward
1Q16,-0.3544950735120076,-0.3060110000234489,-0.05652550354629123,0.26529720066110746,-0.25725577060337496,2025,eurostat_shares/panel_growth/rw_mean,history
2Q16,0.4401922695247845,-0.06634786237677216,0.25144166140742513,0.47382020178307305,-0.21872173128894146,2025,eurostat_shares/panel_growth/rw_mean,history
3Q16,-0.13550174903792506,-0.12461039225896965,0.06975829573298198,0.14122525218449292,-0.2218749046964303,2025,eurostat_shares/panel_growth/rw_mean,history
4Q16,-0.029157072934213046,-0.12976597595599307,-0.03294895550766571,0.320722800421304,-0.18716494189185828,2025,eurostat_shares/panel_growth/rw_mean,history
1Q17,-0.003692243409136209,-0.09298933210480141,-0.12106806569286367,0.38933864983820926,-0.1789734954496804,2025,eurostat_shares/panel_growth/rw_mean,history
2Q17,-0.14740870758477853,-0.26303921665775387,-0.11406717285525485,0.3812198144997899,-0.15152213257155972,2025,eurostat_shares/panel_growth/rw_mean,history
3Q17,-0.16247401077400841,-0.18823549655048746,-0.2291304030865326,0.574709409967983,-0.31981752110497136,2025,eurostat_shares/panel_growth/rw_mean,history
4Q17,-0.7271010673331988,-0.23316426924057057,-0.5178901624204261,0.23871656456722784,-0.21476320023942994,2025,eurostat_shares/panel_growth/rw_mean,history
1Q18,-0.35268338632966545,-0.16535314222936104,-0.3163660993980696,0.33597943028287136,-0.2069435749851062,2025,eurostat_shares/panel_growth/rw_mean,history
2Q18,0.06705939411404285,-0.08845408240218709,0.022619367257751495,0.2807261697823987,-0.14783206052392028,2025,eurostat_shares/panel_growth/rw_mean,history
3Q18,0.378827098741722,-0.05094007384458289,0.10404360469039127,0.3849992487305685,-0.059275680834654884,2025,eurostat_shares/panel_growth/rw_mean,history
4Q18,0.04994304184414655,-0.12692946249702972,0.21272665058888288,0.13487601969740384,-0.17073016594511045,2025,eurostat_shares/panel_growth/rw_mean,history
1Q19,-0.16064103481079106,-0.13239178138019686,-0.01349868107981998,0.11626721084919146,-0.1310177831999657,2025,eurostat_shares/panel_growth/rw_mean,history
2Q19,-0.591887700274848,-0.14499355382333998,-0.21322259196249504,-0.08206611880008166,-0.1516054356889314,2025,eurostat_shares/panel_growth/rw_mean,history
3Q19,-0.5276411747808504,-0.09020799019806641,-0.22108704215072442,-0.08942881756927554,-0.12691732486278395,2025,eurostat_shares/panel_growth/rw_mean,history
4Q19,-0.5840076961023954,-0.06901636074385757,-0.30428247778328205,-0.16134204861785764,-0.04936680895739816,2025,eurostat_shares/panel_growth/rw_mean,history
1Q20,-0.4755778227514339,-0.1791461862122234,-0.2543338863784217,-0.08857497608489992,0.046477225924111076,2025,eurostat_shares/panel_growth/rw_mean,history
2Q20,0.5191644581955787,0.6392059063095199,-0.21364204666563447,-0.34456832871303694,0.43816892726473017,2025,eurostat_shares/panel_growth/rw_mean,history
3Q20,0.35472968151708273,0.5358925743677141,-5.182669239166118e-05,-0.39983922377739245,0.21872815761915276,2025,eurostat_shares/panel_growth/rw_mean,history
4Q20,0.4444414736964015,0.7483405804446753,-0.4555643468340799,-0.41358023658808557,0.5652454766738917,2020,eurostat_shares/panel_growth/rw_mean,history
1Q21,1.347253778051562,0.7958704411775162,0.12533120136917383,-0.4072640929763421,0.8333162284812141,2020,eurostat_shares/panel_growth/rw_mean,history
2Q21,1.691114918276579,0.5762772430487296,0.6143613863046875,0.20437639224787946,0.29609989667528236,2020,eurostat_shares/panel_growth/rw_mean,history
3Q21,0.6736220893426277,0.2171646001886413,0.04703241472474438,0.1835479418578885,0.2258771325713535,2020,eurostat_shares/panel_growth/rw_mean,history
4Q21,1.1498881640523329,-0.3805852267854487,0.7481209333391061,0.3413973205669334,0.44095513693174193,2020,eurostat_shares/panel_growth/rw_mean,history
1Q22,0.4585090942580794,-0.34096120237292377,0.34281169830150215,0.3584908223002479,0.09816777602925308,2021,eurostat_shares/panel_growth/rw_mean,history
2Q22,-1.6739986856847922,-1.1513080584401025,-0.47152134026436787,-0.03885004562292026,-0.012319241357401542,2021,eurostat_shares/panel_growth/rw_mean,history
3Q22,-0.9884934072186633,-0.7689063996407898,-0.07772891322613194,-0.06435548167218759,-0.07750261267955391,2021,eurostat_shares/panel_growth/rw_mean,history
4Q22,-0.9995735798176402,-0.2952248533987799,-0.21141175792370942,0.10803673906057869,-0.6009737075557295,2021,eurostat_shares/panel_growth/rw_mean,history
1Q23,-1.1131277895606715,-0.29376924689889444,-0.06773263497617164,-0.03115436788981397,-0.7204715397957915,2022,eurostat_shares/panel_growth/rw_mean,history
2Q23,-1.077081343610827,-0.3830600272547411,-0.05622134223767067,-0.09654681396556712,-0.5412531601528483,2022,eurostat_shares/panel_growth/rw_mean,history
3Q23,-0.7352559505058163,-0.4168902600248923,-0.033025442778868756,0.10012600633351341,-0.3854662540355686,2022,eurostat_shares/panel_growth/rw_mean,history
4Q23,-0.6415551450109589,-0.262732169184874,-0.015217983122711881,-0.09202793502931207,-0.27157705767406093,2022,eurostat_shares/panel_growth/rw_mean,history
1Q24,-0.41065442353791365,-0.1783606388416549,-0.12152196983770898,0.15682933388725706,-0.2676011487458068,2023,eurostat_shares/panel_growth/rw_mean,history
2Q24,-0.3204239125336379,-0.18727654197909002,-0.08089477196915722,0.03970991926360901,-0.09196251784899964,2023,eurostat_shares/panel_growth/rw_mean,history
3Q24,-0.25044898224561396,-0.1929092943977645,-0.036501056228117966,-0.0930137968025327,0.07197516518280121,2023,eurostat_shares/panel_growth/rw_mean,history
4Q24,-0.34022430968148343,-0.26138953974650625,-0.06353684311736894,0.04117576238976997,-0.05647368920737815,2023,eurostat_shares/panel_growth/rw_mean,history
1Q25,-0.1724740546728563,-0.03437300584894067,0.12834212117250224,-0.23143227914643247,-0.03501089084998537,2024,eurostat_shares/panel_growth/rw_mean,history
2Q25,-0.4175871323151155,-0.1355717425343249,-0.05447535878145105,-0.2204188120592636,-0.007121218940075922,2024,eurostat_shares/panel_growth/rw_mean,history
