market_key,dump_date,country,region,currency,final_quarter,final_quarter_day_coverage,reviews_2021q1_2026q2
chile_rm_santiago,2026-06-29,chile,LatAm,CLP,2026Q2,0.989010989010989,618661
china_hk_hong-kong,2026-06-27,china,APAC,HKD,2026Q2,0.967032967032967,79662
colombia_dc_bogotá,2026-06-21,colombia,LatAm,COP,2026Q2,0.9010989010989011,482894
czech-republic_prague_prague,2026-06-27,czech-republic,EMEA,CZK,2026Q2,0.967032967032967,753646
denmark_hovedstaden_copenhagen,2026-06-30,denmark,EMEA,DKK,2026Q2,1.0,359563
france_auvergne-rhone-alpes_lyon,2026-06-22,france,EMEA,EUR,2026Q2,0.9120879120879121,357009
france_ile-de-france_paris,2026-06-16,france,EMEA,EUR,2026Q2,0.8461538461538461,1836016
france_nouvelle-aquitaine_bordeaux,2026-06-22,france,EMEA,EUR,2026Q2,0.9120879120879121,385704
france_pyrénées-atlantiques_pays-basque,2026-06-23,france,EMEA,EUR,2026Q2,0.9230769230769231,324191
germany_be_berlin,2026-06-26,germany,EMEA,EUR,2026Q2,0.9560439560439561,497355
germany_bv_munich,2026-06-29,germany,EMEA,EUR,2026Q2,0.989010989010989,176514
greece_attica_athens,2026-06-28,greece,EMEA,EUR,2026Q2,0.978021978021978,738727
greece_central-macedonia_thessaloniki,2026-06-29,greece,EMEA,EUR,2026Q2,0.989010989010989,188296
greece_crete_crete,2026-06-29,greece,EMEA,EUR,2026Q2,0.989010989010989,480552
greece_south-aegean_south-aegean,2026-06-28,greece,EMEA,EUR,2026Q2,0.978021978021978,691047
hungary_közép-magyarország_budapest,2026-06-28,hungary,EMEA,HUF,2026Q2,0.978021978021978,848334
ireland_leinster_dublin,2026-06-21,ireland,EMEA,EUR,2026Q2,0.9010989010989011,286462
italy_campania_naples,2026-06-25,italy,EMEA,EUR,2026Q2,0.945054945054945,398296
italy_emilia-romagna_bologna,2026-06-26,italy,EMEA,EUR,2026Q2,0.9560439560439561,249850
italy_lazio_rome,2026-06-20,italy,EMEA,EUR,2026Q2,0.8901098901098901,1910581
italy_lombardia_bergamo,2026-06-30,italy,EMEA,EUR,2026Q2,1.0,130925
italy_lombardy_milan,2026-06-25,italy,EMEA,EUR,2026Q2,0.945054945054945,971051
italy_puglia_puglia,2026-06-30,italy,EMEA,EUR,2026Q2,1.0,529872
italy_sicilia_sicily,2026-06-30,italy,EMEA,EUR,2026Q2,1.0,1000623
italy_toscana_florence,2026-06-26,italy,EMEA,EUR,2026Q2,0.9560439560439561,826894
italy_trentino-alto-adige-südtirol_trentino,2026-06-30,italy,EMEA,EUR,2026Q2,1.0,162691
italy_veneto_venice,2026-06-15,italy,EMEA,EUR,2026Q2,0.8351648351648352,651011
japan_kantō_tokyo,2026-06-30,japan,APAC,JPY,2026Q2,1.0,1165912
kenya_nairobi_nairobi,2026-06-15,kenya,EMEA,KES,2026Q2,0.8351648351648352,125177
latvia_riga_riga,2026-06-30,latvia,EMEA,EUR,2026Q2,1.0,144502
mexico_df_mexico-city,2026-06-15,mexico,LatAm,MXN,2026Q2,0.8351648351648352,1486012
norway_oslo_oslo,2026-06-30,norway,EMEA,NOK,2026Q2,1.0,224521
portugal_lisbon_lisbon,2026-06-23,portugal,EMEA,EUR,2026Q2,0.9230769230769231,1357881
portugal_norte_porto,2026-06-23,portugal,EMEA,EUR,2026Q2,0.9230769230769231,873879
singapore_sg_singapore,2026-06-29,singapore,APAC,SGD,2026Q2,0.989010989010989,26182
south-africa_wc_cape-town,2026-06-29,south-africa,EMEA,ZAR,2026Q2,0.989010989010989,611516
spain_andalucía_malaga,2026-06-30,spain,EMEA,EUR,2026Q2,1.0,443164
spain_andalucía_sevilla,2026-06-30,spain,EMEA,EUR,2026Q2,1.0,575400
spain_catalonia_barcelona,2026-06-24,spain,EMEA,EUR,2026Q2,0.9340659340659341,762353
spain_catalonia_girona,2026-06-30,spain,EMEA,EUR,2026Q2,1.0,400588
spain_comunidad-de-madrid_madrid,2026-06-20,spain,EMEA,EUR,2026Q2,0.8901098901098901,1169730
spain_islas-baleares_mallorca,2026-06-23,spain,EMEA,EUR,2026Q2,0.9230769230769231,335356
spain_islas-baleares_menorca,2026-06-30,spain,EMEA,EUR,2026Q2,1.0,72977
spain_pv_euskadi,2026-06-30,spain,EMEA,EUR,2026Q2,1.0,307792
spain_vc_valencia,2026-06-26,spain,EMEA,EUR,2026Q2,0.9560439560439561,367262
sweden_stockholms-län_stockholm,2026-06-30,sweden,EMEA,SEK,2026Q2,1.0,134316
switzerland_geneva_geneva,2026-06-29,switzerland,EMEA,CHF,2026Q2,0.989010989010989,53345
switzerland_vd_vaud,2026-08-10,switzerland,EMEA,CHF,2026Q3,0.44565217391304346,100857
switzerland_zürich_zurich,2026-06-30,switzerland,EMEA,CHF,2026Q2,1.0,92771
taiwan_northern-taiwan_taipei,2026-06-30,taiwan,APAC,TWD,2026Q2,1.0,175407
thailand_central-thailand_bangkok,2026-06-29,thailand,APAC,THB,2026Q2,0.989010989010989,534952
the-netherlands_north-holland_amsterdam,2026-06-15,the-netherlands,EMEA,EUR,2026Q2,0.8351648351648352,371778
the-netherlands_south-holland_rotterdam,2026-06-28,the-netherlands,EMEA,EUR,2026Q2,0.978021978021978,50361
the-netherlands_south-holland_the-hague,2026-06-28,the-netherlands,EMEA,EUR,2026Q2,0.978021978021978,43485
turkey_marmara_istanbul,2026-06-30,turkey,EMEA,TRY,2026Q2,1.0,520140
united-kingdom_england_bristol,2026-06-29,united-kingdom,EMEA,GBP,2026Q2,0.989010989010989,128783
united-kingdom_england_greater-manchester,2026-06-28,united-kingdom,EMEA,GBP,2026Q2,0.978021978021978,234735
united-kingdom_england_london,2026-06-19,united-kingdom,EMEA,GBP,2026Q2,0.8791208791208791,1704714
united-kingdom_scotland_edinburgh,2026-06-23,united-kingdom,EMEA,GBP,2026Q2,0.9230769230769231,518245
united-states_ca_los-angeles,2026-06-15,united-states,NAM,USD,2026Q2,0.8351648351648352,1346643
united-states_ca_oakland,2026-06-27,united-states,NAM,USD,2026Q2,0.967032967032967,89738
united-states_ca_pacific-grove,2026-06-14,united-states,NAM,USD,2026Q2,0.8241758241758241,15257
united-states_ca_san-diego,2026-06-27,united-states,NAM,USD,2026Q2,0.967032967032967,741251
united-states_ca_san-francisco,2026-06-14,united-states,NAM,USD,2026Q2,0.8241758241758241,281954
united-states_ca_san-mateo-county,2026-06-27,united-states,NAM,USD,2026Q2,0.967032967032967,156699
united-states_ca_santa-clara-county,2026-06-28,united-states,NAM,USD,2026Q2,0.978021978021978,203536
united-states_ca_santa-cruz-county,2026-06-30,united-states,NAM,USD,2026Q2,1.0,125095
united-states_co_denver,2026-06-30,united-states,NAM,USD,2026Q2,1.0,270766
united-states_dc_washington-dc,2026-06-24,united-states,NAM,USD,2026Q2,0.9340659340659341,368305
united-states_fl_broward-county,2026-06-29,united-states,NAM,USD,2026Q2,0.989010989010989,625211
united-states_hi_hawaii,2026-06-21,united-states,NAM,USD,2026Q2,0.9010989010989011,1288328
united-states_il_chicago,2026-06-24,united-states,NAM,USD,2026Q2,0.9340659340659341,427163
united-states_la_new-orleans,2026-06-16,united-states,NAM,USD,2026Q2,0.8461538461538461,368910
united-states_ma_boston,2026-06-15,united-states,NAM,USD,2026Q2,0.8351648351648352,189785
united-states_ma_cambridge,2026-06-29,united-states,NAM,USD,2026Q2,0.989010989010989,59768
united-states_mn_twin-cities-msa,2026-06-27,united-states,NAM,USD,2026Q2,0.967032967032967,258542
united-states_mt_bozeman,2026-06-19,united-states,NAM,USD,2026Q2,0.8791208791208791,43075
united-states_nc_asheville,2026-06-25,united-states,NAM,USD,2026Q2,0.945054945054945,250902
united-states_nj_jersey-city,2026-06-27,united-states,NAM,USD,2026Q2,0.967032967032967,70888
united-states_nj_newark,2026-06-30,united-states,NAM,USD,2026Q2,1.0,64127
united-states_nv_clark-county-nv,2026-06-27,united-states,NAM,USD,2026Q2,0.967032967032967,624467
united-states_ny_albany,2026-06-16,united-states,NAM,USD,2026Q2,0.8461538461538461,24257
united-states_ny_new-york-city,2026-06-14,united-states,NAM,USD,2026Q2,0.8241758241758241,662776
united-states_ny_rochester,2026-06-27,united-states,NAM,USD,2026Q2,0.967032967032967,43972
united-states_oh_columbus,2026-06-29,united-states,NAM,USD,2026Q2,0.989010989010989,171823
united-states_or_portland,2026-06-15,united-states,NAM,USD,2026Q2,0.8351648351648352,333748
united-states_or_salem-or,2026-06-28,united-states,NAM,USD,2026Q2,0.978021978021978,17481
united-states_ri_rhode-island,2026-06-30,united-states,NAM,USD,2026Q2,1.0,248910
united-states_tn_nashville,2026-06-26,united-states,NAM,USD,2026Q2,0.9560439560439561,664119
united-states_tx_austin,2026-06-22,united-states,NAM,USD,2026Q2,0.9120879120879121,512007
united-states_tx_dallas,2026-06-15,united-states,NAM,USD,2026Q2,0.8351648351648352,241797
united-states_tx_fort-worth,2026-06-21,united-states,NAM,USD,2026Q2,0.9010989010989011,87926
united-states_wa_seattle,2026-06-15,united-states,NAM,USD,2026Q2,0.8351648351648352,460831
