quarter,q,base_q,mix_pp,region_growth_pct,n_countries,share_src,growth_src,share_kept_from_panel,n_growth_eurostat,share_imputed_price,price_basis
1Q24,2024Q1,2023Q1,-0.5527288744967218,9.23531977476915,21,panel,panel,,0,0.017976166209673357,median
2Q24,2024Q2,2023Q2,-0.18495384399457304,8.828124307834065,21,panel,panel,,0,0.01936499404921872,median
3Q24,2024Q3,2023Q3,0.21051534674090266,5.526000267344484,21,panel,panel,,0,0.01958476217776985,median
4Q24,2024Q4,2023Q4,-0.6165684150288508,6.760109636489727,21,panel,panel,,0,0.018391631228053436,median
1Q25,2025Q1,2024Q1,-0.2009563099002465,4.252915647932365,21,panel,panel,,0,0.01887167331555284,median
2Q25,2025Q2,2024Q2,-0.5089050635321946,2.9855343856650065,21,panel,panel,,0,0.019873868357423934,median
3Q25,2025Q3,2024Q3,0.1720687118009101,2.3270460190436224,21,panel,panel,,0,0.020679976149744487,median
4Q25,2025Q4,2024Q4,-0.06285334450757407,5.519095608761539,21,panel,panel,,0,0.018774224451994427,median
1Q26,2026Q1,2025Q1,-0.28406550805084585,4.730741332807513,21,panel,panel,,0,0.02047591214146379,median
2Q26,2026Q2,2025Q2,0.43137165218911644,1.4823409234241063,21,panel,panel,,0,0.021579664823620608,median
3Q26,2026Q3,2025Q3,0.1363998398279609,5.344153938813637,2,panel,panel,,0,0.0,median
1Q19,2019Q1,2018Q1,0.14029576318186354,31.27583563368464,21,eurostat,panel,0.14195740955887323,0,0.024954888816887868,median
2Q19,2019Q2,2018Q2,-0.5635836967056496,25.578387361084054,21,eurostat,panel,0.10242287883177237,0,0.017891329999941703,median
3Q19,2019Q3,2018Q3,-0.5831620469193388,16.52635026009545,21,eurostat,panel,0.09761585133674086,0,0.01599666521510807,median
4Q19,2019Q4,2018Q4,-0.6748297869018649,13.758208739127378,21,eurostat,panel,0.13565274990282328,0,0.019471483890916144,median
1Q20,2020Q1,2019Q1,-0.6689950816215595,-11.579237637064905,21,eurostat,panel,0.1440906794054729,0,0.024678645795610174,median
2Q20,2020Q2,2019Q2,-2.06076987003756,-92.9682395675094,21,eurostat,panel,0.1039954893642388,0,0.01811506602373408,median
3Q20,2020Q3,2019Q3,-1.0116690297323205,-56.34453771594641,21,eurostat,panel,0.09611996770783847,0,0.016697754310422447,median
4Q20,2020Q4,2019Q4,-3.227912697240154,-76.40800797202617,21,eurostat,panel,0.13059475837555307,0,0.020102300943301527,median
1Q21,2021Q1,2020Q1,-2.4138705342470423,-70.52907513917286,21,eurostat,panel,0.15595389884747118,0,0.02682026757589802,median
2Q21,2021Q2,2020Q2,2.600849343123257,339.28920472541415,21,eurostat,panel,0.06244720986542035,0,0.02806199744729935,median
3Q21,2021Q3,2020Q3,0.6822647314472574,70.25049174489149,21,eurostat,panel,0.06715310468504819,0,0.016995563275606845,median
4Q21,2021Q4,2020Q4,4.026780461268964,254.55859628237394,21,eurostat,panel,0.15888989630305686,0,0.03263267292758771,median
1Q22,2022Q1,2021Q1,3.7179199391137674,240.86337182743426,21,eurostat,panel,0.17527161858056606,0,0.046884122248849934,median
2Q22,2022Q2,2021Q2,-0.5317926021007224,232.64996135200767,21,eurostat,panel,0.1323704551677724,0,0.02558527901566055,median
3Q22,2022Q3,2021Q3,0.23095542535005453,52.83363559243741,21,eurostat,panel,0.07857402485290443,0,0.015493056532661005,median
4Q22,2022Q4,2021Q4,-0.21288496456710604,30.231140357935093,21,eurostat,panel,0.126963866039953,0,0.020888448104221073,median
1Q23,2023Q1,2022Q1,0.22948416558090656,33.917882081871596,21,eurostat,panel,0.14072933414600605,0,0.028752404713289062,median
2Q23,2023Q2,2022Q2,-0.19709409157685487,21.529164346804887,21,eurostat,panel,0.10606570567818988,0,0.0166088047503729,median
3Q23,2023Q3,2022Q3,-0.015033529977315219,10.236033438716715,21,eurostat,panel,0.09812722840718911,0,0.015040960272776245,median
4Q23,2023Q4,2022Q4,-0.020493051278658303,13.31387710534775,21,eurostat,panel,0.14219489293971688,0,0.018298351402893064,median
1Q24,2024Q1,2023Q1,-0.1850037110427416,7.521655962227973,21,eurostat,panel,0.15159575051014482,0,0.02327870163993999,median
2Q24,2024Q2,2023Q2,-0.115787094722275,7.663295978368846,21,eurostat,panel,0.11506064481071199,0,0.017611317980832306,median
3Q24,2024Q3,2023Q3,0.1048144568216669,4.074260033560115,21,eurostat,panel,0.10702826278437753,0,0.016106386741776238,median
4Q24,2024Q4,2023Q4,-0.3023392284124071,6.179486458778528,21,eurostat,panel,0.14899848460942916,0,0.018439097791626932,median
1Q25,2025Q1,2024Q1,0.12270850100892794,4.91049092024169,21,eurostat,panel,0.15920019018301645,0,0.02210899956503269,median
2Q25,2025Q2,2024Q2,-0.33815413641600234,3.544287097900598,21,eurostat,panel,0.11899143446963713,0,0.01832643202487532,median
3Q25,2025Q3,2024Q3,0.21149219827365506,1.9987352351706253,21,eurostat,panel,0.11757194400311174,0,0.016652574416425845,median
4Q25,2025Q4,2024Q4,-0.16155796543325662,4.516766710147613,21,eurostat,panel,0.15577225520546079,0,0.018968983351265886,median
1Q26,2026Q1,2025Q1,-0.36364614237851534,3.155592456840941,21,eurostat,panel,0.1654446095450032,0,0.023932117863952995,median
2Q26,2026Q2,2025Q2,0.3201213930360547,0.7136117096373079,21,eurostat,panel,0.1231283384953227,0,0.019137980828553006,median
3Q26,2026Q3,2025Q3,0.1363998398279609,5.344153938813637,2,eurostat,panel,0.19007613546862695,0,0.0,median
1Q19,2019Q1,2018Q1,0.17602213823297852,13.431414721283838,21,eurostat,eurostat,0.14195740955887323,18,0.024954888816887868,median
2Q19,2019Q2,2018Q2,-0.4647107528198968,21.89240039041235,21,eurostat,eurostat,0.10242287883177237,18,0.017891329999941703,median
3Q19,2019Q3,2018Q3,-0.4196820869921125,13.543129686757013,21,eurostat,eurostat,0.09761585133674086,18,0.01599666521510807,median
4Q19,2019Q4,2018Q4,-0.9110131975919922,15.13309325270457,21,eurostat,eurostat,0.13565274990282328,18,0.019471483890916144,median
1Q20,2020Q1,2019Q1,-0.8027557867171464,-4.5749076047908135,21,eurostat,eurostat,0.1440906794054729,18,0.024678645795610174,median
2Q20,2020Q2,2019Q2,-0.6389420135558654,-83.5658733222904,21,eurostat,eurostat,0.1039954893642388,18,0.01811506602373408,median
3Q20,2020Q3,2019Q3,-0.4889499650557183,-35.99393469284419,21,eurostat,eurostat,0.09611996770783847,18,0.016697754310422447,median
4Q20,2020Q4,2019Q4,-1.1358920876808232,-62.06029052386971,21,eurostat,eurostat,0.13059475837555307,18,0.020102300943301527,median
1Q21,2021Q1,2020Q1,0.17066481544296686,-57.95885643872584,21,eurostat,eurostat,0.15595389884747118,18,0.02682026757589802,median
2Q21,2021Q2,2020Q2,3.0906245439971336,196.3863698448638,21,eurostat,eurostat,0.06244720986542035,18,0.02806199744729935,median
3Q21,2021Q3,2020Q3,0.5591576079001959,34.664259456786,21,eurostat,eurostat,0.06715310468504819,18,0.016995563275606845,median
4Q21,2021Q4,2020Q4,3.189159490720095,134.58477281859197,21,eurostat,eurostat,0.15888989630305686,18,0.03263267292758771,median
1Q22,2022Q1,2021Q1,1.7838184498233156,170.54346551191512,21,eurostat,eurostat,0.17527161858056606,18,0.046884122248849934,median
2Q22,2022Q2,2021Q2,-0.9132204572746327,155.84492397383812,21,eurostat,eurostat,0.1323704551677724,18,0.02558527901566055,median
3Q22,2022Q3,2021Q3,0.040091728864610765,38.65354681031085,21,eurostat,eurostat,0.07857402485290443,18,0.015493056532661005,median
4Q22,2022Q4,2021Q4,-0.6771089277443965,37.27168762740682,21,eurostat,eurostat,0.126963866039953,18,0.020888448104221073,median
1Q23,2023Q1,2022Q1,-0.06612712140574573,34.204917809379026,21,eurostat,eurostat,0.14072933414600605,18,0.028752404713289062,median
2Q23,2023Q2,2022Q2,-0.418644517339295,25.359001412103826,21,eurostat,eurostat,0.10606570567818988,18,0.0166088047503729,median
3Q23,2023Q3,2022Q3,-0.2911572547543484,13.73465532329407,21,eurostat,eurostat,0.09812722840718911,18,0.015040960272776245,median
4Q23,2023Q4,2022Q4,-0.13795175345731048,21.872816472597393,21,eurostat,eurostat,0.14219489293971688,18,0.018298351402893064,median
1Q24,2024Q1,2023Q1,-0.057583264562099945,26.15064745541486,21,eurostat,eurostat,0.15159575051014482,18,0.02327870163993999,median
2Q24,2024Q2,2023Q2,-0.2459411620071683,15.008389180913248,21,eurostat,eurostat,0.11506064481071199,18,0.017611317980832306,median
3Q24,2024Q3,2023Q3,0.10901302009185265,17.604499727220027,21,eurostat,eurostat,0.10702826278437753,18,0.016106386741776238,median
4Q24,2024Q4,2023Q4,-0.4656386927611722,15.451424235330727,21,eurostat,eurostat,0.14899848460942916,18,0.018439097791626932,median
1Q25,2025Q1,2024Q1,-0.13343505429680436,5.621431086654351,21,eurostat,eurostat,0.15920019018301645,18,0.02210899956503269,median
2Q25,2025Q2,2024Q2,-0.37420889887652686,15.631502129286142,21,eurostat,eurostat,0.11899143446963713,18,0.01832643202487532,median
3Q25,2025Q3,2024Q3,-0.0145876211851248,9.905962573943555,21,eurostat,eurostat,0.11757194400311174,18,0.016652574416425845,median
4Q25,2025Q4,2024Q4,-0.3490716788308368,10.297426979898951,21,eurostat,eurostat,0.15577225520546079,18,0.018968983351265886,median
1Q26,2026Q1,2025Q1,-0.32395625731441724,9.54484342523937,21,eurostat,eurostat,0.1654446095450032,18,0.023932117863952995,median
1Q19,2019Q1,2018Q1,-0.03606536848540509,31.27583563368464,21,eurostat,panel,0.14195740955887323,0,0.024954888816887868,rw_mean
2Q19,2019Q2,2018Q2,-0.5696816824598327,25.578387361084054,21,eurostat,panel,0.10242287883177237,0,0.017891329999941703,rw_mean
3Q19,2019Q3,2018Q3,-0.5906936829876197,16.52635026009545,21,eurostat,panel,0.09761585133674086,0,0.01599666521510807,rw_mean
4Q19,2019Q4,2018Q4,-0.8129727356335548,13.758208739127378,21,eurostat,panel,0.13565274990282328,0,0.019471483890916144,rw_mean
1Q20,2020Q1,2019Q1,-0.6795215974304103,-11.579237637064905,21,eurostat,panel,0.1440906794054729,0,0.024678645795610174,rw_mean
2Q20,2020Q2,2019Q2,-0.5708023688692831,-92.9682395675094,21,eurostat,panel,0.1039954893642388,0,0.01811506602373408,rw_mean
3Q20,2020Q3,2019Q3,-0.00013846899170610882,-56.34453771594641,21,eurostat,panel,0.09611996770783847,0,0.016697754310422447,rw_mean
4Q20,2020Q4,2019Q4,-1.6345964234560029,-76.40800797202617,21,eurostat,panel,0.13059475837555307,0,0.020102300943301527,rw_mean
1Q21,2021Q1,2020Q1,0.44969702947388335,-70.52907513917286,21,eurostat,panel,0.15595389884747118,0,0.02682026757589802,rw_mean
2Q21,2021Q2,2020Q2,2.2043711974871982,339.28920472541415,21,eurostat,panel,0.06244720986542035,0,0.02806199744729935,rw_mean
3Q21,2021Q3,2020Q3,0.16875556094289035,70.25049174489149,21,eurostat,panel,0.06715310468504819,0,0.016995563275606845,rw_mean
4Q21,2021Q4,2020Q4,2.684309714855826,254.55859628237394,21,eurostat,panel,0.15888989630305686,0,0.03263267292758771,rw_mean
1Q22,2022Q1,2021Q1,1.1001638938638258,240.86337182743426,21,eurostat,panel,0.17527161858056606,0,0.046884122248849934,rw_mean
2Q22,2022Q2,2021Q2,-1.5132236044316572,232.64996135200767,21,eurostat,panel,0.1323704551677724,0,0.02558527901566055,rw_mean
3Q22,2022Q3,2021Q3,-0.24945048335385245,52.83363559243741,21,eurostat,panel,0.07857402485290443,0,0.015493056532661005,rw_mean
4Q22,2022Q4,2021Q4,-0.6784703788065727,30.231140357935093,21,eurostat,panel,0.126963866039953,0,0.020888448104221073,rw_mean
1Q23,2023Q1,2022Q1,-0.19927000475257195,33.917882081871596,21,eurostat,panel,0.14072933414600605,0,0.028752404713289062,rw_mean
2Q23,2023Q2,2022Q2,-0.16540368079343004,21.529164346804887,21,eurostat,panel,0.10606570567818988,0,0.0166088047503729,rw_mean
3Q23,2023Q3,2022Q3,-0.09716114162421352,10.236033438716715,21,eurostat,panel,0.09812722840718911,0,0.015040960272776245,rw_mean
4Q23,2023Q4,2022Q4,-0.044771439502599986,13.31387710534775,21,eurostat,panel,0.14219489293971688,0,0.018298351402893064,rw_mean
1Q24,2024Q1,2023Q1,-0.3392297296045066,7.521655962227973,21,eurostat,panel,0.15159575051014482,0,0.02327870163993999,rw_mean
2Q24,2024Q2,2023Q2,-0.22581852201839503,7.663295978368846,21,eurostat,panel,0.11506064481071199,0,0.017611317980832306,rw_mean
3Q24,2024Q3,2023Q3,-0.10189304412263622,4.074260033560115,21,eurostat,panel,0.10702826278437753,0,0.016106386741776238,rw_mean
4Q24,2024Q4,2023Q4,-0.1773636992505434,6.179486458778528,21,eurostat,panel,0.14899848460942916,0,0.018439097791626932,rw_mean
1Q25,2025Q1,2024Q1,0.3528178836293083,4.91049092024169,21,eurostat,panel,0.15920019018301645,0,0.02210899956503269,rw_mean
2Q25,2025Q2,2024Q2,-0.14975505017083002,3.544287097900598,21,eurostat,panel,0.11899143446963713,0,0.01832643202487532,rw_mean
3Q25,2025Q3,2024Q3,0.23313253941557033,1.9987352351706253,21,eurostat,panel,0.11757194400311174,0,0.016652574416425845,rw_mean
4Q25,2025Q4,2024Q4,-0.3302834337398308,4.516766710147613,21,eurostat,panel,0.15577225520546079,0,0.018968983351265886,rw_mean
1Q26,2026Q1,2025Q1,-0.4458609665146662,3.155592456840941,21,eurostat,panel,0.1654446095450032,0,0.023932117863952995,rw_mean
2Q26,2026Q2,2025Q2,0.20856314410604426,0.7136117096373079,21,eurostat,panel,0.1231283384953227,0,0.019137980828553006,rw_mean
3Q26,2026Q3,2025Q3,0.1421400571228082,5.344153938813637,2,eurostat,panel,0.19007613546862695,0,0.0,rw_mean
1Q16,2016Q1,2015Q1,-0.31305948101273406,99.53952139231328,21,panel,panel,,0,0.01524655547498187,rw_mean
2Q16,2016Q2,2015Q2,0.5767768045195965,62.78159335458614,21,panel,panel,,0,0.014576597178576567,rw_mean
3Q16,2016Q3,2015Q3,0.11504796084609303,58.68841690387562,21,panel,panel,,0,0.015617473177140354,rw_mean
4Q16,2016Q4,2015Q4,-0.13124283044458895,60.827061953629794,21,panel,panel,,0,0.015317369821360699,rw_mean
1Q17,2017Q1,2016Q1,-0.14773673195671577,55.378558100921424,21,panel,panel,,0,0.015740717908251753,rw_mean
2Q17,2017Q2,2016Q2,-0.3776802061185025,55.74379507626842,21,panel,panel,,0,0.016342634087501362,rw_mean
3Q17,2017Q3,2016Q3,-0.5408508701032821,39.84614623528247,21,panel,panel,,0,0.016792198476303553,rw_mean
4Q17,2017Q4,2016Q4,-1.3127454413309647,27.63304111618718,21,panel,panel,,0,0.016098198585606568,rw_mean
1Q18,2018Q1,2017Q1,-0.8158316857983627,32.587795528677894,21,panel,panel,,0,0.016890074045856053,rw_mean
2Q18,2018Q2,2017Q2,0.05122504965324737,24.82451668088252,21,panel,panel,,0,0.016759412067453253,rw_mean
3Q18,2018Q3,2017Q3,0.2550496776660527,27.504270695801754,21,panel,panel,,0,0.017880507614012237,rw_mean
4Q18,2018Q4,2017Q4,0.5064107968777654,35.35455193525391,21,panel,panel,,0,0.018432986479281613,rw_mean
1Q19,2019Q1,2018Q1,0.3560097329233791,29.68522207597022,21,panel,panel,,0,0.019895277848400686,rw_mean
2Q19,2019Q2,2018Q2,-0.6162715346313186,25.4946111025339,21,panel,panel,,0,0.019257090220881477,rw_mean
3Q19,2019Q3,2018Q3,-0.6992377286096363,17.524660012840716,21,panel,panel,,0,0.019652967122762256,rw_mean
4Q19,2019Q4,2018Q4,-1.086492769672831,15.150643746182341,21,panel,panel,,0,0.01940162939575913,rw_mean
1Q20,2020Q1,2019Q1,-0.8938194775470087,-12.470421676153249,21,panel,panel,,0,0.0191905723336101,rw_mean
2Q20,2020Q2,2019Q2,-0.1952125031579044,-94.06240375157722,21,panel,panel,,0,0.019157782833752274,rw_mean
3Q20,2020Q3,2019Q3,0.39157605472670554,-57.483010111932764,21,panel,panel,,0,0.02009583958032887,rw_mean
4Q20,2020Q4,2019Q4,-1.1845193951282917,-76.97039167165487,21,panel,panel,,0,0.01911767428370431,rw_mean
1Q21,2021Q1,2020Q1,0.1378431415704373,-74.97846537072519,21,panel,panel,,0,0.019714129216866785,rw_mean
2Q21,2021Q2,2020Q2,2.9701888684656508,407.54546990258456,21,panel,panel,,0,0.0383655235842859,rw_mean
3Q21,2021Q3,2020Q3,-0.35883556812185136,76.40215198386014,21,panel,panel,,0,0.022506164537099305,rw_mean
4Q21,2021Q4,2020Q4,1.7659830871306292,266.06161772034847,21,panel,panel,,0,0.027938730538059238,rw_mean
1Q22,2022Q1,2021Q1,-0.3217439591821858,324.38396825268796,21,panel,panel,,0,0.03512691665524,rw_mean
2Q22,2022Q2,2021Q2,-2.9585555380823636,256.4863964317644,21,panel,panel,,0,0.02464378676361429,rw_mean
3Q22,2022Q3,2021Q3,-0.25927419952657127,55.2370567255049,21,panel,panel,,0,0.020292373747699856,rw_mean
4Q22,2022Q4,2021Q4,-0.6865590627450402,34.48633960047003,21,panel,panel,,0,0.01938454759106933,rw_mean
1Q23,2023Q1,2022Q1,-0.05249339150300569,36.69319171549211,21,panel,panel,,0,0.018358140790454378,rw_mean
2Q23,2023Q2,2022Q2,-0.21041699953479043,23.20108233180979,21,panel,panel,,0,0.017857482503487725,rw_mean
3Q23,2023Q3,2022Q3,0.05701029660927226,11.821017972786144,21,panel,panel,,0,0.018888187232980948,rw_mean
4Q23,2023Q4,2022Q4,-0.132532042590483,14.612667373858592,21,panel,panel,,0,0.01740098265510276,rw_mean
1Q24,2024Q1,2023Q1,-0.5724484767662519,9.23531977476915,21,panel,panel,,0,0.017976166209673357,rw_mean
2Q24,2024Q2,2023Q2,-0.20072683362123422,8.828124307834065,21,panel,panel,,0,0.01936499404921872,rw_mean
3Q24,2024Q3,2023Q3,0.07828270110086244,5.526000267344484,21,panel,panel,,0,0.01958476217776985,rw_mean
4Q24,2024Q4,2023Q4,-0.4642597579824992,6.760109636489727,21,panel,panel,,0,0.018391631228053436,rw_mean
1Q25,2025Q1,2024Q1,-0.01115386999804846,4.252915647932365,21,panel,panel,,0,0.01887167331555284,rw_mean
2Q25,2025Q2,2024Q2,-0.38625210044083147,2.9855343856650065,21,panel,panel,,0,0.019873868357423934,rw_mean
3Q25,2025Q3,2024Q3,0.17977426511517347,2.3270460190436224,21,panel,panel,,0,0.020679976149744487,rw_mean
4Q25,2025Q4,2024Q4,-0.1882240624777931,5.519095608761539,21,panel,panel,,0,0.018774224451994427,rw_mean
1Q26,2026Q1,2025Q1,-0.31617079865269293,4.730741332807513,21,panel,panel,,0,0.02047591214146379,rw_mean
2Q26,2026Q2,2025Q2,0.3616885097045275,1.4823409234241063,21,panel,panel,,0,0.021579664823620608,rw_mean
3Q26,2026Q3,2025Q3,0.1421400571228082,5.344153938813637,2,panel,panel,,0,0.0,rw_mean
1Q19,2019Q1,2018Q1,0.23641054848284604,13.431414721283838,21,eurostat,eurostat,0.14195740955887323,18,0.024954888816887868,rw_mean
2Q19,2019Q2,2018Q2,-0.4376620452297586,21.89240039041235,21,eurostat,eurostat,0.10242287883177237,18,0.017891329999941703,rw_mean
3Q19,2019Q3,2018Q3,-0.34223427410833285,13.543129686757013,21,eurostat,eurostat,0.09761585133674086,18,0.01599666521510807,rw_mean
4Q19,2019Q4,2018Q4,-0.7419581902445627,15.13309325270457,21,eurostat,eurostat,0.13565274990282328,18,0.019471483890916144,rw_mean
1Q20,2020Q1,2019Q1,-0.46749975460187443,-4.5749076047908135,21,eurostat,eurostat,0.1440906794054729,18,0.024678645795610174,rw_mean
2Q20,2020Q2,2019Q2,-0.11839433467287774,-83.5658733222904,21,eurostat,eurostat,0.1039954893642388,18,0.01811506602373408,rw_mean
3Q20,2020Q3,2019Q3,0.516209236499976,-35.99393469284419,21,eurostat,eurostat,0.09611996770783847,18,0.016697754310422447,rw_mean
4Q20,2020Q4,2019Q4,0.3915485711101674,-62.06029052386971,21,eurostat,eurostat,0.13059475837555307,18,0.020102300943301527,rw_mean
1Q21,2021Q1,2020Q1,2.9996112976587774,-57.95885643872584,21,eurostat,eurostat,0.15595389884747118,18,0.02682026757589802,rw_mean
2Q21,2021Q2,2020Q2,3.165219730679958,196.3863698448638,21,eurostat,eurostat,0.06244720986542035,18,0.02806199744729935,rw_mean
3Q21,2021Q3,2020Q3,0.369141488291147,34.664259456786,21,eurostat,eurostat,0.06715310468504819,18,0.016995563275606845,rw_mean
4Q21,2021Q4,2020Q4,2.458616471460595,134.58477281859197,21,eurostat,eurostat,0.15888989630305686,18,0.03263267292758771,rw_mean
1Q22,2022Q1,2021Q1,-0.2884145642093605,170.54346551191512,21,eurostat,eurostat,0.17527161858056606,18,0.046884122248849934,rw_mean
2Q22,2022Q2,2021Q2,-1.1776711118997696,155.84492397383812,21,eurostat,eurostat,0.1323704551677724,18,0.02558527901566055,rw_mean
3Q22,2022Q3,2021Q3,-0.248811471077226,38.65354681031085,21,eurostat,eurostat,0.07857402485290443,18,0.015493056532661005,rw_mean
4Q22,2022Q4,2021Q4,-0.8994020915281786,37.27168762740682,21,eurostat,eurostat,0.126963866039953,18,0.020888448104221073,rw_mean
1Q23,2023Q1,2022Q1,-0.3542977734441788,34.204917809379026,21,eurostat,eurostat,0.14072933414600605,18,0.028752404713289062,rw_mean
2Q23,2023Q2,2022Q2,-0.318554425057227,25.359001412103826,21,eurostat,eurostat,0.10606570567818988,18,0.0166088047503729,rw_mean
3Q23,2023Q3,2022Q3,-0.38159980449491426,13.73465532329407,21,eurostat,eurostat,0.09812722840718911,18,0.015040960272776245,rw_mean
4Q23,2023Q4,2022Q4,-0.15125671445884725,21.872816472597393,21,eurostat,eurostat,0.14219489293971688,18,0.018298351402893064,rw_mean
1Q24,2024Q1,2023Q1,-0.029080451711660515,26.15064745541486,21,eurostat,eurostat,0.15159575051014482,18,0.02327870163993999,rw_mean
2Q24,2024Q2,2023Q2,-0.20538147031454734,15.008389180913248,21,eurostat,eurostat,0.11506064481071199,18,0.017611317980832306,rw_mean
3Q24,2024Q3,2023Q3,0.23692381798512407,17.604499727220027,21,eurostat,eurostat,0.10702826278437753,18,0.016106386741776238,rw_mean
4Q24,2024Q4,2023Q4,-0.29801369442740144,15.451424235330727,21,eurostat,eurostat,0.14899848460942916,18,0.018439097791626932,rw_mean
1Q25,2025Q1,2024Q1,-0.028403952713085268,5.621431086654351,21,eurostat,eurostat,0.15920019018301645,18,0.02210899956503269,rw_mean
2Q25,2025Q2,2024Q2,-0.30358677155667424,15.631502129286142,21,eurostat,eurostat,0.11899143446963713,18,0.01832643202487532,rw_mean
3Q25,2025Q3,2024Q3,0.01538621957968278,9.905962573943555,21,eurostat,eurostat,0.11757194400311174,18,0.016652574416425845,rw_mean
4Q25,2025Q4,2024Q4,-0.4020643496340015,10.297426979898951,21,eurostat,eurostat,0.15577225520546079,18,0.018968983351265886,rw_mean
1Q26,2026Q1,2025Q1,-0.3060227720016906,9.54484342523937,21,eurostat,eurostat,0.1654446095450032,18,0.023932117863952995,rw_mean
