route,period,basis,panel,n_markets,n_pairs,markets,window,weighting,wedge_pp,capacity_yoy_pct,d_bedrooms,d_mean_log_capacity,size_pp,los_pp,panel_nights_yoy_pct,note
as filed in 07_full_decomposition.csv,2024,05 pooled size + 03 LOS,,1.0,3.0,,,,,,,,0.4410509947887275,0.2054051867943019,,within-region ex-FX 3.443pp; plug 2.797pp
as filed in 07_full_decomposition.csv,2025,05 pooled size + 03 LOS,,4.0,11.0,,,,,,,,-0.2513387080576912,0.0357123713443286,,within-region ex-FX 3.405pp; plug 3.621pp
filed arbiter: 2Q26 Bedroom Nights Booked,2Q26,"bedroom channel only, elasticity measured 0.23 (29-mkt 0.2312)","Airbnb, global, filed",,,,,,2.0,,,,0.416633796610259,,,"'over 12%' is a floor, so the implication is a floor too"
filed arbiter: 2Q26 Bedroom Nights Booked,2Q26,"bedroom channel only, elasticity measured 0.23 (12-mkt 0.2289)","Airbnb, global, filed",,,,,,2.0,,,,0.41246034801565545,,,"'over 12%' is a floor, so the implication is a floor too"
filed arbiter: 2Q26 Bedroom Nights Booked,2Q26,"bedroom channel only, elasticity low end 0.15","Airbnb, global, filed",,,,,,2.0,,,,0.270277582540175,,,"'over 12%' is a floor, so the implication is a floor too"
filed arbiter: 2Q26 Bedroom Nights Booked,2Q26,"bedroom channel only, elasticity high end 0.30","Airbnb, global, filed",,,,,,2.0,,,,0.54055516508035,,,"'over 12%' is a floor, so the implication is a floor too"
filed arbiter: 2Q26 Bedroom Nights Booked,2Q26,full hedonic (bedrooms + co-moving capacity),"Airbnb, global, filed",,,,,,2.0,2.162230506646057,,,1.2878916766717596,,,upper leg of the bracket; this is the mapping the two routes use
filed arbiter: FY25 10-K nights per booking,2025,"LOS elasticity central -0.15 (bounded, not fitted)","Airbnb, global, filed",,,,,,,,,,,0.4000237062324177,,"3.8 -> 3.7 nights per booking = -2.67%, rounded to 0.1 night"
filed arbiter: FY25 10-K nights per booking,2025,"LOS elasticity low -0.05 (bounded, not fitted)","Airbnb, global, filed",,,,,,,,,,,0.1333412354108059,,"3.8 -> 3.7 nights per booking = -2.67%, rounded to 0.1 night"
filed arbiter: FY25 10-K nights per booking,2025,"LOS elasticity high -0.25 (bounded, not fitted)","Airbnb, global, filed",,,,,,,,,,,0.6667061770540295,,"3.8 -> 3.7 nights per booking = -2.67%, rounded to 0.1 night"
