variant,quarter,subgeo_pp_current,subgeo_pp_new,delta_pp,adr_usd_base_year,adr_usd_effect_current,adr_usd_effect_new,adr_usd_delta
eurostat_shares/panel_growth/median,4Q26,-0.1468077761157966,-0.1598217910267381,-0.013014014910941507,167.51,-0.24591770577157085,-0.26771748214888896,-0.021799776377318118
eurostat_shares/panel_growth/median,1Q27,-0.1549536369198656,-0.1655520975689827,-0.010598460649117097,186.82,-0.2894843844936929,-0.30928442867837347,-0.019800044184680562
eurostat_shares/panel_growth/median,2Q27,-0.1646738364903147,-0.1732680975128313,-0.008594261022516592,183.73,-0.30255523978365517,-0.3183454755603249,-0.01579023577666973
eurostat_shares/panel_growth/median,3Q27,-0.1728936101909962,-0.17950723396519216,-0.00661362377419597,177.68122194149538,-0.30719947924612784,-0.3189506467827325,-0.011751167536604646
eurostat_shares/panel_growth/median,4Q27,-0.1813920281420435,-0.18628846674928592,-0.004896438607242426,173.0340496165458,-0.3138699719757623,-0.3223424779848618,-0.008472506009099563
eurostat_shares/panel_growth/rw_mean,3Q26,-0.1372192626177384,-0.18175446593648403,-0.044535203318745636,171.29,-0.23504287493792408,-0.3113272247026035,-0.0762843497646794
eurostat_shares/panel_growth/rw_mean,4Q26,-0.1468077761157966,-0.18899192824325858,-0.04218415212746199,167.51,-0.24591770577157085,-0.31658037900028246,-0.07066267322871157
eurostat_shares/panel_growth/rw_mean,1Q27,-0.1549536369198656,-0.19449821774442896,-0.03954458082456336,186.82,-0.2894843844936929,-0.36336157039014216,-0.07387718589644926
eurostat_shares/panel_growth/rw_mean,2Q27,-0.1646738364903147,-0.2024707333212993,-0.03779689683098461,183.73,-0.30255523978365517,-0.3719994783312232,-0.06944423854756802
eurostat_shares/panel_growth/rw_mean,3Q27,-0.1728936101909962,-0.20836061131981695,-0.03546700112882076,177.68122194149538,-0.30719947924612784,-0.37021768023782053,-0.06301820099169268
eurostat_shares/panel_growth/rw_mean,4Q27,-0.1813920281420435,-0.21471548558143014,-0.03332345743938664,173.0340496165458,-0.3138699719757623,-0.371530899855379,-0.0576609278796168
panel_shares/panel_growth/median,3Q26,-0.1372192626177384,-0.13721926261774675,-8.354428260304303e-15,171.29,-0.23504287493792408,-0.2350428749379384,-1.431030016707524e-14
panel_shares/panel_growth/median,4Q26,-0.1468077761157966,-0.14680777611579665,-5.551115123125783e-17,167.51,-0.24591770577157085,-0.24591770577157096,-9.298672942747998e-17
panel_shares/panel_growth/median,1Q27,-0.1549536369198656,-0.15495363691987396,-8.354428260304303e-15,186.82,-0.2894843844936929,-0.2894843844937085,-1.56077428759005e-14
panel_shares/panel_growth/median,2Q27,-0.1646738364903147,-0.164673836490323,-8.298917109073045e-15,183.73,-0.30255523978365517,-0.3025552397836704,-1.5247600404499903e-14
panel_shares/panel_growth/median,3Q27,-0.1728936101909962,-0.17289361019099617,2.7755575615628914e-17,177.68122194149538,-0.30719947924612784,-0.3071994792461278,4.931644591074518e-17
panel_shares/panel_growth/median,4Q27,-0.1813920281420435,-0.18139202814203523,8.271161533457416e-15,173.0340496165458,-0.3138699719757623,-0.31386997197574795,1.4311925751667355e-14
panel_shares/panel_growth/rw_mean,3Q26,-0.1372192626177384,-0.15674645659194525,-0.019527193974206852,171.29,-0.23504287493792408,-0.268491005496343,-0.033448130558418915
panel_shares/panel_growth/rw_mean,4Q26,-0.1468077761157966,-0.16591148841141,-0.019103712295613418,167.51,-0.24591770577157085,-0.27791833423795287,-0.03200062846638203
panel_shares/panel_growth/rw_mean,1Q27,-0.1549536369198656,-0.17340077736327034,-0.01844714044340473,186.82,-0.2894843844936929,-0.3239473322700616,-0.03446294777636872
panel_shares/panel_growth/rw_mean,2Q27,-0.1646738364903147,-0.1827720688637072,-0.018098232373392503,183.73,-0.30255523978365517,-0.33580712212328917,-0.03325188233963405
panel_shares/panel_growth/rw_mean,3Q27,-0.1728936101909962,-0.1902624642879366,-0.017368854096940417,177.68122194149538,-0.30719947924612784,-0.33806067144280705,-0.030861192196679217
panel_shares/panel_growth/rw_mean,4Q27,-0.1813920281420435,-0.19800103360185997,-0.016609005459816473,173.0340496165458,-0.3138699719757623,-0.34260920672391587,-0.028739234748153635
