filing,section,sentence,magnitude_filed,any_number_in_sentence,names_rnpl,is_driver_claim,driver_of
"2Q26 10-Q (abnb_2026q2_10q.html, filed 2026-08-06)",Gross Booking Value,Our flexible payment options allow guests to defer a portion or all of their payment from the time of booking to a date closer to stay.,no,no,no,no,definition / risk
"2Q26 10-Q (abnb_2026q2_10q.html, filed 2026-08-06)",Gross Booking Value,"In 2025, we launched RNPL and expanded it internationally in 2026.",no,no,yes,no,definition / risk
"2Q26 10-Q (abnb_2026q2_10q.html, filed 2026-08-06)",Gross Booking Value,"To date, RNPL bookings, which require no payment at the time of booking, have experienced higher cancellation rates than historic bookings in which some or all of the cash was received at the time of booking.",no,no,yes,no,cash flow / unearned fees
"2Q26 10-Q (abnb_2026q2_10q.html, filed 2026-08-06)",Gross Booking Value,"As adoption of RNPL and our other flexible payment options continues to grow, the timing among GBV, revenue, and cash receipts may become less correlated.",no,no,yes,no,GBV
"2Q26 10-Q (abnb_2026q2_10q.html, filed 2026-08-06)",Gross Booking Value,"During the three and six months ended June 30, 2026, the increase in GBV, compared to the same periods in the prior year, was primarily due to an increase in Nights and Seats Booked and ADR.",no,no,no,yes,ADR
"2Q26 10-Q (abnb_2026q2_10q.html, filed 2026-08-06)",Gross Booking Value,The increase in ADR was driven in part by the continued adoption of RNPL.,no,no,yes,yes,ADR
"2Q26 10-Q (abnb_2026q2_10q.html, filed 2026-08-06)",Free Cash Flow Reconciliation,"Our FCF is impacted by the timing of GBV, as we generally collect our service fees at booking, which typically occurs before a stay, experience, or service.",no,no,no,no,GBV
"2Q26 10-Q (abnb_2026q2_10q.html, filed 2026-08-06)",Free Cash Flow Reconciliation,"For bookings under RNPL, we collect payment closer to the date of stay.",no,no,yes,no,definition / risk
"2Q26 10-Q (abnb_2026q2_10q.html, filed 2026-08-06)",Free Cash Flow Reconciliation,"The continued expansion of RNPL results in a shift in timing of when cash for unearned fees is received, which impacts our FCF.",no,no,yes,yes,cash flow / unearned fees
"2Q26 10-Q (abnb_2026q2_10q.html, filed 2026-08-06)",Seasonality,"However, increasing adoption of RNPL, which shifts payment and unearned fees closer to the date of stay, is changing the typical seasonal dynamics between GBV and FCF.",no,no,yes,no,GBV
"2Q26 10-Q (abnb_2026q2_10q.html, filed 2026-08-06)",Revenue,"Revenue increased $512 million, or 17%, primarily due to an increase in the number of check-ins relating to Nights and Seats Booked and an increase in ADR.",no,yes,no,yes,ADR
"2Q26 10-Q (abnb_2026q2_10q.html, filed 2026-08-06)",Revenue,"Revenue increased $918 million, or 17%, primarily due to an increase in the number of check-ins relating to Nights and Seats Booked and an increase in ADR.",no,yes,no,yes,ADR
"2Q26 10-Q (abnb_2026q2_10q.html, filed 2026-08-06)",Revenue,"Cost of revenue increased $89 million, or 16%, primarily due to a $68 million increase in merchant fees, a $13 million increase in chargebacks, and a $12 million increase in server costs.",no,yes,no,yes,definition / risk
"2Q26 10-Q (abnb_2026q2_10q.html, filed 2026-08-06)",Revenue,"Cost of revenue increased $164 million, or 16%, primarily due to a $131 million increase in merchant fees, a $25 million increase in chargebacks, and a $15 million increase in server costs.",no,yes,no,yes,definition / risk
"2Q26 10-Q (abnb_2026q2_10q.html, filed 2026-08-06)",Cash Flows,"This reflected unearned fees growing at a rate less than the GBV growth rate during the six months ended June 30, 2026, compared to the same period in the prior year, which was primarily due to the increased guest adoption of our flexible payment options, which allow guests to pay closer to check-in dates rather than at time of booking, shifting the timing of cash collection and its recognition in operating activities.",no,no,no,yes,GBV
"2Q26 10-Q (abnb_2026q2_10q.html, filed 2026-08-06)",Cash Flows,"For example, under our RNPL option, payment is collected closer to check-in rather than at booking.",no,no,yes,no,definition / risk
