country,region,q,rev,n_mkts,rev_prev,stays_yoy_pct,quarter
austria,EMEA,2023Q2,22423,1,18931,18.44593523849771,2Q23
austria,EMEA,2023Q3,24448,1,23329,4.796605083801286,3Q23
austria,EMEA,2023Q4,23454,1,22511,4.189063124694603,4Q23
austria,EMEA,2024Q1,16960,1,17974,-5.6414821408701465,1Q24
austria,EMEA,2024Q2,27339,1,28945,-5.548453964415268,2Q24
austria,EMEA,2024Q3,28954,1,31707,-8.682625287791335,3Q24
austria,EMEA,2024Q4,27200,1,30226,-10.011248593925758,4Q24
austria,EMEA,2025Q1,19671,1,21892,-10.145258541933122,1Q25
austria,EMEA,2025Q2,32569,1,35419,-8.046528699285693,2Q25
austria,EMEA,2025Q3,35207,1,37721,-6.664722568330639,3Q25
austria,EMEA,2025Q4,40655,1,35999,12.93369260257229,4Q25
austria,EMEA,2026Q1,27783,1,26241,5.876300445867155,1Q26
austria,EMEA,2026Q2,44039,1,44546,-1.138149328783733,2Q26
belgium,EMEA,2022Q1,8690,3,3023,187.46278531260336,1Q22
belgium,EMEA,2022Q2,13504,3,4627,191.85217203371514,2Q22
belgium,EMEA,2022Q3,15526,3,9661,60.70800124210744,3Q22
belgium,EMEA,2022Q4,15230,3,11168,36.37177650429799,4Q22
belgium,EMEA,2023Q1,14021,3,10606,32.19875542145956,1Q23
belgium,EMEA,2023Q2,19980,3,16524,20.915032679738555,2Q23
belgium,EMEA,2023Q3,20578,3,19426,5.930196643673424,3Q23
belgium,EMEA,2023Q4,20229,3,19090,5.9664745940282815,4Q23
belgium,EMEA,2024Q1,18401,3,17907,2.7586977159769877,1Q24
belgium,EMEA,2024Q2,25332,3,25619,-1.1202623053202743,2Q24
belgium,EMEA,2024Q3,26732,3,26874,-0.5283917541117789,3Q24
belgium,EMEA,2024Q4,27126,3,26848,1.0354588796186004,4Q24
belgium,EMEA,2025Q1,23821,3,24179,-1.4806236817072715,1Q25
belgium,EMEA,2025Q2,35006,3,33513,4.4549876167457425,2Q25
belgium,EMEA,2025Q3,35329,3,35929,-1.6699601992819169,3Q25
belgium,EMEA,2025Q4,38291,3,37642,1.724137931034475,4Q25
belgium,EMEA,2026Q1,31518,3,32979,-4.4300918766487785,1Q26
belgium,EMEA,2026Q2,45238,3,48895,-7.479292361182122,2Q26
belize,LatAm,2022Q1,3003,1,595,404.70588235294116,1Q22
belize,LatAm,2022Q2,2903,1,1491,94.70154258886654,2Q22
belize,LatAm,2022Q3,2160,1,1426,51.472650771388494,3Q22
belize,LatAm,2022Q4,2196,1,1956,12.269938650306745,4Q22
belize,LatAm,2023Q1,4462,1,3413,30.735423381189577,1Q23
belize,LatAm,2023Q2,2924,1,3330,-12.192192192192197,2Q23
belize,LatAm,2023Q3,2207,1,2537,-13.0074891604257,3Q23
belize,LatAm,2023Q4,3135,1,2490,25.903614457831313,4Q23
belize,LatAm,2024Q1,6505,1,5050,28.811881188118814,1Q24
belize,LatAm,2024Q2,4568,1,3282,39.18342474101158,2Q24
belize,LatAm,2024Q3,2962,1,2517,17.67977751291219,3Q24
belize,LatAm,2024Q4,3874,1,3597,7.700861829302186,4Q24
belize,LatAm,2025Q1,6891,1,7433,-7.291806807480161,1Q25
belize,LatAm,2025Q2,4103,1,5270,-22.144212523719165,2Q25
belize,LatAm,2025Q3,3075,1,3411,-9.850483729111692,3Q25
belize,LatAm,2025Q4,4171,1,4422,-5.676164631388514,4Q25
belize,LatAm,2026Q1,7961,1,7879,1.040741210813545,1Q26
belize,LatAm,2026Q2,4988,1,4756,4.878048780487809,2Q26
brazil,LatAm,2022Q1,44420,2,13666,225.04024586565197,1Q22
brazil,LatAm,2022Q2,45405,2,8931,408.39771582129663,2Q22
brazil,LatAm,2022Q3,57661,2,14040,310.69088319088326,3Q22
brazil,LatAm,2022Q4,59960,2,20642,190.47572909601783,4Q22
brazil,LatAm,2023Q1,80967,2,28922,179.94951939699882,1Q23
brazil,LatAm,2023Q2,77111,2,24300,217.3292181069959,2Q23
brazil,LatAm,2023Q3,87465,2,34152,156.10505973295852,3Q23
brazil,LatAm,2023Q4,110666,2,32935,236.01335964779108,4Q23
brazil,LatAm,2024Q1,110539,2,51510,114.59716559891282,1Q24
brazil,LatAm,2024Q2,114347,2,40367,183.26851140783313,2Q24
brazil,LatAm,2024Q3,145414,2,44789,224.66453816785372,3Q24
brazil,LatAm,2024Q4,161968,2,60520,167.62723066754793,4Q24
brazil,LatAm,2025Q1,188278,2,65354,188.08948189858313,1Q25
brazil,LatAm,2025Q2,200369,2,54828,265.45013496753484,2Q25
brazil,LatAm,2025Q3,208241,2,73968,181.52849881029636,3Q25
brazil,LatAm,2025Q4,242910,2,77208,214.61765620142992,4Q25
brazil,LatAm,2026Q1,292679,2,118649,146.67633102681017,1Q26
brazil,LatAm,2026Q2,289347,2,104392,177.1735382021611,2Q26
canada,NAM,2022Q1,31690,8,15143,109.27161064518258,1Q22
canada,NAM,2022Q2,59499,8,19548,204.37384898710866,2Q22
canada,NAM,2022Q3,86927,8,53058,63.83391759960797,3Q22
canada,NAM,2022Q4,54435,8,42721,27.419770136466838,4Q22
canada,NAM,2023Q1,46932,8,36312,29.246530072703237,1Q23
canada,NAM,2023Q2,82983,8,68039,21.96387366069461,2Q23
canada,NAM,2023Q3,118960,8,99794,19.205563460729103,3Q23
canada,NAM,2023Q4,72980,8,63300,15.292259083728288,4Q23
canada,NAM,2024Q1,62193,8,55333,12.397665046174966,1Q24
canada,NAM,2024Q2,105758,8,96783,9.273322794292383,2Q24
canada,NAM,2024Q3,152566,8,139046,9.723400888914458,3Q24
canada,NAM,2024Q4,98312,8,86129,14.145061477551124,4Q24
canada,NAM,2025Q1,74218,8,75127,-1.209951149387034,1Q25
canada,NAM,2025Q2,132306,8,126867,4.287166875546822,2Q25
canada,NAM,2025Q3,198632,8,183699,8.12905894969489,3Q25
canada,NAM,2025Q4,117152,8,121312,-3.429174360327092,4Q25
canada,NAM,2026Q1,99492,8,93727,6.150842339987417,1Q26
canada,NAM,2026Q2,193058,8,166339,16.06297981832283,2Q26
chile,LatAm,2022Q1,9165,1,4821,90.10578718108275,1Q22
chile,LatAm,2022Q2,9664,1,4536,113.05114638447971,2Q22
chile,LatAm,2022Q3,13405,1,7389,81.41832453647314,3Q22
chile,LatAm,2022Q4,14077,1,8651,62.721072708357404,4Q22
chile,LatAm,2023Q1,14955,1,10268,45.64666926373198,1Q23
chile,LatAm,2023Q2,14847,1,11035,34.54463072043499,2Q23
chile,LatAm,2023Q3,20208,1,15464,30.677703052250394,3Q23
chile,LatAm,2023Q4,22599,1,16362,38.11881188118811,4Q23
chile,LatAm,2024Q1,23597,1,17384,35.739760699493786,1Q24
chile,LatAm,2024Q2,26980,1,17582,53.45239449436925,2Q24
chile,LatAm,2024Q3,36892,1,23937,54.12123490830096,3Q24
chile,LatAm,2024Q4,38691,1,27231,42.08438911534649,4Q24
chile,LatAm,2025Q1,41236,1,28340,45.50458715596331,1Q25
chile,LatAm,2025Q2,41968,1,32747,28.158304577518557,2Q25
chile,LatAm,2025Q3,59194,1,45428,30.302896891784805,3Q25
chile,LatAm,2025Q4,60296,1,48440,24.475639966969442,4Q25
chile,LatAm,2026Q1,65269,1,51479,26.787622137182154,1Q26
chile,LatAm,2026Q2,62683,1,52594,19.18279651671293,2Q26
china,APAC,2022Q1,608,1,659,-7.73899848254932,1Q22
china,APAC,2022Q2,717,1,702,2.136752136752129,2Q22
china,APAC,2022Q3,1265,1,898,40.86859688195992,3Q22
china,APAC,2022Q4,906,1,759,19.367588932806324,4Q22
china,APAC,2023Q1,1771,1,685,158.54014598540144,1Q23
china,APAC,2023Q2,3320,1,821,304.3848964677223,2Q23
china,APAC,2023Q3,3594,1,1498,139.91989319092121,3Q23
china,APAC,2023Q4,4740,1,1092,334.065934065934,4Q23
china,APAC,2024Q1,4829,1,2186,120.90576395242452,1Q24
china,APAC,2024Q2,3912,1,4133,-5.347205419791923,2Q24
china,APAC,2024Q3,4240,1,4519,-6.173932285903961,3Q24
china,APAC,2024Q4,5607,1,5811,-3.510583376355192,4Q24
china,APAC,2025Q1,5689,1,5953,-4.434738787166137,1Q25
china,APAC,2025Q2,5302,1,4935,7.436676798378916,2Q25
china,APAC,2025Q3,5721,1,5242,9.137733689431515,3Q25
china,APAC,2025Q4,7675,1,7052,8.834373227453195,4Q25
china,APAC,2026Q1,7754,1,7328,5.8133187772925865,1Q26
china,APAC,2026Q2,6177,1,6894,-10.400348128807657,2Q26
czech-republic,EMEA,2022Q1,12494,1,1918,551.4077163712201,1Q22
czech-republic,EMEA,2022Q2,22758,1,4083,457.3842762674504,2Q22
czech-republic,EMEA,2022Q3,27772,1,14866,86.81555226691779,3Q22
czech-republic,EMEA,2022Q4,24210,1,14969,61.73425078495558,4Q22
czech-republic,EMEA,2023Q1,21860,1,13682,59.77196316328022,1Q23
czech-republic,EMEA,2023Q2,33265,1,24709,34.62705896636853,2Q23
czech-republic,EMEA,2023Q3,37398,1,30429,22.90249433106577,3Q23
czech-republic,EMEA,2023Q4,35476,1,26386,34.450087167437275,4Q23
czech-republic,EMEA,2024Q1,31008,1,23651,31.10650712443448,1Q24
czech-republic,EMEA,2024Q2,44822,1,36410,23.103542982697057,2Q24
czech-republic,EMEA,2024Q3,48067,1,41293,16.404717506599177,3Q24
czech-republic,EMEA,2024Q4,46874,1,39259,19.396826205456065,4Q24
czech-republic,EMEA,2025Q1,37718,1,34241,10.154493151485067,1Q25
czech-republic,EMEA,2025Q2,57508,1,49939,15.156490918921083,2Q25
czech-republic,EMEA,2025Q3,59191,1,53387,10.871560492254662,3Q25
czech-republic,EMEA,2025Q4,60393,1,52411,15.229627368300559,4Q25
czech-republic,EMEA,2026Q1,48717,1,41901,16.26691487076681,1Q26
czech-republic,EMEA,2026Q2,66533,1,65576,1.459375381237038,2Q26
denmark,EMEA,2022Q1,4278,1,658,550.1519756838906,1Q22
denmark,EMEA,2022Q2,12048,1,1710,604.561403508772,2Q22
denmark,EMEA,2022Q3,18332,1,9395,95.12506652474721,3Q22
denmark,EMEA,2022Q4,8492,1,7267,16.857024907114358,4Q22
denmark,EMEA,2023Q1,7104,1,5125,38.61463414634145,1Q23
denmark,EMEA,2023Q2,17825,1,14253,25.06139058443837,2Q23
denmark,EMEA,2023Q3,26056,1,21705,20.046072333563703,3Q23
denmark,EMEA,2023Q4,11691,1,10419,12.208465303771954,4Q23
denmark,EMEA,2024Q1,9329,1,8731,6.849158172030689,1Q24
denmark,EMEA,2024Q2,24028,1,21568,11.405786350148372,2Q24
denmark,EMEA,2024Q3,32803,1,30995,5.833198903048875,3Q24
denmark,EMEA,2024Q4,13977,1,14465,-3.373660559972347,4Q24
denmark,EMEA,2025Q1,10955,1,11734,-6.6388273393557125,1Q25
denmark,EMEA,2025Q2,27925,1,30018,-6.972483176760614,2Q25
denmark,EMEA,2025Q3,41328,1,40485,2.082252686180075,3Q25
denmark,EMEA,2025Q4,17210,1,17884,-3.768731827331695,4Q25
denmark,EMEA,2026Q1,12674,1,14037,-9.71005200541426,1Q26
denmark,EMEA,2026Q2,35573,1,35885,-0.8694440574055995,2Q26
france,EMEA,2022Q1,63902,4,31128,105.28784374196864,1Q22
france,EMEA,2022Q2,104812,4,40885,156.3580775345481,2Q22
france,EMEA,2022Q3,127977,4,91149,40.40417338643321,3Q22
france,EMEA,2022Q4,94966,4,83315,13.98427654083898,4Q22
france,EMEA,2023Q1,88238,4,72193,22.225146482345927,1Q23
france,EMEA,2023Q2,144744,4,119294,21.33384746927758,2Q23
france,EMEA,2023Q3,158607,4,146700,8.11656441717792,3Q23
france,EMEA,2023Q4,120818,4,109063,10.77817408286954,4Q23
france,EMEA,2024Q1,101752,4,101363,0.3837692254570202,1Q24
france,EMEA,2024Q2,169115,4,168090,0.6097923731334332,2Q24
france,EMEA,2024Q3,177357,4,185657,-4.470609780401491,3Q24
france,EMEA,2024Q4,152141,4,142126,7.046564316170167,4Q24
france,EMEA,2025Q1,133484,4,120295,10.963880460534515,1Q25
france,EMEA,2025Q2,219346,4,200499,9.400046883026846,2Q25
france,EMEA,2025Q3,217075,4,212393,2.2044040999467995,3Q25
france,EMEA,2025Q4,180994,4,184482,-1.8906993636235492,4Q25
france,EMEA,2026Q1,160362,4,163528,-1.93605987965364,1Q26
france,EMEA,2026Q2,263213,4,271499,-3.0519449427069745,2Q26
germany,EMEA,2022Q1,13167,2,3638,261.92963166575043,1Q22
germany,EMEA,2022Q2,24471,2,7674,218.88193901485536,2Q22
germany,EMEA,2022Q3,29683,2,20417,45.38374883675369,3Q22
germany,EMEA,2022Q4,24257,2,19324,25.527841026702536,4Q22
germany,EMEA,2023Q1,20166,2,14717,37.025208942039825,1Q23
germany,EMEA,2023Q2,31588,2,27514,14.807007341716938,2Q23
germany,EMEA,2023Q3,35321,2,33885,4.237863361369332,3Q23
germany,EMEA,2023Q4,28972,2,27362,5.884072801695783,4Q23
germany,EMEA,2024Q1,24077,2,22881,5.227044272540526,1Q24
germany,EMEA,2024Q2,40888,2,36056,13.401375637896606,2Q24
germany,EMEA,2024Q3,47969,2,40548,18.301765808424577,3Q24
germany,EMEA,2024Q4,36417,2,33070,10.12095554883581,4Q24
germany,EMEA,2025Q1,30126,2,27445,9.768628165421745,1Q25
germany,EMEA,2025Q2,48094,2,46622,3.157307708807,2Q25
germany,EMEA,2025Q3,52062,2,55965,-6.974001608147951,3Q25
germany,EMEA,2025Q4,44218,2,42446,4.174716109880783,4Q25
germany,EMEA,2026Q1,34627,2,34795,-0.48282799252765685,1Q26
germany,EMEA,2026Q2,55483,2,56842,-2.3908377608106712,2Q26
greece,EMEA,2022Q1,20926,4,7045,197.03335699077357,1Q22
greece,EMEA,2022Q2,89878,4,28871,211.3089259118146,2Q22
greece,EMEA,2022Q3,158161,4,126302,25.224462003768757,3Q22
greece,EMEA,2022Q4,52844,4,45873,15.196302836090947,4Q22
greece,EMEA,2023Q1,29351,4,23353,25.684066286986674,1Q23
greece,EMEA,2023Q2,110800,4,98941,11.985931009389429,2Q23
greece,EMEA,2023Q3,179764,4,176068,2.0991889497239624,3Q23
greece,EMEA,2023Q4,64141,4,58368,9.890693530701755,4Q23
greece,EMEA,2024Q1,36288,4,32617,11.254867093846777,1Q24
greece,EMEA,2024Q2,134924,4,122739,9.927569884062937,2Q24
greece,EMEA,2024Q3,211325,4,200913,5.182342606003587,3Q24
greece,EMEA,2024Q4,79125,4,71539,10.604006206404893,4Q24
greece,EMEA,2025Q1,43422,4,41129,5.5751416275620524,1Q25
greece,EMEA,2025Q2,151526,4,150549,0.6489581465170868,2Q25
greece,EMEA,2025Q3,235902,4,237422,-0.6402102585270075,3Q25
greece,EMEA,2025Q4,89773,4,89516,0.2870995129362397,4Q25
greece,EMEA,2026Q1,51751,4,49936,3.6346523550144116,1Q26
greece,EMEA,2026Q2,169749,4,168642,0.6564201088696819,2Q26
hungary,EMEA,2022Q1,20380,1,2028,904.930966469428,1Q22
hungary,EMEA,2022Q2,27768,1,4594,504.4405746626034,2Q22
hungary,EMEA,2022Q3,34730,1,17746,95.70607460836244,3Q22
hungary,EMEA,2022Q4,31087,1,23614,31.646480901160334,4Q22
hungary,EMEA,2023Q1,27787,1,23564,17.921405533865208,1Q23
hungary,EMEA,2023Q2,40042,1,31979,25.213421307733206,2Q23
hungary,EMEA,2023Q3,44976,1,40201,11.877813984726737,3Q23
hungary,EMEA,2023Q4,39850,1,36015,10.648340969040682,4Q23
hungary,EMEA,2024Q1,34956,1,32202,8.552263834544437,1Q24
hungary,EMEA,2024Q2,50106,1,46763,7.148814233475176,2Q24
hungary,EMEA,2024Q3,54546,1,53186,2.5570638889933495,3Q24
hungary,EMEA,2024Q4,51217,1,47351,8.164558298663183,4Q24
hungary,EMEA,2025Q1,42473,1,41875,1.4280597014925345,1Q25
hungary,EMEA,2025Q2,59164,1,60708,-2.5433221321736865,2Q25
hungary,EMEA,2025Q3,63351,1,65964,-3.961251591777337,3Q25
hungary,EMEA,2025Q4,61925,1,62413,-0.7818883886369865,4Q25
hungary,EMEA,2026Q1,49561,1,52018,-4.723364989042256,1Q26
hungary,EMEA,2026Q2,64770,1,72451,-10.601648010379428,2Q26
ireland,EMEA,2022Q1,31224,2,5438,474.1816844428098,1Q22
ireland,EMEA,2022Q2,75032,2,26464,183.52478839177752,2Q22
ireland,EMEA,2022Q3,101637,2,64556,57.44005204783444,3Q22
ireland,EMEA,2022Q4,47965,2,35350,35.68599717114569,4Q22
ireland,EMEA,2023Q1,42602,2,33869,25.784640821990614,1Q23
ireland,EMEA,2023Q2,103305,2,82171,25.719536089374607,2Q23
ireland,EMEA,2023Q3,135628,2,112214,20.86548915465094,3Q23
ireland,EMEA,2023Q4,60747,2,52998,14.621306464394879,4Q23
ireland,EMEA,2024Q1,50467,2,47166,6.998685493787904,1Q24
ireland,EMEA,2024Q2,126041,2,114889,9.706760438336136,2Q24
ireland,EMEA,2024Q3,170769,2,152408,12.047267859954868,3Q24
ireland,EMEA,2024Q4,67885,2,67943,-0.08536567416804752,4Q24
ireland,EMEA,2025Q1,54700,2,56906,-3.876568375918177,1Q25
ireland,EMEA,2025Q2,141891,2,143346,-1.0150265790465074,2Q25
ireland,EMEA,2025Q3,196648,2,195476,0.5995620945793867,3Q25
ireland,EMEA,2025Q4,85754,2,77933,10.035543351340248,4Q25
ireland,EMEA,2026Q1,68733,2,63505,8.232422643886306,1Q26
ireland,EMEA,2026Q2,170493,2,164977,3.343496366160137,2Q26
italy,EMEA,2022Q1,103075,10,11870,768.3656276326875,1Q22
italy,EMEA,2022Q2,260268,10,45327,474.20080746574894,2Q22
italy,EMEA,2022Q3,328991,10,210098,56.58930594294092,3Q22
italy,EMEA,2022Q4,201218,10,136305,47.62334470488976,4Q22
italy,EMEA,2023Q1,172871,10,111378,55.2110829786852,1Q23
italy,EMEA,2023Q2,378962,10,283293,33.7703367185211,2Q23
italy,EMEA,2023Q3,424579,10,360461,17.787777318489372,3Q23
italy,EMEA,2023Q4,266614,10,219497,21.465897028205404,4Q23
italy,EMEA,2024Q1,211663,10,188871,12.067495804014383,1Q24
italy,EMEA,2024Q2,476072,10,417029,14.158008196072691,2Q24
italy,EMEA,2024Q3,504988,10,469991,7.4463128017345115,3Q24
italy,EMEA,2024Q4,332061,10,294606,12.713590354575267,4Q24
italy,EMEA,2025Q1,255004,10,234263,8.853724233020156,1Q25
italy,EMEA,2025Q2,562839,10,530709,6.05416527701621,2Q25
italy,EMEA,2025Q3,582491,10,565414,3.0202647971221186,3Q25
italy,EMEA,2025Q4,401767,10,371808,8.057653412513988,4Q25
italy,EMEA,2026Q1,319014,10,284714,12.047177167262578,1Q26
italy,EMEA,2026Q2,658826,10,632462,4.168471781703875,2Q26
latvia,EMEA,2022Q1,2495,1,999,149.74974974974975,1Q22
latvia,EMEA,2022Q2,4064,1,1148,254.00696864111495,2Q22
latvia,EMEA,2022Q3,5883,1,3567,64.92851135407906,3Q22
latvia,EMEA,2022Q4,4394,1,2633,66.8818837827573,4Q22
latvia,EMEA,2023Q1,4326,1,2918,48.25222755311857,1Q23
latvia,EMEA,2023Q2,6806,1,4606,47.76378636561007,2Q23
latvia,EMEA,2023Q3,9014,1,6761,33.323472859044514,3Q23
latvia,EMEA,2023Q4,5656,1,5035,12.33366434955312,4Q23
latvia,EMEA,2024Q1,5140,1,4940,4.048582995951411,1Q24
latvia,EMEA,2024Q2,7629,1,7842,-2.7161438408569216,2Q24
latvia,EMEA,2024Q3,11660,1,10356,12.591734260332178,3Q24
latvia,EMEA,2024Q4,7664,1,6415,19.469992205767728,4Q24
latvia,EMEA,2025Q1,6487,1,5803,11.78700672066173,1Q25
latvia,EMEA,2025Q2,10331,1,8693,18.842747037846543,2Q25
latvia,EMEA,2025Q3,15538,1,13485,15.224323322209866,3Q25
latvia,EMEA,2025Q4,9021,1,8532,5.731364275668072,4Q25
latvia,EMEA,2026Q1,7526,1,7172,4.935861684327936,1Q26
latvia,EMEA,2026Q2,12047,1,11657,3.345629235652403,2Q26
malta,EMEA,2022Q1,4092,1,999,309.60960960960955,1Q22
malta,EMEA,2022Q2,10415,1,2432,328.24835526315786,2Q22
malta,EMEA,2022Q3,13613,1,9676,40.68830095080611,3Q22
malta,EMEA,2022Q4,7900,1,6852,15.294804436660826,4Q22
malta,EMEA,2023Q1,6757,1,4575,47.69398907103826,1Q23
malta,EMEA,2023Q2,15800,1,12013,31.524182136019306,2Q23
malta,EMEA,2023Q3,18235,1,16064,13.51469123505975,3Q23
malta,EMEA,2023Q4,11525,1,9036,27.545374059318274,4Q23
malta,EMEA,2024Q1,9559,1,7603,25.72668683414441,1Q24
malta,EMEA,2024Q2,19947,1,18639,7.017543859649122,2Q24
malta,EMEA,2024Q3,23347,1,21938,6.42264563770627,3Q24
malta,EMEA,2024Q4,14911,1,13679,9.00650632356166,4Q24
malta,EMEA,2025Q1,12460,1,11273,10.529583961678357,1Q25
malta,EMEA,2025Q2,25442,1,24492,3.8788175730850805,2Q25
malta,EMEA,2025Q3,29618,1,29440,0.6046195652174013,3Q25
malta,EMEA,2025Q4,20213,1,18139,11.433926897844415,4Q25
malta,EMEA,2026Q1,16430,1,15334,7.147515325420639,1Q26
malta,EMEA,2026Q2,34715,1,32037,8.35908480819052,2Q26
mexico,LatAm,2022Q1,34738,1,14829,134.2571987322139,1Q22
mexico,LatAm,2022Q2,40420,1,21646,86.73195971542087,2Q22
mexico,LatAm,2022Q3,39931,1,26608,50.07140709561033,3Q22
mexico,LatAm,2022Q4,52803,1,36910,43.05879165537794,4Q22
mexico,LatAm,2023Q1,50803,1,39079,30.000767675733762,1Q23
mexico,LatAm,2023Q2,51700,1,45601,13.374706695028626,2Q23
mexico,LatAm,2023Q3,56858,1,45116,26.026243461299757,3Q23
mexico,LatAm,2023Q4,69417,1,59649,16.375798420761445,4Q23
mexico,LatAm,2024Q1,70021,1,56644,23.6159169550173,1Q24
mexico,LatAm,2024Q2,67830,1,57998,16.9523087003,2Q24
mexico,LatAm,2024Q3,79612,1,64398,23.624957296810468,3Q24
mexico,LatAm,2024Q4,93156,1,78262,19.03094733076078,4Q24
mexico,LatAm,2025Q1,95228,1,78557,21.22153340886235,1Q25
mexico,LatAm,2025Q2,94324,1,76476,23.338040692504848,2Q25
mexico,LatAm,2025Q3,101811,1,91014,11.863010086360347,3Q25
mexico,LatAm,2025Q4,130879,1,106201,23.237069330797254,4Q25
mexico,LatAm,2026Q1,116899,1,108438,7.802615319353001,1Q26
mexico,LatAm,2026Q2,133798,1,107870,24.036340038935755,2Q26
new-zealand,APAC,2022Q1,69690,1,69892,-0.28901734104046506,1Q22
new-zealand,APAC,2022Q2,68545,1,66187,3.5626331454817306,2Q22
new-zealand,APAC,2022Q3,78169,1,45186,72.99384765192758,3Q22
new-zealand,APAC,2022Q4,112359,1,48221,133.0084403060907,4Q22
new-zealand,APAC,2023Q1,150739,1,75750,98.99537953795378,1Q23
new-zealand,APAC,2023Q2,98432,1,74931,31.36352110608427,2Q23
new-zealand,APAC,2023Q3,103192,1,85590,20.565486622268956,3Q23
new-zealand,APAC,2023Q4,143738,1,122428,17.406148920181664,4Q23
new-zealand,APAC,2024Q1,207595,1,164168,26.452780078943515,1Q24
new-zealand,APAC,2024Q2,106721,1,108404,-1.552525737057675,2Q24
new-zealand,APAC,2024Q3,99365,1,114109,-12.920979063877525,3Q24
new-zealand,APAC,2024Q4,165479,1,158533,4.381422164470483,4Q24
new-zealand,APAC,2025Q1,219410,1,229455,-4.377764703318732,1Q25
new-zealand,APAC,2025Q2,128278,1,118812,7.967208699457973,2Q25
new-zealand,APAC,2025Q3,121891,1,111303,9.512771443716694,3Q25
new-zealand,APAC,2025Q4,197508,1,185496,6.475611333937126,4Q25
new-zealand,APAC,2026Q1,279552,1,246953,13.200487542163897,1Q26
new-zealand,APAC,2026Q2,150778,1,146347,3.0277354506754506,2Q26
norway,EMEA,2022Q1,1907,1,403,373.20099255583125,1Q22
norway,EMEA,2022Q2,5040,1,542,829.8892988929889,2Q22
norway,EMEA,2022Q3,8495,1,3039,179.53274103323463,3Q22
norway,EMEA,2022Q4,4730,1,2507,88.67171918627844,4Q22
norway,EMEA,2023Q1,4096,1,2242,82.69402319357717,1Q23
norway,EMEA,2023Q2,9404,1,5850,60.75213675213676,2Q23
norway,EMEA,2023Q3,14662,1,9704,51.09233305853256,3Q23
norway,EMEA,2023Q4,7711,1,5563,38.61225957217329,4Q23
norway,EMEA,2024Q1,6638,1,4882,35.968865219172464,1Q24
norway,EMEA,2024Q2,13253,1,11316,17.117355956168257,2Q24
norway,EMEA,2024Q3,18926,1,17708,6.8782471199457795,3Q24
norway,EMEA,2024Q4,10394,1,9434,10.175959296162818,4Q24
norway,EMEA,2025Q1,8815,1,8212,7.342912810521196,1Q25
