market_key,country,region,currency,fx_available
spain_islas-baleares_mallorca,spain,EMEA,EUR,True
spain_islas-baleares_menorca,spain,EMEA,EUR,True
spain_pv_euskadi,spain,EMEA,EUR,True
spain_vc_valencia,spain,EMEA,EUR,True
sweden_stockholms-län_stockholm,sweden,EMEA,SEK,True
switzerland_geneva_geneva,switzerland,EMEA,CHF,True
switzerland_vd_vaud,switzerland,EMEA,CHF,True
switzerland_zürich_zurich,switzerland,EMEA,CHF,True
taiwan_northern-taiwan_taipei,taiwan,APAC,TWD,True
thailand_central-thailand_bangkok,thailand,APAC,THB,True
the-netherlands_north-holland_amsterdam,the-netherlands,EMEA,EUR,True
the-netherlands_south-holland_rotterdam,the-netherlands,EMEA,EUR,True
the-netherlands_south-holland_the-hague,the-netherlands,EMEA,EUR,True
turkey_marmara_istanbul,turkey,EMEA,TRY,False
united-kingdom_england_bristol,united-kingdom,EMEA,GBP,True
united-kingdom_england_greater-manchester,united-kingdom,EMEA,GBP,True
united-kingdom_england_london,united-kingdom,EMEA,GBP,True
united-kingdom_scotland_edinburgh,united-kingdom,EMEA,GBP,True
united-states_ca_los-angeles,united-states,NAM,USD,True
united-states_ca_oakland,united-states,NAM,USD,True
united-states_ca_pacific-grove,united-states,NAM,USD,True
united-states_ca_san-diego,united-states,NAM,USD,True
united-states_ca_san-francisco,united-states,NAM,USD,True
united-states_ca_san-mateo-county,united-states,NAM,USD,True
united-states_ca_santa-clara-county,united-states,NAM,USD,True
united-states_ca_santa-cruz-county,united-states,NAM,USD,True
united-states_co_denver,united-states,NAM,USD,True
united-states_dc_washington-dc,united-states,NAM,USD,True
united-states_fl_broward-county,united-states,NAM,USD,True
united-states_hi_hawaii,united-states,NAM,USD,True
united-states_il_chicago,united-states,NAM,USD,True
united-states_la_new-orleans,united-states,NAM,USD,True
united-states_ma_boston,united-states,NAM,USD,True
united-states_ma_cambridge,united-states,NAM,USD,True
united-states_mn_twin-cities-msa,united-states,NAM,USD,True
united-states_mt_bozeman,united-states,NAM,USD,True
united-states_nc_asheville,united-states,NAM,USD,True
united-states_nj_jersey-city,united-states,NAM,USD,True
united-states_nj_newark,united-states,NAM,USD,True
united-states_nv_clark-county-nv,united-states,NAM,USD,True
united-states_ny_albany,united-states,NAM,USD,True
united-states_ny_new-york-city,united-states,NAM,USD,True
united-states_ny_rochester,united-states,NAM,USD,True
united-states_oh_columbus,united-states,NAM,USD,True
united-states_or_portland,united-states,NAM,USD,True
united-states_or_salem-or,united-states,NAM,USD,True
united-states_ri_rhode-island,united-states,NAM,USD,True
united-states_tn_nashville,united-states,NAM,USD,True
united-states_tx_austin,united-states,NAM,USD,True
united-states_tx_dallas,united-states,NAM,USD,True
united-states_tx_fort-worth,united-states,NAM,USD,True
united-states_wa_seattle,united-states,NAM,USD,True
