sample,spec,fe,y,n,n_regions,n_regions_with_variation,b,se_cluster_region,t_b0,p_b0_cluster,p_b1_cluster,ci90_lo,ci90_hi,ci95_lo,ci95_hi,se_iid,p_b0_iid,se_hc1,p_b0_hc1,se_nw3,p_b0_nw3,se_cluster_quarter,p_b0_cluster_quarter,p_b0_wildboot,p_b1_wildboot,n_wildboot,r2,r2_within,pass_band,pass_p,PASS
disclosed_only,"CPI P2, no FE",False,y_full_p2,23,4,4,2.524955652744701,0.24016934044288338,10.513230573430254,0.0018377849218242925,0.007902600755268274,1.9597499087859482,3.0901613967034534,1.7606296226098217,3.28928168287958,0.7561721566382488,0.0031118076924556703,0.5695251381526961,0.0002304947470910257,0.4637640871991901,2.1150395452806947e-05,0.6524428991042086,0.004741328964456892,0.125,0.125,16,0.3468072702106918,,False,True,False
all_chained,"CPI P2, no FE",False,y_full_p2,41,4,4,3.1144504778645556,0.6746148732899458,4.616634766257194,0.019125088466556583,0.051891890165164156,1.526836502490532,4.702064453238579,0.9675248668735308,5.261376088855581,0.984518716955892,0.003017974745427754,0.7699366138164985,0.00023927024848746647,0.639838545390214,1.9005287050566366e-05,0.8462820179881173,0.0027730271050532274,0.125,0.125,16,0.2041994369592557,,False,True,False
disclosed_only,"FE + CPI P1, size/LOS NOT removed",True,cpi_gap_p1_pp,23,4,3,1.1198992563377894,0.3738726381269541,2.995403092208932,0.057880572601106905,0.7694819706313221,0.24004106049692164,1.9997574521786572,-0.06993033951600824,2.3097288521915873,0.48135457293502437,0.03186501464293956,0.23319979489774875,0.00014267453715532952,0.29184374237773497,0.0012067230810364205,0.19456779299441174,0.00042613936990743007,1.0,1.0,16,0.8124665768133412,0.23119212080873508,True,True,True
all_chained,"FE + CPI P1, size/LOS NOT removed",True,cpi_gap_p1_pp,41,4,4,2.1202966695246404,1.1700670416075405,1.8121155405006462,0.1676356797785581,0.4089674974734516,-0.6332963224612889,4.873889661510569,-1.6033788639735151,5.843972203022796,0.8467024433864313,0.016943189992922658,0.5957876170013533,0.0010678225589004775,0.7687072389302034,0.009073326855822295,0.5339853424017353,0.0015979012394282677,0.125,0.375,16,0.5743107497325646,0.1483507958235536,False,False,False
disclosed_only,"primary, drop NAM",True,y_full_p1,22,3,3,1.1270002240869932,0.3427721354346467,3.2878991831057642,0.08137308975124169,0.7465638482815864,0.1261105312707711,2.1278899169032153,-0.3478292401229417,2.6018296882969283,0.4611562442127679,0.025059316149727673,0.21285849176745905,4.929099227690692e-05,0.2578581867258968,0.0003686663548574387,0.18414530794823458,0.00028311601526676,1.0,1.0,8,0.8029900620766357,0.24913776947579214,True,True,True
disclosed_only,"primary, drop EMEA",True,y_full_p1,14,3,2,1.2350241649067233,0.25546645083533404,4.834388863462869,0.04022355705784708,0.45470262232954184,0.4890658122034043,1.9809825176100424,0.1358407428606665,2.33420758695278,0.4540437072307676,0.021558267259856656,0.15672805893469094,1.3437611968258878e-05,0.17923045915637117,4.242177559521387e-05,0.1669713980488934,0.0003135558683797779,1.0,1.0,8,0.8781871752213057,0.4252445107221352,True,True,True
disclosed_only,"primary, drop LatAm",True,y_full_p1,16,3,2,-0.30222502486966096,0.1341849331791689,-2.252302234753275,0.15310616306165725,0.010451652667061717,-0.6940430948535622,0.08959304511424027,-0.8795761939042612,0.2751261441649393,1.339937644049565,0.8253458487826053,1.1214711008075609,0.7921308140335772,1.1662776839251758,0.7999218675784119,1.0960483241844152,0.7897360040855277,0.5,0.5,8,0.32641373681382124,0.004221561685192499,False,False,False
disclosed_only,"primary, drop APAC",True,y_full_p1,17,3,2,1.2472778236066189,0.2253878776738079,5.533917069895564,0.031136807167538194,0.3870424606728029,0.5891484708125707,1.905407176400667,0.27751205648097144,2.217043590732266,0.4305787031528646,0.01248561842967777,0.18888193761160355,1.7061755254843547e-05,0.20912762548479397,4.713420311519556e-05,0.1586021774177686,4.9385671009760657e-05,1.0,1.0,8,0.8882186567419513,0.39227194227030493,True,True,True
disclosed_only,"primary, 4Q24+ only (common window)",True,y_full_p1,21,4,3,1.2331599747667665,0.22127215380562862,5.573046375505556,0.011402823373458881,0.3693783591760149,0.712426178860755,1.7538937706727782,0.5289732264258754,1.9373467231076575,0.3696532369355357,0.004189207129309924,0.15324325267945896,5.138570180474034e-07,0.17036478728370594,1.9801022175247596e-06,0.12991981795808377,7.792517354920925e-05,0.5,0.75,16,0.9019609850272691,0.41022169438524636,True,True,True
disclosed_only,"EMEA alone, primary y (no FE possible)",False,y_full_p1,9,1,1,-0.16898231758673887,,,,,,,,,1.8205334919844578,0.9286470891272955,1.7997304413518738,0.9278250705109703,2.0845589073772524,0.9376602586070373,1.7997304413518738,0.9275030565093569,,,0,0.001229286006274699,,False,False,False
disclosed_only,"EMEA alone, upgrade-3 y (gap on mix), all 9",False,cpi_gap_p1_pp,9,1,1,-0.38136391497219896,,,,,,,,,1.9686956573241738,0.8519011397706766,1.9228632821122518,0.8484229291148953,2.189544765141284,0.8666581965611084,1.9228632821122515,0.8477331763958595,,,0,0.0053321464651738815,,False,False,False
disclosed_only,"EMEA alone, upgrade-3 y and window (n 7 replication)",False,cpi_gap_p1_pp,7,1,1,1.085196796156045,,,,,,,,,0.8771887883833394,0.2709696130585735,0.8836349649044302,0.2740606739189291,0.7857378077275987,0.22577960734074587,0.8836349649044302,0.26539398642062784,,,0,0.2343608190465195,,True,False,False
