q,mix_pp_monthly_qavg,mix_d12_monthly_qavg,n_months,quarter,mix_pp_published_q,mix_pp_q18,region_growth_pct,disclosed_exfx_emea_pct,is_disclosed,in_chained_sample,hicp_ea_cp112_pct,cpi_gap_pp,cpi_gap_d4_pp,d_quarter_lag4_ok,diff_vs_published_pp,diff_vs_q18_pp,mix_pp_panel_q,diff_vs_panel_pp
2021Q3,-0.3262715435698856,-1.734340688547964,3,3Q21,0.5591576079001959,-0.37102352158000507,29.826829103630796,,False,False,,,,True,-0.8854291514700814,0.044751978010119486,,
2021Q4,-0.7948458096574407,-3.313653989470644,3,4Q21,3.189159490720095,-0.5262689575923019,125.3485613289937,,False,False,,,,True,-3.9840053003775355,-0.2685768520651388,,
2022Q1,-3.211766095651799,-7.321984229864128,3,1Q22,1.7838184498233156,-3.2655461720314194,157.67008294165933,,False,False,8.533333333333333,,,True,-4.995584545475115,0.05378007637962057,,
2022Q2,-3.409639064604175,-4.603977604792198,3,2Q22,-0.9132204572746327,-2.9419116690238,152.68867282657789,,False,False,14.033333333333331,,,True,-2.4964186073295425,-0.4677273955803751,,
2022Q3,-0.9788119982819402,-0.6525404547120547,3,3Q22,0.0400917288646107,-0.9918684282186119,34.44802428592214,,False,False,14.833333333333334,,,True,-1.0189037271465509,0.013056429936671665,,
2022Q4,-1.208274330499411,-0.4134285208419704,3,4Q22,-0.6771089277443965,-1.232337598952471,36.09068016807668,,False,False,11.4,,,True,-0.5311654027550146,0.02406326845305995,,
2023Q1,-0.8819354405311711,2.3298306551206274,3,1Q23,-0.0661271214057457,-0.8606697908956518,32.9829488759974,13.5905,False,True,9.3,4.2905,,True,-0.8158083191254254,-0.021265649635519357,0.1921625618296785,-1.0740980023608495
2023Q2,-0.7260142937394298,2.683624770864745,3,2Q23,-0.418644517339295,-0.6851168193652835,25.06428805158073,6.4312,False,True,9.766666666666666,-3.335466666666666,,True,-0.30736977640013485,-0.04089747437414637,-0.2161386039394197,-0.5098756898000101
2023Q3,-0.35822623403570414,0.6205857642462361,3,3Q23,-0.2911572547543484,-0.356805715171038,13.41111488527717,6.0,True,True,7.766666666666666,-1.7666666666666657,,True,-0.06706897928135575,-0.0014205188646661537,0.1891313770869818,-0.5473576111226859
2023Q4,0.025578334673692638,1.2338526651731037,3,4Q23,-0.1379517534573104,0.021248080281655035,23.00029851437789,6.0,True,True,6.833333333333333,-0.833333333333333,,True,0.16353008813100303,0.004330254392037602,-0.1493188971033787,0.17489723177707134
2024Q1,0.5381534038218024,1.4200888443529738,3,1Q24,-0.0575832645620999,0.5876817555165115,29.03648703557764,5.0172,False,True,5.3,-0.28279999999999994,-4.5733,True,0.5957366683839024,-0.04952835169470904,-0.5527288744967218,1.0908822783185244
2024Q2,0.01888580773264185,0.7449001014720716,3,2Q24,-0.2459411620071683,0.003228529189103213,16.019564375188857,4.61,False,True,5.466666666666666,-0.8566666666666656,2.4788000000000006,True,0.2648269697398102,0.015657278543538638,-0.1849538439945619,0.20383965172720375
2024Q3,0.34292908494174174,0.7011553189774459,3,3Q24,0.1090130200918526,0.3710799438940038,19.19485031416078,4.6137,False,True,4.966666666666666,-0.3529666666666662,1.4136999999999995,True,0.23391606484988914,-0.028150858952262048,0.2105153467409026,0.13241373820083913
2024Q4,-0.26852910575078104,-0.2941074404244737,3,4Q24,-0.4656386927611722,-0.2798674132574508,16.945522244374065,6.0,True,True,5.066666666666666,0.9333333333333336,1.7666666666666666,True,0.19710958701039116,0.011338307506669754,-0.6165684150288397,0.3480393092780587
2025Q1,-0.10925843788196499,-0.6474118417037674,3,1Q25,-0.1334350542968043,-0.15324315339412253,5.895789542773952,4.0,True,True,4.533333333333334,-0.5333333333333341,-0.25053333333333416,True,0.024176616414839314,0.043984715512157546,-0.2009563099002353,0.09169787201827032
2025Q2,0.09677052240412154,0.07788471467147969,3,2Q25,-0.3742088988765268,0.10735329744613331,17.568073902882333,3.0,True,True,3.966666666666667,-0.9666666666666668,-0.11000000000000121,True,0.47097942128064835,-0.010582775042011772,-0.5089050635321835,0.605675585936305
2025Q3,-0.04832502589638965,-0.3912541108381314,3,3Q25,-0.0145876211851248,-0.03334896943688603,9.797712650411228,4.0,True,True,2.8333333333333335,1.1666666666666665,1.5196333333333327,True,-0.03373740471126485,-0.014976056459503617,0.1720687118009101,-0.22039373769729975
2025Q4,-0.1748489492044314,0.09368015654634965,3,4Q25,-0.3490716788308368,-0.17892330726773098,10.131156312944315,4.0,True,True,3.3333333333333335,0.6666666666666665,-0.26666666666666705,True,0.1742227296264054,0.004074358063299588,-0.062853344507574,-0.11199560469685739
2026Q1,-0.133806632384618,-0.024548194502653036,3,1Q26,-0.3239562573144172,-0.1107578099070361,9.285871814467884,4.0,True,True,3.933333333333333,0.06666666666666687,0.600000000000001,True,0.19014962492979917,-0.023048822477581915,-0.2840655080508458,0.15025887566622778
