rule,quarter,exfx_pct,fx_pp,reported_pct,adr_usd,gbv_busd,vs_base_usd
base + sub-regional + composition tilt B (EMEA 5 / LatAm 30 / APAC 25) — retired by upgrade 2,2Q27,2.5109183409894045,-0.4269361495661503,2.0839821914232544,187.55890048030193,29.465503265455432,-0.8187095320195112
lap-only (K4 residual steps): every 2025-26 residual step laps at its anniversary,3Q26,2.9107321938801745,0.4152814166247513,3.326013610504926,176.9871287134339,25.9817104951321,-0.6940932280614902
lap-only (K4 residual steps): every 2025-26 residual step laps at its anniversary,4Q26,1.9907477875854422,0.5136690253172425,2.5044168129026847,171.70514860329325,22.630738585914052,-1.3289010132525618
lap-only (K4 residual steps): every 2025-26 residual step laps at its anniversary,1Q27,0.9435507506529328,-0.369013484663626,0.5745372659893069,187.8933505203212,31.757734104944692,-2.7524683365520843
lap-only (K4 residual steps): every 2025-26 residual step laps at its anniversary,2Q27,1.0131966735975089,-0.4269361495661503,0.5862605240313585,184.8071364608028,29.03320113799212,-3.5704735515186314
"card v3: last_q residual carry, no lap (card geo)",3Q26,3.6912663764864893,0.4152814166247513,4.106547793111241,178.32410571482023,26.177978718935613,0.6428837733248542
"card v3: last_q residual carry, no lap (card geo)",4Q26,3.6912663764864893,0.5136690253172425,4.2049354018037315,174.55368729156143,23.0061759850278,1.5196376750156162
"card v3: last_q residual carry, no lap (card geo)",1Q27,3.6088363764864893,-0.369013484663626,3.2398228918228633,192.87263712650343,32.59933312712161,2.2268182696301437
"card v3: last_q residual carry, no lap (card geo)",2Q27,3.6088363764864893,-0.4269361495661503,3.181900226920339,189.57610528692072,29.782406140575244,1.1984952745992814
full lap: ex-NA RNPL sized at the 1H26 residual steps,3Q26,3.3159474592555536,0.4152814166247513,3.731228875880305,177.68122194149538,26.08360338101152,0.0
full lap: ex-NA RNPL sized at the 1H26 residual steps,4Q26,2.784074164071932,0.5136690253172425,3.297743189389174,173.03404961654581,22.80588773946074,0.0
full lap: ex-NA RNPL sized at the 1H26 residual steps,1Q27,1.9568771271394225,-0.369013484663626,1.5878636424757966,189.78644685687328,32.077705247748725,-0.8593720000000076
full lap: ex-NA RNPL sized at the 1H26 residual steps,2Q27,1.8065230500839986,-0.4269361495661503,1.3795869005178483,186.26471501232143,29.262186728435697,-2.112895000000009
core mean reversion to the 2023-25 mean,3Q26,1.8646210827690641,0.4152814166247513,2.2799024993938155,175.19524499121164,25.71866196470987,-2.4859769502837423
core mean reversion to the 2023-25 mean,4Q26,1.3327477875854425,0.5136690253172425,1.846416812902685,170.6029328032933,22.48546654347406,-2.4311168132525154
core mean reversion to the 2023-25 mean,1Q27,0.9655507506529332,-0.369013484663626,0.5965372659893071,187.93445092032124,31.764680894552697,-2.711367936552051
core mean reversion to the 2023-25 mean,2Q27,1.505196673597509,-0.4269361495661503,1.0782605240313587,185.71108806080278,29.175211934352117,-2.6665219515186607
AR(1) on core (K4 rho 0.747),3Q26,3.0920678860044712,0.4152814166247513,3.5073493026292226,177.29773862047358,26.027308029485525,-0.3834833210217994
AR(1) on core (K4 rho 0.747),4Q26,2.392956549602292,0.5136690253172425,2.906625574919534,172.3788885005477,22.71953750437219,-0.6551611159981121
AR(1) on core (K4 rho 0.747),1Q27,1.9008326958795196,-0.369013484663626,1.5318192112158937,189.68174465039354,32.06000848080952,-0.9640742064797507
AR(1) on core (K4 rho 0.747),2Q27,2.3471582866817693,-0.4269361495661503,1.920222137115619,187.25802413252254,29.41823559121929,-1.1195858797989047
base + fee-migration K line (DEC-0008 sensitivity),3Q26,3.4874474592555536,0.4152814166247513,3.902728875880305,177.97498429149536,26.12672769399152,0.2937623499999802
base + fee-migration K line (DEC-0008 sensitivity),4Q26,3.158574164071932,0.5136690253172425,3.6722431893891745,173.6613745665458,22.888569167870738,0.6273249499999736
base + fee-migration K line (DEC-0008 sensitivity),1Q27,2.7619771271394224,-0.369013484663626,2.3929636424757965,191.29053467687325,32.331926171085115,0.6447158199999592
base + fee-migration K line (DEC-0008 sensitivity),2Q27,3.2673230500839985,-0.4269361495661503,2.8403869005178484,188.94864285232143,29.683831792099696,0.5710328399999867
