name,full_name,created_at,pushed_at,updated_at,language,stargazers_count,forks_count,open_issues_count,archived,fork,size,description,html_url,license
istio,airbnb/istio,2019-10-08T04:50:34Z,2026-06-25T20:13:37Z,2026-01-14T19:25:36Z,Go,13,5,1,False,True,279601,"Connect, secure, control, and observe services.",https://github.com/airbnb/istio,Apache-2.0
ResilientDecoding,airbnb/ResilientDecoding,2020-04-08T22:57:54Z,2026-06-23T21:57:18Z,2026-07-14T13:46:32Z,Swift,603,27,1,False,False,113,This package makes your Decodable types resilient to decoding errors and allows you to inspect those errors.,https://github.com/airbnb/ResilientDecoding,MIT
visx,airbnb/visx,2017-03-15T16:25:41Z,2026-06-22T14:25:22Z,2026-09-14T07:38:22Z,TypeScript,21047,770,149,False,False,16763,🐯 visx | visualization components,https://github.com/airbnb/visx,MIT
puppet-munki,airbnb/puppet-munki,2017-09-07T00:25:30Z,2026-06-17T19:59:17Z,2026-06-17T19:59:58Z,Puppet,30,18,0,False,False,119,,https://github.com/airbnb/puppet-munki,NOASSERTION
lottie-spm,airbnb/lottie-spm,2023-01-11T19:45:24Z,2026-06-13T20:18:45Z,2026-09-01T04:08:03Z,Ruby,200,41,0,False,False,76,"Swift Package Manager support for Lottie, an iOS library to natively render After Effects vector animations",https://github.com/airbnb/lottie-spm,Apache-2.0
omniduct,airbnb/omniduct,2017-02-22T23:35:26Z,2026-04-22T06:56:09Z,2026-08-14T00:41:50Z,Python,258,47,9,False,False,553,"A toolkit providing a uniform interface for connecting to and extracting data from a wide variety of (potentially remote) data stores (including HDFS, Hive, Presto, MySQL, etc).",https://github.com/airbnb/omniduct,MIT
DeepLinkDispatch,airbnb/DeepLinkDispatch,2015-06-11T21:16:48Z,2026-04-20T22:31:36Z,2026-09-13T11:04:12Z,Kotlin,4415,414,52,False,False,3026,"A simple, annotation-based library for making deep link handling better on Android",https://github.com/airbnb/DeepLinkDispatch,
javascript,airbnb/javascript,2012-11-01T23:13:50Z,2026-04-16T19:24:09Z,2026-09-14T06:26:19Z,JavaScript,148226,26585,164,False,False,3738,JavaScript Style Guide,https://github.com/airbnb/javascript,MIT
Showkase,airbnb/Showkase,2020-04-22T01:25:24Z,2026-03-27T19:29:46Z,2026-09-10T10:05:49Z,Kotlin,2320,121,68,False,False,122056,"🔦 Showkase is an annotation-processor based Android library that helps you organize, discover, search and visualize Jetpack Compose UI elements",https://github.com/airbnb/Showkase,Apache-2.0
lottie,airbnb/lottie,2017-06-21T01:10:05Z,2026-03-25T21:31:47Z,2026-09-10T06:25:42Z,HTML,4949,334,34,False,False,85205,Lottie documentation for http://airbnb.io/lottie.,https://github.com/airbnb/lottie,MIT
go-buildkite,airbnb/go-buildkite,2026-02-24T18:35:50Z,2026-02-24T11:18:19Z,2026-09-11T13:23:43Z,,1,0,0,False,True,829,A Go library for the Buildkite API,https://github.com/airbnb/go-buildkite,BSD-2-Clause
buildkite-mcp-server,airbnb/buildkite-mcp-server,2026-02-24T18:36:17Z,2026-02-23T23:17:47Z,2026-02-24T18:36:17Z,,0,0,0,False,True,963,Official MCP Server for Buildkite.,https://github.com/airbnb/buildkite-mcp-server,MIT
agent-stack-k8s,airbnb/agent-stack-k8s,2026-02-24T18:36:41Z,2026-02-23T08:07:26Z,2026-02-24T18:36:41Z,,0,0,0,False,True,3480,Spin up an autoscaling stack of Buildkite Agents on Kubernetes,https://github.com/airbnb/agent-stack-k8s,MIT
lottie-android,airbnb/lottie-android,2016-10-06T22:42:42Z,2026-02-15T22:03:57Z,2026-09-14T10:27:08Z,Java,35725,5428,72,False,False,137398,"Render After Effects animations natively on Android and iOS, Web, and React Native",https://github.com/airbnb/lottie-android,Apache-2.0
tbl-diff,airbnb/tbl-diff,2025-01-14T01:48:47Z,2026-02-15T17:01:23Z,2026-03-04T18:45:46Z,Python,0,1,0,False,False,33,,https://github.com/airbnb/tbl-diff,Apache-2.0
mavericks,airbnb/mavericks,2018-07-02T22:11:45Z,2026-02-07T00:18:41Z,2026-09-12T12:20:22Z,Kotlin,5929,510,61,False,False,38768,Mavericks: Android on Autopilot,https://github.com/airbnb/mavericks,Apache-2.0
epoxy,airbnb/epoxy,2016-08-08T23:05:11Z,2026-01-23T23:35:25Z,2026-09-13T16:20:54Z,Java,8552,734,312,False,False,34179,Epoxy is an Android library for building complex screens in a RecyclerView,https://github.com/airbnb/epoxy,Apache-2.0
ts-migrate,airbnb/ts-migrate,2019-12-05T23:36:40Z,2026-01-22T00:09:47Z,2026-09-14T05:54:19Z,TypeScript,5617,233,56,False,False,1562,A tool to help migrate JavaScript code quickly and conveniently to TypeScript,https://github.com/airbnb/ts-migrate,MIT
billow,airbnb/billow,2013-05-15T23:02:42Z,2026-01-20T18:04:16Z,2026-09-09T06:24:25Z,Java,42,26,11,False,False,113,Query AWS data without API credentials. Don't wait for a response.,https://github.com/airbnb/billow,Apache-2.0
ruby,airbnb/ruby,2013-02-01T21:49:13Z,2025-12-19T06:38:30Z,2026-09-05T09:26:57Z,Ruby,3893,756,17,False,False,399,Ruby Style Guide,https://github.com/airbnb/ruby,MIT
copybara-action,airbnb/copybara-action,2025-11-06T16:50:24Z,2025-11-07T16:22:58Z,2025-12-19T14:20:03Z,TypeScript,1,1,0,False,True,6156,Transform and move code between repositories. Start with ZERO config and 100% customizable.,https://github.com/airbnb/copybara-action,Apache-2.0
polyglot.js,airbnb/polyglot.js,2012-09-27T19:10:37Z,2025-11-06T00:54:17Z,2026-09-09T08:55:31Z,JavaScript,3723,205,15,False,False,737,Give your JavaScript the ability to speak many languages.,https://github.com/airbnb/polyglot.js,BSD-2-Clause
AirMapView,airbnb/AirMapView,2015-02-18T17:50:15Z,2025-11-06T00:54:12Z,2026-09-10T12:37:59Z,Java,1878,212,26,False,False,8655,A view abstraction to provide a map user interface with various underlying map providers,https://github.com/airbnb/AirMapView,Apache-2.0
native-navigation,airbnb/native-navigation,2016-09-16T17:16:56Z,2025-11-06T00:54:10Z,2026-07-09T07:05:33Z,Java,3120,173,61,False,False,1681,Native navigation library for React Native applications,https://github.com/airbnb/native-navigation,MIT
react-sketchapp,airbnb/react-sketchapp,2017-04-21T18:27:39Z,2025-11-06T00:54:06Z,2026-09-10T20:23:25Z,TypeScript,14861,797,36,False,False,4428,render React components to Sketch ⚛️💎,https://github.com/airbnb/react-sketchapp,MIT
lunar,airbnb/lunar,2019-02-21T00:34:27Z,2025-11-06T00:53:57Z,2026-08-10T09:43:16Z,TypeScript,473,74,18,False,False,44217,🌗 React toolkit and design language for Airbnb open source and internal projects.,https://github.com/airbnb/lunar,MIT
aerosolve,airbnb/aerosolve,2015-05-12T19:11:57Z,2025-11-06T00:53:40Z,2026-09-12T15:28:57Z,Scala,4807,563,10,False,False,6891,A machine learning package built for humans.,https://github.com/airbnb/aerosolve,Apache-2.0
labelbox-custom-ui,airbnb/labelbox-custom-ui,2021-08-06T14:36:43Z,2025-11-05T21:44:56Z,2025-11-05T21:45:00Z,JavaScript,2,6,0,False,False,13004,,https://github.com/airbnb/labelbox-custom-ui,
paris,airbnb/paris,2017-12-18T20:13:09Z,2025-11-03T21:19:37Z,2026-09-10T06:09:23Z,Kotlin,1908,86,54,False,False,28240,Define and apply styles to Android views programmatically,https://github.com/airbnb/paris,Apache-2.0
lottie-web,airbnb/lottie-web,2015-02-20T21:02:59Z,2025-09-01T09:01:31Z,2026-09-14T09:39:17Z,JavaScript,32092,2942,857,False,False,358131,"Render After Effects animations natively on Web, Android and iOS, and React Native. http://airbnb.io/lottie/",https://github.com/airbnb/lottie-web,MIT
retrofit,airbnb/retrofit,2015-04-15T23:41:52Z,2025-06-03T22:46:41Z,2026-07-16T18:51:00Z,Java,11,5,0,False,True,6549,"Type-safe REST client for Android and Java by Square, Inc.",https://github.com/airbnb/retrofit,Apache-2.0
stemcell,airbnb/stemcell,2013-02-21T20:14:49Z,2024-11-21T21:26:15Z,2026-08-20T20:51:00Z,Ruby,185,34,2,False,False,353,Airbnb's EC2 instance creation and bootstrapping tool,https://github.com/airbnb/stemcell,MIT
node-memwatch,airbnb/node-memwatch,2018-03-15T13:32:57Z,2024-11-08T00:19:01Z,2026-09-02T07:26:28Z,C++,317,32,3,False,True,118,"A NodeJS library to keep an eye on your memory usage, and discover and isolate leaks.",https://github.com/airbnb/node-memwatch,
knowledge-repo,airbnb/knowledge-repo,2016-08-17T23:32:50Z,2024-09-04T14:59:57Z,2026-09-13T13:41:00Z,Python,5540,680,137,False,False,77586,A next-generation curated knowledge sharing platform for data scientists and other technical professions.,https://github.com/airbnb/knowledge-repo,Apache-2.0
autoscaler,airbnb/autoscaler,2021-04-23T21:20:38Z,2024-08-24T00:48:20Z,2022-08-01T18:40:04Z,Go,7,6,2,False,True,261621,Autoscaling components for Kubernetes,https://github.com/airbnb/autoscaler,Apache-2.0
babel-plugin-inline-react-svg,airbnb/babel-plugin-inline-react-svg,2016-09-19T16:55:26Z,2024-07-22T18:23:52Z,2026-08-20T20:51:30Z,JavaScript,474,90,34,False,False,124,A babel plugin that optimizes and inlines SVGs for your React Components.,https://github.com/airbnb/babel-plugin-inline-react-svg,MIT
SpinalTap,airbnb/SpinalTap,2018-02-20T19:42:30Z,2024-06-24T19:38:17Z,2026-05-28T17:23:33Z,Java,450,62,1,False,False,623,Change Data Capture (CDC) service,https://github.com/airbnb/SpinalTap,Apache-2.0
react-component-variations,airbnb/react-component-variations,2017-10-17T21:02:01Z,2024-06-12T20:32:00Z,2026-08-20T20:51:40Z,JavaScript,33,11,1,True,False,250,,https://github.com/airbnb/react-component-variations,MIT
react-component-variations-consumer-enzyme,airbnb/react-component-variations-consumer-enzyme,2018-05-18T21:59:15Z,2024-06-12T20:31:53Z,2026-08-20T20:51:46Z,JavaScript,2,3,0,True,False,16,enzyme consumer for react-component-variations,https://github.com/airbnb/react-component-variations-consumer-enzyme,MIT
babel-plugin-dynamic-import-webpack,airbnb/babel-plugin-dynamic-import-webpack,2016-10-17T03:24:19Z,2024-06-04T00:44:43Z,2026-08-20T20:51:31Z,JavaScript,494,32,9,True,False,62,"Babel plugin to transpile import() to require.ensure, for Webpack",https://github.com/airbnb/babel-plugin-dynamic-import-webpack,MIT
css,airbnb/css,2015-06-29T19:05:55Z,2024-06-04T00:44:40Z,2026-09-08T12:35:40Z,,6970,1392,23,False,False,60,A mostly reasonable approach to CSS and Sass.,https://github.com/airbnb/css,MIT
mocha-wrap,airbnb/mocha-wrap,2016-02-20T01:42:29Z,2024-06-04T00:44:24Z,2026-08-20T20:51:23Z,JavaScript,54,10,3,True,False,78,Fluent pluggable interface for easily wrapping `describe` and `it` blocks in Mocha tests.,https://github.com/airbnb/mocha-wrap,MIT
react-create-hoc,airbnb/react-create-hoc,2018-05-14T20:31:22Z,2024-06-04T00:33:32Z,2026-08-20T20:51:46Z,JavaScript,66,8,0,True,False,39,Create a React Higher-Order Component (HOC) following best practices.,https://github.com/airbnb/react-create-hoc,MIT
react-outside-click-handler,airbnb/react-outside-click-handler,2018-05-03T18:34:53Z,2024-05-02T13:05:24Z,2026-08-20T20:51:45Z,JavaScript,611,64,13,False,False,269,OutsideClickHandler component for React.,https://github.com/airbnb/react-outside-click-handler,MIT
rheostat,airbnb/rheostat,2015-12-02T22:28:26Z,2024-04-12T15:02:04Z,2026-09-09T08:58:32Z,JavaScript,1686,185,67,False,False,1227,"Rheostat is a www, mobile, and accessible slider component built with React",https://github.com/airbnb/rheostat,MIT
react-with-styles,airbnb/react-with-styles,2016-08-23T17:49:48Z,2024-04-12T15:00:31Z,2026-09-10T23:38:54Z,JavaScript,1688,101,32,False,False,325,Use CSS-in-JavaScript with themes for React without being tightly coupled to one implementation,https://github.com/airbnb/react-with-styles,MIT
puppet-crypt,airbnb/puppet-crypt,2017-09-11T23:48:24Z,2024-02-26T19:11:39Z,2024-02-26T19:15:36Z,Puppet,10,5,1,False,False,27,,https://github.com/airbnb/puppet-crypt,Apache-2.0
.github,airbnb/.github,2020-10-20T20:01:19Z,2024-02-15T07:47:41Z,2026-08-20T20:52:10Z,,5,16,1,False,False,1,.github files that are inherited by all org repos unless specifically included in a repo,https://github.com/airbnb/.github,
nerve,airbnb/nerve,2013-01-07T23:16:00Z,2024-02-07T14:00:20Z,2026-06-29T13:12:04Z,Ruby,943,149,15,False,False,391,A service registration daemon that performs health checks; companion to airbnb/synapse,https://github.com/airbnb/nerve,MIT
BuckSample,airbnb/BuckSample,2017-06-29T01:07:24Z,2023-12-22T20:46:29Z,2026-06-04T23:34:17Z,Objective-C,469,63,21,False,False,227294,An example app showing how Buck can be used to build a simple iOS app.,https://github.com/airbnb/BuckSample,
sparsam,airbnb/sparsam,2017-06-30T17:17:18Z,2023-12-18T19:58:16Z,2026-08-20T20:51:07Z,C++,121,23,2,False,False,347,Fast Thrift Bindings for Ruby,https://github.com/airbnb/sparsam,NOASSERTION
binaryalert,airbnb/binaryalert,2017-07-12T21:27:13Z,2023-12-12T18:28:30Z,2026-08-25T13:51:13Z,Python,1455,179,43,False,False,39874,"BinaryAlert: Serverless, Real-time & Retroactive Malware Detection.",https://github.com/airbnb/binaryalert,Apache-2.0
gosal,airbnb/gosal,2017-05-22T23:48:12Z,2023-10-25T11:15:15Z,2026-08-20T20:51:07Z,Go,35,18,3,False,False,129,A Sal client written in Go,https://github.com/airbnb/gosal,Apache-2.0
babel-preset-airbnb,airbnb/babel-preset-airbnb,2015-11-10T04:06:34Z,2023-10-25T08:54:51Z,2026-08-20T20:51:21Z,JavaScript,227,38,3,False,False,127,A babel preset for transforming your JavaScript for Airbnb,https://github.com/airbnb/babel-preset-airbnb,MIT
streamalert,airbnb/streamalert,2017-01-22T01:10:56Z,2023-10-23T17:15:34Z,2026-09-03T12:20:21Z,Python,2890,324,90,False,False,44430,"StreamAlert is a serverless, realtime data analysis framework which empowers you to ingest, analyze, and alert on data from any environment, using datasources and alerting logic you define.",https://github.com/airbnb/streamalert,Apache-2.0
synapse,airbnb/synapse,2012-11-09T03:03:06Z,2023-10-21T11:47:30Z,2026-09-12T06:13:41Z,Ruby,2060,248,46,False,False,915,A transparent service discovery framework for connecting an SOA,https://github.com/airbnb/synapse,MIT
hypernova-node,airbnb/hypernova-node,2016-06-01T00:45:14Z,2023-10-09T19:20:08Z,2026-08-20T20:51:28Z,JavaScript,74,20,9,True,False,82,node.js client for Hypernova,https://github.com/airbnb/hypernova-node,MIT
hypernova,airbnb/hypernova,2016-06-01T00:34:24Z,2023-10-09T17:55:43Z,2026-09-09T08:59:13Z,JavaScript,5781,216,48,True,False,306,A service for server-side rendering your JavaScript views,https://github.com/airbnb/hypernova,MIT
hypernova-react,airbnb/hypernova-react,2016-06-03T20:08:13Z,2023-10-09T17:54:21Z,2026-08-20T20:51:28Z,JavaScript,247,42,11,True,False,79,React bindings for Hypernova.,https://github.com/airbnb/hypernova-react,MIT
hypernova-ruby,airbnb/hypernova-ruby,2016-06-01T00:41:57Z,2023-10-09T13:18:27Z,2026-08-20T20:51:28Z,Ruby,142,51,11,True,False,50,Ruby client for Hypernova.,https://github.com/airbnb/hypernova-ruby,MIT
hypernova-aphrodite,airbnb/hypernova-aphrodite,2016-06-16T23:18:16Z,2023-10-07T03:31:01Z,2026-08-20T20:51:28Z,JavaScript,20,22,11,True,False,117,,https://github.com/airbnb/hypernova-aphrodite,MIT
hypernova-amp,airbnb/hypernova-amp,2017-01-31T22:58:07Z,2023-10-06T23:04:43Z,2025-12-20T08:36:45Z,JavaScript,20,11,0,True,False,41,,https://github.com/airbnb/hypernova-amp,MIT
superset-fork,airbnb/superset-fork,2018-01-18T18:28:14Z,2023-09-12T22:10:32Z,2025-08-28T07:07:04Z,JavaScript,102,18,0,True,True,449412,"Apache Superset (incubating) is a modern, enterprise-ready business intelligence web application",https://github.com/airbnb/superset-fork,Apache-2.0
plog-ruby,airbnb/plog-ruby,2014-02-07T03:13:22Z,2023-03-17T15:27:11Z,2023-05-30T19:16:44Z,Ruby,4,6,0,False,False,26,"Ruby client for Plog, the Kafka forwarder",https://github.com/airbnb/plog-ruby,
nimbus,airbnb/nimbus,2019-08-21T22:56:18Z,2023-03-04T02:27:24Z,2026-07-06T08:15:57Z,TypeScript,118,11,12,False,False,3562,Centralized CLI for JavaScript and TypeScript developer tools.,https://github.com/airbnb/nimbus,MIT
eslint-plugin-react-with-styles,airbnb/eslint-plugin-react-with-styles,2016-08-30T04:18:05Z,2023-03-04T02:12:48Z,2026-08-20T20:51:29Z,JavaScript,48,14,15,False,False,76,ESLint plugin for react-with-styles,https://github.com/airbnb/eslint-plugin-react-with-styles,MIT
react-with-direction,airbnb/react-with-direction,2017-08-08T23:15:17Z,2023-03-04T02:10:44Z,2026-09-10T19:31:52Z,JavaScript,189,31,9,False,False,49,Components to provide and consume RTL or LTR direction in React,https://github.com/airbnb/react-with-direction,MIT
moshi,airbnb/moshi,2018-10-22T22:51:30Z,2023-03-04T02:06:28Z,2026-08-20T20:51:49Z,Java,9,7,0,False,True,1945,A modern JSON library for Android and Java.,https://github.com/airbnb/moshi,Apache-2.0
bossbat,airbnb/bossbat,2016-12-24T02:10:02Z,2023-03-04T02:04:23Z,2026-01-27T12:40:44Z,JavaScript,118,16,2,False,False,71,"Stupid simple distributed job scheduling in node, backed by redis.",https://github.com/airbnb/bossbat,MIT
jest-wrap,airbnb/jest-wrap,2017-02-11T08:14:29Z,2023-03-04T02:02:18Z,2026-08-20T20:51:33Z,JavaScript,40,10,2,False,False,74,Fluent pluggable interface for easily wrapping `describe` and `it` blocks in Jest tests.,https://github.com/airbnb/jest-wrap,MIT
react-with-styles-interface-css,airbnb/react-with-styles-interface-css,2017-05-19T21:32:16Z,2023-03-04T02:00:14Z,2026-08-20T20:51:35Z,JavaScript,32,11,3,False,False,127,:page_with_curl: CSS interface for react-with-styles,https://github.com/airbnb/react-with-styles-interface-css,MIT
is-touch-device,airbnb/is-touch-device,2017-06-17T19:07:14Z,2023-03-04T01:56:04Z,2026-08-20T20:51:36Z,JavaScript,91,9,2,False,False,22,Is the current JS environment a touch device?,https://github.com/airbnb/is-touch-device,MIT
react-with-styles-interface-aphrodite,airbnb/react-with-styles-interface-aphrodite,2016-08-29T20:53:34Z,2023-03-04T01:53:59Z,2026-08-20T20:51:29Z,JavaScript,55,15,10,False,False,148,Interface to use react-with-styles with Aphrodite,https://github.com/airbnb/react-with-styles-interface-aphrodite,MIT
js-shims,airbnb/js-shims,2016-03-24T07:29:34Z,2023-03-04T01:47:45Z,2026-08-20T20:51:24Z,JavaScript,123,18,0,False,False,84,JS language shims used by Airbnb.,https://github.com/airbnb/js-shims,MIT
babel-plugin-dynamic-import-node,airbnb/babel-plugin-dynamic-import-node,2016-10-26T18:50:00Z,2023-03-04T01:43:36Z,2026-08-20T20:51:31Z,JavaScript,574,47,6,False,False,113,"Babel plugin to transpile import() to a deferred require(), for node",https://github.com/airbnb/babel-plugin-dynamic-import-node,MIT
react-with-styles-interface-react-native,airbnb/react-with-styles-interface-react-native,2016-08-29T20:55:18Z,2023-03-04T01:39:26Z,2026-08-20T20:51:29Z,JavaScript,62,15,12,False,False,148,Interface to use react-with-styles with React Native,https://github.com/airbnb/react-with-styles-interface-react-native,MIT
browser-shims,airbnb/browser-shims,2016-08-17T22:22:55Z,2023-03-04T01:31:05Z,2026-08-20T20:51:29Z,JavaScript,116,13,0,False,False,80,Browser and JS shims used by Airbnb.,https://github.com/airbnb/browser-shims,MIT
react-with-styles-interface-amp-aphrodite,airbnb/react-with-styles-interface-amp-aphrodite,2018-02-06T22:00:16Z,2023-03-04T01:29:00Z,2026-08-20T20:51:43Z,JavaScript,3,3,0,False,False,30,A react-with-styles interface that uses Aphrodite and supports Amp-rendered pages,https://github.com/airbnb/react-with-styles-interface-amp-aphrodite,MIT
deline,airbnb/deline,2016-10-17T20:25:07Z,2023-03-04T01:20:40Z,2026-08-20T20:51:31Z,JavaScript,65,12,0,False,False,26,An ES6 template tag that strips unwanted newlines from strings.,https://github.com/airbnb/deline,MIT
pool-hall,airbnb/pool-hall,2018-06-11T21:36:56Z,2023-03-04T01:18:36Z,2026-08-20T20:51:46Z,JavaScript,28,5,2,False,False,24,,https://github.com/airbnb/pool-hall,MIT
airbnb-spark-thrift,airbnb/airbnb-spark-thrift,2017-04-20T21:06:10Z,2023-03-04T01:16:31Z,2026-08-13T07:17:00Z,Scala,43,11,3,False,False,52,A library for loadling Thrift data into Spark SQL,https://github.com/airbnb/airbnb-spark-thrift,Apache-2.0
log4jdbc-log4j2,airbnb/log4jdbc-log4j2,2018-01-17T18:33:23Z,2023-03-04T01:10:16Z,2022-10-07T05:08:39Z,Java,4,1,0,False,True,3837,Automatically exported from code.google.com/p/log4jdbc-log4j2,https://github.com/airbnb/log4jdbc-log4j2,
backpack,airbnb/backpack,2012-02-06T23:09:49Z,2023-03-04T01:08:10Z,2026-04-08T21:05:29Z,HTML,222,25,1,False,False,1433,A pack of UI components for Backbone projects. Grab your backpack and enjoy the Views.,https://github.com/airbnb/backpack,NOASSERTION
camus,airbnb/camus,2013-11-07T18:22:15Z,2023-03-04T01:06:06Z,2024-01-28T18:03:23Z,Java,15,10,0,False,True,46144,Kafka to HDFS pipeline,https://github.com/airbnb/camus,
react-native-push-notification,airbnb/react-native-push-notification,2016-03-30T18:13:09Z,2023-03-04T01:04:00Z,2026-08-20T20:51:25Z,Java,62,7,0,False,True,25,React Native Local and Remote Notifications,https://github.com/airbnb/react-native-push-notification,MIT
honeypot,airbnb/honeypot,2016-01-17T21:38:40Z,2023-03-04T01:01:55Z,2021-07-06T13:49:00Z,JavaScript,8,3,0,False,True,560,Hive log parser and visualizer that plugs into Airflow,https://github.com/airbnb/honeypot,Apache-2.0
okhttp,airbnb/okhttp,2015-08-06T20:57:46Z,2023-03-04T00:59:50Z,2026-07-16T18:18:24Z,Java,7,4,0,False,True,10066,An HTTP+SPDY client for Android and Java applications.,https://github.com/airbnb/okhttp,Apache-2.0
node-spotify-web,airbnb/node-spotify-web,2015-07-15T19:57:10Z,2023-03-04T00:57:44Z,2023-03-21T10:39:41Z,JavaScript,30,3,0,False,True,266,Node.js implementation of the Spotify Web protocol,https://github.com/airbnb/node-spotify-web,MIT
jmxtrans,airbnb/jmxtrans,2014-09-10T21:18:20Z,2023-03-04T00:55:39Z,2019-07-03T20:48:02Z,Java,9,4,0,False,True,17759,jmxtrans,https://github.com/airbnb/jmxtrans,MIT
Backbone-relational,airbnb/Backbone-relational,2014-11-25T10:20:49Z,2023-03-04T00:53:33Z,2022-10-30T20:42:22Z,JavaScript,20,10,0,False,True,2165,"Get and set relations (one-to-one, one-to-many, many-to-one) for Backbone models",https://github.com/airbnb/Backbone-relational,MIT
brace,airbnb/brace,2014-10-20T22:21:02Z,2023-03-04T00:51:27Z,2025-06-05T06:04:46Z,JavaScript,8,6,0,False,True,4561,browserify compatible version of the ace editor.,https://github.com/airbnb/brace,MIT
hadoop,airbnb/hadoop,2013-12-05T01:58:14Z,2023-03-04T00:49:22Z,2019-07-03T20:47:41Z,Java,5,5,0,False,True,999,Hadoop on Mesos,https://github.com/airbnb/hadoop,
storm-kafka-0.8-plus,airbnb/storm-kafka-0.8-plus,2013-11-25T23:01:35Z,2023-03-04T00:47:17Z,2019-07-03T20:47:40Z,Java,6,4,0,False,True,476,,https://github.com/airbnb/storm-kafka-0.8-plus,Apache-2.0
chancery,airbnb/chancery,2013-04-25T17:35:32Z,2023-03-04T00:45:12Z,2023-10-27T07:56:49Z,Java,18,18,0,False,False,392,Automate on Github pushes,https://github.com/airbnb/chancery,Apache-2.0
squash-java,airbnb/squash-java,2013-04-25T21:35:19Z,2023-03-04T00:43:07Z,2023-11-25T04:21:00Z,Java,9,6,0,False,True,128,The Squash client library for Java projects.,https://github.com/airbnb/squash-java,Apache-2.0
