feature,target,window,n,n_expected,rmse,interval_n,interval_rmse,n_required_baseline_common,required_ledger_ratio,required_ledger_status,raw_ledger_diagnostic_n,raw_ledger_diagnostic_ratio,stable_sign,slope_min,slope_max,excluded_quarters,common_raw_quarters,verdict,promoted,same_cells_warning
ntto_arrivals,gbv_yoy,W2,0,10,,0,,0,,no baseline exists,0,,False,,,2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,,underpowered,False,
ntto_arrivals,R_musd,W1,0,14,,0,,0,,no baseline exists,0,,False,,,2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,,underpowered,False,
ntto_arrivals,R_musd,W2,0,10,,0,,0,,no baseline exists,0,,False,,,2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,,underpowered,False,
reviews_stays,gbv_yoy,W1,0,14,,0,,0,,no baseline exists,0,,False,,,2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,,underpowered,False,
reviews_stays,gbv_yoy,W2,0,10,,0,,0,,no baseline exists,0,,False,,,2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,,underpowered,False,
reviews_stays,R_musd,W1,0,14,,0,,0,,no baseline exists,0,,False,,,2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,,underpowered,False,
reviews_stays,R_musd,W2,0,10,,0,,0,,no baseline exists,0,,False,,,2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,,underpowered,False,
hotel_revpar,gbv_yoy,W1,14,14,5.711853238930085,13,5.286319523362367,0,,no baseline exists,3,3.708879321746121,True,0.44867296737326007,0.5261839802271908,,2025Q4;2026Q1;2026Q2,underpowered,False,vacuous across windows: identical common cells
hotel_revpar,gbv_yoy,W2,10,10,5.0861019713858155,9,4.7447558615383585,0,,no baseline exists,3,3.708879321746121,True,0.44867296737326007,0.4963857744062337,,2025Q4;2026Q1;2026Q2,underpowered,False,vacuous across windows: identical common cells
hotel_revpar,R_musd,W1,14,14,264.2065068182862,0,,0,,no baseline exists,3,0.762520195695015,True,-7.145995637418281,-1.8397547399895697,,2025Q4;2026Q1;2026Q2,underpowered,False,vacuous across windows: identical common cells
hotel_revpar,R_musd,W2,10,10,242.48098810806928,0,,0,,no baseline exists,3,0.762520195695015,True,-4.163437796099029,-2.8070951655055874,,2025Q4;2026Q1;2026Q2,underpowered,False,vacuous across windows: identical common cells
calendar_pickup,gbv_yoy,W1,0,14,,0,,0,,no baseline exists,0,,False,,,2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,,underpowered,False,
calendar_pickup,gbv_yoy,W2,0,10,,0,,0,,no baseline exists,0,,False,,,2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,,underpowered,False,
calendar_pickup,R_musd,W1,0,14,,0,,0,,no baseline exists,0,,False,,,2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,,underpowered,False,
calendar_pickup,R_musd,W2,0,10,,0,,0,,no baseline exists,0,,False,,,2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,,underpowered,False,
