period,series,value
2024-02,total,4277802.0
2024-03,total,5725068.0
2024-04,total,6548855.0
2024-05,total,7701923.0
2024-06,total,7841978.0
2024-07,total,9061766.0
2024-08,total,10553909.0
2024-09,total,8453759.0
2024-10,total,7565935.0
2024-11,total,5009564.0
2024-12,total,4153763.0
2025-01,total,3659360.0
2025-02,total,4163822.0
2025-03,total,5556754.0
2025-04,total,7123799.0
2025-05,total,7801025.0
2025-06,total,8074409.0
2025-07,total,9412435.0
2025-08,total,10700547.0
2025-09,total,8509433.0
2025-10,total,7712397.0
2025-11,total,5036891.0
2025-12,total,4260786.0
2026-01,total,3741952.0
2026-02,total,4203862.0
2026-03,total,5625115.0
2026-04,total,7150714.0
2026-05,total,7996616.0
2026-06,total,8131293.0
2022-01,tourism_in_rural_areas_and_lodging_tourism,66243.0
2022-02,tourism_in_rural_areas_and_lodging_tourism,96075.0
2022-03,tourism_in_rural_areas_and_lodging_tourism,111918.0
2022-04,tourism_in_rural_areas_and_lodging_tourism,209319.0
2022-05,tourism_in_rural_areas_and_lodging_tourism,212730.0
2022-06,tourism_in_rural_areas_and_lodging_tourism,266182.0
2022-07,tourism_in_rural_areas_and_lodging_tourism,371457.0
2022-08,tourism_in_rural_areas_and_lodging_tourism,513942.0
2022-09,tourism_in_rural_areas_and_lodging_tourism,296250.0
2022-10,tourism_in_rural_areas_and_lodging_tourism,216396.0
2022-11,tourism_in_rural_areas_and_lodging_tourism,117169.0
2022-12,tourism_in_rural_areas_and_lodging_tourism,124012.0
2023-01,tourism_in_rural_areas_and_lodging_tourism,85687.0
2023-02,tourism_in_rural_areas_and_lodging_tourism,116811.0
2023-03,tourism_in_rural_areas_and_lodging_tourism,134275.0
2023-04,tourism_in_rural_areas_and_lodging_tourism,244355.0
2023-05,tourism_in_rural_areas_and_lodging_tourism,241153.0
2023-06,tourism_in_rural_areas_and_lodging_tourism,285829.0
2023-07,tourism_in_rural_areas_and_lodging_tourism,406358.0
2023-08,tourism_in_rural_areas_and_lodging_tourism,545930.0
2023-09,tourism_in_rural_areas_and_lodging_tourism,327136.0
2023-10,tourism_in_rural_areas_and_lodging_tourism,246429.0
2023-11,tourism_in_rural_areas_and_lodging_tourism,127496.0
2023-12,tourism_in_rural_areas_and_lodging_tourism,143472.0
2024-01,tourism_in_rural_areas_and_lodging_tourism,88027.0
2024-02,tourism_in_rural_areas_and_lodging_tourism,124407.0
2024-03,tourism_in_rural_areas_and_lodging_tourism,173897.0
2024-04,tourism_in_rural_areas_and_lodging_tourism,218264.0
2024-05,tourism_in_rural_areas_and_lodging_tourism,273735.0
2024-06,tourism_in_rural_areas_and_lodging_tourism,305001.0
2024-07,tourism_in_rural_areas_and_lodging_tourism,409136.0
2024-08,tourism_in_rural_areas_and_lodging_tourism,586907.0
2024-09,tourism_in_rural_areas_and_lodging_tourism,348136.0
2024-10,tourism_in_rural_areas_and_lodging_tourism,245527.0
2024-11,tourism_in_rural_areas_and_lodging_tourism,157822.0
2024-12,tourism_in_rural_areas_and_lodging_tourism,140602.0
2025-01,tourism_in_rural_areas_and_lodging_tourism,102702.0
2025-02,tourism_in_rural_areas_and_lodging_tourism,120544.0
2025-03,tourism_in_rural_areas_and_lodging_tourism,172880.0
2025-04,tourism_in_rural_areas_and_lodging_tourism,264557.0
2025-05,tourism_in_rural_areas_and_lodging_tourism,295043.0
2025-06,tourism_in_rural_areas_and_lodging_tourism,342883.0
2025-07,tourism_in_rural_areas_and_lodging_tourism,440031.0
2025-08,tourism_in_rural_areas_and_lodging_tourism,603240.0
2025-09,tourism_in_rural_areas_and_lodging_tourism,364287.0
2025-10,tourism_in_rural_areas_and_lodging_tourism,264238.0
2025-11,tourism_in_rural_areas_and_lodging_tourism,161396.0
2025-12,tourism_in_rural_areas_and_lodging_tourism,150757.0
2026-01,tourism_in_rural_areas_and_lodging_tourism,109313.0
2026-02,tourism_in_rural_areas_and_lodging_tourism,126115.0
2026-03,tourism_in_rural_areas_and_lodging_tourism,171071.0
2026-04,tourism_in_rural_areas_and_lodging_tourism,264455.0
2026-05,tourism_in_rural_areas_and_lodging_tourism,318800.0
2026-06,tourism_in_rural_areas_and_lodging_tourism,347870.0
