country,region,market,snapshot_date,horizon,listing_nights,listings,blocked_nights,blocked_rate,median_min_nights
brazil,sp,são-paulo,2026-06-14,h031_060,1271340,42378,262932,0.20681,2.0
brazil,sp,são-paulo,2026-06-14,h061_090,1271340,42378,181910,0.14309,2.0
brazil,sp,são-paulo,2026-06-14,h091_180,3814020,42378,862110,0.22604,2.0
brazil,sp,são-paulo,2026-06-14,h181_372,7850196,42378,2686541,0.34223,2.0
canada,qc,montreal,2026-06-15,h000_030,318529,10677,194973,0.6121,31.0
canada,qc,montreal,2026-06-15,h031_060,320310,10677,166664,0.52032,31.0
canada,qc,montreal,2026-06-15,h061_090,320310,10677,129300,0.40367,31.0
canada,qc,montreal,2026-06-15,h091_180,960930,10677,367093,0.38202,31.0
canada,qc,montreal,2026-06-15,h181_372,1977026,10677,932226,0.47153,31.0
canada,nb,new-brunswick,2026-06-30,h000_030,140611,4620,96100,0.68345,2.0
canada,nb,new-brunswick,2026-06-30,h031_060,138600,4620,84697,0.61109,2.0
canada,nb,new-brunswick,2026-06-30,h061_090,138600,4620,52270,0.37713,2.0
canada,nb,new-brunswick,2026-06-30,h091_180,415800,4620,156151,0.37554,2.0
canada,nb,new-brunswick,2026-06-30,h181_372,852691,4620,390446,0.4579,2.0
canada,on,ottawa,2026-06-24,h000_030,81937,2727,47411,0.57863,30.0
canada,on,ottawa,2026-06-24,h031_060,81810,2727,37052,0.4529,30.0
canada,on,ottawa,2026-06-24,h061_090,81810,2727,30241,0.36965,30.0
canada,on,ottawa,2026-06-24,h091_180,245430,2727,78868,0.32135,30.0
canada,on,ottawa,2026-06-24,h181_372,504368,2727,201167,0.39885,30.0
canada,qc,quebec-city,2026-07-16,h000_030,77589,2523,56160,0.72381,2.0
canada,qc,quebec-city,2026-07-16,h031_060,75690,2523,39806,0.52591,2.0
canada,qc,quebec-city,2026-07-16,h061_090,75690,2523,34430,0.45488,2.0
canada,qc,quebec-city,2026-07-16,h091_180,227070,2523,71105,0.31314,2.0
canada,qc,quebec-city,2026-07-16,h181_372,464856,2523,170380,0.36652,2.0
canada,on,toronto,2026-07-14,h000_030,682716,22256,434744,0.63679,28.0
canada,on,toronto,2026-07-14,h031_060,667680,22256,321257,0.48115,28.0
canada,on,toronto,2026-07-14,h061_090,667680,22256,271419,0.40651,28.0
canada,on,toronto,2026-07-14,h091_180,2003040,22256,821491,0.41012,28.0
canada,on,toronto,2026-07-14,h181_372,4102332,22256,2118149,0.51633,28.0
canada,bc,vancouver,2026-07-14,h000_030,206336,6656,141540,0.68597,2.0
canada,bc,vancouver,2026-07-14,h031_060,199680,6656,108417,0.54295,2.0
canada,bc,vancouver,2026-07-14,h061_090,199680,6656,87845,0.43993,2.0
canada,bc,vancouver,2026-07-14,h091_180,599040,6656,253621,0.42338,3.0
canada,bc,vancouver,2026-07-14,h181_372,1224704,6656,695091,0.56756,3.0
canada,bc,victoria,2026-07-24,h000_030,108121,3562,83999,0.7769,2.0
canada,bc,victoria,2026-07-24,h031_060,106860,3562,62124,0.58136,2.0
canada,bc,victoria,2026-07-24,h061_090,106860,3562,45451,0.42533,2.0
canada,bc,victoria,2026-07-24,h091_180,320580,3562,118385,0.36928,2.0
canada,bc,victoria,2026-07-24,h181_372,657711,3562,311174,0.47312,2.0
canada,mb,winnipeg,2026-06-22,h000_030,53600,1790,31346,0.58481,2.0
canada,mb,winnipeg,2026-06-22,h031_060,53700,1790,21873,0.40732,2.0
canada,mb,winnipeg,2026-06-22,h061_090,53700,1790,15208,0.2832,2.0
canada,mb,winnipeg,2026-06-22,h091_180,161100,1790,37131,0.23048,2.0
canada,mb,winnipeg,2026-06-22,h181_372,330872,1790,112918,0.34127,2.0
chile,rm,santiago,2026-06-29,h000_030,535565,18534,255003,0.47614,2.0
chile,rm,santiago,2026-06-29,h031_060,556020,18534,178652,0.3213,2.0
chile,rm,santiago,2026-06-29,h061_090,556020,18534,102420,0.1842,2.0
chile,rm,santiago,2026-06-29,h091_180,1668060,18534,317344,0.19025,2.0
chile,rm,santiago,2026-06-29,h181_372,3449191,18534,841713,0.24403,2.0
china,hk,hong-kong,2026-06-27,h000_030,197650,6757,63387,0.3207,6.0
china,hk,hong-kong,2026-06-27,h031_060,202710,6757,50956,0.25137,7.0
china,hk,hong-kong,2026-06-27,h061_090,202710,6757,48678,0.24014,7.0
china,hk,hong-kong,2026-06-27,h091_180,608130,6757,191840,0.31546,9.0
china,hk,hong-kong,2026-06-27,h181_372,1255105,6757,467488,0.37247,10.0
colombia,dc,bogotá,2026-06-21,h000_030,577068,19187,165770,0.28726,2.0
colombia,dc,bogotá,2026-06-21,h031_060,575610,19187,95156,0.16531,2.0
colombia,dc,bogotá,2026-06-21,h061_090,575610,19187,60907,0.10581,2.0
colombia,dc,bogotá,2026-06-21,h091_180,1726830,19187,202126,0.11705,2.0
colombia,dc,bogotá,2026-06-21,h181_372,3548137,19187,588483,0.16586,2.0
czech-republic,prague,prague,2026-06-27,h000_030,335820,11619,189652,0.56474,2.0
czech-republic,prague,prague,2026-06-27,h031_060,348570,11619,149574,0.42911,2.0
czech-republic,prague,prague,2026-06-27,h061_090,348570,11619,133532,0.38309,2.0
czech-republic,prague,prague,2026-06-27,h091_180,1045710,11619,428740,0.41,2.0
czech-republic,prague,prague,2026-06-27,h181_372,2162265,11619,1181926,0.54661,2.0
denmark,hovedstaden,copenhagen,2026-06-30,h000_030,681790,23146,525236,0.77038,3.0
denmark,hovedstaden,copenhagen,2026-06-30,h031_060,694380,23146,590753,0.85076,3.0
denmark,hovedstaden,copenhagen,2026-06-30,h061_090,694380,23146,558256,0.80396,3.0
denmark,hovedstaden,copenhagen,2026-06-30,h091_180,2083140,23146,1595541,0.76593,3.0
denmark,hovedstaden,copenhagen,2026-06-30,h181_372,4294601,23146,3211112,0.74771,3.0
france,nouvelle-aquitaine,bordeaux,2026-06-22,h000_030,340164,12244,207179,0.60906,2.0
france,nouvelle-aquitaine,bordeaux,2026-06-22,h031_060,367320,12244,203325,0.55354,2.0
france,nouvelle-aquitaine,bordeaux,2026-06-22,h061_090,367320,12244,200749,0.54652,2.0
france,nouvelle-aquitaine,bordeaux,2026-06-22,h091_180,1101960,12244,614483,0.55763,2.0
france,nouvelle-aquitaine,bordeaux,2026-06-22,h181_372,2284416,12244,1401879,0.61367,2.0
france,auvergne-rhone-alpes,lyon,2026-06-22,h000_030,250115,9355,154380,0.61724,2.0
france,auvergne-rhone-alpes,lyon,2026-06-22,h031_060,280650,9355,155186,0.55295,2.0
france,auvergne-rhone-alpes,lyon,2026-06-22,h061_090,280650,9355,160557,0.57209,2.0
france,auvergne-rhone-alpes,lyon,2026-06-22,h091_180,841950,9355,521080,0.6189,2.0
france,auvergne-rhone-alpes,lyon,2026-06-22,h181_372,1753232,9355,1223751,0.698,2.0
france,ile-de-france,paris,2026-06-16,h000_030,1927166,77679,1442209,0.74836,3.0
france,ile-de-france,paris,2026-06-16,h031_060,2330370,77679,1365095,0.58578,3.0
france,ile-de-france,paris,2026-06-16,h061_090,2330370,77679,1342537,0.5761,3.0
france,ile-de-france,paris,2026-06-16,h091_180,6991110,77679,4190437,0.5994,3.0
france,ile-de-france,paris,2026-06-16,h181_372,14705278,77679,9337114,0.63495,3.0
france,pyrénées-atlantiques,pays-basque,2026-06-23,h000_030,335968,12096,226727,0.67485,4.0
france,pyrénées-atlantiques,pays-basque,2026-06-23,h031_060,362880,12096,275162,0.75827,4.0
france,pyrénées-atlantiques,pays-basque,2026-06-23,h061_090,362880,12096,198324,0.54653,3.0
france,pyrénées-atlantiques,pays-basque,2026-06-23,h091_180,1088640,12096,569658,0.52327,3.0
france,pyrénées-atlantiques,pays-basque,2026-06-23,h181_372,2261341,12096,1249747,0.55266,3.0
germany,be,berlin,2026-06-26,h000_030,348502,12855,249261,0.71524,3.0
germany,be,berlin,2026-06-26,h031_060,385650,12855,229771,0.5958,4.0
germany,be,berlin,2026-06-26,h061_090,385650,12855,226352,0.58694,4.0
germany,be,berlin,2026-06-26,h091_180,1156950,12855,617943,0.53411,4.0
germany,be,berlin,2026-06-26,h181_372,2415323,12855,1403735,0.58118,4.0
germany,bv,munich,2026-06-29,h000_030,206117,6890,145434,0.70559,2.0
germany,bv,munich,2026-06-29,h031_060,206700,6890,126094,0.61003,2.0
germany,bv,munich,2026-06-29,h061_090,206700,6890,129761,0.62777,2.0
germany,bv,munich,2026-06-29,h091_180,620100,6890,390661,0.63,2.0
germany,bv,munich,2026-06-29,h181_372,1275233,6890,865173,0.67844,2.0
greece,attica,athens,2026-06-28,h000_030,430514,14342,216188,0.50216,2.0
greece,attica,athens,2026-06-28,h031_060,430260,14342,143045,0.33246,2.0
greece,attica,athens,2026-06-28,h061_090,430260,14342,134871,0.31346,2.0
greece,attica,athens,2026-06-28,h091_180,1290780,14342,245829,0.19045,2.0
greece,attica,athens,2026-06-28,h181_372,2653018,14342,787089,0.29668,2.0
greece,crete,crete,2026-06-29,h000_030,814683,27333,546474,0.67078,3.0
greece,crete,crete,2026-06-29,h031_060,819990,27333,537858,0.65593,3.0
greece,crete,crete,2026-06-29,h061_090,819990,27333,377225,0.46004,3.0
greece,crete,crete,2026-06-29,h091_180,2459970,27333,1009485,0.41036,3.0
greece,crete,crete,2026-06-29,h181_372,5061921,27333,2607431,0.51511,3.0
greece,south-aegean,south-aegean,2026-06-28,h000_030,1018905,36680,665627,0.65328,3.0
greece,south-aegean,south-aegean,2026-06-28,h031_060,1100400,36680,702419,0.63833,3.0
greece,south-aegean,south-aegean,2026-06-28,h061_090,1100400,36680,437395,0.39749,3.0
greece,south-aegean,south-aegean,2026-06-28,h091_180,3301200,36680,1583695,0.47973,2.0
greece,south-aegean,south-aegean,2026-06-28,h181_372,6867286,36680,3972088,0.57841,2.0
greece,central-macedonia,thessaloniki,2026-06-29,h000_030,153036,4965,65185,0.42595,2.0
greece,central-macedonia,thessaloniki,2026-06-29,h031_060,148950,4965,44148,0.29639,2.0
greece,central-macedonia,thessaloniki,2026-06-29,h061_090,148950,4965,40655,0.27294,2.0
greece,central-macedonia,thessaloniki,2026-06-29,h091_180,446850,4965,111101,0.24863,2.0
greece,central-macedonia,thessaloniki,2026-06-29,h181_372,914439,4965,394038,0.43091,2.0
hungary,közép-magyarország,budapest,2026-07-21,h000_030,351351,11545,221742,0.63111,2.0
hungary,közép-magyarország,budapest,2026-07-21,h031_060,346350,11545,161256,0.46559,2.0
hungary,közép-magyarország,budapest,2026-07-21,h061_090,346350,11545,129833,0.37486,2.0
hungary,közép-magyarország,budapest,2026-07-21,h091_180,1039050,11545,438605,0.42212,2.0
hungary,közép-magyarország,budapest,2026-07-21,h181_372,2130829,11545,1241564,0.58267,2.0
ireland,leinster,dublin,2026-06-21,h000_030,198538,6981,133281,0.67131,2.0
ireland,leinster,dublin,2026-06-21,h031_060,209430,6981,120423,0.575,2.0
ireland,leinster,dublin,2026-06-21,h061_090,209430,6981,128595,0.61402,2.0
ireland,leinster,dublin,2026-06-21,h091_180,628290,6981,348866,0.55526,2.0
ireland,leinster,dublin,2026-06-21,h181_372,1298232,6981,812757,0.62605,2.0
italy,lombardia,bergamo,2026-06-30,h000_030,130674,4242,76065,0.5821,2.0
italy,lombardia,bergamo,2026-06-30,h031_060,127260,4242,59654,0.46876,2.0
italy,lombardia,bergamo,2026-06-30,h061_090,127260,4242,36805,0.28921,2.0
italy,lombardia,bergamo,2026-06-30,h091_180,381780,4242,98479,0.25795,2.0
italy,lombardia,bergamo,2026-06-30,h181_372,781356,4242,348101,0.44551,2.0
italy,emilia-romagna,bologna,2026-06-26,h000_030,145744,4954,75234,0.51621,2.0
italy,emilia-romagna,bologna,2026-06-26,h031_060,148620,4954,61390,0.41307,2.0
italy,emilia-romagna,bologna,2026-06-26,h061_090,148620,4954,65413,0.44014,2.0
italy,emilia-romagna,bologna,2026-06-26,h091_180,445860,4954,174441,0.39125,2.0
italy,emilia-romagna,bologna,2026-06-26,h181_372,919366,4954,573165,0.62344,2.0
italy,toscana,florence,2026-06-26,h000_030,398208,13508,224411,0.56355,2.0
italy,toscana,florence,2026-06-26,h031_060,405240,13508,160475,0.396,2.0
italy,toscana,florence,2026-06-26,h061_090,405240,13508,177110,0.43705,2.0
italy,toscana,florence,2026-06-26,h091_180,1215720,13508,427416,0.35157,2.0
italy,toscana,florence,2026-06-26,h181_372,2506012,13508,1120036,0.44694,2.0
italy,lombardy,milan,2026-06-25,h000_030,755989,25790,399837,0.52889,2.0
italy,lombardy,milan,2026-06-25,h031_060,773700,25790,276502,0.35738,2.0
italy,lombardy,milan,2026-06-25,h061_090,773700,25790,286230,0.36995,2.0
italy,lombardy,milan,2026-06-25,h091_180,2321100,25790,855576,0.36861,2.0
italy,lombardy,milan,2026-06-25,h181_372,4788861,25790,2695948,0.56296,2.0
italy,campania,naples,2026-06-25,h000_030,344804,11580,163704,0.47477,2.0
italy,campania,naples,2026-06-25,h031_060,347400,11580,129216,0.37195,2.0
italy,campania,naples,2026-06-25,h061_090,347400,11580,104966,0.30215,2.0
italy,campania,naples,2026-06-25,h091_180,1042200,11580,239594,0.22989,2.0
italy,campania,naples,2026-06-25,h181_372,2144896,11580,883627,0.41197,2.0
italy,puglia,puglia,2026-06-30,h000_030,1396064,48685,757736,0.54277,3.0
italy,puglia,puglia,2026-06-30,h031_060,1460550,48685,794804,0.54418,3.0
italy,puglia,puglia,2026-06-30,h061_090,1460550,48685,434570,0.29754,3.0
italy,puglia,puglia,2026-06-30,h091_180,4381650,48685,1440984,0.32887,2.0
italy,puglia,puglia,2026-06-30,h181_372,9071214,48685,4163853,0.45902,2.0
italy,lazio,rome,2026-06-20,h000_030,1029446,37228,594592,0.57758,2.0
italy,lazio,rome,2026-06-20,h031_060,1116840,37228,459769,0.41167,2.0
italy,lazio,rome,2026-06-20,h061_090,1116840,37228,414982,0.37157,2.0
italy,lazio,rome,2026-06-20,h091_180,3350520,37228,1061072,0.31669,2.0
italy,lazio,rome,2026-06-20,h181_372,6944870,37228,3079430,0.44341,2.0
italy,sicilia,sicily,2026-06-30,h000_030,1675000,56877,880439,0.52564,2.0
italy,sicilia,sicily,2026-06-30,h031_060,1706310,56877,899499,0.52716,2.0
italy,sicilia,sicily,2026-06-30,h061_090,1706310,56877,539589,0.31623,2.0
italy,sicilia,sicily,2026-06-30,h091_180,5118930,56877,1278491,0.24976,2.0
italy,sicilia,sicily,2026-06-30,h181_372,10553558,56877,3990395,0.37811,2.0
italy,trentino-alto-adige-südtirol,trentino,2026-06-30,h000_030,302812,10090,190882,0.63036,3.0
italy,trentino-alto-adige-südtirol,trentino,2026-06-30,h031_060,302700,10090,188827,0.62381,3.0
italy,trentino-alto-adige-südtirol,trentino,2026-06-30,h061_090,302700,10090,101026,0.33375,3.0
italy,trentino-alto-adige-südtirol,trentino,2026-06-30,h091_180,908100,10090,386125,0.4252,2.0
italy,trentino-alto-adige-südtirol,trentino,2026-06-30,h181_372,1866538,10090,1081832,0.57959,2.0
italy,veneto,venice,2026-06-15,h000_030,256976,8793,153875,0.59879,2.0
italy,veneto,venice,2026-06-15,h031_060,263790,8793,121827,0.46183,2.0
italy,veneto,venice,2026-06-15,h061_090,263790,8793,116347,0.44106,2.0
italy,veneto,venice,2026-06-15,h091_180,791370,8793,272890,0.34483,2.0
italy,veneto,venice,2026-06-15,h181_372,1631602,8793,740257,0.4537,2.0
japan,kantō,tokyo,2026-06-30,h000_030,1031759,34419,616930,0.59794,2.0
japan,kantō,tokyo,2026-06-30,h031_060,1032570,34419,368751,0.35712,2.0
japan,kantō,tokyo,2026-06-30,h061_090,1032570,34419,294729,0.28543,2.0
japan,kantō,tokyo,2026-06-30,h091_180,3097710,34419,983959,0.31764,2.0
japan,kantō,tokyo,2026-06-30,h181_372,6368312,34419,3284030,0.51568,2.0
kenya,nairobi,nairobi,2026-06-15,h000_030,681674,22008,70136,0.10289,1.0
kenya,nairobi,nairobi,2026-06-15,h031_060,660240,22008,36977,0.05601,1.0
kenya,nairobi,nairobi,2026-06-15,h061_090,660240,22008,23221,0.03517,1.0
kenya,nairobi,nairobi,2026-06-15,h091_180,1980720,22008,72462,0.03658,1.0
kenya,nairobi,nairobi,2026-06-15,h181_372,4050048,22008,379301,0.09365,1.0
latvia,riga,riga,2026-06-30,h000_030,106799,3471,65350,0.6119,2.0
latvia,riga,riga,2026-06-30,h031_060,104130,3471,48695,0.46764,2.0
latvia,riga,riga,2026-06-30,h061_090,104130,3471,39520,0.37953,2.0
latvia,riga,riga,2026-06-30,h091_180,312390,3471,117955,0.37759,2.0
latvia,riga,riga,2026-06-30,h181_372,639466,3471,340145,0.53192,2.0
mexico,df,mexico-city,2026-06-15,h000_030,894088,31430,343307,0.38397,2.0
mexico,df,mexico-city,2026-06-15,h031_060,942900,31430,280045,0.297,2.0
mexico,df,mexico-city,2026-06-15,h061_090,942900,31430,201989,0.21422,2.0
mexico,df,mexico-city,2026-06-15,h091_180,2828700,31430,772036,0.27293,2.0
mexico,df,mexico-city,2026-06-15,h181_372,5839726,31430,1978595,0.33882,2.0
norway,oslo,oslo,2026-06-30,h000_030,405123,13391,248108,0.61243,3.0
norway,oslo,oslo,2026-06-30,h031_060,401730,13391,269693,0.67133,2.0
norway,oslo,oslo,2026-06-30,h061_090,401730,13391,245777,0.6118,2.0
norway,oslo,oslo,2026-06-30,h091_180,1205190,13391,745149,0.61828,2.0
norway,oslo,oslo,2026-06-30,h181_372,2473882,13391,1604097,0.64841,2.0
portugal,lisbon,lisbon,2026-06-23,h000_030,710150,24912,421837,0.59401,2.0
portugal,lisbon,lisbon,2026-06-23,h031_060,747360,24912,378512,0.50647,2.0
portugal,lisbon,lisbon,2026-06-23,h061_090,747360,24912,298283,0.39912,2.0
portugal,lisbon,lisbon,2026-06-23,h091_180,2242080,24912,680272,0.30341,2.0
portugal,lisbon,lisbon,2026-06-23,h181_372,4643333,24912,1734592,0.37357,2.0
portugal,norte,porto,2026-06-23,h000_030,446929,15294,263972,0.59064,2.0
portugal,norte,porto,2026-06-23,h031_060,458820,15294,226069,0.49272,2.0
portugal,norte,porto,2026-06-23,h061_090,458820,15294,156561,0.34123,2.0
portugal,norte,porto,2026-06-23,h091_180,1376460,15294,295506,0.21469,2.0
portugal,norte,porto,2026-06-23,h181_372,2840214,15294,829550,0.29207,2.0
singapore,sg,singapore,2026-06-29,h000_030,94827,3247,35816,0.3777,6.0
singapore,sg,singapore,2026-06-29,h031_060,97410,3247,17762,0.18234,28.0
singapore,sg,singapore,2026-06-29,h061_090,97410,3247,13325,0.13679,28.0
singapore,sg,singapore,2026-06-29,h091_180,292230,3247,52894,0.181,28.0
singapore,sg,singapore,2026-06-29,h181_372,603278,3247,148893,0.24681,30.0
south-africa,wc,cape-town,2026-06-29,h000_030,775806,27381,343928,0.44332,2.0
south-africa,wc,cape-town,2026-06-29,h031_060,821430,27381,291989,0.35546,2.0
south-africa,wc,cape-town,2026-06-29,h061_090,821430,27381,260136,0.31669,2.0
south-africa,wc,cape-town,2026-06-29,h091_180,2464290,27381,889759,0.36106,2.0
south-africa,wc,cape-town,2026-06-29,h181_372,5111080,27381,2117573,0.41431,2.0
spain,catalonia,barcelona,2026-06-24,h000_030,446078,15406,294135,0.65938,3.0
spain,catalonia,barcelona,2026-06-24,h031_060,462180,15406,224003,0.48467,3.0
spain,catalonia,barcelona,2026-06-24,h061_090,462180,15406,180015,0.38949,4.0
spain,catalonia,barcelona,2026-06-24,h091_180,1386540,15406,441878,0.31869,4.0
spain,catalonia,barcelona,2026-06-24,h181_372,2864366,15406,1200592,0.41915,4.0
spain,pv,euskadi,2026-06-30,h000_030,187828,6251,129824,0.69119,2.0
spain,pv,euskadi,2026-06-30,h031_060,187530,6251,124895,0.666,2.0
