source,q,hotel,bookings,party_size,share_1,share_3plus,share_kids,los
"Antonio, de Almeida & Nunes 2019 hotel booking demand (Portugal, 2 hotels, completed stays)",2017Q3,City Hotel,4234,2.1509211147850733,0.14454416627302788,0.23641946150212564,0.1329711856400567,3.1724137931034484
"Antonio, de Almeida & Nunes 2019 hotel booking demand (Portugal, 2 hotels, completed stays)",2017Q3,Resort Hotel,2201,2.324852339845525,0.04543389368468878,0.2716946842344389,0.19218537028623353,5.070876874148114
"Antonio, de Almeida & Nunes 2019 hotel booking demand (Portugal, 2 hotels, completed stays)",2015Q3,Both,6816,1.9750586854460095,0.1709213615023474,0.11238262910798122,,
"Antonio, de Almeida & Nunes 2019 hotel booking demand (Portugal, 2 hotels, completed stays)",2015Q4,Both,7010,1.7805991440798858,0.2994293865905849,0.06176890156918688,,
"Antonio, de Almeida & Nunes 2019 hotel booking demand (Portugal, 2 hotels, completed stays)",2016Q1,Both,7582,1.8393563703508309,0.28290688472698494,0.09852281719862833,,
"Antonio, de Almeida & Nunes 2019 hotel booking demand (Portugal, 2 hotels, completed stays)",2016Q2,Both,10119,1.9106631090028658,0.21513983595216918,0.10010870639391244,,
"Antonio, de Almeida & Nunes 2019 hotel booking demand (Portugal, 2 hotels, completed stays)",2016Q3,Both,9665,2.155923435075013,0.11515778582514227,0.2148991205380238,,
"Antonio, de Almeida & Nunes 2019 hotel booking demand (Portugal, 2 hotels, completed stays)",2016Q4,Both,8933,1.8747341318705921,0.24952423597895443,0.10153363931489981,,
"Antonio, de Almeida & Nunes 2019 hotel booking demand (Portugal, 2 hotels, completed stays)",2017Q1,Both,8512,1.8226033834586466,0.2984022556390977,0.0962171052631579,,
"Antonio, de Almeida & Nunes 2019 hotel booking demand (Portugal, 2 hotels, completed stays)",2017Q2,Both,9939,1.9580440688198009,0.1857329711238555,0.11520273669383238,,
"Antonio, de Almeida & Nunes 2019 hotel booking demand (Portugal, 2 hotels, completed stays)",2017Q3,Both,6435,2.2104118104118102,0.11064491064491065,0.24848484848484848,,
"Antonio, de Almeida & Nunes 2019 hotel booking demand (Portugal, 2 hotels, completed stays)",2015Q3,"Both, leisure segments",5622,1.996620419779438,0.15741728922091783,0.12130914265385984,,
"Antonio, de Almeida & Nunes 2019 hotel booking demand (Portugal, 2 hotels, completed stays)",2015Q4,"Both, leisure segments",5533,1.8212542924272546,0.2580878366166637,0.0636182902584493,,
"Antonio, de Almeida & Nunes 2019 hotel booking demand (Portugal, 2 hotels, completed stays)",2016Q1,"Both, leisure segments",6707,1.9172506336663189,0.21768301774265691,0.10884150887132846,,
"Antonio, de Almeida & Nunes 2019 hotel booking demand (Portugal, 2 hotels, completed stays)",2016Q2,"Both, leisure segments",9168,1.9583333333333333,0.1774650959860384,0.10798429319371727,,
"Antonio, de Almeida & Nunes 2019 hotel booking demand (Portugal, 2 hotels, completed stays)",2016Q3,"Both, leisure segments",9013,2.196050149783646,0.0904249417508044,0.22689448574281593,,
"Antonio, de Almeida & Nunes 2019 hotel booking demand (Portugal, 2 hotels, completed stays)",2016Q4,"Both, leisure segments",8186,1.925604690935744,0.20657219643293429,0.10750061079892499,,
"Antonio, de Almeida & Nunes 2019 hotel booking demand (Portugal, 2 hotels, completed stays)",2017Q1,"Both, leisure segments",7783,1.8735706025954002,0.25671334960812026,0.1031735834511114,,
"Antonio, de Almeida & Nunes 2019 hotel booking demand (Portugal, 2 hotels, completed stays)",2017Q2,"Both, leisure segments",9011,2.0023304849628234,0.15170347353234936,0.12329375208079014,,
"Antonio, de Almeida & Nunes 2019 hotel booking demand (Portugal, 2 hotels, completed stays)",2017Q3,"Both, leisure segments",6085,2.2422350041084633,0.09268693508627773,0.2583401807723911,,
