market,region,country,trend_pct_yr,t,years
mexico_df_mexico-city_2026-06-15,latam,mexico,0.5442,1.3621,11
new-zealand_2026-07-12,apac,new-zealand,0.3956,6.0308,11
norway_oslo_oslo_2026-06-30,emea,norway,-0.1683,-0.5427,11
portugal_lisbon_lisbon_2026-06-23,emea,portugal,-0.0703,-0.3067,11
portugal_norte_porto_2026-06-23,emea,portugal,-0.3441,-1.5077,11
singapore_sg_singapore_2026-06-29,apac,singapore,-2.7804,-3.3351,11
south-africa_wc_cape-town_2026-06-29,emea,south-africa,-0.5347,-4.2868,11
spain_andalucía_malaga_2026-06-30,emea,spain,0.2534,1.227,11
spain_andalucía_sevilla_2026-06-30,emea,spain,0.4719,2.1733,11
spain_catalonia_barcelona_2026-06-24,emea,spain,0.2141,0.9297,11
spain_catalonia_girona_2026-06-30,emea,spain,0.0817,1.1862,11
spain_comunidad-de-madrid_madrid_2026-06-20,emea,spain,0.1236,0.5067,11
spain_islas-baleares_mallorca_2026-06-23,emea,spain,0.3479,1.916,11
spain_islas-baleares_menorca_2026-06-30,emea,spain,0.5177,1.5481,11
spain_pv_euskadi_2026-06-30,emea,spain,0.3542,2.2319,11
spain_vc_valencia_2026-06-26,emea,spain,0.0447,0.1832,11
sweden_stockholms-län_stockholm_2026-06-30,emea,sweden,-1.1311,-1.8698,11
switzerland_geneva_geneva_2026-06-29,emea,switzerland,-0.8039,-1.5096,11
switzerland_vd_vaud_2026-07-12,emea,switzerland,0.5081,3.0606,11
switzerland_zürich_zurich_2026-06-30,emea,switzerland,-0.5161,-1.0703,11
taiwan_northern-taiwan_taipei_2026-06-30,apac,taiwan,-0.1113,-0.2645,11
thailand_central-thailand_bangkok_2026-06-29,apac,thailand,0.0463,0.1852,11
the-netherlands_north-holland_amsterdam_2026-06-15,emea,the-netherlands,-0.1935,-0.7348,11
the-netherlands_south-holland_rotterdam_2026-06-28,emea,the-netherlands,-0.3627,-0.6432,11
the-netherlands_south-holland_the-hague_2026-06-28,emea,the-netherlands,1.1733,1.8173,11
turkey_marmara_istanbul_2026-06-30,emea,turkey,-0.2199,-0.4346,11
united-kingdom_england_bristol_2026-06-29,emea,united-kingdom,0.9998,3.2552,11
united-kingdom_england_greater-manchester_2026-06-28,emea,united-kingdom,1.4194,3.2656,11
united-kingdom_england_london_2026-06-19,emea,united-kingdom,-0.1237,-0.3599,11
united-kingdom_scotland_edinburgh_2026-06-23,emea,united-kingdom,-0.204,-0.9261,11
united-states_ca_los-angeles_2026-06-15,north_america,united-states,0.7965,2.7401,11
united-states_ca_oakland_2026-06-27,north_america,united-states,0.0737,0.1876,11
united-states_ca_pacific-grove_2026-06-14,north_america,united-states,-0.2035,-0.5228,11
united-states_ca_san-diego_2026-06-27,north_america,united-states,0.766,5.9222,11
united-states_ca_san-francisco_2026-06-14,north_america,united-states,-0.0102,-0.0349,11
united-states_ca_san-mateo-county_2026-06-27,north_america,united-states,0.7102,2.6676,11
united-states_ca_santa-clara-county_2026-06-28,north_america,united-states,0.8179,2.1105,11
united-states_ca_santa-cruz-county_2026-06-30,north_america,united-states,0.9152,7.1784,11
united-states_co_denver_2026-06-30,north_america,united-states,0.1139,0.3907,11
united-states_dc_washington-dc_2026-06-24,north_america,united-states,0.3202,1.1426,11
united-states_fl_broward-county_2026-06-29,north_america,united-states,1.1329,7.7542,11
united-states_hi_hawaii_2026-06-21,north_america,united-states,1.1282,9.6088,11
united-states_il_chicago_2026-06-24,north_america,united-states,0.5516,2.7259,11
united-states_la_new-orleans_2026-06-16,north_america,united-states,0.0354,0.1256,11
united-states_ma_boston_2026-06-15,north_america,united-states,0.3292,0.868,11
united-states_ma_cambridge_2026-06-29,north_america,united-states,-0.1938,-0.5327,11
united-states_mn_twin-cities-msa_2026-06-27,north_america,united-states,1.0574,4.5492,11
united-states_mt_bozeman_2026-07-16,north_america,united-states,0.7984,2.3613,10
united-states_nc_asheville_2026-06-25,north_america,united-states,1.1585,4.657,11
united-states_nj_jersey-city_2026-06-27,north_america,united-states,0.7865,1.4288,11
united-states_nj_newark_2026-06-30,north_america,united-states,2.0161,3.4903,10
united-states_nv_clark-county-nv_2026-06-27,north_america,united-states,-0.6803,-3.8687,11
united-states_ny_albany_2026-07-15,north_america,united-states,1.9758,2.1914,9
united-states_ny_new-york-city_2026-08-10,north_america,united-states,-0.48,-2.0524,11
united-states_ny_rochester_2026-07-21,north_america,united-states,-0.5166,-0.8439,10
united-states_oh_columbus_2026-06-29,north_america,united-states,0.2069,0.5866,10
united-states_or_portland_2026-06-15,north_america,united-states,0.0091,0.0453,11
united-states_or_salem-or_2026-06-28,north_america,united-states,3.8037,4.5486,9
united-states_ri_rhode-island_2026-06-30,north_america,united-states,0.6784,2.2198,11
united-states_tn_nashville_2026-06-26,north_america,united-states,1.0653,4.7573,11
united-states_tx_austin_2026-06-22,north_america,united-states,0.4663,1.7349,11
united-states_tx_dallas_2026-07-20,north_america,united-states,0.6854,2.0199,11
united-states_tx_fort-worth_2026-06-21,north_america,united-states,1.6905,7.2411,10
united-states_wa_seattle_2026-06-15,north_america,united-states,0.7726,2.6898,11
