city,segment,runs,mean,median,share_ge7,share_ge3,listings_active,listings_all
nashville,Room|K,1068,3.93,3,0.118,0.529,7357,10242
nashville,acc3-4,11023,4.34,3,0.152,0.694,7357,10242
nashville,acc5-6,12693,4.2,3,0.136,0.731,7357,10242
nashville,Entire|noK,1649,3.89,3,0.112,0.611,7357,10242
nashville,bed0,1405,3.75,3,0.113,0.607,7357,10242
nashville,bed4+,23647,3.82,3,0.092,0.79,7357,10242
nashville,acc7+,37949,3.88,3,0.1,0.78,7357,10242
nashville,bed3,11810,4.02,3,0.118,0.751,7357,10242
neworleans,Entire|K,24592,4.65,4,0.16,0.818,3931,7189
neworleans,ALL,31471,4.49,4,0.152,0.789,3931,7189
neworleans,bed1,4733,5.23,4,0.221,0.805,3931,7189
neworleans,acc1-2,3769,5.26,4,0.223,0.807,3931,7189
neworleans,acc3-4,7183,4.93,4,0.184,0.813,3931,7189
neworleans,Room|K,4065,4.07,3,0.124,0.779,3931,7189
neworleans,bed3,5478,4.52,4,0.147,0.801,3931,7189
neworleans,acc5-6,6309,4.53,4,0.151,0.799,3931,7189
neworleans,Entire|noK,554,4.78,4,0.195,0.755,3931,7189
neworleans,Room|noK,2260,3.42,2,0.098,0.499,3931,7189
neworleans,bed2,7611,4.79,4,0.172,0.81,3931,7189
neworleans,bed4+,6973,4.21,3,0.118,0.85,3931,7189
neworleans,acc7+,7885,4.21,3,0.119,0.84,3931,7189
neworleans,bed0,351,4.87,4,0.208,0.715,3931,7189
sanfrancisco,Entire|K,9370,7.13,5,0.363,0.84,3015,7332
sanfrancisco,ALL,18465,6.3,4,0.306,0.774,3015,7332
sanfrancisco,bed1,4402,7.19,5,0.38,0.826,3015,7332
sanfrancisco,acc3-4,3799,7.4,5,0.389,0.841,3015,7332
sanfrancisco,Room|K,3699,6.46,4,0.314,0.787,3015,7332
sanfrancisco,bed0,879,7.03,5,0.366,0.785,3015,7332
sanfrancisco,Room|noK,3789,4.1,3,0.15,0.594,3015,7332
sanfrancisco,acc1-2,3129,7.26,5,0.379,0.807,3015,7332
sanfrancisco,Entire|noK,1607,6.33,4,0.327,0.785,3015,7332
sanfrancisco,bed4+,813,6.13,4,0.29,0.849,3015,7332
sanfrancisco,acc7+,1579,6.03,4,0.285,0.844,3015,7332
sanfrancisco,bed3,1977,6.68,5,0.325,0.85,3015,7332
sanfrancisco,acc5-6,2470,6.72,5,0.328,0.843,3015,7332
sanfrancisco,bed2,2906,7.2,5,0.362,0.838,3015,7332
seattle,Room|K,2570,4.89,3,0.2,0.625,5060,7769
seattle,ALL,34796,5.37,4,0.236,0.751,5060,7769
seattle,Entire|K,29774,5.47,4,0.242,0.773,5060,7769
seattle,bed3,5279,4.99,4,0.204,0.768,5060,7769
seattle,acc7+,6250,4.91,4,0.192,0.776,5060,7769
seattle,bed1,10254,5.77,4,0.269,0.761,5060,7769
seattle,acc1-2,6571,5.81,4,0.271,0.764,5060,7769
seattle,bed2,9383,5.56,4,0.249,0.782,5060,7769
seattle,acc5-6,7783,5.25,4,0.227,0.769,5060,7769
seattle,bed0,2691,5.4,4,0.243,0.758,5060,7769
seattle,acc3-4,10273,5.76,4,0.267,0.777,5060,7769
seattle,bed4+,3270,5.09,4,0.2,0.796,5060,7769
seattle,Room|noK,1349,3.93,3,0.153,0.518,5060,7769
seattle,Entire|noK,1103,5.42,4,0.244,0.736,5060,7769
washingtondc,Room|K,1553,5.18,4,0.229,0.654,3787,6945
washingtondc,ALL,22051,5.33,4,0.234,0.76,3787,6945
washingtondc,Entire|K,18005,5.47,4,0.244,0.796,3787,6945
washingtondc,bed2,5315,5.33,4,0.237,0.795,3787,6945
washingtondc,acc3-4,6873,5.65,4,0.261,0.795,3787,6945
washingtondc,bed1,7013,5.92,4,0.286,0.783,3787,6945
washingtondc,Room|noK,1764,3.93,2,0.125,0.494,3787,6945
washingtondc,acc1-2,3115,6.14,4,0.303,0.782,3787,6945
washingtondc,bed0,1002,5.51,4,0.242,0.785,3787,6945
washingtondc,acc5-6,4431,5.27,4,0.233,0.798,3787,6945
washingtondc,Entire|noK,729,5.56,4,0.255,0.739,3787,6945
washingtondc,bed4+,2348,4.95,4,0.188,0.81,3787,6945
washingtondc,acc7+,4315,4.9,4,0.189,0.796,3787,6945
washingtondc,bed3,3056,5.06,4,0.208,0.807,3787,6945
