item,feature,horizon,window,n,slope,intercept,t,p,r2,spearman,spearman_p,sign_agreement,mean_ret_if_1,n_1,mean_ret_if_0,n_0,share_positive_if_1,share_positive_if_0,welch_p,slope_2,t_2,p_2,adj_r2
GBV,surprise vs consensus (%),"5 sessions, excess vs QQQ",all prints,13,-0.1646,0.0613,-0.5102,0.62,0.0231,-0.1264,0.6808,0.3077,,,,,,,,,,,
GBV,"beat consensus (1/0, >0.5%)","Day 1, raw",all prints,13,-9.95,13.0,-1.244,0.2394,0.1233,-0.3086,0.3049,,3.05,12.0,13.0,1.0,0.75,1.0,,,,,
GBV,"beat consensus (1/0, >0.5%)","Day 1, excess vs QQQ",all prints,13,-10.65,12.9,-1.3773,0.1958,0.1471,-0.3086,0.3049,,2.25,12.0,12.9,1.0,0.6667,1.0,,,,,
GBV,"beat consensus (1/0, >0.5%)","5 sessions, raw",all prints,13,-9.65,7.4,-0.8261,0.4263,0.0584,-0.3086,0.3049,,-2.25,12.0,7.4,1.0,0.4167,1.0,,,,,
GBV,"beat consensus (1/0, >0.5%)","5 sessions, excess vs QQQ",all prints,13,-11.0333,9.3,-1.1379,0.2794,0.1053,-0.3858,0.193,,-1.7333,12.0,9.3,1.0,0.3333,1.0,,,,,
GBV,y/y growth (%),"Day 1, raw",all prints,20,0.1109,-2.2301,1.1224,0.2764,0.0654,0.3091,0.1848,0.6,,,,,,,,,,,
GBV,y/y growth (%),"Day 1, excess vs QQQ",all prints,20,0.1041,-2.6634,1.1035,0.2843,0.0634,0.3038,0.1929,0.55,,,,,,,,,,,
GBV,y/y growth (%),"5 sessions, raw",all prints,20,-0.1915,1.7748,-1.9067,0.0727,0.168,-0.1338,0.5738,0.45,,,,,,,,,,,
GBV,y/y growth (%),"5 sessions, excess vs QQQ",all prints,20,-0.0793,-0.8906,-0.7538,0.4607,0.0306,-0.0263,0.9123,0.45,,,,,,,,,,,
Nights,surprise vs consensus (%),"Day 1, raw",all prints,19,0.1578,2.5844,0.174,0.8639,0.0018,0.2456,0.3108,0.5263,,,,,,,,,,,
Nights,surprise vs consensus (%),"Day 1, excess vs QQQ",all prints,19,0.162,1.6397,0.1786,0.8603,0.0019,0.2561,0.2898,0.4737,,,,,,,,,,,
Nights,surprise vs consensus (%),"5 sessions, raw",all prints,19,0.8365,-1.8079,0.7622,0.4564,0.033,0.1544,0.528,0.4211,,,,,,,,,,,
Nights,surprise vs consensus (%),"5 sessions, excess vs QQQ",all prints,19,0.381,-1.3567,0.3769,0.7109,0.0083,0.0957,0.6969,0.3684,,,,,,,,,,,
Nights,"beat consensus (1/0, >1%)","Day 1, raw",all prints,19,4.1727,0.9273,1.1976,0.2475,0.0778,0.3698,0.1192,,5.1,8.0,0.9273,11.0,0.875,0.4545,0.2646,,,,
Nights,"beat consensus (1/0, >1%)","Day 1, excess vs QQQ",all prints,19,4.1807,-0.0182,1.201,0.2462,0.0782,0.3892,0.0995,,4.1625,8.0,-0.0182,11.0,0.875,0.2727,0.2574,,,,
Nights,"beat consensus (1/0, >1%)","5 sessions, raw",all prints,19,2.7705,-2.4455,0.6285,0.5381,0.0227,0.1168,0.634,,0.325,8.0,-2.4455,11.0,0.625,0.2727,0.5818,,,,
Nights,"beat consensus (1/0, >1%)","5 sessions, excess vs QQQ",all prints,19,3.1795,-2.4545,0.7985,0.4356,0.0362,0.1363,0.578,,0.725,8.0,-2.4545,11.0,0.5,0.2727,0.4712,,,,
Nights,y/y growth (%),"Day 1, raw",all prints,20,0.1426,-2.1829,1.0215,0.3205,0.0548,0.2911,0.2131,0.5,,,,,,,,,,,
Nights,y/y growth (%),"Day 1, excess vs QQQ",all prints,20,0.125,-2.4585,0.9349,0.3622,0.0463,0.3053,0.1906,0.55,,,,,,,,,,,
Nights,y/y growth (%),"5 sessions, raw",all prints,20,-0.3168,2.9756,-2.3378,0.0311,0.2329,-0.1459,0.5395,0.45,,,,,,,,,,,
Nights,y/y growth (%),"5 sessions, excess vs QQQ",all prints,20,-0.1514,-0.0275,-1.0372,0.3134,0.0564,-0.0113,0.9623,0.45,,,,,,,,,,,
Nights,acceleration vs prior quarter (pts),"Day 1, raw",all prints,19,0.091,-0.1634,0.4561,0.6541,0.0121,0.2484,0.3053,0.6316,,,,,,,,,,,
Nights,acceleration vs prior quarter (pts),"Day 1, excess vs QQQ",all prints,19,0.1337,-0.7426,0.7163,0.4835,0.0293,0.2965,0.2177,0.6842,,,,,,,,,,,
Nights,acceleration vs prior quarter (pts),"5 sessions, raw",all prints,19,-0.1879,-3.5052,-0.8661,0.3985,0.0423,0.0474,0.8473,0.5789,,,,,,,,,,,
Nights,acceleration vs prior quarter (pts),"5 sessions, excess vs QQQ",all prints,19,-0.0779,-3.4921,-0.3689,0.7168,0.0079,0.0965,0.6943,0.5789,,,,,,,,,,,
Adj. EBITDA,surprise vs consensus (%),"Day 1, raw",all prints,8,0.0896,3.2426,0.5676,0.5909,0.051,-0.0714,0.8665,0.625,,,,,,,,,,,
Adj. EBITDA,surprise vs consensus (%),"Day 1, excess vs QQQ",all prints,8,0.0991,2.2317,0.6341,0.5494,0.0628,-0.0238,0.9554,0.5,,,,,,,,,,,
Adj. EBITDA,surprise vs consensus (%),"5 sessions, raw",all prints,8,-0.0747,2.6249,-0.5014,0.634,0.0402,-0.0719,0.8657,0.375,,,,,,,,,,,
Adj. EBITDA,surprise vs consensus (%),"5 sessions, excess vs QQQ",all prints,8,-0.0335,1.8713,-0.213,0.8384,0.0075,-0.1667,0.6932,0.5,,,,,,,,,,,
Adj. EBITDA,"beat consensus (1/0, >0.5%)","Day 1, raw",all prints,8,,,,,,,,,,,,,,,,,,,
Adj. EBITDA,"beat consensus (1/0, >0.5%)","Day 1, excess vs QQQ",all prints,8,,,,,,,,,,,,,,,,,,,
Adj. EBITDA,"beat consensus (1/0, >0.5%)","5 sessions, raw",all prints,8,,,,,,,,,,,,,,,,,,,
Adj. EBITDA,"beat consensus (1/0, >0.5%)","5 sessions, excess vs QQQ",all prints,8,,,,,,,,,,,,,,,,,,,
Adj. EBITDA,y/y growth (%),"Day 1, raw",all prints,18,0.0202,-0.9389,0.4727,0.6428,0.0138,-0.0681,0.7882,0.5,,,,,,,,,,,
Adj. EBITDA,y/y growth (%),"Day 1, excess vs QQQ",all prints,18,0.0117,-1.0941,0.2834,0.7805,0.005,-0.0526,0.8357,0.4444,,,,,,,,,,,
Adj. EBITDA,y/y growth (%),"5 sessions, raw",all prints,18,0.0097,-1.4296,0.2427,0.8113,0.0037,-0.0485,0.8484,0.4444,,,,,,,,,,,
Adj. EBITDA,y/y growth (%),"5 sessions, excess vs QQQ",all prints,18,0.0157,-2.3826,0.361,0.7228,0.0081,-0.0237,0.9255,0.4444,,,,,,,,,,,
Adj. EBITDA margin,y/y change (pts),"Day 1, raw",all prints,20,0.2667,-0.7674,1.0225,0.3201,0.0549,0.0952,0.6898,0.5,,,,,,,,,,,
Adj. EBITDA margin,y/y change (pts),"Day 1, excess vs QQQ",all prints,20,0.199,-1.0636,0.791,0.4393,0.0336,0.0684,0.7743,0.55,,,,,,,,,,,
Adj. EBITDA margin,y/y change (pts),"5 sessions, raw",all prints,20,-0.4434,-0.8276,-1.6446,0.1174,0.1306,-0.2399,0.3082,0.45,,,,,,,,,,,
Adj. EBITDA margin,y/y change (pts),"5 sessions, excess vs QQQ",all prints,20,-0.2061,-1.8702,-0.7453,0.4657,0.0299,-0.1723,0.4676,0.45,,,,,,,,,,,
ADR,surprise vs consensus (%),"Day 1, raw",all prints,5,,,,,,,,,,,,,,,,,,,
ADR,surprise vs consensus (%),"Day 1, excess vs QQQ",all prints,5,,,,,,,,,,,,,,,,,,,
ADR,surprise vs consensus (%),"5 sessions, raw",all prints,5,,,,,,,,,,,,,,,,,,,
ADR,surprise vs consensus (%),"5 sessions, excess vs QQQ",all prints,5,,,,,,,,,,,,,,,,,,,
ADR,y/y growth (%),"Day 1, raw",all prints,20,0.4562,-1.5864,1.1253,0.2752,0.0657,0.2211,0.3488,0.7,,,,,,,,,,,
ADR,y/y growth (%),"Day 1, excess vs QQQ",all prints,20,0.4857,-2.3106,1.2671,0.2213,0.0819,0.2707,0.2484,0.65,,,,,,,,,,,
ADR,y/y growth (%),"5 sessions, raw",all prints,20,-0.1671,-2.0536,-0.3712,0.7148,0.0076,-0.0075,0.9749,0.55,,,,,,,,,,,
ADR,y/y growth (%),"5 sessions, excess vs QQQ",all prints,20,0.0915,-3.1802,0.2086,0.8371,0.0024,0.0068,0.9774,0.55,,,,,,,,,,,
Take rate,y/y change (pts),"Day 1, raw",all prints,20,1.7139,0.0595,0.6362,0.5327,0.022,-0.0045,0.9849,0.4,,,,,,,,,,,
Take rate,y/y change (pts),"Day 1, excess vs QQQ",all prints,20,1.1503,-0.4202,0.4452,0.6615,0.0109,-0.018,0.9398,0.5,,,,,,,,,,,
Take rate,y/y change (pts),"5 sessions, raw",all prints,20,2.4086,-3.2776,0.8363,0.414,0.0374,0.0947,0.6912,0.45,,,,,,,,,,,
Take rate,y/y change (pts),"5 sessions, excess vs QQQ",all prints,20,2.0684,-3.203,0.7365,0.4709,0.0293,0.0963,0.6864,0.45,,,,,,,,,,,
Next-quarter revenue guide,guide midpoint vs Street (%),"Day 1, raw",all prints,19,0.8336,-1.7829,1.8415,0.0831,0.1663,0.5423,0.0164,0.6842,,,,,,,,,,,
Next-quarter revenue guide,guide midpoint vs Street (%),"Day 1, excess vs QQQ",all prints,19,0.7817,-2.3087,1.8279,0.0852,0.1643,0.5596,0.0127,0.6842,,,,,,,,,,,
Next-quarter revenue guide,guide midpoint vs Street (%),"5 sessions, raw",all prints,19,-0.3914,-2.6025,-0.7261,0.4777,0.0301,0.0386,0.8753,0.5263,,,,,,,,,,,
Next-quarter revenue guide,guide midpoint vs Street (%),"5 sessions, excess vs QQQ",all prints,19,0.1582,-3.7062,0.303,0.7655,0.0054,0.1912,0.4329,0.5263,,,,,,,,,,,
Next-quarter revenue guide,guide below Street (1/0),"Day 1, raw",all prints,19,-8.4591,3.3091,-2.2304,0.0395,0.2264,-0.5062,0.027,,-5.15,8.0,3.3091,11.0,0.25,0.6364,0.0523,,,,
Next-quarter revenue guide,guide below Street (1/0),"Day 1, excess vs QQQ",all prints,19,-7.5159,2.2909,-2.0662,0.0544,0.2007,-0.5449,0.0158,,-5.225,8.0,2.2909,11.0,0.125,0.5455,0.066,,,,
Next-quarter revenue guide,guide below Street (1/0),"5 sessions, raw",all prints,19,-4.8648,-1.2727,-1.0547,0.3063,0.0614,-0.253,0.296,,-6.1375,8.0,-1.2727,11.0,0.25,0.3636,0.2701,,,,
Next-quarter revenue guide,guide below Street (1/0),"5 sessions, excess vs QQQ",all prints,19,-7.0761,-0.4364,-1.6782,0.1116,0.1421,-0.3503,0.1414,,-7.5125,8.0,-0.4364,11.0,0.25,0.3636,0.1002,,,,
Revenue,surprise vs consensus (%),"Day 1, raw",2023 onward,14,0.7123,-2.1993,0.3102,0.7617,0.008,0.2659,0.3581,0.4286,,,,,,,,,,,
Revenue,surprise vs consensus (%),"Day 1, excess vs QQQ",2023 onward,14,0.6852,-2.7492,0.3049,0.7656,0.0077,0.2747,0.3418,0.2857,,,,,,,,,,,
Revenue,surprise vs consensus (%),"5 sessions, raw",2023 onward,14,-0.7888,-0.2368,-0.3199,0.7545,0.0085,0.0901,0.7593,0.3571,,,,,,,,,,,
Revenue,surprise vs consensus (%),"5 sessions, excess vs QQQ",2023 onward,14,-0.4972,-2.1413,-0.1909,0.8518,0.003,0.0242,0.9346,0.3571,,,,,,,,,,,
Revenue,"beat consensus (1/0, >0.5%)","Day 1, raw",2023 onward,14,7.8848,-7.2667,1.4218,0.1806,0.1442,0.4102,0.1451,,0.6182,11.0,-7.2667,3.0,0.4545,0.3333,0.1774,,,,
Revenue,"beat consensus (1/0, >0.5%)","Day 1, excess vs QQQ",2023 onward,14,6.5788,-6.8333,1.1856,0.2587,0.1048,0.3239,0.2586,,-0.2545,11.0,-6.8333,3.0,0.2727,0.3333,0.2299,,,,
Revenue,"beat consensus (1/0, >0.5%)","5 sessions, raw",2023 onward,14,6.0,-6.2,0.9677,0.3523,0.0724,0.3239,0.2586,,-0.2,11.0,-6.2,3.0,0.3636,0.3333,0.2373,,,,
Revenue,"beat consensus (1/0, >0.5%)","5 sessions, excess vs QQQ",2023 onward,14,5.6909,-7.4,0.8648,0.4041,0.0587,0.1943,0.5056,,-1.7091,11.0,-7.4,3.0,0.3636,0.3333,0.3799,,,,
Revenue,y/y growth (%),"Day 1, raw",2023 onward,14,-0.0789,0.0557,-0.1303,0.8985,0.0014,-0.165,0.5729,0.3571,,,,,,,,,,,
Revenue,y/y growth (%),"Day 1, excess vs QQQ",2023 onward,14,-0.1505,0.4856,-0.2546,0.8033,0.0054,-0.1516,0.6048,0.3571,,,,,,,,,,,
Revenue,y/y growth (%),"5 sessions, raw",2023 onward,14,-0.3342,3.2889,-0.5195,0.6128,0.022,-0.3166,0.27,0.2857,,,,,,,,,,,
Revenue,y/y growth (%),"5 sessions, excess vs QQQ",2023 onward,14,-0.4522,3.5309,-0.6721,0.5143,0.0363,-0.3902,0.1678,0.2857,,,,,,,,,,,
Revenue,acceleration vs prior quarter (pts),"Day 1, raw",2023 onward,14,0.4641,-0.8394,0.7429,0.4718,0.044,0.2785,0.335,0.4286,,,,,,,,,,,
Revenue,acceleration vs prior quarter (pts),"Day 1, excess vs QQQ",2023 onward,14,0.3867,-1.4709,0.6288,0.5413,0.0319,0.2254,0.4384,0.3571,,,,,,,,,,,
Revenue,acceleration vs prior quarter (pts),"5 sessions, raw",2023 onward,14,0.3431,-1.3141,0.5054,0.6224,0.0208,0.1989,0.4954,0.3571,,,,,,,,,,,
Revenue,acceleration vs prior quarter (pts),"5 sessions, excess vs QQQ",2023 onward,14,0.3354,-2.7609,0.4682,0.648,0.0179,0.1503,0.6081,0.3571,,,,,,,,,,,
EPS,surprise vs consensus ($/share),"Day 1, raw",2023 onward,12,14.7263,-1.4469,0.5453,0.5975,0.0289,0.1049,0.7456,0.3333,,,,,,,,,,,
EPS,surprise vs consensus ($/share),"Day 1, excess vs QQQ",2023 onward,12,14.3176,-1.8799,0.5445,0.5981,0.0288,0.1469,0.6488,0.4167,,,,,,,,,,,
EPS,surprise vs consensus ($/share),"5 sessions, raw",2023 onward,12,-2.1142,-1.4369,-0.0717,0.9443,0.0005,0.0629,0.8459,0.4167,,,,,,,,,,,
EPS,surprise vs consensus ($/share),"5 sessions, excess vs QQQ",2023 onward,12,1.7216,-2.9551,0.0557,0.9567,0.0003,-0.007,0.9828,0.4167,,,,,,,,,,,
EPS,"beat consensus (1/0, >$0.03)","Day 1, raw",2023 onward,12,3.5,-2.5833,0.6144,0.5527,0.0364,0.0483,0.8816,,0.9167,6.0,-2.5833,6.0,0.3333,0.6667,0.5562,,,,
EPS,"beat consensus (1/0, >$0.03)","Day 1, excess vs QQQ",2023 onward,12,3.5,-3.0333,0.6315,0.5419,0.0384,0.1448,0.6533,,0.4667,6.0,-3.0333,6.0,0.3333,0.3333,0.5464,,,,
EPS,"beat consensus (1/0, >$0.03)","5 sessions, raw",2023 onward,12,0.6833,-1.8667,0.1094,0.9151,0.0012,0.0483,0.8816,,-1.1833,6.0,-1.8667,6.0,0.3333,0.5,0.9156,,,,
EPS,"beat consensus (1/0, >$0.03)","5 sessions, excess vs QQQ",2023 onward,12,1.3,-3.5333,0.199,0.8462,0.0039,0.0,1.0,,-2.2333,6.0,-3.5333,6.0,0.3333,0.5,0.8469,,,,
EPS,"y/y growth, adjusted basis (%)","Day 1, raw",2023 onward,9,-0.0173,-0.1667,-0.2748,0.7914,0.0107,-0.25,0.5165,0.2222,,,,,,,,,,,
EPS,"y/y growth, adjusted basis (%)","Day 1, excess vs QQQ",2023 onward,9,-0.0135,-0.6698,-0.2255,0.828,0.0072,-0.05,0.8984,0.3333,,,,,,,,,,,
EPS,"y/y growth, adjusted basis (%)","5 sessions, raw",2023 onward,9,-0.0419,1.3103,-0.5868,0.5758,0.0469,-0.25,0.5165,0.2222,,,,,,,,,,,
EPS,"y/y growth, adjusted basis (%)","5 sessions, excess vs QQQ",2023 onward,9,-0.0374,-0.7082,-0.4898,0.6392,0.0331,-0.2,0.6059,0.2222,,,,,,,,,,,
GBV,surprise vs consensus (%),"Day 1, raw",2023 onward,8,0.5092,0.9178,0.2334,0.8232,0.009,0.3095,0.4556,0.625,,,,,,,,,,,
GBV,surprise vs consensus (%),"Day 1, excess vs QQQ",2023 onward,8,0.2835,1.1678,0.132,0.8993,0.0029,0.1429,0.7358,0.5,,,,,,,,,,,
GBV,surprise vs consensus (%),"5 sessions, raw",2023 onward,8,1.4082,-2.5823,0.6188,0.5588,0.06,0.2143,0.6103,0.5,,,,,,,,,,,
GBV,surprise vs consensus (%),"5 sessions, excess vs QQQ",2023 onward,8,0.6443,-0.796,0.2863,0.7843,0.0135,0.0952,0.8225,0.5,,,,,,,,,,,
GBV,"beat consensus (1/0, >0.5%)","Day 1, raw",2023 onward,8,,,,,,,,,,,,,,,,,,,
GBV,"beat consensus (1/0, >0.5%)","Day 1, excess vs QQQ",2023 onward,8,,,,,,,,,,,,,,,,,,,
GBV,"beat consensus (1/0, >0.5%)","5 sessions, raw",2023 onward,8,,,,,,,,,,,,,,,,,,,
GBV,"beat consensus (1/0, >0.5%)","5 sessions, excess vs QQQ",2023 onward,8,,,,,,,,,,,,,,,,,,,
GBV,y/y growth (%),"Day 1, raw",2023 onward,14,0.4939,-7.8549,0.6847,0.5065,0.0376,0.2396,0.4094,0.6429,,,,,,,,,,,
GBV,y/y growth (%),"Day 1, excess vs QQQ",2023 onward,14,0.3678,-6.7169,0.5171,0.6145,0.0218,0.2308,0.4273,0.5714,,,,,,,,,,,
GBV,y/y growth (%),"5 sessions, raw",2023 onward,14,0.1918,-4.1196,0.2435,0.8117,0.0049,0.1077,0.714,0.5714,,,,,,,,,,,
GBV,y/y growth (%),"5 sessions, excess vs QQQ",2023 onward,14,0.0435,-3.5261,0.0523,0.9591,0.0002,0.0462,0.8755,0.5714,,,,,,,,,,,
Nights,surprise vs consensus (%),"Day 1, raw",2023 onward,12,2.439,-1.3559,1.4813,0.1693,0.1799,0.3846,0.217,0.5,,,,,,,,,,,
Nights,surprise vs consensus (%),"Day 1, excess vs QQQ",2023 onward,12,2.4693,-2.074,1.5174,0.1601,0.1872,0.4406,0.1517,0.4167,,,,,,,,,,,
Nights,surprise vs consensus (%),"5 sessions, raw",2023 onward,12,3.2558,-2.2945,2.0235,0.0706,0.2905,0.4965,0.1006,0.4167,,,,,,,,,,,
Nights,surprise vs consensus (%),"5 sessions, excess vs QQQ",2023 onward,12,3.2562,-3.3949,1.992,0.0744,0.2841,0.5804,0.0479,0.4167,,,,,,,,,,,
Nights,"beat consensus (1/0, >1%)","Day 1, raw",2023 onward,12,8.2714,-2.6714,1.9451,0.0804,0.2745,0.4162,0.1784,,5.6,5.0,-2.6714,7.0,0.8,0.2857,0.1588,,,,
Nights,"beat consensus (1/0, >1%)","Day 1, excess vs QQQ",2023 onward,12,8.9429,-3.6429,2.1973,0.0527,0.3256,0.5141,0.0873,,5.3,5.0,-3.6429,7.0,0.8,0.0,0.1229,,,,
Nights,"beat consensus (1/0, >1%)","5 sessions, raw",2023 onward,12,8.5886,-3.0286,1.9141,0.0846,0.2681,0.4652,0.1275,,5.56,5.0,-3.0286,7.0,0.8,0.1429,0.172,,,,
Nights,"beat consensus (1/0, >1%)","5 sessions, excess vs QQQ",2023 onward,12,10.3029,-4.8429,2.4611,0.0336,0.3772,0.6121,0.0344,,5.46,5.0,-4.8429,7.0,0.8,0.1429,0.083,,,,
Nights,y/y growth (%),"Day 1, raw",2023 onward,14,-0.0959,-0.0604,-0.1096,0.9145,0.001,0.1429,0.6261,0.5,,,,,,,,,,,
Nights,y/y growth (%),"Day 1, excess vs QQQ",2023 onward,14,-0.1842,0.2783,-0.2156,0.8329,0.0039,0.2044,0.4833,0.6429,,,,,,,,,,,
Nights,y/y growth (%),"5 sessions, raw",2023 onward,14,-0.8105,7.061,-0.8906,0.3907,0.062,0.1165,0.6917,0.5714,,,,,,,,,,,
Nights,y/y growth (%),"5 sessions, excess vs QQQ",2023 onward,14,-0.777,5.2645,-0.8058,0.436,0.0513,0.0857,0.7708,0.5714,,,,,,,,,,,
Nights,acceleration vs prior quarter (pts),"Day 1, raw",2023 onward,14,1.0547,-0.3316,1.2752,0.2264,0.1193,0.3407,0.2333,0.6429,,,,,,,,,,,
Nights,acceleration vs prior quarter (pts),"Day 1, excess vs QQQ",2023 onward,14,1.0044,-0.9598,1.2369,0.2398,0.1131,0.3758,0.1854,0.7143,,,,,,,,,,,
Nights,acceleration vs prior quarter (pts),"5 sessions, raw",2023 onward,14,1.0485,-0.7502,1.1693,0.265,0.1023,0.4418,0.1138,0.7143,,,,,,,,,,,
Nights,acceleration vs prior quarter (pts),"5 sessions, excess vs QQQ",2023 onward,14,0.9567,-2.2575,0.9985,0.3377,0.0767,0.4681,0.0914,0.7143,,,,,,,,,,,
Adj. EBITDA,surprise vs consensus (%),"Day 1, raw",2023 onward,6,-0.3376,6.8499,-0.6542,0.5487,0.0966,-0.2571,0.6228,0.5,,,,,,,,,,,
Adj. EBITDA,surprise vs consensus (%),"Day 1, excess vs QQQ",2023 onward,6,-0.3022,5.5306,-0.5875,0.5884,0.0794,-0.2571,0.6228,0.3333,,,,,,,,,,,
Adj. EBITDA,surprise vs consensus (%),"5 sessions, raw",2023 onward,6,-0.4828,6.7557,-0.9357,0.4024,0.1796,-0.2,0.704,0.3333,,,,,,,,,,,
