city,region,pair_type,date_a,date_b,ids_a,ids_b,matched,retention,new_share_b,gross_adds,exits,price_basis_a,price_basis_b,price_comparable,matched_priced_entire,lfl_price_chg_median,lfl_price_chg_mean,lfl_price_up_share,lfl_price_down_share,lfl_median_price_a,lfl_median_price_b,matched_reviews_ltm_a,matched_reviews_ltm_b,matched_reviews_ltm_chg,exit_reviewed_ltm_share,exit_entire_home_share,exit_multi_listing_share,add_entire_home_share,add_multi_listing_share,matched_superhost_a,matched_superhost_b,days_apart,lfl_price_chg_annualized
austin,NA,sequential,2026-03-25,2026-04-23,8170,8290,7350,0.8996,0.1134,940,820,quote_per_night,quote_per_night,True,6293,0.0,-0.0258,0.3297,0.4238,277.9,270.0,116033,118442,0.0208,0.6683,0.739,0.5854,0.8043,0.683,0.565,0.5706,29,0.0
austin,NA,year_ago,2025-03-06,2026-04-23,15431,8290,5684,0.3683,0.3144,2606,9747,listed_nightly,quote_per_night,False,0,,,,,,,102195,100870,-0.013,0.4709,0.7808,0.4791,0.878,0.6493,0.5871,0.581,413,
austin,NA,sequential,2026-04-23,2026-05-25,8290,8568,7692,0.9279,0.1022,876,598,quote_per_night,quote_per_night,True,6543,0.0,-0.0284,0.3239,0.4457,268.0,262.0,118720,122213,0.0294,0.8144,0.8813,0.5268,0.6747,0.6301,0.5676,0.5679,32,0.0
austin,NA,year_ago,2025-06-13,2026-05-25,15187,8568,6115,0.4026,0.2863,2453,9072,listed_nightly,quote_per_night,False,0,,,,,,,104618,107272,0.0254,0.4509,0.7745,0.4662,0.8292,0.6629,0.5801,0.5804,346,
austin,NA,sequential,2026-05-25,2026-06-22,8568,11295,8196,0.9566,0.2744,3099,372,quote_per_night,quote_per_night,True,6756,0.0,-0.0034,0.3486,0.3533,265.0,262.0,124143,126972,0.0228,0.7392,0.879,0.6613,0.7606,0.6179,0.5551,0.5556,28,0.0
austin,NA,year_ago,2025-06-13,2026-06-22,15187,11295,7995,0.5264,0.2922,3300,7192,listed_nightly,quote_per_night,False,0,,,,,,,112823,112777,-0.0004,0.4077,0.7814,0.4281,0.8045,0.6691,0.5418,0.5435,374,
austin,NA,sequential,2026-06-22,2026-07-18,11295,11172,10837,0.9595,0.03,335,458,quote_per_night,quote_per_night,True,7969,0.0,0.006,0.4681,0.3324,236.0,236.0,133518,136067,0.0191,0.7074,0.7882,0.6441,0.8507,0.6299,0.5105,0.5,26,0.0
austin,NA,year_ago,2025-06-13,2026-07-18,15187,11172,7818,0.5148,0.3002,3354,7369,listed_nightly,quote_per_night,False,0,,,,,,,110852,110329,-0.0047,0.4158,0.7793,0.4341,0.805,0.6676,0.5452,0.5228,400,
austin,NA,sequential,2026-07-18,2026-08-25,11172,11079,10537,0.9432,0.0489,542,635,quote_per_night,quote_per_night,True,7730,0.0003,0.0301,0.4812,0.3525,239.0,250.33,131418,135398,0.0303,0.6803,0.8157,0.7055,0.7952,0.6827,0.5028,0.5036,38,0.0029
austin,NA,year_ago,2025-09-16,2026-08-25,10533,11079,7393,0.7019,0.3327,3686,3140,listed_nightly,quote_per_night,False,0,,,,,,,108172,112571,0.0407,0.6901,0.8487,0.599,0.7569,0.6663,0.5612,0.5521,343,
barcelona,EMEA,sequential,2025-09-14,2025-12-14,19410,18177,16028,0.8258,0.1182,2149,3382,listed_nightly,none,False,0,,,,,,,183968,194307,0.0562,0.6739,0.2918,0.712,0.436,0.8502,0.2188,0.2411,91,
barcelona,EMEA,sequential,2025-12-14,2026-01-18,18177,17099,16539,0.9099,0.0328,560,1638,none,none,False,0,,,,,,,198714,202793,0.0205,0.3596,0.5824,0.8242,0.5071,0.7857,0.2406,0.2406,35,
barcelona,EMEA,sequential,2026-01-18,2026-02-18,17099,12786,12128,0.7093,0.0515,658,4971,none,none,False,0,,,,,,,179411,181673,0.0126,0.3812,0.3559,0.6099,0.5,0.7751,0.278,0.2784,31,
barcelona,EMEA,sequential,2026-02-18,2026-03-21,12786,16107,12008,0.9392,0.2545,4099,778,none,quote_per_night,False,0,,,,,,,177921,181497,0.0201,0.4165,0.4859,0.7956,0.3362,0.5816,0.2818,0.2826,31,
barcelona,EMEA,sequential,2026-03-21,2026-04-20,16107,7277,7003,0.4348,0.0377,274,9104,quote_per_night,quote_per_night,True,5849,0.0938,0.1152,0.6167,0.297,264.9,295.0,172711,177163,0.0258,0.3857,0.4984,0.7041,0.5036,0.7226,0.344,0.3378,30,1.9784
barcelona,EMEA,sequential,2026-04-20,2026-05-24,7277,14399,6698,0.9204,0.5348,7701,579,quote_per_night,quote_per_night,True,5753,0.0205,0.0457,0.5135,0.3965,296.71,310.0,173651,177865,0.0243,0.8428,0.3903,0.7133,0.5602,0.7435,0.3451,0.3456,34,0.244
barcelona,EMEA,sequential,2026-05-24,2026-06-24,14399,15293,13696,0.9512,0.1044,1597,703,quote_per_night,quote_per_night,True,9000,-0.0112,-0.0641,0.2911,0.509,250.57,230.0,194670,198408,0.0192,0.6188,0.5064,0.8279,0.5523,0.8065,0.2714,0.2716,31,-0.1242
barcelona,EMEA,year_ago,2025-09-14,2026-06-24,19410,15293,12279,0.6326,0.1971,3014,7131,listed_nightly,quote_per_night,False,0,,,,,,,171496,188637,0.0999,0.4874,0.3799,0.6975,0.5889,0.8404,0.2573,0.2811,283,
barcelona,EMEA,sequential,2026-06-24,2026-07-16,15293,15777,14895,0.974,0.0559,882,398,quote_per_night,quote_per_night,True,9222,0.0,-0.015,0.4298,0.4337,229.5,232.165,199040,201950,0.0146,0.5854,0.5704,0.7312,0.4615,0.8345,0.2615,0.2593,22,0.0
barcelona,EMEA,year_ago,2025-09-14,2026-07-16,19410,15777,12213,0.6292,0.2259,3564,7197,listed_nightly,quote_per_night,False,0,,,,,,,170989,188454,0.1021,0.4902,0.3834,0.6972,0.5626,0.8476,0.2577,0.2712,305,
barcelona,EMEA,sequential,2026-07-16,2026-08-23,15777,16227,15140,0.9596,0.067,1087,637,quote_per_night,quote_per_night,True,8502,-0.008,-0.022,0.3797,0.5116,237.5,229.92,201767,207987,0.0308,0.4945,0.4898,0.8038,0.4499,0.8418,0.2564,0.2554,38,-0.0744
barcelona,EMEA,year_ago,2025-09-14,2026-08-23,19410,16227,12169,0.6269,0.2501,4058,7241,listed_nightly,quote_per_night,False,0,,,,,,,170838,189932,0.1118,0.4894,0.3878,0.6978,0.5493,0.8593,0.258,0.2708,343,
chicago,NA,sequential,2025-03-11,2025-06-17,8748,8604,7513,0.8588,0.1268,1091,1235,listed_nightly,listed_nightly,True,4767,0.2174,0.2501,0.7093,0.205,163.0,210.0,107569,111293,0.0346,0.6551,0.7522,0.8316,0.7324,0.8057,0.4586,0.4727,98,1.0806
chicago,NA,sequential,2025-06-17,2025-09-22,8604,8660,7764,0.9024,0.1035,896,840,listed_nightly,listed_nightly,True,5271,-0.1084,-0.1288,0.2273,0.656,209.0,179.0,106489,115770,0.0872,0.6905,0.6131,0.7417,0.7243,0.7567,0.4558,0.4906,97,-0.3507
chicago,NA,sequential,2025-09-22,2025-12-25,8660,8884,7960,0.9192,0.104,924,700,listed_nightly,none,False,0,,,,,,,110983,119483,0.0766,0.6371,0.6257,0.7657,0.6883,0.7316,0.4792,0.4967,94,
chicago,NA,year_ago,2025-03-11,2025-12-25,8748,8884,6641,0.7591,0.2525,2243,2107,listed_nightly,none,False,0,,,,,,,97138,103114,0.0615,0.6664,0.7005,0.7769,0.7503,0.7548,0.4773,0.5058,289,
chicago,NA,sequential,2025-12-25,2026-01-20,8884,8817,8596,0.9676,0.0251,221,288,none,none,False,0,,,,,,,119970,122514,0.0212,0.6076,0.5556,0.7812,0.6833,0.6335,0.4792,0.4801,26,
chicago,NA,year_ago,2025-03-11,2026-01-20,8748,8817,6548,0.7485,0.2573,2269,2200,listed_nightly,none,False,0,,,,,,,95972,102422,0.0672,0.6736,0.6995,0.7755,0.766,0.7378,0.4788,0.5041,315,
chicago,NA,sequential,2026-01-20,2026-02-25,8817,7821,7541,0.8553,0.0358,280,1276,none,none,False,0,,,,,,,114208,116009,0.0158,0.5423,0.6708,0.6591,0.6857,0.6607,0.4983,0.5011,36,
chicago,NA,year_ago,2025-03-11,2026-02-25,8748,7821,5680,0.6493,0.2738,2141,3068,listed_nightly,none,False,0,,,,,,,88613,95427,0.0769,0.6503,0.7047,0.7366,0.7922,0.7305,0.4943,0.5301,351,
chicago,NA,sequential,2026-02-25,2026-03-27,7821,5153,4702,0.6012,0.0875,451,3119,none,none,False,0,,,,,,,106320,108419,0.0197,0.3895,0.7631,0.7374,0.6674,0.6896,0.6055,0.6066,30,
chicago,NA,year_ago,2025-03-11,2026-03-27,8748,5153,3523,0.4027,0.3163,1630,5225,listed_nightly,none,False,0,,,,,,,82641,89446,0.0823,0.5447,0.7376,0.7472,0.8006,0.7313,0.6325,0.6585,381,
chicago,NA,sequential,2026-03-27,2026-04-24,5153,5116,4720,0.916,0.0774,396,433,none,quote_per_night,False,0,,,,,,,103657,107207,0.0342,0.8222,0.5335,0.7159,0.7626,0.649,0.6084,0.6006,28,
chicago,NA,year_ago,2025-03-11,2026-04-24,8748,5116,3467,0.3963,0.3223,1649,5281,listed_nightly,quote_per_night,False,0,,,,,,,81184,86906,0.0705,0.5459,0.7313,0.7504,0.8417,0.7362,0.6422,0.6548,409,
chicago,NA,sequential,2026-04-24,2026-05-26,5116,8408,4921,0.9619,0.4147,3487,195,quote_per_night,quote_per_night,True,3961,0.0585,0.13,0.5855,0.2658,239.0,270.33,108765,111491,0.0251,0.8359,0.7282,0.6872,0.7281,0.7402,0.6017,0.6019,32,0.9136
chicago,NA,year_ago,2025-06-17,2026-05-26,8604,8408,6581,0.7649,0.2173,1827,2023,listed_nightly,quote_per_night,False,0,,,,,,,94919,110892,0.1683,0.6471,0.6866,0.7326,0.7904,0.734,0.486,0.5161,343,
chicago,NA,sequential,2026-05-26,2026-06-24,8408,8660,8060,0.9586,0.0693,600,348,quote_per_night,quote_per_night,True,5391,0.0,0.0481,0.438,0.3448,247.5,260.5,120743,123624,0.0239,0.727,0.8046,0.773,0.5867,0.72,0.4998,0.4985,29,0.0
chicago,NA,year_ago,2025-06-17,2026-06-24,8604,8660,6491,0.7544,0.2505,2169,2113,listed_nightly,quote_per_night,False,0,,,,,,,93190,107269,0.1511,0.6417,0.7047,0.7279,0.746,0.7284,0.4894,0.5197,372,
chicago,NA,sequential,2026-06-24,2026-07-20,8660,8698,8410,0.9711,0.0331,288,250,quote_per_night,quote_per_night,True,5433,0.0058,0.0345,0.5159,0.3431,260.0,269.7,122775,126665,0.0317,0.624,0.584,0.732,0.7396,0.7847,0.4939,0.4863,26,0.0852
chicago,NA,year_ago,2025-06-17,2026-07-20,8604,8698,6379,0.7414,0.2666,2319,2225,listed_nightly,quote_per_night,False,0,,,,,,,92145,106899,0.1601,0.6431,0.6984,0.7294,0.7551,0.7361,0.49,0.5119,398,
chicago,NA,sequential,2026-07-20,2026-08-27,8698,8778,8348,0.9598,0.049,430,350,quote_per_night,quote_per_night,True,5305,-0.0425,-0.1103,0.2846,0.6057,276.0,244.0,124761,129694,0.0395,0.6343,0.7086,0.7114,0.5907,0.7651,0.4857,0.4845,38,-0.3411
chicago,NA,year_ago,2025-09-22,2026-08-27,8660,8778,6719,0.7759,0.2346,2059,1941,listed_nightly,quote_per_night,False,0,,,,,,,100392,116564,0.1611,0.6249,0.7409,0.7269,0.728,0.7339,0.5099,0.5123,339,
london,EMEA,sequential,2025-09-14,2025-12-13,96871,95688,85321,0.8808,0.1083,10367,11550,listed_nightly,none,False,0,,,,,,,489025,531298,0.0864,0.6327,0.7446,0.679,0.7638,0.6503,0.1815,0.1864,90,
london,EMEA,sequential,2025-12-13,2026-01-17,95688,61139,56711,0.5927,0.0724,4428,38977,none,none,False,0,,,,,,,489085,511621,0.0461,0.2365,0.6034,0.3776,0.7267,0.6452,0.254,0.2564,35,
london,EMEA,sequential,2026-01-17,2026-02-18,61139,60374,53192,0.87,0.119,7182,7947,none,none,False,0,,,,,,,480931,493086,0.0253,0.6124,0.6961,0.6009,0.6827,0.6012,0.2598,0.2602,32,
london,EMEA,sequential,2026-02-18,2026-03-21,60374,53639,46400,0.7685,0.135,7239,13974,none,quote_per_night,False,0,,,,,,,440084,455287,0.0345,0.5471,0.6873,0.5974,0.7078,0.6223,0.2637,0.2639,31,
london,EMEA,sequential,2026-03-21,2026-04-19,53639,54538,47136,0.8788,0.1357,7402,6503,quote_per_night,quote_per_night,True,30836,0.0,0.0143,0.4043,0.3047,220.315,225.0,436811,447645,0.0248,0.6285,0.6672,0.6083,0.6972,0.6117,0.2554,0.2601,29,0.0
london,EMEA,sequential,2026-04-19,2026-05-24,54538,57073,47832,0.877,0.1619,9241,6706,quote_per_night,quote_per_night,True,31203,0.0,0.0435,0.4436,0.2884,225.5,233.33,436590,453973,0.0398,0.6754,0.7381,0.6016,0.6231,0.6189,0.2544,0.2543,35,0.0
london,EMEA,sequential,2026-05-24,2026-06-19,57073,92638,54058,0.9472,0.4165,38580,3015,quote_per_night,quote_per_night,True,33911,0.0135,0.0739,0.5268,0.2901,230.0,248.0,469987,486585,0.0353,0.5658,0.7121,0.6269,0.6509,0.406,0.2442,0.2445,26,0.2074
london,EMEA,year_ago,2025-09-14,2026-06-19,96871,92638,70369,0.7264,0.2404,22269,26502,listed_nightly,quote_per_night,False,0,,,,,,,429843,474532,0.104,0.5271,0.6799,0.6072,0.7428,0.6729,0.1951,0.1916,278,
london,EMEA,sequential,2026-06-19,2026-07-16,92638,91965,87891,0.9488,0.0443,4074,4747,quote_per_night,quote_per_night,True,37846,0.0,-0.0516,0.258,0.4827,242.0,230.33,543389,564045,0.038,0.5199,0.6941,0.6084,0.7371,0.6443,0.1926,0.1948,27,0.0
london,EMEA,year_ago,2025-09-14,2026-07-16,96871,91965,68447,0.7066,0.2557,23518,28424,listed_nightly,quote_per_night,False,0,,,,,,,421103,462214,0.0976,0.5236,0.6765,0.6056,0.7412,0.6751,0.1963,0.1895,305,
london,EMEA,sequential,2026-07-16,2026-08-18,91965,92783,87409,0.9505,0.0579,5374,4556,quote_per_night,quote_per_night,True,36992,0.0,-0.049,0.2626,0.4684,232.0,220.0,547498,567247,0.0361,0.6207,0.7419,0.669,0.7291,0.6734,0.1951,0.1951,33,0.0
london,EMEA,year_ago,2025-09-14,2026-08-18,96871,92783,67381,0.6956,0.2738,25402,29490,listed_nightly,quote_per_night,False,0,,,,,,,416072,453485,0.0899,0.5258,0.6807,0.6077,0.7403,0.6775,0.1964,0.1895,338,
los-angeles,NA,sequential,2025-03-01,2025-06-17,45031,45421,39107,0.8684,0.139,6314,5924,listed_nightly,listed_nightly,True,21791,0.0,0.0577,0.4798,0.2127,182.0,194.0,329418,343362,0.0423,0.5179,0.7519,0.7367,0.738,0.7411,0.3712,0.3995,108,0.0
los-angeles,NA,sequential,2025-06-17,2025-09-01,45421,45886,40874,0.8999,0.1092,5012,4547,listed_nightly,listed_nightly,True,23304,0.0,-0.0331,0.3035,0.4175,195.0,186.0,331288,347199,0.048,0.5377,0.7211,0.7385,0.7273,0.7568,0.3938,0.413,76,0.0
los-angeles,NA,sequential,2025-09-01,2025-12-04,45886,45585,40727,0.8876,0.1066,4858,5159,listed_nightly,none,False,0,,,,,,,328631,347677,0.058,0.5363,0.6947,0.7616,0.7503,0.7462,0.4149,0.3767,94,
los-angeles,NA,year_ago,2025-03-01,2025-12-04,45031,45585,34304,0.7618,0.2475,11281,10727,listed_nightly,none,False,0,,,,,,,297477,307989,0.0353,0.5249,0.7259,0.7298,0.7456,0.7364,0.3804,0.372,278,
los-angeles,NA,sequential,2025-12-04,2026-01-15,45585,45893,43326,0.9504,0.0559,2567,2259,none,none,False,0,,,,,,,344491,355543,0.0321,0.5657,0.7667,0.7344,0.7145,0.7316,0.37,0.3693,42,
los-angeles,NA,year_ago,2025-03-01,2026-01-15,45031,45893,33491,0.7437,0.2702,12402,11540,listed_nightly,none,False,0,,,,,,,290692,299313,0.0297,0.5304,0.7278,0.7303,0.7356,0.7336,0.3793,0.3642,320,
los-angeles,NA,sequential,2026-01-15,2026-02-13,45893,45906,44093,0.9608,0.0395,1813,1800,none,none,False,0,,,,,,,350448,360945,0.03,0.54,0.8033,0.7272,0.7672,0.7055,0.3664,0.3674,29,
los-angeles,NA,year_ago,2025-03-01,2026-02-13,45031,45906,32884,0.7303,0.2837,13022,12147,listed_nightly,none,False,0,,,,,,,287193,297309,0.0352,0.5324,0.7329,0.7321,0.735,0.7328,0.3793,0.3653,349,
los-angeles,NA,sequential,2026-02-13,2026-03-16,45906,46088,44019,0.9589,0.0449,2069,1887,none,quote_per_night,False,0,,,,,,,353767,367018,0.0375,0.504,0.7801,0.7181,0.7337,0.709,0.3662,0.3664,31,
los-angeles,NA,year_ago,2025-03-01,2026-03-16,45031,46088,32290,0.7171,0.2994,13798,12741,listed_nightly,quote_per_night,False,0,,,,,,,282872,293451,0.0374,0.5316,0.7364,0.7317,0.7313,0.7343,0.3787,0.3661,380,
los-angeles,NA,sequential,2026-03-16,2026-04-14,46088,45295,44090,0.9566,0.0266,1205,1998,quote_per_night,quote_per_night,True,25988,0.0,0.0049,0.3348,0.3103,256.0,257.0,358405,370036,0.0325,0.5125,0.7883,0.7442,0.712,0.7485,0.3649,0.3719,29,0.0
los-angeles,NA,year_ago,2025-03-01,2026-04-14,45031,45295,31603,0.7018,0.3023,13692,13428,listed_nightly,quote_per_night,False,0,,,,,,,277640,287349,0.035,0.5305,0.7391,0.7317,0.7251,0.7379,0.3787,0.3622,409,
los-angeles,NA,sequential,2026-04-14,2026-05-23,45295,41946,39870,0.8802,0.0495,2076,5425,quote_per_night,quote_per_night,True,25047,0.0,0.036,0.4131,0.2758,259.0,268.67,358685,368850,0.0283,0.2465,0.6159,0.4536,0.7399,0.7254,0.4005,0.4,39,0.0
los-angeles,NA,year_ago,2025-06-17,2026-05-23,45421,41946,30441,0.6702,0.2743,11505,14980,listed_nightly,quote_per_night,False,0,,,,,,,284337,311491,0.0955,0.4328,0.6937,0.633,0.7275,0.7352,0.4405,0.4076,340,
los-angeles,NA,sequential,2026-05-23,2026-06-15,41946,43751,40326,0.9614,0.0783,3425,1620,quote_per_night,quote_per_night,True,25599,0.0,0.0373,0.3938,0.2435,271.6,284.0,363499,369931,0.0177,0.5309,0.7173,0.7389,0.7162,0.6753,0.399,0.4001,23,0.0
los-angeles,NA,year_ago,2025-06-17,2026-06-15,45421,43751,30021,0.6609,0.3138,13730,15400,listed_nightly,quote_per_night,False,0,,,,,,,281150,304416,0.0828,0.4336,0.6952,0.6356,0.7261,0.7252,0.4428,0.4118,363,
los-angeles,NA,sequential,2026-06-15,2026-07-12,43751,43805,41886,0.9574,0.0438,1919,1865,quote_per_night,quote_per_night,True,26012,0.0,-0.0262,0.3998,0.3771,283.315,274.1,361956,373371,0.0315,0.504,0.726,0.7223,0.7342,0.7238,0.3916,0.3961,27,0.0
los-angeles,NA,year_ago,2025-06-17,2026-07-12,45421,43805,29482,0.6491,0.327,14323,15939,listed_nightly,quote_per_night,False,0,,,,,,,277282,299445,0.0799,0.4372,0.6968,0.6359,0.728,0.7238,0.4435,0.4078,390,
los-angeles,NA,sequential,2026-07-12,2026-08-10,43805,43735,41611,0.9499,0.0486,2124,2194,quote_per_night,quote_per_night,True,25050,0.0,-0.0149,0.3486,0.436,275.31,271.33,366362,376985,0.029,0.5419,0.7293,0.7461,0.6445,0.7524,0.3967,0.3972,29,0.0
los-angeles,NA,year_ago,2025-09-01,2026-08-10,45886,43735,30722,0.6695,0.2975,13013,15164,listed_nightly,quote_per_night,False,0,,,,,,,285962,320163,0.1196,0.4283,0.698,0.6401,0.7176,0.7273,0.4634,0.4127,343,
mexico-city,LatAm,sequential,2025-06-25,2025-09-27,26401,27051,24492,0.9277,0.0946,2559,1909,listed_nightly,listed_nightly,True,13653,0.0,-0.0241,0.3755,0.4606,1272.0,1239.0,396430,415580,0.0483,0.6799,0.6349,0.6443,0.6604,0.6882,0.396,0.4076,94,0.0
mexico-city,LatAm,sequential,2025-09-27,2025-12-29,27051,23242,20925,0.7735,0.0997,2317,6126,listed_nightly,none,False,0,,,,,,,384132,419138,0.0911,0.4974,0.5516,0.5738,0.71,0.6336,0.4398,0.4654,93,
mexico-city,LatAm,sequential,2025-12-29,2026-01-25,23242,23783,21445,0.9227,0.0983,2338,1797,none,none,False,0,,,,,,,409832,419099,0.0226,0.7295,0.5821,0.6867,0.6514,0.6536,0.4538,0.4662,27,
mexico-city,LatAm,sequential,2026-01-25,2026-02-26,23783,24045,21841,0.9183,0.0917,2204,1942,none,none,False,0,,,,,,,420106,429246,0.0218,0.671,0.5772,0.673,0.6103,0.6379,0.4669,0.468,32,
mexico-city,LatAm,sequential,2026-02-26,2026-03-30,24045,22770,20488,0.8521,0.1002,2282,3557,none,quote_per_night,False,0,,,,,,,408508,415241,0.0165,0.661,0.5918,0.666,0.6437,0.6301,0.4765,0.4793,32,
mexico-city,LatAm,year_ago,2025-06-25,2026-03-30,26401,22770,16987,0.6434,0.254,5783,9414,listed_nightly,quote_per_night,False,0,,,,,,,337375,375797,0.1139,0.5609,0.5707,0.6166,0.7251,0.6521,0.466,0.4954,278,
mexico-city,LatAm,sequential,2026-03-30,2026-04-29,22770,23597,20553,0.9026,0.129,3044,2217,quote_per_night,quote_per_night,True,14119,0.0,-0.0206,0.3254,0.4596,1826.45,1800.0,393436,400110,0.017,0.7465,0.5823,0.7028,0.6015,0.6462,0.4683,0.4792,30,0.0
mexico-city,LatAm,year_ago,2025-06-25,2026-04-29,26401,23597,16896,0.64,0.284,6701,9505,listed_nightly,quote_per_night,False,0,,,,,,,331022,362310,0.0945,0.5677,0.5787,0.6221,0.7259,0.6442,0.4672,0.4918,308,
mexico-city,LatAm,sequential,2026-04-29,2026-05-29,23597,27493,22514,0.9541,0.1811,4979,1083,quote_per_night,quote_per_night,True,15075,0.0,0.0643,0.4593,0.3612,1801.69,1919.29,413851,429464,0.0377,0.6731,0.6528,0.6722,0.5109,0.6533,0.4623,0.4626,30,0.0
mexico-city,LatAm,year_ago,2025-06-25,2026-05-29,26401,27493,17881,0.6773,0.3496,9612,8520,listed_nightly,quote_per_night,False,0,,,,,,,348903,386086,0.1066,0.5509,0.6004,0.6038,0.6566,0.645,0.4619,0.4876,338,
mexico-city,LatAm,sequential,2026-05-29,2026-06-15,27493,31430,26888,0.978,0.1445,4542,605,quote_per_night,quote_per_night,True,16916,0.0239,0.0825,0.5243,0.3112,1929.255,2122.51,463496,472734,0.0199,0.519,0.6397,0.5504,0.6455,0.5407,0.4291,0.4282,17,0.6615
mexico-city,LatAm,year_ago,2025-06-25,2026-06-15,26401,31430,20020,0.7583,0.363,11410,6381,listed_nightly,quote_per_night,False,0,,,,,,,361295,395893,0.0958,0.5936,0.5861,0.6281,0.6557,0.6365,0.437,0.4574,355,
mexico-city,LatAm,sequential,2026-06-15,2026-07-14,31430,31244,30234,0.9619,0.0323,1010,1196,quote_per_night,quote_per_night,True,18080,-0.0733,-0.1316,0.3116,0.6041,2085.0,1790.605,478222,493494,0.0319,0.5268,0.6522,0.5778,0.5762,0.6594,0.4013,0.429,29,-0.6162
