ticker,fy,revenue_musd,sbc_musd,buybacks_musd,rsu_tax_withholding_musd,fcf_musd,net_income_musd,diluted_wa_shares_m,sbc_pct_rev,sbc_pct_fcf,buyback_plus_withholding_pct_fcf,net_cash_return_pct_fcf,diluted_shares_yoy_pct,fcf_per_diluted_share,buyback_musd_per_1pct_share_cut,fcf_growth_22_25_pct,fcf_per_share_growth_22_25_pct
EXPE,2021,8598.0,418.0,165.0,0.0,3075.0,15.0,149.7,4.9,13.6,5.4,-8.2,,20.54,,,
EXPE,2022,11667.0,374.0,607.0,0.0,2778.0,343.0,161.8,3.2,13.5,21.9,8.4,8.03,17.17,,,
EXPE,2023,12839.0,413.0,2137.0,0.0,1844.0,688.0,150.2,3.2,22.4,115.9,93.5,-7.12,12.27,,,
EXPE,2024,13691.0,458.0,1839.0,0.0,2329.0,1224.0,137.9,3.3,19.7,79.0,59.3,-8.19,16.89,,,
EXPE,2025,14733.0,398.0,1930.0,0.0,3110.0,1301.0,131.9,2.7,12.8,62.1,49.3,-4.33,23.57,,,
EXPE,2023-2025 cumulative,,1269.0,5906.0,,,,,,,,63.7,-18.43,,320.0,12.0,37.2
META,2021,117929.0,9164.0,44537.0,5515.0,38993.0,39370.0,2859.0,7.8,23.5,128.4,104.9,,13.64,,,
META,2022,116609.0,11992.0,27956.0,3595.0,19289.0,23200.0,2702.0,10.3,62.2,163.6,101.4,-5.49,7.14,,,
META,2023,134902.0,14027.0,19774.0,7012.0,44068.0,39098.0,2629.0,10.4,31.8,60.8,29.0,-2.7,16.76,,,
META,2024,164501.0,16690.0,30125.0,13770.0,54072.0,62360.0,2614.0,10.1,30.9,81.2,50.3,-0.57,20.69,,,
META,2025,200966.0,20427.0,26248.0,18400.0,46109.0,60458.0,2574.0,10.2,44.3,96.8,52.5,-1.53,17.91,,,
META,2023-2025 cumulative,,51144.0,115329.0,,,,,,,,44.5,-4.74,,24345.0,139.0,150.9
NFLX,2021,29697.8,403.2,600.0,224.2,-132.0,5116.0,4553.7,1.4,-305.5,-624.5,-319.0,,-0.03,,,
NFLX,2022,31615.5,575.5,0.0,0.0,1618.5,4492.0,4512.9,1.8,35.6,0.0,-35.6,-0.9,0.36,,,
NFLX,2023,33723.3,339.4,6045.3,0.0,6925.7,5408.0,4495.0,1.0,4.9,87.3,82.4,-0.4,1.54,,,
NFLX,2024,39001.0,272.6,6263.7,8.3,6921.8,8712.0,4392.6,0.7,3.9,90.6,86.7,-2.28,1.58,,,
NFLX,2025,45183.0,368.4,9127.2,46.2,9461.1,10981.0,4343.9,0.8,3.9,97.0,93.1,-1.11,2.18,,,
NFLX,2023-2025 cumulative,,980.4,21490.7,,,,,,,,88.0,-3.75,,5738.0,484.5,507.3
UBER,2021,17455.0,1168.0,0.0,27.0,-743.0,-496.0,1895.5,6.7,-157.2,-3.6,153.6,,-0.39,,,
UBER,2022,31877.0,1793.0,0.0,0.0,390.0,-9141.0,1974.9,5.6,459.7,0.0,-459.7,4.19,0.2,,,
UBER,2023,37281.0,1935.0,0.0,0.0,3362.0,1887.0,2091.8,5.2,57.6,0.0,-57.6,5.92,1.61,,,
UBER,2024,43978.0,1796.0,1252.0,0.0,6895.0,9856.0,2150.5,4.1,26.0,18.2,-7.9,2.81,3.21,,,
UBER,2025,52017.0,1826.0,6523.0,0.0,9763.0,10053.0,2119.7,3.5,18.7,66.8,48.1,-1.43,4.61,,,
UBER,2023-2025 cumulative,,5557.0,7775.0,,,,,,,,11.1,7.33,,n/a (count rose),2403.3,2232.4
DASH,2021,4888.0,486.0,0.0,172.0,563.0,-468.0,336.8,9.9,86.3,30.6,-55.8,,1.67,,,
DASH,2022,6583.0,889.0,400.0,0.0,191.0,-1365.0,371.4,13.5,465.4,209.4,-256.0,10.26,0.51,,,
DASH,2023,8635.0,1088.0,750.0,0.0,1550.0,-558.0,392.9,12.6,70.2,48.4,-21.8,5.8,3.94,,,
DASH,2024,10722.0,1099.0,224.0,0.0,2028.0,123.0,430.2,10.2,54.2,11.0,-43.1,9.49,4.71,,,
DASH,2025,13717.0,1051.0,0.0,0.0,2174.0,935.0,439.7,7.7,48.3,0.0,-48.3,2.2,4.94,,,
DASH,2023-2025 cumulative,,3238.0,974.0,,,,,,,,-39.4,18.38,,n/a (count rose),1038.2,861.5
