crawl,rows,status_200,full_renders,unique_ids,unique_ids_full,domains,first_capture,last_capture,with_check_in,crawl_date
CC-MAIN-2024-10,31266,25849,20409,29788,19659,9,2024-02-20 21:12:55,2024-03-05 15:40:32,1437,2024-03-04
CC-MAIN-2024-18,26108,21303,20132,24649,19255,9,2024-04-12 10:18:49,2024-04-25 15:27:08,1915,2024-04-29
CC-MAIN-2024-22,23651,19605,18430,22576,17797,9,2024-05-17 23:32:44,2024-05-30 23:23:12,1395,2024-05-27
CC-MAIN-2024-26,23603,19767,19569,22364,18770,9,2024-06-12 14:10:19,2024-06-25 23:06:13,1470,2024-06-24
CC-MAIN-2024-30,20828,16958,16860,19678,16113,9,2024-07-12 09:43:37,2024-07-25 20:20:21,1312,2024-07-22
CC-MAIN-2024-33,29267,22908,22506,28368,21917,9,2024-08-02 23:50:35,2024-08-16 05:30:57,1465,2024-08-12
CC-MAIN-2024-38,17536,14232,14119,16838,13729,9,2024-09-07 10:12:11,2024-09-21 04:36:17,1118,2024-09-16
CC-MAIN-2024-42,40928,32708,32531,39745,31805,9,2024-10-03 09:42:01,2024-10-16 08:52:05,1901,2024-10-14
CC-MAIN-2024-46,24610,19592,19545,23510,19086,9,2024-11-01 18:51:36,2024-11-15 04:57:57,1275,2024-11-11
CC-MAIN-2024-51,37766,29731,29710,36572,28970,9,2024-12-01 16:24:29,2024-12-14 23:54:54,2017,2024-12-16
CC-MAIN-2025-05,18175,14450,14430,16973,13808,9,2025-01-12 19:44:52,2025-01-26 16:52:21,1456,2025-01-27
CC-MAIN-2025-08,20714,16194,16186,19225,15448,9,2025-02-06 11:47:36,2025-02-19 23:14:12,1822,2025-02-17
CC-MAIN-2025-13,22432,18334,18322,21355,17629,9,2025-03-15 03:22:17,2025-03-28 16:57:04,1411,2025-03-24
CC-MAIN-2025-18,33529,26834,26826,32160,25897,9,2025-04-17 13:52:40,2025-05-01 00:52:21,2273,2025-04-28
CC-MAIN-2025-21,28233,22912,22911,26969,22042,9,2025-05-12 01:19:53,2025-05-25 06:11:52,1412,2025-05-19
CC-MAIN-2025-26,38462,34917,34917,37026,34000,9,2025-06-12 11:32:16,2025-06-25 09:10:10,2058,2025-06-23
CC-MAIN-2025-30,27414,24300,24275,26200,23450,9,2025-07-07 18:56:05,2025-07-20 20:16:08,1655,2025-07-21
CC-MAIN-2025-33,24634,21717,21717,23558,21081,9,2025-08-02 22:11:02,2025-08-15 23:05:48,1814,2025-08-11
CC-MAIN-2025-38,25812,23120,23120,24817,22551,9,2025-09-05 11:24:19,2025-09-18 10:07:17,1142,2025-09-15
CC-MAIN-2025-43,39169,38706,38705,37753,37747,9,2025-10-05 11:46:01,2025-10-19 00:32:06,2003,2025-10-20
CC-MAIN-2025-47,50506,50290,47584,49634,46976,9,2025-11-06 20:11:22,2025-11-19 11:45:26,1206,2025-11-17
CC-MAIN-2025-51,19875,19626,17637,19236,17221,9,2025-12-04 19:20:08,2025-12-17 13:49:57,1174,2025-12-15
CC-MAIN-2026-04,19202,18860,17019,18460,16567,9,2026-01-12 16:16:04,2026-01-25 13:25:25,957,2026-01-19
CC-MAIN-2026-08,17636,15438,15434,16901,14985,9,2026-02-06 18:16:37,2026-02-19 10:44:39,1156,2026-02-16
CC-MAIN-2026-12,18139,16122,16111,17397,15584,9,2026-03-05 07:11:33,2026-03-17 16:59:01,1043,2026-03-16
CC-MAIN-2026-17,17876,15406,15398,16596,14474,9,2026-04-10 08:13:05,2026-04-23 04:18:22,1411,2026-04-20
CC-MAIN-2026-21,23287,20303,20199,21378,18782,9,2026-05-08 07:45:07,2026-05-21 20:57:16,1402,2026-05-18
CC-MAIN-2026-25,28330,24700,24698,26220,23039,9,2026-06-05 21:53:14,2026-06-18 18:21:12,1610,2026-06-15
CC-MAIN-2026-30,27165,23868,23868,23100,20388,9,2026-07-10 07:06:45,2026-07-22 23:54:43,1602,2026-07-20
CC-MAIN-2026-34,33043,29773,29770,30618,27811,9,2026-08-07 10:23:06,2026-08-20 00:59:42,1612,2026-08-17
