year,lever,unit,base_value,model_growth_at_base,target_scenario,target_na_growth,required_value,reachable_in_bracket,evidence
2027,Category adoption (own-category nights growth),%,0.04,0.0231,bull,0.08,0.1296,True,Inverting the model on disclosed NA nights gives 7.9% (2024) -> 4.5% (2025). 4% is the observed 2025 exit rate. category_adoption_evidence.csv
2027,"Product shift (logit points, one year)",logit,0.0,0.0231,bear,0.03,0.0209,True,"Set to zero in the model. Management quantified RNPL + cancellation redesign + single fee at ~3 pts of nights growth and ~4 pts of GBV in 1Q26 (Mertz, 1Q26 call). This is the lever that bucket belongs in."
2027,"Product shift (logit points, one year)",logit,0.0,0.0231,base,0.06,0.103,True,"Set to zero in the model. Management quantified RNPL + cancellation redesign + single fee at ~3 pts of nights growth and ~4 pts of GBV in 1Q26 (Mertz, 1Q26 call). This is the lever that bucket belongs in."
2027,"Product shift (logit points, one year)",logit,0.0,0.0231,bull,0.08,0.1517,True,"Set to zero in the model. Management quantified RNPL + cancellation redesign + single fee at ~3 pts of nights growth and ~4 pts of GBV in 1Q26 (Mertz, 1Q26 call). This is the lever that bucket belongs in."
2027,U.S. lodging demand growth (contestable pool),%,0.017,0.0231,bear,0.03,0.0303,True,"CoStar/Tourism Economics Aug-2026: demand +1.7% 2026, +1.1% 2027. An independent third-party forecast for the whole U.S. market."
2027,U.S. lodging demand growth (contestable pool),%,0.017,0.0231,base,0.06,0.1139,True,"CoStar/Tourism Economics Aug-2026: demand +1.7% 2026, +1.1% 2027. An independent third-party forecast for the whole U.S. market."
2027,U.S. lodging demand growth (contestable pool),%,0.017,0.0231,bull,0.08,0.1697,True,"CoStar/Tourism Economics Aug-2026: demand +1.7% 2026, +1.1% 2027. An independent third-party forecast for the whole U.S. market."
2027,Airbnb ADR growth (share via the price gap),%,0.035,0.0231,bear,0.03,0.0209,True,"Team WS13 base ex-FX: FY26 ~+3.5%, FY27/28 +2.5%. Bear +2.0% / bull +4.0% for 2H26. Lower ADR buys share but costs the ADR line one-for-one."
2027,Airbnb ADR growth (share via the price gap),%,0.035,0.0231,base,0.06,0.0039,True,"Team WS13 base ex-FX: FY26 ~+3.5%, FY27/28 +2.5%. Bear +2.0% / bull +4.0% for 2H26. Lower ADR buys share but costs the ADR line one-for-one."
2027,Airbnb ADR growth (share via the price gap),%,0.035,0.0231,bull,0.08,-0.0067,True,"Team WS13 base ex-FX: FY26 ~+3.5%, FY27/28 +2.5%. Bear +2.0% / bull +4.0% for 2H26. Lower ADR buys share but costs the ADR line one-for-one."
2027,Switch rate,x,5.0,0.0231,bear,0.03,2.6724,True,"Central 5.0, grid 2.5-10.3, anchored on F&F Table E9. No direct estimate; the cross-city attempt was a recorded null."
2027,Switch rate,x,5.0,0.0231,base,0.06,,False,"Central 5.0, grid 2.5-10.3, anchored on F&F Table E9. No direct estimate; the cross-city attempt was a recorded null."
2027,Switch rate,x,5.0,0.0231,bull,0.08,,False,"Central 5.0, grid 2.5-10.3, anchored on F&F Table E9. No direct estimate; the cross-city attempt was a recorded null."
2027,Contestable share of Airbnb nights,%,0.38,0.0231,bear,0.03,0.2775,True,"Farronato & Fradkin (AER 2022): 62% would not have used a hotel. Validated out-of-sample on NYC Local Law 18 (predicted hotel ADR +4.0-6.5%, observed +4.7-6.3%)."
2027,Contestable share of Airbnb nights,%,0.38,0.0231,base,0.06,,False,"Farronato & Fradkin (AER 2022): 62% would not have used a hotel. Validated out-of-sample on NYC Local Law 18 (predicted hotel ADR +4.0-6.5%, observed +4.7-6.3%)."
2027,Contestable share of Airbnb nights,%,0.38,0.0231,bull,0.08,,False,"Farronato & Fradkin (AER 2022): 62% would not have used a hotel. Validated out-of-sample on NYC Local Law 18 (predicted hotel ADR +4.0-6.5%, observed +4.7-6.3%)."
