"n","date","move_pct","qqq_pct","bkng_pct","expe_pct","category","headline","detail"
22,"2022-05-18",-8.1,-4.9,-4.5,-2.2,"Macro/market","Target/Walmart margin shock","Consumer-discretionary selloff; Nasdaq -4.9%."
23,"2022-06-13",-9.2,-4.6,-6.0,-7.7,"Macro/market","Hot May CPI; 75 bp hike priced","S&P 500 enters bear market."
24,"2022-06-16",-8.1,-4.0,-6.4,-7.7,"Macro/market","Fed hikes 75 bp","ABNB closes below $100 for the first time."
25,"2022-06-24",8.1,3.4,5.2,8.8,"Macro/market","Oversold bounce","Nasdaq +3.4%; no company news."
26,"2022-09-22",-9.0,-1.2,-4.8,-7.1,"Macro/market","Fed 75 bp plus hawkish dots","Travel sold as most rate-sensitive discretionary; ABNB worse than peers on valuation."
27,"2022-10-31",-7.2,-1.2,-0.1,-3.4,"Company/other","Pre-earnings de-risking; bearish sector note on mortgage rates hurting hosts","Day before the Q3'22 print."
28,"2022-11-02",-13.4,-3.4,-5.9,-5.6,"Earnings","Q3'22: beat but Q4 nights guided to moderate","Revenue $2.88B (+29%) at top of guide; adj EBITDA $1.46B (51% margin); nights 99.7M (+25%). Q4 guide: nights growth to slow to ~20%, ADR flat; revenue +17-23%. Fed hiked 75 bp same day."
29,"2022-11-11",7.0,1.8,3.6,3.8,"Macro/market","Cool October CPI (Nov 10) follow-through","Growth rally; no company news."
30,"2022-11-30",7.1,4.6,3.1,4.3,"Macro/market","Powell signals slower hikes","Nasdaq +4.6%."
31,"2023-02-15",13.4,0.8,1.8,0.9,"Earnings","Q4'22: first profitable full year; Q1 guide beat","Revenue $1.90B (+24%) vs $1.86B; adj EBITDA $506M vs $435M; nights 88.2M (+20%) slightly below 90.1M est; FY22 net income $1.9B and FCF $3.4B. Q1'23 guide $1.75-1.82B vs $1.68B est."
32,"2023-05-10",-10.9,1.1,0.4,-2.4,"Earnings","Q1'23: first profitable Q1 on GAAP but nights guided below revenue","Revenue $1.82B (+20%); nights 121.1M (+19%); GBV $20.4B (+19%); net income $117M. Q2 guide $2.35-2.45B (+12-16%) with nights growth below revenue growth; tough pandemic comps."
33,"2023-09-05",7.2,0.1,1.0,0.6,"Company/other","S&P 500 inclusion (announced Sep 1; effective Sep 18)","Index-buying demand."
34,"2024-08-07",-13.4,-1.1,-3.3,-3.7,"Earnings","Q2'24: shorter lead times and slowing US demand","Revenue $2.75B (+11%); nights 125.1M (+9%); GBV $21.2B (+11%); EPS $0.86 vs $0.92 est; adj EBITDA $894M (33%). Q3 guide $3.67-3.73B and nights growth to moderate; flagged shorter booking lead times."
35,"2024-11-08",-8.7,0.1,0.5,3.8,"Earnings","Q3'24: EPS miss and expense growth","Revenue $3.73B (+10%) beat; nights 122.8M (+8%); GBV $20.1B (+10%); EPS $2.13 vs $2.17; S&M +27.5%, product dev +25%; adj EBITDA margin 52% (-200 bp)."
36,"2025-02-14",14.4,0.4,0.7,-0.4,"Earnings","Q4'24: nights beat (best day on record)","Revenue $2.48B (+12%) vs $2.42B; nights 111.0M (+12%) vs 108.7M est; GBV $17.6B (+13%); EPS $0.73 vs $0.58; adj EBITDA $765M vs $654M. Q1 guide $2.23-2.27B below $2.30B est but ignored."
37,"2025-04-03",-7.2,-5.4,-5.1,-9.2,"Macro/market","Liberation Day tariffs","10% baseline tariff; OTAs -5% to -9%; Morningstar cut travel fair values."
38,"2025-04-09",14.8,12.0,10.9,18.3,"Macro/market","90-day tariff pause","Nasdaq +12%; ABNB in line with peers."
39,"2025-08-07",-8.0,0.3,-1.9,1.3,"Earnings","Q2'25: beat but H2 nights to moderate and $200M new-business spend","Revenue $3.10B (+13%) vs $3.04B; nights 134.4M (+7%) vs 133.4M; GBV $23.5B (+11%); EPS $1.03 vs $0.94; adj EBITDA $1.04B (34%). Q3 guide $4.02-4.10B; nights growth to slow into Q4; Services/Experiences to weigh on margin."
40,"2026-02-03",-7.0,-1.5,-9.3,-15.3,"Competitor/industry","AI-disintermediation scare","Wyndham and other hotel chains announced booking deals with Google/Anthropic/ChatGPT; BKNG -9%, EXPE -15%. Booking fell 24% and Expedia 27% in February 2026."
41,"2026-08-07",17.4,1.2,3.4,1.3,"Earnings","Q2'26: beat on every KPI and FY guide raised","Revenue $3.61B (+17%) vs $3.58B; nights 148.3M (+10%) accelerating; GBV $27.2B (+16%); EPS $1.37 vs $1.26; adj EBITDA $1.26B (35%); first-time bookers +11%; hotels ~3x homes; FY26 revenue at least mid-teens and margin at least 35.5%. Highest close since Apr 2022."
