item,feature,horizon,window,n,slope,t,p,r2,spearman,mean_if_1,n_if_1,pos_share_if_1,mean_if_0,n_if_0,pos_share_if_0,welch_p_1_vs_rest,mean_if_minus1,n_if_minus1,pos_share_if_minus1,adj_r2,coef_1,t_1,var_1,coef_2,t_2,var_2,coef_3,t_3,var_3
FY margin guide,raised (1) vs reiterated/first/lowered (0),"Day 1, excess vs QQQ",all prints,20,0.4312,0.088,0.9309,0.0004,-0.0217,0.75,4.0,0.5,0.3188,16.0,0.4375,0.9454,,,,,,,,,,,,,
FY margin guide,raised (1) vs reiterated/first/lowered (0),"5 sessions, raw",all prints,20,7.2813,1.3856,0.1828,0.0964,0.1952,3.1,4.0,0.5,-4.1812,16.0,0.3125,0.3601,,,,,,,,,,,,,
FY margin guide,raised (1) vs reiterated/first/lowered (0),"5 sessions, excess vs QQQ",all prints,20,5.8375,1.1324,0.2723,0.0665,0.1951,1.75,4.0,0.5,-4.0875,16.0,0.3125,0.4296,,,,,,,,,,,,,
FY margin guide,FY floor minus prior FY actual margin (pts),"Day 1, raw",all prints,10,6.0607,1.6756,0.1323,0.2598,0.1056,,,,,,,,,,,,,,,,,,,,
FY margin guide,FY floor minus prior FY actual margin (pts),"Day 1, excess vs QQQ",all prints,10,5.4933,1.5514,0.1594,0.2313,0.1429,,,,,,,,,,,,,,,,,,,,
FY margin guide,FY floor minus prior FY actual margin (pts),"5 sessions, raw",all prints,10,6.6142,2.0588,0.0735,0.3463,-0.0932,,,,,,,,,,,,,,,,,,,,
FY margin guide,FY floor minus prior FY actual margin (pts),"5 sessions, excess vs QQQ",all prints,10,5.9088,1.6002,0.1482,0.2425,-0.0062,,,,,,,,,,,,,,,,,,,,
FY revenue guide,change vs prior statement (pts; first = 0),"Day 1, raw",all prints,3,,,,,,,,,,,,,,,,,,,,,,,,,
FY revenue guide,change vs prior statement (pts; first = 0),"Day 1, excess vs QQQ",all prints,3,,,,,,,,,,,,,,,,,,,,,,,,,
FY revenue guide,change vs prior statement (pts; first = 0),"5 sessions, raw",all prints,3,,,,,,,,,,,,,,,,,,,,,,,,,
FY revenue guide,change vs prior statement (pts; first = 0),"5 sessions, excess vs QQQ",all prints,3,,,,,,,,,,,,,,,,,,,,,,,,,
FY revenue guide,raised (1) vs other (0),"Day 1, raw",all prints,3,,,,,,,,,,,,,,,,,,,,,,,,,
FY revenue guide,raised (1) vs other (0),"Day 1, excess vs QQQ",all prints,3,,,,,,,,,,,,,,,,,,,,,,,,,
FY revenue guide,raised (1) vs other (0),"5 sessions, raw",all prints,3,,,,,,,,,,,,,,,,,,,,,,,,,
FY revenue guide,raised (1) vs other (0),"5 sessions, excess vs QQQ",all prints,3,,,,,,,,,,,,,,,,,,,,,,,,,
FY framework,any numeric FY guide issued (1/0),"Day 1, raw",all prints,23,-3.1222,-0.6748,0.5072,0.0212,-0.1669,0.4778,18.0,0.5,3.6,5.0,0.8,0.5792,,,,,,,,,,,,,
FY framework,any numeric FY guide issued (1/0),"Day 1, excess vs QQQ",all prints,23,-4.0267,-0.9168,0.3696,0.0385,-0.2066,-0.3667,18.0,0.3889,3.66,5.0,0.8,0.4289,,,,,,,,,,,,,
FY framework,any numeric FY guide issued (1/0),"5 sessions, raw",all prints,23,-1.3489,-0.28,0.7822,0.0037,-0.0715,-2.9889,18.0,0.3333,-1.64,5.0,0.4,0.723,,,,,,,,,,,,,
FY framework,any numeric FY guide issued (1/0),"5 sessions, excess vs QQQ",all prints,23,-2.5,-0.5364,0.5974,0.0135,-0.1669,-3.2,18.0,0.3333,-0.7,5.0,0.4,0.516,,,,,,,,,,,,,
FY framework,number of FY guidance items issued,"Day 1, raw",all prints,23,2.2497,1.3133,0.2032,0.0759,0.3701,,,,,,,,,,,,,,,,,,,,
FY framework,number of FY guidance items issued,"Day 1, excess vs QQQ",all prints,23,1.9139,1.1567,0.2604,0.0599,0.3313,,,,,,,,,,,,,,,,,,,,
FY framework,number of FY guidance items issued,"5 sessions, raw",all prints,23,2.1737,1.2235,0.2347,0.0665,0.3708,,,,,,,,,,,,,,,,,,,,
FY framework,number of FY guidance items issued,"5 sessions, excess vs QQQ",all prints,23,1.8977,1.091,0.2876,0.0536,0.2764,,,,,,,,,,,,,,,,,,,,
FY investment budget,new-business investment budget announced (1/0),"Day 1, raw",all prints,23,0.9303,0.1829,0.8566,0.0016,0.0519,1.925,4.0,0.75,0.9947,19.0,0.5263,0.8633,,,,,,,,,,,,,
FY investment budget,new-business investment budget announced (1/0),"Day 1, excess vs QQQ",all prints,23,1.1092,0.2279,0.822,0.0025,0.0519,1.425,4.0,0.5,0.3158,19.0,0.4737,0.8368,,,,,,,,,,,,,
FY investment budget,new-business investment budget announced (1/0),"5 sessions, raw",all prints,23,3.6868,0.7103,0.4853,0.0235,0.2768,0.35,4.0,0.75,-3.3368,19.0,0.2632,0.225,,,,,,,,,,,,,
FY investment budget,new-business investment budget announced (1/0),"5 sessions, excess vs QQQ",all prints,23,3.2461,0.6418,0.5279,0.0192,0.2249,0.025,4.0,0.75,-3.2211,19.0,0.2632,0.3645,,,,,,,,,,,,,
Reported quarter (for comparison),nights beat consensus (1/0),"Day 1, raw",all prints,19,4.1727,1.1976,0.2475,0.0778,0.3698,5.1,8.0,0.875,0.9273,11.0,0.4545,0.2646,,,,,,,,,,,,,
Reported quarter (for comparison),nights beat consensus (1/0),"Day 1, excess vs QQQ",all prints,19,4.1807,1.201,0.2462,0.0782,0.3892,4.1625,8.0,0.875,-0.0182,11.0,0.2727,0.2574,,,,,,,,,,,,,
Reported quarter (for comparison),nights beat consensus (1/0),"5 sessions, raw",all prints,19,2.7705,0.6285,0.5381,0.0227,0.1168,0.325,8.0,0.625,-2.4455,11.0,0.2727,0.5818,,,,,,,,,,,,,
Reported quarter (for comparison),nights beat consensus (1/0),"5 sessions, excess vs QQQ",all prints,19,3.1795,0.7985,0.4356,0.0362,0.1363,0.725,8.0,0.5,-2.4545,11.0,0.2727,0.4712,,,,,,,,,,,,,
Reported quarter (for comparison),revenue beat consensus (1/0),"Day 1, raw",all prints,23,8.3303,1.7523,0.0943,0.1276,0.3892,2.6053,19.0,0.6316,-5.725,4.0,0.25,0.0745,,,,,,,,,,,,,
Reported quarter (for comparison),revenue beat consensus (1/0),"Day 1, excess vs QQQ",all prints,23,8.0,1.758,0.0933,0.1283,0.3805,1.9,19.0,0.5263,-6.1,4.0,0.25,0.0565,,,,,,,,,,,,,
Reported quarter (for comparison),revenue beat consensus (1/0),"5 sessions, raw",all prints,23,2.85,0.5465,0.5905,0.014,0.1557,-2.2,19.0,0.3684,-5.05,4.0,0.25,0.4394,,,,,,,,,,,,,
Reported quarter (for comparison),revenue beat consensus (1/0),"5 sessions, excess vs QQQ",all prints,23,4.2592,0.8482,0.4059,0.0331,0.1557,-1.9158,19.0,0.3684,-6.175,4.0,0.25,0.3557,,,,,,,,,,,,,
Next-Q revenue guide,guided revenue growth (%),"Day 1, raw",2023 onward,14,0.3258,0.4434,0.6654,0.0161,0.244,,,,,,,,,,,,,,,,,,,,
Next-Q revenue guide,guided revenue growth (%),"Day 1, excess vs QQQ",2023 onward,14,0.2251,0.3118,0.7605,0.008,0.2176,,,,,,,,,,,,,,,,,,,,
Next-Q revenue guide,guided revenue growth (%),"5 sessions, raw",2023 onward,14,0.6091,0.785,0.4477,0.0488,0.0989,,,,,,,,,,,,,,,,,,,,
Next-Q revenue guide,guided revenue growth (%),"5 sessions, excess vs QQQ",2023 onward,14,0.4783,0.5785,0.5736,0.0271,0.0549,,,,,,,,,,,,,,,,,,,,
Next-Q revenue guide,guided growth minus just-reported growth (pts),"Day 1, raw",2023 onward,14,0.4342,0.6014,0.5587,0.0293,0.3187,,,,,,,,,,,,,,,,,,,,
Next-Q revenue guide,guided growth minus just-reported growth (pts),"Day 1, excess vs QQQ",2023 onward,14,0.4405,0.6243,0.5441,0.0315,0.3011,,,,,,,,,,,,,,,,,,,,
Next-Q revenue guide,guided growth minus just-reported growth (pts),"5 sessions, raw",2023 onward,14,1.0851,1.503,0.1587,0.1584,0.367,,,,,,,,,,,,,,,,,,,,
Next-Q revenue guide,guided growth minus just-reported growth (pts),"5 sessions, excess vs QQQ",2023 onward,14,1.1297,1.482,0.1641,0.1547,0.4418,,,,,,,,,,,,,,,,,,,,
Next-Q revenue guide,guide midpoint vs Street (%),"Day 1, raw",2023 onward,14,1.5589,1.4895,0.1622,0.156,0.4286,,,,,,,,,,,,,,,,,,,,
Next-Q revenue guide,guide midpoint vs Street (%),"Day 1, excess vs QQQ",2023 onward,14,1.4774,1.4347,0.1769,0.1464,0.4637,,,,,,,,,,,,,,,,,,,,
Next-Q revenue guide,guide midpoint vs Street (%),"5 sessions, raw",2023 onward,14,1.8621,1.6944,0.116,0.1931,0.3143,,,,,,,,,,,,,,,,,,,,
Next-Q revenue guide,guide midpoint vs Street (%),"5 sessions, excess vs QQQ",2023 onward,14,2.131,1.8815,0.0844,0.2278,0.3626,,,,,,,,,,,,,,,,,,,,
Next-Q revenue guide,guide below Street (1/0),"Day 1, raw",2023 onward,14,-5.8,-1.2538,0.2338,0.1158,-0.4075,-3.9714,7.0,0.2857,1.8286,7.0,0.5714,0.2345,,,,,,,,,,,,,
Next-Q revenue guide,guide below Street (1/0),"Day 1, excess vs QQQ",2023 onward,14,-5.7571,-1.2745,0.2266,0.1192,-0.4784,-4.5429,7.0,0.1429,1.2143,7.0,0.4286,0.2273,,,,,,,,,,,,,
Next-Q revenue guide,guide below Street (1/0),"5 sessions, raw",2023 onward,14,-8.4,-1.7896,0.0988,0.2107,-0.4075,-5.6857,7.0,0.2857,2.7143,7.0,0.4286,0.101,,,,,,,,,,,,,
Next-Q revenue guide,guide below Street (1/0),"5 sessions, excess vs QQQ",2023 onward,14,-9.2286,-1.8884,0.0834,0.2291,-0.443,-7.5429,7.0,0.2857,1.6857,7.0,0.4286,0.0838,,,,,,,,,,,,,
Next-Q revenue guide,range width (% of mid),"Day 1, raw",2023 onward,14,-4.75,-1.3817,0.1922,0.1373,-0.3582,,,,,,,,,,,,,,,,,,,,
Next-Q revenue guide,range width (% of mid),"Day 1, excess vs QQQ",2023 onward,14,-4.6956,-1.3984,0.1873,0.1401,-0.244,,,,,,,,,,,,,,,,,,,,
Next-Q revenue guide,range width (% of mid),"5 sessions, raw",2023 onward,14,-7.5102,-2.2545,0.0436,0.2975,-0.3626,,,,,,,,,,,,,,,,,,,,
Next-Q revenue guide,range width (% of mid),"5 sessions, excess vs QQQ",2023 onward,14,-6.7978,-1.8377,0.091,0.2196,-0.2923,,,,,,,,,,,,,,,,,,,,
Next-Q nights guide,implied nights acceleration (pts; +/-2 for above/below),"Day 1, raw",2023 onward,14,0.653,0.4417,0.6666,0.016,0.0944,,,,,,,,,,,,,,,,,,,,
Next-Q nights guide,implied nights acceleration (pts; +/-2 for above/below),"Day 1, excess vs QQQ",2023 onward,14,0.7847,0.5448,0.5959,0.0241,0.145,,,,,,,,,,,,,,,,,,,,
Next-Q nights guide,implied nights acceleration (pts; +/-2 for above/below),"5 sessions, raw",2023 onward,14,0.4171,0.2613,0.7983,0.0057,0.0529,,,,,,,,,,,,,,,,,,,,
Next-Q nights guide,implied nights acceleration (pts; +/-2 for above/below),"5 sessions, excess vs QQQ",2023 onward,14,0.8508,0.51,0.6193,0.0212,0.1358,,,,,,,,,,,,,,,,,,,,
Next-Q nights guide,"direction (+1 above, 0 stable, -1 below)","Day 1, raw",2023 onward,11,0.7389,0.2358,0.8189,0.0061,0.0201,-4.6,2.0,0.0,-0.1667,3.0,0.3333,0.7923,-4.6,6.0,0.3333,,,,,,,,,,
Next-Q nights guide,"direction (+1 above, 0 stable, -1 below)","Day 1, excess vs QQQ",2023 onward,11,1.4181,0.4717,0.6484,0.0241,0.1608,-4.4,2.0,0.0,-0.5,3.0,0.3333,0.9426,-5.7167,6.0,0.0,,,,,,,,,,
Next-Q nights guide,"direction (+1 above, 0 stable, -1 below)","5 sessions, raw",2023 onward,11,0.1639,0.0676,0.9476,0.0005,-0.005,-6.1,2.0,0.0,-2.9,3.0,0.3333,0.6917,-5.4667,6.0,0.1667,,,,,,,,,,
Next-Q nights guide,"direction (+1 above, 0 stable, -1 below)","5 sessions, excess vs QQQ",2023 onward,11,2.0208,0.7104,0.4955,0.0531,0.1608,-4.9,2.0,0.0,-4.0333,3.0,0.3333,0.6583,-8.1167,6.0,0.1667,,,,,,,,,,
Next-Q margin guide,"direction (+1 up, 0 flat, -1 down)","Day 1, raw",2023 onward,14,0.414,0.1508,0.8827,0.0019,0.156,-1.2,4.0,0.25,4.6,1.0,1.0,0.9594,-1.6444,9.0,0.4444,,,,,,,,,,
Next-Q margin guide,"direction (+1 up, 0 flat, -1 down)","Day 1, excess vs QQQ",2023 onward,14,0.0338,0.0126,0.9902,0.0,0.156,-2.375,4.0,0.0,4.4,1.0,1.0,0.7774,-2.0222,9.0,0.3333,,,,,,,,,,
Next-Q margin guide,"direction (+1 up, 0 flat, -1 down)","5 sessions, raw",2023 onward,14,0.1847,0.0626,0.9511,0.0003,0.104,-2.7,4.0,0.0,10.3,1.0,1.0,0.6548,-2.2556,9.0,0.4444,,,,,,,,,,
Next-Q margin guide,"direction (+1 up, 0 flat, -1 down)","5 sessions, excess vs QQQ",2023 onward,14,0.1299,0.0418,0.9674,0.0001,0.065,-4.225,4.0,0.0,8.9,1.0,1.0,0.6698,-3.6667,9.0,0.4444,,,,,,,,,,
Next-Q margin guide,guided y/y margin change (pts),"Day 1, raw",2023 onward,14,,,,,,,,,,,,,,,,,,,,,,,,,
Next-Q margin guide,guided y/y margin change (pts),"Day 1, excess vs QQQ",2023 onward,14,,,,,,,,,,,,,,,,,,,,,,,,,
Next-Q margin guide,guided y/y margin change (pts),"5 sessions, raw",2023 onward,14,,,,,,,,,,,,,,,,,,,,,,,,,
Next-Q margin guide,guided y/y margin change (pts),"5 sessions, excess vs QQQ",2023 onward,14,,,,,,,,,,,,,,,,,,,,,,,,,
Next-Q ADR guide,"direction (+1 up, 0 flat, -1 down)","Day 1, raw",2023 onward,13,-2.0491,-0.6547,0.5261,0.0375,-0.236,-2.8286,7.0,0.2857,-1.3333,3.0,0.3333,0.5859,1.4,3.0,0.6667,,,,,,,,,,
Next-Q ADR guide,"direction (+1 up, 0 flat, -1 down)","Day 1, excess vs QQQ",2023 onward,13,-1.3202,-0.4279,0.677,0.0164,-0.0787,-2.8143,7.0,0.2857,-2.8,3.0,0.0,0.775,0.1333,3.0,0.3333,,,,,,,,,,
Next-Q ADR guide,"direction (+1 up, 0 flat, -1 down)","5 sessions, raw",2023 onward,13,1.764,0.5491,0.5939,0.0267,-0.0666,-1.7571,7.0,0.2857,-0.2,3.0,0.3333,0.7956,-6.0667,3.0,0.3333,,,,,,,,,,
Next-Q ADR guide,"direction (+1 up, 0 flat, -1 down)","5 sessions, excess vs QQQ",2023 onward,13,1.7053,0.4994,0.6274,0.0222,0.0424,-3.1714,7.0,0.2857,-1.9667,3.0,0.3333,0.799,-7.2667,3.0,0.3333,,,,,,,,,,
Next-Q take-rate guide,"direction (+1 up, 0 flat, -1 down)","Day 1, raw",2023 onward,12,-0.3407,-0.0881,0.9315,0.0008,0.0126,-2.9375,8.0,0.375,3.2333,3.0,0.6667,0.6484,-8.7,1.0,0.0,,,,,,,,,,
Next-Q take-rate guide,"direction (+1 up, 0 flat, -1 down)","Day 1, excess vs QQQ",2023 onward,12,-0.7085,-0.1895,0.8535,0.0036,-0.0798,-3.7375,8.0,0.125,2.8333,3.0,0.6667,0.5899,-8.8,1.0,0.0,,,,,,,,,,
Next-Q take-rate guide,"direction (+1 up, 0 flat, -1 down)","5 sessions, raw",2023 onward,12,-1.5373,-0.3256,0.7514,0.0105,-0.0798,-3.25,8.0,0.25,6.0,3.0,0.6667,0.494,-8.7,1.0,0.0,,,,,,,,,,
Next-Q take-rate guide,"direction (+1 up, 0 flat, -1 down)","5 sessions, excess vs QQQ",2023 onward,12,-2.7085,-0.5633,0.5857,0.0308,-0.1891,-5.2375,8.0,0.25,4.6,3.0,0.6667,0.3883,-7.7,1.0,0.0,,,,,,,,,,
Next-Q GBV guide,"direction (+1 up, 0 flat, -1 below)","Day 1, raw",2023 onward,0,,,,,,,,,,,,,,,,,,,,,,,,,
Next-Q GBV guide,"direction (+1 up, 0 flat, -1 below)","Day 1, excess vs QQQ",2023 onward,0,,,,,,,,,,,,,,,,,,,,,,,,,
Next-Q GBV guide,"direction (+1 up, 0 flat, -1 below)","5 sessions, raw",2023 onward,0,,,,,,,,,,,,,,,,,,,,,,,,,
Next-Q GBV guide,"direction (+1 up, 0 flat, -1 below)","5 sessions, excess vs QQQ",2023 onward,0,,,,,,,,,,,,,,,,,,,,,,,,,
