quarter,call_date,source,topic,mgmt_prepared_mentions,mgmt_prepared_words,mgmt_prepared_per_1k_words,mgmt_qa_mentions,mgmt_qa_words,mgmt_qa_per_1k_words,analyst_mentions,analyst_words,analyst_per_1k_words
2021Q2,2021-08-12,sa,margin_ebitda,8,1318,6.07,10,5880,1.7,2,1543,1.3
2021Q2,2021-08-12,sa,take_rate_fees,0,1318,0.0,6,5880,1.02,2,1543,1.3
2021Q2,2021-08-12,sa,adr_pricing,1,1318,0.76,14,5880,2.38,2,1543,1.3
2021Q2,2021-08-12,sa,nights_demand,14,1318,10.62,47,5880,7.99,14,1543,9.07
2021Q2,2021-08-12,sa,supply_hosts,19,1318,14.42,93,5880,15.82,15,1543,9.72
2021Q2,2021-08-12,sa,marketing,3,1318,2.28,2,5880,0.34,0,1543,0.0
2021Q2,2021-08-12,sa,ai,0,1318,0.0,0,5880,0.0,0,1543,0.0
2021Q2,2021-08-12,sa,international_expansion,3,1318,2.28,18,5880,3.06,9,1543,5.83
2021Q2,2021-08-12,sa,services_experiences,0,1318,0.0,6,5880,1.02,5,1543,3.24
2021Q2,2021-08-12,sa,hotels,0,1318,0.0,5,5880,0.85,4,1543,2.59
2021Q2,2021-08-12,sa,regulation,0,1318,0.0,0,5880,0.0,0,1543,0.0
2021Q2,2021-08-12,sa,buyback_capital,0,1318,0.0,1,5880,0.17,2,1543,1.3
2021Q2,2021-08-12,sa,fx,0,1318,0.0,0,5880,0.0,0,1543,0.0
2021Q2,2021-08-12,sa,guidance,0,1318,0.0,6,5880,1.02,1,1543,0.65
2021Q3,2021-11-04,sa,margin_ebitda,4,1243,3.22,0,6193,0.0,1,1484,0.67
2021Q3,2021-11-04,sa,take_rate_fees,0,1243,0.0,0,6193,0.0,1,1484,0.67
2021Q3,2021-11-04,sa,adr_pricing,1,1243,0.8,20,6193,3.23,3,1484,2.02
2021Q3,2021-11-04,sa,nights_demand,7,1243,5.63,43,6193,6.94,12,1484,8.09
2021Q3,2021-11-04,sa,supply_hosts,22,1243,17.7,98,6193,15.82,10,1484,6.74
2021Q3,2021-11-04,sa,marketing,2,1243,1.61,17,6193,2.75,5,1484,3.37
2021Q3,2021-11-04,sa,ai,0,1243,0.0,0,6193,0.0,0,1484,0.0
2021Q3,2021-11-04,sa,international_expansion,4,1243,3.22,22,6193,3.55,7,1484,4.72
2021Q3,2021-11-04,sa,services_experiences,0,1243,0.0,6,6193,0.97,1,1484,0.67
2021Q3,2021-11-04,sa,hotels,0,1243,0.0,14,6193,2.26,4,1484,2.7
2021Q3,2021-11-04,sa,regulation,0,1243,0.0,2,6193,0.32,1,1484,0.67
2021Q3,2021-11-04,sa,buyback_capital,0,1243,0.0,2,6193,0.32,0,1484,0.0
2021Q3,2021-11-04,sa,fx,0,1243,0.0,0,6193,0.0,0,1484,0.0
2021Q3,2021-11-04,sa,guidance,1,1243,0.8,1,6193,0.16,0,1484,0.0
2021Q4,2022-02-15,ir,margin_ebitda,4,1490,2.68,10,6889,1.45,5,1539,3.25
2021Q4,2022-02-15,ir,take_rate_fees,0,1490,0.0,9,6889,1.31,5,1539,3.25
2021Q4,2022-02-15,ir,adr_pricing,1,1490,0.67,39,6889,5.66,13,1539,8.45
2021Q4,2022-02-15,ir,nights_demand,21,1490,14.09,52,6889,7.55,20,1539,13.0
2021Q4,2022-02-15,ir,supply_hosts,30,1490,20.13,110,6889,15.97,20,1539,13.0
2021Q4,2022-02-15,ir,marketing,1,1490,0.67,32,6889,4.65,12,1539,7.8
2021Q4,2022-02-15,ir,ai,0,1490,0.0,0,6889,0.0,0,1539,0.0
2021Q4,2022-02-15,ir,international_expansion,2,1490,1.34,8,6889,1.16,0,1539,0.0
2021Q4,2022-02-15,ir,services_experiences,0,1490,0.0,8,6889,1.16,3,1539,1.95
2021Q4,2022-02-15,ir,hotels,0,1490,0.0,18,6889,2.61,2,1539,1.3
2021Q4,2022-02-15,ir,regulation,0,1490,0.0,0,6889,0.0,0,1539,0.0
2021Q4,2022-02-15,ir,buyback_capital,0,1490,0.0,4,6889,0.58,1,1539,0.65
2021Q4,2022-02-15,ir,fx,0,1490,0.0,0,6889,0.0,0,1539,0.0
2021Q4,2022-02-15,ir,guidance,0,1490,0.0,2,6889,0.29,2,1539,1.3
2022Q1,2022-05-03,sa,margin_ebitda,7,1003,6.98,10,6821,1.47,4,1963,2.04
2022Q1,2022-05-03,sa,take_rate_fees,0,1003,0.0,1,6821,0.15,0,1963,0.0
2022Q1,2022-05-03,sa,adr_pricing,1,1003,1.0,25,6821,3.67,10,1963,5.09
2022Q1,2022-05-03,sa,nights_demand,23,1003,22.93,48,6821,7.04,13,1963,6.62
2022Q1,2022-05-03,sa,supply_hosts,11,1003,10.97,64,6821,9.38,16,1963,8.15
2022Q1,2022-05-03,sa,marketing,0,1003,0.0,16,6821,2.35,6,1963,3.06
2022Q1,2022-05-03,sa,ai,0,1003,0.0,0,6821,0.0,0,1963,0.0
2022Q1,2022-05-03,sa,international_expansion,0,1003,0.0,47,6821,6.89,6,1963,3.06
2022Q1,2022-05-03,sa,services_experiences,1,1003,1.0,16,6821,2.35,5,1963,2.55
2022Q1,2022-05-03,sa,hotels,0,1003,0.0,2,6821,0.29,3,1963,1.53
2022Q1,2022-05-03,sa,regulation,0,1003,0.0,5,6821,0.73,0,1963,0.0
2022Q1,2022-05-03,sa,buyback_capital,0,1003,0.0,7,6821,1.03,4,1963,2.04
2022Q1,2022-05-03,sa,fx,0,1003,0.0,0,6821,0.0,0,1963,0.0
2022Q1,2022-05-03,sa,guidance,0,1003,0.0,7,6821,1.03,3,1963,1.53
2022Q2,2022-08-02,sa,margin_ebitda,13,1057,12.3,12,5859,2.05,5,2174,2.3
2022Q2,2022-08-02,sa,take_rate_fees,0,1057,0.0,3,5859,0.51,2,2174,0.92
2022Q2,2022-08-02,sa,adr_pricing,0,1057,0.0,7,5859,1.19,2,2174,0.92
2022Q2,2022-08-02,sa,nights_demand,19,1057,17.98,46,5859,7.85,19,2174,8.74
2022Q2,2022-08-02,sa,supply_hosts,9,1057,8.51,66,5859,11.26,12,2174,5.52
2022Q2,2022-08-02,sa,marketing,0,1057,0.0,5,5859,0.85,3,2174,1.38
2022Q2,2022-08-02,sa,ai,0,1057,0.0,0,5859,0.0,0,2174,0.0
2022Q2,2022-08-02,sa,international_expansion,1,1057,0.95,38,5859,6.49,12,2174,5.52
2022Q2,2022-08-02,sa,services_experiences,1,1057,0.95,11,5859,1.88,8,2174,3.68
2022Q2,2022-08-02,sa,hotels,0,1057,0.0,4,5859,0.68,1,2174,0.46
2022Q2,2022-08-02,sa,regulation,0,1057,0.0,1,5859,0.17,0,2174,0.0
2022Q2,2022-08-02,sa,buyback_capital,1,1057,0.95,3,5859,0.51,2,2174,0.92
2022Q2,2022-08-02,sa,fx,2,1057,1.89,8,5859,1.37,7,2174,3.22
2022Q2,2022-08-02,sa,guidance,1,1057,0.95,2,5859,0.34,4,2174,1.84
2022Q3,2022-11-01,sa,margin_ebitda,9,610,14.75,18,7492,2.4,3,1834,1.64
2022Q3,2022-11-01,sa,take_rate_fees,0,610,0.0,10,7492,1.33,1,1834,0.55
2022Q3,2022-11-01,sa,adr_pricing,0,610,0.0,39,7492,5.21,11,1834,6.0
2022Q3,2022-11-01,sa,nights_demand,17,610,27.87,62,7492,8.28,14,1834,7.63
2022Q3,2022-11-01,sa,supply_hosts,10,610,16.39,61,7492,8.14,12,1834,6.54
2022Q3,2022-11-01,sa,marketing,0,610,0.0,22,7492,2.94,6,1834,3.27
2022Q3,2022-11-01,sa,ai,0,610,0.0,0,7492,0.0,0,1834,0.0
2022Q3,2022-11-01,sa,international_expansion,2,610,3.28,23,7492,3.07,5,1834,2.73
2022Q3,2022-11-01,sa,services_experiences,0,610,0.0,8,7492,1.07,1,1834,0.55
2022Q3,2022-11-01,sa,hotels,0,610,0.0,4,7492,0.53,2,1834,1.09
2022Q3,2022-11-01,sa,regulation,0,610,0.0,3,7492,0.4,1,1834,0.55
2022Q3,2022-11-01,sa,buyback_capital,0,610,0.0,0,7492,0.0,1,1834,0.55
2022Q3,2022-11-01,sa,fx,1,610,1.64,8,7492,1.07,2,1834,1.09
2022Q3,2022-11-01,sa,guidance,0,610,0.0,8,7492,1.07,3,1834,1.64
2022Q4,2023-02-14,sa,margin_ebitda,7,1065,6.57,16,6642,2.41,13,1978,6.57
2022Q4,2023-02-14,sa,take_rate_fees,0,1065,0.0,9,6642,1.36,3,1978,1.52
2022Q4,2023-02-14,sa,adr_pricing,0,1065,0.0,52,6642,7.83,17,1978,8.59
2022Q4,2023-02-14,sa,nights_demand,11,1065,10.33,44,6642,6.62,11,1978,5.56
2022Q4,2023-02-14,sa,supply_hosts,26,1065,24.41,77,6642,11.59,18,1978,9.1
2022Q4,2023-02-14,sa,marketing,0,1065,0.0,14,6642,2.11,1,1978,0.51
2022Q4,2023-02-14,sa,ai,0,1065,0.0,3,6642,0.45,2,1978,1.01
2022Q4,2023-02-14,sa,international_expansion,3,1065,2.82,23,6642,3.46,7,1978,3.54
2022Q4,2023-02-14,sa,services_experiences,4,1065,3.76,13,6642,1.96,2,1978,1.01
2022Q4,2023-02-14,sa,hotels,0,1065,0.0,3,6642,0.45,1,1978,0.51
2022Q4,2023-02-14,sa,regulation,0,1065,0.0,0,6642,0.0,0,1978,0.0
2022Q4,2023-02-14,sa,buyback_capital,2,1065,1.88,6,6642,0.9,4,1978,2.02
2022Q4,2023-02-14,sa,fx,2,1065,1.88,3,6642,0.45,2,1978,1.01
2022Q4,2023-02-14,sa,guidance,1,1065,0.94,4,6642,0.6,5,1978,2.53
2023Q1,2023-05-09,ir,margin_ebitda,5,1235,4.05,16,7595,2.11,3,1500,2.0
2023Q1,2023-05-09,ir,take_rate_fees,0,1235,0.0,3,7595,0.39,0,1500,0.0
2023Q1,2023-05-09,ir,adr_pricing,15,1235,12.15,61,7595,8.03,8,1500,5.33
2023Q1,2023-05-09,ir,nights_demand,19,1235,15.38,36,7595,4.74,11,1500,7.33
2023Q1,2023-05-09,ir,supply_hosts,22,1235,17.81,63,7595,8.29,18,1500,12.0
2023Q1,2023-05-09,ir,marketing,0,1235,0.0,32,7595,4.21,5,1500,3.33
2023Q1,2023-05-09,ir,ai,0,1235,0.0,23,7595,3.03,2,1500,1.33
2023Q1,2023-05-09,ir,international_expansion,8,1235,6.48,51,7595,6.71,8,1500,5.33
2023Q1,2023-05-09,ir,services_experiences,4,1235,3.24,13,7595,1.71,5,1500,3.33
2023Q1,2023-05-09,ir,hotels,0,1235,0.0,6,7595,0.79,0,1500,0.0
2023Q1,2023-05-09,ir,regulation,0,1235,0.0,0,7595,0.0,0,1500,0.0
2023Q1,2023-05-09,ir,buyback_capital,3,1235,2.43,0,7595,0.0,0,1500,0.0
2023Q1,2023-05-09,ir,fx,0,1235,0.0,0,7595,0.0,0,1500,0.0
2023Q1,2023-05-09,ir,guidance,1,1235,0.81,4,7595,0.53,6,1500,4.0
2023Q2,2023-08-03,ir,margin_ebitda,6,1185,5.06,22,6275,3.51,3,945,3.17
2023Q2,2023-08-03,ir,take_rate_fees,0,1185,0.0,5,6275,0.8,5,945,5.29
2023Q2,2023-08-03,ir,adr_pricing,17,1185,14.35,45,6275,7.17,14,945,14.81
2023Q2,2023-08-03,ir,nights_demand,15,1185,12.66,28,6275,4.46,2,945,2.12
2023Q2,2023-08-03,ir,supply_hosts,22,1185,18.57,55,6275,8.76,4,945,4.23
2023Q2,2023-08-03,ir,marketing,0,1185,0.0,15,6275,2.39,2,945,2.12
2023Q2,2023-08-03,ir,ai,0,1185,0.0,17,6275,2.71,2,945,2.12
2023Q2,2023-08-03,ir,international_expansion,4,1185,3.38,37,6275,5.9,2,945,2.12
2023Q2,2023-08-03,ir,services_experiences,3,1185,2.53,18,6275,2.87,3,945,3.17
2023Q2,2023-08-03,ir,hotels,1,1185,0.84,20,6275,3.19,0,945,0.0
2023Q2,2023-08-03,ir,regulation,0,1185,0.0,0,6275,0.0,0,945,0.0
2023Q2,2023-08-03,ir,buyback_capital,3,1185,2.53,0,6275,0.0,0,945,0.0
2023Q2,2023-08-03,ir,fx,1,1185,0.84,2,6275,0.32,0,945,0.0
2023Q2,2023-08-03,ir,guidance,0,1185,0.0,2,6275,0.32,2,945,2.12
2023Q3,2023-11-01,ir,margin_ebitda,4,793,5.04,9,7310,1.23,0,1485,0.0
2023Q3,2023-11-01,ir,take_rate_fees,0,793,0.0,5,7310,0.68,6,1485,4.04
2023Q3,2023-11-01,ir,adr_pricing,7,793,8.83,49,7310,6.7,13,1485,8.75
2023Q3,2023-11-01,ir,nights_demand,15,793,18.92,33,7310,4.51,10,1485,6.73
2023Q3,2023-11-01,ir,supply_hosts,25,793,31.53,77,7310,10.53,13,1485,8.75
2023Q3,2023-11-01,ir,marketing,0,793,0.0,16,7310,2.19,4,1485,2.69
2023Q3,2023-11-01,ir,ai,0,793,0.0,14,7310,1.92,1,1485,0.67
2023Q3,2023-11-01,ir,international_expansion,11,793,13.87,34,7310,4.65,6,1485,4.04
2023Q3,2023-11-01,ir,services_experiences,1,793,1.26,15,7310,2.05,3,1485,2.02
2023Q3,2023-11-01,ir,hotels,0,793,0.0,27,7310,3.69,3,1485,2.02
2023Q3,2023-11-01,ir,regulation,0,793,0.0,25,7310,3.42,2,1485,1.35
2023Q3,2023-11-01,ir,buyback_capital,2,793,2.52,0,7310,0.0,0,1485,0.0
2023Q3,2023-11-01,ir,fx,0,793,0.0,3,7310,0.41,0,1485,0.0
2023Q3,2023-11-01,ir,guidance,0,793,0.0,5,7310,0.68,4,1485,2.69
2023Q4,2024-02-13,ir,margin_ebitda,2,1420,1.41,12,6199,1.94,3,1518,1.98
2023Q4,2024-02-13,ir,take_rate_fees,0,1420,0.0,7,6199,1.13,8,1518,5.27
2023Q4,2024-02-13,ir,adr_pricing,12,1420,8.45,22,6199,3.55,4,1518,2.64
2023Q4,2024-02-13,ir,nights_demand,12,1420,8.45,52,6199,8.39,16,1518,10.54
2023Q4,2024-02-13,ir,supply_hosts,31,1420,21.83,52,6199,8.39,8,1518,5.27
2023Q4,2024-02-13,ir,marketing,0,1420,0.0,20,6199,3.23,2,1518,1.32
2023Q4,2024-02-13,ir,ai,5,1420,3.52,19,6199,3.07,2,1518,1.32
2023Q4,2024-02-13,ir,international_expansion,8,1420,5.63,52,6199,8.39,22,1518,14.49
2023Q4,2024-02-13,ir,services_experiences,6,1420,4.23,5,6199,0.81,3,1518,1.98
2023Q4,2024-02-13,ir,hotels,1,1420,0.7,16,6199,2.58,0,1518,0.0
2023Q4,2024-02-13,ir,regulation,0,1420,0.0,0,6199,0.0,0,1518,0.0
2023Q4,2024-02-13,ir,buyback_capital,4,1420,2.82,4,6199,0.65,1,1518,0.66
2023Q4,2024-02-13,ir,fx,0,1420,0.0,7,6199,1.13,2,1518,1.32
2023Q4,2024-02-13,ir,guidance,0,1420,0.0,7,6199,1.13,3,1518,1.98
2024Q1,2024-05-08,ir,margin_ebitda,6,1065,5.63,21,6850,3.07,3,1523,1.97
2024Q1,2024-05-08,ir,take_rate_fees,0,1065,0.0,1,6850,0.15,1,1523,0.66
2024Q1,2024-05-08,ir,adr_pricing,1,1065,0.94,29,6850,4.23,7,1523,4.6
2024Q1,2024-05-08,ir,nights_demand,20,1065,18.78,44,6850,6.42,10,1523,6.57
2024Q1,2024-05-08,ir,supply_hosts,20,1065,18.78,55,6850,8.03,14,1523,9.19
2024Q1,2024-05-08,ir,marketing,0,1065,0.0,14,6850,2.04,1,1523,0.66
2024Q1,2024-05-08,ir,ai,0,1065,0.0,14,6850,2.04,1,1523,0.66
2024Q1,2024-05-08,ir,international_expansion,2,1065,1.88,39,6850,5.69,5,1523,3.28
2024Q1,2024-05-08,ir,services_experiences,13,1065,12.21,14,6850,2.04,5,1523,3.28
2024Q1,2024-05-08,ir,hotels,2,1065,1.88,18,6850,2.63,1,1523,0.66
2024Q1,2024-05-08,ir,regulation,0,1065,0.0,0,6850,0.0,0,1523,0.0
2024Q1,2024-05-08,ir,buyback_capital,2,1065,1.88,1,6850,0.15,0,1523,0.0
2024Q1,2024-05-08,ir,fx,1,1065,0.94,1,6850,0.15,0,1523,0.0
2024Q1,2024-05-08,ir,guidance,2,1065,1.88,8,6850,1.17,3,1523,1.97
2024Q2,2024-08-06,ir,margin_ebitda,3,1059,2.83,21,6866,3.06,1,1424,0.7
2024Q2,2024-08-06,ir,take_rate_fees,0,1059,0.0,0,6866,0.0,0,1424,0.0
2024Q2,2024-08-06,ir,adr_pricing,1,1059,0.94,24,6866,3.5,7,1424,4.92
2024Q2,2024-08-06,ir,nights_demand,22,1059,20.77,58,6866,8.45,17,1424,11.94
2024Q2,2024-08-06,ir,supply_hosts,26,1059,24.55,21,6866,3.06,6,1424,4.21
2024Q2,2024-08-06,ir,marketing,1,1059,0.94,13,6866,1.89,3,1424,2.11
2024Q2,2024-08-06,ir,ai,0,1059,0.0,12,6866,1.75,1,1424,0.7
2024Q2,2024-08-06,ir,international_expansion,7,1059,6.61,51,6866,7.43,3,1424,2.11
2024Q2,2024-08-06,ir,services_experiences,4,1059,3.78,23,6866,3.35,9,1424,6.32
2024Q2,2024-08-06,ir,hotels,1,1059,0.94,27,6866,3.93,4,1424,2.81
2024Q2,2024-08-06,ir,regulation,0,1059,0.0,4,6866,0.58,1,1424,0.7
2024Q2,2024-08-06,ir,buyback_capital,2,1059,1.89,4,6866,0.58,1,1424,0.7
2024Q2,2024-08-06,ir,fx,2,1059,1.89,0,6866,0.0,0,1424,0.0
2024Q2,2024-08-06,ir,guidance,2,1059,1.89,10,6866,1.46,3,1424,2.11
2024Q3,2024-11-07,ir,margin_ebitda,3,1189,2.52,13,6538,1.99,5,1060,4.72
2024Q3,2024-11-07,ir,take_rate_fees,0,1189,0.0,0,6538,0.0,0,1060,0.0
2024Q3,2024-11-07,ir,adr_pricing,0,1189,0.0,32,6538,4.89,1,1060,0.94
2024Q3,2024-11-07,ir,nights_demand,28,1189,23.55,31,6538,4.74,3,1060,2.83
2024Q3,2024-11-07,ir,supply_hosts,37,1189,31.12,49,6538,7.49,13,1060,12.26
2024Q3,2024-11-07,ir,marketing,2,1189,1.68,13,6538,1.99,2,1060,1.89
2024Q3,2024-11-07,ir,ai,0,1189,0.0,7,6538,1.07,0,1060,0.0
2024Q3,2024-11-07,ir,international_expansion,8,1189,6.73,32,6538,4.89,3,1060,2.83
2024Q3,2024-11-07,ir,services_experiences,1,1189,0.84,14,6538,2.14,7,1060,6.6
2024Q3,2024-11-07,ir,hotels,0,1189,0.0,19,6538,2.91,1,1060,0.94
2024Q3,2024-11-07,ir,regulation,0,1189,0.0,15,6538,2.29,2,1060,1.89
2024Q3,2024-11-07,ir,buyback_capital,2,1189,1.68,4,6538,0.61,0,1060,0.0
2024Q3,2024-11-07,ir,fx,0,1189,0.0,0,6538,0.0,0,1060,0.0
2024Q3,2024-11-07,ir,guidance,1,1189,0.84,6,6538,0.92,2,1060,1.89
2024Q4,2025-02-13,ir,margin_ebitda,23,1131,20.34,17,6908,2.46,5,1694,2.95
2024Q4,2025-02-13,ir,take_rate_fees,0,1131,0.0,8,6908,1.16,2,1694,1.18
2024Q4,2025-02-13,ir,adr_pricing,0,1131,0.0,21,6908,3.04,1,1694,0.59
2024Q4,2025-02-13,ir,nights_demand,10,1131,8.84,25,6908,3.62,8,1694,4.72
2024Q4,2025-02-13,ir,supply_hosts,11,1131,9.73,37,6908,5.36,5,1694,2.95
2024Q4,2025-02-13,ir,marketing,0,1131,0.0,17,6908,2.46,5,1694,2.95
2024Q4,2025-02-13,ir,ai,0,1131,0.0,7,6908,1.01,5,1694,2.95
2024Q4,2025-02-13,ir,international_expansion,2,1131,1.77,17,6908,2.46,7,1694,4.13
2024Q4,2025-02-13,ir,services_experiences,3,1131,2.65,20,6908,2.9,12,1694,7.08
2024Q4,2025-02-13,ir,hotels,0,1131,0.0,20,6908,2.9,3,1694,1.77
2024Q4,2025-02-13,ir,regulation,0,1131,0.0,7,6908,1.01,4,1694,2.36
2024Q4,2025-02-13,ir,buyback_capital,4,1131,3.54,9,6908,1.3,1,1694,0.59
2024Q4,2025-02-13,ir,fx,3,1131,2.65,4,6908,0.58,0,1694,0.0
2024Q4,2025-02-13,ir,guidance,3,1131,2.65,9,6908,1.3,5,1694,2.95
2025Q1,2025-05-01,ir,margin_ebitda,12,1359,8.83,11,5953,1.85,7,1552,4.51
2025Q1,2025-05-01,ir,take_rate_fees,0,1359,0.0,3,5953,0.5,1,1552,0.64
2025Q1,2025-05-01,ir,adr_pricing,9,1359,6.62,38,5953,6.38,14,1552,9.02
2025Q1,2025-05-01,ir,nights_demand,10,1359,7.36,27,5953,4.54,13,1552,8.38
2025Q1,2025-05-01,ir,supply_hosts,7,1359,5.15,31,5953,5.21,3,1552,1.93
2025Q1,2025-05-01,ir,marketing,2,1359,1.47,8,5953,1.34,4,1552,2.58
2025Q1,2025-05-01,ir,ai,0,1359,0.0,8,5953,1.34,0,1552,0.0
2025Q1,2025-05-01,ir,international_expansion,10,1359,7.36,33,5953,5.54,6,1552,3.87
2025Q1,2025-05-01,ir,services_experiences,5,1359,3.68,3,5953,0.5,5,1552,3.22
2025Q1,2025-05-01,ir,hotels,0,1359,0.0,27,5953,4.54,3,1552,1.93
2025Q1,2025-05-01,ir,regulation,0,1359,0.0,0,5953,0.0,0,1552,0.0
2025Q1,2025-05-01,ir,buyback_capital,4,1359,2.94,0,5953,0.0,0,1552,0.0
2025Q1,2025-05-01,ir,fx,1,1359,0.74,10,5953,1.68,7,1552,4.51
2025Q1,2025-05-01,ir,guidance,2,1359,1.47,10,5953,1.68,4,1552,2.58
2025Q2,2025-08-06,ir,margin_ebitda,15,1288,11.65,2,7507,0.27,3,1743,1.72
2025Q2,2025-08-06,ir,take_rate_fees,0,1288,0.0,2,7507,0.27,0,1743,0.0
2025Q2,2025-08-06,ir,adr_pricing,1,1288,0.78,13,7507,1.73,0,1743,0.0
2025Q2,2025-08-06,ir,nights_demand,27,1288,20.96,42,7507,5.59,15,1743,8.61
2025Q2,2025-08-06,ir,supply_hosts,5,1288,3.88,41,7507,5.46,6,1743,3.44
2025Q2,2025-08-06,ir,marketing,3,1288,2.33,15,7507,2.0,5,1743,2.87
2025Q2,2025-08-06,ir,ai,1,1288,0.78,33,7507,4.4,5,1743,2.87
2025Q2,2025-08-06,ir,international_expansion,9,1288,6.99,25,7507,3.33,4,1743,2.29
2025Q2,2025-08-06,ir,services_experiences,16,1288,12.42,79,7507,10.52,24,1743,13.77
2025Q2,2025-08-06,ir,hotels,0,1288,0.0,14,7507,1.86,1,1743,0.57
2025Q2,2025-08-06,ir,regulation,1,1288,0.78,5,7507,0.67,0,1743,0.0
2025Q2,2025-08-06,ir,buyback_capital,7,1288,5.43,6,7507,0.8,0,1743,0.0
2025Q2,2025-08-06,ir,fx,3,1288,2.33,0,7507,0.0,0,1743,0.0
2025Q2,2025-08-06,ir,guidance,3,1288,2.33,1,7507,0.13,2,1743,1.15
2025Q3,2025-11-06,ir,margin_ebitda,13,2293,5.67,4,6797,0.59,1,1138,0.88
2025Q3,2025-11-06,ir,take_rate_fees,0,2293,0.0,0,6797,0.0,0,1138,0.0
2025Q3,2025-11-06,ir,adr_pricing,4,2293,1.74,19,6797,2.8,0,1138,0.0
2025Q3,2025-11-06,ir,nights_demand,28,2293,12.21,23,6797,3.38,3,1138,2.64
2025Q3,2025-11-06,ir,supply_hosts,8,2293,3.49,23,6797,3.38,2,1138,1.76
2025Q3,2025-11-06,ir,marketing,0,2293,0.0,6,6797,0.88,1,1138,0.88
2025Q3,2025-11-06,ir,ai,20,2293,8.72,29,6797,4.27,6,1138,5.27
2025Q3,2025-11-06,ir,international_expansion,7,2293,3.05,12,6797,1.77,1,1138,0.88
2025Q3,2025-11-06,ir,services_experiences,16,2293,6.98,55,6797,8.09,8,1138,7.03
2025Q3,2025-11-06,ir,hotels,11,2293,4.8,50,6797,7.36,5,1138,4.39
2025Q3,2025-11-06,ir,regulation,1,2293,0.44,9,6797,1.32,0,1138,0.0
2025Q3,2025-11-06,ir,buyback_capital,9,2293,3.92,0,6797,0.0,0,1138,0.0
2025Q3,2025-11-06,ir,fx,3,2293,1.31,0,6797,0.0,0,1138,0.0
2025Q3,2025-11-06,ir,guidance,8,2293,3.49,1,6797,0.15,1,1138,0.88
2025Q4,2026-02-12,ir,margin_ebitda,19,2781,6.83,4,5395,0.74,3,1224,2.45
2025Q4,2026-02-12,ir,take_rate_fees,4,2781,1.44,9,5395,1.67,2,1224,1.63
2025Q4,2026-02-12,ir,adr_pricing,15,2781,5.39,9,5395,1.67,0,1224,0.0
2025Q4,2026-02-12,ir,nights_demand,29,2781,10.43,23,5395,4.26,5,1224,4.08
