country,region,market,snapshot_date,listings,hosts,entire_home_share,multi_host_share,superhost_share,license_disclosed_share,price_n,price_median_native,avail365_mean,avail30_mean,reviews_total,reviews_ltm,reviews_l30d,rating_mean,est_occupancy_l365d_mean
canada,bc,victoria,2026-07-24,3556,2453,0.8653,0.4193,0.5849,0.7953,3030,259.5,190.3,6.65,279470,58487,7408,4.863,103.37
canada,mb,winnipeg,2026-06-22,1790,1003,0.7486,0.6101,0.4291,0.4291,1639,136.29,242.8,12.05,104029,29923,2497,4.766,97.82
chile,rm,santiago,2026-06-29,18534,9712,0.8095,0.6081,0.4304,0.0097,17688,59000.0,273.4,15.79,690112,253501,16474,4.785,73.08
china,hk,hong-kong,2026-06-27,6734,1597,0.3828,0.8387,0.1329,0.0,6046,424.0,243.1,20.11,122466,28546,1349,4.522,28.89
colombia,dc,bogotá,2026-06-21,19187,8335,0.7226,0.6893,0.3289,0.8472,18992,161460.0,306.9,21.37,527731,181750,12344,4.704,55.21
czech-republic,prague,prague,2026-06-27,11615,3656,0.8326,0.8025,0.482,0.0,10583,2473.64,185.6,12.98,966355,233898,16537,4.743,101.42
denmark,hovedstaden,copenhagen,2026-06-30,23144,21094,0.9233,0.1326,0.1201,0.0,13860,1689.0,85.0,6.63,471550,110135,14205,4.854,29.15
france,nouvelle-aquitaine,bordeaux,2026-06-22,12217,9227,0.7794,0.3426,0.2523,0.3961,8413,107.79,149.4,10.79,502575,102286,9947,4.786,47.31
france,auvergne-rhone-alpes,lyon,2026-06-22,9317,6813,0.8024,0.3509,0.2124,0.644,5427,103.68,126.8,10.13,468001,89957,7957,4.748,53.23
france,ile-de-france,paris,2026-06-16,77679,55059,0.8917,0.3568,0.223,0.8166,48402,205.5,136.7,7.53,2404369,555497,54462,4.747,63.44
france,pyrénées-atlantiques,pays-basque,2026-06-23,12081,9305,0.8883,0.3237,0.2496,0.7413,9600,151.0,156.4,9.49,420102,78800,6435,4.804,41.39
germany,be,berlin,2026-06-26,12776,8182,0.6924,0.4607,0.2693,0.6895,8441,130.67,152.0,8.28,675611,132684,11539,4.764,83.66
germany,bv,munich,2026-06-29,6865,5225,0.668,0.3377,0.2086,0.0051,4440,145.83,124.2,8.44,236679,48880,4050,4.773,37.82
greece,attica,athens,2026-06-28,14337,5505,0.9279,0.7362,0.4869,0.9637,14199,105.0,258.5,14.93,917783,200423,18779,4.774,74.27
greece,crete,crete,2026-06-29,27333,11333,0.9079,0.738,0.4384,0.9567,25518,150.0,179.2,9.82,612719,123735,14757,4.846,28.69
greece,south-aegean,south-aegean,2026-06-28,36680,15075,0.8484,0.761,0.3953,0.9535,34348,206.0,164.3,10.4,896730,160733,21533,4.843,26.85
greece,central-macedonia,thessaloniki,2026-06-29,4965,2140,0.9696,0.6852,0.4028,0.9718,4718,75.5,233.0,17.03,235114,54211,3586,4.736,61.71
hungary,közép-magyarország,budapest,2026-07-21,11513,4640,0.9098,0.7249,0.403,0.922,10635,40880.33,174.5,10.99,1125607,238855,15593,4.739,108.37
ireland,leinster,dublin,2026-06-21,6966,4058,0.5769,0.5393,0.3065,0.0,5578,182.62,142.8,9.14,367923,93502,8768,4.737,72.15
italy,lombardia,bergamo,2026-06-30,4237,2305,0.827,0.6136,0.3191,0.8782,3918,123.97,219.0,12.41,157143,39052,3754,4.794,48.04
italy,emilia-romagna,bologna,2026-06-26,4948,2260,0.7884,0.6752,0.3642,0.8777,4544,128.5,173.1,14.29,313815,68069,6433,4.751,74.4
italy,toscana,florence,2026-06-26,13472,5871,0.8335,0.7003,0.4349,0.9148,12448,166.0,208.6,12.92,1108242,222110,22342,4.748,88.66
italy,lombardy,milan,2026-06-25,25750,11745,0.8862,0.6393,0.3066,0.8737,22937,136.0,189.9,13.83,1148286,313670,24427,4.71,65.16
italy,campania,naples,2026-06-25,11575,5697,0.5968,0.6844,0.2663,0.7581,10898,107.27,233.6,15.57,492343,107826,10525,4.741,51.08
italy,puglia,puglia,2026-06-30,48683,22204,0.8116,0.6889,0.1838,0.8233,43387,139.58,209.0,13.73,654094,157276,19200,4.729,19.78
italy,lazio,rome,2026-06-20,37084,19781,0.7496,0.6091,0.4113,0.881,34324,161.67,213.5,12.43,2476828,563587,55211,4.768,83.01
italy,sicilia,sicily,2026-06-30,56873,29047,0.7976,0.6582,0.2496,0.8053,51864,126.0,231.6,14.25,1301028,272805,30874,4.753,28.7
italy,trentino-alto-adige-südtirol,trentino,2026-06-30,10084,5107,0.8663,0.6282,0.2556,0.9091,8289,164.7,171.9,11.06,202559,47239,4601,4.775,28.82
italy,veneto,venice,2026-06-15,8766,3843,0.774,0.7106,0.4619,0.9398,8177,202.46,205.0,11.81,908858,157106,16352,4.744,90.99
japan,kantō,tokyo,2026-06-30,34419,6776,0.8378,0.9187,0.5319,0.9997,32361,19578.0,203.7,12.02,1327544,463183,32081,4.749,80.57
kenya,nairobi,nairobi,2026-06-15,22008,11754,0.8493,0.6216,0.139,0.0,21694,6147.0,338.5,26.87,138300,48611,3610,4.68,13.05
latvia,riga,riga,2026-06-30,3471,1401,0.9199,0.7171,0.4918,0.0,3149,82.0,188.7,11.54,178156,43987,3788,4.8,68.83
mexico,df,mexico-city,2026-06-15,31430,14107,0.6682,0.6865,0.3953,0.0,29637,1756.0,250.4,17.97,1719730,487065,35805,4.758,79.6
norway,oslo,oslo,2026-06-30,13391,11692,0.8908,0.1924,0.17,0.0,9841,1819.0,132.5,11.45,261850,79001,10964,4.845,34.24
portugal,lisbon,lisbon,2026-06-23,24876,9521,0.7414,0.7479,0.3206,0.9581,22636,136.0,223.8,12.02,1886737,336521,28347,4.661,76.8
portugal,norte,porto,2026-06-23,15278,5437,0.8378,0.7748,0.3829,0.984,13686,118.0,249.1,12.15,1131102,224303,19760,4.721,80.3
singapore,sg,singapore,2026-06-29,3097,762,0.3959,0.8553,0.1317,0.5622,2592,127.53,281.8,18.33,38655,6778,325,4.543,16.22
south-africa,wc,cape-town,2026-06-29,27381,13978,0.845,0.6204,0.351,0.006,24542,1734.55,222.4,16.74,760023,190384,7153,4.761,42.8
spain,catalonia,barcelona,2026-06-24,15293,4595,0.7091,0.8046,0.2571,0.801,13355,177.67,212.4,9.91,1026931,201980,16737,4.618,86.55
spain,pv,euskadi,2026-06-30,6248,3125,0.729,0.6298,0.3934,0.8819,5676,196.0,183.9,9.22,402943,79927,6930,4.751,72.15
spain,catalonia,girona,2026-06-30,21257,7836,0.9449,0.7129,0.2026,0.9467,16874,219.0,179.6,10.33,502187,102437,10047,4.623,29.86
spain,comunidad-de-madrid,madrid,2026-06-20,22708,8638,0.7001,0.7319,0.2416,0.6452,19172,125.0,191.8,11.04,1415951,371883,32583,4.637,90.33
spain,andalucía,malaga,2026-06-30,9568,3336,0.8864,0.7744,0.3253,0.9269,8753,169.0,201.9,8.38,538455,124960,9903,4.654,74.18
spain,islas-baleares,mallorca,2026-06-23,14817,3907,0.9484,0.8133,0.2286,0.9957,11057,397.57,181.0,8.76,406273,86374,10410,4.7,40.71
spain,islas-baleares,menorca,2026-06-30,3620,1372,0.963,0.7127,0.2964,0.9577,3143,320.0,151.7,7.17,86387,20548,3165,4.691,38.0
spain,andalucía,sevilla,2026-06-30,8245,2974,0.8625,0.7619,0.3879,0.9371,7644,107.1,186.8,16.49,758613,150318,11200,4.694,97.56
spain,vc,valencia,2026-06-26,7851,3206,0.7818,0.7292,0.3259,0.8087,7267,150.64,183.4,8.49,454488,114309,9418,4.656,96.43
sweden,stockholms-län,stockholm,2026-06-30,4806,3744,0.8283,0.2878,0.1802,0.0,3264,1940.0,137.3,8.44,166490,41537,4546,4.823,46.64
switzerland,geneva,geneva,2026-06-29,2593,1669,0.7046,0.4601,0.1624,0.0008,1600,0.14,151.0,9.66,74085,15731,1529,4.735,36.13
switzerland,vd,vaud,2026-07-12,5402,3594,0.7266,0.4347,0.2321,0.0,3362,0.15,163.9,9.88,136571,26708,2583,4.771,30.07
switzerland,zürich,zurich,2026-06-30,3308,1664,0.7727,0.5756,0.3108,0.0,1628,0.16,143.3,10.61,120577,29837,2670,4.741,48.66
taiwan,northern-taiwan,taipei,2026-06-30,6419,1396,0.7101,0.8994,0.482,0.0,5937,2490.0,200.1,14.35,239218,66810,4399,4.743,74.57
thailand,central-thailand,bangkok,2026-06-29,31069,7935,0.6695,0.855,0.3475,0.0,28987,1592.0,276.9,20.74,693647,182652,10364,4.696,50.58
the-netherlands,north-holland,amsterdam,2026-06-15,10369,9104,0.8187,0.1794,0.1653,0.9785,6377,291.0,93.7,6.1,536114,88972,8554,4.85,48.31
the-netherlands,south-holland,rotterdam,2026-06-28,1357,908,0.7369,0.4363,0.2063,0.9344,985,160.0,134.5,8.9,66144,12862,1124,4.748,55.13
the-netherlands,south-holland,the-hague,2026-06-28,1492,1057,0.8351,0.3633,0.2017,0.9538,1139,223.0,149.5,7.46,60081,10981,929,4.789,39.72
turkey,marmara,istanbul,2026-06-30,26631,10328,0.6736,0.7432,0.2076,0.6135,23943,2853.0,288.7,22.67,580909,176998,13127,4.591,40.33
united-kingdom,england,bristol,2026-06-29,3023,1773,0.7132,0.5329,0.3169,0.0,2412,130.0,175.4,11.04,165838,36494,3072,4.753,63.99
united-kingdom,scotland,edinburgh,2026-06-23,6244,3669,0.7119,0.5431,0.4736,0.2988,5610,230.5,141.6,7.96,675621,144060,14278,4.783,114.17
united-kingdom,england,greater-manchester,2026-06-28,6930,3332,0.6828,0.6665,0.2935,0.0,6783,116.0,253.0,18.62,267838,83673,7112,4.676,64.88
united-kingdom,england,london,2026-06-19,92638,52125,0.6625,0.55,0.1895,0.0,62240,180.0,152.7,8.64,2237083,566386,50573,4.693,47.6
united-states,ny,albany,2026-07-15,484,191,0.6942,0.7686,0.4628,0.0,444,150.0,237.4,13.15,29222,6363,504,4.722,76.65
united-states,nc,asheville,2026-06-25,2865,1730,0.9072,0.5316,0.6572,0.0,2616,225.25,223.2,12.18,345239,50270,3784,4.897,94.5
united-states,tx,austin,2026-06-22,11295,5546,0.8282,0.6368,0.5042,0.273,10321,217.0,226.6,15.52,642841,137348,10823,4.825,76.9
united-states,ma,boston,2026-06-15,4378,1406,0.6859,0.7894,0.3719,0.7195,3693,278.85,216.4,11.46,252417,52199,4663,4.747,80.21
united-states,mt,bozeman,2026-07-16,591,326,0.8951,0.577,0.6904,0.731,512,300.16,216.0,6.89,52467,9573,974,4.904,97.45
united-states,fl,broward-county,2026-06-29,17698,6691,0.8346,0.7407,0.3948,0.0001,16504,262.0,249.3,17.17,703398,188882,13714,4.722,62.0
united-states,ma,cambridge,2026-06-29,1438,479,0.5389,0.783,0.4569,0.354,1061,238.6,176.2,8.97,86980,16084,1644,4.78,71.01
united-states,il,chicago,2026-06-24,8660,3637,0.7694,0.695,0.4846,0.6658,7601,223.0,217.8,10.31,527306,124877,12553,4.777,92.76
united-states,nv,clark-county-nv,2026-06-27,20234,6797,0.6966,0.7793,0.4478,0.3503,17271,234.0,216.6,17.1,722841,170764,9819,4.783,56.56
united-states,oh,columbus,2026-06-29,2959,1015,0.8239,0.7905,0.539,0.7986,2677,167.23,224.9,12.46,196872,49670,4480,4.778,107.64
united-states,tx,dallas,2026-07-20,6509,3014,0.8643,0.674,0.4266,0.0,6107,201.5,262.5,17.8,280843,87747,8491,4.753,79.66
united-states,co,denver,2026-06-30,4939,3318,0.8571,0.4363,0.5467,0.641,4251,176.45,206.2,9.04,354646,62810,6081,4.869,103.91
united-states,tx,fort-worth,2026-06-21,2414,1364,0.7568,0.5882,0.4246,0.0,2229,197.75,241.2,15.47,100982,28410,2475,4.789,78.97
united-states,hi,hawaii,2026-06-21,38156,9267,0.8898,0.8396,0.5793,0.831,34053,387.0,229.5,12.54,1583256,304845,20718,4.791,51.47
united-states,nj,jersey-city,2026-06-27,2320,967,0.6849,0.7306,0.4069,0.6091,2103,235.0,235.6,14.44,86754,24684,2383,4.735,98.67
united-states,ca,los-angeles,2026-06-15,43751,21024,0.7418,0.6506,0.3875,0.3016,38186,223.67,223.5,13.61,1850308,373559,31095,4.785,64.46
united-states,tn,nashville,2026-06-26,10242,3885,0.9047,0.7194,0.6283,0.1202,9515,281.54,251.2,14.12,837863,176463,13536,4.826,95.87
united-states,la,new-orleans,2026-06-16,7189,3248,0.7971,0.6646,0.4567,0.8201,6420,193.0,230.4,18.45,510033,85350,6388,4.787,102.26
united-states,ny,new-york-city,2026-08-10,30234,16295,0.5521,0.5674,0.2111,0.1726,20331,175.3,190.0,12.03,994127,144693,12399,4.73,53.38
united-states,nj,newark,2026-06-30,2019,751,0.5245,0.7895,0.2997,0.2724,1926,170.02,261.1,19.54,71954,22994,1835,4.608,67.2
united-states,ca,oakland,2026-06-27,2151,1428,0.7722,0.4891,0.3966,0.0,1824,174.39,190.8,10.25,132789,20702,1780,4.815,64.31
united-states,ca,pacific-grove,2026-06-14,269,125,0.8327,0.6431,0.5651,0.0,231,401.32,207.7,8.17,25978,3369,272,4.854,80.83
united-states,or,portland,2026-06-15,4199,2777,0.8423,0.4546,0.562,0.6885,3635,160.0,203.3,8.23,505458,70982,5830,4.866,103.84
united-states,ri,rhode-island,2026-06-30,6031,3064,0.8057,0.6082,0.4885,0.8826,5170,429.0,166.8,8.35,307617,61837,6943,4.837,60.63
united-states,ny,rochester,2026-07-21,1025,420,0.7132,0.7522,0.5034,0.0,950,153.92,225.8,11.29,53989,12226,1101,4.768,74.41
united-states,or,salem-or,2026-06-28,349,197,0.7192,0.5817,0.5616,0.0,292,183.75,198.1,9.78,22054,4337,455,4.845,80.19
united-states,ca,san-diego,2026-06-27,13225,5974,0.8374,0.6731,0.5504,0.7742,11856,322.92,213.4,9.14,948053,192420,17249,4.821,92.13
united-states,ca,san-francisco,2026-06-14,7332,3499,0.6106,0.6521,0.4671,0.6628,5932,252.29,181.6,7.71,434102,68809,5631,4.803,89.09
united-states,ca,san-mateo-county,2026-06-27,3347,1651,0.6938,0.6474,0.4045,0.0048,2785,258.33,211.3,7.99,213498,38741,3084,4.774,73.87
united-states,ca,santa-clara-county,2026-06-28,6891,2960,0.5644,0.7083,0.4185,0.0656,5580,190.69,205.1,7.19,285563,54220,4682,4.771,56.43
united-states,ca,santa-cruz-county,2026-06-30,1795,952,0.8357,0.5671,0.5627,0.0,1598,464.75,209.4,8.85,178522,29653,2762,4.829,90.96
united-states,wa,seattle,2026-06-15,7769,4131,0.8287,0.5859,0.521,0.8476,6943,281.0,195.3,12.47,609477,116488,10264,4.827,90.34
united-states,mn,twin-cities-msa,2026-06-27,5349,2989,0.773,0.5795,0.5091,0.3311,4835,220.0,227.0,10.27,319044,69629,6692,4.826,79.77
united-states,dc,washington-dc,2026-06-24,6945,3218,0.7522,0.6608,0.4311,0.7868,6229,220.0,227.9,11.69,483993,88555,8061,4.767,81.22
