eps,theta,sigma,host_price_chg,guest_price_chg,perceived_price_chg,nights_chg,gbv_chg,abnb_rev_chg,host_payout_chg,take_rate_old,take_rate_new,take_rate_chg_bp
-1.0000,0.5000,0.5000,0.0740,-0.0579,0.0037,-0.0037,-0.0614,-0.0244,-0.0679,0.1491,0.1550,58.7719
-1.0000,1.0000,0.0000,0.1479,0.0070,0.0070,-0.0069,-0.0000,0.0394,-0.0069,0.1491,0.1550,58.7719
-1.0000,1.0000,0.2500,0.1479,0.0070,0.0388,-0.0374,-0.0307,0.0075,-0.0374,0.1491,0.1550,58.7719
-1.0000,1.0000,0.5000,0.1479,0.0070,0.0728,-0.0679,-0.0614,-0.0244,-0.0679,0.1491,0.1550,58.7719
-1.0000,1.2400,0.0000,0.1834,0.0381,0.0381,-0.0367,0.0000,0.0394,-0.0069,0.1491,0.1550,58.7719
-1.0000,1.2400,0.2500,0.1834,0.0381,0.0710,-0.0662,-0.0307,0.0075,-0.0374,0.1491,0.1550,58.7719
-1.0000,1.2400,0.5000,0.1834,0.0381,0.1060,-0.0958,-0.0614,-0.0244,-0.0679,0.1491,0.1550,58.7719
-1.5000,0.0000,0.0000,0.0000,-0.1228,-0.1228,0.2172,0.0677,0.1098,0.0603,0.1491,0.1550,58.7719
-1.5000,0.0000,0.2500,0.0000,-0.1228,-0.0950,0.1616,0.0189,0.0591,0.0119,0.1491,0.1550,58.7719
-1.5000,0.0000,0.5000,0.0000,-0.1228,-0.0654,0.1068,-0.0291,0.0092,-0.0358,0.1491,0.1550,58.7719
-1.5000,0.5000,0.0000,0.0740,-0.0579,-0.0579,0.0936,0.0303,0.0709,0.0232,0.1491,0.1550,58.7719
-1.5000,0.5000,0.2500,0.0740,-0.0579,-0.0281,0.0437,-0.0168,0.0220,-0.0236,0.1491,0.1550,58.7719
-1.5000,0.5000,0.5000,0.0740,-0.0579,0.0037,-0.0055,-0.0631,-0.0262,-0.0696,0.1491,0.1550,58.7719
-1.5000,1.0000,0.0000,0.1479,0.0070,0.0070,-0.0103,-0.0035,0.0358,-0.0103,0.1491,0.1550,58.7719
-1.5000,1.0000,0.2500,0.1479,0.0070,0.0388,-0.0556,-0.0490,-0.0115,-0.0556,0.1491,0.1550,58.7719
-1.5000,1.0000,0.5000,0.1479,0.0070,0.0728,-0.1001,-0.0938,-0.0581,-0.1001,0.1491,0.1550,58.7719
-1.5000,1.2400,0.0000,0.1834,0.0381,0.0381,-0.0545,-0.0185,0.0202,-0.0253,0.1491,0.1550,58.7719
-1.5000,1.2400,0.2500,0.1834,0.0381,0.0710,-0.0977,-0.0634,-0.0264,-0.0698,0.1491,0.1550,58.7719
-1.5000,1.2400,0.5000,0.1834,0.0381,0.1060,-0.1402,-0.1075,-0.0723,-0.1137,0.1491,0.1550,58.7719
-2.0000,0.0000,0.0000,0.0000,-0.1228,-0.1228,0.2996,0.1400,0.1849,0.1321,0.1491,0.1550,58.7719
-2.0000,0.0000,0.2500,0.0000,-0.1228,-0.0950,0.2210,0.0711,0.1133,0.0637,0.1491,0.1550,58.7719
-2.0000,0.0000,0.5000,0.0000,-0.1228,-0.0654,0.1449,0.0043,0.0439,-0.0026,0.1491,0.1550,58.7719
-2.0000,0.5000,0.0000,0.0740,-0.0579,-0.0579,0.1268,0.0615,0.1033,0.0542,0.1491,0.1550,58.7719
-2.0000,0.5000,0.2500,0.0740,-0.0579,-0.0281,0.0586,-0.0027,0.0366,-0.0096,0.1491,0.1550,58.7719
-2.0000,0.5000,0.5000,0.0740,-0.0579,0.0037,-0.0074,-0.0649,-0.0280,-0.0713,0.1491,0.1550,58.7719
-2.0000,1.0000,0.0000,0.1479,0.0070,0.0070,-0.0138,-0.0069,0.0322,-0.0138,0.1491,0.1550,58.7719
-2.0000,1.0000,0.2500,0.1479,0.0070,0.0388,-0.0734,-0.0670,-0.0302,-0.0734,0.1491,0.1550,58.7719
-2.0000,1.0000,0.5000,0.1479,0.0070,0.0728,-0.1312,-0.1251,-0.0906,-0.1312,0.1491,0.1550,58.7719
-2.0000,1.2400,0.0000,0.1834,0.0381,0.0381,-0.0720,-0.0367,0.0013,-0.0433,0.1491,0.1550,58.7719
-2.0000,1.2400,0.2500,0.1834,0.0381,0.0710,-0.1281,-0.0949,-0.0592,-0.1012,0.1491,0.1550,58.7719
-2.0000,1.2400,0.5000,0.1834,0.0381,0.1060,-0.1825,-0.1513,-0.1179,-0.1572,0.1491,0.1550,58.7719
-4.2700,0.0000,0.0000,0.0000,-0.1228,-0.1228,0.7498,0.5349,0.5954,0.5243,0.1491,0.1550,58.7719
-4.2700,0.0000,0.2500,0.0000,-0.1228,-0.0950,0.5316,0.3435,0.3965,0.3343,0.1491,0.1550,58.7719
-4.2700,0.0000,0.5000,0.0000,-0.1228,-0.0654,0.3350,0.1710,0.2172,0.1629,0.1491,0.1550,58.7719
-4.2700,0.5000,0.0000,0.0740,-0.0579,-0.0579,0.2902,0.2155,0.2634,0.2071,0.1491,0.1550,58.7719
-4.2700,0.5000,0.2500,0.0740,-0.0579,-0.0281,0.1294,0.0639,0.1059,0.0566,0.1491,0.1550,58.7719
-4.2700,0.5000,0.5000,0.0740,-0.0579,0.0037,-0.0157,-0.0727,-0.0361,-0.0791,0.1491,0.1550,58.7719
-4.2700,1.0000,0.0000,0.1479,0.0070,0.0070,-0.0292,-0.0224,0.0161,-0.0292,0.1491,0.1550,58.7719
-4.2700,1.0000,0.2500,0.1479,0.0070,0.0388,-0.1502,-0.1443,-0.1106,-0.1502,0.1491,0.1550,58.7719
-4.2700,1.0000,0.5000,0.1479,0.0070,0.0728,-0.2593,-0.2542,-0.2248,-0.2593,0.1491,0.1550,58.7719
-4.2700,1.2400,0.0000,0.1834,0.0381,0.0381,-0.1475,-0.1150,-0.0801,-0.1211,0.1491,0.1550,58.7719
-4.2700,1.2400,0.2500,0.1834,0.0381,0.0710,-0.2537,-0.2253,-0.1948,-0.2307,0.1491,0.1550,58.7719
-4.2700,1.2400,0.5000,0.1834,0.0381,0.1060,-0.3496,-0.3248,-0.2982,-0.3295,0.1491,0.1550,58.7719
