observation_id,source_id,provider_dataset,metric,period,value,unit,filters,observed_at_utc,official_url,collection_mode,license_or_terms,period_completeness,pit_status,research_disposition,notes
BA-031,MELB_PED_HOURLY,Pedestrian Counting System counts per hour,sum_direction_2_by_sensing_year,2026,109363514,pedestrian_counts,"X=Sensing_Date; timescale=Year; aggregate=SUM(Direction_2); all points",2026-09-03T18:14:31Z,https://data.melbourne.vic.gov.au/explore/dataset/pedestrian-counting-system-monthly-counts-per-hour/analyze/,manual_browser_chart_tooltip,CC BY 4.0 under City of Melbourne data policy,partial_year_through_observation_date,current_mutable_view,control_only,"Partial 2026; sensor-panel and coverage controls required."
BA-032,MELB_PED_HOURLY,Pedestrian Counting System counts per hour,sum_total_directions_by_sensing_year,2026,217051546,pedestrian_counts,"X=Sensing_Date; timescale=Year; aggregate=SUM(Total_of_Directions); all points",2026-09-03T18:14:31Z,https://data.melbourne.vic.gov.au/explore/dataset/pedestrian-counting-system-monthly-counts-per-hour/analyze/,manual_browser_chart_tooltip,CC BY 4.0 under City of Melbourne data policy,partial_year_through_observation_date,current_mutable_view,control_only,"Direction 1 plus Direction 2 reconciles exactly to provider total; partial 2026."
BA-033,NYC_311_TOURISM_STRESS,311 Service Requests from 2020 to Present,requests_by_problem_and_borough,2026-08,10205,requests,"Created Date in August 2026; Problem=Noise - Residential; Borough=BROOKLYN",2026-09-03T18:23:54Z,https://data.cityofnewyork.us/Social-Services/311-Service-Requests-from-2020-to-Present/erm2-nwe9,manual_browser_query_builder_aggregate,NYC Open Data public-use terms,closed_month_current_view,current_mutable_view,prospective_control,"Provider-rendered aggregate only; no address or row-level values retained."
BA-034,NYC_311_TOURISM_STRESS,311 Service Requests from 2020 to Present,requests_by_problem_and_borough,2026-08,7519,requests,"Created Date in August 2026; Problem=Noise - Residential; Borough=BRONX",2026-09-03T18:23:54Z,https://data.cityofnewyork.us/Social-Services/311-Service-Requests-from-2020-to-Present/erm2-nwe9,manual_browser_query_builder_aggregate,NYC Open Data public-use terms,closed_month_current_view,current_mutable_view,prospective_control,"Provider-rendered aggregate only; no address or row-level values retained."
BA-035,NYC_311_TOURISM_STRESS,311 Service Requests from 2020 to Present,requests_by_problem_and_borough,2026-08,7504,requests,"Created Date in August 2026; Problem=Noise - Residential; Borough=QUEENS",2026-09-03T18:23:54Z,https://data.cityofnewyork.us/Social-Services/311-Service-Requests-from-2020-to-Present/erm2-nwe9,manual_browser_query_builder_aggregate,NYC Open Data public-use terms,closed_month_current_view,current_mutable_view,prospective_control,"Provider-rendered aggregate only; no address or row-level values retained."
BA-036,NYC_311_TOURISM_STRESS,311 Service Requests from 2020 to Present,requests_by_problem_and_borough,2026-08,4168,requests,"Created Date in August 2026; Problem=Noise - Residential; Borough=MANHATTAN",2026-09-03T18:23:54Z,https://data.cityofnewyork.us/Social-Services/311-Service-Requests-from-2020-to-Present/erm2-nwe9,manual_browser_query_builder_aggregate,NYC Open Data public-use terms,closed_month_current_view,current_mutable_view,prospective_control,"Provider-rendered aggregate only; no address or row-level values retained."
BA-037,NYC_311_TOURISM_STRESS,311 Service Requests from 2020 to Present,requests_by_problem_and_borough,2026-08,1226,requests,"Created Date in August 2026; Problem=Noise - Residential; Borough=STATEN ISLAND",2026-09-03T18:23:54Z,https://data.cityofnewyork.us/Social-Services/311-Service-Requests-from-2020-to-Present/erm2-nwe9,manual_browser_query_builder_aggregate,NYC Open Data public-use terms,closed_month_current_view,current_mutable_view,prospective_control,"Provider-rendered aggregate only; no address or row-level values retained."
BA-038,NYC_311_TOURISM_STRESS,311 Service Requests from 2020 to Present,requests_by_problem_and_borough,2026-08,8415,requests,"Created Date in August 2026; Problem=Noise - Street/Sidewalk; Borough=BRONX",2026-09-03T18:23:54Z,https://data.cityofnewyork.us/Social-Services/311-Service-Requests-from-2020-to-Present/erm2-nwe9,manual_browser_query_builder_aggregate,NYC Open Data public-use terms,closed_month_current_view,current_mutable_view,prospective_candidate,"Provider-rendered aggregate only; no address or row-level values retained."
BA-039,NYC_311_TOURISM_STRESS,311 Service Requests from 2020 to Present,requests_by_problem_and_borough,2026-08,5909,requests,"Created Date in August 2026; Problem=Noise - Street/Sidewalk; Borough=MANHATTAN",2026-09-03T18:23:54Z,https://data.cityofnewyork.us/Social-Services/311-Service-Requests-from-2020-to-Present/erm2-nwe9,manual_browser_query_builder_aggregate,NYC Open Data public-use terms,closed_month_current_view,current_mutable_view,prospective_candidate,"Provider-rendered aggregate only; no address or row-level values retained."
BA-040,NYC_311_TOURISM_STRESS,311 Service Requests from 2020 to Present,requests_by_problem_and_borough,2026-08,5703,requests,"Created Date in August 2026; Problem=Noise - Street/Sidewalk; Borough=BROOKLYN",2026-09-03T18:23:54Z,https://data.cityofnewyork.us/Social-Services/311-Service-Requests-from-2020-to-Present/erm2-nwe9,manual_browser_query_builder_aggregate,NYC Open Data public-use terms,closed_month_current_view,current_mutable_view,prospective_candidate,"Provider-rendered aggregate only; no address or row-level values retained."
BA-041,NYC_311_TOURISM_STRESS,311 Service Requests from 2020 to Present,requests_by_problem_and_borough,2026-08,3283,requests,"Created Date in August 2026; Problem=Noise - Street/Sidewalk; Borough=QUEENS",2026-09-03T18:23:54Z,https://data.cityofnewyork.us/Social-Services/311-Service-Requests-from-2020-to-Present/erm2-nwe9,manual_browser_query_builder_aggregate,NYC Open Data public-use terms,closed_month_current_view,current_mutable_view,prospective_candidate,"Provider-rendered aggregate only; no address or row-level values retained."
BA-042,NYC_311_TOURISM_STRESS,311 Service Requests from 2020 to Present,requests_by_problem_and_borough,2026-08,333,requests,"Created Date in August 2026; Problem=Noise - Street/Sidewalk; Borough=STATEN ISLAND",2026-09-03T18:23:54Z,https://data.cityofnewyork.us/Social-Services/311-Service-Requests-from-2020-to-Present/erm2-nwe9,manual_browser_query_builder_aggregate,NYC Open Data public-use terms,closed_month_current_view,current_mutable_view,prospective_candidate,"Provider-rendered aggregate only; no address or row-level values retained."
BA-043,NYC_311_TOURISM_STRESS,311 Service Requests from 2020 to Present,requests_by_problem_and_borough,2026-08,1,requests,"Created Date in August 2026; Problem=Noise - Street/Sidewalk; Borough=Unspecified",2026-09-03T18:23:54Z,https://data.cityofnewyork.us/Social-Services/311-Service-Requests-from-2020-to-Present/erm2-nwe9,manual_browser_query_builder_aggregate,NYC Open Data public-use terms,closed_month_current_view,current_mutable_view,prospective_candidate,"Provider-rendered aggregate only; retained for exact citywide reconciliation."
BA-044,NYC_OSE_ENFORCEMENT_REPORTS,2025 Annual Report,illegal_str_complaints_received,2025,2036,complaints,Citywide annual aggregate,2026-09-03T19:13:00Z,https://www.nyc.gov/assets/specialenforcement/downloads/excel/2025_LL87_2025_Annual_Report.xlsx,manual_browser_download_local_aggregate_review,Public and research use stated on OSE reports page,annual_report_complete,report_dated_2026-09-01,prospective_candidate,"Workbook total reconciles to council-district table; source workbook SHA-256 f46321158fb44d9d386429fe96edc9e8950f5ecb7ca9f63e8a351ea61cc0b0."
BA-045,NYC_OSE_ENFORCEMENT_REPORTS,2025 Annual Report,distinct_locations_receiving_complaints,2025,1537,locations,Citywide annual narrative aggregate,2026-09-03T19:13:00Z,https://www.nyc.gov/assets/specialenforcement/downloads/excel/2025_LL87_2025_Annual_Report.xlsx,manual_browser_download_local_aggregate_review,Public and research use stated on OSE reports page,annual_report_complete,report_dated_2026-09-01,prospective_candidate,"Report says over 1,537 locations; recorded as a lower-bound narrative value."
BA-046,NYC_OSE_ENFORCEMENT_REPORTS,2025 Annual Report,inspections_total,2025,8553,inspections,Citywide annual aggregate,2026-09-03T19:13:00Z,https://www.nyc.gov/assets/specialenforcement/downloads/excel/2025_LL87_2025_Annual_Report.xlsx,manual_browser_download_local_aggregate_review,Public and research use stated on OSE reports page,annual_report_complete,report_dated_2026-09-01,prospective_candidate,"Attempted conducted and follow-up inspection types are stated to be nonduplicated."
BA-047,NYC_OSE_ENFORCEMENT_REPORTS,2025 Annual Report,inspections_attempted,2025,6463,inspections,Citywide annual aggregate,2026-09-03T19:13:00Z,https://www.nyc.gov/assets/specialenforcement/downloads/excel/2025_LL87_2025_Annual_Report.xlsx,manual_browser_download_local_aggregate_review,Public and research use stated on OSE reports page,annual_report_complete,report_dated_2026-09-01,prospective_candidate,"Inspection-type component; arithmetic reconciliation passed."
BA-048,NYC_OSE_ENFORCEMENT_REPORTS,2025 Annual Report,inspections_conducted,2025,1012,inspections,Citywide annual aggregate,2026-09-03T19:13:00Z,https://www.nyc.gov/assets/specialenforcement/downloads/excel/2025_LL87_2025_Annual_Report.xlsx,manual_browser_download_local_aggregate_review,Public and research use stated on OSE reports page,annual_report_complete,report_dated_2026-09-01,prospective_candidate,"Inspection-type component; arithmetic reconciliation passed."
BA-049,NYC_OSE_ENFORCEMENT_REPORTS,2025 Annual Report,inspections_follow_up,2025,1078,inspections,Citywide annual aggregate,2026-09-03T19:13:00Z,https://www.nyc.gov/assets/specialenforcement/downloads/excel/2025_LL87_2025_Annual_Report.xlsx,manual_browser_download_local_aggregate_review,Public and research use stated on OSE reports page,annual_report_complete,report_dated_2026-09-01,prospective_candidate,"Inspection-type component; arithmetic reconciliation passed."
BA-050,NYC_OSE_ENFORCEMENT_REPORTS,2025 Annual Report,summonses_or_violations_issued,2025,1909,summonses,Citywide annual aggregate,2026-09-03T19:13:00Z,https://www.nyc.gov/assets/specialenforcement/downloads/excel/2025_LL87_2025_Annual_Report.xlsx,manual_browser_download_local_aggregate_review,Public and research use stated on OSE reports page,annual_report_complete,report_dated_2026-09-01,prospective_candidate,"Workbook labels the figure as both summonses and violations in different sections."
BA-051,NYC_OSE_ENFORCEMENT_REPORTS,2025 Annual Report,penalties_imposed,2025,9636307,USD,Citywide annual aggregate,2026-09-03T19:13:00Z,https://www.nyc.gov/assets/specialenforcement/downloads/excel/2025_LL87_2025_Annual_Report.xlsx,manual_browser_download_local_aggregate_review,Public and research use stated on OSE reports page,annual_report_complete,report_dated_2026-09-01,prospective_candidate,"Penalty table note says imposed and paid data are as of April 2025; ambiguous timing retained as a caveat."
BA-052,NYC_OSE_ENFORCEMENT_REPORTS,2025 Annual Report,penalties_paid,2025,631870.58,USD,Citywide annual aggregate,2026-09-03T19:13:00Z,https://www.nyc.gov/assets/specialenforcement/downloads/excel/2025_LL87_2025_Annual_Report.xlsx,manual_browser_download_local_aggregate_review,Public and research use stated on OSE reports page,annual_report_complete,report_dated_2026-09-01,prospective_candidate,"Penalty table note says imposed and paid data are as of April 2025; ambiguous timing retained as a caveat."
BA-053,NYC_OSE_ENFORCEMENT_REPORTS,2025 Annual Report,share_penalties_paid,2025,0.06557186067235093,ratio,Citywide annual aggregate,2026-09-03T19:13:00Z,https://www.nyc.gov/assets/specialenforcement/downloads/excel/2025_LL87_2025_Annual_Report.xlsx,manual_browser_download_local_aggregate_review,Public and research use stated on OSE reports page,annual_report_complete,report_dated_2026-09-01,prospective_candidate,"Equals penalties paid divided by penalties imposed."
BA-054,NYC_OSE_ENFORCEMENT_REPORTS,2025 Annual Report,immediately_hazardous_violation_locations,2025,105,locations,Citywide annual aggregate,2026-09-03T19:13:00Z,https://www.nyc.gov/assets/specialenforcement/downloads/excel/2025_LL87_2025_Annual_Report.xlsx,manual_browser_download_local_aggregate_review,Public and research use stated on OSE reports page,annual_report_complete,report_dated_2026-09-01,prospective_candidate,"Only the aggregate location count was retained; the address-level list was excluded."
BA-055,NYC_OSE_ENFORCEMENT_REPORTS,2024 Annual Report,illegal_str_complaints_received,2024,2356,complaints,Citywide annual aggregate,2026-09-03T19:17:32Z,https://www.nyc.gov/assets/specialenforcement/downloads/excel/2024_LL87_OSE_Annual_Report.xlsx,manual_browser_download_local_aggregate_review,Public and research use stated on OSE reports page,annual_report_complete,report_dated_2025-09-01,limited_backtest_candidate,"Workbook total reconciles to council-district table; source workbook SHA-256 ef4d642ec220428be207217f0daf7f50e285498a2dbdce3075981f38dfc422e9."
BA-056,NYC_OSE_ENFORCEMENT_REPORTS,2024 Annual Report,distinct_locations_receiving_complaints,2024,1750,locations,Citywide annual narrative aggregate,2026-09-03T19:17:32Z,https://www.nyc.gov/assets/specialenforcement/downloads/excel/2024_LL87_OSE_Annual_Report.xlsx,manual_browser_download_local_aggregate_review,Public and research use stated on OSE reports page,annual_report_complete,report_dated_2025-09-01,limited_backtest_candidate,"Report says over 1,750 locations; recorded as a lower-bound narrative value."
BA-057,NYC_OSE_ENFORCEMENT_REPORTS,2024 Annual Report,inspections_total,2024,6717,inspections,Citywide annual aggregate,2026-09-03T19:17:32Z,https://www.nyc.gov/assets/specialenforcement/downloads/excel/2024_LL87_OSE_Annual_Report.xlsx,manual_browser_download_local_aggregate_review,Public and research use stated on OSE reports page,annual_report_complete,report_dated_2025-09-01,limited_backtest_candidate,"Attempted conducted and follow-up inspection types are stated to be nonduplicated."
BA-058,NYC_OSE_ENFORCEMENT_REPORTS,2024 Annual Report,inspections_attempted,2024,5286,inspections,Citywide annual aggregate,2026-09-03T19:17:32Z,https://www.nyc.gov/assets/specialenforcement/downloads/excel/2024_LL87_OSE_Annual_Report.xlsx,manual_browser_download_local_aggregate_review,Public and research use stated on OSE reports page,annual_report_complete,report_dated_2025-09-01,limited_backtest_candidate,"Inspection-type component; arithmetic reconciliation passed."
BA-059,NYC_OSE_ENFORCEMENT_REPORTS,2024 Annual Report,inspections_conducted,2024,872,inspections,Citywide annual aggregate,2026-09-03T19:17:32Z,https://www.nyc.gov/assets/specialenforcement/downloads/excel/2024_LL87_OSE_Annual_Report.xlsx,manual_browser_download_local_aggregate_review,Public and research use stated on OSE reports page,annual_report_complete,report_dated_2025-09-01,limited_backtest_candidate,"Inspection-type component; arithmetic reconciliation passed."
BA-060,NYC_OSE_ENFORCEMENT_REPORTS,2024 Annual Report,inspections_follow_up,2024,559,inspections,Citywide annual aggregate,2026-09-03T19:17:32Z,https://www.nyc.gov/assets/specialenforcement/downloads/excel/2024_LL87_OSE_Annual_Report.xlsx,manual_browser_download_local_aggregate_review,Public and research use stated on OSE reports page,annual_report_complete,report_dated_2025-09-01,limited_backtest_candidate,"Inspection-type component; arithmetic reconciliation passed."
BA-061,NYC_OSE_ENFORCEMENT_REPORTS,2024 Annual Report,summonses_or_violations_issued,2024,1452,summonses,Citywide annual aggregate,2026-09-03T19:17:32Z,https://www.nyc.gov/assets/specialenforcement/downloads/excel/2024_LL87_OSE_Annual_Report.xlsx,manual_browser_download_local_aggregate_review,Public and research use stated on OSE reports page,annual_report_complete,report_dated_2025-09-01,limited_backtest_candidate,"Workbook labels the figure as both summonses and violations in different sections."
BA-062,NYC_OSE_ENFORCEMENT_REPORTS,2024 Annual Report,penalties_imposed,2024,5643869,USD,Citywide annual aggregate,2026-09-03T19:17:32Z,https://www.nyc.gov/assets/specialenforcement/downloads/excel/2024_LL87_OSE_Annual_Report.xlsx,manual_browser_download_local_aggregate_review,Public and research use stated on OSE reports page,annual_report_complete,report_dated_2025-09-01,limited_backtest_candidate,"Penalty table states imposed and paid data are as of April 2025."
