date,act_symbol,period,period_end_date,consensus,count,high,low,year_ago
2018-01-22,NCLH,Current Quarter,2017-12-31,1260000000,3,1260000000,1250000000,1130000000
2018-01-22,NCLH,Current Year,2017-12-31,5400000000,4,5410000000,5380000000,
2018-01-22,NCLH,Next Quarter,2018-03-31,1270000000,3,1290000000,1260000000,1150000000
2018-01-22,NCLH,Next Year,2018-12-31,5940000000,4,6010000000,5850000000,5400000000
2018-01-29,NCLH,Current Quarter,2017-12-31,1260000000,3,1270000000,1250000000,1130000000
2018-01-29,NCLH,Current Year,2017-12-31,5400000000,4,5410000000,5380000000,
2018-01-29,NCLH,Next Quarter,2018-03-31,1270000000,4,1290000000,1260000000,1150000000
2018-01-29,NCLH,Next Year,2018-12-31,5950000000,4,6030000000,5850000000,5400000000
2018-02-05,NCLH,Current Quarter,2017-12-31,1260000000,3,1270000000,1250000000,1130000000
2018-02-05,NCLH,Current Year,2017-12-31,5400000000,4,5410000000,5380000000,
2018-02-05,NCLH,Next Quarter,2018-03-31,1270000000,4,1290000000,1260000000,1150000000
2018-02-05,NCLH,Next Year,2018-12-31,5950000000,4,6030000000,5850000000,5400000000
2018-02-11,NCLH,Current Quarter,2017-12-31,1260000000,3,1270000000,1250000000,1130000000
2018-02-11,NCLH,Current Year,2017-12-31,5400000000,4,5410000000,5380000000,
2018-02-11,NCLH,Next Quarter,2018-03-31,1270000000,4,1290000000,1260000000,1150000000
2018-02-11,NCLH,Next Year,2018-12-31,5950000000,4,6030000000,5850000000,5400000000
2018-02-20,NCLH,Current Quarter,2017-12-31,1250000000,4,1270000000,1230000000,1130000000
2018-02-20,NCLH,Current Year,2017-12-31,5400000000,4,5410000000,5380000000,
2018-02-20,NCLH,Next Quarter,2018-03-31,1270000000,4,1290000000,1260000000,1150000000
2018-02-20,NCLH,Next Year,2018-12-31,5950000000,4,6030000000,5850000000,5400000000
2018-02-25,NCLH,Current Quarter,2018-03-31,1270000000,4,1290000000,1260000000,1150000000
2018-02-25,NCLH,Current Year,2018-12-31,5950000000,4,6030000000,5850000000,5400000000
2018-02-25,NCLH,Next Quarter,2018-06-30,1460000000,4,1500000000,1440000000,1340000000
2018-02-25,NCLH,Next Year,2019-12-31,6250000000,3,6350000000,6150000000,5950000000
2018-03-04,NCLH,Current Quarter,2018-03-31,1280000000,5,1300000000,1270000000,1150000000
2018-03-04,NCLH,Current Year,2018-12-31,6010000000,5,6060000000,5920000000,5400000000
2018-03-04,NCLH,Next Quarter,2018-06-30,1480000000,5,1500000000,1460000000,1340000000
2018-03-04,NCLH,Next Year,2019-12-31,6340000000,5,6440000000,6220000000,6010000000
2018-03-11,NCLH,Current Quarter,2018-03-31,1280000000,5,1300000000,1270000000,1150000000
2018-03-11,NCLH,Current Year,2018-12-31,6010000000,5,6060000000,5920000000,5400000000
2018-03-11,NCLH,Next Quarter,2018-06-30,1480000000,5,1500000000,1460000000,1340000000
2018-03-11,NCLH,Next Year,2019-12-31,6340000000,5,6440000000,6220000000,6010000000
2018-03-18,NCLH,Current Quarter,2018-03-31,1280000000,5,1300000000,1270000000,1150000000
2018-03-18,NCLH,Current Year,2018-12-31,6010000000,5,6060000000,5920000000,5400000000
2018-03-18,NCLH,Next Quarter,2018-06-30,1480000000,5,1500000000,1460000000,1340000000
2018-03-18,NCLH,Next Year,2019-12-31,6340000000,5,6440000000,6220000000,6010000000
2018-03-25,NCLH,Current Quarter,2018-03-31,1280000000,5,1300000000,1270000000,1150000000
2018-03-25,NCLH,Current Year,2018-12-31,6010000000,5,6060000000,5920000000,5400000000
2018-03-25,NCLH,Next Quarter,2018-06-30,1480000000,5,1500000000,1460000000,1340000000
2018-03-25,NCLH,Next Year,2019-12-31,6340000000,5,6440000000,6220000000,6010000000
2018-04-01,NCLH,Current Quarter,2018-03-31,1280000000,5,1300000000,1270000000,1150000000
2018-04-01,NCLH,Current Year,2018-12-31,6010000000,5,6060000000,5920000000,5400000000
2018-04-01,NCLH,Next Quarter,2018-06-30,1480000000,5,1500000000,1460000000,1340000000
2018-04-01,NCLH,Next Year,2019-12-31,6340000000,5,6440000000,6220000000,6010000000
2018-04-08,NCLH,Current Quarter,2018-03-31,1280000000,5,1300000000,1270000000,1150000000
2018-04-08,NCLH,Current Year,2018-12-31,6010000000,5,6060000000,5920000000,5400000000
2018-04-08,NCLH,Next Quarter,2018-06-30,1480000000,5,1500000000,1460000000,1340000000
2018-04-08,NCLH,Next Year,2019-12-31,6340000000,5,6440000000,6220000000,6010000000
2018-04-15,NCLH,Current Quarter,2018-03-31,1280000000,5,1300000000,1270000000,1150000000
2018-04-15,NCLH,Current Year,2018-12-31,6010000000,5,6060000000,5920000000,5400000000
2018-04-15,NCLH,Next Quarter,2018-06-30,1480000000,5,1500000000,1460000000,1340000000
2018-04-15,NCLH,Next Year,2019-12-31,6340000000,5,6440000000,6220000000,6010000000
2018-04-22,NCLH,Current Quarter,2018-03-31,1290000000,5,1300000000,1270000000,1150000000
2018-04-22,NCLH,Current Year,2018-12-31,6010000000,5,6070000000,5920000000,5400000000
2018-04-22,NCLH,Next Quarter,2018-06-30,1480000000,5,1500000000,1460000000,1340000000
2018-04-22,NCLH,Next Year,2019-12-31,6340000000,5,6440000000,6220000000,6010000000
2018-04-29,NCLH,Current Quarter,2018-03-31,1290000000,5,1300000000,1270000000,1150000000
2018-04-29,NCLH,Current Year,2018-12-31,6010000000,5,6070000000,5920000000,5400000000
2018-04-29,NCLH,Next Quarter,2018-06-30,1480000000,5,1500000000,1460000000,1340000000
2018-04-29,NCLH,Next Year,2019-12-31,6350000000,5,6440000000,6220000000,6010000000
2018-05-08,NCLH,Current Quarter,2018-06-30,1490000000,5,1510000000,1460000000,1340000000
2018-05-08,NCLH,Current Year,2018-12-31,6010000000,5,6060000000,5920000000,5400000000
2018-05-08,NCLH,Next Quarter,2018-09-30,1840000000,5,1860000000,1820000000,1650000000
2018-05-08,NCLH,Next Year,2019-12-31,6370000000,5,6450000000,6220000000,6010000000
2018-05-13,NCLH,Current Quarter,2018-06-30,1490000000,5,1510000000,1460000000,1340000000
2018-05-13,NCLH,Current Year,2018-12-31,6010000000,5,6060000000,5920000000,5400000000
2018-05-13,NCLH,Next Quarter,2018-09-30,1840000000,5,1860000000,1820000000,1650000000
2018-05-13,NCLH,Next Year,2019-12-31,6370000000,5,6450000000,6220000000,6010000000
2018-05-20,NCLH,Current Quarter,2018-06-30,1500000000,4,1510000000,1490000000,1340000000
2018-05-20,NCLH,Current Year,2018-12-31,6020000000,5,6060000000,5940000000,5400000000
2018-05-20,NCLH,Next Quarter,2018-09-30,1850000000,4,1860000000,1830000000,1650000000
2018-05-20,NCLH,Next Year,2019-12-31,6380000000,5,6450000000,6260000000,6020000000
2018-05-27,NCLH,Current Quarter,2018-06-30,1500000000,4,1510000000,1490000000,1340000000
2018-05-27,NCLH,Current Year,2018-12-31,6020000000,5,6060000000,5940000000,5400000000
2018-05-27,NCLH,Next Quarter,2018-09-30,1850000000,4,1860000000,1830000000,1650000000
2018-05-27,NCLH,Next Year,2019-12-31,6380000000,5,6450000000,6260000000,6020000000
2018-06-03,NCLH,Current Quarter,2018-06-30,1500000000,4,1510000000,1490000000,1340000000
2018-06-03,NCLH,Current Year,2018-12-31,6020000000,5,6060000000,5940000000,5400000000
2018-06-03,NCLH,Next Quarter,2018-09-30,1850000000,4,1860000000,1830000000,1650000000
2018-06-03,NCLH,Next Year,2019-12-31,6380000000,5,6450000000,6260000000,6020000000
2018-06-10,NCLH,Current Quarter,2018-06-30,1500000000,4,1510000000,1490000000,1340000000
2018-06-10,NCLH,Current Year,2018-12-31,6020000000,5,6060000000,5940000000,5400000000
2018-06-10,NCLH,Next Quarter,2018-09-30,1850000000,4,1860000000,1830000000,1650000000
2018-06-10,NCLH,Next Year,2019-12-31,6380000000,5,6450000000,6260000000,6020000000
2018-06-17,NCLH,Current Quarter,2018-06-30,1500000000,4,1510000000,1490000000,1340000000
2018-06-17,NCLH,Current Year,2018-12-31,6020000000,5,6060000000,5940000000,5400000000
2018-06-17,NCLH,Next Quarter,2018-09-30,1850000000,4,1860000000,1830000000,1650000000
2018-06-17,NCLH,Next Year,2019-12-31,6380000000,5,6450000000,6260000000,6020000000
2018-06-24,NCLH,Current Quarter,2018-06-30,1500000000,4,1510000000,1490000000,1340000000
2018-06-24,NCLH,Current Year,2018-12-31,6020000000,5,6060000000,5940000000,5400000000
2018-06-24,NCLH,Next Quarter,2018-09-30,1850000000,4,1860000000,1830000000,1650000000
2018-06-24,NCLH,Next Year,2019-12-31,6380000000,5,6450000000,6260000000,6020000000
2018-07-08,NCLH,Current Quarter,2018-06-30,1500000000,4,1510000000,1490000000,1340000000
2018-07-08,NCLH,Current Year,2018-12-31,6020000000,5,6060000000,5940000000,5400000000
2018-07-08,NCLH,Next Quarter,2018-09-30,1840000000,4,1860000000,1830000000,1650000000
2018-07-08,NCLH,Next Year,2019-12-31,6370000000,5,6450000000,6260000000,6020000000
2018-07-15,NCLH,Current Quarter,2018-06-30,1500000000,4,1510000000,1490000000,1340000000
2018-07-15,NCLH,Current Year,2018-12-31,6020000000,5,6060000000,5940000000,5400000000
2018-07-15,NCLH,Next Quarter,2018-09-30,1840000000,4,1860000000,1830000000,1650000000
2018-07-15,NCLH,Next Year,2019-12-31,6370000000,5,6450000000,6260000000,6020000000
2018-07-22,NCLH,Current Quarter,2018-06-30,1500000000,4,1510000000,1490000000,1340000000
2018-07-22,NCLH,Current Year,2018-12-31,6020000000,5,6060000000,5940000000,5400000000
2018-07-22,NCLH,Next Quarter,2018-09-30,1840000000,4,1860000000,1830000000,1650000000
2018-07-22,NCLH,Next Year,2019-12-31,6370000000,5,6450000000,6260000000,6020000000
2018-07-30,NCLH,Current Quarter,2018-06-30,1510000000,4,1510000000,1500000000,1340000000
2018-07-30,NCLH,Current Year,2018-12-31,6020000000,5,6060000000,5940000000,5400000000
2018-07-30,NCLH,Next Quarter,2018-09-30,1840000000,4,1860000000,1830000000,1650000000
2018-07-30,NCLH,Next Year,2019-12-31,6370000000,5,6450000000,6260000000,6020000000
2018-08-05,NCLH,Current Quarter,2018-06-30,1510000000,4,1510000000,1500000000,1340000000
2018-08-05,NCLH,Current Year,2018-12-31,6020000000,5,6060000000,5940000000,5400000000
2018-08-05,NCLH,Next Quarter,2018-09-30,1840000000,4,1860000000,1830000000,1650000000
2018-08-05,NCLH,Next Year,2019-12-31,6370000000,5,6450000000,6260000000,6020000000
2018-08-12,NCLH,Current Quarter,2018-09-30,1840000000,4,1860000000,1830000000,1650000000
2018-08-12,NCLH,Current Year,2018-12-31,6020000000,5,6060000000,5940000000,5400000000
2018-08-12,NCLH,Next Quarter,2018-12-31,1390000000,4,1410000000,1380000000,1250000000
2018-08-12,NCLH,Next Year,2019-12-31,6370000000,5,6450000000,6260000000,6020000000
2018-08-19,NCLH,Current Quarter,2018-09-30,1840000000,5,1850000000,1820000000,1650000000
2018-08-19,NCLH,Current Year,2018-12-31,6050000000,5,6070000000,6010000000,5400000000
2018-08-19,NCLH,Next Quarter,2018-12-31,1390000000,5,1400000000,1370000000,1250000000
2018-08-19,NCLH,Next Year,2019-12-31,6430000000,5,6490000000,6380000000,6050000000
2018-08-26,NCLH,Current Quarter,2018-09-30,1840000000,5,1850000000,1820000000,1650000000
2018-08-26,NCLH,Current Year,2018-12-31,6050000000,5,6070000000,6010000000,5400000000
2018-08-26,NCLH,Next Quarter,2018-12-31,1390000000,5,1400000000,1370000000,1250000000
2018-08-26,NCLH,Next Year,2019-12-31,6430000000,5,6490000000,6380000000,6050000000
2018-09-02,NCLH,Current Quarter,2018-09-30,1840000000,5,1850000000,1820000000,1650000000
2018-09-02,NCLH,Current Year,2018-12-31,6050000000,5,6070000000,6010000000,5400000000
2018-09-02,NCLH,Next Quarter,2018-12-31,1390000000,5,1400000000,1370000000,1250000000
2018-09-02,NCLH,Next Year,2019-12-31,6430000000,5,6490000000,6380000000,6050000000
2018-09-09,NCLH,Current Quarter,2018-09-30,1840000000,5,1850000000,1820000000,1650000000
2018-09-09,NCLH,Current Year,2018-12-31,6050000000,5,6070000000,6010000000,5400000000
2018-09-09,NCLH,Next Quarter,2018-12-31,1390000000,5,1400000000,1370000000,1250000000
2018-09-09,NCLH,Next Year,2019-12-31,6430000000,5,6490000000,6380000000,6050000000
2018-09-16,NCLH,Current Quarter,2018-09-30,1840000000,5,1850000000,1820000000,1650000000
2018-09-16,NCLH,Current Year,2018-12-31,6050000000,5,6070000000,6010000000,5400000000
2018-09-16,NCLH,Next Quarter,2018-12-31,1390000000,5,1400000000,1370000000,1250000000
2018-09-16,NCLH,Next Year,2019-12-31,6430000000,5,6490000000,6380000000,6050000000
2018-09-23,NCLH,Current Quarter,2018-09-30,1840000000,5,1850000000,1820000000,1650000000
2018-09-23,NCLH,Current Year,2018-12-31,6050000000,5,6070000000,6010000000,5400000000
2018-09-23,NCLH,Next Quarter,2018-12-31,1390000000,5,1400000000,1370000000,1250000000
2018-09-23,NCLH,Next Year,2019-12-31,6430000000,5,6490000000,6380000000,6050000000
2018-09-30,NCLH,Current Quarter,2018-09-30,1840000000,5,1850000000,1820000000,1650000000
2018-09-30,NCLH,Current Year,2018-12-31,6050000000,5,6070000000,6010000000,5400000000
2018-09-30,NCLH,Next Quarter,2018-12-31,1390000000,5,1400000000,1370000000,1250000000
2018-09-30,NCLH,Next Year,2019-12-31,6430000000,5,6490000000,6380000000,6050000000
2018-10-07,NCLH,Current Quarter,2018-09-30,1840000000,5,1850000000,1820000000,1650000000
2018-10-07,NCLH,Current Year,2018-12-31,6050000000,5,6070000000,6010000000,5400000000
2018-10-07,NCLH,Next Quarter,2018-12-31,1390000000,5,1400000000,1370000000,1250000000
2018-10-07,NCLH,Next Year,2019-12-31,6430000000,5,6490000000,6380000000,6050000000
2018-10-15,NCLH,Current Quarter,2018-09-30,1840000000,5,1850000000,1820000000,1650000000
2018-10-15,NCLH,Current Year,2018-12-31,6050000000,5,6070000000,6010000000,5400000000
2018-10-15,NCLH,Next Quarter,2018-12-31,1390000000,5,1400000000,1370000000,1250000000
2018-10-15,NCLH,Next Year,2019-12-31,6430000000,5,6490000000,6380000000,6050000000
2018-10-22,NCLH,Current Quarter,2018-09-30,1840000000,5,1850000000,1820000000,1650000000
2018-10-22,NCLH,Current Year,2018-12-31,6050000000,5,6070000000,6010000000,5400000000
2018-10-22,NCLH,Next Quarter,2018-12-31,1390000000,5,1400000000,1370000000,1250000000
2018-10-22,NCLH,Next Year,2019-12-31,6430000000,5,6490000000,6380000000,6050000000
2018-10-28,NCLH,Current Quarter,2018-09-30,1840000000,5,1850000000,1820000000,1650000000
2018-10-28,NCLH,Current Year,2018-12-31,6050000000,5,6070000000,6010000000,5400000000
2018-10-28,NCLH,Next Quarter,2018-12-31,1390000000,5,1400000000,1370000000,1250000000
2018-10-28,NCLH,Next Year,2019-12-31,6430000000,5,6490000000,6380000000,6050000000
2018-11-04,NCLH,Current Quarter,2018-09-30,1840000000,5,1850000000,1820000000,1650000000
2018-11-04,NCLH,Current Year,2018-12-31,6050000000,5,6070000000,6010000000,5400000000
2018-11-04,NCLH,Next Quarter,2018-12-31,1390000000,5,1400000000,1370000000,1250000000
2018-11-04,NCLH,Next Year,2019-12-31,6430000000,5,6490000000,6380000000,6050000000
2018-11-11,NCLH,Current Quarter,2018-12-31,1390000000,5,1400000000,1370000000,1250000000
2018-11-11,NCLH,Current Year,2018-12-31,6050000000,5,6070000000,6010000000,5400000000
2018-11-11,NCLH,Next Quarter,2019-03-31,1420000000,2,1430000000,1420000000,1290000000
2018-11-11,NCLH,Next Year,2019-12-31,6430000000,5,6490000000,6380000000,6050000000
2018-11-18,NCLH,Current Quarter,2018-12-31,1400000000,5,1410000000,1370000000,1250000000
2018-11-18,NCLH,Current Year,2018-12-31,6070000000,5,6080000000,6050000000,5400000000
2018-11-18,NCLH,Next Quarter,2019-03-31,1390000000,3,1400000000,1380000000,1290000000
2018-11-18,NCLH,Next Year,2019-12-31,6460000000,5,6530000000,6400000000,6070000000
2018-11-25,NCLH,Current Quarter,2018-12-31,1400000000,5,1410000000,1370000000,1250000000
2018-11-25,NCLH,Current Year,2018-12-31,6070000000,5,6080000000,6050000000,5400000000
2018-11-25,NCLH,Next Quarter,2019-03-31,1390000000,3,1400000000,1380000000,1290000000
2018-11-25,NCLH,Next Year,2019-12-31,6460000000,5,6530000000,6400000000,6070000000
2018-12-02,NCLH,Current Quarter,2018-12-31,1400000000,5,1410000000,1370000000,1250000000
2018-12-02,NCLH,Current Year,2018-12-31,6070000000,5,6080000000,6050000000,5400000000
2018-12-02,NCLH,Next Quarter,2019-03-31,1390000000,3,1400000000,1380000000,1290000000
2018-12-02,NCLH,Next Year,2019-12-31,6460000000,5,6530000000,6400000000,6070000000
2018-12-09,NCLH,Current Quarter,2018-12-31,1400000000,5,1410000000,1370000000,1250000000
2018-12-09,NCLH,Current Year,2018-12-31,6070000000,5,6080000000,6050000000,5400000000
2018-12-09,NCLH,Next Quarter,2019-03-31,1390000000,3,1400000000,1380000000,1290000000
2018-12-09,NCLH,Next Year,2019-12-31,6460000000,5,6530000000,6400000000,6070000000
2018-12-16,NCLH,Current Quarter,2018-12-31,1400000000,5,1410000000,1370000000,1250000000
2018-12-16,NCLH,Current Year,2018-12-31,6070000000,5,6080000000,6050000000,5400000000
2018-12-16,NCLH,Next Quarter,2019-03-31,1390000000,3,1400000000,1380000000,1290000000
2018-12-16,NCLH,Next Year,2019-12-31,6460000000,5,6530000000,6400000000,6070000000
2018-12-23,NCLH,Current Quarter,2018-12-31,1400000000,5,1410000000,1370000000,1250000000
2018-12-23,NCLH,Current Year,2018-12-31,6070000000,5,6080000000,6050000000,5400000000
2018-12-23,NCLH,Next Quarter,2019-03-31,1390000000,3,1400000000,1380000000,1290000000
2018-12-23,NCLH,Next Year,2019-12-31,6450000000,5,6530000000,6400000000,6070000000
2018-12-30,NCLH,Current Quarter,2018-12-31,1400000000,5,1410000000,1370000000,1250000000
2018-12-30,NCLH,Current Year,2018-12-31,6070000000,5,6080000000,6050000000,5400000000
2018-12-30,NCLH,Next Quarter,2019-03-31,1390000000,3,1400000000,1380000000,1290000000
2018-12-30,NCLH,Next Year,2019-12-31,6450000000,5,6530000000,6400000000,6070000000
2019-01-06,NCLH,Current Quarter,2018-12-31,1400000000,5,1410000000,1370000000,1250000000
2019-01-06,NCLH,Current Year,2018-12-31,6070000000,5,6080000000,6050000000,
2019-01-06,NCLH,Next Quarter,2019-03-31,1390000000,3,1400000000,1380000000,1290000000
2019-01-06,NCLH,Next Year,2019-12-31,6450000000,5,6530000000,6400000000,6070000000
2019-01-13,NCLH,Current Quarter,2018-12-31,1400000000,5,1410000000,1370000000,1250000000
2019-01-13,NCLH,Current Year,2018-12-31,6070000000,5,6080000000,6050000000,
2019-01-13,NCLH,Next Quarter,2019-03-31,1390000000,3,1400000000,1380000000,1290000000
2019-01-13,NCLH,Next Year,2019-12-31,6450000000,5,6530000000,6400000000,6070000000
2019-01-20,NCLH,Current Quarter,2018-12-31,1400000000,5,1410000000,1370000000,1250000000
2019-01-20,NCLH,Current Year,2018-12-31,6070000000,5,6080000000,6050000000,
2019-01-20,NCLH,Next Quarter,2019-03-31,1390000000,4,1400000000,1380000000,1290000000
2019-01-20,NCLH,Next Year,2019-12-31,6430000000,5,6490000000,6400000000,6070000000
2019-01-27,NCLH,Current Quarter,2018-12-31,1400000000,5,1410000000,1370000000,1250000000
2019-01-27,NCLH,Current Year,2018-12-31,6070000000,5,6080000000,6050000000,
2019-01-27,NCLH,Next Quarter,2019-03-31,1390000000,4,1400000000,1380000000,1290000000
2019-01-27,NCLH,Next Year,2019-12-31,6430000000,5,6490000000,6400000000,6070000000
2019-02-03,NCLH,Current Quarter,2018-12-31,1400000000,5,1410000000,1370000000,1250000000
2019-02-03,NCLH,Current Year,2018-12-31,6070000000,5,6080000000,6050000000,
2019-02-03,NCLH,Next Quarter,2019-03-31,1390000000,4,1400000000,1380000000,1290000000
2019-02-03,NCLH,Next Year,2019-12-31,6430000000,5,6490000000,6400000000,6070000000
2019-02-10,NCLH,Current Quarter,2018-12-31,1400000000,5,1410000000,1370000000,1250000000
2019-02-10,NCLH,Current Year,2018-12-31,6070000000,5,6080000000,6050000000,
2019-02-10,NCLH,Next Quarter,2019-03-31,1390000000,4,1400000000,1380000000,1290000000
2019-02-10,NCLH,Next Year,2019-12-31,6430000000,5,6490000000,6400000000,6070000000
2019-02-17,NCLH,Current Quarter,2018-12-31,1400000000,5,1410000000,1370000000,1250000000
2019-02-17,NCLH,Current Year,2018-12-31,6070000000,5,6080000000,6050000000,
2019-02-17,NCLH,Next Quarter,2019-03-31,1390000000,4,1400000000,1380000000,1290000000
2019-02-17,NCLH,Next Year,2019-12-31,6430000000,5,6490000000,6400000000,6070000000
2019-02-24,NCLH,Current Quarter,2019-03-31,1390000000,4,1400000000,1380000000,1290000000
2019-02-24,NCLH,Current Year,2019-12-31,6430000000,5,6490000000,6400000000,6060000000
2019-02-24,NCLH,Next Quarter,2019-06-30,1620000000,4,1630000000,1610000000,1520000000
2019-02-24,NCLH,Next Year,2020-12-31,7010000000,2,7080000000,6940000000,6430000000
2019-03-03,NCLH,Current Quarter,2019-03-31,1390000000,4,1400000000,1380000000,1290000000
2019-03-03,NCLH,Current Year,2019-12-31,6430000000,5,6490000000,6400000000,6060000000
2019-03-03,NCLH,Next Quarter,2019-06-30,1620000000,4,1630000000,1610000000,1520000000
2019-03-03,NCLH,Next Year,2020-12-31,7010000000,2,7080000000,6940000000,6430000000
2019-03-17,NCLH,Current Quarter,2019-03-31,1390000000,5,1400000000,1380000000,1290000000
2019-03-17,NCLH,Current Year,2019-12-31,6410000000,5,6420000000,6380000000,6060000000
2019-03-17,NCLH,Next Quarter,2019-06-30,1600000000,5,1610000000,1590000000,1520000000
2019-03-17,NCLH,Next Year,2020-12-31,7130000000,5,7210000000,7030000000,6410000000
2019-03-24,NCLH,Current Quarter,2019-03-31,1390000000,5,1400000000,1380000000,1290000000
2019-03-24,NCLH,Current Year,2019-12-31,6410000000,5,6420000000,6380000000,6060000000
2019-03-24,NCLH,Next Quarter,2019-06-30,1600000000,5,1610000000,1590000000,1520000000
2019-03-24,NCLH,Next Year,2020-12-31,7130000000,5,7210000000,7030000000,6410000000
2019-03-31,NCLH,Current Quarter,2019-03-31,1390000000,5,1400000000,1380000000,1290000000
2019-03-31,NCLH,Current Year,2019-12-31,6410000000,5,6420000000,6380000000,6060000000
2019-03-31,NCLH,Next Quarter,2019-06-30,1600000000,5,1610000000,1590000000,1520000000
2019-03-31,NCLH,Next Year,2020-12-31,7130000000,5,7210000000,7030000000,6410000000
2019-04-07,NCLH,Current Quarter,2019-03-31,1390000000,5,1400000000,1380000000,1290000000
2019-04-07,NCLH,Current Year,2019-12-31,6410000000,5,6420000000,6380000000,6060000000
2019-04-07,NCLH,Next Quarter,2019-06-30,1600000000,5,1610000000,1590000000,1520000000
2019-04-07,NCLH,Next Year,2020-12-31,7130000000,5,7210000000,7030000000,6410000000
2019-04-14,NCLH,Current Quarter,2019-03-31,1390000000,5,1400000000,1380000000,1290000000
