date,slot,period,value_musd,n,high_musd,low_musd,year_ago_musd
2021-05-23,Current Quarter,2021Q2,1220.0,11,1330.0,917.0,
2021-05-23,Current Year,FY2021,5370.0,12,5890.0,4600.0,3380.0
2021-05-23,Next Quarter,2021Q3,1880.0,10,2320.0,1670.0,
2021-05-23,Next Year,FY2022,6990.0,12,7780.0,6240.0,5370.0
2021-05-30,Current Quarter,2021Q2,1220.0,11,1330.0,917.0,
2021-05-30,Current Year,FY2021,5370.0,12,5890.0,4600.0,3380.0
2021-05-30,Next Quarter,2021Q3,1880.0,10,2320.0,1670.0,
2021-05-30,Next Year,FY2022,6990.0,12,7780.0,6240.0,5370.0
2021-06-06,Current Quarter,2021Q2,1220.0,11,1330.0,917.0,
2021-06-06,Current Year,FY2021,5370.0,12,5890.0,4600.0,3380.0
2021-06-06,Next Quarter,2021Q3,1880.0,10,2320.0,1670.0,
2021-06-06,Next Year,FY2022,6990.0,12,7780.0,6240.0,5370.0
2021-06-13,Current Quarter,2021Q2,1220.0,11,1330.0,917.0,
2021-06-13,Current Year,FY2021,5370.0,12,5890.0,4600.0,3380.0
2021-06-13,Next Quarter,2021Q3,1880.0,10,2320.0,1670.0,
2021-06-13,Next Year,FY2022,6990.0,12,7780.0,6240.0,5370.0
2021-06-20,Current Quarter,2021Q2,1220.0,11,1330.0,917.0,
2021-06-20,Current Year,FY2021,5370.0,12,5890.0,4600.0,3380.0
2021-06-20,Next Quarter,2021Q3,1880.0,10,2320.0,1670.0,
2021-06-20,Next Year,FY2022,6990.0,12,7780.0,6240.0,5370.0
2021-06-27,Current Quarter,2021Q2,1220.0,11,1330.0,917.0,
2021-06-27,Current Year,FY2021,5370.0,12,5890.0,4600.0,3380.0
2021-06-27,Next Quarter,2021Q3,1880.0,10,2320.0,1670.0,
2021-06-27,Next Year,FY2022,6990.0,12,7780.0,6240.0,5370.0
2021-07-04,Current Quarter,2021Q2,1220.0,11,1330.0,917.0,
2021-07-04,Current Year,FY2021,5370.0,12,5890.0,4600.0,3380.0
2021-07-04,Next Quarter,2021Q3,1880.0,10,2320.0,1670.0,
2021-07-04,Next Year,FY2022,6990.0,12,7780.0,6240.0,5370.0
2021-07-11,Current Quarter,2021Q2,1220.0,11,1330.0,917.0,
2021-07-11,Current Year,FY2021,5370.0,12,5890.0,4600.0,3380.0
2021-07-11,Next Quarter,2021Q3,1880.0,10,2320.0,1670.0,
2021-07-11,Next Year,FY2022,6990.0,12,7780.0,6240.0,5370.0
2021-07-18,Current Quarter,2021Q2,1250.0,10,1330.0,1170.0,
2021-07-18,Current Year,FY2021,5440.0,11,5890.0,5070.0,3380.0
2021-07-18,Next Quarter,2021Q3,1910.0,9,2320.0,1670.0,
2021-07-18,Next Year,FY2022,7060.0,11,7780.0,6510.0,5440.0
2021-07-25,Current Quarter,2021Q2,1270.0,10,1350.0,1190.0,
2021-07-25,Current Year,FY2021,5490.0,11,5890.0,5190.0,3380.0
2021-07-25,Next Quarter,2021Q3,1940.0,9,2320.0,1780.0,
2021-07-25,Next Year,FY2022,7130.0,11,7780.0,6880.0,5490.0
2021-08-01,Current Quarter,2021Q2,1270.0,10,1350.0,1190.0,
2021-08-01,Current Year,FY2021,5490.0,11,5890.0,5190.0,3380.0
2021-08-01,Next Quarter,2021Q3,1940.0,9,2320.0,1780.0,
2021-08-01,Next Year,FY2022,7130.0,11,7780.0,6880.0,5490.0
2021-08-08,Current Quarter,2021Q2,1280.0,10,1350.0,1190.0,
2021-08-08,Current Year,FY2021,5520.0,11,5890.0,5190.0,3380.0
2021-08-08,Next Quarter,2021Q3,1950.0,9,2320.0,1780.0,
2021-08-08,Next Year,FY2022,7160.0,11,7780.0,6880.0,5520.0
2021-08-15,Current Quarter,2021Q3,2030.0,9,2300.0,1780.0,
2021-08-15,Current Year,FY2021,5690.0,11,6060.0,5190.0,3380.0
2021-08-15,Next Quarter,2021Q4,1420.0,9,1600.0,1220.0,859.26
2021-08-15,Next Year,FY2022,7230.0,11,7950.0,6520.0,5690.0
2021-08-22,Current Quarter,2021Q3,2070.0,10,2300.0,1740.0,
2021-08-22,Current Year,FY2021,5770.0,11,6060.0,5200.0,3380.0
2021-08-22,Next Quarter,2021Q4,1440.0,9,1690.0,1230.0,859.26
2021-08-22,Next Year,FY2022,7290.0,11,7970.0,6520.0,5770.0
2021-08-29,Current Quarter,2021Q3,2070.0,10,2300.0,1740.0,
2021-08-29,Current Year,FY2021,5770.0,11,6060.0,5200.0,3380.0
2021-08-29,Next Quarter,2021Q4,1440.0,9,1690.0,1230.0,859.26
2021-08-29,Next Year,FY2022,7290.0,11,7970.0,6520.0,5770.0
2021-09-05,Current Quarter,2021Q3,2070.0,10,2300.0,1740.0,
2021-09-05,Current Year,FY2021,5770.0,11,6060.0,5200.0,3380.0
2021-09-05,Next Quarter,2021Q4,1440.0,9,1690.0,1230.0,859.26
2021-09-05,Next Year,FY2022,7290.0,11,7970.0,6520.0,5770.0
2021-09-12,Current Quarter,2021Q3,2070.0,10,2300.0,1740.0,
2021-09-12,Current Year,FY2021,5770.0,11,6060.0,5200.0,3380.0
2021-09-12,Next Quarter,2021Q4,1440.0,9,1690.0,1230.0,859.26
2021-09-12,Next Year,FY2022,7290.0,11,7970.0,6520.0,5770.0
2021-09-19,Current Quarter,2021Q3,2070.0,10,2300.0,1740.0,
2021-09-19,Current Year,FY2021,5770.0,11,6060.0,5200.0,3380.0
2021-09-19,Next Quarter,2021Q4,1440.0,9,1690.0,1230.0,859.26
2021-09-19,Next Year,FY2022,7290.0,11,7970.0,6520.0,5770.0
2021-09-26,Current Quarter,2021Q3,2060.0,10,2300.0,1740.0,
2021-09-26,Current Year,FY2021,5750.0,11,6000.0,5200.0,3380.0
2021-09-26,Next Quarter,2021Q4,1430.0,9,1610.0,1230.0,859.26
2021-09-26,Next Year,FY2022,7270.0,11,7970.0,6520.0,5750.0
2021-10-03,Current Quarter,2021Q3,2060.0,11,2300.0,1740.0,
2021-10-03,Current Year,FY2021,5750.0,12,6000.0,5200.0,3380.0
2021-10-03,Next Quarter,2021Q4,1430.0,10,1610.0,1230.0,859.26
2021-10-03,Next Year,FY2022,7270.0,12,7970.0,6520.0,5750.0
2021-10-10,Current Quarter,2021Q3,2060.0,11,2300.0,1740.0,
2021-10-10,Current Year,FY2021,5750.0,12,6000.0,5200.0,3380.0
2021-10-10,Next Quarter,2021Q4,1430.0,10,1610.0,1230.0,859.26
2021-10-10,Next Year,FY2022,7270.0,12,7970.0,6520.0,5750.0
2021-10-17,Current Quarter,2021Q3,2060.0,11,2300.0,1740.0,
2021-10-17,Current Year,FY2021,5750.0,12,6000.0,5200.0,3380.0
2021-10-17,Next Quarter,2021Q4,1430.0,10,1610.0,1230.0,859.26
2021-10-17,Next Year,FY2022,7280.0,12,7970.0,6520.0,5750.0
2021-10-24,Current Quarter,2021Q3,2060.0,11,2300.0,1740.0,
2021-10-24,Current Year,FY2021,5750.0,12,6000.0,5200.0,3380.0
2021-10-24,Next Quarter,2021Q4,1430.0,10,1610.0,1230.0,859.26
2021-10-24,Next Year,FY2022,7280.0,12,7970.0,6520.0,5750.0
2021-10-31,Current Quarter,2021Q3,2060.0,11,2300.0,1740.0,
2021-10-31,Current Year,FY2021,5750.0,12,6000.0,5200.0,3380.0
2021-10-31,Next Quarter,2021Q4,1430.0,10,1610.0,1230.0,859.26
2021-10-31,Next Year,FY2022,7280.0,12,7970.0,6520.0,5750.0
2021-11-07,Current Quarter,2021Q4,1480.0,10,1640.0,1420.0,859.26
2021-11-07,Current Year,FY2021,5890.0,12,6100.0,5650.0,3380.0
2021-11-07,Next Quarter,2022Q1,1330.0,4,1390.0,1260.0,886.94
2021-11-07,Next Year,FY2022,7510.0,12,8450.0,7180.0,5890.0
2021-11-14,Current Quarter,2021Q4,1480.0,11,1640.0,1430.0,859.26
2021-11-14,Current Year,FY2021,5940.0,12,6100.0,5890.0,3380.0
2021-11-14,Next Quarter,2022Q1,1290.0,5,1390.0,1180.0,886.94
2021-11-14,Next Year,FY2022,7510.0,12,8450.0,7130.0,5940.0
2021-11-21,Current Quarter,2021Q4,1480.0,11,1640.0,1430.0,859.26
2021-11-21,Current Year,FY2021,5940.0,12,6100.0,5890.0,3380.0
2021-11-21,Next Quarter,2022Q1,1290.0,5,1390.0,1180.0,886.94
2021-11-21,Next Year,FY2022,7510.0,12,8450.0,7120.0,5940.0
2021-11-28,Current Quarter,2021Q4,1480.0,11,1640.0,1430.0,859.26
2021-11-28,Current Year,FY2021,5940.0,12,6100.0,5890.0,3380.0
2021-11-28,Next Quarter,2022Q1,1290.0,5,1390.0,1180.0,886.94
2021-11-28,Next Year,FY2022,7510.0,12,8450.0,7120.0,5940.0
2021-12-05,Current Quarter,2021Q4,1460.0,10,1480.0,1430.0,859.26
2021-12-05,Current Year,FY2021,5920.0,11,5940.0,5890.0,3380.0
2021-12-05,Next Quarter,2022Q1,1290.0,5,1390.0,1180.0,886.94
2021-12-05,Next Year,FY2022,7490.0,11,8450.0,7120.0,5920.0
2021-12-12,Current Quarter,2021Q4,1460.0,10,1480.0,1430.0,859.26
2021-12-12,Current Year,FY2021,5920.0,11,5940.0,5890.0,3380.0
2021-12-12,Next Quarter,2022Q1,1290.0,5,1390.0,1180.0,886.94
2021-12-12,Next Year,FY2022,7490.0,11,8450.0,7120.0,5920.0
2021-12-19,Current Quarter,2021Q4,1460.0,10,1480.0,1430.0,859.26
2021-12-19,Current Year,FY2021,5920.0,11,5940.0,5890.0,3380.0
2021-12-19,Next Quarter,2022Q1,1290.0,5,1390.0,1180.0,886.94
2021-12-19,Next Year,FY2022,7490.0,11,8450.0,7120.0,5920.0
2021-12-26,Current Quarter,2021Q4,1460.0,10,1480.0,1430.0,859.26
2021-12-26,Current Year,FY2021,5920.0,11,5940.0,5890.0,3380.0
2021-12-26,Next Quarter,2022Q1,1290.0,5,1390.0,1180.0,886.94
2021-12-26,Next Year,FY2022,7490.0,11,8450.0,7120.0,5920.0
2022-01-02,Current Quarter,2021Q4,1460.0,10,1480.0,1430.0,859.26
2022-01-02,Current Year,FY2021,5920.0,11,5940.0,5890.0,3380.0
2022-01-02,Next Quarter,2022Q1,1290.0,5,1390.0,1180.0,886.94
2022-01-02,Next Year,FY2022,7490.0,11,8450.0,7120.0,5920.0
2022-01-09,Current Quarter,2021Q4,1460.0,10,1480.0,1430.0,859.26
2022-01-09,Current Year,FY2021,5920.0,11,5940.0,5890.0,3380.0
2022-01-09,Next Quarter,2022Q1,1280.0,4,1390.0,1180.0,886.94
2022-01-09,Next Year,FY2022,7480.0,11,8450.0,7120.0,5920.0
2022-01-16,Current Quarter,2021Q4,1460.0,10,1480.0,1430.0,859.26
2022-01-16,Current Year,FY2021,5920.0,11,5940.0,5890.0,3380.0
2022-01-16,Next Quarter,2022Q1,1280.0,5,1390.0,1180.0,886.94
2022-01-16,Next Year,FY2022,7480.0,11,8450.0,7120.0,5920.0
2022-01-23,Current Quarter,2021Q4,1460.0,10,1480.0,1430.0,859.26
2022-01-23,Current Year,FY2021,5920.0,11,5940.0,5890.0,3380.0
2022-01-23,Next Quarter,2022Q1,1270.0,6,1390.0,1180.0,886.94
2022-01-23,Next Year,FY2022,7470.0,11,8450.0,7120.0,5920.0
2022-01-30,Current Quarter,2021Q4,1460.0,10,1480.0,1430.0,859.26
2022-01-30,Current Year,FY2021,5920.0,11,5940.0,5890.0,3380.0
2022-01-30,Next Quarter,2022Q1,1270.0,6,1390.0,1180.0,886.94
2022-01-30,Next Year,FY2022,7470.0,11,8450.0,7120.0,5920.0
2022-02-06,Current Quarter,2021Q4,1460.0,10,1480.0,1430.0,859.26
2022-02-06,Current Year,FY2021,5920.0,11,5940.0,5890.0,3380.0
2022-02-06,Next Quarter,2022Q1,1270.0,6,1390.0,1180.0,886.94
2022-02-06,Next Year,FY2022,7470.0,11,8450.0,7120.0,5920.0
2022-02-13,Current Quarter,2021Q4,1460.0,11,1480.0,1430.0,859.26
2022-02-13,Current Year,FY2021,5920.0,11,5940.0,5890.0,3380.0
2022-02-13,Next Quarter,2022Q1,1270.0,7,1390.0,1180.0,886.94
2022-02-13,Next Year,FY2022,7470.0,11,8450.0,7120.0,5920.0
2022-02-20,Current Quarter,2022Q1,1460.0,11,1480.0,1440.0,886.94
2022-02-20,Current Year,FY2022,8040.0,11,8700.0,7530.0,5990.0
2022-02-20,Next Quarter,2022Q2,1990.0,10,2120.0,1660.0,1340.0
2022-02-20,Next Year,FY2023,9950.0,11,11270.0,9310.0,8040.0
2022-02-27,Current Quarter,2022Q1,1460.0,11,1480.0,1440.0,886.94
2022-02-27,Current Year,FY2022,8040.0,11,8700.0,7530.0,5990.0
2022-02-27,Next Quarter,2022Q2,1990.0,10,2120.0,1660.0,1340.0
2022-02-27,Next Year,FY2023,9950.0,11,11270.0,9310.0,8040.0
2022-03-06,Current Quarter,2022Q1,1460.0,11,1480.0,1440.0,886.94
2022-03-06,Current Year,FY2022,8040.0,11,8700.0,7530.0,5990.0
2022-03-06,Next Quarter,2022Q2,1990.0,10,2120.0,1660.0,1340.0
2022-03-06,Next Year,FY2023,9950.0,11,11270.0,9310.0,8040.0
2022-03-13,Current Quarter,2022Q1,1460.0,11,1480.0,1440.0,886.94
2022-03-13,Current Year,FY2022,8020.0,12,8700.0,7530.0,5990.0
2022-03-13,Next Quarter,2022Q2,1990.0,10,2120.0,1660.0,1340.0
2022-03-13,Next Year,FY2023,9950.0,11,11270.0,9310.0,8020.0
2022-03-20,Current Quarter,2022Q1,1460.0,12,1480.0,1410.0,886.94
2022-03-20,Current Year,FY2022,8020.0,12,8700.0,7530.0,5990.0
2022-03-20,Next Quarter,2022Q2,1980.0,11,2120.0,1660.0,1340.0
2022-03-20,Next Year,FY2023,9910.0,12,11270.0,9310.0,8020.0
2022-03-27,Current Quarter,2022Q1,1460.0,12,1480.0,1410.0,886.94
2022-03-27,Current Year,FY2022,8020.0,12,8700.0,7530.0,5990.0
2022-03-27,Next Quarter,2022Q2,1980.0,11,2120.0,1660.0,1340.0
2022-03-27,Next Year,FY2023,9910.0,12,11270.0,9310.0,8020.0
2022-04-03,Current Quarter,2022Q1,1460.0,12,1480.0,1410.0,886.94
2022-04-03,Current Year,FY2022,8020.0,12,8700.0,7530.0,5990.0
2022-04-03,Next Quarter,2022Q2,1980.0,11,2120.0,1660.0,1340.0
2022-04-03,Next Year,FY2023,9910.0,12,11270.0,9310.0,8020.0
2022-04-10,Current Quarter,2022Q1,1460.0,12,1480.0,1410.0,886.94
2022-04-10,Current Year,FY2022,8020.0,12,8700.0,7530.0,5990.0
2022-04-10,Next Quarter,2022Q2,1980.0,11,2120.0,1660.0,1340.0
2022-04-10,Next Year,FY2023,9910.0,12,11270.0,9310.0,8020.0
2022-04-17,Current Quarter,2022Q1,1460.0,12,1480.0,1410.0,886.94
2022-04-17,Current Year,FY2022,8020.0,12,8700.0,7530.0,5990.0
2022-04-17,Next Quarter,2022Q2,1980.0,11,2120.0,1660.0,1340.0
2022-04-17,Next Year,FY2023,9910.0,12,11270.0,9310.0,8020.0
2022-04-24,Current Quarter,2022Q1,1460.0,12,1480.0,1410.0,886.94
2022-04-24,Current Year,FY2022,8020.0,12,8700.0,7530.0,5990.0
2022-04-24,Next Quarter,2022Q2,1980.0,11,2120.0,1660.0,1340.0
2022-04-24,Next Year,FY2023,9910.0,12,11270.0,9310.0,8020.0
2022-05-01,Current Quarter,2022Q1,1450.0,12,1490.0,1400.0,886.94
2022-05-01,Current Year,FY2022,8020.0,12,8700.0,7530.0,5990.0
2022-05-01,Next Quarter,2022Q2,1980.0,11,2090.0,1660.0,1340.0
2022-05-01,Next Year,FY2023,9910.0,12,11270.0,9310.0,8020.0
2022-05-08,Current Quarter,2022Q2,2100.0,12,2130.0,2060.0,1340.0
2022-05-08,Current Year,FY2022,8330.0,12,8700.0,8140.0,5990.0
2022-05-08,Next Quarter,2022Q3,2780.0,11,2950.0,2710.0,2240.0
2022-05-08,Next Year,FY2023,10120.0,12,11190.0,9560.0,8330.0
2022-05-15,Current Quarter,2022Q2,2100.0,12,2130.0,2070.0,1340.0
2022-05-15,Current Year,FY2022,8330.0,12,8700.0,8140.0,5990.0
2022-05-15,Next Quarter,2022Q3,2780.0,11,2950.0,2710.0,2240.0
2022-05-15,Next Year,FY2023,10140.0,12,11190.0,9560.0,8330.0
2022-05-22,Current Quarter,2022Q2,2100.0,12,2130.0,2070.0,1340.0
2022-05-22,Current Year,FY2022,8330.0,12,8700.0,8140.0,5990.0
2022-05-22,Next Quarter,2022Q3,2780.0,11,2950.0,2710.0,2240.0
2022-05-22,Next Year,FY2023,10140.0,12,11190.0,9560.0,8330.0
2022-05-29,Current Quarter,2022Q2,2100.0,12,2130.0,2070.0,1340.0
2022-05-29,Current Year,FY2022,8330.0,12,8700.0,8140.0,5990.0
2022-05-29,Next Quarter,2022Q3,2780.0,11,2950.0,2710.0,2240.0
2022-05-29,Next Year,FY2023,10140.0,12,11190.0,9560.0,8330.0
2022-06-05,Current Quarter,2022Q2,2100.0,12,2130.0,2070.0,1340.0
2022-06-05,Current Year,FY2022,8340.0,12,8700.0,8140.0,5990.0
2022-06-05,Next Quarter,2022Q3,2790.0,11,2950.0,2710.0,2240.0
2022-06-05,Next Year,FY2023,10120.0,12,11190.0,9560.0,8340.0
2022-06-12,Current Quarter,2022Q2,2100.0,12,2130.0,2070.0,1340.0
2022-06-12,Current Year,FY2022,8340.0,12,8700.0,8140.0,5990.0
2022-06-12,Next Quarter,2022Q3,2790.0,11,2950.0,2710.0,2240.0
2022-06-12,Next Year,FY2023,10100.0,12,11190.0,9560.0,8340.0
2022-06-19,Current Quarter,2022Q2,2100.0,12,2130.0,2070.0,1340.0
2022-06-19,Current Year,FY2022,8340.0,12,8700.0,8140.0,5990.0
2022-06-19,Next Quarter,2022Q3,2790.0,11,2950.0,2710.0,2240.0
2022-06-19,Next Year,FY2023,10100.0,12,11190.0,9560.0,8340.0
2022-06-26,Current Quarter,2022Q2,2100.0,12,2130.0,2070.0,1340.0
2022-06-26,Current Year,FY2022,8340.0,12,8700.0,8140.0,5990.0
2022-06-26,Next Quarter,2022Q3,2790.0,11,2950.0,2710.0,2240.0
2022-06-26,Next Year,FY2023,10060.0,12,11190.0,9410.0,8340.0
2022-07-03,Current Quarter,2022Q2,2100.0,12,2130.0,2070.0,1340.0
2022-07-03,Current Year,FY2022,8330.0,12,8700.0,8050.0,5990.0
2022-07-03,Next Quarter,2022Q3,2780.0,11,2950.0,2670.0,2240.0
2022-07-03,Next Year,FY2023,10040.0,12,11190.0,9470.0,8330.0
2022-07-10,Current Quarter,2022Q2,2100.0,12,2130.0,2070.0,1340.0
2022-07-10,Current Year,FY2022,8330.0,12,8700.0,8050.0,5990.0
2022-07-10,Next Quarter,2022Q3,2780.0,11,2950.0,2670.0,2240.0
2022-07-10,Next Year,FY2023,10040.0,12,11190.0,9470.0,8330.0
2022-07-17,Current Quarter,2022Q2,2100.0,12,2130.0,2070.0,1340.0
2022-07-17,Current Year,FY2022,8320.0,12,8700.0,8050.0,5990.0
2022-07-17,Next Quarter,2022Q3,2780.0,11,2950.0,2670.0,2240.0
2022-07-17,Next Year,FY2023,10010.0,12,11190.0,9360.0,8320.0
2022-07-24,Current Quarter,2022Q2,2100.0,12,2130.0,2070.0,1340.0
2022-07-24,Current Year,FY2022,8290.0,12,8700.0,8050.0,5990.0
2022-07-24,Next Quarter,2022Q3,2760.0,11,2950.0,2630.0,2240.0
2022-07-24,Next Year,FY2023,9800.0,12,11190.0,9050.0,8290.0
2022-07-31,Current Quarter,2022Q2,2100.0,12,2130.0,2070.0,1340.0
2022-07-31,Current Year,FY2022,8290.0,12,8700.0,8050.0,5990.0
2022-07-31,Next Quarter,2022Q3,2760.0,11,2950.0,2630.0,2240.0
2022-07-31,Next Year,FY2023,9800.0,12,11190.0,9050.0,8290.0
2022-08-07,Current Quarter,2022Q3,2840.0,11,2900.0,2800.0,2240.0
2022-08-07,Current Year,FY2022,8340.0,12,8440.0,8180.0,5990.0
2022-08-07,Next Quarter,2022Q4,1900.0,11,1950.0,1770.0,1530.0
2022-08-07,Next Year,FY2023,9680.0,12,10320.0,8980.0,8340.0
2022-08-14,Current Quarter,2022Q3,2840.0,11,2900.0,2800.0,2240.0
2022-08-14,Current Year,FY2022,8340.0,12,8440.0,8180.0,5990.0
2022-08-14,Next Quarter,2022Q4,1900.0,11,1950.0,1770.0,1530.0
2022-08-14,Next Year,FY2023,9680.0,12,10320.0,8980.0,8340.0
2022-08-21,Current Quarter,2022Q3,2840.0,11,2900.0,2800.0,2240.0
2022-08-21,Current Year,FY2022,8340.0,12,8440.0,8180.0,5990.0
2022-08-21,Next Quarter,2022Q4,1900.0,11,1950.0,1770.0,1530.0
2022-08-21,Next Year,FY2023,9680.0,12,10320.0,8980.0,8340.0
2022-08-28,Current Quarter,2022Q3,2840.0,11,2900.0,2800.0,2240.0
2022-08-28,Current Year,FY2022,8340.0,12,8440.0,8180.0,5990.0
2022-08-28,Next Quarter,2022Q4,1900.0,11,1950.0,1770.0,1530.0
2022-08-28,Next Year,FY2023,9680.0,12,10320.0,8980.0,8340.0
2022-09-04,Current Quarter,2022Q3,2850.0,12,2900.0,2800.0,2240.0
2022-09-04,Current Year,FY2022,8340.0,12,8440.0,8180.0,5990.0
2022-09-04,Next Quarter,2022Q4,1890.0,11,1950.0,1770.0,1530.0
2022-09-04,Next Year,FY2023,9650.0,12,10320.0,8980.0,8340.0
2022-09-11,Current Quarter,2022Q3,2850.0,11,2900.0,2800.0,2240.0
2022-09-11,Current Year,FY2022,8350.0,11,8440.0,8180.0,5990.0
2022-09-11,Next Quarter,2022Q4,1890.0,10,1950.0,1770.0,1530.0
2022-09-11,Next Year,FY2023,9650.0,11,10320.0,8980.0,8350.0
2022-09-18,Current Quarter,2022Q3,2850.0,11,2900.0,2800.0,2240.0
2022-09-18,Current Year,FY2022,8350.0,11,8440.0,8180.0,5990.0
2022-09-18,Next Quarter,2022Q4,1890.0,10,1950.0,1770.0,1530.0
2022-09-18,Next Year,FY2023,9650.0,11,10320.0,8980.0,8350.0
2022-09-25,Current Quarter,2022Q3,2850.0,11,2900.0,2800.0,2240.0
2022-09-25,Current Year,FY2022,8350.0,11,8440.0,8180.0,5990.0
2022-09-25,Next Quarter,2022Q4,1890.0,10,1950.0,1770.0,1530.0
2022-09-25,Next Year,FY2023,9650.0,11,10320.0,8980.0,8350.0
2022-10-02,Current Quarter,2022Q3,2850.0,11,2900.0,2800.0,2240.0
2022-10-02,Current Year,FY2022,8350.0,11,8440.0,8180.0,5990.0
2022-10-02,Next Quarter,2022Q4,1890.0,10,1950.0,1770.0,1530.0
2022-10-02,Next Year,FY2023,9650.0,11,10320.0,8980.0,8350.0
2022-10-09,Current Quarter,2022Q3,2850.0,11,2900.0,2800.0,2240.0
2022-10-09,Current Year,FY2022,8350.0,11,8440.0,8180.0,5990.0
2022-10-09,Next Quarter,2022Q4,1890.0,10,1950.0,1770.0,1530.0
2022-10-09,Next Year,FY2023,9650.0,11,10320.0,8980.0,8350.0
2022-10-16,Current Quarter,2022Q3,2850.0,11,2900.0,2800.0,2240.0
2022-10-16,Current Year,FY2022,8350.0,11,8440.0,8180.0,5990.0
2022-10-16,Next Quarter,2022Q4,1890.0,10,1950.0,1770.0,1530.0
2022-10-16,Next Year,FY2023,9650.0,11,10320.0,8980.0,8350.0
2022-10-23,Current Quarter,2022Q3,2850.0,11,2900.0,2800.0,2240.0
