cell,register_id,period,event_date,guide_mid,register_vendor,register_value,register_as_of,dolthub_date,dolthub_value,dolthub_n,dolthub_slot,diff_pct,sign_register,sign_dolthub,sign_agree
at_print,AP-2021Q1-revenue,2021Q1,2021-05-13,,Refinitiv,714.4,2021-05-13,2021-05-09,714.58,12,Current Quarter,0.02519596864502571,,,
at_print,AP-2021Q2-revenue,2021Q2,2021-08-12,,Refinitiv,1260.0,2021-08-12,2021-08-08,1280.0,10,Current Quarter,1.5873015873015872,,,
at_print,AP-2021Q3-revenue,2021Q3,2021-11-04,,Refinitiv,2050.0,2021-11-04,2021-10-31,2060.0,11,Current Quarter,0.4878048780487805,,,
at_print,AP-2021Q4-revenue,2021Q4,2022-02-15,,Refinitiv,1460.0,2022-02-15,2022-02-13,1460.0,11,Current Quarter,0.0,,,
at_print,AP-2022Q1-revenue,2022Q1,2022-05-03,,Refinitiv,1450.0,2022-05-03,2022-05-01,1450.0,12,Current Quarter,0.0,,,
at_print,AP-2022Q2-revenue,2022Q2,2022-08-02,,Refinitiv,2110.0,2022-08-02,2022-07-31,2100.0,12,Current Quarter,-0.47393364928909953,,,
at_print,AP-2022Q3-revenue,2022Q3,2022-11-01,,Refinitiv,2800.0,2022-11-01,2022-10-30,2850.0,11,Current Quarter,1.7857142857142856,,,
at_print,AP-2022Q4-revenue,2022Q4,2023-02-14,,Refinitiv,1860.0,2023-02-14,2023-02-12,1870.0,11,Current Quarter,0.5376344086021506,,,
at_print,AP-2023Q1-revenue,2023Q1,2023-05-09,,Refinitiv,1790.0,2023-05-09,2023-05-07,1790.0,11,Current Quarter,0.0,,,
at_print,AP-2023Q2-revenue,2023Q2,2023-08-03,,Refinitiv,2420.0,2023-08-03,2023-07-30,2410.0,11,Current Quarter,-0.4132231404958678,,,
at_print,AP-2023Q3-revenue,2023Q3,2023-11-01,,LSEG,3370.0,2023-11-01,2023-10-29,3370.0,12,Current Quarter,0.0,,,
at_print,AP-2023Q4-revenue,2023Q4,2024-02-13,,LSEG,2170.0,2024-02-13,2024-02-11,2160.0,11,Current Quarter,-0.4608294930875576,,,
at_print,AP-2024Q1-revenue,2024Q1,2024-05-08,,LSEG,2060.0,2024-05-08,2024-05-05,2070.0,11,Current Quarter,0.48543689320388345,,,
at_print,AP-2024Q2-revenue,2024Q2,2024-08-06,,LSEG,2740.0,2024-08-06,2024-07-28,2750.0,11,Current Quarter,0.36496350364963503,,,
at_print,AP-2024Q3-revenue,2024Q3,2024-11-07,,LSEG,3720.0,2024-11-07,2024-11-03,3720.0,12,Current Quarter,0.0,,,
at_print,AP-2024Q4-revenue,2024Q4,2025-02-13,,LSEG,2420.0,2025-02-13,2025-02-09,2420.0,12,Current Quarter,0.0,,,
at_print,AP-2025Q1-revenue,2025Q1,2025-05-01,,LSEG,2260.0,2025-05-01,2025-04-27,2260.0,12,Current Quarter,0.0,,,
at_print,AP-2025Q2-revenue,2025Q2,2025-08-06,,LSEG,3040.0,2025-08-06,2025-08-03,3040.0,12,Current Quarter,0.0,,,
at_print,AP-2025Q3-revenue,2025Q3,2025-11-06,,LSEG,4080.0,2025-11-06,2025-11-02,4080.0,11,Current Quarter,0.0,,,
at_print,AP-2025Q4-revenue,2025Q4,2026-02-12,,LSEG,2720.0,2026-02-12,2026-02-08,2720.0,9,Current Quarter,0.0,,,
at_print,AP-2026Q1-revenue,2026Q1,2026-05-07,,LSEG,2620.0,2026-05-07,2026-05-03,2620.0,9,Current Quarter,0.0,,,
at_print,AP-2026Q2-revenue,2026Q2,2026-08-06,,LSEG,3580.0,2026-08-06,2026-08-02,3580.0,10,Current Quarter,0.0,,,
