method,object,target,quarter,vintage_date,horizon_q,point,q50,window,prior_basis,n_params,n_train,q05,q10,q25,q75,q90,q95,sd,base_naive,base_ar1,base_trailing4,base_guide_cushion,base_street,street_vendor,street_as_of,knowable_from,spec_id,notes,format_version
l1-reconciliation,revenue_contemporaneous,revenue_musd,2024Q1,2024-02-13,1,4496.57333084357,4496.57333084357,W1,PIT,68,6,4311.662994045955,4352.503121323342,,,4640.643540363798,4681.483667641185,112.41433327108926,,,,,,,,2024-02-13,l1_recon_v1_softmax_shares_hard_exact_cells,regional GBV x fitted regional take rate; reported-ADR basis,1.0
l1-reconciliation,revenue_contemporaneous,revenue_musd,2025Q2,2025-05-01,1,2143.5321126908893,2143.5321126908893,W2,PIT,68,13,-203.7803546933551,314.65761685549046,,,3972.4066085262884,4490.844580075134,1427.0244193472213,,,,,,,,2025-05-01,l1_recon_v1_softmax_shares_hard_exact_cells,regional GBV x fitted regional take rate; reported-ADR basis,1.0
l1-reconciliation,revenue_contemporaneous,revenue_musd,2025Q3,2025-08-06,1,2907.1318317306004,2907.1318317306004,W2,PIT,68,14,579.5082238060991,1093.5976254469108,,,4720.66603801429,5234.755439655102,1415.0547801839025,,,,,,,,2025-08-06,l1_recon_v1_softmax_shares_hard_exact_cells,regional GBV x fitted regional take rate; reported-ADR basis,1.0
l1-reconciliation,revenue_contemporaneous,revenue_musd,2025Q4,2025-11-06,1,3563.3992859492473,3563.3992859492473,W2,PIT,68,15,1247.2879129255857,1758.834670673471,,,5367.963901225024,5879.510658972909,1408.0560356396506,,,,,,,,2025-11-06,l1_recon_v1_softmax_shares_hard_exact_cells,regional GBV x fitted regional take rate; reported-ADR basis,1.0
l1-reconciliation,revenue_contemporaneous,revenue_musd,2026Q1,2026-02-12,1,3758.670477861766,3758.670477861766,W2,PIT,68,16,1575.7896795526894,2057.910534331513,,,5459.430421392019,5941.551276170842,1327.0598810317201,,,,,,,,2026-02-12,l1_recon_v1_softmax_shares_hard_exact_cells,regional GBV x fitted regional take rate; reported-ADR basis,1.0
l1-reconciliation,revenue_contemporaneous,revenue_musd,2026Q2,2026-05-07,1,2431.2592452204435,2431.2592452204435,W2,PIT,68,17,329.28279743267285,793.5347540752025,,,4068.9837363656843,4533.235693008214,1277.8749150633903,,,,,,,,2026-05-07,l1_recon_v1_softmax_shares_hard_exact_cells,regional GBV x fitted regional take rate; reported-ADR basis,1.0
l1-reconciliation,revenue_contemporaneous,revenue_musd,2023Q1,2023-02-14,1,2451.653886414786,2451.653886414786,W1,full_sample,68,4,2350.835749470694,2373.1028958940565,,,2530.2048769355156,2552.4720233588782,61.291347160369654,,,,,,,,2023-02-14,l1_recon_v1_softmax_shares_hard_exact_cells,regional GBV x fitted regional take rate; reported-ADR basis,1.0
l1-reconciliation,revenue_contemporaneous,revenue_musd,2023Q2,2023-05-09,1,1738.2159638233102,1738.2159638233102,W1,full_sample,68,5,1666.736177850986,1682.5235243424113,,,1793.908403304209,1809.6957497956344,43.455399095582756,,,,,,,,2023-05-09,l1_recon_v1_softmax_shares_hard_exact_cells,regional GBV x fitted regional take rate; reported-ADR basis,1.0
l1-reconciliation,revenue_contemporaneous,revenue_musd,2023Q3,2023-08-03,1,2304.8147523436455,2304.8147523436455,W1,full_sample,68,6,2210.0350076903937,2230.968487678555,,,2378.661017008736,2399.5944969968973,57.62036880859114,,,,,,,,2023-08-03,l1_recon_v1_softmax_shares_hard_exact_cells,regional GBV x fitted regional take rate; reported-ADR basis,1.0
l1-reconciliation,revenue_contemporaneous,revenue_musd,2023Q4,2023-11-01,1,3025.009715752413,3025.009715752413,W1,full_sample,68,7,1523.2235979423835,1854.9148233058606,,,4195.104608198965,4526.795833562443,912.9953904857616,,,,,,,,2023-11-01,l1_recon_v1_softmax_shares_hard_exact_cells,regional GBV x fitted regional take rate; reported-ADR basis,1.0
l1-reconciliation,revenue_contemporaneous,revenue_musd,2024Q1,2024-02-13,1,3431.277289631199,3431.277289631199,W1,full_sample,68,8,1852.8641211954207,2201.4795410341453,,,4661.075038228253,5009.690458066977,959.580016071359,,,,,,,,2024-02-13,l1_recon_v1_softmax_shares_hard_exact_cells,regional GBV x fitted regional take rate; reported-ADR basis,1.0
l1-reconciliation,revenue_contemporaneous,revenue_musd,2024Q2,2024-05-08,1,1978.3302050088064,1978.3302050088064,W1,full_sample,68,9,271.8787194925378,648.7732569647612,,,3307.8871530528513,3684.7816905250747,1037.4195911704471,,,,,,,,2024-05-08,l1_recon_v1_softmax_shares_hard_exact_cells,regional GBV x fitted regional take rate; reported-ADR basis,1.0
l1-reconciliation,revenue_contemporaneous,revenue_musd,2024Q3,2024-08-06,1,2656.735650306514,2656.735650306514,W1,full_sample,68,10,1002.9804898828638,1368.2362803758494,,,3945.235020237178,4310.4908107301635,1005.3834035039516,,,,,,,,2024-08-06,l1_recon_v1_softmax_shares_hard_exact_cells,regional GBV x fitted regional take rate; reported-ADR basis,1.0
l1-reconciliation,revenue_contemporaneous,revenue_musd,2024Q4,2024-11-07,1,3339.5066067808566,3339.5066067808566,W1,full_sample,68,11,1683.277800582846,2049.079931588826,,,4629.933281972887,4995.735412978867,1006.8872309550796,,,,,,,,2024-11-07,l1_recon_v1_softmax_shares_hard_exact_cells,regional GBV x fitted regional take rate; reported-ADR basis,1.0
l1-reconciliation,revenue_contemporaneous,revenue_musd,2025Q1,2025-02-13,1,3647.164432759449,3647.164432759449,W1,full_sample,68,12,2008.1112614149358,2370.119904584406,,,4924.208960934492,5286.217604103962,996.4454807857701,,,,,,,,2025-02-13,l1_recon_v1_softmax_shares_hard_exact_cells,regional GBV x fitted regional take rate; reported-ADR basis,1.0
l1-reconciliation,revenue_contemporaneous,revenue_musd,2025Q2,2025-05-01,1,2099.070412613186,2099.070412613186,W1,full_sample,68,13,387.66644163897854,765.6548072873034,,,3432.4860179390685,3810.4743835873933,1040.4304036562753,,,,,,,,2025-05-01,l1_recon_v1_softmax_shares_hard_exact_cells,regional GBV x fitted regional take rate; reported-ADR basis,1.0
l1-reconciliation,revenue_contemporaneous,revenue_musd,2025Q3,2025-08-06,1,2873.883154747463,2873.883154747463,W1,full_sample,68,14,1154.960220116165,1534.6092578397654,,,4213.15705165516,4592.806089378761,1045.0014801090024,,,,,,,,2025-08-06,l1_recon_v1_softmax_shares_hard_exact_cells,regional GBV x fitted regional take rate; reported-ADR basis,1.0
l1-reconciliation,revenue_contemporaneous,revenue_musd,2025Q4,2025-11-06,1,3633.6543250640616,3633.6543250640616,W1,full_sample,68,15,1889.1460560064836,2274.44598557583,,,4992.862664552293,5378.16259412164,1060.5558204496187,,,,,,,,2025-11-06,l1_recon_v1_softmax_shares_hard_exact_cells,regional GBV x fitted regional take rate; reported-ADR basis,1.0
l1-reconciliation,revenue_contemporaneous,revenue_musd,2026Q1,2026-02-12,1,3797.484279895377,3797.484279895377,W1,full_sample,68,16,2075.21742760713,2455.6050179994454,,,5139.363541791308,5519.751132183624,1047.0343803807204,,,,,,,,2026-02-12,l1_recon_v1_softmax_shares_hard_exact_cells,regional GBV x fitted regional take rate; reported-ADR basis,1.0
l1-reconciliation,revenue_contemporaneous,revenue_musd,2026Q2,2026-05-07,1,2397.1173453007546,2397.1173453007546,W1,full_sample,68,17,669.9808144701296,1051.4439439313528,,,3742.7907466701563,4124.253876131379,1049.9948512557753,,,,,,,,2026-05-07,l1_recon_v1_softmax_shares_hard_exact_cells,regional GBV x fitted regional take rate; reported-ADR basis,1.0
l1-reconciliation,revenue_contemporaneous,revenue_musd,2024Q1,2024-02-13,1,3431.277289631199,3431.277289631199,W2,full_sample,68,8,3290.17458928834,3321.3391652714154,,,3541.2154139909826,3572.379989974058,85.78193224077998,,,,,,,,2024-02-13,l1_recon_v1_softmax_shares_hard_exact_cells,regional GBV x fitted regional take rate; reported-ADR basis,1.0
l1-reconciliation,revenue_contemporaneous,revenue_musd,2024Q2,2024-05-08,1,1978.3302050088064,1978.3302050088064,W2,full_sample,68,9,1896.9763211533318,1914.9445052403241,,,2041.7159047772886,2059.684088864281,49.45825512522016,,,,,,,,2024-05-08,l1_recon_v1_softmax_shares_hard_exact_cells,regional GBV x fitted regional take rate; reported-ADR basis,1.0
l1-reconciliation,revenue_contemporaneous,revenue_musd,2024Q3,2024-08-06,1,2656.735650306514,2656.735650306514,W2,full_sample,68,10,2547.4840385267844,2571.613840070693,,,2741.8574605423346,2765.9872620862434,66.41839125766285,,,,,,,,2024-08-06,l1_recon_v1_softmax_shares_hard_exact_cells,regional GBV x fitted regional take rate; reported-ADR basis,1.0
l1-reconciliation,revenue_contemporaneous,revenue_musd,2024Q4,2024-11-07,1,3339.5066067808566,3339.5066067808566,W2,full_sample,68,11,1224.0658357900647,1691.2915833132909,,,4987.721630248422,5454.9473777716485,1286.0604115695737,,,,,,,,2024-11-07,l1_recon_v1_softmax_shares_hard_exact_cells,regional GBV x fitted regional take rate; reported-ADR basis,1.0
l1-reconciliation,revenue_contemporaneous,revenue_musd,2025Q1,2025-02-13,1,3647.164432759449,3647.164432759449,W2,full_sample,68,12,1717.9995640112845,2144.0835793412184,,,5150.24528617768,5576.329301507613,1172.8158968619152,,,,,,,,2025-02-13,l1_recon_v1_softmax_shares_hard_exact_cells,regional GBV x fitted regional take rate; reported-ADR basis,1.0
l1-reconciliation,revenue_contemporaneous,revenue_musd,2025Q2,2025-05-01,1,2099.070412613186,2099.070412613186,W2,full_sample,68,13,174.32090911942055,599.4297270532068,,,3598.711098173165,4023.8199161069515,1170.1316210673995,,,,,,,,2025-05-01,l1_recon_v1_softmax_shares_hard_exact_cells,regional GBV x fitted regional take rate; reported-ADR basis,1.0
l1-reconciliation,revenue_contemporaneous,revenue_musd,2025Q3,2025-08-06,1,2873.883154747463,2873.883154747463,W2,full_sample,68,14,933.6012735858565,1362.1406421955055,,,4385.6256672994205,4814.165035909069,1179.5743699687557,,,,,,,,2025-08-06,l1_recon_v1_softmax_shares_hard_exact_cells,regional GBV x fitted regional take rate; reported-ADR basis,1.0
l1-reconciliation,revenue_contemporaneous,revenue_musd,2025Q4,2025-11-06,1,3633.6543250640616,3633.6543250640616,W2,full_sample,68,15,1677.6594816506195,2109.669285658221,,,5157.639364469902,5589.649168477504,1189.126903406555,,,,,,,,2025-11-06,l1_recon_v1_softmax_shares_hard_exact_cells,regional GBV x fitted regional take rate; reported-ADR basis,1.0
l1-reconciliation,revenue_contemporaneous,revenue_musd,2026Q1,2026-02-12,1,3797.484279895377,3797.484279895377,W2,full_sample,68,16,1907.1004457601307,2324.619107649203,,,5270.3494521415505,5687.8681140306235,1149.239366609062,,,,,,,,2026-02-12,l1_recon_v1_softmax_shares_hard_exact_cells,regional GBV x fitted regional take rate; reported-ADR basis,1.0
l1-reconciliation,revenue_contemporaneous,revenue_musd,2026Q2,2026-05-07,1,2397.1173453007546,2397.1173453007546,W2,full_sample,68,17,532.3238813510363,944.1905391739633,,,3850.044151427546,4261.910809250473,1133.6819648305175,,,,,,,,2026-05-07,l1_recon_v1_softmax_shares_hard_exact_cells,regional GBV x fitted regional take rate; reported-ADR basis,1.0
