method,object,target,quarter,vintage_date,horizon_q,point,q50,window,prior_basis,n_params,n_train,q05,q10,q25,q75,q90,q95,sd,base_naive,base_ar1,base_trailing4,base_guide_cushion,base_street,street_vendor,street_as_of,knowable_from,spec_id,notes,format_version
kernel-lambda,revenue_level_next_q_ex_covid,revenue_musd,2024Q4,2024-11-07,0,2452.2930865120093,2452.2930865120093,W2,full_sample,5,18,2385.897036921578,2400.405160914428,2424.846418910944,2480.0504210305885,2505.3026381028453,2520.5368417380982,41.264635140758855,,,,,,,,2024-11-07,kernel|w=0.6667|season_mean|h0|est_from_2022Q1,COVID-era 2021 lambda cells excluded from the estimation window,1.0
kernel-lambda,revenue_level_next_q_ex_covid,revenue_musd,2025Q1,2025-02-13,0,2393.8164945696167,2393.8164945696167,W1,PIT,5,12,2342.7005133419098,2353.895478328165,2372.7225773501846,2415.0979403892757,2434.4145534208274,2446.0477884555094,31.619017158060615,,,,,,,,2025-02-13,kernel|w=0.6667|season_mean|h0|est_from_2022Q1,COVID-era 2021 lambda cells excluded from the estimation window,1.0
kernel-lambda,revenue_level_next_q_ex_covid,revenue_musd,2025Q1,2025-02-13,0,2355.6613253131986,2355.6613253131986,W1,full_sample,5,18,2291.881589100582,2305.8180254836475,2329.296184159324,2382.324891662112,2406.5820538515377,2421.2159589597377,39.63861646019859,,,,,,,,2025-02-13,kernel|w=0.6667|season_mean|h0|est_from_2022Q1,COVID-era 2021 lambda cells excluded from the estimation window,1.0
kernel-lambda,revenue_level_next_q_ex_covid,revenue_musd,2025Q1,2025-02-13,0,2393.8164945696167,2393.8164945696167,W2,PIT,5,12,2342.7005133419098,2353.895478328165,2372.7225773501846,2415.0979403892757,2434.4145534208274,2446.0477884555094,31.619017158060615,,,,,,,,2025-02-13,kernel|w=0.6667|season_mean|h0|est_from_2022Q1,COVID-era 2021 lambda cells excluded from the estimation window,1.0
kernel-lambda,revenue_level_next_q_ex_covid,revenue_musd,2025Q1,2025-02-13,0,2355.6613253131986,2355.6613253131986,W2,full_sample,5,18,2291.881589100582,2305.8180254836475,2329.296184159324,2382.324891662112,2406.5820538515377,2421.2159589597377,39.63861646019859,,,,,,,,2025-02-13,kernel|w=0.6667|season_mean|h0|est_from_2022Q1,COVID-era 2021 lambda cells excluded from the estimation window,1.0
kernel-lambda,revenue_level_next_q_ex_covid,revenue_musd,2025Q2,2025-05-01,0,3032.829799184984,3032.829799184984,W1,PIT,5,13,2938.346842338506,2958.9582442099795,2993.7245335192783,3072.4458739734664,3108.545586549925,3130.350868825309,58.918692220878256,,,,,,,,2025-05-01,kernel|w=0.6667|season_mean|h0|est_from_2022Q1,COVID-era 2021 lambda cells excluded from the estimation window,1.0
kernel-lambda,revenue_level_next_q_ex_covid,revenue_musd,2025Q2,2025-05-01,0,3048.778082556676,3048.778082556676,W1,full_sample,5,18,2966.232149579484,2984.2691659099137,3014.655408117155,3083.286989169792,3114.681444575353,3133.621148970323,51.30166369338167,,,,,,,,2025-05-01,kernel|w=0.6667|season_mean|h0|est_from_2022Q1,COVID-era 2021 lambda cells excluded from the estimation window,1.0
kernel-lambda,revenue_level_next_q_ex_covid,revenue_musd,2025Q2,2025-05-01,0,3032.829799184984,3032.829799184984,W2,PIT,5,13,2938.346842338506,2958.9582442099795,2993.7245335192783,3072.4458739734664,3108.545586549925,3130.350868825309,58.918692220878256,,,,,,,,2025-05-01,kernel|w=0.6667|season_mean|h0|est_from_2022Q1,COVID-era 2021 lambda cells excluded from the estimation window,1.0
kernel-lambda,revenue_level_next_q_ex_covid,revenue_musd,2025Q2,2025-05-01,0,3048.778082556676,3048.778082556676,W2,full_sample,5,18,2966.232149579484,2984.2691659099137,3014.655408117155,3083.286989169792,3114.681444575353,3133.621148970323,51.30166369338167,,,,,,,,2025-05-01,kernel|w=0.6667|season_mean|h0|est_from_2022Q1,COVID-era 2021 lambda cells excluded from the estimation window,1.0
kernel-lambda,revenue_level_next_q_ex_covid,revenue_musd,2025Q3,2025-08-06,0,4086.201553712781,4086.201553712781,W1,PIT,5,14,3959.882564024313,3987.441652329742,4033.923557506845,4139.1570513260585,4187.407514241413,4216.550078847802,78.75570357086144,,,,,,,,2025-08-06,kernel|w=0.6667|season_mean|h0|est_from_2022Q1,COVID-era 2021 lambda cells excluded from the estimation window,1.0
kernel-lambda,revenue_level_next_q_ex_covid,revenue_musd,2025Q3,2025-08-06,0,4088.4011652845857,4088.4011652845857,W1,full_sample,5,18,3977.7073465037643,4001.894924801278,4042.642773508104,4134.677493108168,4176.7773523265,4202.17543228567,68.79535864715035,,,,,,,,2025-08-06,kernel|w=0.6667|season_mean|h0|est_from_2022Q1,COVID-era 2021 lambda cells excluded from the estimation window,1.0
kernel-lambda,revenue_level_next_q_ex_covid,revenue_musd,2025Q3,2025-08-06,0,4086.201553712781,4086.201553712781,W2,PIT,5,14,3959.882564024313,3987.441652329742,4033.923557506845,4139.1570513260585,4187.407514241413,4216.550078847802,78.75570357086144,,,,,,,,2025-08-06,kernel|w=0.6667|season_mean|h0|est_from_2022Q1,COVID-era 2021 lambda cells excluded from the estimation window,1.0
kernel-lambda,revenue_level_next_q_ex_covid,revenue_musd,2025Q3,2025-08-06,0,4088.4011652845857,4088.4011652845857,W2,full_sample,5,18,3977.7073465037643,4001.894924801278,4042.642773508104,4134.677493108168,4176.7773523265,4202.17543228567,68.79535864715035,,,,,,,,2025-08-06,kernel|w=0.6667|season_mean|h0|est_from_2022Q1,COVID-era 2021 lambda cells excluded from the estimation window,1.0
kernel-lambda,revenue_level_next_q_ex_covid,revenue_musd,2025Q4,2025-11-06,0,2764.4215178128607,2764.4215178128607,W1,PIT,5,15,2682.8132385415825,2700.627790164431,2730.661561498369,2798.59885820249,2829.7221690373963,2848.5122327415847,50.82146723634787,,,,,,,,2025-11-06,kernel|w=0.6667|season_mean|h0|est_from_2022Q1,COVID-era 2021 lambda cells excluded from the estimation window,1.0
kernel-lambda,revenue_level_next_q_ex_covid,revenue_musd,2025Q4,2025-11-06,0,2767.8161383596453,2767.8161383596453,W1,full_sample,5,18,2692.8772745710953,2709.252079012537,2736.8380591291257,2799.1448563097665,2827.6461371421346,2844.8404418965815,46.57392858720823,,,,,,,,2025-11-06,kernel|w=0.6667|season_mean|h0|est_from_2022Q1,COVID-era 2021 lambda cells excluded from the estimation window,1.0
kernel-lambda,revenue_level_next_q_ex_covid,revenue_musd,2025Q4,2025-11-06,0,2764.4215178128607,2764.4215178128607,W2,PIT,5,15,2682.8132385415825,2700.627790164431,2730.661561498369,2798.59885820249,2829.7221690373963,2848.5122327415847,50.82146723634787,,,,,,,,2025-11-06,kernel|w=0.6667|season_mean|h0|est_from_2022Q1,COVID-era 2021 lambda cells excluded from the estimation window,1.0
kernel-lambda,revenue_level_next_q_ex_covid,revenue_musd,2025Q4,2025-11-06,0,2767.8161383596453,2767.8161383596453,W2,full_sample,5,18,2692.8772745710953,2709.252079012537,2736.8380591291257,2799.1448563097665,2827.6461371421346,2844.8404418965815,46.57392858720823,,,,,,,,2025-11-06,kernel|w=0.6667|season_mean|h0|est_from_2022Q1,COVID-era 2021 lambda cells excluded from the estimation window,1.0
kernel-lambda,revenue_level_next_q_ex_covid,revenue_musd,2026Q1,2026-02-12,0,2722.3541234731188,2722.3541234731188,W1,PIT,5,16,2645.155384028688,2662.0152774445314,2690.429526649154,2754.657537089079,2784.0606462280243,2801.805904613246,48.02922821114089,,,,,,,,2026-02-12,kernel|w=0.6667|season_mean|h0|est_from_2022Q1,COVID-era 2021 lambda cells excluded from the estimation window,1.0
kernel-lambda,revenue_level_next_q_ex_covid,revenue_musd,2026Q1,2026-02-12,0,2713.483298778495,2713.483298778495,W1,full_sample,5,18,2640.0155013690264,2656.068864797621,2683.113326056945,2744.1970271044597,2772.1388215251905,2788.9955982953957,45.65967212503847,,,,,,,,2026-02-12,kernel|w=0.6667|season_mean|h0|est_from_2022Q1,COVID-era 2021 lambda cells excluded from the estimation window,1.0
kernel-lambda,revenue_level_next_q_ex_covid,revenue_musd,2026Q1,2026-02-12,0,2722.3541234731188,2722.3541234731188,W2,PIT,5,16,2645.155384028688,2662.0152774445314,2690.429526649154,2754.657537089079,2784.0606462280243,2801.805904613246,48.02922821114089,,,,,,,,2026-02-12,kernel|w=0.6667|season_mean|h0|est_from_2022Q1,COVID-era 2021 lambda cells excluded from the estimation window,1.0
kernel-lambda,revenue_level_next_q_ex_covid,revenue_musd,2026Q1,2026-02-12,0,2713.483298778495,2713.483298778495,W2,full_sample,5,18,2640.0155013690264,2656.068864797621,2683.113326056945,2744.1970271044597,2772.1388215251905,2788.9955982953957,45.65967212503847,,,,,,,,2026-02-12,kernel|w=0.6667|season_mean|h0|est_from_2022Q1,COVID-era 2021 lambda cells excluded from the estimation window,1.0
kernel-lambda,revenue_level_next_q_ex_covid,revenue_musd,2026Q2,2026-05-07,0,3607.0786956731617,3607.0786956731617,W1,PIT,5,17,3505.8133468784895,3527.931817060335,3565.2052227096706,3649.4439741929905,3688.0011835434716,3711.2690920536174,62.98754311408857,,,,,,,,2026-05-07,kernel|w=0.6667|season_mean|h0|est_from_2022Q1,COVID-era 2021 lambda cells excluded from the estimation window,1.0
kernel-lambda,revenue_level_next_q_ex_covid,revenue_musd,2026Q2,2026-05-07,0,3607.262956538529,3607.262956538529,W1,full_sample,5,18,3509.595996799747,3530.9370911967117,3566.8895819764507,3648.093314513204,3685.238706194258,3707.647845928847,60.69926575132831,,,,,,,,2026-05-07,kernel|w=0.6667|season_mean|h0|est_from_2022Q1,COVID-era 2021 lambda cells excluded from the estimation window,1.0
kernel-lambda,revenue_level_next_q_ex_covid,revenue_musd,2026Q2,2026-05-07,0,3607.0786956731617,3607.0786956731617,W2,PIT,5,17,3505.8133468784895,3527.931817060335,3565.2052227096706,3649.4439741929905,3688.0011835434716,3711.2690920536174,62.98754311408857,,,,,,,,2026-05-07,kernel|w=0.6667|season_mean|h0|est_from_2022Q1,COVID-era 2021 lambda cells excluded from the estimation window,1.0
kernel-lambda,revenue_level_next_q_ex_covid,revenue_musd,2026Q2,2026-05-07,0,3607.262956538529,3607.262956538529,W2,full_sample,5,18,3509.595996799747,3530.9370911967117,3566.8895819764507,3648.093314513204,3685.238706194258,3707.647845928847,60.69926575132831,,,,,,,,2026-05-07,kernel|w=0.6667|season_mean|h0|est_from_2022Q1,COVID-era 2021 lambda cells excluded from the estimation window,1.0
