method,object,target,quarter,vintage_date,horizon_q,point,q50,window,prior_basis,n_params,n_train,q05,q10,q25,q75,q90,q95,sd,base_naive,base_ar1,base_trailing4,base_guide_cushion,base_street,street_vendor,street_as_of,knowable_from,spec_id,notes,format_version
kernel-lambda,revenue_level_next_q_last3_ex_covid,revenue_musd,2024Q4,2024-11-07,0,2462.097559332748,2462.097559332748,W1,full_sample,5,18,2395.4360527840117,2410.002181469755,2434.54115765952,2489.9658699958,2515.3190475435035,2530.6141587987754,41.429614602602214,,,,,,,,2024-11-07,kernel|w=0.6667|season_mean_last3|h0|est_from_2022Q1,both: last-3 same-quarter cells and no 2021,1.0
kernel-lambda,revenue_level_next_q_last3_ex_covid,revenue_musd,2024Q4,2024-11-07,0,2433.9281643660097,2433.9281643660097,W2,PIT,5,11,2383.2460855437635,2394.348373493882,2413.0166289836116,2455.020922002246,2474.162229220499,2485.6880475867733,31.33698734186737,,,,,,,,2024-11-07,kernel|w=0.6667|season_mean_last3|h0|est_from_2022Q1,both: last-3 same-quarter cells and no 2021,1.0
kernel-lambda,revenue_level_next_q_last3_ex_covid,revenue_musd,2024Q4,2024-11-07,0,2462.097559332748,2462.097559332748,W2,full_sample,5,18,2395.4360527840117,2410.002181469755,2434.54115765952,2489.9658699958,2515.3190475435035,2530.6141587987754,41.429614602602214,,,,,,,,2024-11-07,kernel|w=0.6667|season_mean_last3|h0|est_from_2022Q1,both: last-3 same-quarter cells and no 2021,1.0
kernel-lambda,revenue_level_next_q_last3_ex_covid,revenue_musd,2025Q1,2025-02-13,0,2393.8164945696167,2393.8164945696167,W1,PIT,5,12,2342.7005133419098,2353.895478328165,2372.7225773501846,2415.0979403892757,2434.4145534208274,2446.0477884555094,31.619017158060615,,,,,,,,2025-02-13,kernel|w=0.6667|season_mean_last3|h0|est_from_2022Q1,both: last-3 same-quarter cells and no 2021,1.0
kernel-lambda,revenue_level_next_q_last3_ex_covid,revenue_musd,2025Q1,2025-02-13,0,2333.182266009852,2333.182266009852,W1,full_sample,5,18,2270.011152292018,2283.814599277768,2307.0687160185826,2359.5913934533273,2383.6170800135833,2398.111340081458,39.26036225169355,,,,,,,,2025-02-13,kernel|w=0.6667|season_mean_last3|h0|est_from_2022Q1,both: last-3 same-quarter cells and no 2021,1.0
kernel-lambda,revenue_level_next_q_last3_ex_covid,revenue_musd,2025Q1,2025-02-13,0,2393.8164945696167,2393.8164945696167,W2,PIT,5,12,2342.7005133419098,2353.895478328165,2372.7225773501846,2415.0979403892757,2434.4145534208274,2446.0477884555094,31.619017158060615,,,,,,,,2025-02-13,kernel|w=0.6667|season_mean_last3|h0|est_from_2022Q1,both: last-3 same-quarter cells and no 2021,1.0
kernel-lambda,revenue_level_next_q_last3_ex_covid,revenue_musd,2025Q1,2025-02-13,0,2333.182266009852,2333.182266009852,W2,full_sample,5,18,2270.011152292018,2283.814599277768,2307.0687160185826,2359.5913934533273,2383.6170800135833,2398.111340081458,39.26036225169355,,,,,,,,2025-02-13,kernel|w=0.6667|season_mean_last3|h0|est_from_2022Q1,both: last-3 same-quarter cells and no 2021,1.0
kernel-lambda,revenue_level_next_q_last3_ex_covid,revenue_musd,2025Q2,2025-05-01,0,3032.829799184984,3032.829799184984,W1,PIT,5,13,2938.346842338506,2958.9582442099795,2993.7245335192783,3072.4458739734664,3108.545586549925,3130.350868825309,58.918692220878256,,,,,,,,2025-05-01,kernel|w=0.6667|season_mean_last3|h0|est_from_2022Q1,both: last-3 same-quarter cells and no 2021,1.0
kernel-lambda,revenue_level_next_q_last3_ex_covid,revenue_musd,2025Q2,2025-05-01,0,3043.66439496195,3043.66439496195,W1,full_sample,5,18,2961.2569155231995,2979.263678531099,3009.5989541721888,3078.1154201016084,3109.457217874241,3128.365154876246,51.215615882057136,,,,,,,,2025-05-01,kernel|w=0.6667|season_mean_last3|h0|est_from_2022Q1,both: last-3 same-quarter cells and no 2021,1.0
kernel-lambda,revenue_level_next_q_last3_ex_covid,revenue_musd,2025Q2,2025-05-01,0,3032.829799184984,3032.829799184984,W2,PIT,5,13,2938.346842338506,2958.9582442099795,2993.7245335192783,3072.4458739734664,3108.545586549925,3130.350868825309,58.918692220878256,,,,,,,,2025-05-01,kernel|w=0.6667|season_mean_last3|h0|est_from_2022Q1,both: last-3 same-quarter cells and no 2021,1.0
kernel-lambda,revenue_level_next_q_last3_ex_covid,revenue_musd,2025Q2,2025-05-01,0,3043.66439496195,3043.66439496195,W2,full_sample,5,18,2961.2569155231995,2979.263678531099,3009.5989541721888,3078.1154201016084,3109.457217874241,3128.365154876246,51.215615882057136,,,,,,,,2025-05-01,kernel|w=0.6667|season_mean_last3|h0|est_from_2022Q1,both: last-3 same-quarter cells and no 2021,1.0
kernel-lambda,revenue_level_next_q_last3_ex_covid,revenue_musd,2025Q3,2025-08-06,0,4086.201553712781,4086.201553712781,W1,PIT,5,14,3959.882564024313,3987.441652329742,4033.923557506845,4139.1570513260585,4187.407514241413,4216.550078847802,78.75570357086144,,,,,,,,2025-08-06,kernel|w=0.6667|season_mean_last3|h0|est_from_2022Q1,both: last-3 same-quarter cells and no 2021,1.0
kernel-lambda,revenue_level_next_q_last3_ex_covid,revenue_musd,2025Q3,2025-08-06,0,4108.714574546114,4108.714574546114,W1,full_sample,5,18,3997.4707684346245,4021.77852382757,4062.7288300951504,4155.220828433265,4197.529862738771,4223.054134226563,69.13717155126596,,,,,,,,2025-08-06,kernel|w=0.6667|season_mean_last3|h0|est_from_2022Q1,both: last-3 same-quarter cells and no 2021,1.0
kernel-lambda,revenue_level_next_q_last3_ex_covid,revenue_musd,2025Q3,2025-08-06,0,4086.201553712781,4086.201553712781,W2,PIT,5,14,3959.882564024313,3987.441652329742,4033.923557506845,4139.1570513260585,4187.407514241413,4216.550078847802,78.75570357086144,,,,,,,,2025-08-06,kernel|w=0.6667|season_mean_last3|h0|est_from_2022Q1,both: last-3 same-quarter cells and no 2021,1.0
kernel-lambda,revenue_level_next_q_last3_ex_covid,revenue_musd,2025Q3,2025-08-06,0,4108.714574546114,4108.714574546114,W2,full_sample,5,18,3997.4707684346245,4021.77852382757,4062.7288300951504,4155.220828433265,4197.529862738771,4223.054134226563,69.13717155126596,,,,,,,,2025-08-06,kernel|w=0.6667|season_mean_last3|h0|est_from_2022Q1,both: last-3 same-quarter cells and no 2021,1.0
kernel-lambda,revenue_level_next_q_last3_ex_covid,revenue_musd,2025Q4,2025-11-06,0,2764.4215178128607,2764.4215178128607,W1,PIT,5,15,2682.8132385415825,2700.627790164431,2730.661561498369,2798.59885820249,2829.7221690373963,2848.5122327415847,50.82146723634787,,,,,,,,2025-11-06,kernel|w=0.6667|season_mean_last3|h0|est_from_2022Q1,both: last-3 same-quarter cells and no 2021,1.0
kernel-lambda,revenue_level_next_q_last3_ex_covid,revenue_musd,2025Q4,2025-11-06,0,2778.8820987257236,2778.8820987257236,W1,full_sample,5,18,2703.643623093356,2720.0838953722164,2747.780166544052,2810.3360715099184,2838.9513028463325,2856.214351868977,46.760135048214124,,,,,,,,2025-11-06,kernel|w=0.6667|season_mean_last3|h0|est_from_2022Q1,both: last-3 same-quarter cells and no 2021,1.0
kernel-lambda,revenue_level_next_q_last3_ex_covid,revenue_musd,2025Q4,2025-11-06,0,2764.4215178128607,2764.4215178128607,W2,PIT,5,15,2682.8132385415825,2700.627790164431,2730.661561498369,2798.59885820249,2829.7221690373963,2848.5122327415847,50.82146723634787,,,,,,,,2025-11-06,kernel|w=0.6667|season_mean_last3|h0|est_from_2022Q1,both: last-3 same-quarter cells and no 2021,1.0
kernel-lambda,revenue_level_next_q_last3_ex_covid,revenue_musd,2025Q4,2025-11-06,0,2778.8820987257236,2778.8820987257236,W2,full_sample,5,18,2703.643623093356,2720.0838953722164,2747.780166544052,2810.3360715099184,2838.9513028463325,2856.214351868977,46.760135048214124,,,,,,,,2025-11-06,kernel|w=0.6667|season_mean_last3|h0|est_from_2022Q1,both: last-3 same-quarter cells and no 2021,1.0
kernel-lambda,revenue_level_next_q_last3_ex_covid,revenue_musd,2026Q1,2026-02-12,0,2701.0779617322737,2701.0779617322737,W1,PIT,5,16,2624.4825577806228,2641.2106851575977,2669.4028669402746,2733.12891272886,2762.302226155216,2779.908799060734,47.653862780575764,,,,,,,,2026-02-12,kernel|w=0.6667|season_mean_last3|h0|est_from_2022Q1,both: last-3 same-quarter cells and no 2021,1.0
kernel-lambda,revenue_level_next_q_last3_ex_covid,revenue_musd,2026Q1,2026-02-12,0,2687.5896988214754,2687.5896988214754,W1,full_sample,5,18,2614.822972893339,2630.723146003507,2657.5095336416603,2718.0103392943406,2745.685497230838,2762.381417055858,45.22396158106494,,,,,,,,2026-02-12,kernel|w=0.6667|season_mean_last3|h0|est_from_2022Q1,both: last-3 same-quarter cells and no 2021,1.0
kernel-lambda,revenue_level_next_q_last3_ex_covid,revenue_musd,2026Q1,2026-02-12,0,2701.0779617322737,2701.0779617322737,W2,PIT,5,16,2624.4825577806228,2641.2106851575977,2669.4028669402746,2733.12891272886,2762.302226155216,2779.908799060734,47.653862780575764,,,,,,,,2026-02-12,kernel|w=0.6667|season_mean_last3|h0|est_from_2022Q1,both: last-3 same-quarter cells and no 2021,1.0
kernel-lambda,revenue_level_next_q_last3_ex_covid,revenue_musd,2026Q1,2026-02-12,0,2687.5896988214754,2687.5896988214754,W2,full_sample,5,18,2614.822972893339,2630.723146003507,2657.5095336416603,2718.0103392943406,2745.685497230838,2762.381417055858,45.22396158106494,,,,,,,,2026-02-12,kernel|w=0.6667|season_mean_last3|h0|est_from_2022Q1,both: last-3 same-quarter cells and no 2021,1.0
kernel-lambda,revenue_level_next_q_last3_ex_covid,revenue_musd,2026Q2,2026-05-07,0,3600.1370209267243,3600.1370209267243,W1,PIT,5,17,3499.0665531351406,3521.142457229899,3558.3441317415077,3642.4207692087,3680.9037767939794,3704.1269071702022,62.86632617532314,,,,,,,,2026-05-07,kernel|w=0.6667|season_mean_last3|h0|est_from_2022Q1,both: last-3 same-quarter cells and no 2021,1.0
kernel-lambda,revenue_level_next_q_last3_ex_covid,revenue_musd,2026Q2,2026-05-07,0,3601.212527372397,3601.212527372397,W1,full_sample,5,18,3503.709383531957,3525.014682706468,3560.9068707022325,3641.9744009610654,3679.0574890163725,3701.4290421058317,60.59745542801966,,,,,,,,2026-05-07,kernel|w=0.6667|season_mean_last3|h0|est_from_2022Q1,both: last-3 same-quarter cells and no 2021,1.0
kernel-lambda,revenue_level_next_q_last3_ex_covid,revenue_musd,2026Q2,2026-05-07,0,3600.1370209267243,3600.1370209267243,W2,PIT,5,17,3499.0665531351406,3521.142457229899,3558.3441317415077,3642.4207692087,3680.9037767939794,3704.1269071702022,62.86632617532314,,,,,,,,2026-05-07,kernel|w=0.6667|season_mean_last3|h0|est_from_2022Q1,both: last-3 same-quarter cells and no 2021,1.0
kernel-lambda,revenue_level_next_q_last3_ex_covid,revenue_musd,2026Q2,2026-05-07,0,3601.212527372397,3601.212527372397,W2,full_sample,5,18,3503.709383531957,3525.014682706468,3560.9068707022325,3641.9744009610654,3679.0574890163725,3701.4290421058317,60.59745542801966,,,,,,,,2026-05-07,kernel|w=0.6667|season_mean_last3|h0|est_from_2022Q1,both: last-3 same-quarter cells and no 2021,1.0
