run,market,market_key,region,period,construction,vintage_late,vintage_old,win_start,win_end,n_cur,n_prior,n_prior_oldvintage,yoy_within,yoy_vmatch,wedge_pp
before,Barcelona,spain_catalonia_barcelona,EMEA,3q26_to_date,vintage_matched,2026-08-23,2025-08-10,2026-07-01,2026-07-26,19224,,19015.0,0.3602207599235831,0.0109913226400211,34.9229437283562
before,London,united-kingdom_england_london,EMEA,2026-07,vintage_matched,2026-08-18,2025-09-14,2026-07-01,2026-07-31,78250,,71164.0,0.4570609265604051,0.0995728177168231,35.74881088435819
before,London,united-kingdom_england_london,EMEA,2026-08_to_date,vintage_matched,2026-08-18,2025-09-14,2026-08-01,2026-08-04,9646,,8975.0,0.420618556701031,0.0747632311977715,34.58553255032595
before,London,united-kingdom_england_london,EMEA,3q26_to_date,vintage_matched,2026-08-18,2025-09-14,2026-07-01,2026-08-04,87896,,80139.0,0.4529705425331438,0.0967943198692271,35.61762226639167
before,Los Angeles,united-states_ca_los-angeles,NAM,3q26_to_date,vintage_matched,2026-08-10,2025-09-01,2026-07-01,2026-07-27,38439,,34204.0,0.4192512184315462,0.1238159279616419,29.543529046990425
before,San Francisco,united-states_ca_san-francisco,NAM,3q26_to_date,vintage_matched,2026-08-10,2025-09-01,2026-07-01,2026-07-27,6089,,5688.0,0.1855529595015577,0.0704992967651194,11.505366273643824
before,Chicago,united-states_il_chicago,NAM,2026-07,vintage_matched,2026-08-27,2025-08-19,2026-07-01,2026-07-31,16449,,14513.0,0.3764853556485354,0.1333976434920416,24.308771215649383
before,Chicago,united-states_il_chicago,NAM,2026-08_to_date,vintage_matched,2026-08-27,2025-08-19,2026-08-01,2026-08-04,2986,,2755.0,0.2920813500649069,0.0838475499092559,20.823380015565096
before,Chicago,united-states_il_chicago,NAM,3q26_to_date,vintage_matched,2026-08-27,2025-08-19,2026-07-01,2026-08-04,19435,,17268.0,0.3628076572470373,0.1254922399814686,23.73154172655687
before,Boston,united-states_ma_boston,NAM,2026-07,vintage_matched,2026-08-27,2025-08-23,2026-07-01,2026-07-31,6456,,5300.0,0.4543816174814148,0.2181132075471699,23.62684099342449
before,Boston,united-states_ma_boston,NAM,2026-08_to_date,vintage_matched,2026-08-27,2025-08-23,2026-08-01,2026-08-08,1937,,1531.0,0.4854294478527607,0.2651861528412802,22.024329501148053
before,Boston,united-states_ma_boston,NAM,3q26_to_date,vintage_matched,2026-08-27,2025-08-23,2026-07-01,2026-08-08,8393,,6831.0,0.4614313076789134,0.2286634460547503,23.276786162416307
before,New York City,united-states_ny_new-york-city,NAM,3q26_to_date,vintage_matched,2026-08-10,2025-09-01,2026-07-01,2026-07-27,13741,,11186.0,0.4273397735535473,0.2284105131414266,19.892926041212068
after,Sydney,australia_nsw_sydney,APAC,2026-07,within_vintage,2026-08-15,,2026-07-01,2026-07-31,18264,13567.0,,0.3462077098842779,,
after,Sydney,australia_nsw_sydney,APAC,2026-08_to_date,within_vintage,2026-08-15,,2026-08-01,2026-08-01,800,529.0,,0.5122873345935728,,
after,Sydney,australia_nsw_sydney,APAC,2026-06,within_vintage,2026-08-15,,2026-06-01,2026-06-30,15342,11327.0,,0.3544627880286042,,
after,Toronto,canada_on_toronto,NAM,2026-07,within_vintage,2026-08-15,,2026-07-01,2026-07-31,24685,16706.0,,0.4776128337124385,,
after,Toronto,canada_on_toronto,NAM,2026-08_to_date,within_vintage,2026-08-15,,2026-08-01,2026-08-01,851,507.0,,0.6785009861932938,,
after,Toronto,canada_on_toronto,NAM,2026-06,within_vintage,2026-08-15,,2026-06-01,2026-06-30,23782,13571.0,,0.7524132341021295,,
after,Montreal,canada_qc_montreal,NAM,2026-06,within_vintage,2026-08-10,,2026-06-01,2026-06-30,14782,9851.0,,0.5005583189523906,,
after,Paris,france_ile-de-france_paris,EMEA,2026-07,within_vintage,2026-08-15,,2026-07-01,2026-07-31,57898,47158.0,,0.2277450273548495,,
after,Paris,france_ile-de-france_paris,EMEA,2026-08_to_date,within_vintage,2026-08-15,,2026-08-01,2026-08-01,1343,1043.0,,0.2876318312559922,,
after,Paris,france_ile-de-france_paris,EMEA,2026-06,within_vintage,2026-08-15,,2026-06-01,2026-06-30,65997,56650.0,,0.1649955869373345,,
after,Tokyo,japan_kanto_tokyo,APAC,2026-07,within_vintage,2026-08-31,,2026-07-01,2026-07-31,38016,28403.0,,0.3384501637151005,,
after,Tokyo,japan_kanto_tokyo,APAC,2026-08_to_date,within_vintage,2026-08-31,,2026-08-01,2026-08-17,20498,16280.0,,0.259090909090909,,
after,Tokyo,japan_kanto_tokyo,APAC,2026-06,within_vintage,2026-08-31,,2026-06-01,2026-06-30,37045,28407.0,,0.304079980286549,,
after,Singapore,singapore_sg_singapore,APAC,2026-07,within_vintage,2026-08-31,,2026-07-01,2026-07-31,807,702.0,,0.1495726495726494,,
after,Singapore,singapore_sg_singapore,APAC,2026-08_to_date,within_vintage,2026-08-31,,2026-08-01,2026-08-17,471,428.0,,0.1004672897196261,,
after,Singapore,singapore_sg_singapore,APAC,2026-06,within_vintage,2026-08-31,,2026-06-01,2026-06-30,726,566.0,,0.2826855123674912,,
after,Barcelona,spain_catalonia_barcelona,EMEA,2026-07,within_vintage,2026-08-23,,2026-07-01,2026-07-31,22994,17084.0,,0.345937719503629,,
after,Barcelona,spain_catalonia_barcelona,EMEA,2026-08_to_date,within_vintage,2026-08-23,,2026-08-01,2026-08-09,6898,5121.0,,0.3470025385666861,,
after,Barcelona,spain_catalonia_barcelona,EMEA,2026-06,within_vintage,2026-08-23,,2026-06-01,2026-06-30,21316,17167.0,,0.2416846274829616,,
after,London,united-kingdom_england_london,EMEA,2026-07,within_vintage,2026-08-18,,2026-07-01,2026-07-31,78250,53704.0,,0.4570609265604051,,
after,London,united-kingdom_england_london,EMEA,2026-08_to_date,within_vintage,2026-08-18,,2026-08-01,2026-08-04,9646,6790.0,,0.420618556701031,,
after,London,united-kingdom_england_london,EMEA,2026-06,within_vintage,2026-08-18,,2026-06-01,2026-06-30,64524,47626.0,,0.354806198295049,,
after,Los Angeles,united-states_ca_los-angeles,NAM,2026-06,within_vintage,2026-08-10,,2026-06-01,2026-06-30,41743,29752.0,,0.4030317289593976,,
after,San Francisco,united-states_ca_san-francisco,NAM,2026-06,within_vintage,2026-08-10,,2026-06-01,2026-06-30,7929,5821.0,,0.3621370898471052,,
after,Chicago,united-states_il_chicago,NAM,2026-07,within_vintage,2026-08-27,,2026-07-01,2026-07-31,16449,11950.0,,0.3764853556485354,,
after,Chicago,united-states_il_chicago,NAM,2026-08_to_date,within_vintage,2026-08-27,,2026-08-01,2026-08-13,7808,5743.0,,0.3595681699460211,,
after,Chicago,united-states_il_chicago,NAM,2026-06,within_vintage,2026-08-27,,2026-06-01,2026-06-30,16318,11925.0,,0.3683857442348008,,
after,Boston,united-states_ma_boston,NAM,2026-07,within_vintage,2026-08-27,,2026-07-01,2026-07-31,6456,4439.0,,0.4543816174814148,,
after,Boston,united-states_ma_boston,NAM,2026-08_to_date,within_vintage,2026-08-27,,2026-08-01,2026-08-13,2965,2028.0,,0.4620315581854044,,
after,Boston,united-states_ma_boston,NAM,2026-06,within_vintage,2026-08-27,,2026-06-01,2026-06-30,6448,4662.0,,0.3830973830973831,,
after,New York City,united-states_ny_new-york-city,NAM,2026-06,within_vintage,2026-08-10,,2026-06-01,2026-06-30,15517,11656.0,,0.3312457103637611,,
after,Sydney,australia_nsw_sydney,APAC,3q26_to_date,vintage_matched,2026-08-15,2025-08-05,2026-07-01,2026-07-21,13145,,12678.0,0.3265718034110405,0.0368354630067833,28.97363404042572
after,Toronto,canada_on_toronto,NAM,3q26_to_date,vintage_matched,2026-08-15,2025-08-05,2026-07-01,2026-07-21,15348,,14366.0,0.4715244487056567,0.0683558401781985,40.31686085274582
after,Montreal,canada_qc_montreal,NAM,3q26_to_date,vintage_matched,2026-08-10,2025-08-16,2026-07-01,2026-07-27,17038,,14281.0,0.6667971042848757,0.1930537077235488,47.37433965613269
after,Paris,france_ile-de-france_paris,EMEA,3q26_to_date,vintage_matched,2026-08-15,2025-08-08,2026-07-01,2026-07-24,46781,,48226.0,0.2478926589842083,-0.0299630904491353,27.785574943334368
after,Tokyo,japan_kanto_tokyo,APAC,2026-07,vintage_matched,2026-08-31,2025-08-30,2026-07-01,2026-07-31,38016,,31593.0,0.3384501637151005,0.2033045294843793,13.514563423072111
after,Tokyo,japan_kanto_tokyo,APAC,2026-08_to_date,vintage_matched,2026-08-31,2025-08-30,2026-08-01,2026-08-15,18265,,15745.0,0.2858148539246743,0.1600508097808828,12.57640441437915
after,Tokyo,japan_kanto_tokyo,APAC,3q26_to_date,vintage_matched,2026-08-31,2025-08-30,2026-07-01,2026-08-15,56281,,47338.0,0.3209021779947427,0.1889179940005914,13.198418399415136
after,Singapore,singapore_sg_singapore,APAC,2026-07,vintage_matched,2026-08-31,2025-08-30,2026-07-01,2026-07-31,807,,776.0,0.1495726495726494,0.0399484536082475,10.9624195964402
after,Singapore,singapore_sg_singapore,APAC,2026-08_to_date,vintage_matched,2026-08-31,2025-08-30,2026-08-01,2026-08-15,429,,420.0,0.1594594594594593,0.0214285714285713,13.803088803088803
after,Singapore,singapore_sg_singapore,APAC,3q26_to_date,vintage_matched,2026-08-31,2025-08-30,2026-07-01,2026-08-15,1236,,1196.0,0.1529850746268657,0.0334448160535116,11.954025857335404
after,Barcelona,spain_catalonia_barcelona,EMEA,3q26_to_date,vintage_matched,2026-08-23,2025-08-10,2026-07-01,2026-07-26,19224,,19015.0,0.3602207599235831,0.0109913226400211,34.9229437283562
after,London,united-kingdom_england_london,EMEA,2026-07,vintage_matched,2026-08-18,2025-09-14,2026-07-01,2026-07-31,78250,,71164.0,0.4570609265604051,0.0995728177168231,35.74881088435819
after,London,united-kingdom_england_london,EMEA,2026-08_to_date,vintage_matched,2026-08-18,2025-09-14,2026-08-01,2026-08-04,9646,,8975.0,0.420618556701031,0.0747632311977715,34.58553255032595
after,London,united-kingdom_england_london,EMEA,3q26_to_date,vintage_matched,2026-08-18,2025-09-14,2026-07-01,2026-08-04,87896,,80139.0,0.4529705425331438,0.0967943198692271,35.61762226639167
after,Los Angeles,united-states_ca_los-angeles,NAM,3q26_to_date,vintage_matched,2026-08-10,2025-09-01,2026-07-01,2026-07-27,38439,,34204.0,0.4192512184315462,0.1238159279616419,29.543529046990425
after,San Francisco,united-states_ca_san-francisco,NAM,3q26_to_date,vintage_matched,2026-08-10,2025-09-01,2026-07-01,2026-07-27,6089,,5688.0,0.1855529595015577,0.0704992967651194,11.505366273643824
after,Chicago,united-states_il_chicago,NAM,2026-07,vintage_matched,2026-08-27,2025-08-19,2026-07-01,2026-07-31,16449,,14513.0,0.3764853556485354,0.1333976434920416,24.308771215649383
after,Chicago,united-states_il_chicago,NAM,2026-08_to_date,vintage_matched,2026-08-27,2025-08-19,2026-08-01,2026-08-04,2986,,2755.0,0.2920813500649069,0.0838475499092559,20.823380015565096
after,Chicago,united-states_il_chicago,NAM,3q26_to_date,vintage_matched,2026-08-27,2025-08-19,2026-07-01,2026-08-04,19435,,17268.0,0.3628076572470373,0.1254922399814686,23.73154172655687
after,Boston,united-states_ma_boston,NAM,2026-07,vintage_matched,2026-08-27,2025-08-23,2026-07-01,2026-07-31,6456,,5300.0,0.4543816174814148,0.2181132075471699,23.62684099342449
after,Boston,united-states_ma_boston,NAM,2026-08_to_date,vintage_matched,2026-08-27,2025-08-23,2026-08-01,2026-08-08,1937,,1531.0,0.4854294478527607,0.2651861528412802,22.024329501148053
after,Boston,united-states_ma_boston,NAM,3q26_to_date,vintage_matched,2026-08-27,2025-08-23,2026-07-01,2026-08-08,8393,,6831.0,0.4614313076789134,0.2286634460547503,23.276786162416307
after,New York City,united-states_ny_new-york-city,NAM,3q26_to_date,vintage_matched,2026-08-10,2025-09-01,2026-07-01,2026-07-27,13741,,11186.0,0.4273397735535473,0.2284105131414266,19.892926041212068
