market_key,region,period,vintage,win_start,win_end,n_cur,n_prior,yoy
canada_bc_vancouver,NAM,2026-06,2026-08-23,2026-06-01,2026-06-30,12140,7951,0.5268519683058734
canada_bc_victoria,NAM,2026-07,2026-08-31,2026-07-01,2026-07-31,9139,7283,0.25484003844569547
canada_bc_victoria,NAM,2026-08_to_date,2026-08-31,2026-08-01,2026-08-17,5713,4392,0.30077413479052817
canada_bc_victoria,NAM,2026-06,2026-08-31,2026-06-01,2026-06-30,7267,6027,0.2057408329185333
canada_mb_winnipeg,NAM,2026-07,2026-08-26,2026-07-01,2026-07-31,3337,2750,0.21345454545454556
canada_mb_winnipeg,NAM,2026-08_to_date,2026-08-26,2026-08-01,2026-08-12,1307,1193,0.09555741827326059
canada_mb_winnipeg,NAM,2026-06,2026-08-26,2026-06-01,2026-06-30,3115,2511,0.24054161688570286
canada_nb_new-brunswick,NAM,2026-07,2026-08-31,2026-07-01,2026-07-31,14023,10701,0.310438276796561
canada_nb_new-brunswick,NAM,2026-08_to_date,2026-08-31,2026-08-01,2026-08-17,9388,7119,0.31872453996347794
canada_nb_new-brunswick,NAM,2026-06,2026-08-31,2026-06-01,2026-06-30,7105,5640,0.2597517730496455
canada_on_ottawa,NAM,2026-07,2026-08-27,2026-07-01,2026-07-31,3956,3584,0.1037946428571428
canada_on_ottawa,NAM,2026-08_to_date,2026-08-27,2026-08-01,2026-08-13,1805,1633,0.10532761788120015
canada_on_ottawa,NAM,2026-06,2026-08-27,2026-06-01,2026-06-30,3713,3420,0.08567251461988312
canada_on_toronto,NAM,2026-07,2026-08-15,2026-07-01,2026-07-31,24685,16706,0.47761283371243857
canada_on_toronto,NAM,2026-08_to_date,2026-08-15,2026-08-01,2026-08-01,851,507,0.6785009861932938
canada_on_toronto,NAM,2026-06,2026-08-15,2026-06-01,2026-06-30,23782,13571,0.7524132341021295
canada_qc_montreal,NAM,2026-06,2026-08-10,2026-06-01,2026-06-30,14782,9851,0.5005583189523906
canada_qc_quebec-city,NAM,2026-07,2026-08-18,2026-07-01,2026-07-31,6479,5112,0.2674100156494523
canada_qc_quebec-city,NAM,2026-08_to_date,2026-08-18,2026-08-01,2026-08-04,959,776,0.2358247422680413
canada_qc_quebec-city,NAM,2026-06,2026-08-18,2026-06-01,2026-06-30,4724,4090,0.15501222493887523
chile_rm_santiago,LatAm,2026-07,2026-08-30,2026-07-01,2026-07-31,30998,21064,0.4716103304215724
chile_rm_santiago,LatAm,2026-08_to_date,2026-08-30,2026-08-01,2026-08-16,17630,11482,0.5354467862741683
chile_rm_santiago,LatAm,2026-06,2026-08-30,2026-06-01,2026-06-30,20619,14179,0.45419282036815
china_hk_hong-kong,APAC,2026-07,2026-08-28,2026-07-01,2026-07-31,2208,1746,0.2646048109965635
china_hk_hong-kong,APAC,2026-08_to_date,2026-08-28,2026-08-01,2026-08-14,1173,962,0.21933471933471926
china_hk_hong-kong,APAC,2026-06,2026-08-28,2026-06-01,2026-06-30,1722,1505,0.1441860465116278
colombia_dc_bogotá,LatAm,2026-07,2026-08-18,2026-07-01,2026-07-31,18984,12181,0.5584927345866513
colombia_dc_bogotá,LatAm,2026-08_to_date,2026-08-18,2026-08-01,2026-08-04,3478,1901,0.8295633876906892
colombia_dc_bogotá,LatAm,2026-06,2026-08-18,2026-06-01,2026-06-30,14616,12349,0.1835776176208599
czech-republic_prague_prague,EMEA,2026-07,2026-08-28,2026-07-01,2026-07-31,23891,19455,0.2280133641737343
czech-republic_prague_prague,EMEA,2026-08_to_date,2026-08-28,2026-08-01,2026-08-14,11955,9844,0.21444534741974808
czech-republic_prague_prague,EMEA,2026-06,2026-08-28,2026-06-01,2026-06-30,20515,19896,0.03111178126256542
denmark_hovedstaden_copenhagen,EMEA,2026-07,2026-08-31,2026-07-01,2026-07-31,16477,15164,0.08658665259825904
denmark_hovedstaden_copenhagen,EMEA,2026-08_to_date,2026-08-31,2026-08-01,2026-08-17,11470,9137,0.25533544927219
denmark_hovedstaden_copenhagen,EMEA,2026-06,2026-08-31,2026-06-01,2026-06-30,15013,11012,0.3633309117326553
france_auvergne-rhone-alpes_lyon,EMEA,2026-07,2026-08-25,2026-07-01,2026-07-31,6912,6552,0.05494505494505497
france_auvergne-rhone-alpes_lyon,EMEA,2026-08_to_date,2026-08-25,2026-08-01,2026-08-11,2360,2092,0.12810707456978965
france_auvergne-rhone-alpes_lyon,EMEA,2026-06,2026-08-25,2026-06-01,2026-06-30,8920,8073,0.10491762665675708
france_ile-de-france_paris,EMEA,2026-07,2026-08-15,2026-07-01,2026-07-31,57898,47158,0.22774502735484958
france_ile-de-france_paris,EMEA,2026-08_to_date,2026-08-15,2026-08-01,2026-08-01,1343,1043,0.28763183125599223
france_ile-de-france_paris,EMEA,2026-06,2026-08-15,2026-06-01,2026-06-30,65997,56650,0.16499558693733452
france_nouvelle-aquitaine_bordeaux,EMEA,2026-07,2026-08-25,2026-07-01,2026-07-31,10197,8773,0.16231619742391423
france_nouvelle-aquitaine_bordeaux,EMEA,2026-08_to_date,2026-08-25,2026-08-01,2026-08-11,3250,4392,-0.26001821493624777
france_nouvelle-aquitaine_bordeaux,EMEA,2026-06,2026-08-25,2026-06-01,2026-06-30,10792,8820,0.22358276643990926
france_pyrénées-atlantiques_pays-basque,EMEA,2026-07,2026-08-27,2026-07-01,2026-07-31,14644,12142,0.20606160434854215
france_pyrénées-atlantiques_pays-basque,EMEA,2026-08_to_date,2026-08-27,2026-08-01,2026-08-13,8840,7040,0.2556818181818181
france_pyrénées-atlantiques_pays-basque,EMEA,2026-06,2026-08-27,2026-06-01,2026-06-30,7728,6977,0.10763938655582628
germany_be_berlin,EMEA,2026-07,2026-08-27,2026-07-01,2026-07-31,15290,12902,0.18508758332041553
germany_be_berlin,EMEA,2026-08_to_date,2026-08-27,2026-08-01,2026-08-13,5866,4912,0.1942182410423452
germany_be_berlin,EMEA,2026-06,2026-08-27,2026-06-01,2026-06-30,15012,12181,0.23241113209096143
germany_bv_munich,EMEA,2026-07,2026-08-30,2026-07-01,2026-07-31,6062,4127,0.46886358129391814
germany_bv_munich,EMEA,2026-08_to_date,2026-08-30,2026-08-01,2026-08-16,2922,2291,0.2754255783500654
germany_bv_munich,EMEA,2026-06,2026-08-30,2026-06-01,2026-06-30,5210,4476,0.16398570151921366
greece_attica_athens,EMEA,2026-07,2026-08-30,2026-07-01,2026-07-31,21298,20236,0.05248072741648557
greece_attica_athens,EMEA,2026-08_to_date,2026-08-30,2026-08-01,2026-08-16,10469,9572,0.0937108232344337
greece_attica_athens,EMEA,2026-06,2026-08-30,2026-06-01,2026-06-30,23253,22499,0.03351260056002481
greece_central-macedonia_thessaloniki,EMEA,2026-07,2026-08-30,2026-07-01,2026-07-31,5457,4873,0.1198440385799302
greece_central-macedonia_thessaloniki,EMEA,2026-08_to_date,2026-08-30,2026-08-01,2026-08-16,3030,2647,0.1446921042689837
greece_central-macedonia_thessaloniki,EMEA,2026-06,2026-08-30,2026-06-01,2026-06-30,4434,3960,0.11969696969696964
greece_crete_crete,EMEA,2026-07,2026-08-31,2026-07-01,2026-07-31,22942,21074,0.08864003036917523
greece_crete_crete,EMEA,2026-08_to_date,2026-08-31,2026-08-01,2026-08-17,14582,13114,0.11194143663260636
greece_crete_crete,EMEA,2026-06,2026-08-31,2026-06-01,2026-06-30,17724,16048,0.10443668993020938
greece_south-aegean_south-aegean,EMEA,2026-07,2026-08-28,2026-07-01,2026-07-31,33779,30612,0.10345616098262123
greece_south-aegean_south-aegean,EMEA,2026-08_to_date,2026-08-28,2026-08-01,2026-08-14,16390,14589,0.12344917403523192
greece_south-aegean_south-aegean,EMEA,2026-06,2026-08-28,2026-06-01,2026-06-30,25858,24156,0.07045868521278353
hungary_közép-magyarország_budapest,EMEA,2026-07,2026-08-29,2026-07-01,2026-07-31,22934,19376,0.18362923203963666
hungary_közép-magyarország_budapest,EMEA,2026-08_to_date,2026-08-29,2026-08-01,2026-08-15,11427,12279,-0.06938675787930615
hungary_közép-magyarország_budapest,EMEA,2026-06,2026-08-29,2026-06-01,2026-06-30,21677,19602,0.10585654525048471
ireland,EMEA,2026-07,2026-08-23,2026-07-01,2026-07-31,64516,55238,0.16796408269669438
ireland,EMEA,2026-08_to_date,2026-08-23,2026-08-01,2026-08-09,23192,20690,0.1209279845335911
ireland,EMEA,2026-06,2026-08-23,2026-06-01,2026-06-30,51963,45535,0.1411661359393872
ireland_leinster_dublin,EMEA,2026-07,2026-08-25,2026-07-01,2026-07-31,10902,8373,0.30204227875313516
ireland_leinster_dublin,EMEA,2026-08_to_date,2026-08-25,2026-08-01,2026-08-11,4074,3327,0.22452660054102802
ireland_leinster_dublin,EMEA,2026-06,2026-08-25,2026-06-01,2026-06-30,10669,8938,0.19366748713358684
italy_campania_naples,EMEA,2026-07,2026-08-27,2026-07-01,2026-07-31,10991,10033,0.09548489983055908
italy_campania_naples,EMEA,2026-08_to_date,2026-08-27,2026-08-01,2026-08-13,4566,4170,0.0949640287769784
italy_campania_naples,EMEA,2026-06,2026-08-27,2026-06-01,2026-06-30,12087,11934,0.012820512820512775
italy_emilia-romagna_bologna,EMEA,2026-07,2026-08-27,2026-07-01,2026-07-31,6250,5382,0.16127833519137869
italy_emilia-romagna_bologna,EMEA,2026-08_to_date,2026-08-27,2026-08-01,2026-08-13,2089,1920,0.08802083333333344
italy_emilia-romagna_bologna,EMEA,2026-06,2026-08-27,2026-06-01,2026-06-30,7968,6452,0.2349659020458772
italy_lazio_rome,EMEA,2026-07,2026-08-25,2026-07-01,2026-07-31,52676,46369,0.13601759796415713
italy_lazio_rome,EMEA,2026-08_to_date,2026-08-25,2026-08-01,2026-08-11,15242,15205,0.0024334100624794353
italy_lazio_rome,EMEA,2026-06,2026-08-25,2026-06-01,2026-06-30,63194,56488,0.11871547939385363
italy_lombardia_bergamo,EMEA,2026-07,2026-08-31,2026-07-01,2026-07-31,5026,4056,0.23915187376725844
italy_lombardia_bergamo,EMEA,2026-08_to_date,2026-08-31,2026-08-01,2026-08-17,2966,2538,0.1686367218282112
italy_lombardia_bergamo,EMEA,2026-06,2026-08-31,2026-06-01,2026-06-30,4235,3491,0.21311945001432253
italy_lombardy_milan,EMEA,2026-07,2026-08-27,2026-07-01,2026-07-31,33797,24541,0.3771647447129294
italy_lombardy_milan,EMEA,2026-08_to_date,2026-08-27,2026-08-01,2026-08-13,9092,9066,0.002867857930730189
italy_lombardy_milan,EMEA,2026-06,2026-08-27,2026-06-01,2026-06-30,28482,28406,0.002675491093431015
italy_puglia_puglia,EMEA,2026-07,2026-08-31,2026-07-01,2026-07-31,26576,23036,0.15367251258899106
italy_puglia_puglia,EMEA,2026-08_to_date,2026-08-31,2026-08-01,2026-08-17,18582,15685,0.18469875677398795
italy_puglia_puglia,EMEA,2026-06,2026-08-31,2026-06-01,2026-06-30,22697,18896,0.2011536833192209
italy_sicilia_sicily,EMEA,2026-07,2026-08-31,2026-07-01,2026-07-31,37340,32457,0.1504452044243152
italy_sicilia_sicily,EMEA,2026-08_to_date,2026-08-31,2026-08-01,2026-08-17,24441,20861,0.1716120991323522
italy_sicilia_sicily,EMEA,2026-06,2026-08-31,2026-06-01,2026-06-30,35843,30200,0.18685430463576158
italy_toscana_florence,EMEA,2026-07,2026-08-27,2026-07-01,2026-07-31,21337,18965,0.12507250197732667
italy_toscana_florence,EMEA,2026-08_to_date,2026-08-27,2026-08-01,2026-08-13,7436,7063,0.05281042050120344
italy_toscana_florence,EMEA,2026-06,2026-08-27,2026-06-01,2026-06-30,27395,25164,0.08865840089016053
italy_trentino-alto-adige-südtirol_trentino,EMEA,2026-07,2026-08-31,2026-07-01,2026-07-31,7851,6397,0.2272940440831639
italy_trentino-alto-adige-südtirol_trentino,EMEA,2026-08_to_date,2026-08-31,2026-08-01,2026-08-17,5319,4221,0.2601279317697227
italy_trentino-alto-adige-südtirol_trentino,EMEA,2026-06,2026-08-31,2026-06-01,2026-06-30,5422,4645,0.16727664155005373
italy_veneto_venice,EMEA,2026-06,2026-08-13,2026-06-01,2026-06-30,18971,16169,0.17329457604057152
japan_kanto_tokyo,APAC,2026-07,2026-08-31,2026-07-01,2026-07-31,38016,28403,0.3384501637151005
japan_kanto_tokyo,APAC,2026-08_to_date,2026-08-31,2026-08-01,2026-08-17,20498,16280,0.25909090909090904
japan_kanto_tokyo,APAC,2026-06,2026-08-31,2026-06-01,2026-06-30,37045,28407,0.30407998028654903
kenya_nairobi_nairobi,EMEA,2026-07,2026-08-18,2026-07-01,2026-07-31,5032,3408,0.47652582159624424
kenya_nairobi_nairobi,EMEA,2026-08_to_date,2026-08-18,2026-08-01,2026-08-04,825,515,0.6019417475728155
kenya_nairobi_nairobi,EMEA,2026-06,2026-08-18,2026-06-01,2026-06-30,4282,3016,0.41976127320954904
latvia_riga_riga,EMEA,2026-07,2026-08-31,2026-07-01,2026-07-31,6649,5441,0.22201801139496413
latvia_riga_riga,EMEA,2026-08_to_date,2026-08-31,2026-08-01,2026-08-17,3936,3416,0.15222482435597184
latvia_riga_riga,EMEA,2026-06,2026-08-31,2026-06-01,2026-06-30,4469,3928,0.1377291242362526
malta,EMEA,2026-07,2026-08-30,2026-07-01,2026-07-31,12789,9144,0.39862204724409445
malta,EMEA,2026-08_to_date,2026-08-30,2026-08-01,2026-08-16,7498,5547,0.3517216513430683
malta,EMEA,2026-06,2026-08-30,2026-06-01,2026-06-30,11969,8823,0.35656806075031167
mexico_df_mexico-city,LatAm,2026-07,2026-08-30,2026-07-01,2026-07-31,43324,30487,0.42106471610850527
mexico_df_mexico-city,LatAm,2026-08_to_date,2026-08-30,2026-08-01,2026-08-16,32000,17536,0.8248175182481752
mexico_df_mexico-city,LatAm,2026-06,2026-08-30,2026-06-01,2026-06-30,42959,29539,0.4543146348894682
new-zealand,APAC,2026-06,2026-08-13,2026-06-01,2026-06-30,34716,32363,0.07270648580168704
norway_oslo_oslo,EMEA,2026-07,2026-08-31,2026-07-01,2026-07-31,12133,8771,0.3833086307148559
norway_oslo_oslo,EMEA,2026-08_to_date,2026-08-31,2026-08-01,2026-08-17,8538,7008,0.2183219178082192
norway_oslo_oslo,EMEA,2026-06,2026-08-31,2026-06-01,2026-06-30,11634,9960,0.16807228915662642
portugal_lisbon_lisbon,EMEA,2026-07,2026-08-26,2026-07-01,2026-07-31,34606,33148,0.04398455412091229
portugal_lisbon_lisbon,EMEA,2026-08_to_date,2026-08-26,2026-08-01,2026-08-12,14484,13236,0.09428830462375348
portugal_lisbon_lisbon,EMEA,2026-06,2026-08-26,2026-06-01,2026-06-30,33806,32807,0.03045081842289754
portugal_norte_porto,EMEA,2026-07,2026-08-26,2026-07-01,2026-07-31,24342,22114,0.10075065569322605
portugal_norte_porto,EMEA,2026-08_to_date,2026-08-26,2026-08-01,2026-08-12,10814,9629,0.12306573891369821
portugal_norte_porto,EMEA,2026-06,2026-08-26,2026-06-01,2026-06-30,23865,21562,0.1068082738150451
singapore_sg_singapore,APAC,2026-07,2026-08-31,2026-07-01,2026-07-31,807,702,0.14957264957264949
singapore_sg_singapore,APAC,2026-08_to_date,2026-08-31,2026-08-01,2026-08-17,471,428,0.10046728971962615
singapore_sg_singapore,APAC,2026-06,2026-08-31,2026-06-01,2026-06-30,726,566,0.2826855123674912
south-africa_wc_cape-town,EMEA,2026-07,2026-08-30,2026-07-01,2026-07-31,10169,8172,0.24437102300538416
south-africa_wc_cape-town,EMEA,2026-08_to_date,2026-08-30,2026-08-01,2026-08-16,7076,5178,0.3665507918115103
south-africa_wc_cape-town,EMEA,2026-06,2026-08-30,2026-06-01,2026-06-30,8435,7475,0.1284280936454849
spain_andalucía_malaga,EMEA,2026-07,2026-08-31,2026-07-01,2026-07-31,12498,10951,0.1412656378412931
spain_andalucía_malaga,EMEA,2026-08_to_date,2026-08-31,2026-08-01,2026-08-17,7590,6742,0.12577870068229013
spain_andalucía_malaga,EMEA,2026-06,2026-08-31,2026-06-01,2026-06-30,12223,10885,0.12292145153881484
spain_andalucía_sevilla,EMEA,2026-07,2026-08-31,2026-07-01,2026-07-31,9757,9079,0.07467782795462052
spain_andalucía_sevilla,EMEA,2026-08_to_date,2026-08-31,2026-08-01,2026-08-17,4997,4797,0.04169272461955398
spain_andalucía_sevilla,EMEA,2026-06,2026-08-31,2026-06-01,2026-06-30,13083,11637,0.12425882959525647
spain_catalonia_barcelona,EMEA,2026-07,2026-08-23,2026-07-01,2026-07-31,22994,17084,0.34593771950362906
spain_catalonia_barcelona,EMEA,2026-08_to_date,2026-08-23,2026-08-01,2026-08-09,6898,5121,0.34700253856668617
spain_catalonia_barcelona,EMEA,2026-06,2026-08-23,2026-06-01,2026-06-30,21316,17167,0.2416846274829616
spain_catalonia_girona,EMEA,2026-07,2026-08-31,2026-07-01,2026-07-31,16718,14011,0.19320533866247946
spain_catalonia_girona,EMEA,2026-08_to_date,2026-08-31,2026-08-01,2026-08-17,12762,10547,0.21001232577984252
spain_catalonia_girona,EMEA,2026-06,2026-08-31,2026-06-01,2026-06-30,12290,11129,0.10432204151316382
spain_comunidad-de-madrid_madrid,EMEA,2026-07,2026-08-23,2026-07-01,2026-07-31,32924,26097,0.26160095030080077
spain_comunidad-de-madrid_madrid,EMEA,2026-08_to_date,2026-08-23,2026-08-01,2026-08-09,8358,6447,0.2964169381107491
spain_comunidad-de-madrid_madrid,EMEA,2026-06,2026-08-23,2026-06-01,2026-06-30,40539,29232,0.38680213464696234
spain_islas-baleares_mallorca,EMEA,2026-07,2026-08-26,2026-07-01,2026-07-31,12937,11154,0.15985296754527534
spain_islas-baleares_mallorca,EMEA,2026-08_to_date,2026-08-26,2026-08-01,2026-08-12,5157,4149,0.24295010845986975
spain_islas-baleares_mallorca,EMEA,2026-06,2026-08-26,2026-06-01,2026-06-30,13331,11190,0.191331546023235
spain_islas-baleares_menorca,EMEA,2026-07,2026-08-31,2026-07-01,2026-07-31,3823,3379,0.13139982243267245
spain_islas-baleares_menorca,EMEA,2026-08_to_date,2026-08-31,2026-08-01,2026-08-17,2316,1905,0.21574803149606292
spain_islas-baleares_menorca,EMEA,2026-06,2026-08-31,2026-06-01,2026-06-30,3583,2909,0.23169474046063931
spain_pv_euskadi,EMEA,2026-07,2026-08-31,2026-07-01,2026-07-31,10699,9713,0.10151343560177084
spain_pv_euskadi,EMEA,2026-08_to_date,2026-08-31,2026-08-01,2026-08-17,7537,6087,0.23821258419582714
spain_pv_euskadi,EMEA,2026-06,2026-08-31,2026-06-01,2026-06-30,8430,7790,0.08215661103979466
spain_vc_valencia,EMEA,2026-07,2026-08-28,2026-07-01,2026-07-31,12346,9416,0.3111724723874256
spain_vc_valencia,EMEA,2026-08_to_date,2026-08-28,2026-08-01,2026-08-14,5829,4441,0.31254222022067113
spain_vc_valencia,EMEA,2026-06,2026-08-28,2026-06-01,2026-06-30,11375,9470,0.20116156282998943
sweden_stockholms-län_stockholm,EMEA,2026-07,2026-08-31,2026-07-01,2026-07-31,6363,4346,0.46410492406810855
sweden_stockholms-län_stockholm,EMEA,2026-08_to_date,2026-08-31,2026-08-01,2026-08-17,3904,2801,0.3937879328811138
sweden_stockholms-län_stockholm,EMEA,2026-06,2026-08-31,2026-06-01,2026-06-30,4973,3668,0.35577971646673934
switzerland_geneva_geneva,EMEA,2026-07,2026-08-31,2026-07-01,2026-07-31,1728,1683,0.02673796791443861
switzerland_geneva_geneva,EMEA,2026-08_to_date,2026-08-31,2026-08-01,2026-08-17,819,782,0.04731457800511518
switzerland_geneva_geneva,EMEA,2026-06,2026-08-31,2026-06-01,2026-06-30,1877,1601,0.17239225484072462
switzerland_vd_vaud,EMEA,2026-06,2026-08-10,2026-06-01,2026-06-30,2529,2668,-0.052098950524737675
switzerland_zürich_zurich,EMEA,2026-07,2026-08-31,2026-07-01,2026-07-31,3220,3016,0.06763925729442977
switzerland_zürich_zurich,EMEA,2026-08_to_date,2026-08-31,2026-08-01,2026-08-17,1958,1714,0.1423570595099184
switzerland_zürich_zurich,EMEA,2026-06,2026-08-31,2026-06-01,2026-06-30,3213,2773,0.15867291741795886
taiwan_northern-taiwan_taipei,APAC,2026-07,2026-08-31,2026-07-01,2026-07-31,5033,4017,0.25292506845904894
taiwan_northern-taiwan_taipei,APAC,2026-08_to_date,2026-08-31,2026-08-01,2026-08-17,3238,2508,0.2910685805422648
taiwan_northern-taiwan_taipei,APAC,2026-06,2026-08-31,2026-06-01,2026-06-30,5554,4064,0.36663385826771644
thailand_central-thailand_bangkok,APAC,2026-07,2026-08-30,2026-07-01,2026-07-31,15423,11501,0.3410138248847927
thailand_central-thailand_bangkok,APAC,2026-08_to_date,2026-08-30,2026-08-01,2026-08-16,8892,6406,0.38807368092413363
thailand_central-thailand_bangkok,APAC,2026-06,2026-08-30,2026-06-01,2026-06-30,12478,10243,0.2181977936151518
the-netherlands_north-holland_amsterdam,EMEA,2026-07,2026-08-15,2026-07-01,2026-07-31,10181,8255,0.23331314354936405
the-netherlands_north-holland_amsterdam,EMEA,2026-08_to_date,2026-08-15,2026-08-01,2026-08-01,208,223,-0.06726457399103136
