horizon_quarters,window,candidate,reference,deleted_unit,deleted_value,n,guide_rmse_ratio
2,W2,joint,fixed,quarter,2026Q2,9,0.7248532282260715
2,W2,joint,guide_growth,year,2024,6,1.2231132493554286
2,W2,joint,guide_growth,year,2025,6,0.8050287395666383
2,W2,joint,guide_growth,year,2026,8,1.0676340067529346
2,W2,joint,guide_growth,quarter,2024Q1,9,1.0567529337430008
2,W2,joint,guide_growth,quarter,2024Q2,9,1.0485650491857563
2,W2,joint,guide_growth,quarter,2024Q3,9,1.1497644878881037
2,W2,joint,guide_growth,quarter,2024Q4,9,1.061587396534842
2,W2,joint,guide_growth,quarter,2025Q1,9,1.0813282919838338
2,W2,joint,guide_growth,quarter,2025Q2,9,1.0479117188052745
2,W2,joint,guide_growth,quarter,2025Q3,9,0.7596753631640664
2,W2,joint,guide_growth,quarter,2025Q4,9,1.0641342041418234
2,W2,joint,guide_growth,quarter,2026Q1,9,1.1920582304956457
2,W2,joint,guide_growth,quarter,2026Q2,9,0.9214138141146926
2,W2,joint,revenue_growth,year,2024,6,0.6205172433189958
2,W2,joint,revenue_growth,year,2025,6,0.393590239494196
2,W2,joint,revenue_growth,year,2026,8,0.5165823354767621
2,W2,joint,revenue_growth,quarter,2024Q1,9,0.5137840624585636
2,W2,joint,revenue_growth,quarter,2024Q2,9,0.5247102243491891
2,W2,joint,revenue_growth,quarter,2024Q3,9,0.5969372216082283
2,W2,joint,revenue_growth,quarter,2024Q4,9,0.5132862304827581
2,W2,joint,revenue_growth,quarter,2025Q1,9,0.5169723762717143
2,W2,joint,revenue_growth,quarter,2025Q2,9,0.5031817161029405
2,W2,joint,revenue_growth,quarter,2025Q3,9,0.4053969854654042
2,W2,joint,revenue_growth,quarter,2025Q4,9,0.5170195220670838
2,W2,joint,revenue_growth,quarter,2026Q1,9,0.5501154211228455
2,W2,joint,revenue_growth,quarter,2026Q2,9,0.4763090136473573
2,W2,fixed,guide_growth,year,2024,6,1.1876719411188341
2,W2,fixed,guide_growth,year,2025,6,1.0381274962791873
2,W2,fixed,guide_growth,year,2026,8,1.5420684435955367
2,W2,fixed,guide_growth,quarter,2024Q1,9,1.2407930729738719
2,W2,fixed,guide_growth,quarter,2024Q2,9,1.0617453337344678
2,W2,fixed,guide_growth,quarter,2024Q3,9,1.3857340330323256
2,W2,fixed,guide_growth,quarter,2024Q4,9,1.284137174345221
2,W2,fixed,guide_growth,quarter,2025Q1,9,1.2817162292440656
2,W2,fixed,guide_growth,quarter,2025Q2,9,1.1481963068292682
2,W2,fixed,guide_growth,quarter,2025Q3,9,1.1458311765407836
2,W2,fixed,guide_growth,quarter,2025Q4,9,1.2814028725782993
2,W2,fixed,guide_growth,quarter,2026Q1,9,1.4826148140978577
2,W2,fixed,guide_growth,quarter,2026Q2,9,1.2711729467904318
2,W2,fixed,revenue_growth,year,2024,6,0.6025369435403939
2,W2,fixed,revenue_growth,year,2025,6,0.5075556061588441
2,W2,fixed,revenue_growth,year,2026,8,0.7461408244950589
2,W2,fixed,revenue_growth,quarter,2024Q1,9,0.6032627734894926
2,W2,fixed,revenue_growth,quarter,2024Q2,9,0.5313057427368284
2,W2,fixed,revenue_growth,quarter,2024Q3,9,0.7194484020685679
2,W2,fixed,revenue_growth,quarter,2024Q4,9,0.6208908769960192
2,W2,fixed,revenue_growth,quarter,2025Q1,9,0.6127758698726734
2,W2,fixed,revenue_growth,quarter,2025Q2,9,0.5513359357714833
2,W2,fixed,revenue_growth,quarter,2025Q3,9,0.611467117858329
2,W2,fixed,revenue_growth,quarter,2025Q4,9,0.622581529826969
2,W2,fixed,revenue_growth,quarter,2026Q1,9,0.6842025430932935
2,W2,fixed,revenue_growth,quarter,2026Q2,9,0.6571109779189716
3,W1,joint,fixed,year,2024,6,1.1586444071406274
3,W1,joint,fixed,year,2025,6,1.004191992321809
3,W1,joint,fixed,year,2026,8,0.7286692472402989
3,W1,joint,fixed,quarter,2024Q1,9,0.9232075822290197
3,W1,joint,fixed,quarter,2024Q2,9,1.1394770735794197
3,W1,joint,fixed,quarter,2024Q3,9,0.9679984322558408
3,W1,joint,fixed,quarter,2024Q4,9,0.953910756452348
3,W1,joint,fixed,quarter,2025Q1,9,0.971564901782707
3,W1,joint,fixed,quarter,2025Q2,9,0.9318985506549858
3,W1,joint,fixed,quarter,2025Q3,9,0.982196366073954
3,W1,joint,fixed,quarter,2025Q4,9,0.9671939788212952
3,W1,joint,fixed,quarter,2026Q1,9,0.8604060342894071
3,W1,joint,fixed,quarter,2026Q2,9,0.8622741995309562
3,W1,joint,guide_growth,year,2024,6,1.0418535671882336
3,W1,joint,guide_growth,year,2025,6,0.8447451183317163
3,W1,joint,guide_growth,year,2026,8,1.0762420337542196
3,W1,joint,guide_growth,quarter,2024Q1,9,0.9400905415321674
3,W1,joint,guide_growth,quarter,2024Q2,9,0.960124537925852
3,W1,joint,guide_growth,quarter,2024Q3,9,1.0421486527968022
3,W1,joint,guide_growth,quarter,2024Q4,9,0.9556385570081174
3,W1,joint,guide_growth,quarter,2025Q1,9,0.9535044530920445
3,W1,joint,guide_growth,quarter,2025Q2,9,0.937957145215022
3,W1,joint,guide_growth,quarter,2025Q3,9,0.9191167673238669
3,W1,joint,guide_growth,quarter,2025Q4,9,0.9077085457566505
3,W1,joint,guide_growth,quarter,2026Q1,9,0.9534778148038662
3,W1,joint,guide_growth,quarter,2026Q2,9,1.0381832819799903
3,W1,joint,revenue_growth,year,2024,6,0.8554791757334891
3,W1,joint,revenue_growth,year,2025,6,0.7268464837882582
3,W1,joint,revenue_growth,year,2026,8,0.6986605516949679
3,W1,joint,revenue_growth,quarter,2024Q1,9,0.7347316392438398
3,W1,joint,revenue_growth,quarter,2024Q2,9,0.7714865954193656
3,W1,joint,revenue_growth,quarter,2024Q3,9,0.8021137120793799
3,W1,joint,revenue_growth,quarter,2024Q4,9,0.8067002034267996
3,W1,joint,revenue_growth,quarter,2025Q1,9,0.7666811543315155
3,W1,joint,revenue_growth,quarter,2025Q2,9,0.7580963587539615
3,W1,joint,revenue_growth,quarter,2025Q3,9,0.7319451316163057
3,W1,joint,revenue_growth,quarter,2025Q4,9,0.7578772188722367
3,W1,joint,revenue_growth,quarter,2026Q1,9,0.7028790841583173
3,W1,joint,revenue_growth,quarter,2026Q2,9,0.7915965996106309
3,W1,fixed,guide_growth,year,2024,6,0.8992004455960587
3,W1,fixed,guide_growth,year,2025,6,0.841218735850071
3,W1,fixed,guide_growth,year,2026,8,1.476996645364531
3,W1,fixed,guide_growth,quarter,2024Q1,9,1.018287284060628
3,W1,fixed,guide_growth,quarter,2024Q2,9,0.8426010142615937
3,W1,fixed,guide_growth,quarter,2024Q3,9,1.0766015915626646
3,W1,fixed,guide_growth,quarter,2024Q4,9,1.0018112811330435
3,W1,fixed,guide_growth,quarter,2025Q1,9,0.9814109704276844
3,W1,fixed,guide_growth,quarter,2025Q2,9,1.006501345619411
3,W1,fixed,guide_growth,quarter,2025Q3,9,0.935776998440516
3,W1,fixed,guide_growth,quarter,2025Q4,9,0.9384968947623736
3,W1,fixed,guide_growth,quarter,2026Q1,9,1.1081719290722145
3,W1,fixed,guide_growth,quarter,2026Q2,9,1.2040059676431485
3,W1,fixed,revenue_growth,year,2024,6,0.7383448886140073
3,W1,fixed,revenue_growth,year,2025,6,0.723812268317042
3,W1,fixed,revenue_growth,year,2026,8,0.9588171236003394
3,W1,fixed,revenue_growth,quarter,2024Q1,9,0.7958466258150545
3,W1,fixed,revenue_growth,quarter,2024Q2,9,0.6770531968632839
3,W1,fixed,revenue_growth,quarter,2024Q3,9,0.8286312098771893
3,W1,fixed,revenue_growth,quarter,2024Q4,9,0.8456768077833263
3,W1,fixed,revenue_growth,quarter,2025Q1,9,0.7891198549111295
3,W1,fixed,revenue_growth,quarter,2025Q2,9,0.8134966603619382
3,W1,fixed,revenue_growth,quarter,2025Q3,9,0.7452126243777959
3,W1,fixed,revenue_growth,quarter,2025Q4,9,0.7835834749466186
3,W1,fixed,revenue_growth,quarter,2026Q1,9,0.8169155679374237
3,W1,fixed,revenue_growth,quarter,2026Q2,9,0.9180334979768952
3,W2,joint,fixed,year,2024,6,1.1586444071406274
3,W2,joint,fixed,year,2025,6,1.004191992321809
3,W2,joint,fixed,year,2026,8,0.7286692472402989
3,W2,joint,fixed,quarter,2024Q1,9,0.9232075822290197
3,W2,joint,fixed,quarter,2024Q2,9,1.1394770735794197
3,W2,joint,fixed,quarter,2024Q3,9,0.9679984322558408
3,W2,joint,fixed,quarter,2024Q4,9,0.953910756452348
3,W2,joint,fixed,quarter,2025Q1,9,0.971564901782707
3,W2,joint,fixed,quarter,2025Q2,9,0.9318985506549858
3,W2,joint,fixed,quarter,2025Q3,9,0.982196366073954
3,W2,joint,fixed,quarter,2025Q4,9,0.9671939788212952
3,W2,joint,fixed,quarter,2026Q1,9,0.8604060342894071
3,W2,joint,fixed,quarter,2026Q2,9,0.8622741995309562
3,W2,joint,guide_growth,year,2024,6,1.0418535671882336
3,W2,joint,guide_growth,year,2025,6,0.8447451183317163
3,W2,joint,guide_growth,year,2026,8,1.0762420337542196
3,W2,joint,guide_growth,quarter,2024Q1,9,0.9400905415321674
3,W2,joint,guide_growth,quarter,2024Q2,9,0.960124537925852
3,W2,joint,guide_growth,quarter,2024Q3,9,1.0421486527968022
3,W2,joint,guide_growth,quarter,2024Q4,9,0.9556385570081174
3,W2,joint,guide_growth,quarter,2025Q1,9,0.9535044530920445
3,W2,joint,guide_growth,quarter,2025Q2,9,0.937957145215022
3,W2,joint,guide_growth,quarter,2025Q3,9,0.9191167673238669
3,W2,joint,guide_growth,quarter,2025Q4,9,0.9077085457566505
3,W2,joint,guide_growth,quarter,2026Q1,9,0.9534778148038662
3,W2,joint,guide_growth,quarter,2026Q2,9,1.0381832819799903
3,W2,joint,revenue_growth,year,2024,6,0.8554791757334891
3,W2,joint,revenue_growth,year,2025,6,0.7268464837882582
3,W2,joint,revenue_growth,year,2026,8,0.6986605516949679
3,W2,joint,revenue_growth,quarter,2024Q1,9,0.7347316392438398
3,W2,joint,revenue_growth,quarter,2024Q2,9,0.7714865954193656
3,W2,joint,revenue_growth,quarter,2024Q3,9,0.8021137120793799
3,W2,joint,revenue_growth,quarter,2024Q4,9,0.8067002034267996
3,W2,joint,revenue_growth,quarter,2025Q1,9,0.7666811543315155
3,W2,joint,revenue_growth,quarter,2025Q2,9,0.7580963587539615
3,W2,joint,revenue_growth,quarter,2025Q3,9,0.7319451316163057
3,W2,joint,revenue_growth,quarter,2025Q4,9,0.7578772188722367
3,W2,joint,revenue_growth,quarter,2026Q1,9,0.7028790841583173
3,W2,joint,revenue_growth,quarter,2026Q2,9,0.7915965996106309
3,W2,fixed,guide_growth,year,2024,6,0.8992004455960587
3,W2,fixed,guide_growth,year,2025,6,0.841218735850071
3,W2,fixed,guide_growth,year,2026,8,1.476996645364531
3,W2,fixed,guide_growth,quarter,2024Q1,9,1.018287284060628
3,W2,fixed,guide_growth,quarter,2024Q2,9,0.8426010142615937
3,W2,fixed,guide_growth,quarter,2024Q3,9,1.0766015915626646
3,W2,fixed,guide_growth,quarter,2024Q4,9,1.0018112811330435
3,W2,fixed,guide_growth,quarter,2025Q1,9,0.9814109704276844
3,W2,fixed,guide_growth,quarter,2025Q2,9,1.006501345619411
3,W2,fixed,guide_growth,quarter,2025Q3,9,0.935776998440516
3,W2,fixed,guide_growth,quarter,2025Q4,9,0.9384968947623736
3,W2,fixed,guide_growth,quarter,2026Q1,9,1.1081719290722145
3,W2,fixed,guide_growth,quarter,2026Q2,9,1.2040059676431485
3,W2,fixed,revenue_growth,year,2024,6,0.7383448886140073
3,W2,fixed,revenue_growth,year,2025,6,0.723812268317042
3,W2,fixed,revenue_growth,year,2026,8,0.9588171236003394
3,W2,fixed,revenue_growth,quarter,2024Q1,9,0.7958466258150545
3,W2,fixed,revenue_growth,quarter,2024Q2,9,0.6770531968632839
3,W2,fixed,revenue_growth,quarter,2024Q3,9,0.8286312098771893
3,W2,fixed,revenue_growth,quarter,2024Q4,9,0.8456768077833263
3,W2,fixed,revenue_growth,quarter,2025Q1,9,0.7891198549111295
3,W2,fixed,revenue_growth,quarter,2025Q2,9,0.8134966603619382
3,W2,fixed,revenue_growth,quarter,2025Q3,9,0.7452126243777959
3,W2,fixed,revenue_growth,quarter,2025Q4,9,0.7835834749466186
3,W2,fixed,revenue_growth,quarter,2026Q1,9,0.8169155679374237
3,W2,fixed,revenue_growth,quarter,2026Q2,9,0.9180334979768952
4,W1,joint,fixed,year,2024,6,1.2178628347764828
4,W1,joint,fixed,year,2025,5,1.139955488095417
4,W1,joint,fixed,year,2026,7,0.8487501817520976
4,W1,joint,fixed,quarter,2024Q2,8,1.129502703921193
4,W1,joint,fixed,quarter,2024Q3,8,1.1782811617714988
4,W1,joint,fixed,quarter,2024Q4,8,1.128694879900875
4,W1,joint,fixed,quarter,2025Q1,8,1.1470418038215542
4,W1,joint,fixed,quarter,2025Q2,8,1.1171404298466396
4,W1,joint,fixed,quarter,2025Q3,8,1.1084021887434925
4,W1,joint,fixed,quarter,2025Q4,8,1.1160217565721844
4,W1,joint,fixed,quarter,2026Q1,8,1.0160891952349689
4,W1,joint,fixed,quarter,2026Q2,8,1.0884325410574032
4,W1,joint,guide_growth,year,2024,6,1.1851742559754137
4,W1,joint,guide_growth,year,2025,5,1.0117647384733695
4,W1,joint,guide_growth,year,2026,7,0.6671865712229962
4,W1,joint,guide_growth,quarter,2024Q2,8,1.048196143876084
4,W1,joint,guide_growth,quarter,2024Q3,8,1.0957049610067051
4,W1,joint,guide_growth,quarter,2024Q4,8,0.9869566989752825
4,W1,joint,guide_growth,quarter,2025Q1,8,0.9958211917751408
4,W1,joint,guide_growth,quarter,2025Q2,8,0.990389937896404
4,W1,joint,guide_growth,quarter,2025Q3,8,1.012551694565779
4,W1,joint,guide_growth,quarter,2025Q4,8,0.9892182394047755
4,W1,joint,guide_growth,quarter,2026Q1,8,0.8519044734960203
4,W1,joint,guide_growth,quarter,2026Q2,8,0.9592825716498667
4,W1,joint,revenue_growth,year,2024,6,0.9579610167013066
4,W1,joint,revenue_growth,year,2025,5,0.982522960505382
4,W1,joint,revenue_growth,year,2026,7,0.5681902398503131
4,W1,joint,revenue_growth,quarter,2024Q2,8,0.9135498414574643
4,W1,joint,revenue_growth,quarter,2024Q3,8,0.8928495878204991
4,W1,joint,revenue_growth,quarter,2024Q4,8,0.889444411722315
4,W1,joint,revenue_growth,quarter,2025Q1,8,0.9819330357461107
4,W1,joint,revenue_growth,quarter,2025Q2,8,0.8808905766839982
4,W1,joint,revenue_growth,quarter,2025Q3,8,0.8764659118954372
4,W1,joint,revenue_growth,quarter,2025Q4,8,0.8708423047297914
4,W1,joint,revenue_growth,quarter,2026Q1,8,0.8827374591558288
4,W1,joint,revenue_growth,quarter,2026Q2,8,0.6916585269530079
4,W1,fixed,guide_growth,year,2024,6,0.9731590636747951
4,W1,fixed,guide_growth,year,2025,5,0.8875475832514983
4,W1,fixed,guide_growth,year,2026,7,0.7860812116065827
4,W1,fixed,guide_growth,quarter,2024Q2,8,0.9280156127445783
4,W1,fixed,guide_growth,quarter,2024Q3,8,0.9299180845421956
4,W1,fixed,guide_growth,quarter,2024Q4,8,0.8744229433041812
4,W1,fixed,guide_growth,quarter,2025Q1,8,0.8681646897762596
4,W1,fixed,guide_growth,quarter,2025Q2,8,0.8865402338292994
4,W1,fixed,guide_growth,quarter,2025Q3,8,0.9135237234722792
4,W1,fixed,guide_growth,quarter,2025Q4,8,0.8863789917887616
4,W1,fixed,guide_growth,quarter,2026Q1,8,0.8384150500675474
4,W1,fixed,guide_growth,quarter,2026Q2,8,0.8813431567545119
4,W1,fixed,revenue_growth,year,2024,6,0.7865918799280245
4,W1,fixed,revenue_growth,year,2025,5,0.8618958992398329
4,W1,fixed,revenue_growth,year,2026,7,0.6694434382062611
4,W1,fixed,revenue_growth,quarter,2024Q2,8,0.8088071310373808
4,W1,fixed,revenue_growth,quarter,2024Q3,8,0.757755972673055
4,W1,fixed,revenue_growth,quarter,2024Q4,8,0.7880291011866984
4,W1,fixed,revenue_growth,quarter,2025Q1,8,0.8560568869195899
4,W1,fixed,revenue_growth,quarter,2025Q2,8,0.7885226898510209
4,W1,fixed,revenue_growth,quarter,2025Q3,8,0.7907471861716703
4,W1,fixed,revenue_growth,quarter,2025Q4,8,0.7803094335764101
4,W1,fixed,revenue_growth,quarter,2026Q1,8,0.8687598129135673
4,W1,fixed,revenue_growth,quarter,2026Q2,8,0.6354629256867562
4,W2,joint,fixed,year,2024,6,1.2178628347764828
4,W2,joint,fixed,year,2025,5,1.139955488095417
4,W2,joint,fixed,year,2026,7,0.8487501817520976
4,W2,joint,fixed,quarter,2024Q2,8,1.129502703921193
4,W2,joint,fixed,quarter,2024Q3,8,1.1782811617714988
4,W2,joint,fixed,quarter,2024Q4,8,1.128694879900875
4,W2,joint,fixed,quarter,2025Q1,8,1.1470418038215542
4,W2,joint,fixed,quarter,2025Q2,8,1.1171404298466396
4,W2,joint,fixed,quarter,2025Q3,8,1.1084021887434925
4,W2,joint,fixed,quarter,2025Q4,8,1.1160217565721844
4,W2,joint,fixed,quarter,2026Q1,8,1.0160891952349689
4,W2,joint,fixed,quarter,2026Q2,8,1.0884325410574032
4,W2,joint,guide_growth,year,2024,6,1.1851742559754137
4,W2,joint,guide_growth,year,2025,5,1.0117647384733695
4,W2,joint,guide_growth,year,2026,7,0.6671865712229962
4,W2,joint,guide_growth,quarter,2024Q2,8,1.048196143876084
4,W2,joint,guide_growth,quarter,2024Q3,8,1.0957049610067051
4,W2,joint,guide_growth,quarter,2024Q4,8,0.9869566989752825
4,W2,joint,guide_growth,quarter,2025Q1,8,0.9958211917751408
4,W2,joint,guide_growth,quarter,2025Q2,8,0.990389937896404
4,W2,joint,guide_growth,quarter,2025Q3,8,1.012551694565779
4,W2,joint,guide_growth,quarter,2025Q4,8,0.9892182394047755
4,W2,joint,guide_growth,quarter,2026Q1,8,0.8519044734960203
4,W2,joint,guide_growth,quarter,2026Q2,8,0.9592825716498667
4,W2,joint,revenue_growth,year,2024,6,0.9579610167013066
4,W2,joint,revenue_growth,year,2025,5,0.982522960505382
4,W2,joint,revenue_growth,year,2026,7,0.5681902398503131
4,W2,joint,revenue_growth,quarter,2024Q2,8,0.9135498414574643
4,W2,joint,revenue_growth,quarter,2024Q3,8,0.8928495878204991
4,W2,joint,revenue_growth,quarter,2024Q4,8,0.889444411722315
4,W2,joint,revenue_growth,quarter,2025Q1,8,0.9819330357461107
4,W2,joint,revenue_growth,quarter,2025Q2,8,0.8808905766839982
4,W2,joint,revenue_growth,quarter,2025Q3,8,0.8764659118954372
4,W2,joint,revenue_growth,quarter,2025Q4,8,0.8708423047297914
4,W2,joint,revenue_growth,quarter,2026Q1,8,0.8827374591558288
4,W2,joint,revenue_growth,quarter,2026Q2,8,0.6916585269530079
4,W2,fixed,guide_growth,year,2024,6,0.9731590636747951
4,W2,fixed,guide_growth,year,2025,5,0.8875475832514983
4,W2,fixed,guide_growth,year,2026,7,0.7860812116065827
4,W2,fixed,guide_growth,quarter,2024Q2,8,0.9280156127445783
4,W2,fixed,guide_growth,quarter,2024Q3,8,0.9299180845421956
4,W2,fixed,guide_growth,quarter,2024Q4,8,0.8744229433041812
4,W2,fixed,guide_growth,quarter,2025Q1,8,0.8681646897762596
4,W2,fixed,guide_growth,quarter,2025Q2,8,0.8865402338292994
4,W2,fixed,guide_growth,quarter,2025Q3,8,0.9135237234722792
4,W2,fixed,guide_growth,quarter,2025Q4,8,0.8863789917887616
4,W2,fixed,guide_growth,quarter,2026Q1,8,0.8384150500675474
4,W2,fixed,guide_growth,quarter,2026Q2,8,0.8813431567545119
4,W2,fixed,revenue_growth,year,2024,6,0.7865918799280245
4,W2,fixed,revenue_growth,year,2025,5,0.8618958992398329
4,W2,fixed,revenue_growth,year,2026,7,0.6694434382062611
4,W2,fixed,revenue_growth,quarter,2024Q2,8,0.8088071310373808
4,W2,fixed,revenue_growth,quarter,2024Q3,8,0.757755972673055
4,W2,fixed,revenue_growth,quarter,2024Q4,8,0.7880291011866984
4,W2,fixed,revenue_growth,quarter,2025Q1,8,0.8560568869195899
4,W2,fixed,revenue_growth,quarter,2025Q2,8,0.7885226898510209
4,W2,fixed,revenue_growth,quarter,2025Q3,8,0.7907471861716703
4,W2,fixed,revenue_growth,quarter,2025Q4,8,0.7803094335764101
4,W2,fixed,revenue_growth,quarter,2026Q1,8,0.8687598129135673
4,W2,fixed,revenue_growth,quarter,2026Q2,8,0.6354629256867562
