row_key,Itinerary,Itinerary Description
"Ninh Binh Full Day Tour with Hoa Lu, Trang An and Mua Cave_5.0_147","Old Quarter, Hoa Lu Temples of the Dinh & le Dynasties, Tam Cốc-Bich Dộng, Trang An Grottoes, Mua Caves, Old Quarter","Old Quarter
Around 8.00, our guide will meet you at your hotel/stay and start 110km on Bus - journey through verdant landscape of country side. Short-brake en route. We will arrive Ninh Binh after around 2 hours transfer.

Hoa Lu Temples of the Dinh & le Dynasties
Visit Hoa Lu by bycyle, which was the ancient capital of Vietnam between 968 and 1010. You have a chance to learn about Vietnamese history in the feudal system under Dinh, Le and Ly Dynasty.

Tam Cốc-Bich Dộng
Enjoy Vietnamese lunch at local restaurant, surounding by nature.

Trang An Grottoes
Leave for the Trang An Grottoes, an out-standing natural beauty of majestic limestone massif at 20 square kilometer rise dramatically out from rice paddy fields. Deep into the linked chains of towering mountain are pristine places of mystical valleys, numerous fresh water ponds, and jungle.
Embark on a traditional sampan gently roweddown the exquisite river through numerous caves: Lam Cave, Vang Cave, Dai Cave, Thanh Truot Cave,...and Cao Sơn Temple, Suoi Tien Temple, Vu Lam Temple…

Mua Caves
Challenge yourself with 500 steps to Mua Cave, where you can have an amazing panoramic view of Ninh Binh into your eyes.

Old Quarter
Return to the bus to get back to Hanoi. Same as the morning, returning trip take around 2 hours. We will finish in the Old Quarter of Hanoi.
Note: The remaining time is for the round tour and time spending in sightseeing or explorations."
VIP Fast Track Immigration Tan Son Nhat Airport_4.5_10,,
BEST SELLER - Halong Bay Day Cruise from Hanoi: Buffet & Kayaking_5.0_1857,"Hanoi Opera House, Halong Bay, Hon Ga Choi Island, Sung Sot Cave, Hang Luon Cave, Ti Top Island, Halong Bay, Hanoi Opera House","Hanoi Opera House
07:45-08:40 – Hotel Pick-Up
Our English-speaking tour guide will pick up guests from various hotels in Hanoi's Old Quarter, between 07:45 AM and 08:40 AM. We strive to make pick-ups as timely as possible, but due to morning traffic in the Old Quarter and the number of hotels to collect from, this time is approximate. Please be ready to help expedite the process.

Halong Bay
11:45-12:00 – Boarding the Cruise
The bus will arrive at Tuan Chau Marina and reach our pier, where our welcoming staff will be waiting for you with a big smile. For guests who have not booked transportation from Hanoi, please be at Tuan Chau International Marina by 11:45 AM.

Hon Ga Choi Island
12:00-13:30 – Lunch on Board 
The cruise departs from Tuan Chau harbor for a joyful journey to discover the beauty of the UNESCO World Heritage site, Ha Long Bay. Along the way, you will pass by the grandeur of the legendary bay with thousands of limestone islands, including Dog Rock, Duck Rock, and especially Thumb Rock – a beautiful limestone islet rising from the sea in the shape of a giant thumb. 
Enjoy a huge buffet lunch with a variety of dishes, including seafood and Vietnamese food. Vegetarian options do available in the buffet.

Sung Sot Cave
13:30-15:00 – Explore Surprising Cave (Sung Sot Cave)
We will stop at Bo Hon Island, where our tour guide will take you to Sung Sot Cave (Surprising Cave), the largest and most beautiful cave in Ha Long Bay. After about 200 steps through the forest canopy, the entrance of the cave will appear. A paradise will unfold before you. You will explore the cave for about 45 minutes before returning to the cruise. (For tourists who cannot walk much, you can stay on the cruise and relax on the sundeck.)

Hang Luon Cave
15:00-16:00 – Kayaking Luon Cave
The cruise heads to Luon Cave. Here, you can get active with kayaking (about 30 minutes) or enjoy the beautiful scenery at Hang Luon (Creepy Cave) with a rowboat, rowed by the local people of Ha Long Bay.

Ti Top Island
16:00-17:00 – Titop Island – Titop Beach – Titop Mountain
We will stop at Titop Island. On this small island, you can climb halfway up the mountain to enjoy a breathtaking panoramic view of Ha Long Bay. The spectacular sight from above provides an unforgettable experience.
Alternatively, you can relax and enjoy swimming at Titop Beach, where the clear, refreshing waters offer the perfect opportunity to cool off.

Halong Bay
17:00 - 18:00 – Sunset Party
Enjoy complimentary wine, Vietnamese tea, and fresh fruit as the sunset begins to set, painting the sky in deep reds, purples, and yellows. Relax in Jacuzzi and take in the scenery as we sail back to the harbor.

Hanoi Opera House
18:00 – 21:00 Disembark – Bus to Hanoi
We will dock at the harbor, board the buses, and travel back to Hanoi via the high-speed highway, with a quick stop halfway before continuing the journey.
The tour guide will drop you off at the front door of your chosen hotel in the Old Quarter. 
Depending on traffic conditions, the drop-off time may take a little longer. On weekends, drop-off times are often delayed due to road closures for the Walking Street."
Da Nang International Airport PRIVATE Transfer To Da Nang/Hoi An_5.0_458,,
5-Day Ha Giang Loop and Sapa Trekking Tour_5.0_24,"Ha Giang, Du Gia","Ha Giang
06:30 AM, Luxury Limousine Bus will pick up at your hotel in Hanoi Old Quarter and departure for Ha Giang.
12:30 Arrive at our hotel in Ha Giang city, meet your tour guide and have lunch at local restaurant.
13:30 We start driving to 4C highway (happiness road) and take photo at “Km 0”, then we get out of the city and stop at the most beautiful view points on the way.
Thuan Hoa view point
Thai An view point
Duong Thuong view point
Lung Ho view point
Du Gia waterfall where you can take a bath or swim or immerse themselves in the fresh, cool water.
17:00 Check-in your homestay and free time to relax.
19:00 Dinner and overnight at homestay in Du Gia.

Du Gia
Du Gia is an unknown quiet village in Ha Giang. This place is visited almost exclusively by travelers who do the Ha Giang loop in 3 days or more. The best thing about this place is the peaceful and unspoiled beauty with its majestic natural landscape of mountains and rice paddies around it. In addition, the local people here are exceptionally hospitable and friendly."
Halong Calypso Cruise 2d1n-All Inclusive Cruise with Transfer_5.0_60,"Old Quarter, Tuan Chau Island, Lan Ha Bay, Halong Bay","Old Quarter
8:00 – 8:45 | Pick-up time at hotels around Hanoi Old Quarter, we will shortly arrive at Tuan Chau Wharf by expressway after 2.5 hours of driving.

Tuan Chau Island
11:30 – 12:00: Arrive in Tuan Chau Wharf – transfer by small boat to Our Cruises She anchors far from crowded and touristy areas in the calm water surrounded by beautiful islets. 

12:15 – 12:30 | Embark on Our Cruises Warmly welcome to Our Cruises! While enjoying the welcome drink, our cruise manager will deliver a cruise briefing and safety introduction. After that, you will check into your cabin.

Lan Ha Bay
13:00 | Enjoy fabulous lunch Fabulous lunch is served while the cruise starts her sails into magnificent Lan Ha Bay – an extension of Ha Long Wonder which is much quieter and less touristy. She will pass the famous Finger Islet, Frog Islet, and thousands of uniquely shaped limestone towers and islands.

15:00 Join a guide to explore hidden parts of the bay, the area of Dark and Bright cave where to goes through the cave, under the mountain to a lake which is formed by a Karst – well like a dragon eye inside the mountain. This is a very beautiful sight that visitors like the most. You share a sampan with other tourists with a local rower OR take a kayak on your own. Return to Calypso Cruises for changing swimming suits then join swimming time in the sea or at the swimming pool on sundeck.

Halong Bay
17h00 Enjoy happy hours with various drinks on discounts, try swimming pool and charming the bay with our handsome bartenders. Sun set can be seen from the sundeck if it is a lucky day. 
18h00 Take part in a cooking demonstration and food décor with our Chef. 
19h00 Join dinner at Calypso Cruises restaurant. 
20h30 – 22h00 Time of relaxation after a day on sundeck, leisure in room for watching films, sing karaoke in restaurant or go to tender for squid fishing with cruise staffs. Overnight in Lan Ha Bay."
Tay Ninh – Cao Dai & Ba Den Mountain + Optional Cu Chi Tunnels_5.0_460,"Ho Chi Minh City, Black Virgin Mountain, Cao Dai Temple, Tay Ninh, Cu Chi Tunnels, Ho Chi Minh City","Ho Chi Minh City
07:00 am – Pick-up from Hotel: Our guide and driver will meet you at your hotel in Ho Chi Minh City. The tour begins with a drive to the Tay Ninh, located approximately 3 hours from the city center.

Black Virgin Mountain
we will travel to Ba Den Mountain, the highest peak in southern Vietnam. Upon arrival, take a scenic cable car ride to the summit, where you’ll be rewarded with panoramic views of the countryside, rice fields, and the distant border with Cambodia. At the peak, visit the tallest bronze Buddha statue in Asia and enjoy the stunning natural surroundings.

Cao Dai Temple
we head to Cao Dai Temple, a stunning architectural site in Tay Ninh, around 2 hours from Cu Chi. The temple is the center of Caodaism, a unique religion in Vietnam that worships the “Eye of God” and combines elements of Buddhism, Christianity, Taoism, and Confucianism. You will explore the temple’s vibrant and symbolic design and learn about its beliefs and practices. You’ll also have the opportunity to witness the noon ceremony, where followers gather to pray.

Tay Ninh
Enjoy a delicious lunch at a local restaurant, offering authentic Vietnamese cuisine.

Cu Chi Tunnels
Upon arrival, explore the Cu Chi Tunnels, a 200 km network of underground tunnels that served as a base for the Viet Cong during the Vietnam War. You’ll discover secret underground rooms, including hospitals, weapon factories, and command centers. Learn about the survival tactics of the Viet Cong soldiers, and even try a sample of cassava, a staple food they ate during the war, served with tea.

Ho Chi Minh City
We will begin the journey back to Ho Chi Minh City. You will arrive around 07:00 - 07:30 pm, depending on traffic.

End of Tour.

Note: The order of the visited sites may be adjusted due to traffic conditions, weather, or the availability of space at the attractions, but all destinations will be included."
Sapa 3 Days 2 Nights Trekking Tour From Hanoi (2 Nights in Hotel)_5.0_107,"Hanoi, Sapa, Cat Cat village","Hanoi
6.00 – 6.20: Pick up from Hanoi Old Quarter, transfer to the big bus and depart to Sapa Town.

9.30: Follow the highway to Lao Cai city with the first comfort break

11.00: Second comfort break at Lao Cai city before approaching Sapa.

Sapa
13.00: Arrive Sapa Town with colorful traditional costumes of H’mong, Dzao, Tay ethnic People. And the tour guide & driver pick up you at the bus station to Hotel.
 • Welcome drink and itinerary briefing.
 • Enjoy the lunch with local Vietnamese dishes, check-in procedures.

Cat Cat village
14.30: A short drive to the gate of Cat Cat village which is home of Black H’mong ethnic people and is located near the bottom of a deep valley at the foot of Fansipan Peak. Our local guide will show you the daily life activities of the locals, trek down to the valley bottom to the waterfall where the French built a Hydraulic Power Station; stop for photo with bridge and waterfall then you will walk uphill for bus to pick up to get back to Sapa in the afternoon.

Trekking distance is about 2.5 kms and it lasts for 2 hours

17.00: Come back to Sapa Town. Have dinner and overnight in hotel with night activities.

Meals included:  Lunch, Dinner"
Cu Chi Ben Duoc Tunnels Tour (max 11 people) with Private Option_5.0_2198,Cu Chi Tunnels,"Cu Chi Tunnels
For this 7-hour tour, you can choose your own starting time when checking out with pickup from central hotels or meet at a designated meeting point. We'll explore the non-touristy Ben Duoc Tunnel of Cu Chi Tunnels where fewer visitors coming, so you can have the most personalized experience exploring Cu Chi Tunnels. After 2-hour car ride, we arrive at the tunnels where you'll have the opportunity to explore the tunnel system, which includes narrow passageways, hidden entrances, and underground chambers. Learn about the daily life of the Cu Chi guerrilla fighters and how they managed to survive in the tunnels. You can crawl distances through the tunnels. You may see kitchens, living quarters, among other things used during the war. Learn about how different types traps were created and set up. Visit the weapon rooms and learn how the soldiers made them. You can also safely try your hand at the shooting range with the war guns. After exploration, we travel back to Ho Chi Minh City."
Ho Chi Minh City Half-Day Private Tour_5.0_253,"The Independence Palace, War Remnants Museum, Notre Dame Cathedral of Saigon, Saigon Central Post Office, Ben Thanh Market, Emperor Jade Pagoda","The Independence Palace
On April 30th, 1975, what the Vietnamese refer to as the 'American War' officially ended when tank number 843 of the North Vietnamese Army crashed through the gates of what was, at the time, the residence of the President of the Republic of Vietnam

War Remnants Museum
Formerly known as the Museum of American War Crimes is a poignant display of the futility of war. Some of the black and white photography in the 'Requiem' exhibit is particularly touching and is dedicated to both foreign and Vietnamese journalists and photographers who perished during the conflict.

Notre Dame Cathedral of Saigon
(Notes: Maintenance )Notre Dam Cathedral and General Post Office were built around 1877 and 1883 respectively. These two iconic buildings are fine examples of French colonial architecture. Remarkably every stone used in the building of the Notre Dam Cathedral was shipped from France to Vietnam. The Old Post Office is also the country's largest post office,

Saigon Central Post Office
Notre Dam Cathedral and General Post Office were built around 1877 and 1883 respectively. These two iconic buildings are fine examples of French colonial architecture. Remarkably every stone used in the building of the Notre Dam Cathedral was shipped from France to Vietnam. The Old Post Office is also the country's largest post office

Ben Thanh Market
Ben Thanh Market welcomes more than 10,000 visitors per day to shop and visit. The market has nearly 1,500 booths with more than 6,000 small businesses selling wholesale and retail items from consumables to luxury goods.[1] Currency exchanges are not required by some vendors but most prefer Vietnam's currency

Emperor Jade Pagoda
Ngoc Hoang (Jade Emperor) Pagoda is famous in Ho Chi Minh City for a set of about 100 statues made from cardboard that depicts a meeting of genies with the Jade Emperor. It has now become a favorite destination of tourists. During his recent official visit to Vietnam, US President Barack Obama visited this pagoda."
Private Full Day Vung Tau City Tour from Phu My Port_5.0_5,"Bai Biển Vung Tau, White Palace, Jesus Christ Statue, Thich Ca Phat Dai, The Whale Temple Vung Tau","Bai Biển Vung Tau
Pick up at the port and depart to Vung Tau beach where you can relax and enjoy some fun under the sun.

White Palace
Bach Dinh, or the White Palace of Vung Tau City is located at 4 Tran Phu Street, on the slop of Big Mountain. Standing 50 meter above the sea level, White Palace has its French name which is La Villa Blanche.

Jesus Christ Statue
The 32 meter high Statue of Jesus that sits atop of a small mountain overlooking the sea (The Nui Nho). You can see the statue of Christ the King, one of the important symbols of Vung Tau, from all directions in the city. But the best is still climbing to the top of Little Mountain and admire the statue. Then, climb the observatory in the statue and watch the panorama of the city and the surrounding sea.

Thich Ca Phat Dai
Thich Ca Phat Dai (Platform of Shakyamuni Buddha) is a notable Theravada Buddhist temple in the coastal city of Vung Tau in southern Vietnam. It lies to the northwest of the Lon mountain and was built between 1961 and 1963 when it was opened. It is set on a plot of around five hectares, with a Zen Buddhist monastery at the foot of the plot and the Thích Ca Phật Đài at the top.

The Whale Temple Vung Tau
Lying on the right of the Thang Tam’s Holy Temple, the Whale Tomb was built at the same time as the Temple of the Five Eliments at the end of the 19th century. The Tomb presently displays a huge skeleton of a whale collected by the local fishermen over a hundred years ago."
"Hoi An Cooking Class(Local market,Basket Boat,Fishing & Cooking)_5.0_1458",Bay Mau Coconut Forest,Bay Mau Coconut Forest
