Supplied By,Trading Name,Legal Name,Website,Phone,Email,Full Address,Address Line1,Address Line2,City,State,PostCode,Country,Trade Register Name,Registration Number,Managing Director,Supplier URL,Supplier ID,Source
Yummy Guide inc.,Yummy Guide inc.,Yummy Guide inc.,,,,"2-20-13 Higashi 218, 1500011 Shibuya, Tokyo, Japan",2-20-13 Higashi 218,,Shibuya,Tokyo,1500011,Japan,,`8010501042994,HIROYUKI KOBAYASHI,https://www.getyourguide.com/yummy-guide-inc-s260474/,,GYG
"Nippon Travel Agency Co., Ltd. Inbound Division","Nippon Travel Agency Co., Ltd. Inbound Division","NIPPON TRAVEL AGENCY Co.,LTD.",,`+81353694533,artculturetour@nta.co.jp,"16-1 Kamiosuga-cho, Higashi-ku,, 7320056 Hiroshima-city, Hiroshima, Japan","16-1 Kamiosuga-cho, Higashi-ku,",,Hiroshima-city,Hiroshima,7320056,Japan,,`1010401023408,Jun Sugaya,https://www.getyourguide.com/nippon-travel-agency-co-ltd-inbound-division-s410998/,,GYG
株式会社MIRAI,株式会社MIRAI,"MIRAI Co., Ltd.",,,,"Room 503, 3-5-18 Nishitenma, Kita-ku Daisan Shinko Building Daisan Shinko Building, 530-0047 Osaka-shi, Osaka-fu, Japan","Room 503, 3-5-18 Nishitenma, Kita-ku Daisan Shinko Building Daisan Shinko Building",,Osaka-shi,Osaka-fu,530-0047,Japan,,`T2120001219609,QINGYI LI,https://www.getyourguide.com/mirai-s682888/,,GYG
Unlock Japan Tours,Unlock Japan Tours,Seiichi Kobayashi,,,,"1-10-7 Koinuma Buikding 3F, 359-0037 Tokorozawa, Kusunokidai, Japan",1-10-7 Koinuma Buikding 3F,,Tokorozawa,Kusunokidai,359-0037,Japan,,,,https://www.getyourguide.com/unlock-japan-tours-s669111/,,GYG
Sushi Making Studio ~EN~,Sushi Making Studio ~EN~,株式会社アオ心,,,,"６５６−１ 晴明町, 中京区, 604-0951 京都市, 京都府, Japan","６５６−１ 晴明町, 中京区",,京都市,京都府,604-0951,Japan,,`7130001081243,Kanta Osoegawa,https://www.getyourguide.com/sushi-making-studio-en-s771931/,,GYG
EYT Japan,EYT Japan,"FUJIMIDO CO., LTD.",,,,"1-8-4 Fujimi 601, 102-0071 Chiyoda-ku, Tokyo, Japan",1-8-4 Fujimi 601,,Chiyoda-ku,Tokyo,102-0071,Japan,,`8010001252623,MAKOTO IDEO,https://www.getyourguide.com/eyt-japan-s721977/,,GYG
YU-ZIN,YU-ZIN,SOTA TAKAYAMA,,,,"exhibition centre 267 Bulwara Rd, Ultimo NSW 2007, 2007 NSW, Japan","exhibition centre 267 Bulwara Rd, Ultimo NSW 2007",,NSW,,2007,Japan,,,,https://www.getyourguide.com/yu-zin-s702340/,,GYG
Mido tours Tokyo,Mido tours Tokyo,AHMED CHEBANI,,,,"Kabukicho Tour local, 160-0021 Shinjuku City, Tokyo, Japan",Kabukicho Tour local,,Shinjuku City,Tokyo,160-0021,Japan,,,,https://www.getyourguide.com/mido-tours-tokyo-s668252/,,GYG
和田真幸,和田真幸,真幸 和田,,,,"奥戸 9-2-20-102, 124-0022 葛飾区, 東京都, Japan",奥戸 9-2-20-102,,葛飾区,東京都,124-0022,Japan,,,,https://www.getyourguide.com/-s696254/,,GYG
GlobalTix JP,GlobalTix JP,GLOBALTIX PTE. LTD.,,`+6597653804,support@globaltix.com,"11 Bishan Street 21, #03-04, 573943 Singapore, Singapore, Singapore","11 Bishan Street 21, #03-04",,Singapore,Singapore,573943,Singapore,,`201308999H,Chee Chong Chan,https://www.getyourguide.com/globaltix-jp-s355473/,,GYG
"HANATOUR JAPAN CO.,LTD.","HANATOUR JAPAN CO.,LTD.","HANATOUR JAPAN CO.,LTD.",,,,"２丁目-３-１５ 新宿 OHASHI GYOEN BLDH.4F, 160-0022 新宿区, 東京都, Japan",２丁目-３-１５ 新宿 OHASHI GYOEN BLDH.4F,,新宿区,東京都,160-0022,Japan,,`T3010401058864,tyou kinki,https://www.getyourguide.com/hanatour-japan-coltd-s135117/,,GYG
株式会社TryHard Japan,株式会社TryHard Japan,株式会社TryHard Japan,,,,"中央区久太郎町２丁目５ー１９ トライハード ビル, 541-0056 大阪市, 大阪府, Japan",中央区久太郎町２丁目５ー１９ トライハード ビル,,大阪市,大阪府,541-0056,Japan,,`T3120001180033,楽洋 大付,https://www.getyourguide.com/tryhard-japan-s385537/,,GYG
VANTTAGE TOURS,VANTTAGE TOURS,VANTTAGE TOURS,,,,"Laddi 1, 148001 Sangrur, Punjab, India",Laddi 1,,Sangrur,Punjab,148001,India,,`UDYAM-PB-19-0070032,Manpreet Kaur,https://www.getyourguide.com/vanttage-tours-s742244/,,GYG
icp Travel,icp Travel,Izumisano City promotion Partnership,,,,"Uemachi 3-8-12, 5980007 Izumisano, Osaka, Japan",Uemachi 3-8-12,,Izumisano,Osaka,5980007,Japan,,`9120105008587,Tatsuya Inoue,https://www.getyourguide.com/icp-travel-s378375/,,GYG
Tumugi Travel - 紡ぎ旅,Tumugi Travel - 紡ぎ旅,Haruka Smyth,,,,"5-chōme-1-2 Torishima, Konohana Ward, 554-0051 大阪市此花区此花区, Osaka, Japan","5-chōme-1-2 Torishima, Konohana Ward",,大阪市此花区此花区,Osaka,554-0051,Japan,,,,https://www.getyourguide.com/tumugi-travel---s696816/,,GYG
JEUGIA Corporation,JEUGIA Corporation,JEUGIA Corporation,,,,"61 Benkeiishicho, Nakagyo Ward, 604-8082 Kyoto City, Kyoto Prefecture, Japan","61 Benkeiishicho, Nakagyo Ward",,Kyoto City,Kyoto Prefecture,604-8082,Japan,,`130001021094,Takeshi Kobayashi,https://www.getyourguide.com/jeugia-corporation-s420489/,,GYG
合同会社　澤食,合同会社　澤食,Keiko Fujita,,,,"4-320 Miyagawasuji, 605-0801 Higashiyama Kyotoshi, Kyoto, Japan",4-320 Miyagawasuji,,Higashiyama Kyotoshi,Kyoto,605-0801,Japan,,,,https://www.getyourguide.com/-s651400/,,GYG
Freni,Freni,Riho Kamakawa,,,,"1-21-20 Tokiwa Residensia Ogikuno 311, 1670043 Suginami ku Kamiogi, Tokyo, Japan",1-21-20 Tokiwa Residensia Ogikuno 311,,Suginami ku Kamiogi,Tokyo,1670043,Japan,,,,https://www.getyourguide.com/freni-s761706/,,GYG
川崎駅周辺ツアー,川崎駅周辺ツアー,Miho Ebisawa,,,,"宮本町1番地 川崎区, 210-8577 川崎市, 神奈川県, Japan",宮本町1番地 川崎区,,川崎市,神奈川県,210-8577,Japan,,,,https://www.getyourguide.com/-s702516/,,GYG
B.B.Advisors Inc. AN KYOTO,B.B.Advisors Inc. AN KYOTO,B.B.Advisors Inc.,,,,"3F, BELK Karasuma, 135, 6008104 Manjuji-cho, Shimogyo-ku, Kyoto, Kyoto, Japan","3F, BELK Karasuma, 135",,"Manjuji-cho, Shimogyo-ku, Kyoto",Kyoto,6008104,Japan,,`9130001037730,YOSHIO INOUE,https://www.getyourguide.com/bbadvisors-inc-an-kyoto-s225169/,,GYG
biid株式会社,biid株式会社,biid Corporation,,,,"１丁目-１２-ヴィルヌーブ片瀬江の島 片瀬海岸, 251-0035 藤沢市, 神奈川県, Japan",１丁目-１２-ヴィルヌーブ片瀬江の島 片瀬海岸,,藤沢市,神奈川県,251-0035,Japan,,`7021001046494,Shozo Matuo,https://www.getyourguide.com/biid-s715191/,,GYG
JLB TOURS,JLB TOURS,Jnnovations.Inc,,`+818075160326,airbnb@jnnovations.com,"1-10-8Dogenzaka,Shibuya,Tokyu Bldg 2F-C, 150-0043 Shibuya, Tokyo, Japan","1-10-8Dogenzaka,Shibuya,Tokyu Bldg 2F-C",,Shibuya,Tokyo,150-0043,Japan,,`4011001114098,Shunta Omori,https://www.getyourguide.com/jlb-tours-s241861/,,GYG
WelcomeTokyo,WelcomeTokyo,Welcome Tokyo,,`+817056811864,welcometokyo.events@gmail.com,"5-28-4 daita, 1550033 Setagaya, Tokyo, Japan",5-28-4 daita,,Setagaya,Tokyo,1550033,Japan,,`T5810897565801,Kentaroh Imagawa,https://www.getyourguide.com/welcometokyo-s463474/,,GYG
roukando,roukando,住田観光開発株式会社　滝観洞観光センター,,,,"土倉 上有住, 029-2501 住田町, 岩手県, Japan",土倉 上有住,,住田町,岩手県,029-2501,Japan,,`9402701000139,千葉 孝文,https://www.getyourguide.com/roukando-s532829/,,GYG
LEPLACE GLOBAL,LEPLACE GLOBAL,LEPLACE GLOBAL S.R.L.,,`+40760073382,office@leplace.online,"2c Barbu Delavrancea, 011354 Bucharest, Bucharest, Romania",2c Barbu Delavrancea,,Bucharest,Bucharest,11354,Romania,,`39880512,Alexandru Predescu,https://www.getyourguide.com/leplace-global-s274915/,,GYG
"Arumachi, Inc.","Arumachi, Inc.","Arumachi, Inc.",,,,"Asakusa Raiichi Bldg. 619, 2-19-17 Kaminarimon, 1110034 Taito-ku, Tokyo, Japan","Asakusa Raiichi Bldg. 619, 2-19-17 Kaminarimon",,Taito-ku,Tokyo,1110034,Japan,,`010501041401,Yoko Kanno,https://www.getyourguide.com/arumachi-inc-s125957/,,GYG
Machinovate Japan Ltd.,Machinovate Japan Ltd.,"Machinovate Co., Ltd.",,`+81262196272,snowmonkeyresorts@machinovate.com,"2159 Kurita, Nagano City, 380-0921 Nagano, Nagano, Japan","2159 Kurita, Nagano City",,Nagano,Nagano,380-0921,Japan,,`8100001026225,David Fong,https://www.getyourguide.com/machinovate-japan-ltd-s15330/,,GYG
Best Adventure Kansai,Best Adventure Kansai,文子 梅本,,,,"都島区都島南通り 1-5-26 和ハイツ２ 405号室, 5340023 大阪, 大阪, Japan",都島区都島南通り 1-5-26 和ハイツ２ 405号室,,大阪,大阪,5340023,Japan,,,,https://www.getyourguide.com/best-adventure-kansai-s434019/,,GYG
Cornwall Ltd,Cornwall Ltd,株式会社コーンウォール,,`+817041355591,yuya.cornwall@gmail.com,"4-2-19 Amuzu Motomachi Build 4F, Kitanagasa Chuou, 6500012 Kobe, Hyogo, Japan","4-2-19 Amuzu Motomachi Build 4F, Kitanagasa Chuou",,Kobe,Hyogo,6500012,Japan,,`6140001116767,Yuya Ito,https://www.getyourguide.com/cornwall-ltd-s380090/,,GYG
Smiler,Smiler,Smiler B.V.,,`+31208088522,bookings@joinsmiler.com,"Poortland 66, 1046BD Amsterdam, Netherlands",Poortland 66,,Amsterdam,,1046BD,Netherlands,,`80689078,Kasper Middelkoop,https://www.getyourguide.com/smiler-s239697/,,GYG
Pegasus International Travel INC.,Pegasus International Travel INC.,Pegasus International Travel INC.,,,,"700 Lavaca Street ste 1401, 78701 Austin, Texas, United States",700 Lavaca Street ste 1401,,Austin,Texas,78701,United States,,`920885906,summer liang,https://www.getyourguide.com/pegasus-international-travel-inc-s676823/,,GYG
City Unscripted,City Unscripted,TripConsul Ltd,,,,"International House, 64 Nile Street, N1 7SR London, United Kingdom, United Kingdom","International House, 64 Nile Street",,London,United Kingdom,N1 7SR,United Kingdom,,`09135893,Nick Whitfield,https://www.getyourguide.com/city-unscripted-s17991/,,GYG
MY Travel Consulting Inc.,MY Travel Consulting Inc.,Mytravelconsulting Inc.,,`+819046281549,guide@mytravelconsulting.co.jp,"7-19-22, Nishi-Shinjuku, 1600023 Shinjuku-ku, Tokyo, Japan","7-19-22, Nishi-Shinjuku",,Shinjuku-ku,Tokyo,1600023,Japan,,`7040001116677,Mayumi Kawana,https://www.getyourguide.com/my-travel-consulting-inc-s246319/,,GYG
OSUNA,OSUNA,Marco Huerta,,,,"Osaka-fu, Osaka-shi, Abeno-ku, Abeno suji - 4 Chome 18-4-101, 5450052 Osaka, Osaka, Japan","Osaka-fu, Osaka-shi, Abeno-ku, Abeno suji - 4 Chome 18-4-101",,Osaka,Osaka,5450052,Japan,,,,https://www.getyourguide.com/osuna-s301871/,,GYG
Tokyo Bike Bliss,Tokyo Bike Bliss,一馬 直井,,,,"藤原 7-41-1-102, 273-0047 船橋市, 千葉県, Japan",藤原 7-41-1-102,,船橋市,千葉県,273-0047,Japan,,,,https://www.getyourguide.com/tokyo-bike-bliss-s373509/,,GYG
KIMONO QUEEN,KIMONO QUEEN,KIMONO TOKYO TOSHIE LLC,,,,"6-4-7 Ginza 8th Floor IRAKA Building, 1040061 Chuo, Tokyo, Japan",6-4-7 Ginza 8th Floor IRAKA Building,,Chuo,Tokyo,1040061,Japan,,`010403021197,Toshie Takahashi,https://www.getyourguide.com/kimono-queen-s396500/,,GYG
Pinpoint Traveler,Pinpoint Traveler,"Pinpoint Traveler, Inc.",,,,"1-13-23-214 Tomobuchi-cho, 534-0016 Osaka, Osaka, Japan",1-13-23-214 Tomobuchi-cho,,Osaka,Osaka,534-0016,Japan,,`4120001194528,Kevin Boynton,https://www.getyourguide.com/pinpoint-traveler-s42262/,,GYG
Kansai Holiday,Kansai Holiday,"kawahan Co.,ltd",,`+818093672026,infor@kansaiholiday.com,"mukaino3-84-1, 5830883 Habikino, Osaka, Japan",mukaino3-84-1,,Habikino,Osaka,5830883,Japan,,`4120001183976,ding xu,https://www.getyourguide.com/kansai-holiday-s372939/,,GYG
"SAPPORO DOME Co., Ltd.","SAPPORO DOME Co., Ltd.","SAPPORO DOME Co., Ltd.",,,,"１ 羊ケ丘, 豊平区, 062-0045 札幌市, 北海道, Japan","１ 羊ケ丘, 豊平区",,札幌市,北海道,062-0045,Japan,,`4300-01-025174,Koji Abe,https://www.getyourguide.com/sapporo-dome-co-ltd-s756821/,,GYG
たびくるツアー,たびくるツアー,株式会社グローカルプロジェクト,,,,"福岡県, 810-0041 福岡市, 中央区大名2-10-3, Japan",福岡県,,福岡市,中央区大名2-10-3,810-0041,Japan,,`5290001073854,yasunobu kawasaki,https://www.getyourguide.com/-s389730/,,GYG
Ebisuza,Ebisuza,修司 塩路,,,,"1-3-13 Ebishuhigashi Naniwa ward,, 5560002 Osaka City, Japan","1-3-13 Ebishuhigashi Naniwa ward,",,Osaka City,,5560002,Japan,,,,https://www.getyourguide.com/ebisuza-s433952/,,GYG
Japanticket Inc.,Japanticket Inc.,ｶ)ｼﾞﾔﾊﾟﾝﾁｹﾂﾄ,,,,"Mitomishinkan 1F, 1-20-18 Ebisu, 150-0013 Shibuya, Tokyo, Japan","Mitomishinkan 1F, 1-20-18 Ebisu",,Shibuya,Tokyo,150-0013,Japan,,`011001143729,Hiroaki Tanaka,https://www.getyourguide.com/japanticket-inc-s253693/,,GYG
DMC高野山,DMC高野山,"DMC Koyasan Co., Ltd",,,,"７９９ 高野山, 648-0211 高野町, 和歌山県, Japan",７９９ 高野山,,高野町,和歌山県,648-0211,Japan,,`8120101062556,Hirosuke Ohtahara,https://www.getyourguide.com/dmc-s647877/,,GYG
株式会社ヤマハミュージックエンタテインメントホールディングス,株式会社ヤマハミュージックエンタテインメントホールディングス,"YAMAHA MUSIC ENTERTAINMENT HOLDINGS,INC.",,,,"５丁目-１-横浜シンフォステージ みなとみらい, 西区 7F, 220-0012 横浜市, 神奈川県, Japan","５丁目-１-横浜シンフォステージ みなとみらい, 西区 7F",,横浜市,神奈川県,220-0012,Japan,,`0110-01-052434,Yuji Matsuoka,https://www.getyourguide.com/-s773435/,,GYG
Miyako Tours,Miyako Tours,Karim Dominique,,,,"Zaimokucho, Shimogyo Ward, 600-8440 Kyoto, Kyoto, Japan","Zaimokucho, Shimogyo Ward",,Kyoto,Kyoto,600-8440,Japan,,,,https://www.getyourguide.com/miyako-tours-s698455/,,GYG
"Tenmanya Travel Co., Ltd.","Tenmanya Travel Co., Ltd.","Tenmanya Travel Co., Ltd.",,,,"Omotecho 2-68, 700-0822 Okayama, Okayama, Japan",Omotecho 2-68,,Okayama,Okayama,700-0822,Japan,,`2260001004559,kurokawa takuya,https://www.getyourguide.com/tenmanya-travel-co-ltd-s475111/,,GYG
一般社団法人日本スポーツチャンバラ学生連盟,一般社団法人日本スポーツチャンバラ学生連盟,Kouhei iwao,,,,"１丁目-１１-渋谷１１１ビル 渋谷 7F, 150-0002 渋谷区, 東京都, Japan",１丁目-１１-渋谷１１１ビル 渋谷 7F,,渋谷区,東京都,150-0002,Japan,,,,https://www.getyourguide.com/-s685054/,,GYG
Tokyo local tours,Tokyo local tours,Aki Tanaka,,,,"３丁目-９-９ 西葛西, 134-0088 江戸川区, 東京都, Japan",３丁目-９-９ 西葛西,,江戸川区,東京都,134-0088,Japan,,,,https://www.getyourguide.com/tokyo-local-tours-s737094/,,GYG
Happy Plus Corporation,Happy Plus Corporation,HappyPlusCorporation,,`+819050015961,yamakoshi@happy-plus.co.jp,"22 Kamininomachi, 5060845 Takayama, Gifu, Japan",22 Kamininomachi,,Takayama,Gifu,5060845,Japan,,`6200001036182,Yoichiro Yamakoshi,https://www.getyourguide.com/happy-plus-corporation-s193721/,,GYG
株式会社景日,株式会社景日,kabushikigaisya keijitsu,,,,"10-6 Nangokamiyamacho, 520-0871 Otsu, Shiga, Japan",10-6 Nangokamiyamacho,,Otsu,Shiga,520-0871,Japan,,`4160001026966,ou meikaku,https://www.getyourguide.com/-s770897/,,GYG
"DeepExperience, Inc.","DeepExperience, Inc.","DeepExperience, Inc.",,`+815054974429,ue.experience@gmail.com,"Kita-Ku, Nakazaki-Cho, 2-1-4, 7F, 530-0016 Osaka, Osaka Prefecture, Japan","Kita-Ku, Nakazaki-Cho, 2-1-4, 7F",,Osaka,Osaka Prefecture,530-0016,Japan,,`7120001242713,Hiroya Sakagami,https://www.getyourguide.com/deepexperience-inc-s220006/,,GYG
Japandas,Japandas,Japandas LLC,,`+818075816440,japandasceo@gmail.com,"18-UR都市機構シティコート寝屋川 Higashiōtoshichō 101, 572-0042 Neyagawa, Osaka, Japan",18-UR都市機構シティコート寝屋川 Higashiōtoshichō 101,,Neyagawa,Osaka,572-0042,Japan,,`5120003026570,David sosa,https://www.getyourguide.com/japandas-s612090/,,GYG
OUTISE,OUTISE,ＪＵＮ ＮＡＭＰＥＩ,,,,"５３４−２ 通町, 516-0012 伊勢市, 三重県, Japan",５３４−２ 通町,,伊勢市,三重県,516-0012,Japan,,,,https://www.getyourguide.com/outise-s740650/,,GYG
Izakaya Washiya,Izakaya Washiya,Izakaya Washiya,,,,"１７５４−１５ 甘木, 838-0068 朝倉市, 福岡県, Japan",１７５４−１５ 甘木,,朝倉市,福岡県,838-0068,Japan,,`3010001061111,Kaori Uryu,https://www.getyourguide.com/izakaya-washiya-s697483/,,GYG
Road Bike Rental Japan,Road Bike Rental Japan,Road Bike Rental Japan LLC,,`+815017228801,info@roadbikerentaljapan.com,"5-2-5 Nakanocho, Miyakojima-ku, 534-0027 Osaka, Osaka, Japan","5-2-5 Nakanocho, Miyakojima-ku",,Osaka,Osaka,534-0027,Japan,,`7120003023129,Gareth McCready,https://www.getyourguide.com/road-bike-rental-japan-s227792/,,GYG
Takashima Travel,Takashima Travel,LYS Ltd.,,,,"1028 Nishimaki, Adogawa-cho, 520-1212 Takashima, Shiga, Japan","1028 Nishimaki, Adogawa-cho",,Takashima,Shiga,520-1212,Japan,,`4160001022692,Koichiro Okuzawa,https://www.getyourguide.com/takashima-travel-s420578/,,GYG
USHI,USHI,Kazuki Ushimizu,,,,"プルミエ3 202, 331-0047 さいたま市, Japan",プルミエ3 202,,さいたま市,,331-0047,Japan,,,,https://www.getyourguide.com/ushi-s676338/,,GYG
Sushi Junkie Tokyo!,Sushi Junkie Tokyo!,泰斗 古澤,,,,"玉堤２−７−１２ プレミール東京園201, 158-0087 世田谷区, 東京都, Japan",玉堤２−７−１２ プレミール東京園201,,世田谷区,東京都,158-0087,Japan,,,,https://www.getyourguide.com/sushi-junkie-tokyo-s605767/,,GYG
Kuri-board,Kuri-board,KRB LLC,,,,"Noda1297, 3501111 Kawagoe, Japan",Noda1297,,Kawagoe,,3501111,Japan,,`030003027050,Kurita Toru,https://www.getyourguide.com/kuri-board-s713059/,,GYG
Japanese Cultural Experience Kamakura,Japanese Cultural Experience Kamakura,Ichirindou inc.,,`+819058248789,info@kamakura-experience.jp,"４２２−６ 常盤 フォルム鎌倉常盤２１３号, 248-0022 鎌倉市, 神奈川県, Japan",４２２−６ 常盤 フォルム鎌倉常盤２１３号,,鎌倉市,神奈川県,248-0022,Japan,,`9021001050668,Mayumi Inagaki,https://www.getyourguide.com/japanese-cultural-experience-kamakura-s621469/,,GYG
"Bond Co., Ltd","Bond Co., Ltd","Jacalize Co., Ltd",,,,"283-502 Horidashi-cho, Kamigyo Ward, Kyoto City, 6020931 Kyoto, Japan","283-502 Horidashi-cho, Kamigyo Ward, Kyoto City",,Kyoto,,6020931,Japan,,`5130003009814,Toshiki Sawai,https://www.getyourguide.com/bond-co-ltd-s460411/,,GYG
YUCa's Japanese Cooking,YUCa's Japanese Cooking,Nagomi Inc.,,,,"西尾久２丁目-３４-８ 2-34-8, 116-0011 荒川区, 東京都, Japan",西尾久２丁目-３４-８ 2-34-8,,荒川区,東京都,116-0011,Japan,,`‭3011501031240‬,Yuka Togami,https://www.getyourguide.com/yucas-japanese-cooking-s639028/,,GYG
株式会社var,株式会社var,株式会社var,,,,"日本、東京都品川区荏原3丁目1-35 カームハイツ 301号, 142-0063 品川区, 東京都, Japan",日本、東京都品川区荏原3丁目1-35 カームハイツ 301号,,品川区,東京都,142-0063,Japan,,`4011001136984,栄識 古里,https://www.getyourguide.com/var-s753466/,,GYG
"AKITA Geo Tour Co., Ltd.","AKITA Geo Tour Co., Ltd.",株式会社AKITA Geo Tour,,`+819041851785,contact@akitageotour.com,"3-5, Kitaaramachi, 0120825 Yuzawa, Akita, Japan","3-5, Kitaaramachi",,Yuzawa,Akita,120825,Japan,,`9410001013703,Takeshi ITO,https://www.getyourguide.com/akita-geo-tour-co-ltd-s312566/,,GYG
PEGASUS  TRAVEL & CULTURE INC,PEGASUS  TRAVEL & CULTURE INC,PEGASUS  TRAVEL & CULTURE INC,,,,"16192 Coastal Highway, 19958 Lewes, Delaware, United States",16192 Coastal Highway,,Lewes,Delaware,19958,United States,,`412850777,WU SHENGNAN,https://www.getyourguide.com/pegasus--travel--culture-inc-s757326/,,GYG
LION TRAVEL JAPAN Co. Ltd.,LION TRAVEL JAPAN Co. Ltd.,"LION TRAVEL JAPAN Co., Ltd.",,`+817044258813,ichiharakoki@liontravel.com,"1-7-1, Nishishimbashi, Toranomon central Bld.7F,, 105-0003 Minato Ku,, Tokyo To,, Japan","1-7-1, Nishishimbashi, Toranomon central Bld.7F,",,"Minato Ku,","Tokyo To,",105-0003,Japan,,`3011101054360,Kenit Lin,https://www.getyourguide.com/lion-travel-japan-co-ltd-s591425/,,GYG
MagicalTrip,MagicalTrip,MagicalTrip Inc.,,`+815018093996,support@magical-trip.com,"1-4-10 Yaesu, Chuo-ku 12F, 103-0028 Tokyo, Tokyo, Japan","1-4-10 Yaesu, Chuo-ku 12F",,Tokyo,Tokyo,103-0028,Japan,,`8010001203254,Ryosuke Iwase,https://www.getyourguide.com/magicaltrip-s58515/,,GYG
Wander With Me,Wander With Me,Keinan Suzuki,,,,"３丁目-２２-ライオンズマンション三鷹第6 下連雀 Room 602, 181-0013 三鷹市, 東京都, Japan",３丁目-２２-ライオンズマンション三鷹第6 下連雀 Room 602,,三鷹市,東京都,181-0013,Japan,,,,https://www.getyourguide.com/wander-with-me-s758137/,,GYG
Tomo Tours,Tomo Tours,PUSHPINDER KUMAR,,,,"2-20-22 203, 3230820 Oyama shi, Tochigi ken, Japan",2-20-22 203,,Oyama shi,Tochigi ken,3230820,Japan,,,,https://www.getyourguide.com/tomo-tours-s749617/,,GYG
Zanzibar Heritage & Natural Beauty Tours and Safaris,Zanzibar Heritage & Natural Beauty Tours and Safaris,Rehema Machano,,,,"Shangani Street, 71100 Zanzibar, Mjini Magharibi Region, Tanzania",Shangani Street,,Zanzibar,Mjini Magharibi Region,71100,Tanzania,,,,https://www.getyourguide.com/zanzibar-heritage--natural-beauty-tours-and-safaris-s740125/,,GYG
