variant,window,strategy,subset,side,horizon,n,mean_pct,bootstrap90_lo,bootstrap90_hi
default,W1,zero,all,negative,20,0,,,
default,W1,zero,all,negative,60,0,,,
default,W1,zero,all,direction_adjusted,1,14,0.0,0.0,0.0
default,W1,zero,all,direction_adjusted,5,14,0.0,0.0,0.0
default,W1,zero,all,direction_adjusted,20,14,0.0,0.0,0.0
default,W1,zero,all,direction_adjusted,60,14,0.0,0.0,0.0
default,W1,zero,abs_signal_gt1,positive,1,0,,,
default,W1,zero,abs_signal_gt1,positive,5,0,,,
default,W1,zero,abs_signal_gt1,positive,20,0,,,
default,W1,zero,abs_signal_gt1,positive,60,0,,,
default,W1,zero,abs_signal_gt1,negative,1,0,,,
default,W1,zero,abs_signal_gt1,negative,5,0,,,
default,W1,zero,abs_signal_gt1,negative,20,0,,,
default,W1,zero,abs_signal_gt1,negative,60,0,,,
default,W1,zero,abs_signal_gt1,direction_adjusted,1,8,0.0,0.0,0.0
default,W1,zero,abs_signal_gt1,direction_adjusted,5,8,0.0,0.0,0.0
default,W1,zero,abs_signal_gt1,direction_adjusted,20,8,0.0,0.0,0.0
default,W1,zero,abs_signal_gt1,direction_adjusted,60,8,0.0,0.0,0.0
default,W1,previous_surprise_sign,all,positive,1,6,-1.7927351827095148,-3.3220395799652063,0.5549939313212459
default,W1,previous_surprise_sign,all,positive,5,6,-4.211756429458659,-5.608047581977131,-2.8154652769401878
default,W1,previous_surprise_sign,all,positive,20,6,-2.9547699858949286,-4.117760491415764,-1.8531386887367864
default,W1,previous_surprise_sign,all,positive,60,6,-0.303972598360226,-5.573553830276263,5.094640061674153
default,W1,previous_surprise_sign,all,negative,1,7,1.9437643038699914,1.3801082269287384,2.447173827920108
default,W1,previous_surprise_sign,all,negative,5,7,0.5684194866078739,-0.9768906543530832,2.139707582456134
default,W1,previous_surprise_sign,all,negative,20,7,-2.3062134320799097,-6.1933325348746155,2.2781399584408235
default,W1,previous_surprise_sign,all,negative,60,7,-5.944763292101626,-11.620159129725822,-0.2418848073999997
default,W1,previous_surprise_sign,all,direction_adjusted,1,13,-1.8740585556420792,-2.726799069518851,-0.9610757932276167
default,W1,previous_surprise_sign,all,direction_adjusted,5,13,-2.249959614077467,-3.4439728084646415,-0.8298909436119067
default,W1,previous_surprise_sign,all,direction_adjusted,20,13,-0.12193276083155394,-3.110668358591654,2.574679591052973
default,W1,previous_surprise_sign,all,direction_adjusted,60,13,3.0607313426576943,-1.9653701011328635,8.080777540123314
default,W1,previous_surprise_sign,abs_signal_gt1,positive,1,4,-3.408118660890053,-5.080014726252196,-1.7362225955279085
default,W1,previous_surprise_sign,abs_signal_gt1,positive,5,4,-4.2225893768640885,-6.58813571658507,-1.857043037143108
default,W1,previous_surprise_sign,abs_signal_gt1,positive,20,4,-2.8119044712858114,-4.2379112524300435,-1.3858976901415798
default,W1,previous_surprise_sign,abs_signal_gt1,positive,60,4,-0.311092169525758,-5.355494040734614,4.733309701683098
default,W1,previous_surprise_sign,abs_signal_gt1,negative,1,3,1.850528583966667,1.1761056412760373,2.5249515266572966
default,W1,previous_surprise_sign,abs_signal_gt1,negative,5,3,0.539945981311496,-2.731647614435832,3.8115395770588236
default,W1,previous_surprise_sign,abs_signal_gt1,negative,20,3,-0.4493541635275899,-7.935943367347733,7.037235040292553
default,W1,previous_surprise_sign,abs_signal_gt1,negative,60,3,-5.049990984366647,-7.799476014652842,-2.3005059540804518
default,W1,previous_surprise_sign,abs_signal_gt1,direction_adjusted,1,7,-2.7405800564943164,-3.6162320911645716,-1.7754241706264828
default,W1,previous_surprise_sign,abs_signal_gt1,direction_adjusted,5,7,-2.6443136359129773,-5.027993576800343,-0.26460714536808666
default,W1,previous_surprise_sign,abs_signal_gt1,direction_adjusted,20,7,-1.4142221992229251,-4.5070264199802255,2.397816204259698
default,W1,previous_surprise_sign,abs_signal_gt1,direction_adjusted,60,7,1.98651489642813,-1.8497220373149947,5.444622220318453
default,W2,kernel,all,positive,1,6,-0.7746062791877487,-2.5250263243617326,0.7806099131031696
default,W2,kernel,all,positive,5,6,-2.594579412087779,-4.131841583937729,-1.0498452985769051
default,W2,kernel,all,positive,20,6,-2.1604363663909663,-6.054691078029692,1.7338183452477587
default,W2,kernel,all,positive,60,6,-5.090591362811886,-8.899892126765458,-0.6297666073444633
default,W2,kernel,all,negative,1,3,0.9466240635501499,-0.1278698042250189,2.021117931325319
default,W2,kernel,all,negative,5,3,2.240742703557038,1.1599400208850492,3.321545386229026
default,W2,kernel,all,negative,20,3,0.800959604374459,-0.6895082744198552,2.291427483168773
default,W2,kernel,all,negative,60,3,-4.313923758491555,-4.711950556418605,-3.9158969605645044
default,W2,kernel,all,direction_adjusted,1,9,-0.8319455406418824,-2.0607965048821497,0.2913944260277616
default,W2,kernel,all,direction_adjusted,5,9,-2.4766338425775323,-3.5882204893089185,-1.3750022109102749
default,W2,kernel,all,direction_adjusted,20,9,-1.7072774457187974,-4.03694415283503,0.7926557324756193
default,W2,kernel,all,direction_adjusted,60,9,-1.955752989044072,-4.922408554141157,1.0513773596603486
default,W2,kernel,abs_signal_gt1,positive,1,5,-0.9595784146303975,-3.118046141333526,1.0579734399298468
default,W2,kernel,abs_signal_gt1,positive,5,5,-2.4334185794261876,-4.278133185646127,-0.5887039732062482
default,W2,kernel,abs_signal_gt1,positive,20,5,-1.6006047825263827,-6.033564761812956,2.832355196760191
default,W2,kernel,abs_signal_gt1,positive,60,5,-3.429491744192698,-6.434105513039421,-0.32008761183138307
default,W2,kernel,abs_signal_gt1,negative,1,2,1.3527738807803669,1.3527738807803669,1.3527738807803669
default,W2,kernel,abs_signal_gt1,negative,5,2,2.38740480509827,2.38740480509827,2.38740480509827
default,W2,kernel,abs_signal_gt1,negative,20,2,-0.559798102208886,-0.559798102208886,-0.559798102208886
default,W2,kernel,abs_signal_gt1,negative,60,2,-4.19013852445813,-4.19013852445813,-4.19013852445813
default,W2,kernel,abs_signal_gt1,direction_adjusted,1,7,-1.0719199763875316,-2.766500621122218,0.5909600028091789
default,W2,kernel,abs_signal_gt1,direction_adjusted,5,7,-2.420271786761068,-3.9785123442916848,-0.6394173468874023
default,W2,kernel,abs_signal_gt1,direction_adjusted,20,7,-0.9833468154591628,-4.22884688816745,2.452962911217522
default,W2,kernel,abs_signal_gt1,direction_adjusted,60,7,-1.2524545245781755,-3.9090060513398712,1.1063852992426453
default,W2,guide_gap_only,all,positive,1,5,-1.2618785718295844,-3.1940924735240572,0.7314849961463921
default,W2,guide_gap_only,all,positive,5,5,-0.8827004877041265,-2.7790278898315117,1.2270771563387028
default,W2,guide_gap_only,all,positive,20,5,1.4676064726285691,-1.9194848775816564,4.913691365844306
default,W2,guide_gap_only,all,positive,60,5,-2.3612576178652818,-5.196694077899371,0.6560771030018046
default,W2,guide_gap_only,all,negative,1,4,1.1254068436679698,-0.054356261428445435,2.305169948764385
default,W2,guide_gap_only,all,negative,5,4,-1.107936480833732,-2.519985588522722,0.3041126268552574
default,W2,guide_gap_only,all,negative,20,4,-4.474442937091316,-6.383754938537701,-2.5651309356449326
default,W2,guide_gap_only,all,negative,60,4,-7.919757840754892,-9.091634088628265,-6.7478815928815195
default,W2,guide_gap_only,all,direction_adjusted,1,9,-1.2012244704244222,-2.3272415511885836,-0.11746935485353045
default,W2,guide_gap_only,all,direction_adjusted,5,9,0.002027053868254944,-1.6597486356369753,1.725072522845202
default,W2,guide_gap_only,all,direction_adjusted,20,9,2.8039782346120123,0.2821828450304925,5.411941113082906
default,W2,guide_gap_only,all,direction_adjusted,60,9,2.2080825859659066,-1.5688184054462235,6.012611593018756
default,W2,guide_gap_only,abs_signal_gt1,positive,1,4,-1.6109293220594096,-4.10263378202938,0.8807751379105611
default,W2,guide_gap_only,abs_signal_gt1,positive,5,4,-1.5902302347488018,-3.166553393298943,-0.013907076198660384
default,W2,guide_gap_only,abs_signal_gt1,positive,20,4,0.953889336400424,-1.53338154765536,3.441160220456208
default,W2,guide_gap_only,abs_signal_gt1,positive,60,4,-1.8111984656920013,-5.355494040734614,1.7330971093506122
default,W2,guide_gap_only,abs_signal_gt1,negative,1,3,1.4504576588821279,0.3759637911069591,2.5249515266572966
default,W2,guide_gap_only,abs_signal_gt1,negative,5,3,-0.34378744931306365,-3.6153810450603916,2.927806146434264
default,W2,guide_gap_only,abs_signal_gt1,negative,20,3,-4.312725820883793,-8.195363711769671,-0.43008792999791695
default,W2,guide_gap_only,abs_signal_gt1,negative,60,3,-6.094313969037249,-8.197502812579893,-3.991125125494605
default,W2,guide_gap_only,abs_signal_gt1,direction_adjusted,1,7,-1.5421557521262892,-3.0198612015144595,0.036066585015711056
default,W2,guide_gap_only,abs_signal_gt1,direction_adjusted,5,7,-0.7613655130080021,-2.7602367524301457,1.2594381352208563
default,W2,guide_gap_only,abs_signal_gt1,direction_adjusted,20,7,2.3933906868932966,-0.6211299771294847,5.5151729463792005
default,W2,guide_gap_only,abs_signal_gt1,direction_adjusted,60,7,1.576878292049106,-2.0769202263606643,5.2055685293367375
default,W2,zero,all,positive,1,0,,,
default,W2,zero,all,positive,5,0,,,
default,W2,zero,all,positive,20,0,,,
default,W2,zero,all,positive,60,0,,,
default,W2,zero,all,negative,1,0,,,
default,W2,zero,all,negative,5,0,,,
default,W2,zero,all,negative,20,0,,,
default,W2,zero,all,negative,60,0,,,
default,W2,zero,all,direction_adjusted,1,10,0.0,0.0,0.0
default,W2,zero,all,direction_adjusted,5,10,0.0,0.0,0.0
default,W2,zero,all,direction_adjusted,20,10,0.0,0.0,0.0
default,W2,zero,all,direction_adjusted,60,10,0.0,0.0,0.0
default,W2,zero,abs_signal_gt1,positive,1,0,,,
default,W2,zero,abs_signal_gt1,positive,5,0,,,
default,W2,zero,abs_signal_gt1,positive,20,0,,,
default,W2,zero,abs_signal_gt1,positive,60,0,,,
default,W2,zero,abs_signal_gt1,negative,1,0,,,
default,W2,zero,abs_signal_gt1,negative,5,0,,,
default,W2,zero,abs_signal_gt1,negative,20,0,,,
default,W2,zero,abs_signal_gt1,negative,60,0,,,
default,W2,zero,abs_signal_gt1,direction_adjusted,1,7,0.0,0.0,0.0
default,W2,zero,abs_signal_gt1,direction_adjusted,5,7,0.0,0.0,0.0
default,W2,zero,abs_signal_gt1,direction_adjusted,20,7,0.0,0.0,0.0
default,W2,zero,abs_signal_gt1,direction_adjusted,60,7,0.0,0.0,0.0
default,W2,previous_surprise_sign,all,positive,1,4,-1.8086771861458433,-4.10263378202938,0.48527940973769335
default,W2,previous_surprise_sign,all,positive,5,4,-3.2946763968387276,-4.732309756534347,-1.857043037143108
default,W2,previous_surprise_sign,all,positive,20,4,-2.946305823334752,-4.506713956527925,-1.3858976901415798
default,W2,previous_surprise_sign,all,positive,60,4,-4.746668387834732,-6.8402304308043,-2.6531063448651633
default,W2,previous_surprise_sign,all,negative,1,5,1.7635532147276998,1.0231310498730029,2.470507137541264
default,W2,previous_surprise_sign,all,negative,5,5,0.7860304185386302,-1.4938303093478633,2.9476495951966664
default,W2,previous_surprise_sign,all,negative,20,5,0.2951003545845364,-5.0411303220229176,5.6313310311919915
default,W2,previous_surprise_sign,all,negative,60,5,-1.8974433694672619,-5.922826407570765,2.5157173806823736
default,W2,previous_surprise_sign,all,direction_adjusted,1,9,-1.7836083131357638,-2.6574189980799123,-0.9467734548443667
default,W2,previous_surprise_sign,all,direction_adjusted,5,9,-1.9009841866720067,-3.445306356921712,-0.07912281018347277
default,W2,previous_surprise_sign,all,direction_adjusted,20,9,-1.473413896251299,-4.762769577732521,2.1203368485818044
default,W2,previous_surprise_sign,all,direction_adjusted,60,9,-1.0554951893336242,-5.375184054074752,3.1538851552881364
default,W2,previous_surprise_sign,abs_signal_gt1,positive,1,3,-2.4616543808696227,-4.166005725521489,-0.7573030362177566
default,W2,previous_surprise_sign,abs_signal_gt1,positive,5,3,-3.2594406706530576,-5.1912290335690665,-1.3276523077370483
default,W2,previous_surprise_sign,abs_signal_gt1,positive,20,3,-2.275209669208374,-3.955511055666109,-0.5949082827506391
default,W2,previous_surprise_sign,abs_signal_gt1,positive,60,3,-1.863528031810368,-7.04586825241256,3.318812188791824
default,W2,previous_surprise_sign,abs_signal_gt1,negative,1,3,1.850528583966667,1.1761056412760373,2.5249515266572966
default,W2,previous_surprise_sign,abs_signal_gt1,negative,5,3,0.539945981311496,-2.731647614435832,3.8115395770588236
default,W2,previous_surprise_sign,abs_signal_gt1,negative,20,3,-0.4493541635275899,-7.935943367347733,7.037235040292553
default,W2,previous_surprise_sign,abs_signal_gt1,negative,60,3,-5.049990984366647,-7.799476014652842,-2.3005059540804518
default,W2,previous_surprise_sign,abs_signal_gt1,direction_adjusted,1,6,-2.156091482418145,-3.3138300531955562,-0.8087037938952416
default,W2,previous_surprise_sign,abs_signal_gt1,direction_adjusted,5,6,-1.8996933259822768,-4.064880853262,0.0787079899858379
default,W2,previous_surprise_sign,abs_signal_gt1,direction_adjusted,20,6,-0.9129277528403921,-5.360305890236787,3.398383226813458
default,W2,previous_surprise_sign,abs_signal_gt1,direction_adjusted,60,6,1.5932314762781399,-2.441227068260572,5.627690020816851
default,extension,kernel,all,positive,1,0,,,
default,extension,kernel,all,positive,5,0,,,
default,extension,kernel,all,positive,20,0,,,
default,extension,kernel,all,positive,60,0,,,
default,extension,kernel,all,negative,1,0,,,
default,extension,kernel,all,negative,5,0,,,
default,extension,kernel,all,negative,20,0,,,
default,extension,kernel,all,negative,60,0,,,
default,extension,kernel,all,direction_adjusted,1,0,,,
default,extension,kernel,all,direction_adjusted,5,0,,,
default,extension,kernel,all,direction_adjusted,20,0,,,
default,extension,kernel,all,direction_adjusted,60,0,,,
default,extension,kernel,abs_signal_gt1,positive,1,0,,,
default,extension,kernel,abs_signal_gt1,positive,5,0,,,
default,extension,kernel,abs_signal_gt1,positive,20,0,,,
default,extension,kernel,abs_signal_gt1,positive,60,0,,,
default,extension,kernel,abs_signal_gt1,negative,1,0,,,
default,extension,kernel,abs_signal_gt1,negative,5,0,,,
default,extension,kernel,abs_signal_gt1,negative,20,0,,,
default,extension,kernel,abs_signal_gt1,negative,60,0,,,
default,extension,kernel,abs_signal_gt1,direction_adjusted,1,0,,,
default,extension,kernel,abs_signal_gt1,direction_adjusted,5,0,,,
default,extension,kernel,abs_signal_gt1,direction_adjusted,20,0,,,
default,extension,kernel,abs_signal_gt1,direction_adjusted,60,0,,,
default,extension,guide_gap_only,all,positive,1,1,4.11436157138223,4.11436157138223,4.11436157138223
default,extension,guide_gap_only,all,positive,5,1,5.416772062076669,5.416772062076669,5.416772062076669
default,extension,guide_gap_only,all,positive,20,1,8.76111966277574,8.76111966277574,8.76111966277574
default,extension,guide_gap_only,all,positive,60,1,18.607927406417232,18.607927406417232,18.607927406417232
default,extension,guide_gap_only,all,negative,1,1,-4.605604767859774,-4.605604767859774,-4.605604767859774
default,extension,guide_gap_only,all,negative,5,1,-1.6345409241550923,-1.6345409241550923,-1.6345409241550923
default,extension,guide_gap_only,all,negative,20,1,-7.137323703791177,-7.137323703791177,-7.137323703791177
default,extension,guide_gap_only,all,negative,60,1,1.1368484607032323,1.1368484607032323,1.1368484607032323
default,extension,guide_gap_only,all,direction_adjusted,1,2,4.359983169621001,4.359983169621001,4.359983169621001
default,extension,guide_gap_only,all,direction_adjusted,5,2,3.5256564931158807,3.5256564931158807,3.5256564931158807
default,extension,guide_gap_only,all,direction_adjusted,20,2,7.949221683283459,7.949221683283459,7.949221683283459
default,extension,guide_gap_only,all,direction_adjusted,60,2,8.735539472857,8.735539472857,8.735539472857
default,extension,guide_gap_only,abs_signal_gt1,positive,1,0,,,
default,extension,guide_gap_only,abs_signal_gt1,positive,5,0,,,
default,extension,guide_gap_only,abs_signal_gt1,positive,20,0,,,
default,extension,guide_gap_only,abs_signal_gt1,positive,60,0,,,
default,extension,guide_gap_only,abs_signal_gt1,negative,1,0,,,
default,extension,guide_gap_only,abs_signal_gt1,negative,5,0,,,
default,extension,guide_gap_only,abs_signal_gt1,negative,20,0,,,
default,extension,guide_gap_only,abs_signal_gt1,negative,60,0,,,
default,extension,guide_gap_only,abs_signal_gt1,direction_adjusted,1,0,,,
default,extension,guide_gap_only,abs_signal_gt1,direction_adjusted,5,0,,,
default,extension,guide_gap_only,abs_signal_gt1,direction_adjusted,20,0,,,
default,extension,guide_gap_only,abs_signal_gt1,direction_adjusted,60,0,,,
default,extension,zero,all,positive,1,0,,,
default,extension,zero,all,positive,5,0,,,
default,extension,zero,all,positive,20,0,,,
default,extension,zero,all,positive,60,0,,,
default,extension,zero,all,negative,1,0,,,
default,extension,zero,all,negative,5,0,,,
default,extension,zero,all,negative,20,0,,,
default,extension,zero,all,negative,60,0,,,
default,extension,zero,all,direction_adjusted,1,5,0.0,0.0,0.0
default,extension,zero,all,direction_adjusted,5,5,0.0,0.0,0.0
default,extension,zero,all,direction_adjusted,20,5,0.0,0.0,0.0
default,extension,zero,all,direction_adjusted,60,5,0.0,0.0,0.0
default,extension,zero,abs_signal_gt1,positive,1,0,,,
default,extension,zero,abs_signal_gt1,positive,5,0,,,
default,extension,zero,abs_signal_gt1,positive,20,0,,,
default,extension,zero,abs_signal_gt1,positive,60,0,,,
default,extension,zero,abs_signal_gt1,negative,1,0,,,
default,extension,zero,abs_signal_gt1,negative,5,0,,,
default,extension,zero,abs_signal_gt1,negative,20,0,,,
default,extension,zero,abs_signal_gt1,negative,60,0,,,
default,extension,zero,abs_signal_gt1,direction_adjusted,1,0,,,
default,extension,zero,abs_signal_gt1,direction_adjusted,5,0,,,
default,extension,zero,abs_signal_gt1,direction_adjusted,20,0,,,
default,extension,zero,abs_signal_gt1,direction_adjusted,60,0,,,
default,extension,previous_surprise_sign,all,positive,1,1,-4.605604767859774,-4.605604767859774,-4.605604767859774
default,extension,previous_surprise_sign,all,positive,5,1,-1.6345409241550923,-1.6345409241550923,-1.6345409241550923
default,extension,previous_surprise_sign,all,positive,20,1,-7.137323703791177,-7.137323703791177,-7.137323703791177
default,extension,previous_surprise_sign,all,positive,60,1,1.1368484607032323,1.1368484607032323,1.1368484607032323
default,extension,previous_surprise_sign,all,negative,1,0,,,
default,extension,previous_surprise_sign,all,negative,5,0,,,
default,extension,previous_surprise_sign,all,negative,20,0,,,
default,extension,previous_surprise_sign,all,negative,60,0,,,
default,extension,previous_surprise_sign,all,direction_adjusted,1,1,-4.605604767859774,-4.605604767859774,-4.605604767859774
default,extension,previous_surprise_sign,all,direction_adjusted,5,1,-1.6345409241550923,-1.6345409241550923,-1.6345409241550923
default,extension,previous_surprise_sign,all,direction_adjusted,20,1,-7.137323703791177,-7.137323703791177,-7.137323703791177
default,extension,previous_surprise_sign,all,direction_adjusted,60,1,1.1368484607032323,1.1368484607032323,1.1368484607032323
default,extension,previous_surprise_sign,abs_signal_gt1,positive,1,0,,,
default,extension,previous_surprise_sign,abs_signal_gt1,positive,5,0,,,
default,extension,previous_surprise_sign,abs_signal_gt1,positive,20,0,,,
default,extension,previous_surprise_sign,abs_signal_gt1,positive,60,0,,,
default,extension,previous_surprise_sign,abs_signal_gt1,negative,1,0,,,
default,extension,previous_surprise_sign,abs_signal_gt1,negative,5,0,,,
default,extension,previous_surprise_sign,abs_signal_gt1,negative,20,0,,,
default,extension,previous_surprise_sign,abs_signal_gt1,negative,60,0,,,
default,extension,previous_surprise_sign,abs_signal_gt1,direction_adjusted,1,0,,,
default,extension,previous_surprise_sign,abs_signal_gt1,direction_adjusted,5,0,,,
default,extension,previous_surprise_sign,abs_signal_gt1,direction_adjusted,20,0,,,
default,extension,previous_surprise_sign,abs_signal_gt1,direction_adjusted,60,0,,,
ex_covid,W1,kernel,all,positive,1,7,-0.27454693226412397,-2.0474643285074228,1.4042218012767727
ex_covid,W1,kernel,all,positive,5,7,-2.9353248523466484,-4.6939325820045,-1.2371212247213748
ex_covid,W1,kernel,all,positive,20,7,-2.069146563265462,-5.955675714094901,1.6305611728290914
ex_covid,W1,kernel,all,positive,60,7,-2.532417947574545,-8.152778928976643,3.837966089572142
ex_covid,W1,kernel,all,negative,1,4,-0.8519098275752228,-3.2532392109168637,1.549419555766418
ex_covid,W1,kernel,all,negative,5,4,-0.09745184620651703,-3.1729173572034473,2.9780136647904127
ex_covid,W1,kernel,all,negative,20,4,-0.5047775160986867,-2.6854587481799586,1.6759037159825851
ex_covid,W1,kernel,all,negative,60,4,-2.1488889645366482,-4.19013852445813,-0.10763940461516608
ex_covid,W1,kernel,all,direction_adjusted,1,11,0.13507370767745688,-1.5161343201046438,1.9026680131623797
ex_covid,W1,kernel,all,direction_adjusted,5,11,-1.832496961963679,-3.64712202652944,0.20079649150100673
ex_covid,W1,kernel,all,direction_adjusted,20,11,-1.133174170769408,-3.519291745369921,1.4940365238991937
ex_covid,W1,kernel,all,direction_adjusted,60,11,-0.8301245249886565,-3.9868920908041723,2.8699839019833386
ex_covid,W1,kernel,abs_signal_gt1,positive,1,5,-0.9595784146303975,-3.118046141333526,1.0579734399298468
ex_covid,W1,kernel,abs_signal_gt1,positive,5,5,-2.4334185794261876,-4.278133185646127,-0.5887039732062482
ex_covid,W1,kernel,abs_signal_gt1,positive,20,5,-1.6006047825263827,-6.033564761812956,2.832355196760191
ex_covid,W1,kernel,abs_signal_gt1,positive,60,5,-3.429491744192698,-6.434105513039421,-0.32008761183138307
ex_covid,W1,kernel,abs_signal_gt1,negative,1,3,-1.180654579796869,-4.251329974261689,1.8900208146679514
ex_covid,W1,kernel,abs_signal_gt1,negative,5,3,-0.7790752951002139,-4.485956736634692,2.927806146434264
ex_covid,W1,kernel,abs_signal_gt1,negative,20,3,-1.8471950273119653,-3.2643021246260133,-0.43008792999791695
ex_covid,W1,kernel,abs_signal_gt1,negative,60,3,-1.3446872105293963,-4.389151923421656,1.6997775023628627
ex_covid,W1,kernel,abs_signal_gt1,direction_adjusted,1,8,-0.15699104172017253,-2.2165755731614563,2.1701972736181823
ex_covid,W1,kernel,abs_signal_gt1,direction_adjusted,5,8,-1.2287333764787869,-3.661579131536488,1.5448540451933426
ex_covid,W1,kernel,abs_signal_gt1,direction_adjusted,20,8,-0.30767985383700214,-3.706977631542105,3.423700087895735
ex_covid,W1,kernel,abs_signal_gt1,direction_adjusted,60,8,-1.6391746361719128,-3.5182502826566364,0.44677995565317685
