target,driver,window,n,slope,intercept,r,p,spearman,perm_p,loo_rmse,naive_rmse,loo_mean_rmse,beats_naive,beats_loo_mean,note
bea_inbound_minus_outbound_pp,ipp_xb_na_lag2,ex_reopening_2019_plus_from_1Q24,10,2.0998,-5.6003,0.8896,0.0006,0.903,0.001,3.8832,5.0766,7.9477,True,True,
bea_inbound_minus_outbound_pp,ipp_xb_na_lag2,from_1Q24,10,2.0998,-5.6003,0.8896,0.0006,0.903,0.002,3.8832,5.0766,7.9477,True,True,
bea_inbound_minus_outbound_pp,ipp_xb_na_lag2,post22,18,0.2192,3.609,0.036,0.8871,0.2859,0.8961,25.4807,29.6199,24.7854,True,False,
bea_inbound_minus_outbound_pp,ipp_xb_na_lag2,full,22,-1.9256,-13.0223,-0.129,0.5671,0.2242,0.5814,63.7856,76.9613,61.7314,True,False,
bea_inbound_minus_outbound_pp,usd_vs_rest_yoy_lag0,ex_reopening_2019_plus_from_1Q24,10,-0.1845,-4.8205,-0.0776,0.8314,-0.0909,0.8292,8.439,5.0766,7.9477,False,False,
bea_inbound_minus_outbound_pp__qoq_diff,usd_vs_rest_yoy_qoq_diff,ex_reopening_2019_plus_from_1Q24,9,-0.3378,-0.4923,-0.1653,0.6708,-0.3333,0.6843,6.8263,4.2583,5.6901,False,False,
bea_inbound_minus_outbound_pp,usd_vs_rest_yoy_lag0,from_1Q24,10,-0.1845,-4.8205,-0.0776,0.8314,-0.0909,0.8072,8.439,5.0766,7.9477,False,False,
bea_inbound_minus_outbound_pp__qoq_diff,usd_vs_rest_yoy_qoq_diff,from_1Q24,9,-0.3378,-0.4923,-0.1653,0.6708,-0.3333,0.6733,6.8263,4.2583,5.6901,False,False,
bea_inbound_minus_outbound_pp,usd_vs_rest_yoy_lag0,post22,18,3.0365,1.9712,0.4714,0.0483,0.2157,0.029,26.1332,29.6199,24.7854,True,False,
bea_inbound_minus_outbound_pp__qoq_diff,usd_vs_rest_yoy_qoq_diff,post22,17,3.429,0.8642,0.2851,0.2674,0.1127,0.2927,31.8941,49.1178,31.4707,True,False,
bea_inbound_minus_outbound_pp,usd_vs_rest_yoy_lag0,full,22,6.2941,-10.9363,0.3896,0.073,0.3382,0.0599,59.1187,76.9613,61.7314,True,True,
bea_inbound_minus_outbound_pp__qoq_diff,usd_vs_rest_yoy_qoq_diff,full,21,6.2574,0.5404,0.2181,0.3422,0.1351,0.3846,87.0778,128.2924,80.8081,True,False,
bea_inbound_minus_outbound_pp,usd_vs_rest_yoy_lag1,ex_reopening_2019_plus_from_1Q24,10,-1.4623,-5.8484,-0.6187,0.0565,-0.6485,0.0639,6.4467,5.0766,7.9477,False,True,
bea_inbound_minus_outbound_pp,usd_vs_rest_yoy_lag1,from_1Q24,10,-1.4623,-5.8484,-0.6187,0.0565,-0.6485,0.0709,6.4467,5.0766,7.9477,False,True,
bea_inbound_minus_outbound_pp,usd_vs_rest_yoy_lag1,post22,18,1.27,2.454,0.1931,0.4426,-0.0939,0.4595,26.461,29.6199,24.7854,True,False,
bea_inbound_minus_outbound_pp,usd_vs_rest_yoy_lag1,full,22,7.1289,-11.7688,0.4359,0.0426,0.0774,0.035,63.193,76.9613,61.7314,True,False,
bea_inbound_minus_outbound_pp,usd_vs_rest_yoy_lag2,ex_reopening_2019_plus_from_1Q24,10,-2.4364,-6.0782,-0.9126,0.0002,-0.9515,0.001,3.5769,5.0766,7.9477,True,True,
bea_inbound_minus_outbound_pp,usd_vs_rest_yoy_lag2,from_1Q24,10,-2.4364,-6.0782,-0.9126,0.0002,-0.9515,0.001,3.5769,5.0766,7.9477,True,True,
bea_inbound_minus_outbound_pp,usd_vs_rest_yoy_lag2,post22,18,-0.4132,3.6649,-0.0571,0.8221,-0.3292,0.8292,25.3569,29.6199,24.7854,True,False,
bea_inbound_minus_outbound_pp,usd_vs_rest_yoy_lag2,full,22,1.913,-12.1654,0.1086,0.6303,-0.2626,0.6543,63.7365,76.9613,61.7314,True,False,
eurostat_eu27_foreign_share_chg_pp,ipp_xb_emea_lag0,ex_reopening_2019_plus_from_1Q24,13,-0.145,-0.6516,-0.6403,0.0184,-0.511,0.027,0.7732,0.8099,0.9258,True,True,
eurostat_eu27_foreign_share_chg_pp__qoq_diff,ipp_xb_emea_qoq_diff,ex_reopening_2019_plus_from_1Q24,11,0.2978,0.1861,0.7155,0.0133,0.7545,0.014,0.6276,1.3156,0.8471,True,True,
eurostat_eu27_foreign_share_chg_pp,ipp_xb_emea_lag0,from_1Q24,13,-0.145,-0.6516,-0.6403,0.0184,-0.511,0.014,0.7732,0.8099,0.9258,True,True,
eurostat_eu27_foreign_share_chg_pp__qoq_diff,ipp_xb_emea_qoq_diff,from_1Q24,11,0.2978,0.1861,0.7155,0.0133,0.7545,0.021,0.6276,1.3156,0.8471,True,True,
eurostat_eu27_foreign_share_chg_pp,ipp_xb_emea_lag0,post22,21,0.9458,3.6559,0.6116,0.0032,0.3143,0.003,7.5681,3.5752,8.9714,False,True,
eurostat_eu27_foreign_share_chg_pp__qoq_diff,ipp_xb_emea_qoq_diff,post22,19,0.0757,-1.4165,0.0662,0.7878,0.3158,0.7842,3.761,4.0338,3.5354,True,False,
eurostat_eu27_foreign_share_chg_pp,ipp_xb_emea_lag0,full,29,1.7117,0.4868,0.589,0.0008,0.466,0.001,13.5886,11.6237,16.2229,False,True,
eurostat_eu27_foreign_share_chg_pp__qoq_diff,ipp_xb_emea_qoq_diff,full,27,0.9052,0.4487,0.2329,0.2423,0.3877,0.2418,12.3509,16.2398,12.2892,True,False,
eurostat_eu27_foreign_share_chg_pp,ipp_xb_emea_lag1,ex_reopening_2019_plus_from_1Q24,13,-0.1973,-0.7189,-0.816,0.0007,-0.7363,0.002,0.5578,0.8099,0.9258,True,True,
eurostat_eu27_foreign_share_chg_pp,ipp_xb_emea_lag1,from_1Q24,13,-0.1973,-0.7189,-0.816,0.0007,-0.7363,0.001,0.5578,0.8099,0.9258,True,True,
eurostat_eu27_foreign_share_chg_pp,ipp_xb_emea_lag1,post22,21,0.6437,3.5452,0.4012,0.0715,0.2584,0.0789,8.4289,3.5752,8.9714,False,True,
eurostat_eu27_foreign_share_chg_pp,ipp_xb_emea_lag1,full,28,1.096,-0.0584,0.3694,0.053,0.2638,0.0539,15.7681,9.414,16.5192,False,True,
eurostat_eu27_foreign_share_chg_pp,ipp_xb_emea_lag2,ex_reopening_2019_plus_from_1Q24,13,-0.1919,-0.8085,-0.7247,0.0051,-0.7582,0.007,0.663,0.8099,0.9258,True,True,
eurostat_eu27_foreign_share_chg_pp,ipp_xb_emea_lag2,from_1Q24,13,-0.1919,-0.8085,-0.7247,0.0051,-0.7582,0.004,0.663,0.8099,0.9258,True,True,
eurostat_eu27_foreign_share_chg_pp,ipp_xb_emea_lag2,post22,21,0.3636,3.7415,0.2184,0.3416,0.3104,0.3606,8.8501,3.5752,8.9714,False,True,
eurostat_eu27_foreign_share_chg_pp,ipp_xb_emea_lag2,full,27,0.5224,1.0913,0.1963,0.3265,0.1282,0.3267,14.7677,9.2955,14.6858,False,False,
eurostat_eu27_foreign_minus_domestic_pp,ipp_xb_emea_lag0,ex_reopening_2019_plus_from_1Q24,13,-0.7866,-3.5954,-0.6437,0.0176,-0.4451,0.023,4.1938,4.3552,4.9945,True,True,
eurostat_eu27_foreign_minus_domestic_pp__qoq_diff,ipp_xb_emea_qoq_diff,ex_reopening_2019_plus_from_1Q24,11,1.4945,0.9006,0.6561,0.0284,0.6818,0.023,3.6705,7.1966,4.6372,True,True,
eurostat_eu27_foreign_minus_domestic_pp,ipp_xb_emea_lag0,from_1Q24,13,-0.7866,-3.5954,-0.6437,0.0176,-0.4451,0.015,4.1938,4.3552,4.9945,True,True,
eurostat_eu27_foreign_minus_domestic_pp__qoq_diff,ipp_xb_emea_qoq_diff,from_1Q24,11,1.4945,0.9006,0.6561,0.0284,0.6818,0.033,3.6705,7.1966,4.6372,True,True,
eurostat_eu27_foreign_minus_domestic_pp,ipp_xb_emea_lag0,post22,21,9.2762,37.8408,0.4906,0.024,0.3351,0.023,102.5808,56.4359,109.7085,False,True,
eurostat_eu27_foreign_minus_domestic_pp__qoq_diff,ipp_xb_emea_qoq_diff,post22,19,-5.6011,-24.9707,-0.3039,0.2059,0.1,0.2328,58.1779,59.1101,56.9892,True,False,
eurostat_eu27_foreign_minus_domestic_pp,ipp_xb_emea_lag0,full,29,10.0553,39.3362,0.5382,0.0026,0.4704,0.005,93.5528,73.3008,104.306,False,True,
eurostat_eu27_foreign_minus_domestic_pp__qoq_diff,ipp_xb_emea_qoq_diff,full,27,3.4521,1.7483,0.1408,0.4835,0.2656,0.4965,80.2757,95.9444,77.5064,True,False,
eurostat_eu27_foreign_minus_domestic_pp,ipp_xb_emea_lag1,ex_reopening_2019_plus_from_1Q24,13,-1.0678,-3.9566,-0.8185,0.0006,-0.7253,0.003,3.0504,4.3552,4.9945,True,True,
eurostat_eu27_foreign_minus_domestic_pp,ipp_xb_emea_lag1,from_1Q24,13,-1.0678,-3.9566,-0.8185,0.0006,-0.7253,0.002,3.0504,4.3552,4.9945,True,True,
eurostat_eu27_foreign_minus_domestic_pp,ipp_xb_emea_lag1,post22,21,5.1118,37.5312,0.2605,0.2541,0.261,0.2697,108.0863,56.4359,109.7085,False,True,
eurostat_eu27_foreign_minus_domestic_pp,ipp_xb_emea_lag1,full,28,5.3487,36.5001,0.2814,0.1469,0.2441,0.1419,104.0168,74.5643,105.8486,False,True,
eurostat_eu27_foreign_minus_domestic_pp,ipp_xb_emea_lag2,ex_reopening_2019_plus_from_1Q24,13,-1.0139,-4.3923,-0.7098,0.0066,-0.7527,0.008,3.6626,4.3552,4.9945,True,True,
eurostat_eu27_foreign_minus_domestic_pp,ipp_xb_emea_lag2,from_1Q24,13,-1.0139,-4.3923,-0.7098,0.0066,-0.7527,0.005,3.6626,4.3552,4.9945,True,True,
eurostat_eu27_foreign_minus_domestic_pp,ipp_xb_emea_lag2,post22,21,1.7657,39.7656,0.0867,0.7086,0.3117,0.7323,110.199,56.4359,109.7085,False,False,
eurostat_eu27_foreign_minus_domestic_pp,ipp_xb_emea_lag2,full,27,1.0184,36.2724,0.0525,0.7948,0.0879,0.8012,108.0267,75.2979,107.0412,False,False,
eurostat_eu27_foreign_nights_yoy,ipp_xb_emea_lag0,ex_reopening_2019_plus_from_1Q24,13,0.0318,14.5601,0.0226,0.9416,0.022,0.9451,6.0295,6.1755,5.7481,True,False,
eurostat_eu27_foreign_nights_yoy__qoq_diff,ipp_xb_emea_qoq_diff,ex_reopening_2019_plus_from_1Q24,11,-2.6964,-2.97,-0.7881,0.004,-0.8818,0.005,4.5017,11.3452,6.9648,True,True,
eurostat_eu27_foreign_nights_yoy,ipp_xb_emea_lag0,from_1Q24,13,0.0318,14.5601,0.0226,0.9416,0.022,0.952,6.0295,6.1755,5.7481,True,False,
eurostat_eu27_foreign_nights_yoy__qoq_diff,ipp_xb_emea_qoq_diff,from_1Q24,11,-2.6964,-2.97,-0.7881,0.004,-0.8818,0.002,4.5017,11.3452,6.9648,True,True,
eurostat_eu27_foreign_nights_yoy,ipp_xb_emea_lag0,post22,21,10.0502,57.2301,0.4768,0.0289,0.5195,0.025,115.8747,67.9757,122.3044,False,True,
eurostat_eu27_foreign_nights_yoy__qoq_diff,ipp_xb_emea_qoq_diff,post22,19,-8.0541,-29.4879,-0.3596,0.1305,-0.093,0.1279,69.4029,76.3997,69.27,True,False,
eurostat_eu27_foreign_nights_yoy,ipp_xb_emea_lag0,full,29,10.9651,58.8428,0.4912,0.0068,0.5493,0.006,115.1292,98.9285,124.6279,False,True,
eurostat_eu27_foreign_nights_yoy__qoq_diff,ipp_xb_emea_qoq_diff,full,27,0.4128,1.0183,0.0125,0.9507,-0.0012,0.952,109.3701,147.2376,104.6147,True,False,
eurostat_eu27_foreign_nights_yoy,ipp_xb_emea_lag1,ex_reopening_2019_plus_from_1Q24,13,0.1244,14.6971,0.0829,0.7878,0.2857,0.7942,6.0913,6.1755,5.7481,True,False,
eurostat_eu27_foreign_nights_yoy,ipp_xb_emea_lag1,from_1Q24,13,0.1244,14.6971,0.0829,0.7878,0.2857,0.8132,6.0913,6.1755,5.7481,True,False,
eurostat_eu27_foreign_nights_yoy,ipp_xb_emea_lag1,post22,21,5.5137,56.9106,0.2521,0.2703,0.5896,0.2757,120.7781,67.9757,122.3044,False,True,
eurostat_eu27_foreign_nights_yoy,ipp_xb_emea_lag1,full,28,5.4046,55.7111,0.238,0.2226,0.3952,0.2148,126.0225,99.4578,126.4418,False,True,
eurostat_eu27_foreign_nights_yoy,ipp_xb_emea_lag2,ex_reopening_2019_plus_from_1Q24,13,-0.3167,13.8711,-0.1926,0.5283,-0.011,0.5475,6.2403,6.1755,5.7481,False,False,
eurostat_eu27_foreign_nights_yoy,ipp_xb_emea_lag2,from_1Q24,13,-0.3167,13.8711,-0.1926,0.5283,-0.011,0.5405,6.2403,6.1755,5.7481,False,False,
eurostat_eu27_foreign_nights_yoy,ipp_xb_emea_lag2,post22,21,1.7275,59.4274,0.0761,0.743,0.4909,0.7842,122.9112,67.9757,122.3044,False,False,
eurostat_eu27_foreign_nights_yoy,ipp_xb_emea_lag2,full,27,0.291,57.7931,0.0128,0.9495,0.1886,0.9491,127.2931,101.1829,125.5206,False,False,
abnb_na_nights_differential_pp,ipp_xb_na_lag0,ex_reopening_2019_plus_from_1Q24,10,0.3962,-5.2834,0.6029,0.0651,0.6848,0.0629,2.1812,2.383,2.5095,True,True,
abnb_na_nights_differential_pp__qoq_diff,ipp_xb_na_qoq_diff,ex_reopening_2019_plus_from_1Q24,9,0.0485,0.7897,0.06,0.8782,0.15,0.8821,2.8188,3.5674,2.524,True,False,
abnb_na_nights_differential_pp,ipp_xb_na_lag0,post22,16,0.3775,-6.5732,0.4592,0.0736,0.4518,0.0609,3.783,3.2974,3.7829,False,False,
