id,metric,scenario,period,value,units,as_of,status,evidence_status,source,definition,url,register_id
R:review_with_k:2026Q3:revenue_musd,revenue_musd,review_with_k,2026Q3,4808.36292949392,USD millions,2026-08-06,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:review_with_k:2027Q1:cushion_decimal,cushion_decimal,review_with_k,2027Q1,0.0179049103084943,decimal,2026-09-11,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:review_without_k:2026Q3:revenue_musd,revenue_musd,review_without_k,2026Q3,4808.36292949392,USD millions,2026-08-06,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:review_without_k:2026Q3:guide_musd,guide_musd,review_without_k,2026Q3,4723.78400064566,USD millions,2026-08-06,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:review_without_k:2026Q3:lambda_pct,lambda_pct,review_without_k,2026Q3,17.2548908953131,%,2026-08-06,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:review_without_k:2026Q3:cushion_decimal,cushion_decimal,review_without_k,2026Q3,0.0179049103084943,decimal,2026-08-06,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:review_without_k:2026Q4:revenue_musd,revenue_musd,review_without_k,2026Q4,3175.92643761104,USD millions,2026-09-11,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:review_without_k:2026Q4:guide_musd,guide_musd,review_without_k,2026Q4,3120.06200721492,USD millions,2026-09-11,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:review_without_k:2026Q4:lambda_pct,lambda_pct,review_without_k,2026Q4,12.0403669384706,%,2026-09-11,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:review_without_k:2026Q4:cushion_decimal,cushion_decimal,review_without_k,2026Q4,0.0179049103084943,decimal,2026-09-11,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:review_without_k:2027Q1:revenue_musd,revenue_musd,review_without_k,2027Q1,3046.82899619842,USD millions,2026-09-11,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:review_without_k:2027Q1:guide_musd,guide_musd,review_without_k,2027Q1,2993.23538509607,USD millions,2026-09-11,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:review_without_k:2027Q1:lambda_pct,lambda_pct,review_without_k,2027Q1,12.7275463631112,%,2026-09-11,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:review_without_k:2027Q1:cushion_decimal,cushion_decimal,review_without_k,2027Q1,0.0179049103084943,decimal,2026-09-11,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:nights_case_a:2026Q3:revenue_musd,revenue_musd,nights_case_a,2026Q3,4808.36292949392,USD millions,2026-08-06,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:nights_case_a:2026Q3:guide_musd,guide_musd,nights_case_a,2026Q3,4723.78400064566,USD millions,2026-08-06,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:nights_case_a:2026Q3:lambda_pct,lambda_pct,nights_case_a,2026Q3,17.2548908953131,%,2026-08-06,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:nights_case_a:2026Q3:cushion_decimal,cushion_decimal,nights_case_a,2026Q3,0.0179049103084943,decimal,2026-08-06,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:nights_case_a:2026Q4:revenue_musd,revenue_musd,nights_case_a,2026Q4,3179.3436542864,USD millions,2026-09-11,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:nights_case_a:2026Q4:guide_musd,guide_musd,nights_case_a,2026Q4,3123.41911517339,USD millions,2026-09-11,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:nights_case_a:2026Q4:lambda_pct,lambda_pct,nights_case_a,2026Q4,12.0403669384706,%,2026-09-11,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:nights_case_a:2026Q4:cushion_decimal,cushion_decimal,nights_case_a,2026Q4,0.0179049103084943,decimal,2026-09-11,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:nights_case_a:2027Q1:revenue_musd,revenue_musd,nights_case_a,2027Q1,3069.01166705407,USD millions,2026-09-11,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:nights_case_a:2027Q1:guide_musd,guide_musd,nights_case_a,2027Q1,3015.02786357908,USD millions,2026-09-11,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:nights_case_a:2027Q1:lambda_pct,lambda_pct,nights_case_a,2027Q1,12.7275463631112,%,2026-09-11,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:nights_case_a:2027Q1:cushion_decimal,cushion_decimal,nights_case_a,2027Q1,0.0179049103084943,decimal,2026-09-11,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:adr_mean_reversion:2026Q3:revenue_musd,revenue_musd,adr_mean_reversion,2026Q3,4808.36292949392,USD millions,2026-08-06,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:adr_mean_reversion:2026Q3:guide_musd,guide_musd,adr_mean_reversion,2026Q3,4723.78400064566,USD millions,2026-08-06,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:adr_mean_reversion:2026Q3:lambda_pct,lambda_pct,adr_mean_reversion,2026Q3,17.2548908953131,%,2026-08-06,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:adr_mean_reversion:2026Q3:cushion_decimal,cushion_decimal,adr_mean_reversion,2026Q3,0.0179049103084943,decimal,2026-08-06,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:adr_mean_reversion:2026Q4:revenue_musd,revenue_musd,adr_mean_reversion,2026Q4,3129.86616348533,USD millions,2026-09-11,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:adr_mean_reversion:2026Q4:guide_musd,guide_musd,adr_mean_reversion,2026Q4,3074.81193163394,USD millions,2026-09-11,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:adr_mean_reversion:2026Q4:lambda_pct,lambda_pct,adr_mean_reversion,2026Q4,12.0403669384706,%,2026-09-11,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:adr_mean_reversion:2026Q4:cushion_decimal,cushion_decimal,adr_mean_reversion,2026Q4,0.0179049103084943,decimal,2026-09-11,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:adr_mean_reversion:2027Q1:revenue_musd,revenue_musd,adr_mean_reversion,2027Q1,2983.60898719445,USD millions,2026-09-11,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:adr_mean_reversion:2027Q1:guide_musd,guide_musd,adr_mean_reversion,2027Q1,2931.12741374852,USD millions,2026-09-11,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:adr_mean_reversion:2027Q1:lambda_pct,lambda_pct,adr_mean_reversion,2027Q1,12.7275463631112,%,2026-09-11,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:adr_mean_reversion:2027Q1:cushion_decimal,cushion_decimal,adr_mean_reversion,2027Q1,0.0179049103084943,decimal,2026-09-11,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:k0_conditional:2026Q3:revenue_musd,revenue_musd,k0_conditional,2026Q3,4808.36292949392,USD millions,2026-08-06,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:k0_conditional:2026Q3:guide_musd,guide_musd,k0_conditional,2026Q3,4723.78400064566,USD millions,2026-08-06,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:k0_conditional:2026Q3:lambda_pct,lambda_pct,k0_conditional,2026Q3,17.2548908953131,%,2026-08-06,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:k0_conditional:2026Q3:cushion_decimal,cushion_decimal,k0_conditional,2026Q3,0.0179049103084943,decimal,2026-08-06,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:k0_conditional:2026Q4:revenue_musd,revenue_musd,k0_conditional,2026Q4,3214.7757508938,USD millions,2026-09-12,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:k0_conditional:2026Q4:guide_musd,guide_musd,k0_conditional,2026Q4,3158.22796249161,USD millions,2026-09-12,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:k0_conditional:2026Q4:lambda_pct,lambda_pct,k0_conditional,2026Q4,12.0403669384706,%,2026-09-12,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:k0_conditional:2026Q4:cushion_decimal,cushion_decimal,k0_conditional,2026Q4,0.0179049103084943,decimal,2026-09-12,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:k0_conditional:2027Q1:revenue_musd,revenue_musd,k0_conditional,2027Q1,3121.42284765635,USD millions,2026-09-12,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:k0_conditional:2027Q1:guide_musd,guide_musd,k0_conditional,2027Q1,3066.51713342295,USD millions,2026-09-12,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:k0_conditional:2027Q1:lambda_pct,lambda_pct,k0_conditional,2027Q1,12.7275463631112,%,2026-09-12,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
R:k0_conditional:2027Q1:cushion_decimal,cushion_decimal,k0_conditional,2027Q1,0.0179049103084943,decimal,2026-09-12,calculated,conditional benchmark review; conversion and FX/RNPL pending,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\revenue\forecast.csv,Kernel/guide calculation; pending L3 adjustment is not zero,,
M:review_with_k:fy26_revenue_musd,fy26_revenue_musd,review_with_k,FY2026,14273.70658378032,USD millions,2026-09-13,estimated,inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:review_with_k:fy27_revenue_musd,fy27_revenue_musd,review_with_k,FY2027,15952.233240744836,USD millions,2026-09-13,estimated,inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:review_with_k:fy27_ebitda_musd,fy27_ebitda_musd,review_with_k,FY2027,5807.532521622368,USD millions,2026-09-13,estimated,inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:review_with_k:fy27_net_income_musd,fy27_net_income_musd,review_with_k,FY2027,3355.023537964532,USD millions,2026-09-13,estimated,inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:review_with_k:fy27_fcf_musd,fy27_fcf_musd,review_with_k,FY2027,5536.825326066617,USD millions,2026-09-13,estimated,inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:review_with_k:fy27_net_cash_musd,fy27_net_cash_musd,review_with_k,FY2027,10282.596148948478,USD millions,2026-09-13,estimated,inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:review_with_k:fy27_shares_m,fy27_shares_m,review_with_k,FY2027,574.598178232489,million shares,2026-09-13,estimated,inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:review_with_k:exit_multiple,exit_multiple,review_with_k,FY2027,16.5,EV/adjusted EBITDA turns,2026-09-13,estimated,inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:review_with_k:enterprise_value_musd,enterprise_value_musd,review_with_k,FY2027,95824.28660676908,USD millions,2026-09-13,estimated,inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:review_with_k:equity_value_musd,equity_value_musd,review_with_k,FY2027,106106.88275571755,USD millions,2026-09-13,estimated,inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
M:review_with_k:value_per_share,value_per_share,review_with_k,FY2027,184.66275525291607,USD/share,2026-09-13,estimated,inherited model assumptions; fixed2/3 benchmark provisional,C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\lane4-full\data\processed\forecast_methods\lane4_review_v1\review_v3\inputs\model\scenario_summary.csv,FY27-end cash/shares; no adopted target,,
