date,act_symbol,period,period_end_date,consensus,recent,count,high,low,year_ago
2021-04-04,ABNB,Current Quarter,2021-03-31,-1.15,-1.24,12,-0.53,-1.38,
2021-04-04,ABNB,Current Year,2021-12-31,-1.75,-0.92,11,-0.92,-1.98,-15.53
2021-04-04,ABNB,Next Quarter,2021-06-30,-0.81,-0.81,11,-0.75,-0.89,
2021-04-04,ABNB,Next Year,2022-12-31,-0.51,0.83,12,0.83,-0.99,-1.75
2021-04-11,ABNB,Current Quarter,2021-03-31,-1.15,-1.24,12,-0.53,-1.38,
2021-04-11,ABNB,Current Year,2021-12-31,-1.75,-0.92,11,-0.92,-1.98,-15.53
2021-04-11,ABNB,Next Quarter,2021-06-30,-0.81,-0.81,11,-0.75,-0.89,
2021-04-11,ABNB,Next Year,2022-12-31,-0.51,0.83,12,0.83,-0.99,-1.75
2021-04-18,ABNB,Current Quarter,2021-03-31,-1.15,-1.24,12,-0.53,-1.38,
2021-04-18,ABNB,Current Year,2021-12-31,-1.75,-0.92,11,-0.92,-1.98,-15.53
2021-04-18,ABNB,Next Quarter,2021-06-30,-0.81,-0.81,11,-0.75,-0.89,
2021-04-18,ABNB,Next Year,2022-12-31,-0.51,0.83,12,0.83,-0.99,-1.75
2021-04-25,ABNB,Current Quarter,2021-03-31,-1.15,-1.24,12,-0.53,-1.38,
2021-04-25,ABNB,Current Year,2021-12-31,-1.74,-0.92,11,-0.92,-1.98,-15.53
2021-04-25,ABNB,Next Quarter,2021-06-30,-0.80,-0.81,11,-0.75,-0.88,
2021-04-25,ABNB,Next Year,2022-12-31,-0.49,0.83,12,0.83,-0.99,-1.74
2021-05-02,ABNB,Current Quarter,2021-03-31,-1.15,-1.17,12,-0.53,-1.38,
2021-05-02,ABNB,Current Year,2021-12-31,-1.74,-1.74,11,-0.92,-1.98,-15.53
2021-05-02,ABNB,Next Quarter,2021-06-30,-0.80,-0.81,11,-0.75,-0.88,
2021-05-02,ABNB,Next Year,2022-12-31,-0.49,-0.44,12,0.83,-0.99,-1.74
2021-05-09,ABNB,Current Quarter,2021-03-31,-1.15,-1.17,12,-0.53,-1.38,
2021-05-09,ABNB,Current Year,2021-12-31,-1.74,-1.74,11,-0.92,-1.98,-15.53
2021-05-09,ABNB,Next Quarter,2021-06-30,-0.80,-0.81,11,-0.75,-0.88,
2021-05-09,ABNB,Next Year,2022-12-31,-0.49,-0.44,12,0.83,-0.99,-1.74
2021-05-16,ABNB,Current Quarter,2021-06-30,-0.79,-0.81,11,-0.64,-0.88,
2021-05-16,ABNB,Current Year,2021-12-31,-1.83,-1.74,7,-1.69,-1.98,-15.53
2021-05-16,ABNB,Next Quarter,2021-09-30,0.37,0.39,10,1.12,0.16,
2021-05-16,ABNB,Next Year,2022-12-31,-0.41,-0.44,12,0.97,-0.99,-1.83
2021-05-23,ABNB,Current Quarter,2021-06-30,-0.45,-0.41,12,-0.05,-0.81,
2021-05-23,ABNB,Current Year,2021-12-31,-1.85,-1.99,8,-1.45,-2.13,-15.53
2021-05-23,ABNB,Next Quarter,2021-09-30,0.38,0.38,10,0.71,0.23,
2021-05-23,ABNB,Next Year,2022-12-31,0.08,-0.03,12,2.60,-1.43,-1.85
2021-05-30,ABNB,Current Quarter,2021-06-30,-0.48,-0.41,12,-0.05,-1.10,
2021-05-30,ABNB,Current Year,2021-12-31,-2.06,-1.99,9,-1.45,-3.74,-15.53
2021-05-30,ABNB,Next Quarter,2021-09-30,0.36,0.38,10,0.71,0.09,
2021-05-30,ABNB,Next Year,2022-12-31,-0.04,-0.03,12,2.60,-2.05,-2.06
2021-06-06,ABNB,Current Quarter,2021-06-30,-0.48,-0.41,12,-0.05,-1.10,
2021-06-06,ABNB,Current Year,2021-12-31,-2.06,-1.99,9,-1.45,-3.74,-15.53
2021-06-06,ABNB,Next Quarter,2021-09-30,0.36,0.38,10,0.71,0.09,
2021-06-06,ABNB,Next Year,2022-12-31,-0.04,-0.03,12,2.60,-2.05,-2.06
2021-06-13,ABNB,Current Quarter,2021-06-30,-0.48,-0.41,12,-0.05,-1.10,
2021-06-13,ABNB,Current Year,2021-12-31,-2.06,-1.99,9,-1.45,-3.74,-15.53
2021-06-13,ABNB,Next Quarter,2021-09-30,0.36,0.38,10,0.71,0.09,
2021-06-13,ABNB,Next Year,2022-12-31,-0.04,-0.03,12,2.60,-2.05,-2.06
2021-06-20,ABNB,Current Quarter,2021-06-30,-0.48,-0.41,12,-0.05,-1.10,
2021-06-20,ABNB,Current Year,2021-12-31,-2.06,-1.99,9,-1.45,-3.74,-15.53
2021-06-20,ABNB,Next Quarter,2021-09-30,0.36,0.38,10,0.71,0.09,
2021-06-20,ABNB,Next Year,2022-12-31,-0.04,-0.03,12,2.60,-2.05,-2.06
2021-06-27,ABNB,Current Quarter,2021-06-30,-0.48,-0.41,12,-0.05,-1.10,
2021-06-27,ABNB,Current Year,2021-12-31,-2.06,-1.99,9,-1.45,-3.74,-15.53
2021-06-27,ABNB,Next Quarter,2021-09-30,0.36,0.38,10,0.71,0.09,
2021-06-27,ABNB,Next Year,2022-12-31,-0.04,-0.03,12,2.60,-2.05,-2.06
2021-07-04,ABNB,Current Quarter,2021-06-30,-0.45,-0.41,11,-0.05,-1.10,
2021-07-04,ABNB,Current Year,2021-12-31,-2.06,-1.99,9,-1.45,-3.74,-15.53
2021-07-04,ABNB,Next Quarter,2021-09-30,0.37,0.38,9,0.71,0.09,
2021-07-04,ABNB,Next Year,2022-12-31,0.02,-0.03,11,2.60,-2.05,-2.06
2021-07-11,ABNB,Current Quarter,2021-06-30,-0.45,-0.41,11,-0.05,-1.10,
2021-07-11,ABNB,Current Year,2021-12-31,-2.06,-1.99,9,-1.45,-3.74,-15.53
2021-07-11,ABNB,Next Quarter,2021-09-30,0.37,0.38,9,0.71,0.09,
2021-07-11,ABNB,Next Year,2022-12-31,0.02,-0.03,11,2.60,-2.05,-2.06
2021-07-18,ABNB,Current Quarter,2021-06-30,-0.49,-0.41,10,-0.24,-1.10,
2021-07-18,ABNB,Current Year,2021-12-31,-2.06,-1.99,9,-1.45,-3.74,-15.53
2021-07-18,ABNB,Next Quarter,2021-09-30,0.37,0.38,9,0.71,0.09,
2021-07-18,ABNB,Next Year,2022-12-31,0.02,-0.03,11,2.60,-2.05,-2.06
2021-07-25,ABNB,Current Quarter,2021-06-30,-0.49,-0.44,10,-0.24,-1.10,
2021-07-25,ABNB,Current Year,2021-12-31,-2.05,-1.87,9,-1.45,-3.74,-15.53
2021-07-25,ABNB,Next Quarter,2021-09-30,0.38,0.47,9,0.71,0.09,
2021-07-25,ABNB,Next Year,2022-12-31,0.04,0.16,11,2.60,-2.05,-2.05
2021-08-01,ABNB,Current Quarter,2021-06-30,-0.49,-0.44,10,-0.24,-1.10,
2021-08-01,ABNB,Current Year,2021-12-31,-2.05,-1.87,9,-1.45,-3.74,-15.53
2021-08-01,ABNB,Next Quarter,2021-09-30,0.38,0.47,9,0.71,0.09,
2021-08-01,ABNB,Next Year,2022-12-31,0.04,0.16,11,2.60,-2.05,-2.05
2021-08-08,ABNB,Current Quarter,2021-06-30,-0.48,-0.20,10,-0.20,-1.10,
2021-08-08,ABNB,Current Year,2021-12-31,-2.01,-1.12,9,-1.12,-3.74,-15.53
2021-08-08,ABNB,Next Quarter,2021-09-30,0.41,0.92,9,0.92,0.09,
2021-08-08,ABNB,Next Year,2022-12-31,0.06,1.05,11,2.60,-2.05,-2.01
2021-08-15,ABNB,Current Quarter,2021-09-30,0.49,0.46,10,0.98,0.09,
2021-08-15,ABNB,Current Year,2021-12-31,-1.98,-1.94,9,-1.12,-3.74,-15.53
2021-08-15,ABNB,Next Quarter,2021-12-31,-0.23,-0.10,10,0.00,-0.84,-10.88
2021-08-15,ABNB,Next Year,2022-12-31,0.12,0.00,11,2.60,-2.05,-1.98
2021-08-22,ABNB,Current Quarter,2021-09-30,0.88,0.70,10,1.75,0.48,
2021-08-22,ABNB,Current Year,2021-12-31,-1.27,-1.38,9,-0.96,-1.75,-15.53
2021-08-22,ABNB,Next Quarter,2021-12-31,-0.03,-0.09,10,0.31,-0.22,-10.88
2021-08-22,ABNB,Next Year,2022-12-31,0.75,0.33,11,2.37,-0.11,-1.27
2021-08-29,ABNB,Current Quarter,2021-09-30,0.87,0.70,11,1.75,0.48,
2021-08-29,ABNB,Current Year,2021-12-31,-1.27,-1.38,9,-0.96,-1.75,-15.53
2021-08-29,ABNB,Next Quarter,2021-12-31,-0.03,-0.09,10,0.31,-0.22,-10.88
2021-08-29,ABNB,Next Year,2022-12-31,0.75,0.33,11,2.37,-0.11,-1.27
2021-09-05,ABNB,Current Quarter,2021-09-30,0.87,0.70,11,1.75,0.48,
2021-09-05,ABNB,Current Year,2021-12-31,-1.27,-1.38,9,-0.96,-1.75,-15.53
2021-09-05,ABNB,Next Quarter,2021-12-31,-0.03,-0.09,10,0.31,-0.22,-10.88
2021-09-05,ABNB,Next Year,2022-12-31,0.75,0.33,11,2.37,-0.11,-1.27
2021-09-12,ABNB,Current Quarter,2021-09-30,0.87,0.70,11,1.75,0.48,
2021-09-12,ABNB,Current Year,2021-12-31,-1.27,-1.38,9,-0.96,-1.75,-15.53
2021-09-12,ABNB,Next Quarter,2021-12-31,-0.03,-0.09,10,0.31,-0.22,-10.88
2021-09-12,ABNB,Next Year,2022-12-31,0.75,0.33,11,2.37,-0.11,-1.27
2021-09-19,ABNB,Current Quarter,2021-09-30,0.87,0.70,11,1.75,0.48,
2021-09-19,ABNB,Current Year,2021-12-31,-1.27,-1.38,9,-0.96,-1.75,-15.53
2021-09-19,ABNB,Next Quarter,2021-12-31,-0.03,-0.09,10,0.31,-0.22,-10.88
2021-09-19,ABNB,Next Year,2022-12-31,0.75,0.33,11,2.37,-0.11,-1.27
2021-09-26,ABNB,Current Quarter,2021-09-30,0.86,0.62,11,1.75,0.48,
2021-09-26,ABNB,Current Year,2021-12-31,-1.30,-1.32,9,-0.96,-1.75,-15.53
2021-09-26,ABNB,Next Quarter,2021-12-31,-0.04,0.02,10,0.31,-0.22,-10.88
2021-09-26,ABNB,Next Year,2022-12-31,0.74,0.84,11,2.37,-0.11,-1.30
2021-10-03,ABNB,Current Quarter,2021-09-30,0.84,0.62,12,1.75,0.48,
2021-10-03,ABNB,Current Year,2021-12-31,-1.30,-1.32,10,-0.96,-1.75,-15.53
2021-10-03,ABNB,Next Quarter,2021-12-31,-0.04,0.02,11,0.31,-0.22,-10.88
2021-10-03,ABNB,Next Year,2022-12-31,0.72,0.84,12,2.37,-0.11,-1.30
2021-10-10,ABNB,Current Quarter,2021-09-30,0.84,0.62,12,1.75,0.48,
2021-10-10,ABNB,Current Year,2021-12-31,-1.30,-1.32,10,-0.96,-1.75,-15.53
2021-10-10,ABNB,Next Quarter,2021-12-31,-0.04,0.02,11,0.31,-0.22,-10.88
2021-10-10,ABNB,Next Year,2022-12-31,0.72,0.84,12,2.37,-0.11,-1.30
2021-10-17,ABNB,Current Quarter,2021-09-30,0.84,0.62,12,1.75,0.48,
2021-10-17,ABNB,Current Year,2021-12-31,-1.30,-1.32,10,-0.96,-1.75,-15.53
2021-10-17,ABNB,Next Quarter,2021-12-31,-0.04,0.02,11,0.31,-0.22,-10.88
2021-10-17,ABNB,Next Year,2022-12-31,0.73,0.84,12,2.37,-0.11,-1.30
2021-10-24,ABNB,Current Quarter,2021-09-30,0.84,0.62,12,1.75,0.48,
2021-10-24,ABNB,Current Year,2021-12-31,-1.30,-1.32,10,-0.96,-1.75,-15.53
2021-10-24,ABNB,Next Quarter,2021-12-31,-0.04,0.02,11,0.31,-0.22,-10.88
2021-10-24,ABNB,Next Year,2022-12-31,0.73,0.84,12,2.37,-0.11,-1.30
2021-10-31,ABNB,Current Quarter,2021-09-30,0.84,0.62,12,1.75,0.48,
2021-10-31,ABNB,Current Year,2021-12-31,-1.30,-1.32,10,-0.96,-1.75,-15.53
2021-10-31,ABNB,Next Quarter,2021-12-31,-0.04,0.02,11,0.31,-0.22,-10.88
2021-10-31,ABNB,Next Year,2022-12-31,0.73,0.84,12,2.37,-0.11,-1.30
2021-11-07,ABNB,Current Quarter,2021-12-31,-0.05,0.02,11,0.23,-0.22,-10.88
2021-11-07,ABNB,Current Year,2021-12-31,-1.30,-1.32,10,-0.96,-1.75,-15.53
2021-11-07,ABNB,Next Quarter,2022-03-31,-0.49,-0.47,5,-0.38,-0.59,-0.92
2021-11-07,ABNB,Next Year,2022-12-31,0.74,0.84,12,2.46,-0.11,-1.30
2021-11-14,ABNB,Current Quarter,2021-12-31,0.05,-0.03,11,0.23,-0.09,-10.88
2021-11-14,ABNB,Current Year,2021-12-31,-0.66,-0.69,10,-0.48,-1.02,-15.53
2021-11-14,ABNB,Next Quarter,2022-03-31,-0.42,-0.49,6,-0.27,-0.65,-0.92
2021-11-14,ABNB,Next Year,2022-12-31,1.13,0.97,12,2.46,0.30,-0.66
2021-11-21,ABNB,Current Quarter,2021-12-31,0.05,-0.03,11,0.23,-0.09,-10.88
2021-11-21,ABNB,Current Year,2021-12-31,-0.62,-0.69,10,-0.48,-0.75,-15.53
2021-11-21,ABNB,Next Quarter,2022-03-31,-0.41,-0.49,6,-0.27,-0.65,-0.92
2021-11-21,ABNB,Next Year,2022-12-31,1.13,0.97,12,2.46,0.30,-0.62
2021-11-28,ABNB,Current Quarter,2021-12-31,0.05,-0.03,11,0.23,-0.09,-10.88
2021-11-28,ABNB,Current Year,2021-12-31,-0.62,-0.69,10,-0.48,-0.75,-15.53
2021-11-28,ABNB,Next Quarter,2022-03-31,-0.41,-0.49,6,-0.27,-0.65,-0.92
2021-11-28,ABNB,Next Year,2022-12-31,1.13,0.97,12,2.46,0.30,-0.62
2021-12-05,ABNB,Current Quarter,2021-12-31,0.05,-0.03,10,0.23,-0.09,-10.88
2021-12-05,ABNB,Current Year,2021-12-31,-0.63,-0.69,9,-0.48,-0.75,-15.53
2021-12-05,ABNB,Next Quarter,2022-03-31,-0.41,-0.49,6,-0.27,-0.65,-0.92
2021-12-05,ABNB,Next Year,2022-12-31,1.15,0.97,11,2.46,0.30,-0.63
2021-12-12,ABNB,Current Quarter,2021-12-31,0.05,-0.03,10,0.23,-0.09,-10.88
2021-12-12,ABNB,Current Year,2021-12-31,-0.63,-0.69,9,-0.48,-0.75,-15.53
2021-12-12,ABNB,Next Quarter,2022-03-31,-0.41,-0.49,6,-0.27,-0.65,-0.92
2021-12-12,ABNB,Next Year,2022-12-31,1.15,0.97,11,2.46,0.30,-0.63
2021-12-19,ABNB,Current Quarter,2021-12-31,0.05,-0.03,10,0.23,-0.09,-10.88
2021-12-19,ABNB,Current Year,2021-12-31,-0.63,-0.69,9,-0.48,-0.75,-15.53
2021-12-19,ABNB,Next Quarter,2022-03-31,-0.41,-0.49,6,-0.27,-0.65,-0.92
2021-12-19,ABNB,Next Year,2022-12-31,1.15,0.97,11,2.46,0.30,-0.63
2021-12-26,ABNB,Current Quarter,2021-12-31,0.05,-0.03,10,0.23,-0.09,-10.88
2021-12-26,ABNB,Current Year,2021-12-31,-0.63,-0.69,9,-0.48,-0.75,-15.53
2021-12-26,ABNB,Next Quarter,2022-03-31,-0.41,-0.49,6,-0.27,-0.65,-0.92
2021-12-26,ABNB,Next Year,2022-12-31,1.15,0.97,11,2.46,0.30,-0.63
2022-01-02,ABNB,Current Quarter,2021-12-31,0.98,-0.03,5,1.75,0.61,-10.88
2022-01-02,ABNB,Current Year,2021-12-31,,-0.69,,,,-15.53
2022-01-02,ABNB,Next Quarter,2022-03-31,0.05,-0.49,10,0.23,-0.09,-0.92
2022-01-02,ABNB,Next Year,2022-12-31,-0.63,0.97,9,-0.48,-0.75,
2022-01-09,ABNB,Current Quarter,2021-12-31,0.05,-0.03,9,0.23,-0.09,-10.88
2022-01-09,ABNB,Current Year,2021-12-31,-0.62,-0.69,8,-0.48,-0.75,-15.53
2022-01-09,ABNB,Next Quarter,2022-03-31,-0.43,-0.49,5,-0.27,-0.65,-1.75
2022-01-09,ABNB,Next Year,2022-12-31,1.19,0.97,10,2.46,0.30,-0.62
2022-01-16,ABNB,Current Quarter,2021-12-31,0.05,-0.01,10,0.23,-0.09,-10.88
2022-01-16,ABNB,Current Year,2021-12-31,-0.62,-0.65,9,-0.48,-0.75,-15.53
2022-01-16,ABNB,Next Quarter,2022-03-31,-0.43,-0.39,6,-0.27,-0.65,-1.75
2022-01-16,ABNB,Next Year,2022-12-31,1.17,1.00,11,2.46,0.30,-0.62
2022-01-23,ABNB,Current Quarter,2021-12-31,0.05,-0.01,10,0.23,-0.09,-10.88
2022-01-23,ABNB,Current Year,2021-12-31,-0.62,-0.65,9,-0.48,-0.75,-15.53
2022-01-23,ABNB,Next Quarter,2022-03-31,-0.42,-0.37,7,-0.27,-0.65,-1.75
2022-01-23,ABNB,Next Year,2022-12-31,1.25,1.00,11,2.46,0.30,-0.62
