method,object,target,window,prior_basis,n,mae,rmse,bias,rmse_ratio_to_naive,crps,cov_empirical,n_params,survives_both_windows,pit_ks_p
tracker-backlog,nights_yoy_next_q::unearned_rnpl_scenario_k1.5,nights_yoy,W1,full_sample,14,2.0362591141265933,2.569632710538265,0.391333157768788,,1.5473638250643795,1.0,2,False,0.23199765830341268
tracker-backlog,nights_yoy_next_q::funds_raw,nights_yoy,W1,full_sample,14,3.4402786473346856,4.050366789845497,1.2925773895295403,,2.3452322012690465,0.9285714285714286,2,False,0.30437598916658104
tracker-backlog,nights_yoy_next_q::funds_rnpl_scenario_k0.5,nights_yoy,W1,full_sample,14,3.814669446240388,4.5239039469503215,1.5199087252024237,,2.5549804273146397,1.0,2,False,0.3322332276278478
tracker-backlog,nights_yoy_next_q::funds_rnpl_scenario_k1.0,nights_yoy,W1,full_sample,14,4.081901205955285,5.33109532687135,1.8994874218594435,,2.8879927575175226,0.8571428571428571,2,False,0.18980433897995463
tracker-backlog,nights_yoy_next_q::funds_rnpl_scenario_k1.5,nights_yoy,W1,full_sample,14,4.354094400335091,6.090140489597039,2.3650004575039145,,3.295465167613636,0.8571428571428571,2,False,0.06850492057386914
tracker-backlog,nights_yoy_next_q::unearned_rnpl_scenario_k0.5,nights_yoy,W2,PIT,10,1.5722490907208906,1.8895378693159992,0.340606739613664,,1.4715903590048598,1.0,2,False,0.150002446774692
tracker-backlog,nights_yoy_next_q::unearned_rnpl_scenario_k1.0,nights_yoy,W2,PIT,10,1.7872484913068232,2.1008079197487235,1.0316595979453034,,1.558469572154177,1.0,2,False,0.14676899796936838
tracker-backlog,nights_yoy_next_q::unearned_raw,nights_yoy,W2,PIT,10,2.09908984941073,2.5553547819210567,-0.33863346052430554,,1.6829092852825116,1.0,2,False,0.19030639836764973
tracker-backlog,nights_yoy_next_q::unearned_rnpl_scenario_k1.5,nights_yoy,W2,PIT,10,2.4840440127283556,3.038965810888208,1.7284551193668363,,1.8395304136881414,1.0,2,False,0.14676899796936838
tracker-backlog,nights_yoy_next_q::funds_raw,nights_yoy,W2,PIT,10,3.3387390201296028,4.080091459416349,-1.0305095848756183,,2.493436845879855,1.0,2,False,0.3015549425123384
tracker-backlog,nights_yoy_next_q::funds_rnpl_scenario_k0.5,nights_yoy,W2,PIT,10,4.183452458701451,5.086632578707845,0.07973805993024641,,2.8342810477392755,1.0,2,False,0.7279795296225291
tracker-backlog,nights_yoy_next_q::funds_rnpl_scenario_k1.0,nights_yoy,W2,PIT,10,5.28033804660471,6.697767595414682,1.176623647833504,,3.6983433035341617,0.8,2,False,0.7279795296225291
tracker-backlog,nights_yoy_next_q::funds_rnpl_scenario_k1.5,nights_yoy,W2,PIT,10,6.3338322026304,8.486153990571125,2.2301178038591947,,4.629336990024632,0.8,2,False,0.7279795296225291
tracker-backlog,nights_yoy_next_q::unearned_rnpl_scenario_k0.5,nights_yoy,W2,full_sample,10,1.4395746370679068,1.6999576833765753,0.33765890460415465,,1.2526635148712701,1.0,2,False,0.24399248822691266
tracker-backlog,nights_yoy_next_q::unearned_rnpl_scenario_k1.0,nights_yoy,W2,full_sample,10,1.4547072335741702,1.8131515269083964,0.5773869587705921,,1.2673352842231327,1.0,2,False,0.217452534383898
tracker-backlog,nights_yoy_next_q::unearned_raw,nights_yoy,W2,full_sample,10,1.9546494851262928,2.38842288904759,0.19790372041285975,,1.4871103870123323,1.0,2,False,0.4664628247956637
tracker-backlog,nights_yoy_next_q::unearned_rnpl_scenario_k1.5,nights_yoy,W2,full_sample,10,2.041693928020904,2.689963420607554,0.9143989437618162,,1.549537750622104,1.0,2,False,0.2813657326554445
tracker-backlog,nights_yoy_next_q::funds_raw,nights_yoy,W2,full_sample,10,3.025228598102765,3.509532256135585,0.018446837175561014,,2.174689458059675,1.0,2,False,0.49608865481386744
tracker-backlog,nights_yoy_next_q::funds_rnpl_scenario_k0.5,nights_yoy,W2,full_sample,10,3.8183691112813536,4.49783292680333,0.6057041018282038,,2.556460293331026,1.0,2,False,0.5273634723989551
tracker-backlog,nights_yoy_next_q::funds_rnpl_scenario_k1.0,nights_yoy,W2,full_sample,10,4.486022508321827,5.7789504103418325,1.4320992070380922,,3.093098941344306,0.8,2,False,0.35470741411492024
tracker-backlog,nights_yoy_next_q::funds_rnpl_scenario_k1.5,nights_yoy,W2,full_sample,10,4.967902004344763,6.857807616071934,2.3610152995741367,,3.648629303681254,0.8,2,False,0.17094166576472525
tracker-backlog,revenue_yoy_next_q::unearned_rnpl_scenario_k1.0,revenue_yoy,W1,PIT,14,1.9022829118010187,2.6014796196172267,1.1460340105116713,0.680213422026101,1.4158020534911981,0.9285714285714286,2,True,0.14868525119648335
tracker-backlog,revenue_yoy_next_q::unearned_rnpl_scenario_k1.5,revenue_yoy,W1,PIT,14,2.3030208501808134,2.9747868281119603,1.8720514899350889,0.7778227101567441,1.6380212602120854,0.8571428571428571,2,True,0.03628872836760344
tracker-backlog,revenue_yoy_next_q::unearned_rnpl_scenario_k0.5,revenue_yoy,W1,PIT,14,2.4682398607188785,3.261872895999195,0.4291418813002127,0.8528876059879582,1.7796403985895972,0.7857142857142857,2,True,0.4390790387489696
tracker-backlog,revenue_yoy_next_q::unearned_raw,revenue_yoy,W1,PIT,14,3.1698934874737565,4.47928724708538,-0.27251174545466544,1.1712070637040495,2.39940409754177,0.7857142857142857,2,False,0.736578916937388
tracker-backlog,revenue_yoy_next_q::funds_raw,revenue_yoy,W1,PIT,14,4.949250760102653,6.466834390923603,0.8668179223746612,1.6908944884886123,3.4570850327444114,0.7857142857142857,2,False,0.7753679776817688
tracker-backlog,revenue_yoy_next_q::funds_rnpl_scenario_k0.5,revenue_yoy,W1,PIT,14,5.632878387871906,6.891016366352859,2.06579333655877,1.8018060908293525,3.7362764888492483,0.7142857142857143,2,False,0.7753679776817688
tracker-backlog,revenue_yoy_next_q::funds_rnpl_scenario_k1.0,revenue_yoy,W1,PIT,14,6.8280477545143645,8.335860727637296,3.2609627032012285,2.1795920707283645,4.697357941667839,0.6428571428571429,2,False,0.36059151855480964
tracker-backlog,revenue_yoy_next_q::funds_rnpl_scenario_k1.5,revenue_yoy,W1,PIT,14,7.986474049034409,10.293316161491914,4.4193889977212715,2.691411363520574,5.7175026213389515,0.6428571428571429,2,False,0.36059151855480964
tracker-backlog,revenue_yoy_next_q::unearned_rnpl_scenario_k1.0,revenue_yoy,W1,full_sample,14,1.4187204688179733,2.0551649010232955,0.32884047200922756,0.537367557912554,1.1072692325181541,0.9285714285714286,2,True,0.3605230071051342
tracker-backlog,revenue_yoy_next_q::unearned_rnpl_scenario_k1.5,revenue_yoy,W1,full_sample,14,1.758305932074275,2.3877101175546205,0.4651966348493076,0.6243187367760908,1.2842397851672696,0.8571428571428571,2,True,0.3768013723237873
tracker-backlog,revenue_yoy_next_q::unearned_rnpl_scenario_k0.5,revenue_yoy,W1,full_sample,14,2.1108274937961076,2.8729832416887606,0.3059586540356074,0.7512039485207628,1.519353624357955,0.7857142857142857,2,True,0.4232788229628447
tracker-backlog,revenue_yoy_next_q::unearned_raw,revenue_yoy,W1,full_sample,14,2.9114684068232712,4.112880922518587,0.38733264671128353,1.075402161752807,2.158904773751475,0.7857142857142857,2,False,0.16734967098456355
tracker-backlog,revenue_yoy_next_q::funds_raw,revenue_yoy,W1,full_sample,14,4.03054900328111,4.830741153149732,1.6446670770203997,1.2631023306612619,2.5860046926034768,0.7857142857142857,2,False,0.2751084284760109
tracker-backlog,revenue_yoy_next_q::funds_rnpl_scenario_k0.5,revenue_yoy,W1,full_sample,14,4.4528247837649975,5.033122903864849,1.9122106236368963,1.3160194406672279,2.705675640648972,0.9285714285714286,2,False,0.438302089538941
tracker-backlog,revenue_yoy_next_q::funds_rnpl_scenario_k1.0,revenue_yoy,W1,full_sample,14,5.014040823279712,6.174842788013749,2.42023706720096,1.6145469338429905,3.3774687604649674,0.9285714285714286,2,False,0.2604887523825047
tracker-backlog,revenue_yoy_next_q::funds_rnpl_scenario_k1.5,revenue_yoy,W1,full_sample,14,5.316646542893066,7.4540597716316475,3.0769090844954614,1.9490260338824776,3.960851471452909,0.8571428571428571,2,False,0.12909406176071514
tracker-backlog,revenue_yoy_next_q::unearned_rnpl_scenario_k1.0,revenue_yoy,W2,PIT,10,1.7326571127732389,2.5418998557312382,0.9701547203742316,0.5926082236542254,1.3477419656042426,0.9,2,True,0.32380759850080665
tracker-backlog,revenue_yoy_next_q::unearned_rnpl_scenario_k1.5,revenue_yoy,W2,PIT,10,2.293690226504951,3.061956812654445,1.9865791915670161,0.713852193492929,1.6588488550134843,0.8,2,True,0.07028433819433
tracker-backlog,revenue_yoy_next_q::unearned_rnpl_scenario_k0.5,revenue_yoy,W2,PIT,10,2.5249968412582424,3.447059745099442,-0.03349426052181013,0.8036335293727453,1.8571156487420013,0.7,2,True,0.9132162878605306
tracker-backlog,revenue_yoy_next_q::funds_raw,revenue_yoy,W2,PIT,10,3.1734170697922157,4.225477067735529,-2.541988903026972,0.9851105870896184,2.3005137014896317,0.9,2,False,0.07477889508161761
tracker-backlog,revenue_yoy_next_q::unearned_raw,revenue_yoy,W2,PIT,10,3.5073119187150716,5.007604229512512,-1.0158093379786397,1.1674525416584949,2.7247848272750437,0.7,2,False,0.9539652700000002
tracker-backlog,revenue_yoy_next_q::funds_rnpl_scenario_k0.5,revenue_yoy,W2,PIT,10,4.13049574866917,5.078117739906571,-0.8634233231692192,1.1838917755032232,2.691381740036403,0.8,2,False,0.8177506869739833
tracker-backlog,revenue_yoy_next_q::funds_rnpl_scenario_k1.0,revenue_yoy,W2,PIT,10,5.803732861968611,7.522495217231169,0.809813790130222,1.7537640273591149,4.03689577398243,0.7,2,False,0.9279959437179759
tracker-backlog,revenue_yoy_next_q::funds_rnpl_scenario_k1.5,revenue_yoy,W2,PIT,10,7.425529674296672,10.374971384783505,2.431610602458283,2.4187787528046685,5.465098325521987,0.7,2,False,0.95396527
tracker-backlog,revenue_yoy_next_q::unearned_rnpl_scenario_k1.0,revenue_yoy,W2,full_sample,10,1.470386513676443,2.2175766953624225,0.5404989075360283,0.5169968373430214,1.1723695594448524,0.9,2,True,0.30370643075855575
tracker-backlog,revenue_yoy_next_q::unearned_rnpl_scenario_k1.5,revenue_yoy,W2,full_sample,10,1.9125969104090577,2.594159582620754,0.9722857642416948,0.6047918444411827,1.388847598118314,0.8,2,True,0.2571403722408887
tracker-backlog,revenue_yoy_next_q::unearned_rnpl_scenario_k0.5,revenue_yoy,W2,full_sample,10,2.4056103698675924,3.2503057910724187,0.253746853353927,0.7577631104693392,1.7041682114850378,0.7,2,True,0.5458503230285517
tracker-backlog,revenue_yoy_next_q::funds_raw,revenue_yoy,W2,full_sample,10,2.7679750619659282,3.3246599070193397,-0.5722596347990665,0.7750977275170314,1.9695902307192692,1.0,2,False,0.5646363777561817
tracker-backlog,revenue_yoy_next_q::funds_rnpl_scenario_k0.5,revenue_yoy,W2,full_sample,10,3.742280623221265,4.357154493077957,0.1854207990419246,1.015809328014284,2.4212470802245676,1.0,2,False,0.8714515299524166
tracker-backlog,revenue_yoy_next_q::unearned_raw,revenue_yoy,W2,full_sample,10,3.4189803673736825,4.733584404698473,0.11263884093260756,1.10356867099264,2.496566061348849,0.7,2,False,0.271418899299111
tracker-backlog,revenue_yoy_next_q::funds_rnpl_scenario_k1.0,revenue_yoy,W2,full_sample,10,4.962255525289099,6.476244598081416,1.3309302667788478,1.5098454010947822,3.4546260594733815,0.9,2,False,0.7494476805266226
tracker-backlog,revenue_yoy_next_q::funds_rnpl_scenario_k1.5,revenue_yoy,W2,full_sample,10,5.8057960208189545,8.389858018140202,2.670163579062309,1.9559774731608925,4.337699497292297,0.8,2,False,0.3814415862515068
