scheme,eval_window,n,first_quarter,last_quarter,mae,rw_mae,rmse,bias,ratio_to_street
family_equal_thirds,full_2024Q1_2026Q2,10,2024Q1,2026Q2,0.9903347494844802,0.8224852335210301,1.3008349489770394,-0.27094090796218495,0.755301571378781
recommended_ws23_60_20_20,full_2024Q1_2026Q2,10,2024Q1,2026Q2,0.993248057729874,0.8210616225341448,1.1473376947567393,0.1251665097947047,0.7575234729093514
ew_three_least_correlated,full_2024Q1_2026Q2,10,2024Q1,2026Q2,1.0139096298646233,0.7863536089894881,1.2912681672229214,-0.6788779279665643,0.7732814960511787
family_B50_A30_C20,full_2024Q1_2026Q2,10,2024Q1,2026Q2,1.025484243823455,0.8181856511324086,1.2147354094483775,-0.01338865731214547,0.7821091415677671
invmae_all,full_2024Q1_2026Q2,10,2024Q1,2026Q2,1.054942385503835,0.8208957208739546,1.2864279956579596,-0.15746925756858018,0.8045760707678905
invmae_recency,full_2024Q1_2026Q2,10,2024Q1,2026Q2,1.0588730663076706,0.8237268353560318,1.2765016849137178,-0.1257963636417639,0.8075738948766285
ew_all,full_2024Q1_2026Q2,10,2024Q1,2026Q2,1.0657318614856273,0.8342214352381392,1.2873054691383055,-0.12806424683740475,0.8128049127505065
ew_top3_prior_mae,full_2024Q1_2026Q2,10,2024Q1,2026Q2,1.1068008174022825,0.7976136215544792,1.57234596398355,-0.2741147715365845,0.8441270964413068
median_all,full_2024Q1_2026Q2,10,2024Q1,2026Q2,1.223848783005159,0.9421649533522896,1.4151599313726142,-0.00040302584188580683,0.9333964191552298
_street_baseline,full_2024Q1_2026Q2,10,2024Q1,2026Q2,1.3111779281441889,1.116338895524589,1.743516340312482,-1.126356841361538,1.0
best_single_prior_mae,full_2024Q1_2026Q2,10,2024Q1,2026Q2,1.325239605934496,0.9213874057430468,2.0127520087178077,-0.46968609818564816,1.0107244619425602
ew_top3_prior_mae,second_half,5,2025Q2,2026Q2,0.6310106169105779,0.5575846918155042,0.901159700601994,-0.34950888686355486,0.6006396297509587
best_single_prior_mae,second_half,5,2025Q2,2026Q2,0.7004096747519121,0.6479971941106162,0.901347985895547,-0.47469218791968404,0.6666984618685036
m5_dispersion_only,second_half,5,2025Q2,2026Q2,0.7004096747519121,0.6479971941106162,0.901347985895547,-0.47469218791968404,0.6666984618685036
m5_m3_5050,second_half,5,2025Q2,2026Q2,0.7004096747519121,0.6479971941106162,0.901347985895547,-0.47469218791968404,0.6666984618685036
recommended_ws23_60_20_20,second_half,5,2025Q2,2026Q2,0.7626938616426088,0.6711227723209858,0.9027613893264339,-0.22960111492799767,0.7259848668049662
invmae_recency,second_half,5,2025Q2,2026Q2,0.7962568856101597,0.6548687350844999,1.0123209662491148,-0.014188529340420076,0.7579324786976028
invmae_all,second_half,5,2025Q2,2026Q2,0.7968559752298298,0.655262494100705,1.0132436093286377,-0.017986334416585946,0.7585027337102808
family_B50_A30_C20,second_half,5,2025Q2,2026Q2,0.8111068054410218,0.6880963115624371,0.9975901056578858,0.07833806404924744,0.7720676613870954
ew_all,second_half,5,2025Q2,2026Q2,0.8204851598273791,0.6684908539524197,1.0481209975171708,0.0342432878080146,0.7809946289456986
ew_three_least_correlated,second_half,5,2025Q2,2026Q2,0.8279265678299502,0.6682014934938351,1.1841296987275924,-0.15786316403383224,0.788077876719521
median_all,second_half,5,2025Q2,2026Q2,0.8363313957522415,0.7042968442780876,1.0132516625274657,-0.020223217802521988,0.7960781743311235
m5_60_plus_two_independent_40,second_half,5,2025Q2,2026Q2,0.8877596384764708,0.7806527737764649,1.1069441769941872,-0.42153258010076866,0.8450311393697466
family_equal_thirds,second_half,5,2025Q2,2026Q2,0.8891499864852704,0.7681092730977015,1.0662845297170784,-0.007153293401756855,0.8463545689458115
_street_baseline,second_half,5,2025Q2,2026Q2,1.0505644077667866,0.973579913910889,1.2977931278469308,-1.0505644077667866,1.0
