method,spec,window,target,n,mae,mae_drift,ratio,rw_ratio,mean_d,nw_t,p,better,p_sign
M6,l0_rw,W1,adj_ebitda_margin_pct,14,2.20058721586878,2.3846460522876973,0.9228150289883307,0.7837183355346563,-0.18405883641891738,-0.4483719145537345,0.6538848075989558,7/14,1.0
M6,l0_rw,W2,adj_ebitda_margin_pct,10,1.7732006129613584,2.020184833508135,0.8777417707280387,0.7308583378384138,-0.2469842205467767,-0.5284379014242697,0.5971954371188803,5/10,1.0
M1,b_elastic_eq,W1,adj_ebitda_musd,14,62.06827027585054,103.35714285714286,0.6005223108928179,0.5579085956715443,-41.28887258129232,-2.2944553905377383,0.0217643546366324,10/14,0.1795654296875
M1,b_elastic_eq,W2,adj_ebitda_musd,10,60.06288484680359,81.8,0.7342650959266943,0.5776021962857607,-21.737115153196402,-1.461681569398681,0.1438284901018727,6/10,0.75390625
M1,b_elastic_rw,W1,adj_ebitda_musd,14,63.91499297830725,103.35714285714286,0.618389704005737,0.5711520741702656,-39.44214987883561,-2.0915342105293857,0.03648020304380872,9/14,0.4239501953125
M1,b_elastic_rw,W2,adj_ebitda_musd,10,62.85248003409309,81.8,0.7683677265781552,0.5954251635583935,-18.947519965906906,-1.1531612605079802,0.24884420092849324,5/10,1.0
M4,best1_rw,W1,adj_ebitda_musd,14,70.39651816773383,103.35714285714286,0.6810996920167751,0.6921989422623126,-32.96062468940902,-1.8956465677350522,0.058006795147745205,10/14,0.1795654296875
M4,best1_rw,W2,adj_ebitda_musd,10,70.68504624681427,81.8,0.8641203697654556,0.7362672471469043,-11.114953753185741,-0.8206102391693494,0.4118683135164922,6/10,0.75390625
M4,none_rw,W1,adj_ebitda_musd,14,63.91499297830725,103.35714285714286,0.618389704005737,0.5711520741702656,-39.44214987883561,-2.0915342105293857,0.03648020304380872,9/14,0.4239501953125
M4,none_rw,W2,adj_ebitda_musd,10,62.85248003409309,81.8,0.7683677265781552,0.5954251635583935,-18.947519965906906,-1.1531612605079802,0.24884420092849324,5/10,1.0
M4,ridge_all_eq,W1,adj_ebitda_musd,14,61.23363219416425,103.35714285714286,0.5924470288308912,0.5407561486841066,-42.12351066297861,-2.3482066782250794,0.01886405064425256,10/14,0.1795654296875
M4,ridge_all_eq,W2,adj_ebitda_musd,10,58.96664734921906,81.8,0.7208636595259054,0.5571480009566951,-22.833352650780938,-1.5223122262405837,0.12793086603292214,6/10,0.75390625
M6,l0_eq,W1,adj_ebitda_musd,14,62.536140883965466,103.35714285714286,0.6050490479443791,0.5599204586723865,-40.821001973177395,-2.2911169258889377,0.021956651960267637,11/14,0.057373046875
M6,l0_eq,W2,adj_ebitda_musd,10,59.12611362818742,81.8,0.722813125038966,0.5775629637087307,-22.67388637181258,-1.411396022559317,0.15812787510853465,7/10,0.34375
M6,l0_rw,W1,adj_ebitda_musd,14,61.73910913424924,103.35714285714286,0.597337614291285,0.5261173614055439,-41.61803372289361,-2.22749652356769,0.025914107891255256,10/14,0.1795654296875
M6,l0_rw,W2,adj_ebitda_musd,10,58.57019269758276,81.8,0.7160170256428211,0.5391318559022672,-23.229807302417235,-1.293035438639981,0.1959988025070012,6/10,0.75390625
M1,b_elastic_eq,W1,cor_cash_musd,14,19.539300969673075,24.43914285714286,0.7995084395507881,0.7217762197038768,-4.899841887469782,-1.5433649048708098,0.12274226381524223,9/14,0.4239501953125
M1,b_elastic_eq,W2,cor_cash_musd,10,20.677599581531346,26.8,0.7715522231914681,0.7083255616887172,-6.122400418468652,-1.4361511933810185,0.1509593235589377,6/10,0.75390625
M1,b_elastic_rw,W1,cor_cash_musd,14,18.40518386578334,24.43914285714286,0.7531026752193984,0.7250197168375777,-6.033958991359518,-2.028888634248839,0.04246963467672704,9/14,0.4239501953125
M1,b_elastic_rw,W2,cor_cash_musd,10,20.625169841910196,26.8,0.7695958896235148,0.7288951556483307,-6.174830158089804,-1.5130941227272225,0.13025575230583808,6/10,0.75390625
M4,best1_rw,W1,cor_cash_musd,14,20.43041619629627,24.43914285714286,0.8359710614942883,0.75862463512753,-4.008726660846589,-1.2126277681095547,0.225272167395421,8/14,0.79052734375
M4,best1_rw,W2,cor_cash_musd,10,20.586945414772686,26.8,0.7681696050288316,0.7310118631279111,-6.213054585227314,-1.571548671303513,0.11605525835222918,6/10,0.75390625
M4,none_rw,W1,cor_cash_musd,14,18.40518386578334,24.43914285714286,0.7531026752193984,0.7250197168375777,-6.033958991359518,-2.028888634248839,0.04246963467672704,9/14,0.4239501953125
M4,none_rw,W2,cor_cash_musd,10,20.625169841910196,26.8,0.7695958896235148,0.7288951556483307,-6.174830158089804,-1.5130941227272225,0.13025575230583808,6/10,0.75390625
M4,ridge_all_eq,W1,cor_cash_musd,14,19.27923988635044,24.43914285714286,0.7888672691610242,0.718908592709878,-5.15990297079242,-1.638955287761843,0.10122257195571027,9/14,0.4239501953125
M4,ridge_all_eq,W2,cor_cash_musd,10,20.313514064879655,26.8,0.7579669427193901,0.705222646208345,-6.486485935120345,-1.5366885936444035,0.12436958566085399,6/10,0.75390625
M6,l0_eq,W1,cor_cash_musd,14,16.541641934443486,24.43914285714286,0.6768503310912494,0.6840557037776586,-7.897500922699371,-3.0791770804583054,0.002075732621449111,11/14,0.057373046875
M6,l0_eq,W2,cor_cash_musd,10,18.35151406154345,26.8,0.6847579873710242,0.6882420425111462,-8.448485938456548,-2.429261827156565,0.015129601861356479,8/10,0.109375
M6,l0_rw,W1,cor_cash_musd,14,15.925226619596222,24.43914285714286,0.6516278706125627,0.6535217558067963,-8.513916237546637,-3.5663534795793246,0.00036198304461065867,13/14,0.0018310546875
M6,l0_rw,W2,cor_cash_musd,10,18.155777257553797,26.8,0.6774543752818581,0.662879343276258,-8.644222742446203,-2.6725018951743,0.007528794922066595,9/10,0.021484375
M1,b_elastic_eq,W1,ga_cash_ex_reserves_musd,14,16.976349481995207,15.748357142857142,1.0779759011050265,1.2684046314412731,1.2279923391380676,0.31490396072453913,0.752834574269762,7/14,1.0
M1,b_elastic_eq,W2,ga_cash_ex_reserves_musd,10,20.283232515396147,17.2,1.1792577043834969,1.2952680540970043,3.083232515396149,0.6079094192500446,0.5432475520264095,4/10,0.75390625
M1,b_elastic_rw,W1,ga_cash_ex_reserves_musd,14,16.028549667555527,15.748357142857142,1.0177918574081533,1.186501084587424,0.2801925246983871,0.09355763671480402,0.9254605629526012,8/14,0.79052734375
M1,b_elastic_rw,W2,ga_cash_ex_reserves_musd,10,18.885453727533214,17.2,1.0979914957868149,1.2074896796363133,1.6854537275332155,0.44456695884736463,0.6566327297255727,5/10,1.0
M4,best1_rw,W1,ga_cash_ex_reserves_musd,14,14.461106712741303,15.748357142857142,0.9182612879274403,1.070136001988495,-1.287250430115837,-0.6251804421569885,0.5318526366297303,10/14,0.1795654296875
M4,best1_rw,W2,ga_cash_ex_reserves_musd,10,16.99702909648878,17.2,0.9881993660749292,1.0915020526987722,-0.20297090351122052,-0.0791319953209367,0.9369276347133291,7/10,0.34375
M4,none_rw,W1,ga_cash_ex_reserves_musd,14,16.028549667555527,15.748357142857142,1.0177918574081533,1.186501084587424,0.2801925246983871,0.09355763671480402,0.9254605629526012,8/14,0.79052734375
M4,none_rw,W2,ga_cash_ex_reserves_musd,10,18.885453727533214,17.2,1.0979914957868149,1.2074896796363133,1.6854537275332155,0.44456695884736463,0.6566327297255727,5/10,1.0
M4,ridge_all_eq,W1,ga_cash_ex_reserves_musd,14,16.792946737804797,15.748357142857142,1.066330067668134,1.2576642147855503,1.0445895949476558,0.277420721401606,0.7814570724268446,8/14,0.79052734375
M4,ridge_all_eq,W2,ga_cash_ex_reserves_musd,10,20.11072707068235,17.2,1.1692283180629275,1.2847192892762602,2.9107270706823525,0.6065398141517993,0.544156352399289,5/10,1.0
M6,l0_eq,W1,ga_cash_ex_reserves_musd,14,16.624455692295662,15.748357142857142,1.0556311075175155,1.2463223169716477,0.8760985494385193,0.26452317250943413,0.7913768114431996,8/14,0.79052734375
M6,l0_eq,W2,ga_cash_ex_reserves_musd,10,19.431262963907578,17.2,1.1297245909248592,1.2674697209461463,2.2312629639075765,0.5182985133055966,0.6042500100541703,5/10,1.0
M6,l0_rw,W1,ga_cash_ex_reserves_musd,14,15.76752980686492,15.748357142857142,1.0012174389895947,1.1759160051930015,0.01917266400777911,0.007213112515392407,0.9942448187947242,9/14,0.4239501953125
M6,l0_rw,W2,ga_cash_ex_reserves_musd,10,18.14057612366752,17.2,1.0546846583527627,1.192002378060241,0.9405761236675175,0.2764449019734276,0.7822063730558382,6/10,0.75390625
M1,b_elastic_eq,W1,ops_cash_musd,14,19.390017436078132,18.836142857142857,1.0294048831088176,1.0216997831118424,0.5538745789352746,0.120504484045095,0.9040835277771704,8/14,0.79052734375
M1,b_elastic_eq,W2,ops_cash_musd,10,19.932328734349863,19.1,1.0435774206465895,1.0141589657208219,0.8323287343498633,0.14324457575165095,0.8860970264328341,5/10,1.0
M1,b_elastic_rw,W1,ops_cash_musd,14,17.816455562087874,18.836142857142857,0.945865387474044,0.8995932034583566,-1.0196872950549831,-0.2692854606792106,0.7877100197809002,9/14,0.4239501953125
M1,b_elastic_rw,W2,ops_cash_musd,10,17.550961258879948,19.1,0.9188984952293165,0.8772638382950522,-1.5490387411200515,-0.33373284251894747,0.7385811643164788,7/10,0.34375
M4,best1_rw,W1,ops_cash_musd,14,17.282100941707558,18.836142857142857,0.9174968077476653,0.8263655439495926,-1.554041915435302,-0.4207467637549845,0.673940009438524,9/14,0.4239501953125
M4,best1_rw,W2,ops_cash_musd,10,16.43313088909232,19.1,0.8603733449786554,0.7906660306566942,-2.6668691109076805,-0.607288677676249,0.5436593509519634,7/10,0.34375
M4,none_rw,W1,ops_cash_musd,14,17.816455562087874,18.836142857142857,0.945865387474044,0.8995932034583566,-1.0196872950549831,-0.2692854606792106,0.7877100197809002,9/14,0.4239501953125
M4,none_rw,W2,ops_cash_musd,10,17.550961258879948,19.1,0.9188984952293165,0.8772638382950522,-1.5490387411200515,-0.33373284251894747,0.7385811643164788,7/10,0.34375
M4,ridge_all_eq,W1,ops_cash_musd,14,19.462341569061806,18.836142857142857,1.0332445297674884,1.0225599502676446,0.6261987119189475,0.13708937475850622,0.8909601508894667,8/14,0.79052734375
M4,ridge_all_eq,W2,ops_cash_musd,10,20.033582520527005,19.1,1.0488786659961782,1.0151142810776905,0.9335825205270056,0.16206087497752014,0.8712579160894078,5/10,1.0
M6,l0_eq,W1,ops_cash_musd,14,20.149527854804614,18.836142857142857,1.0697268547824645,1.0826251889940064,1.3133849976617569,0.30177622948072375,0.7628226526898676,8/14,0.79052734375
M6,l0_eq,W2,ops_cash_musd,10,20.56710166896577,19.1,1.076811605705014,1.0775637130348326,1.4671016689657677,0.26067501331261383,0.7943431365068436,6/10,0.75390625
M6,l0_rw,W1,ops_cash_musd,14,18.604950279704997,18.836142857142857,0.9877261189198197,0.9733049644505186,-0.23119257743786242,-0.061696378457663556,0.9508046240491959,8/14,0.79052734375
M6,l0_rw,W2,ops_cash_musd,10,18.335118224417112,19.1,0.9599538337391157,0.9559867310566018,-0.7648817755828876,-0.16152806244159512,0.8716775109206385,6/10,0.75390625
M1,b_elastic_eq,W1,pd_cash_musd,14,11.77805116334211,10.089285714285714,1.1673820622073596,1.1864640382219296,1.6887654490563944,0.5164989339932015,0.6055059832804652,7/14,1.0
M1,b_elastic_eq,W2,pd_cash_musd,10,12.363640294466302,9.3,1.3294236875770216,1.2215928802132376,3.063640294466302,0.7020204396146424,0.4826664167225092,5/10,1.0
M1,b_elastic_rw,W1,pd_cash_musd,14,11.191614582396328,10.089285714285714,1.1092573745383971,1.1170815496463102,1.102328868110614,0.40268606909400234,0.6871791835144705,6/14,0.79052734375
M1,b_elastic_rw,W2,pd_cash_musd,10,11.357072845027858,9.3,1.221190628497619,1.1380086178523054,2.057072845027858,0.5519930756430759,0.5809530973797936,4/10,0.75390625
M4,best1_rw,W1,pd_cash_musd,14,10.41073579863719,10.089285714285714,1.0318605393339515,1.0051068713741793,0.32145008435147443,0.12130841248266021,0.9034467570317986,6/14,0.79052734375
M4,best1_rw,W2,pd_cash_musd,10,10.263842547765062,9.3,1.1036389836306517,1.0093336136478115,0.9638425477650628,0.2632248731019446,0.7923772606361237,4/10,0.75390625
M4,none_rw,W1,pd_cash_musd,14,11.191614582396328,10.089285714285714,1.1092573745383971,1.1170815496463102,1.102328868110614,0.40268606909400234,0.6871791835144705,6/14,0.79052734375
M4,none_rw,W2,pd_cash_musd,10,11.357072845027858,9.3,1.221190628497619,1.1380086178523054,2.057072845027858,0.5519930756430759,0.5809530973797936,4/10,0.75390625
M4,ridge_all_eq,W1,pd_cash_musd,14,11.431668228391246,10.089285714285714,1.1330503022830263,1.1540811166693699,1.3423825141055314,0.4249578974831987,0.6708673670650604,8/14,0.79052734375
M4,ridge_all_eq,W2,pd_cash_musd,10,11.86670160515862,9.3,1.2759894199095287,1.1838971340615816,2.566701605158619,0.6036158608236512,0.5460990653161322,6/10,0.75390625
M6,l0_eq,W1,pd_cash_musd,14,12.871299690315325,10.089285714285714,1.2757394383321385,1.2332192032004383,2.782013976029611,0.8873402817801772,0.37489572451669106,7/14,1.0
M6,l0_eq,W2,pd_cash_musd,10,12.906946652671184,9.3,1.3878437260936756,1.2564577822780871,3.6069466526711835,0.8364420349390381,0.4029062733225155,5/10,1.0
M6,l0_rw,W1,pd_cash_musd,14,12.267561133747368,10.089285714285714,1.21589986458381,1.1785843796617737,2.1782754194616536,0.9950120413010114,0.3197304079652312,6/14,0.79052734375
M6,l0_rw,W2,pd_cash_musd,10,11.867893417967235,9.3,1.2761175718244337,1.1869638027207832,2.5678934179672352,0.8385693536542032,0.4017110141237028,4/10,0.75390625
M1,b_elastic_eq,W1,sm_cash_musd,14,40.18748975307619,32.196214285714284,1.248205437957583,1.4330649100065886,7.99127546736191,1.055405938288975,0.29123970816603295,5/14,0.4239501953125
M1,b_elastic_eq,W2,sm_cash_musd,10,37.750539202483786,30.6,1.2336777517151563,1.441899930731504,7.150539202483787,0.6584916486270562,0.5102222616564083,3/10,0.34375
M1,b_elastic_rw,W1,sm_cash_musd,14,37.8737652119753,32.196214285714284,1.1763421896710442,1.241594387828876,5.677550926261005,0.872742361229156,0.38280352259887174,5/14,0.4239501953125
M1,b_elastic_rw,W2,sm_cash_musd,10,34.866104803686824,30.6,1.139415189662968,1.2289205595609405,4.266104803686824,0.45574300049335204,0.6485747965556952,3/10,0.34375
M4,best1_rw,W1,sm_cash_musd,14,35.019553561757135,32.196214285714284,1.0876916537760648,1.136281650831749,2.8233392760428466,0.38547842544127225,0.6998829878238468,6/14,0.79052734375
M4,best1_rw,W2,sm_cash_musd,10,31.57991004640221,30.6,1.0320232041307913,1.1148823372033951,0.9799100464022097,0.09675184051803996,0.9229234701240185,5/10,1.0
M4,none_rw,W1,sm_cash_musd,14,37.8737652119753,32.196214285714284,1.1763421896710442,1.241594387828876,5.677550926261005,0.872742361229156,0.38280352259887174,5/14,0.4239501953125
M4,none_rw,W2,sm_cash_musd,10,34.866104803686824,30.6,1.139415189662968,1.2289205595609405,4.266104803686824,0.45574300049335204,0.6485747965556952,3/10,0.34375
M4,ridge_all_eq,W1,sm_cash_musd,14,37.82173600205442,32.196214285714284,1.1747261857067532,1.2820288872210786,5.625521716340139,0.8081979722685005,0.4189766248641269,5/14,0.4239501953125
M4,ridge_all_eq,W2,sm_cash_musd,10,34.43848395105331,30.6,1.125440651995206,1.2711149511055946,3.838483951053308,0.38460850170178174,0.7005274943434794,3/10,0.34375
M6,l0_eq,W1,sm_cash_musd,14,40.18748975307618,32.196214285714284,1.2482054379575827,1.4330649100065878,7.991275467361886,1.055405938288972,0.2912397081660343,5/14,0.4239501953125
M6,l0_eq,W2,sm_cash_musd,10,37.75053920248375,30.6,1.2336777517151551,1.4418999307315028,7.1505392024837535,0.6584916486270532,0.5102222616564103,3/10,0.34375
M6,l0_rw,W1,sm_cash_musd,14,37.87376521197531,32.196214285714284,1.1763421896710446,1.2415943878288773,5.677550926261021,0.8727423612291583,0.38280352259887085,5/14,0.4239501953125
M6,l0_rw,W2,sm_cash_musd,10,34.866104803686845,30.6,1.1394151896629687,1.228920559560942,4.266104803686846,0.4557430004933544,0.6485747965556934,3/10,0.34375
M1,b_elastic_eq,W1,total_cash_costs_musd,14,55.07999516105708,49.82585714285715,1.1054500277463493,1.1166665172819095,5.254138018199927,0.7274451660313226,0.4669532946494881,7/14,1.0
M1,b_elastic_eq,W2,total_cash_costs_musd,10,45.465641674109335,42.6,1.0672685838992801,1.0847229745439522,2.8656416741093382,0.39747610868781375,0.6910164010917672,5/10,1.0
M1,b_elastic_rw,W1,total_cash_costs_musd,14,58.062045014230144,49.82585714285715,1.165299471873786,1.2219309707137083,8.236187871372993,1.179893961188971,0.23804239196646093,6/14,0.79052734375
M1,b_elastic_rw,W2,total_cash_costs_musd,10,49.84469487240174,42.6,1.1700632599155338,1.2156457092707953,7.2446948724017375,0.8260270145793288,0.4087887675629822,4/10,0.75390625
M4,best1_rw,W1,total_cash_costs_musd,14,61.10074730838278,49.82585714285715,1.22628592486024,1.3865752116265033,11.274890165525628,1.3650306230136462,0.1722434253737788,5/14,0.4239501953125
M4,best1_rw,W2,total_cash_costs_musd,10,52.892571770907715,42.6,1.2416096659837492,1.4029531480249873,10.292571770907717,1.0357969151247073,0.3002968970639892,4/10,0.75390625
M4,none_rw,W1,total_cash_costs_musd,14,58.062045014230144,49.82585714285715,1.165299471873786,1.2219309707137083,8.236187871372993,1.179893961188971,0.23804239196646093,6/14,0.79052734375
M4,none_rw,W2,total_cash_costs_musd,10,49.84469487240174,42.6,1.1700632599155338,1.2156457092707953,7.2446948724017375,0.8260270145793288,0.4087887675629822,4/10,0.75390625
M4,ridge_all_eq,W1,total_cash_costs_musd,14,55.221974718203114,49.82585714285715,1.1082995433450267,1.1409545577846416,5.396117575345963,0.8022118746845149,0.4224304085452997,6/14,0.79052734375
M4,ridge_all_eq,W2,total_cash_costs_musd,10,45.73666887089007,42.6,1.073630724668781,1.1142441272446444,3.136668870890071,0.47833145514747405,0.6324143116615328,4/10,0.75390625
M6,l0_eq,W1,total_cash_costs_musd,14,56.9758745530033,49.82585714285715,1.1435001386859462,1.19005570571565,7.150017410146151,0.8106562653595704,0.41756309549732773,6/14,0.79052734375
M6,l0_eq,W2,total_cash_costs_musd,10,46.52808275285702,42.6,1.092208515325282,1.1671142853801793,3.928082752857017,0.33891625371326956,0.7346728196518697,4/10,0.75390625
M6,l0_rw,W1,total_cash_costs_musd,14,58.002379841829324,49.82585714285715,1.1641019977946194,1.2225391111380548,8.176522698972171,1.003412714814339,0.3156617718467034,6/14,0.79052734375
M6,l0_rw,W2,total_cash_costs_musd,10,48.52511367621146,42.6,1.1390871754979215,1.2112216279153314,5.925113676211458,0.5270390916241624,0.5981664421400623,4/10,0.75390625
