id,numerator,denominator,units,cohort_period,recognition_period,source_ids,source_date,admissible_origin,evidence_status,embedded_fx,hedge_basis,baseline_overlap,treatment,allowed_route,unusable_reason,notes,value
RNPL_u,"RNPL reference-basis contribution producing revenue in t from b,c","all reference-basis contribution producing revenue in t from b,c",fraction_of_recognized_reference_revenue_flow,"b,c",t,"[""L3_DETAIL""]",2026-09-13,2026-09-14,conditional_scenario,not_a_second_FX_adjustment,inherited_lambda_unreconciled,RNPL_already_inside_GBV_and_whole_revenue_denominator,definition_only,scenario_u_inside_whole_denominator,,u is unmeasured. Scenario only; never inferred from booking share or unpaid stock.,
RNPL_p,RNPL reference-revenue contribution assigned fixing period m,"RNPL reference-revenue contribution from b,c in t",conditional_timing_weight,"b,c",t with fixing m,"[""L3_DETAIL"",""SEC_K25""]",2026-09-13,2026-09-14,conditional_scenario,not_a_second_FX_adjustment,inherited_lambda_unreconciled,definition_only_no_increment,definition_only,scenario_timing_mass_sums_to_one,,Recognition-timed fixing is a hypothesis. Payment-fixing proxy is separately labeled; monthly long-stay anniversary belongs to recognition clock.,
observed_RNPL_recognized_flow,observed RNPL net fees recognized in target t,observed all net fees recognized in target t,fraction_of_recognized_revenue_flow,current booking-origin cohorts,target t,"[""SEC_Q226"",""SEC_K25""]",2026-08-06,2026-09-14,unavailable,not_a_second_FX_adjustment,not_applicable_to_definition,definition_only_no_increment,definition_only,,Primary materials do not provide the required fee/currency/cohort flow and measured fixing matrix.,,
gross_cancellation_hazard,canceled gross original booking value from cohort b,gross original booking value of cohort b at risk,fraction_of_gross_cohort,b,cancellation and expected recognition periods,"[""SEC_Q226""]",2026-08-06,2026-09-14,unavailable,not_a_second_FX_adjustment,not_applicable_to_definition,definition_only_no_increment,definition_only,,Net reported quarter GBV cannot identify original cohort hazard; gross cohorts and processing bridge absent.,,
incremental_cancellation_leakage,future canceled fee value beyond what matched baseline already embeds,compatible baseline target net service-fee revenue,fraction_of_baseline_revenue,affected surviving cohorts,t,"[""SEC_Q226"",""QVS_VARIANCE""]",2026-09-13,2026-09-14,unavailable,not_a_second_FX_adjustment,not_applicable_to_definition,historical_lambda_and_reported_net_GBV_already_contain_cancellations,definition_only,,Incremental excess hazard and baseline/net-GBV/ADR/nights overlap unmeasured; no automatic haircut.,,
RNPL_incremental_demand,incremental counterfactual new demand caused by RNPL,same-basis demand absent RNPL,causal_fraction,b,future t,"[""SEC_Q226""]",2026-08-06,2026-09-14,unavailable,not_a_second_FX_adjustment,not_applicable_to_definition,definition_only_no_increment,definition_only,,Payment option inclusion in GBV is not evidence of incremental demand; causal counterfactual unavailable.,,
currency_rate,USD,one_foreign_currency_unit,USD_per_FCU,currency c rate period m,not_a_revenue_flow,"[""L3_DETAIL""]",2026-09-13,2026-09-14,conditional_input,rate_level_not_growth_pp,not_applicable_to_definition,definition_only_no_increment,definition_only,USD_per_FCU_only_invert_before_average_if_needed,,Do not average unrelated currency levels or invert an already averaged inverse quote.,
currency_revenue_share,reference fee revenue denominated in currency c,all reference fee revenue in same cohort and recognition period,fraction_of_same_basis_revenue,"b,c",t,"[""SEC_K25"",""L3_DETAIL""]",2026-09-13,2026-09-14,unavailable,not_a_second_FX_adjustment,not_applicable_to_definition,definition_only_no_increment,definition_only,,Currency-of-contract distribution not identified by guest origin or host destination; annual nonUSD anchor not quarterly cohort mix.,,
annual_nonUSD_revenue_share,nonUSD denominated FY2025 revenue,total FY2025 revenue,fraction_of_annual_revenue,annual portfolio not booking cohort,FY2025,"[""SEC_K25""]",2026-02-12,2026-09-14,observed_aggregate,not_a_second_FX_adjustment,not_applicable_to_definition,definition_only_no_increment,definition_only,annual_descriptive_anchor_only,,May anchor labeled scenarios; not proof of any quarter or seven-currency allocation.,0.56
reference_normalized_kernel_revenue,R0,1,USD,2026Q1;2026Q2;currency c,2026Q3,"[""L3_FX"",""L3_DETAIL"",""SEC_K25"",""SEC_Q226""]",2026-09-13,2026-09-14,descriptive_diagnostic,B_reconstructs_reported_USD_booking_FX;R0_common_fixed_reference,inherited_reported_lambda_unreconciled_no_new_hedge,T_delta_and_ratio_are_mutually_exclusive_same_effect;not_additive,reference_only,diagnostic_reference_level,,Only conditional exhibit for identical B and unchanged embedded hedge effects; no direct L4 or investment adoption.,
ordinary_booking_kernel_revenue,B,1,USD,2026Q1;2026Q2;currency c,2026Q3,"[""L3_FX"",""L3_DETAIL"",""SEC_K25"",""SEC_Q226""]",2026-09-13,2026-09-14,descriptive_diagnostic,B_reconstructs_reported_USD_booking_FX;R0_common_fixed_reference,inherited_reported_lambda_unreconciled_no_new_hedge,T_delta_and_ratio_are_mutually_exclusive_same_effect;not_additive,identity_not_increment,diagnostic_baseline_identity,,Only conditional exhibit for identical B and unchanged embedded hedge effects; no direct L4 or investment adoption.,
rnpl_retimed_kernel_revenue,T,1,USD,2026Q1;2026Q2;currency c,2026Q3,"[""L3_FX"",""L3_DETAIL"",""SEC_K25"",""SEC_Q226""]",2026-09-13,2026-09-14,conditional_scenario,B_reconstructs_reported_USD_booking_FX;R0_common_fixed_reference,inherited_reported_lambda_unreconciled_no_new_hedge,T_delta_and_ratio_are_mutually_exclusive_same_effect;not_additive,replace_level,conditional_replace_B_with_T,,Only conditional exhibit for identical B and unchanged embedded hedge effects; no direct L4 or investment adoption.,
rnpl_fx_incremental_replacement,T-B,1,USD,2026Q1;2026Q2;currency c,2026Q3,"[""L3_FX"",""L3_DETAIL"",""SEC_K25"",""SEC_Q226""]",2026-09-13,2026-09-14,conditional_scenario,B_reconstructs_reported_USD_booking_FX;R0_common_fixed_reference,inherited_reported_lambda_unreconciled_no_new_hedge,T_delta_and_ratio_are_mutually_exclusive_same_effect;not_additive,incremental_replacement,conditional_add_delta_to_B,,Only conditional exhibit for identical B and unchanged embedded hedge effects; no direct L4 or investment adoption.,
rnpl_fx_replacement_multiplier,T,B,ratio,2026Q1;2026Q2;currency c,2026Q3,"[""L3_FX"",""L3_DETAIL"",""SEC_K25"",""SEC_Q226""]",2026-09-13,2026-09-14,conditional_scenario,B_reconstructs_reported_USD_booking_FX;R0_common_fixed_reference,inherited_reported_lambda_unreconciled_no_new_hedge,T_delta_and_ratio_are_mutually_exclusive_same_effect;not_additive,multiplicative_replacement,conditional_multiply_B_by_T_over_B,,Only conditional exhibit for identical B and unchanged embedded hedge effects; no direct L4 or investment adoption.,
rnpl_fx_level_multiplier,T,R0,ratio,2026Q1;2026Q2;currency c,2026Q3,"[""L3_FX"",""L3_DETAIL"",""SEC_K25"",""SEC_Q226""]",2026-09-13,2026-09-14,descriptive_diagnostic,B_reconstructs_reported_USD_booking_FX;R0_common_fixed_reference,inherited_reported_lambda_unreconciled_no_new_hedge,T_delta_and_ratio_are_mutually_exclusive_same_effect;not_additive,reference_diagnostic_never_reported_baseline,diagnostic_reference_multiplier,,Only conditional exhibit for identical B and unchanged embedded hedge effects; no direct L4 or investment adoption.,
booking_FX_multiplier,B,R0,ratio,"b,c",t,"[""L3_DETAIL""]",2026-09-13,2026-09-14,descriptive_diagnostic,reference_translation_factor_not_YoY_pp,not_applicable_to_definition,definition_only_no_increment,definition_only,reference_diagnostic_only,,,
model_YoY_FX_gap_pp,100*(T_t/T_y-R0_t/R0_y),1,percentage_points_of_model_YoY_growth,current and prior modeled cohorts,t and y=t-4,"[""L3_YOY""]",2026-09-13,2026-09-14,descriptive_diagnostic,prior_and_current_common_reference;not_management_constant_currency,model_inherited_unreconciled,definition_only_no_increment,definition_only,matched_model_model_diagnostic_only,,,
model_timing_YoY_gap_pp,100*(T_t/T_y-B_t/B_y),1,percentage_points_of_model_YoY_growth,current and prior modeled cohorts,t and y=t-4,"[""L3_YOY""]",2026-09-13,2026-09-14,descriptive_diagnostic,not_a_second_FX_adjustment,not_applicable_to_definition,definition_only_no_increment,definition_only,matched_model_model_diagnostic_only,,"If prior timing changes, 100*(T_t-B_t)/B_y differs from full YoY timing gap.",
management_FX_YoY_pp,reported_revenue_growth_pct-constant_currency_revenue_growth_pct,1,percentage_points_of_disclosed_revenue_YoY_growth,actual current business translated using comparison-period rates,t versus t-4,"[""SEC_Q226""]",2026-08-06,2026-09-14,observed_definition,comparative_period_translation_not_fixed_2025_R0,management_CC_hedge_handling_must_be_reconciled,definition_only_no_increment,definition_only,disclosure_comparison_only,,Integer growth disclosures have rounding intervals; not exact dollars or a level multiplier.,
observed_Q2_revenue_hedge_component,signed Q2 revenue cash-flow hedge reclassification,1,USD_millions,"hedged transactions, not bookings",2026Q2,"[""SEC_Q226""]",2026-08-06,2026-09-14,observed_aggregate,not_a_second_FX_adjustment,included_in_reported_revenue,subtract_signed_H_from_reported_R_to_exclude_that_observed_component,definition_only,historical_reconciliation_only,,,-19
observed_H1_revenue_hedge_component,signed H1 revenue cash-flow hedge reclassification,1,USD_millions,"hedged transactions, not bookings",2026H1,"[""SEC_Q226""]",2026-08-06,2026-09-14,observed_aggregate,not_a_second_FX_adjustment,included_in_reported_revenue,H1_includes_Q2_do_not_sum_overlapping_periods,definition_only,historical_reconciliation_only,,,-34
future_quarter_hedge_component,cash-flow hedge gains/losses recognized in target-quarter revenue,1,USD,specific hedged revenue transactions,future t,"[""SEC_Q226""]",2026-08-06,2026-09-14,unavailable,not_a_second_FX_adjustment,required_for_certified_pre_or_after_hedge_forecast,definition_only_no_increment,definition_only,,Quarter-specific release/currency schedule and inherited baseline hedge component unavailable; twelve-month AOCI and notional cannot fill it.,,
next12m_AOCI_loss_expectation,expected net deferred loss reclassified over next twelve months,1,USD_millions,outstanding and matured derivative book,2026-07_to_2027-06,"[""SEC_Q226""]",2026-08-06,2026-09-14,observed_management_expectation,not_a_second_FX_adjustment,not_quarterly_revenue_hedge_amount,definition_only_no_increment,definition_only,descriptive_unallocated_aggregate_only,,,26
designated_hedge_notional,contract notional outstanding at snapshot,1,USD_millions_notional,derivative book snapshot,2026-06-30,"[""SEC_Q226""]",2026-08-06,2026-09-14,observed_aggregate,not_a_second_FX_adjustment,not_revenue_or_AOCI_reclassification,definition_only_no_increment,definition_only,exposure_not_PnL_only,,,3400
monetary_FX_remeasurement,FX gain/loss on monetary assets/liabilities in nonfunctional currency,1,USD_PnL,balance sheet exposures,remeasurement/settlement period,"[""SEC_K25"",""SEC_Q226""]",2026-08-06,2026-09-14,observed_policy,not_a_second_FX_adjustment,nondesignated_offsets_separate_from_revenue_hedges,not_a_revenue_translation_addition,definition_only,other_income_expense_reconciliation_only,,,
certified_prehedge_reference_revenue,same-scope revenue after removing identified revenue hedge component,1,reference_USD,reconciled fee/currency cohorts,target t,"[""L3_FX"",""SEC_Q226""]",2026-09-13,2026-09-14,unavailable,not_a_second_FX_adjustment,not_applicable_to_definition,definition_only_no_increment,definition_only,,Inherited reported-lambda kernel lacks that reconciliation; dividing by an FX factor alone does not certify prehedge revenue.,,
guide_expectations_gap,model_guide-explicit_dated_expected_management_guide,same_expected_guide_if_ratio_requested,USD_or_explicit_ratio,same underlying forecast information set,same guided target quarter,"[""QVS_GUIDE""]",2026-09-13,2026-09-14,unavailable,not_a_second_FX_adjustment,not_applicable_to_definition,do_not_subtract_revenue_consensus_from_guide_as_surprise,definition_only,,Revenue consensus is not guide expectations; common-cushion conversion is a conditional illustration only.,,
